* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 9:59:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AKG K701 L6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 83.820 -45.9153
20.287556 83.833 -46.0537
20.434568 83.848 -46.2433
20.582645 83.864 -46.4845
20.731796 83.878 -46.7786
20.882027 83.887 -47.1274
21.033346 83.890 -47.5332
21.185763 83.885 -47.9978
21.339284 83.871 -48.5221
21.493917 83.849 -49.1053
21.649671 83.818 -49.7444
21.806553 83.778 -50.4343
21.964572 83.732 -51.1673
22.123737 83.681 -51.9338
22.284054 83.626 -52.7228
22.445534 83.571 -53.5228
22.608183 83.516 -54.3221
22.772012 83.465 -55.1100
22.937027 83.419 -55.8777
23.103238 83.380 -56.6182
23.270654 83.351 -57.3276
23.439282 83.333 -58.0042
23.609133 83.327 -58.6493
23.780215 83.333 -59.2662
23.952536 83.353 -59.8598
24.126106 83.384 -60.4364
24.300934 83.427 -61.0024
24.477028 83.481 -61.5642
24.654399 83.542 -62.1273
24.833055 83.610 -62.6963
25.013005 83.683 -63.2743
25.194260 83.758 -63.8632
25.376828 83.834 -64.4632
25.560719 83.909 -65.0734
25.745942 83.980 -65.6915
25.932508 84.048 -66.3146
26.120426 84.110 -66.9390
26.309705 84.167 -67.5606
26.500356 84.217 -68.1756
26.692388 84.260 -68.7801
26.885812 84.297 -69.3714
27.080638 84.328 -69.9472
27.276876 84.353 -70.5066
27.474535 84.375 -71.0497
27.673627 84.393 -71.5781
27.874161 84.412 -72.0942
28.076149 84.432 -72.6016
28.279600 84.459 -73.1046
28.484526 84.494 -73.6080
28.690937 84.543 -74.1168
28.898843 84.607 -74.6356
29.108256 84.690 -75.1687
29.319186 84.793 -75.7195
29.531645 84.917 -76.2900
29.745644 85.060 -76.8812
29.961193 85.220 -77.4924
30.178304 85.392 -78.1215
30.396989 85.571 -78.7651
30.617258 85.752 -79.4186
30.839123 85.928 -80.0769
31.062596 86.094 -80.7350
31.287688 86.244 -81.3881
31.514412 86.373 -82.0326
31.742778 86.478 -82.6662
31.972800 86.556 -83.2883
32.204488 86.604 -83.8997
32.437855 86.623 -84.5025
32.672913 86.611 -85.0996
32.909674 86.571 -85.6941
33.148151 86.503 -86.2885
33.388356 86.410 -86.8843
33.630302 86.296 -87.4819
33.874001 86.164 -88.0800
34.119466 86.019 -88.6762
34.366710 85.864 -89.2673
34.615745 85.705 -89.8499
34.866585 85.545 -90.4211
35.119243 85.390 -90.9789
35.373731 85.244 -91.5228
35.630064 85.109 -92.0538
35.888254 84.990 -92.5742
36.148315 84.889 -93.0877
36.410261 84.807 -93.5985
36.674104 84.746 -94.1110
36.939860 84.707 -94.6294
37.207542 84.690 -95.1568
37.477163 84.695 -95.6955
37.748738 84.722 -96.2462
38.022281 84.769 -96.8083
38.297806 84.837 -97.3799
38.575327 84.924 -97.9582
38.854860 85.030 -98.5395
39.136419 85.153 -99.1194
39.420017 85.293 -99.6938
39.705671 85.449 -100.2589
39.993395 85.620 -100.8114
40.283203 85.805 -101.3497
40.575112 86.003 -101.8733
40.869136 86.212 -102.3834
41.165290 86.431 -102.8824
41.463591 86.658 -103.3737
41.764053 86.891 -103.8609
42.066693 87.127 -104.3473
42.371525 87.365 -104.8351
42.678567 87.602 -105.3256
42.987834 87.836 -105.8192
43.299341 88.066 -106.3154
43.613106 88.288 -106.8136
43.929145 88.502 -107.3131
44.247473 88.706 -107.8134
44.568109 88.897 -108.3143
44.891068 89.076 -108.8150
45.216367 89.239 -109.3148
45.544023 89.387 -109.8124
45.874054 89.518 -110.3067
46.206476 89.632 -110.7972
46.541307 89.728 -111.2838
46.878565 89.807 -111.7671
47.218266 89.869 -112.2477
47.560429 89.915 -112.7257
47.905072 89.945 -113.2000
48.252212 89.960 -113.6685
48.601867 89.961 -114.1280
48.954056 89.949 -114.5756
49.308798 89.925 -115.0093
49.666109 89.892 -115.4287
50.026010 89.852 -115.8356
50.388520 89.806 -116.2334
50.753656 89.756 -116.6270
51.121437 89.705 -117.0218
51.491884 89.655 -117.4221
51.865016 89.607 -117.8305
52.240851 89.563 -118.2464
52.619410 89.524 -118.6663
53.000712 89.490 -119.0842
53.384777 89.461 -119.4931
53.771625 89.437 -119.8865
54.161276 89.417 -120.2605
54.553751 89.400 -120.6144
54.949070 89.385 -120.9508
55.347254 89.369 -121.2743
55.748323 89.352 -121.5904
56.152298 89.332 -121.9042
56.559201 89.308 -122.2198
56.969052 89.279 -122.5396
57.381873 89.246 -122.8644
57.797686 89.208 -123.1926
58.216512 89.166 -123.5205
58.638373 89.121 -123.8426
59.063291 89.075 -124.1524
59.491288 89.028 -124.4437
59.922386 88.982 -124.7127
60.356608 88.938 -124.9584
60.793977 88.897 -125.1825
61.234515 88.860 -125.3891
61.678246 88.825 -125.5828
62.125192 88.793 -125.7683
62.575377 88.764 -125.9497
63.028824 88.738 -126.1304
63.485557 88.715 -126.3133
63.945599 88.696 -126.5009
64.408975 88.681 -126.6947
64.875709 88.670 -126.8962
65.345825 88.663 -127.1060
65.819348 88.660 -127.3247
66.296302 88.661 -127.5523
66.776713 88.666 -127.7884
67.260604 88.674 -128.0327
67.748002 88.686 -128.2845
68.238932 88.701 -128.5437
68.733420 88.719 -128.8103
69.231490 88.738 -129.0845
69.733170 88.760 -129.3666
70.238485 88.784 -129.6570
70.747463 88.808 -129.9556
71.260128 88.834 -130.2623
71.776508 88.860 -130.5766
72.296630 88.887 -130.8981
72.820521 88.915 -131.2261
73.348209 88.944 -131.5604
73.879720 88.973 -131.9005
74.415083 89.003 -132.2461
74.954326 89.033 -132.5963
75.497475 89.063 -132.9500
76.044561 89.093 -133.3061
76.595612 89.122 -133.6633
77.150655 89.149 -134.0210
77.709720 89.174 -134.3785
78.272837 89.196 -134.7358
78.840034 89.215 -135.0923
79.411342 89.231 -135.4476
79.986789 89.243 -135.8013
80.566406 89.251 -136.1530
81.150224 89.254 -136.5025
81.738272 89.254 -136.8501
82.330581 89.251 -137.1959
82.927182 89.246 -137.5399
83.528107 89.240 -137.8820
84.133386 89.236 -138.2217
84.743051 89.235 -138.5587
85.357134 89.241 -138.8925
85.975667 89.256 -139.2229
86.598682 89.284 -139.5497
87.226212 89.328 -139.8726
87.858289 89.392 -140.1915
88.494946 89.477 -140.5061
89.136217 89.586 -140.8166
89.782135 89.719 -141.1233
90.432733 89.875 -141.4269
91.088046 90.051 -141.7282
91.748108 90.245 -142.0284
92.412952 90.450 -142.3284
93.082615 90.663 -142.6292
93.757130 90.878 -142.9313
94.436533 91.088 -143.2346
95.120859 91.289 -143.5385
95.810144 91.477 -143.8415
96.504423 91.649 -144.1420
97.203734 91.803 -144.4378
97.908112 91.940 -144.7277
98.617595 92.058 -145.0108
99.332219 92.160 -145.2872
100.052021 92.248 -145.5576
100.777039 92.323 -145.8234
101.507311 92.388 -146.0865
102.242875 92.444 -146.3490
102.983769 92.493 -146.6131
103.730032 92.537 -146.8805
104.481702 92.576 -147.1518
105.238820 92.610 -147.4269
106.001424 92.638 -147.7044
106.769554 92.660 -147.9826
107.543250 92.674 -148.2599
108.322553 92.678 -148.5343
109.107503 92.672 -148.8046
109.898141 92.653 -149.0696
110.694508 92.621 -149.3291
111.496646 92.575 -149.5834
112.304596 92.517 -149.8333
113.118402 92.447 -150.0795
113.938104 92.368 -150.3228
114.763747 92.280 -150.5635
115.595372 92.188 -150.8019
116.433024 92.092 -151.0383
117.276746 91.995 -151.2727
118.126581 91.899 -151.5051
118.982575 91.804 -151.7352
119.844772 91.712 -151.9628
120.713217 91.623 -152.1878
121.587954 91.537 -152.4103
122.469031 91.453 -152.6311
123.356492 91.369 -152.8512
124.250384 91.285 -153.0717
125.150753 91.199 -153.2937
126.057647 91.110 -153.5183
126.971113 91.016 -153.7460
127.891198 90.916 -153.9766
128.817950 90.810 -154.2096
129.751418 90.697 -154.4438
130.691651 90.579 -154.6777
131.638696 90.456 -154.9102
132.592604 90.329 -155.1402
133.553425 90.201 -155.3672
134.521208 90.074 -155.5908
135.496004 89.952 -155.8111
136.477864 89.838 -156.0282
137.466839 89.734 -156.2423
138.462981 89.646 -156.4541
139.466340 89.574 -156.6643
140.476971 89.520 -156.8738
141.494925 89.485 -157.0830
142.520256 89.468 -157.2925
143.553016 89.468 -157.5021
144.593260 89.480 -157.7117
145.641043 89.502 -157.9208
146.696418 89.529 -158.1288
147.759441 89.559 -158.3349
148.830166 89.586 -158.5390
149.908651 89.609 -158.7406
150.994951 89.626 -158.9397
152.089123 89.636 -159.1361
153.191223 89.638 -159.3296
154.301310 89.634 -159.5202
155.419441 89.624 -159.7085
156.545674 89.612 -159.8949
157.680069 89.597 -160.0805
158.822683 89.582 -160.2665
159.973578 89.569 -160.4541
161.132813 89.559 -160.6447
162.300447 89.551 -160.8392
163.476543 89.547 -161.0385
164.661162 89.546 -161.2430
165.854364 89.549 -161.4525
167.056213 89.554 -161.6670
168.266772 89.563 -161.8857
169.486102 89.575 -162.1080
170.714268 89.590 -162.3330
171.951334 89.609 -162.5595
173.197364 89.630 -162.7862
174.452424 89.655 -163.0116
175.716578 89.683 -163.2340
176.989893 89.713 -163.4518
178.272434 89.745 -163.6631
179.564270 89.777 -163.8665
180.865467 89.809 -164.0604
182.176092 89.840 -164.2439
183.496216 89.869 -164.4164
184.825905 89.896 -164.5778
186.165229 89.920 -164.7284
187.514259 89.942 -164.8692
188.873065 89.962 -165.0014
190.241717 89.982 -165.1269
191.620287 90.000 -165.2480
193.008847 90.018 -165.3671
194.407468 90.037 -165.4868
195.816225 90.056 -165.6093
197.235190 90.075 -165.7363
198.664438 90.095 -165.8687
200.104042 90.114 -166.0069
201.554078 90.132 -166.1506
203.014622 90.148 -166.2990
204.485750 90.162 -166.4506
205.967538 90.173 -166.6039
207.460064 90.180 -166.7572
208.963405 90.184 -166.9093
210.477640 90.185 -167.0595
212.002848 90.181 -167.2076
213.539108 90.175 -167.3537
215.086500 90.165 -167.4985
216.645105 90.153 -167.6422
218.215005 90.140 -167.7851
219.796281 90.124 -167.9273
221.389015 90.106 -168.0687
222.993292 90.085 -168.2090
224.609193 90.062 -168.3480
226.236804 90.035 -168.4854
227.876209 90.003 -168.6206
229.527494 89.966 -168.7533
231.190745 89.924 -168.8834
232.866048 89.877 -169.0110
234.553491 89.825 -169.1367
236.253163 89.768 -169.2611
237.965150 89.708 -169.3847
239.689544 89.645 -169.5079
241.426433 89.580 -169.6308
243.175909 89.515 -169.7533
244.938062 89.450 -169.8754
246.712984 89.386 -169.9970
248.500768 89.325 -170.1182
250.301507 89.266 -170.2393
252.115295 89.211 -170.3607
253.942226 89.160 -170.4827
255.782396 89.113 -170.6055
257.635901 89.072 -170.7292
259.502837 89.037 -170.8538
261.383301 89.008 -170.9791
263.277392 88.985 -171.1045
265.185209 88.968 -171.2297
267.106850 88.957 -171.3542
269.042417 88.952 -171.4773
270.992009 88.952 -171.5989
272.955729 88.956 -171.7187
274.933678 88.965 -171.8369
276.925961 88.977 -171.9538
278.932681 88.991 -172.0696
280.953942 89.009 -172.1849
282.989850 89.028 -172.2997
285.040511 89.049 -172.4138
287.106032 89.073 -172.5271
289.186521 89.100 -172.6393
291.282086 89.131 -172.7500
293.392836 89.166 -172.8591
295.518881 89.207 -172.9662
297.660333 89.253 -173.0712
299.817302 89.304 -173.1740
301.989902 89.361 -173.2746
304.178245 89.420 -173.3730
306.382446 89.482 -173.4691
308.602620 89.544 -173.5629
310.838882 89.605 -173.6544
313.091348 89.663 -173.7437
315.360137 89.715 -173.8308
317.645367 89.762 -173.9160
319.947156 89.802 -173.9998
322.265625 89.833 -174.0824
324.600895 89.856 -174.1645
326.953086 89.869 -174.2463
329.322323 89.872 -174.3282
331.708729 89.865 -174.4099
