* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 10:05:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AKG K701 R6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 80.661 -36.3472
20.287556 80.670 -36.6578
20.434568 80.678 -37.0628
20.582645 80.679 -37.5364
20.731796 80.669 -38.0505
20.882027 80.644 -38.5771
21.033346 80.600 -39.0907
21.185763 80.537 -39.5704
21.339284 80.455 -40.0017
21.493917 80.358 -40.3778
21.649671 80.250 -40.7007
21.806553 80.135 -40.9816
21.964572 80.020 -41.2397
22.123737 79.912 -41.5010
22.284054 79.815 -41.7950
22.445534 79.735 -42.1517
22.608183 79.675 -42.5975
22.772012 79.636 -43.1521
22.937027 79.617 -43.8262
23.103238 79.619 -44.6204
23.270654 79.639 -45.5257
23.439282 79.673 -46.5248
23.609133 79.720 -47.5945
23.780215 79.776 -48.7083
23.952536 79.841 -49.8391
24.126106 79.913 -50.9618
24.300934 79.991 -52.0549
24.477028 80.073 -53.1023
24.654399 80.160 -54.0935
24.833055 80.249 -55.0237
25.013005 80.341 -55.8930
25.194260 80.432 -56.7054
25.376828 80.523 -57.4674
25.560719 80.610 -58.1865
25.745942 80.692 -58.8700
25.932508 80.769 -59.5241
26.120426 80.839 -60.1538
26.309705 80.902 -60.7625
26.500356 80.959 -61.3528
26.692388 81.011 -61.9271
26.885812 81.059 -62.4876
27.080638 81.106 -63.0375
27.276876 81.153 -63.5800
27.474535 81.201 -64.1187
27.673627 81.253 -64.6564
27.874161 81.310 -65.1942
28.076149 81.373 -65.7309
28.279600 81.444 -66.2627
28.484526 81.523 -66.7833
28.690937 81.611 -67.2846
28.898843 81.711 -67.7580
29.108256 81.824 -68.1962
29.319186 81.950 -68.5947
29.531645 82.090 -68.9533
29.745644 82.243 -69.2772
29.961193 82.409 -69.5768
30.178304 82.585 -69.8674
30.396989 82.767 -70.1678
30.617258 82.949 -70.4979
30.839123 83.129 -70.8766
31.062596 83.298 -71.3195
31.287688 83.454 -71.8364
31.514412 83.591 -72.4304
31.742778 83.704 -73.0969
31.972800 83.792 -73.8232
32.204488 83.851 -74.5900
32.437855 83.882 -75.3722
32.672913 83.883 -76.1419
32.909674 83.856 -76.8714
33.148151 83.803 -77.5359
33.388356 83.727 -78.1173
33.630302 83.631 -78.6064
33.874001 83.519 -79.0048
34.119466 83.396 -79.3253
34.366710 83.264 -79.5897
34.615745 83.129 -79.8267
34.866585 82.992 -80.0672
35.119243 82.857 -80.3406
35.373731 82.726 -80.6710
35.630064 82.599 -81.0740
35.888254 82.481 -81.5556
36.148315 82.374 -82.1126
36.410261 82.281 -82.7337
36.674104 82.205 -83.4013
36.939860 82.150 -84.0948
37.207542 82.118 -84.7929
37.477163 82.112 -85.4759
37.748738 82.131 -86.1281
38.022281 82.174 -86.7385
38.297806 82.239 -87.3021
38.575327 82.324 -87.8200
38.854860 82.427 -88.2987
39.136419 82.547 -88.7497
39.420017 82.680 -89.1879
39.705671 82.829 -89.6301
39.993395 82.992 -90.0920
40.283203 83.170 -90.5868
40.575112 83.364 -91.1225
40.869136 83.573 -91.7010
41.165290 83.799 -92.3183
41.463591 84.038 -92.9652
41.764053 84.289 -93.6291
42.066693 84.549 -94.2966
42.371525 84.813 -94.9547
42.678567 85.077 -95.5918
42.987834 85.335 -96.1987
43.299341 85.583 -96.7677
43.613106 85.818 -97.2936
43.929145 86.037 -97.7730
44.247473 86.239 -98.2059
44.568109 86.424 -98.5957
44.891068 86.592 -98.9492
45.216367 86.744 -99.2762
45.544023 86.879 -99.5869
45.874054 86.997 -99.8907
46.206476 87.099 -100.1943
46.541307 87.184 -100.5010
46.878565 87.252 -100.8115
47.218266 87.303 -101.1251
47.560429 87.339 -101.4403
47.905072 87.361 -101.7562
48.252212 87.370 -102.0724
48.601867 87.370 -102.3888
48.954056 87.362 -102.7054
49.308798 87.349 -103.0225
49.666109 87.332 -103.3410
50.026010 87.313 -103.6621
50.388520 87.293 -103.9877
50.753656 87.272 -104.3196
51.121437 87.252 -104.6595
51.491884 87.234 -105.0090
51.865016 87.217 -105.3686
52.240851 87.204 -105.7380
52.619410 87.194 -106.1151
53.000712 87.190 -106.4958
53.384777 87.191 -106.8748
53.771625 87.197 -107.2463
54.161276 87.207 -107.6058
54.553751 87.220 -107.9506
54.949070 87.234 -108.2802
55.347254 87.249 -108.5951
55.748323 87.264 -108.8956
56.152298 87.276 -109.1808
56.559201 87.286 -109.4483
56.969052 87.294 -109.6951
57.381873 87.300 -109.9191
57.797686 87.302 -110.1206
58.216512 87.301 -110.3044
58.638373 87.296 -110.4795
59.063291 87.288 -110.6593
59.491288 87.275 -110.8582
59.922386 87.259 -111.0893
60.356608 87.239 -111.3607
60.793977 87.217 -111.6742
61.234515 87.194 -112.0248
61.678246 87.171 -112.4032
62.125192 87.149 -112.7976
62.575377 87.130 -113.1971
63.028824 87.115 -113.5932
63.485557 87.104 -113.9810
63.945599 87.097 -114.3589
64.408975 87.094 -114.7283
64.875709 87.096 -115.0918
65.345825 87.101 -115.4530
65.819348 87.110 -115.8148
66.296302 87.121 -116.1790
66.776713 87.136 -116.5466
67.260604 87.153 -116.9178
67.748002 87.172 -117.2926
68.238932 87.193 -117.6710
68.733420 87.216 -118.0530
69.231490 87.241 -118.4389
69.733170 87.266 -118.8290
70.238485 87.293 -119.2237
70.747463 87.320 -119.6233
71.260128 87.348 -120.0278
71.776508 87.376 -120.4367
72.296630 87.405 -120.8488
72.820521 87.435 -121.2623
73.348209 87.466 -121.6753
73.879720 87.498 -122.0858
74.415083 87.531 -122.4924
74.954326 87.565 -122.8944
75.497475 87.599 -123.2916
76.044561 87.632 -123.6844
76.595612 87.666 -124.0733
77.150655 87.698 -124.4587
77.709720 87.728 -124.8408
78.272837 87.756 -125.2198
78.840034 87.781 -125.5962
79.411342 87.802 -125.9706
79.986789 87.819 -126.3439
80.566406 87.833 -126.7171
81.150224 87.843 -127.0907
81.738272 87.849 -127.4648
82.330581 87.853 -127.8389
82.927182 87.855 -128.2123
83.528107 87.857 -128.5836
84.133386 87.859 -128.9518
84.743051 87.864 -129.3160
85.357134 87.875 -129.6754
85.975667 87.896 -130.0296
86.598682 87.929 -130.3786
87.226212 87.979 -130.7224
87.858289 88.048 -131.0614
88.494946 88.140 -131.3958
89.136217 88.257 -131.7263
89.782135 88.398 -132.0533
90.432733 88.563 -132.3772
91.088046 88.750 -132.6984
91.748108 88.953 -133.0172
92.412952 89.168 -133.3339
93.082615 89.390 -133.6491
93.757130 89.612 -133.9635
94.436533 89.830 -134.2774
95.120859 90.038 -134.5914
95.810144 90.234 -134.9054
96.504423 90.414 -135.2188
97.203734 90.577 -135.5309
97.908112 90.723 -135.8407
98.617595 90.852 -136.1476
99.332219 90.966 -136.4515
100.052021 91.065 -136.7525
100.777039 91.153 -137.0513
101.507311 91.232 -137.3479
102.242875 91.303 -137.6422
102.983769 91.369 -137.9342
103.730032 91.429 -138.2237
104.481702 91.485 -138.5112
105.238820 91.536 -138.7976
106.001424 91.581 -139.0842
106.769554 91.620 -139.3724
107.543250 91.650 -139.6636
108.322553 91.670 -139.9584
109.107503 91.678 -140.2572
109.898141 91.672 -140.5596
110.694508 91.653 -140.8651
111.496646 91.619 -141.1731
112.304596 91.572 -141.4832
113.118402 91.514 -141.7955
113.938104 91.447 -142.1104
114.763747 91.372 -142.4285
115.595372 91.293 -142.7508
116.433024 91.211 -143.0781
117.276746 91.127 -143.4113
118.126581 91.045 -143.7513
118.982575 90.964 -144.0981
119.844772 90.885 -144.4514
120.713217 90.808 -144.8103
121.587954 90.733 -145.1738
122.469031 90.659 -145.5404
123.356492 90.584 -145.9086
124.250384 90.508 -146.2767
125.150753 90.429 -146.6426
126.057647 90.345 -147.0040
126.971113 90.254 -147.3588
127.891198 90.157 -147.7054
128.817950 90.052 -148.0425
129.751418 89.939 -148.3698
130.691651 89.818 -148.6875
131.638696 89.691 -148.9958
132.592604 89.560 -149.2953
133.553425 89.427 -149.5866
134.521208 89.295 -149.8701
135.496004 89.167 -150.1466
136.477864 89.048 -150.4167
137.466839 88.940 -150.6815
138.462981 88.847 -150.9419
139.466340 88.772 -151.1987
140.476971 88.714 -151.4524
141.494925 88.677 -151.7037
142.520256 88.657 -151.9528
143.553016 88.655 -152.2000
144.593260 88.666 -152.4451
145.641043 88.687 -152.6879
146.696418 88.714 -152.9280
147.759441 88.744 -153.1651
148.830166 88.772 -153.3996
149.908651 88.796 -153.6318
150.994951 88.815 -153.8626
152.089123 88.827 -154.0931
153.191223 88.832 -154.3246
154.301310 88.831 -154.5585
155.419441 88.825 -154.7957
156.545674 88.817 -155.0369
157.680069 88.807 -155.2823
158.822683 88.797 -155.5314
159.973578 88.789 -155.7835
161.132813 88.784 -156.0376
162.300447 88.782 -156.2931
163.476543 88.783 -156.5496
164.661162 88.788 -156.8074
165.854364 88.797 -157.0676
167.056213 88.810 -157.3317
168.266772 88.826 -157.6017
169.486102 88.846 -157.8795
170.714268 88.871 -158.1674
171.951334 88.900 -158.4676
173.197364 88.933 -158.7822
174.452424 88.970 -159.1128
175.716578 89.010 -159.4609
176.989893 89.052 -159.8275
178.272434 89.095 -160.2127
179.564270 89.136 -160.6162
180.865467 89.175 -161.0364
182.176092 89.208 -161.4707
183.496216 89.235 -161.9147
184.825905 89.254 -162.3626
186.165229 89.263 -162.8066
187.514259 89.263 -163.2376
188.873065 89.254 -163.6458
190.241717 89.238 -164.0218
191.620287 89.215 -164.3577
193.008847 89.187 -164.6485
194.407468 89.159 -164.8926
195.816225 89.130 -165.0924
197.235190 89.103 -165.2529
198.664438 89.078 -165.3812
200.104042 89.056 -165.4849
201.554078 89.037 -165.5712
203.014622 89.019 -165.6463
204.485750 89.000 -165.7149
205.967538 88.980 -165.7799
207.460064 88.957 -165.8423
208.963405 88.929 -165.9007
210.477640 88.897 -165.9516
212.002848 88.860 -165.9899
213.539108 88.817 -166.0087
215.086500 88.771 -166.0008
216.645105 88.721 -165.9588
218.215005 88.669 -165.8760
219.796281 88.616 -165.7474
221.389015 88.563 -165.5701
222.993292 88.512 -165.3442
224.609193 88.465 -165.0730
226.236804 88.421 -164.7638
227.876209 88.383 -164.4270
229.527494 88.350 -164.0761
231.190745 88.322 -163.7264
232.866048 88.300 -163.3938
234.553491 88.283 -163.0927
236.253163 88.271 -162.8352
237.965150 88.261 -162.6299
239.689544 88.255 -162.4815
241.426433 88.249 -162.3910
243.175909 88.245 -162.3566
244.938062 88.240 -162.3744
246.712984 88.236 -162.4391
248.500768 88.231 -162.5448
250.301507 88.225 -162.6852
252.115295 88.219 -162.8540
253.942226 88.213 -163.0457
255.782396 88.207 -163.2549
257.635901 88.202 -163.4774
259.502837 88.199 -163.7099
261.383301 88.199 -163.9496
263.277392 88.201 -164.1942
265.185209 88.206 -164.4418
267.106850 88.215 -164.6907
269.042417 88.227 -164.9391
270.992009 88.243 -165.1859
272.955729 88.262 -165.4299
274.933678 88.283 -165.6706
276.925961 88.307 -165.9077
278.932681 88.332 -166.1412
280.953942 88.358 -166.3715
282.989850 88.385 -166.5991
285.040511 88.414 -166.8244
287.106032 88.444 -167.0477
289.186521 88.476 -167.2687
291.282086 88.512 -167.4871
293.392836 88.552 -167.7022
295.518881 88.596 -167.9131
297.660333 88.646 -168.1190
299.817302 88.700 -168.3194
301.989902 88.759 -168.5139
304.178245 88.820 -168.7024
306.382446 88.884 -168.8848
308.602620 88.947 -169.0611
310.838882 89.008 -169.2314
313.091348 89.066 -169.3959
315.360137 89.119 -169.5547
317.645367 89.165 -169.7078
319.947156 89.204 -169.8555
322.265625 89.234 -169.9980
324.600895 89.255 -170.1356
326.953086 89.267 -170.2686
329.322323 89.268 -170.3973
331.708729 89.259 -170.5222
