* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2025 2:28:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arya Stealth 2 L1
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 65.837 -96.4644
20.333664 65.864 -96.6054
20.481010 65.901 -96.7937
20.629424 65.949 -97.0237
20.778913 66.007 -97.2898
20.929486 66.076 -97.5874
21.081150 66.154 -97.9134
21.233912 66.240 -98.2657
21.387782 66.334 -98.6432
21.542767 66.434 -99.0452
21.698874 66.538 -99.4710
21.856113 66.644 -99.9190
22.014492 66.749 -100.3873
22.174018 66.852 -100.8730
22.334700 66.952 -101.3723
22.496546 67.047 -101.8812
22.659566 67.135 -102.3957
22.823766 67.217 -102.9120
22.989157 67.291 -103.4269
23.155745 67.358 -103.9383
23.323542 67.417 -104.4450
23.492554 67.469 -104.9471
23.662790 67.514 -105.4452
23.834261 67.553 -105.9410
24.006973 67.585 -106.4361
24.180938 67.611 -106.9323
24.356163 67.632 -107.4314
24.532658 67.647 -107.9343
24.710431 67.657 -108.4418
24.889493 67.662 -108.9540
25.069853 67.662 -109.4705
25.251519 67.657 -109.9906
25.434502 67.648 -110.5130
25.618811 67.635 -111.0363
25.804456 67.617 -111.5585
25.991445 67.596 -112.0773
26.179790 67.572 -112.5899
26.369500 67.544 -113.0933
26.560584 67.514 -113.5842
26.753053 67.483 -114.0594
26.946917 67.451 -114.5166
27.142185 67.421 -114.9543
27.338869 67.393 -115.3727
27.536977 67.369 -115.7739
27.736522 67.351 -116.1621
27.937512 67.340 -116.5431
28.139959 67.336 -116.9239
28.343872 67.340 -117.3117
28.549264 67.351 -117.7133
28.756143 67.369 -118.1338
28.964522 67.392 -118.5758
29.174411 67.420 -119.0395
29.385821 67.450 -119.5224
29.598763 67.482 -120.0197
29.813248 67.515 -120.5248
30.029287 67.548 -121.0303
30.246891 67.581 -121.5285
30.466073 67.614 -122.0121
30.686842 67.648 -122.4745
30.909212 67.683 -122.9103
31.133193 67.719 -123.3156
31.358797 67.757 -123.6882
31.586035 67.799 -124.0282
31.814921 67.844 -124.3378
32.045465 67.894 -124.6223
32.277680 67.948 -124.8894
32.511577 68.007 -125.1490
32.747169 68.071 -125.4123
32.984469 68.138 -125.6905
33.223488 68.207 -125.9930
33.464239 68.277 -126.3264
33.706735 68.347 -126.6934
33.950987 68.415 -127.0922
34.197010 68.482 -127.5174
34.444816 68.547 -127.9605
34.694417 68.610 -128.4118
34.945827 68.674 -128.8620
35.199059 68.738 -129.3029
35.454126 68.804 -129.7289
35.711041 68.872 -130.1369
35.969818 68.942 -130.5257
36.230470 69.014 -130.8958
36.493011 69.087 -131.2485
36.757455 69.159 -131.5854
37.023814 69.230 -131.9080
37.292104 69.298 -132.2185
37.562338 69.363 -132.5192
37.834530 69.424 -132.8129
38.108695 69.481 -133.1029
38.384846 69.533 -133.3920
38.662999 69.583 -133.6821
38.943167 69.629 -133.9740
39.225365 69.673 -134.2670
39.509608 69.716 -134.5598
39.795911 69.758 -134.8507
40.084289 69.802 -135.1390
40.374756 69.847 -135.4254
40.667328 69.894 -135.7124
40.962020 69.942 -136.0042
41.258848 69.991 -136.3056
41.557827 70.040 -136.6213
41.858972 70.087 -136.9550
42.162299 70.132 -137.3086
42.467824 70.172 -137.6822
42.775564 70.208 -138.0735
43.085533 70.239 -138.4787
43.397749 70.265 -138.8924
43.712227 70.288 -139.3084
44.028983 70.309 -139.7207
44.348036 70.327 -140.1236
44.669400 70.346 -140.5129
44.993093 70.366 -140.8862
45.319131 70.388 -141.2427
45.647532 70.411 -141.5834
45.978313 70.435 -141.9109
46.311491 70.460 -142.2288
46.647083 70.484 -142.5415
46.985107 70.507 -142.8534
47.325581 70.527 -143.1685
47.668521 70.544 -143.4896
48.013947 70.556 -143.8175
48.361876 70.564 -144.1513
48.712326 70.568 -144.4885
49.065315 70.568 -144.8257
49.420863 70.565 -145.1599
49.778987 70.560 -145.4887
50.139706 70.554 -145.8109
50.503039 70.547 -146.1263
50.869005 70.541 -146.4352
51.237623 70.535 -146.7390
51.608912 70.530 -147.0393
51.982891 70.529 -147.3388
52.359580 70.530 -147.6401
52.739000 70.534 -147.9451
53.121168 70.541 -148.2541
53.506106 70.550 -148.5647
53.893833 70.561 -148.8726
54.284370 70.571 -149.1723
54.677737 70.582 -149.4586
55.073955 70.591 -149.7279
55.473043 70.599 -149.9783
55.875024 70.607 -150.2098
56.279917 70.614 -150.4235
56.687745 70.620 -150.6212
57.098527 70.627 -150.8054
57.512287 70.635 -150.9791
57.929045 70.643 -151.1465
58.348822 70.653 -151.3137
58.771642 70.666 -151.4885
59.197525 70.681 -151.6800
59.626495 70.699 -151.8967
60.058573 70.721 -152.1442
60.493782 70.746 -152.4239
60.932145 70.774 -152.7321
61.373685 70.804 -153.0616
61.818424 70.837 -153.4034
62.266386 70.872 -153.7493
62.717593 70.909 -154.0931
63.172071 70.949 -154.4317
63.629842 70.990 -154.7643
64.090930 71.033 -155.0923
64.555359 71.078 -155.4175
65.023154 71.124 -155.7419
65.494339 71.171 -156.0662
65.968938 71.219 -156.3902
66.446976 71.267 -156.7126
66.928478 71.315 -157.0318
67.413469 71.362 -157.3463
67.901975 71.408 -157.6555
68.394021 71.452 -157.9598
68.889632 71.496 -158.2604
69.388835 71.538 -158.5592
69.891655 71.578 -158.8586
70.398118 71.616 -159.1612
70.908252 71.652 -159.4691
71.422083 71.686 -159.7836
71.939636 71.718 -160.1055
72.460941 71.746 -160.4348
72.986023 71.772 -160.7710
73.514909 71.795 -161.1131
74.047629 71.814 -161.4601
74.584208 71.830 -161.8111
75.124676 71.842 -162.1652
75.669061 71.852 -162.5217
76.217390 71.858 -162.8801
76.769692 71.862 -163.2399
77.325997 71.863 -163.6003
77.886333 71.863 -163.9605
78.450730 71.860 -164.3198
79.019216 71.856 -164.6774
79.591822 71.851 -165.0327
80.168577 71.845 -165.3853
80.749512 71.837 -165.7352
81.334656 71.829 -166.0821
81.924040 71.820 -166.4263
82.517696 71.810 -166.7677
83.115653 71.799 -167.1064
83.717943 71.787 -167.4423
84.324598 71.773 -167.7753
84.935649 71.759 -168.1053
85.551128 71.744 -168.4325
86.171066 71.729 -168.7570
86.795497 71.712 -169.0791
87.424453 71.696 -169.3988
88.057967 71.679 -169.7165
88.696071 71.661 -170.0321
89.338800 71.643 -170.3458
89.986185 71.624 -170.6574
90.638262 71.605 -170.9667
91.295065 71.585 -171.2734
91.956626 71.566 -171.5774
92.622982 71.546 -171.8783
93.294166 71.526 -172.1762
93.970214 71.507 -172.4708
94.651161 71.487 -172.7619
95.337042 71.468 -173.0495
96.027894 71.449 -173.3336
96.723752 71.430 -173.6144
97.424652 71.412 -173.8923
98.130631 71.394 -174.1674
98.841726 71.376 -174.4399
99.557974 71.359 -174.7100
100.279412 71.342 -174.9775
101.006078 71.326 -175.2424
101.738010 71.310 -175.5044
102.475245 71.294 -175.7631
103.217823 71.277 -176.0176
103.965782 71.261 -176.2668
104.719161 71.245 -176.5097
105.477999 71.228 -176.7459
106.242336 71.212 -176.9759
107.012212 71.196 -177.2003
107.787666 71.181 -177.4198
108.568740 71.168 -177.6347
109.355474 71.155 -177.8447
110.147909 71.144 -178.0493
110.946086 71.135 -178.2482
111.750047 71.127 -178.4413
112.559834 71.121 -178.6293
113.375489 71.116 -178.8130
114.197055 71.112 -178.9939
115.024574 71.109 -179.1737
115.858089 71.107 -179.3537
116.697645 71.106 -179.5351
117.543284 71.105 -179.7188
118.395051 71.103 -179.9051
119.252990 71.102 179.9059
120.117147 71.100 179.7145
120.987565 71.097 179.5213
121.864291 71.094 179.3264
122.747370 71.091 179.1299
123.636848 71.087 178.9322
124.532771 71.083 178.7332
125.435187 71.078 178.5334
126.344142 71.072 178.3327
127.259684 71.066 178.1314
128.181860 71.059 177.9291
129.110718 71.051 177.7257
130.046308 71.041 177.5208
130.988677 71.030 177.3142
131.937875 71.018 177.1056
132.893951 71.004 176.8945
133.856956 70.988 176.6805
134.826938 70.971 176.4631
135.803950 70.952 176.2418
136.788041 70.931 176.0162
137.779264 70.909 175.7861
138.777669 70.885 175.5513
139.783309 70.858 175.3121
140.796237 70.830 175.0695
141.816504 70.798 174.8249
142.844165 70.764 174.5801
143.879273 70.727 174.3371
144.921881 70.687 174.0981
145.972045 70.644 173.8656
147.029819 70.599 173.6420
148.095257 70.550 173.4299
149.168417 70.499 173.2318
150.249353 70.445 173.0501
151.338121 70.390 172.8870
152.434780 70.333 172.7442
153.539385 70.274 172.6235
154.651995 70.215 172.5260
155.772667 70.155 172.4527
156.901460 70.095 172.4044
158.038432 70.036 172.3814
159.183644 69.979 172.3835
160.337154 69.922 172.4099
161.499023 69.868 172.4599
162.669312 69.816 172.5323
163.848081 69.767 172.6258
165.035392 69.720 172.7387
166.231306 69.676 172.8688
167.435887 69.636 173.0138
168.649196 69.599 173.1709
169.871298 69.566 173.3373
171.102255 69.536 173.5103
172.342133 69.510 173.6874
173.590995 69.487 173.8663
174.848907 69.467 174.0454
176.115934 69.449 174.2233
177.392143 69.435 174.3990
178.677599 69.422 174.5718
179.972371 69.412 174.7407
181.276525 69.404 174.9044
182.590129 69.397 175.0612
183.913252 69.392 175.2092
185.245964 69.387 175.3460
186.588332 69.384 175.4695
187.940428 69.382 175.5776
189.302322 69.380 175.6684
190.674085 69.379 175.7404
192.055788 69.379 175.7933
193.447503 69.379 175.8281
194.849303 69.380 175.8468
196.261262 69.382 175.8524
197.683452 69.385 175.8476
199.115948 69.388 175.8345
200.558824 69.393 175.8151
202.012156 69.398 175.7909
203.476019 69.404 175.7629
204.950490 69.409 175.7324
206.435646 69.415 175.7001
207.931564 69.420 175.6666
209.438322 69.425 175.6315
210.955998 69.429 175.5941
212.484672 69.433 175.5532
214.024424 69.437 175.5078
215.575333 69.441 175.4569
217.137481 69.445 175.3995
218.710948 69.450 175.3351
220.295818 69.457 175.2634
221.892172 69.464 175.1842
223.500094 69.473 175.0975
225.119668 69.482 175.0036
226.750978 69.492 174.9034
228.394109 69.503 174.7980
230.049147 69.515 174.6891
231.716178 69.528 174.5784
233.395289 69.542 174.4667
235.086567 69.557 174.3546
236.790102 69.574 174.2420
238.505980 69.592 174.1287
240.234293 69.611 174.0144
241.975130 69.631 173.8985
243.728581 69.652 173.7805
245.494739 69.674 173.6596
247.273695 69.696 173.5357
249.065542 69.719 173.4090
250.870374 69.742 173.2802
252.688284 69.764 173.1501
254.519367 69.786 173.0196
256.363720 69.808 172.8889
258.221437 69.829 172.7573
260.092616 69.850 172.6232
261.977354 69.870 172.4846
263.875750 69.890 172.3387
265.787903 69.908 172.1825
267.713911 69.926 172.0133
269.653877 69.943 171.8285
271.607900 69.959 171.6260
273.576083 69.974 171.4047
275.558528 69.989 171.1640
277.555338 70.002 170.9042
279.566619 70.015 170.6265
281.592474 70.027 170.3322
283.633009 70.037 170.0231
285.688331 70.045 169.7009
287.758546 70.051 169.3673
289.843763 70.054 169.0241
291.944090 70.055 168.6732
294.059638 70.051 168.3170
296.190515 70.045 167.9584
298.336833 70.034 167.6008
300.498705 70.019 167.2478
302.676243 69.999 166.9034
304.869559 69.976 166.5717
307.078770 69.948 166.2566
309.303989 69.916 165.9622
311.545334 69.880 165.6923
313.802919 69.840 165.4506
316.076865 69.798 165.2405
318.367288 69.753 165.0653
320.674309 69.707 164.9276
322.998047 69.659 164.8289
325.338624 69.612 164.7705
327.696162 69.564 164.7522
330.070783 69.517 164.7731
332.462612 69.472 164.8317
334.871773 69.429 164.9256
337.298392 69.389 165.0517
339.742595 69.350 165.2067
342.204510 69.315 165.3867
344.684265 69.283 165.5876
347.181989 69.254 165.8055
349.697813 69.228 166.0367
352.231868 69.205 166.2780
354.784285 69.185 166.5264
357.355198 69.169 166.7794
