* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2025 2:34:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arya Stealth 2 R7
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 65.530 -94.4872
20.333664 65.555 -94.6897
20.481010 65.590 -94.9617
20.629424 65.633 -95.2961
20.778913 65.685 -95.6848
20.929486 65.743 -96.1192
21.081150 65.809 -96.5910
21.233912 65.881 -97.0920
21.387782 65.958 -97.6144
21.542767 66.039 -98.1512
21.698874 66.124 -98.6960
21.856113 66.211 -99.2436
22.014492 66.300 -99.7895
22.174018 66.390 -100.3302
22.334700 66.478 -100.8634
22.496546 66.565 -101.3878
22.659566 66.649 -101.9029
22.823766 66.728 -102.4090
22.989157 66.803 -102.9067
23.155745 66.871 -103.3970
23.323542 66.932 -103.8810
23.492554 66.985 -104.3596
23.662790 67.030 -104.8338
23.834261 67.068 -105.3042
24.006973 67.097 -105.7713
24.180938 67.120 -106.2358
24.356163 67.136 -106.6983
24.532658 67.147 -107.1598
24.710431 67.153 -107.6215
24.889493 67.155 -108.0845
25.069853 67.156 -108.5504
25.251519 67.155 -109.0205
25.434502 67.153 -109.4956
25.618811 67.150 -109.9762
25.804456 67.148 -110.4620
25.991445 67.146 -110.9517
26.179790 67.144 -111.4435
26.369500 67.142 -111.9353
26.560584 67.140 -112.4245
26.753053 67.139 -112.9089
26.946917 67.138 -113.3867
27.142185 67.137 -113.8569
27.338869 67.136 -114.3196
27.536977 67.137 -114.7755
27.736522 67.138 -115.2261
27.937512 67.140 -115.6733
28.139959 67.144 -116.1190
28.343872 67.148 -116.5644
28.549264 67.153 -117.0105
28.756143 67.159 -117.4572
28.964522 67.165 -117.9038
29.174411 67.173 -118.3492
29.385821 67.182 -118.7919
29.598763 67.193 -119.2308
29.813248 67.205 -119.6650
30.029287 67.219 -120.0941
30.246891 67.236 -120.5183
30.466073 67.256 -120.9380
30.686842 67.279 -121.3539
30.909212 67.305 -121.7667
31.133193 67.334 -122.1768
31.358797 67.366 -122.5843
31.586035 67.401 -122.9891
31.814921 67.440 -123.3912
32.045465 67.483 -123.7904
32.277680 67.529 -124.1869
32.511577 67.580 -124.5808
32.747169 67.635 -124.9728
32.984469 67.693 -125.3631
33.223488 67.755 -125.7520
33.464239 67.820 -126.1395
33.706735 67.887 -126.5250
33.950987 67.956 -126.9078
34.197010 68.026 -127.2871
34.444816 68.097 -127.6620
34.694417 68.168 -128.0320
34.945827 68.239 -128.3968
35.199059 68.309 -128.7569
35.454126 68.379 -129.1129
35.711041 68.448 -129.4659
35.969818 68.516 -129.8171
36.230470 68.584 -130.1680
36.493011 68.652 -130.5196
36.757455 68.718 -130.8733
37.023814 68.785 -131.2297
37.292104 68.851 -131.5894
37.562338 68.916 -131.9523
37.834530 68.981 -132.3179
38.108695 69.044 -132.6847
38.384846 69.106 -133.0513
38.662999 69.166 -133.4157
38.943167 69.224 -133.7765
39.225365 69.279 -134.1323
39.509608 69.332 -134.4826
39.795911 69.383 -134.8275
40.084289 69.432 -135.1674
40.374756 69.478 -135.5032
40.667328 69.523 -135.8356
40.962020 69.566 -136.1653
41.258848 69.608 -136.4929
41.557827 69.648 -136.8190
41.858972 69.689 -137.1446
42.162299 69.729 -137.4705
42.467824 69.769 -137.7979
42.775564 69.808 -138.1275
43.085533 69.848 -138.4600
43.397749 69.886 -138.7958
43.712227 69.924 -139.1348
44.028983 69.960 -139.4771
44.348036 69.995 -139.8228
44.669400 70.028 -140.1717
44.993093 70.058 -140.5237
45.319131 70.087 -140.8776
45.647532 70.113 -141.2315
45.978313 70.136 -141.5830
46.311491 70.158 -141.9290
46.647083 70.178 -142.2667
46.985107 70.198 -142.5941
47.325581 70.217 -142.9097
47.668521 70.235 -143.2125
48.013947 70.253 -143.5016
48.361876 70.271 -143.7760
48.712326 70.288 -144.0352
49.065315 70.304 -144.2789
49.420863 70.319 -144.5086
49.778987 70.332 -144.7276
50.139706 70.342 -144.9407
50.503039 70.350 -145.1541
50.869005 70.355 -145.3743
51.237623 70.358 -145.6075
51.608912 70.358 -145.8588
51.982891 70.356 -146.1319
52.359580 70.353 -146.4284
52.739000 70.349 -146.7478
53.121168 70.346 -147.0872
53.506106 70.344 -147.4414
53.893833 70.343 -147.8043
54.284370 70.343 -148.1697
54.677737 70.345 -148.5330
55.073955 70.348 -148.8919
55.473043 70.352 -149.2468
55.875024 70.359 -149.6000
56.279917 70.367 -149.9550
56.687745 70.377 -150.3148
57.098527 70.389 -150.6812
57.512287 70.404 -151.0539
57.929045 70.421 -151.4307
58.348822 70.440 -151.8076
58.771642 70.460 -152.1794
59.197525 70.482 -152.5408
59.626495 70.503 -152.8867
60.058573 70.524 -153.2132
60.493782 70.544 -153.5188
60.932145 70.564 -153.8048
61.373685 70.584 -154.0749
61.818424 70.604 -154.3346
62.266386 70.626 -154.5895
62.717593 70.650 -154.8447
63.172071 70.675 -155.1038
63.629842 70.703 -155.3694
64.090930 70.733 -155.6428
64.555359 70.765 -155.9251
65.023154 70.798 -156.2164
65.494339 70.832 -156.5164
65.968938 70.867 -156.8245
66.446976 70.902 -157.1399
66.928478 70.938 -157.4612
67.413469 70.973 -157.7869
67.901975 71.008 -158.1152
68.394021 71.042 -158.4445
68.889632 71.074 -158.7729
69.388835 71.104 -159.0992
69.891655 71.132 -159.4221
70.398118 71.157 -159.7402
70.908252 71.179 -160.0526
71.422083 71.199 -160.3583
71.939636 71.215 -160.6569
72.460941 71.229 -160.9482
72.986023 71.240 -161.2324
73.514909 71.249 -161.5100
74.047629 71.257 -161.7815
74.584208 71.262 -162.0473
75.124676 71.266 -162.3082
75.669061 71.268 -162.5645
76.217390 71.269 -162.8172
76.769692 71.269 -163.0669
77.325997 71.268 -163.3146
77.886333 71.266 -163.5613
78.450730 71.263 -163.8080
79.019216 71.261 -164.0553
79.591822 71.258 -164.3036
80.168577 71.254 -164.5534
80.749512 71.251 -164.8045
81.334656 71.247 -165.0574
81.924040 71.244 -165.3122
82.517696 71.240 -165.5696
83.115653 71.237 -165.8301
83.717943 71.233 -166.0945
84.324598 71.231 -166.3632
84.935649 71.228 -166.6373
85.551128 71.226 -166.9175
86.171066 71.225 -167.2050
86.795497 71.224 -167.5009
87.424453 71.223 -167.8059
88.057967 71.223 -168.1203
88.696071 71.223 -168.4440
89.338800 71.223 -168.7766
89.986185 71.222 -169.1174
90.638262 71.221 -169.4654
91.295065 71.217 -169.8197
91.956626 71.212 -170.1790
92.622982 71.205 -170.5421
93.294166 71.196 -170.9075
93.970214 71.185 -171.2736
94.651161 71.171 -171.6390
95.337042 71.156 -172.0023
96.027894 71.138 -172.3624
96.723752 71.119 -172.7184
97.424652 71.097 -173.0697
98.130631 71.075 -173.4163
98.841726 71.050 -173.7584
99.557974 71.025 -174.0965
100.279412 70.999 -174.4307
101.006078 70.972 -174.7612
101.738010 70.946 -175.0873
102.475245 70.920 -175.4083
103.217823 70.895 -175.7235
103.965782 70.871 -176.0325
104.719161 70.849 -176.3350
105.477999 70.828 -176.6311
106.242336 70.809 -176.9206
107.012212 70.791 -177.2029
107.787666 70.774 -177.4770
108.568740 70.757 -177.7423
109.355474 70.740 -177.9979
110.147909 70.723 -178.2437
110.946086 70.706 -178.4795
111.750047 70.689 -178.7056
112.559834 70.673 -178.9224
113.375489 70.656 -179.1303
114.197055 70.640 -179.3298
115.024574 70.625 -179.5215
115.858089 70.611 -179.7060
116.697645 70.597 -179.8844
117.543284 70.584 179.9418
118.395051 70.571 179.7708
119.252990 70.559 179.6002
120.117147 70.546 179.4278
120.987565 70.534 179.2518
121.864291 70.521 179.0709
122.747370 70.508 178.8848
123.636848 70.494 178.6937
124.532771 70.479 178.4991
125.435187 70.463 178.3027
126.344142 70.446 178.1064
127.259684 70.427 177.9124
128.181860 70.405 177.7224
129.110718 70.382 177.5378
130.046308 70.356 177.3602
130.988677 70.328 177.1906
131.937875 70.297 177.0303
132.893951 70.264 176.8808
133.856956 70.229 176.7439
134.826938 70.192 176.6215
135.803950 70.153 176.5158
136.788041 70.113 176.4294
137.779264 70.072 176.3640
138.777669 70.029 176.3205
139.783309 69.985 176.2989
140.796237 69.941 176.2979
141.816504 69.897 176.3154
142.844165 69.852 176.3490
143.879273 69.808 176.3961
144.921881 69.765 176.4541
145.972045 69.723 176.5206
147.029819 69.682 176.5938
148.095257 69.643 176.6724
149.168417 69.606 176.7556
150.249353 69.571 176.8428
151.338121 69.539 176.9338
152.434780 69.510 177.0284
153.539385 69.484 177.1260
154.651995 69.462 177.2261
155.772667 69.443 177.3279
156.901460 69.429 177.4303
158.038432 69.417 177.5323
159.183644 69.409 177.6329
160.337154 69.403 177.7311
161.499023 69.399 177.8263
162.669312 69.397 177.9174
163.848081 69.395 178.0034
165.035392 69.394 178.0834
166.231306 69.394 178.1564
167.435887 69.394 178.2215
168.649196 69.395 178.2776
169.871298 69.395 178.3238
171.102255 69.396 178.3591
172.342133 69.397 178.3827
173.590995 69.399 178.3943
174.848907 69.400 178.3942
176.115934 69.403 178.3831
177.392143 69.405 178.3627
178.677599 69.408 178.3346
179.972371 69.412 178.3006
181.276525 69.415 178.2625
182.590129 69.418 178.2213
183.913252 69.422 178.1783
185.245964 69.425 178.1339
186.588332 69.428 178.0884
187.940428 69.432 178.0419
189.302322 69.435 177.9935
190.674085 69.438 177.9422
192.055788 69.442 177.8869
193.447503 69.446 177.8267
194.849303 69.450 177.7614
196.261262 69.454 177.6909
197.683452 69.458 177.6155
199.115948 69.462 177.5344
200.558824 69.465 177.4465
202.012156 69.468 177.3497
203.476019 69.470 177.2418
204.950490 69.472 177.1206
206.435646 69.474 176.9851
207.931564 69.474 176.8355
209.438322 69.475 176.6733
210.955998 69.474 176.5009
212.484672 69.473 176.3213
214.024424 69.471 176.1368
215.575333 69.468 175.9490
217.137481 69.465 175.7588
218.710948 69.463 175.5666
220.295818 69.460 175.3730
221.892172 69.458 175.1788
223.500094 69.457 174.9852
225.119668 69.457 174.7937
226.750978 69.459 174.6050
228.394109 69.462 174.4195
230.049147 69.468 174.2363
231.716178 69.474 174.0543
233.395289 69.482 173.8723
235.086567 69.491 173.6892
236.790102 69.501 173.5042
238.505980 69.512 173.3167
240.234293 69.524 173.1257
241.975130 69.537 172.9304
243.728581 69.550 172.7301
245.494739 69.564 172.5244
247.273695 69.579 172.3139
249.065542 69.593 172.0995
250.870374 69.607 171.8823
252.688284 69.620 171.6630
254.519367 69.631 171.4420
256.363720 69.640 171.2192
258.221437 69.647 170.9935
260.092616 69.651 170.7631
261.977354 69.652 170.5257
263.875750 69.650 170.2795
265.787903 69.644 170.0234
267.713911 69.635 169.7577
269.653877 69.623 169.4840
271.607900 69.608 169.2043
273.576083 69.589 168.9210
275.558528 69.567 168.6365
277.555338 69.541 168.3535
279.566619 69.510 168.0753
281.592474 69.476 167.8062
283.633009 69.437 167.5513
285.688331 69.394 167.3162
287.758546 69.348 167.1070
289.843763 69.298 166.9297
291.944090 69.246 166.7899
294.059638 69.193 166.6927
296.190515 69.139 166.6417
298.336833 69.086 166.6396
300.498705 69.034 166.6875
302.676243 68.984 166.7853
304.869559 68.938 166.9311
307.078770 68.897 167.1220
309.303989 68.861 167.3534
311.545334 68.831 167.6197
313.802919 68.808 167.9140
316.076865 68.793 168.2290
318.367288 68.784 168.5569
320.674309 68.783 168.8899
322.998047 68.789 169.2206
325.338624 68.802 169.5421
327.696162 68.821 169.8484
330.070783 68.844 170.1340
332.462612 68.873 170.3951
334.871773 68.904 170.6283
337.298392 68.939 170.8318
339.742595 68.975 171.0044
342.204510 69.012 171.1460
344.684265 69.050 171.2569
347.181989 69.086 171.3382
349.697813 69.122 171.3912
352.231868 69.155 171.4176
354.784285 69.187 171.4192
357.355198 69.215 171.3979
