* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 28, 2025 2:28:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arya Stealth L6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 80.153 -144.5056
20.333664 80.163 -144.5738
20.481010 80.177 -144.6664
20.629424 80.194 -144.7823
20.778913 80.216 -144.9207
20.929486 80.242 -145.0812
21.081150 80.273 -145.2639
21.233912 80.308 -145.4691
21.387782 80.346 -145.6975
21.542767 80.388 -145.9493
21.698874 80.434 -146.2245
21.856113 80.481 -146.5224
22.014492 80.531 -146.8412
22.174018 80.581 -147.1788
22.334700 80.632 -147.5320
22.496546 80.683 -147.8971
22.659566 80.733 -148.2705
22.823766 80.782 -148.6481
22.989157 80.829 -149.0266
23.155745 80.875 -149.4029
23.323542 80.919 -149.7747
23.492554 80.960 -150.1404
23.662790 80.998 -150.4991
23.834261 81.032 -150.8501
24.006973 81.063 -151.1934
24.180938 81.088 -151.5288
24.356163 81.109 -151.8559
24.532658 81.124 -152.1744
24.710431 81.132 -152.4836
24.889493 81.135 -152.7827
25.069853 81.130 -153.0710
25.251519 81.119 -153.3482
25.434502 81.103 -153.6143
25.618811 81.080 -153.8703
25.804456 81.054 -154.1176
25.991445 81.023 -154.3589
26.179790 80.990 -154.5970
26.369500 80.956 -154.8357
26.560584 80.921 -155.0783
26.753053 80.887 -155.3284
26.946917 80.855 -155.5885
27.142185 80.824 -155.8604
27.338869 80.796 -156.1446
27.536977 80.772 -156.4404
27.736522 80.750 -156.7458
27.937512 80.732 -157.0578
28.139959 80.717 -157.3725
28.343872 80.705 -157.6855
28.549264 80.696 -157.9924
28.756143 80.688 -158.2891
28.964522 80.683 -158.5721
29.174411 80.679 -158.8388
29.385821 80.675 -159.0880
29.598763 80.673 -159.3197
29.813248 80.671 -159.5353
30.029287 80.669 -159.7374
30.246891 80.668 -159.9295
30.466073 80.668 -160.1155
30.686842 80.669 -160.2996
30.909212 80.672 -160.4857
31.133193 80.676 -160.6768
31.358797 80.682 -160.8751
31.586035 80.692 -161.0818
31.814921 80.706 -161.2968
32.045465 80.724 -161.5194
32.277680 80.748 -161.7476
32.511577 80.777 -161.9793
32.747169 80.812 -162.2117
32.984469 80.852 -162.4421
33.223488 80.898 -162.6678
33.464239 80.950 -162.8862
33.706735 81.005 -163.0953
33.950987 81.065 -163.2936
34.197010 81.126 -163.4801
34.444816 81.190 -163.6547
34.694417 81.254 -163.8177
34.945827 81.318 -163.9703
35.199059 81.381 -164.1141
35.454126 81.444 -164.2511
35.711041 81.505 -164.3834
35.969818 81.565 -164.5136
36.230470 81.624 -164.6437
36.493011 81.682 -164.7757
36.757455 81.740 -164.9112
37.023814 81.796 -165.0510
37.292104 81.851 -165.1955
37.562338 81.905 -165.3439
37.834530 81.958 -165.4952
38.108695 82.009 -165.6477
38.384846 82.059 -165.7999
38.662999 82.108 -165.9506
38.943167 82.154 -166.0990
39.225365 82.200 -166.2457
39.509608 82.244 -166.3916
39.795911 82.287 -166.5384
40.084289 82.329 -166.6882
40.374756 82.369 -166.8427
40.667328 82.409 -167.0035
40.962020 82.447 -167.1716
41.258848 82.484 -167.3476
41.557827 82.519 -167.5318
41.858972 82.553 -167.7240
42.162299 82.584 -167.9238
42.467824 82.614 -168.1307
42.775564 82.641 -168.3436
43.085533 82.667 -168.5611
43.397749 82.690 -168.7813
43.712227 82.711 -169.0022
44.028983 82.731 -169.2214
44.348036 82.749 -169.4371
44.669400 82.766 -169.6475
44.993093 82.783 -169.8515
45.319131 82.798 -170.0486
45.647532 82.812 -170.2388
45.978313 82.825 -170.4230
46.311491 82.837 -170.6021
46.647083 82.847 -170.7773
46.985107 82.856 -170.9496
47.325581 82.864 -171.1202
47.668521 82.872 -171.2898
48.013947 82.879 -171.4593
48.361876 82.887 -171.6294
48.712326 82.895 -171.8007
49.065315 82.904 -171.9734
49.420863 82.913 -172.1472
49.778987 82.923 -172.3215
50.139706 82.932 -172.4949
50.503039 82.941 -172.6667
50.869005 82.948 -172.8362
51.237623 82.954 -173.0041
51.608912 82.958 -173.1719
51.982891 82.961 -173.3422
52.359580 82.962 -173.5178
52.739000 82.963 -173.7009
53.121168 82.962 -173.8930
53.506106 82.960 -174.0937
53.893833 82.958 -174.3012
54.284370 82.955 -174.5121
54.677737 82.952 -174.7220
55.073955 82.950 -174.9255
55.473043 82.948 -175.1178
55.875024 82.948 -175.2944
56.279917 82.950 -175.4521
56.687745 82.955 -175.5898
57.098527 82.962 -175.7081
57.512287 82.972 -175.8104
57.929045 82.985 -175.9024
58.348822 82.999 -175.9924
58.771642 83.015 -176.0913
59.197525 83.031 -176.2104
59.626495 83.048 -176.3601
60.058573 83.064 -176.5475
60.493782 83.080 -176.7741
60.932145 83.096 -177.0366
61.373685 83.112 -177.3270
61.818424 83.130 -177.6355
62.266386 83.149 -177.9523
62.717593 83.171 -178.2693
63.172071 83.196 -178.5808
63.629842 83.222 -178.8833
64.090930 83.250 -179.1757
64.555359 83.279 -179.4583
65.023154 83.309 -179.7322
65.494339 83.340 -179.9982
65.968938 83.372 179.7426
66.446976 83.404 179.4898
66.928478 83.436 179.2428
67.413469 83.467 179.0010
67.901975 83.497 178.7640
68.394021 83.527 178.5311
68.889632 83.555 178.3019
69.388835 83.582 178.0758
69.891655 83.606 177.8521
70.398118 83.629 177.6303
70.908252 83.651 177.4096
71.422083 83.670 177.1891
71.939636 83.687 176.9680
72.460941 83.702 176.7454
72.986023 83.714 176.5208
73.514909 83.725 176.2936
74.047629 83.733 176.0638
74.584208 83.739 175.8313
75.124676 83.742 175.5963
75.669061 83.744 175.3590
76.217390 83.743 175.1200
76.769692 83.741 174.8794
77.325997 83.737 174.6375
77.886333 83.731 174.3941
78.450730 83.724 174.1492
79.019216 83.716 173.9028
79.591822 83.706 173.6556
80.168577 83.696 173.4088
80.749512 83.685 173.1634
81.334656 83.674 172.9203
81.924040 83.662 172.6799
82.517696 83.649 172.4417
83.115653 83.637 172.2051
83.717943 83.623 171.9692
84.324598 83.610 171.7332
84.935649 83.595 171.4969
85.551128 83.581 171.2599
86.171066 83.565 171.0223
86.795497 83.550 170.7842
87.424453 83.533 170.5456
88.057967 83.517 170.3067
88.696071 83.499 170.0681
89.338800 83.481 169.8304
89.986185 83.463 169.5947
90.638262 83.444 169.3619
91.295065 83.424 169.1329
91.956626 83.404 168.9082
92.622982 83.383 168.6882
93.294166 83.362 168.4729
93.970214 83.340 168.2620
94.651161 83.318 168.0548
95.337042 83.297 167.8504
96.027894 83.275 167.6476
96.723752 83.255 167.4453
97.424652 83.234 167.2425
98.130631 83.214 167.0386
98.841726 83.195 166.8333
99.557974 83.176 166.6263
100.279412 83.157 166.4178
101.006078 83.139 166.2083
101.738010 83.122 165.9983
102.475245 83.106 165.7889
103.217823 83.090 165.5816
103.965782 83.075 165.3784
104.719161 83.061 165.1812
105.477999 83.048 164.9921
106.242336 83.037 164.8123
107.012212 83.026 164.6427
107.787666 83.018 164.4830
108.568740 83.011 164.3320
109.355474 83.005 164.1879
110.147909 83.001 164.0486
110.946086 82.999 163.9122
111.750047 82.997 163.7769
112.559834 82.997 163.6416
113.375489 82.998 163.5051
114.197055 82.999 163.3665
115.024574 83.001 163.2251
115.858089 83.003 163.0809
116.697645 83.005 162.9340
117.543284 83.008 162.7851
118.395051 83.011 162.6349
119.252990 83.013 162.4839
120.117147 83.016 162.3323
120.987565 83.018 162.1801
121.864291 83.020 162.0271
122.747370 83.022 161.8730
123.636848 83.024 161.7178
124.532771 83.025 161.5615
125.435187 83.025 161.4043
126.344142 83.025 161.2458
127.259684 83.024 161.0856
128.181860 83.022 160.9230
129.110718 83.018 160.7573
130.046308 83.014 160.5880
130.988677 83.007 160.4150
131.937875 83.000 160.2385
132.893951 82.991 160.0586
133.856956 82.980 159.8759
134.826938 82.967 159.6910
135.803950 82.953 159.5044
136.788041 82.937 159.3166
137.779264 82.919 159.1282
138.777669 82.900 158.9395
139.783309 82.879 158.7504
140.796237 82.856 158.5612
141.816504 82.831 158.3719
142.844165 82.804 158.1828
143.879273 82.776 157.9945
144.921881 82.747 157.8079
145.972045 82.716 157.6242
147.029819 82.684 157.4444
148.095257 82.651 157.2695
149.168417 82.616 157.1002
150.249353 82.581 156.9371
151.338121 82.545 156.7807
152.434780 82.508 156.6315
153.539385 82.470 156.4898
154.651995 82.432 156.3560
155.772667 82.393 156.2302
156.901460 82.354 156.1126
158.038432 82.314 156.0032
159.183644 82.274 155.9021
160.337154 82.233 155.8093
161.499023 82.192 155.7250
162.669312 82.151 155.6500
163.848081 82.110 155.5850
165.035392 82.068 155.5310
166.231306 82.028 155.4890
167.435887 81.988 155.4599
168.649196 81.948 155.4445
169.871298 81.910 155.4438
171.102255 81.872 155.4585
172.342133 81.836 155.4885
173.590995 81.801 155.5338
174.848907 81.767 155.5935
176.115934 81.735 155.6666
177.392143 81.705 155.7515
178.677599 81.677 155.8468
179.972371 81.652 155.9506
181.276525 81.629 156.0612
182.590129 81.608 156.1767
183.913252 81.590 156.2953
185.245964 81.574 156.4153
186.588332 81.560 156.5347
187.940428 81.548 156.6517
189.302322 81.538 156.7642
190.674085 81.529 156.8699
192.055788 81.521 156.9672
193.447503 81.514 157.0546
194.849303 81.508 157.1314
196.261262 81.503 157.1971
197.683452 81.500 157.2518
199.115948 81.498 157.2953
200.558824 81.498 157.3278
202.012156 81.499 157.3496
203.476019 81.502 157.3611
204.950490 81.507 157.3626
206.435646 81.512 157.3543
207.931564 81.519 157.3364
209.438322 81.526 157.3091
210.955998 81.534 157.2726
212.484672 81.543 157.2275
214.024424 81.552 157.1740
215.575333 81.563 157.1127
217.137481 81.574 157.0442
218.710948 81.586 156.9691
220.295818 81.599 156.8875
221.892172 81.614 156.7995
223.500094 81.629 156.7050
225.119668 81.645 156.6036
226.750978 81.662 156.4952
228.394109 81.680 156.3797
230.049147 81.699 156.2568
231.716178 81.719 156.1266
233.395289 81.739 155.9892
235.086567 81.759 155.8452
236.790102 81.780 155.6950
238.505980 81.800 155.5391
240.234293 81.821 155.3780
241.975130 81.841 155.2121
243.728581 81.861 155.0420
245.494739 81.880 154.8688
247.273695 81.900 154.6938
249.065542 81.919 154.5183
250.870374 81.938 154.3436
252.688284 81.957 154.1701
254.519367 81.975 153.9979
256.363720 81.993 153.8266
258.221437 82.011 153.6556
260.092616 82.029 153.4843
261.977354 82.046 153.3119
263.875750 82.063 153.1381
265.787903 82.080 152.9624
267.713911 82.097 152.7849
269.653877 82.114 152.6057
271.607900 82.131 152.4251
273.576083 82.149 152.2432
275.558528 82.167 152.0594
277.555338 82.184 151.8730
279.566619 82.202 151.6830
281.592474 82.221 151.4885
283.633009 82.240 151.2883
285.688331 82.260 151.0818
287.758546 82.280 150.8683
289.843763 82.302 150.6470
291.944090 82.324 150.4171
294.059638 82.348 150.1776
296.190515 82.373 149.9279
298.336833 82.398 149.6669
300.498705 82.423 149.3939
302.676243 82.448 149.1083
304.869559 82.472 148.8098
307.078770 82.495 148.4980
309.303989 82.517 148.1729
311.545334 82.537 147.8344
313.802919 82.554 147.4821
316.076865 82.569 147.1160
318.367288 82.582 146.7360
320.674309 82.590 146.3429
322.998047 82.595 145.9380
325.338624 82.595 145.5237
327.696162 82.590 145.1032
330.070783 82.579 144.6806
332.462612 82.563 144.2606
334.871773 82.541 143.8483
337.298392 82.513 143.4492
339.742595 82.479 143.0691
342.204510 82.438 142.7135
344.684265 82.393 142.3879
347.181989 82.342 142.0972
349.697813 82.286 141.8457
352.231868 82.227 141.6367
354.784285 82.165 141.4727
357.355198 82.101 141.3553
359.944741 82.036 141.2852
362.553049 81.971 141.2619
365.180258 81.908 141.2838
367.826505 81.848 141.3483
370.491927 81.791 141.4519
373.176665 81.739 141.5901
