* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 28, 2025 2:32:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arya Stealth R8
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 81.513 -141.1823
20.333664 81.527 -141.2816
20.481010 81.546 -141.4162
20.629424 81.571 -141.5838
20.778913 81.602 -141.7820
20.929486 81.637 -142.0082
21.081150 81.679 -142.2596
21.233912 81.724 -142.5333
21.387782 81.774 -142.8261
21.542767 81.827 -143.1347
21.698874 81.883 -143.4553
21.856113 81.939 -143.7841
22.014492 81.996 -144.1169
22.174018 82.051 -144.4498
22.334700 82.104 -144.7793
22.496546 82.155 -145.1019
22.659566 82.201 -145.4151
22.823766 82.242 -145.7174
22.989157 82.279 -146.0081
23.155745 82.310 -146.2876
23.323542 82.337 -146.5577
23.492554 82.358 -146.8210
23.662790 82.375 -147.0812
23.834261 82.388 -147.3425
24.006973 82.397 -147.6094
24.180938 82.402 -147.8860
24.356163 82.405 -148.1758
24.532658 82.406 -148.4809
24.710431 82.403 -148.8017
24.889493 82.399 -149.1369
25.069853 82.392 -149.4832
25.251519 82.382 -149.8358
25.434502 82.370 -150.1885
25.618811 82.355 -150.5347
25.804456 82.339 -150.8680
25.991445 82.320 -151.1827
26.179790 82.299 -151.4749
26.369500 82.278 -151.7426
26.560584 82.256 -151.9863
26.753053 82.234 -152.2084
26.946917 82.212 -152.4133
27.142185 82.191 -152.6065
27.338869 82.171 -152.7941
27.536977 82.152 -152.9818
27.736522 82.133 -153.1742
27.937512 82.116 -153.3746
28.139959 82.100 -153.5844
28.343872 82.085 -153.8034
28.549264 82.072 -154.0300
28.756143 82.061 -154.2616
28.964522 82.053 -154.4950
29.174411 82.047 -154.7272
29.385821 82.045 -154.9553
29.598763 82.047 -155.1772
29.813248 82.053 -155.3916
30.029287 82.062 -155.5980
30.246891 82.075 -155.7966
30.466073 82.090 -155.9883
30.686842 82.108 -156.1746
30.909212 82.129 -156.3571
31.133193 82.151 -156.5376
31.358797 82.176 -156.7181
31.586035 82.202 -156.9003
31.814921 82.229 -157.0859
32.045465 82.260 -157.2760
32.277680 82.292 -157.4715
32.511577 82.327 -157.6727
32.747169 82.366 -157.8796
32.984469 82.407 -158.0913
33.223488 82.452 -158.3069
33.464239 82.500 -158.5245
33.706735 82.551 -158.7424
33.950987 82.604 -158.9583
34.197010 82.658 -159.1701
34.444816 82.714 -159.3757
34.694417 82.771 -159.5736
34.945827 82.827 -159.7627
35.199059 82.883 -159.9428
35.454126 82.939 -160.1143
35.711041 82.994 -160.2783
35.969818 83.048 -160.4362
36.230470 83.101 -160.5896
36.493011 83.154 -160.7401
36.757455 83.206 -160.8891
37.023814 83.257 -161.0376
37.292104 83.308 -161.1864
37.562338 83.359 -161.3361
37.834530 83.410 -161.4873
38.108695 83.459 -161.6405
38.384846 83.508 -161.7958
38.662999 83.554 -161.9534
38.943167 83.599 -162.1130
39.225365 83.641 -162.2741
39.509608 83.680 -162.4358
39.795911 83.717 -162.5973
40.084289 83.750 -162.7580
40.374756 83.781 -162.9180
40.667328 83.811 -163.0777
40.962020 83.838 -163.2383
41.258848 83.865 -163.4014
41.557827 83.890 -163.5684
41.858972 83.915 -163.7404
42.162299 83.940 -163.9178
42.467824 83.964 -164.1001
42.775564 83.988 -164.2856
43.085533 84.011 -164.4721
43.397749 84.032 -164.6567
43.712227 84.053 -164.8367
44.028983 84.072 -165.0099
44.348036 84.090 -165.1746
44.669400 84.108 -165.3301
44.993093 84.125 -165.4765
45.319131 84.140 -165.6150
45.647532 84.156 -165.7471
45.978313 84.170 -165.8752
46.311491 84.183 -166.0021
46.647083 84.196 -166.1309
46.985107 84.208 -166.2646
47.325581 84.218 -166.4061
47.668521 84.228 -166.5574
48.013947 84.235 -166.7191
48.361876 84.241 -166.8903
48.712326 84.244 -167.0685
49.065315 84.246 -167.2502
49.420863 84.246 -167.4316
49.778987 84.244 -167.6092
50.139706 84.242 -167.7806
50.503039 84.239 -167.9449
50.869005 84.236 -168.1023
51.237623 84.233 -168.2548
51.608912 84.230 -168.4048
51.982891 84.228 -168.5555
52.359580 84.227 -168.7097
52.739000 84.227 -168.8702
53.121168 84.228 -169.0387
53.506106 84.230 -169.2164
53.893833 84.232 -169.4030
54.284370 84.236 -169.5975
54.677737 84.240 -169.7981
55.073955 84.245 -170.0025
55.473043 84.251 -170.2087
55.875024 84.259 -170.4152
56.279917 84.269 -170.6210
56.687745 84.280 -170.8253
57.098527 84.294 -171.0272
57.512287 84.311 -171.2255
57.929045 84.329 -171.4194
58.348822 84.349 -171.6086
58.771642 84.370 -171.7928
59.197525 84.389 -171.9723
59.626495 84.405 -172.1467
60.058573 84.418 -172.3153
60.493782 84.428 -172.4776
60.932145 84.434 -172.6340
61.373685 84.439 -172.7859
61.818424 84.443 -172.9360
62.266386 84.449 -173.0869
62.717593 84.457 -173.2404
63.172071 84.468 -173.3973
63.629842 84.481 -173.5577
64.090930 84.498 -173.7211
64.555359 84.517 -173.8867
65.023154 84.539 -174.0538
65.494339 84.562 -174.2216
65.968938 84.586 -174.3890
66.446976 84.611 -174.5553
66.928478 84.637 -174.7197
67.413469 84.663 -174.8817
67.901975 84.690 -175.0414
68.394021 84.717 -175.1989
68.889632 84.744 -175.3554
69.388835 84.770 -175.5119
69.891655 84.795 -175.6697
70.398118 84.819 -175.8297
70.908252 84.841 -175.9920
71.422083 84.861 -176.1563
71.939636 84.878 -176.3215
72.460941 84.893 -176.4865
72.986023 84.906 -176.6500
73.514909 84.917 -176.8112
74.047629 84.926 -176.9696
74.584208 84.933 -177.1252
75.124676 84.939 -177.2784
75.669061 84.942 -177.4300
76.217390 84.944 -177.5807
76.769692 84.944 -177.7314
77.325997 84.943 -177.8828
77.886333 84.940 -178.0355
78.450730 84.936 -178.1898
79.019216 84.931 -178.3462
79.591822 84.925 -178.5049
80.168577 84.918 -178.6658
80.749512 84.911 -178.8287
81.334656 84.904 -178.9933
81.924040 84.896 -179.1590
82.517696 84.889 -179.3253
83.115653 84.882 -179.4916
83.717943 84.876 -179.6575
84.324598 84.870 -179.8232
84.935649 84.865 -179.9886
85.551128 84.860 179.8457
86.171066 84.855 179.6788
86.795497 84.851 179.5099
87.424453 84.846 179.3378
88.057967 84.842 179.1614
88.696071 84.838 178.9798
89.338800 84.833 178.7924
89.986185 84.829 178.5984
90.638262 84.823 178.3974
91.295065 84.817 178.1888
91.956626 84.811 177.9722
92.622982 84.803 177.7480
93.294166 84.795 177.5168
93.970214 84.785 177.2799
94.651161 84.775 177.0389
95.337042 84.765 176.7958
96.027894 84.753 176.5523
96.723752 84.742 176.3105
97.424652 84.729 176.0718
98.130631 84.716 175.8374
98.841726 84.702 175.6077
99.557974 84.688 175.3826
100.279412 84.673 175.1617
101.006078 84.658 174.9442
101.738010 84.643 174.7294
102.475245 84.628 174.5166
103.217823 84.613 174.3055
103.965782 84.598 174.0959
104.719161 84.584 173.8875
105.477999 84.570 173.6797
106.242336 84.556 173.4724
107.012212 84.542 173.2650
107.787666 84.529 173.0579
108.568740 84.515 172.8516
109.355474 84.502 172.6475
110.147909 84.489 172.4470
110.946086 84.477 172.2516
111.750047 84.464 172.0625
112.559834 84.452 171.8808
113.375489 84.441 171.7071
114.197055 84.431 171.5418
115.024574 84.421 171.3849
115.858089 84.411 171.2360
116.697645 84.403 171.0945
117.543284 84.394 170.9596
118.395051 84.386 170.8299
119.252990 84.379 170.7043
120.117147 84.371 170.5818
120.987565 84.364 170.4615
121.864291 84.356 170.3428
122.747370 84.349 170.2256
123.636848 84.341 170.1097
124.532771 84.334 169.9946
125.435187 84.326 169.8796
126.344142 84.318 169.7636
127.259684 84.310 169.6454
128.181860 84.301 169.5238
129.110718 84.292 169.3975
130.046308 84.281 169.2657
130.988677 84.269 169.1280
131.937875 84.255 168.9840
132.893951 84.239 168.8341
133.856956 84.222 168.6791
134.826938 84.202 168.5200
135.803950 84.180 168.3584
136.788041 84.155 168.1959
137.779264 84.128 168.0345
138.777669 84.099 167.8762
139.783309 84.068 167.7230
140.796237 84.034 167.5767
141.816504 83.998 167.4388
142.844165 83.960 167.3105
143.879273 83.919 167.1927
144.921881 83.876 167.0863
145.972045 83.831 166.9918
147.029819 83.783 166.9097
148.095257 83.734 166.8406
149.168417 83.684 166.7853
150.249353 83.632 166.7445
151.338121 83.580 166.7188
152.434780 83.528 166.7090
153.539385 83.475 166.7154
154.651995 83.423 166.7386
155.772667 83.371 166.7787
156.901460 83.321 166.8356
158.038432 83.272 166.9088
159.183644 83.224 166.9975
160.337154 83.178 167.1009
161.499023 83.135 167.2179
162.669312 83.094 167.3471
163.848081 83.055 167.4873
165.035392 83.019 167.6371
166.231306 82.986 167.7951
167.435887 82.955 167.9600
168.649196 82.927 168.1305
169.871298 82.902 168.3051
171.102255 82.878 168.4823
172.342133 82.857 168.6604
173.590995 82.838 168.8379
174.848907 82.821 169.0134
176.115934 82.806 169.1860
177.392143 82.793 169.3549
178.677599 82.782 169.5197
179.972371 82.773 169.6799
181.276525 82.765 169.8352
182.590129 82.759 169.9851
183.913252 82.755 170.1290
185.245964 82.752 170.2662
186.588332 82.750 170.3960
187.940428 82.748 170.5176
189.302322 82.748 170.6310
190.674085 82.747 170.7364
192.055788 82.748 170.8350
193.447503 82.748 170.9274
194.849303 82.749 171.0142
196.261262 82.751 171.0953
197.683452 82.754 171.1706
199.115948 82.758 171.2394
200.558824 82.763 171.3014
202.012156 82.769 171.3557
203.476019 82.775 171.4015
204.950490 82.782 171.4377
206.435646 82.790 171.4635
207.931564 82.797 171.4778
209.438322 82.804 171.4799
210.955998 82.812 171.4695
212.484672 82.819 171.4469
214.024424 82.825 171.4128
215.575333 82.832 171.3686
217.137481 82.839 171.3163
218.710948 82.846 171.2579
220.295818 82.853 171.1959
221.892172 82.860 171.1320
223.500094 82.868 171.0677
225.119668 82.876 171.0039
226.750978 82.885 170.9410
228.394109 82.894 170.8787
230.049147 82.905 170.8167
231.716178 82.917 170.7543
233.395289 82.930 170.6909
235.086567 82.944 170.6261
236.790102 82.960 170.5591
238.505980 82.978 170.4894
240.234293 82.996 170.4161
241.975130 83.016 170.3386
243.728581 83.037 170.2560
245.494739 83.059 170.1678
247.273695 83.082 170.0733
249.065542 83.105 169.9718
250.870374 83.128 169.8628
252.688284 83.152 169.7457
254.519367 83.175 169.6201
256.363720 83.197 169.4855
258.221437 83.219 169.3417
260.092616 83.240 169.1887
261.977354 83.260 169.0266
263.875750 83.279 168.8556
265.787903 83.298 168.6759
267.713911 83.316 168.4872
269.653877 83.333 168.2887
271.607900 83.350 168.0796
273.576083 83.366 167.8591
275.558528 83.382 167.6267
277.555338 83.397 167.3821
279.566619 83.410 167.1255
281.592474 83.422 166.8571
283.633009 83.432 166.5773
285.688331 83.439 166.2870
287.758546 83.443 165.9877
289.843763 83.444 165.6810
291.944090 83.441 165.3693
294.059638 83.434 165.0552
296.190515 83.422 164.7415
298.336833 83.406 164.4314
300.498705 83.384 164.1284
302.676243 83.358 163.8366
304.869559 83.328 163.5603
307.078770 83.293 163.3047
309.303989 83.253 163.0749
311.545334 83.210 162.8760
313.802919 83.164 162.7129
316.076865 83.115 162.5897
318.367288 83.064 162.5097
320.674309 83.012 162.4753
322.998047 82.961 162.4880
325.338624 82.909 162.5481
327.696162 82.860 162.6550
330.070783 82.812 162.8067
332.462612 82.768 163.0005
334.871773 82.727 163.2325
337.298392 82.691 163.4981
339.742595 82.659 163.7921
342.204510 82.632 164.1086
344.684265 82.610 164.4417
347.181989 82.594 164.7855
349.697813 82.583 165.1341
352.231868 82.577 165.4818
354.784285 82.576 165.8232
357.355198 82.580 166.1534
359.944741 82.587 166.4681
362.553049 82.599 166.7632
365.180258 82.614 167.0357
367.826505 82.633 167.2831
