* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 15, 2025 10:53:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD560s (worn) L7
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 75.914 -93.8671
20.333664 75.953 -94.1278
20.481010 76.005 -94.4778
20.629424 76.068 -94.9080
20.778913 76.138 -95.4073
20.929486 76.214 -95.9638
21.081150 76.293 -96.5650
21.233912 76.374 -97.1985
21.387782 76.454 -97.8524
21.542767 76.533 -98.5161
21.698874 76.609 -99.1806
21.856113 76.683 -99.8389
22.014492 76.754 -100.4862
22.174018 76.821 -101.1200
22.334700 76.885 -101.7397
22.496546 76.946 -102.3461
22.659566 77.003 -102.9412
22.823766 77.057 -103.5271
22.989157 77.106 -104.1056
23.155745 77.152 -104.6774
23.323542 77.194 -105.2417
23.492554 77.231 -105.7964
23.662790 77.265 -106.3376
23.834261 77.297 -106.8609
24.006973 77.327 -107.3612
24.180938 77.356 -107.8341
24.356163 77.385 -108.2763
24.532658 77.416 -108.6862
24.710431 77.450 -109.0642
24.889493 77.488 -109.4132
25.069853 77.530 -109.7375
25.251519 77.576 -110.0431
25.434502 77.625 -110.3363
25.618811 77.676 -110.6233
25.804456 77.729 -110.9095
25.991445 77.782 -111.1992
26.179790 77.834 -111.4950
26.369500 77.884 -111.7983
26.560584 77.931 -112.1093
26.753053 77.974 -112.4272
26.946917 78.013 -112.7508
27.142185 78.048 -113.0787
27.338869 78.080 -113.4094
27.536977 78.108 -113.7417
27.736522 78.133 -114.0744
27.937512 78.156 -114.4069
28.139959 78.176 -114.7389
28.343872 78.195 -115.0705
28.549264 78.214 -115.4025
28.756143 78.232 -115.7363
28.964522 78.250 -116.0743
29.174411 78.268 -116.4193
29.385821 78.288 -116.7748
29.598763 78.309 -117.1443
29.813248 78.332 -117.5313
30.029287 78.357 -117.9387
30.246891 78.384 -118.3680
30.466073 78.415 -118.8197
30.686842 78.448 -119.2928
30.909212 78.486 -119.7848
31.133193 78.528 -120.2921
31.358797 78.575 -120.8104
31.586035 78.626 -121.3346
31.814921 78.683 -121.8597
32.045465 78.745 -122.3809
32.277680 78.812 -122.8936
32.511577 78.883 -123.3939
32.747169 78.957 -123.8786
32.984469 79.033 -124.3452
33.223488 79.110 -124.7923
33.464239 79.187 -125.2194
33.706735 79.262 -125.6270
33.950987 79.335 -126.0167
34.197010 79.405 -126.3910
34.444816 79.471 -126.7532
34.694417 79.533 -127.1071
34.945827 79.591 -127.4571
35.199059 79.646 -127.8074
35.454126 79.697 -128.1620
35.711041 79.746 -128.5238
35.969818 79.793 -128.8940
36.230470 79.839 -129.2718
36.493011 79.884 -129.6541
36.757455 79.931 -130.0355
37.023814 79.978 -130.4088
37.292104 80.029 -130.7662
37.562338 80.082 -131.1004
37.834530 80.138 -131.4059
38.108695 80.198 -131.6798
38.384846 80.261 -131.9218
38.662999 80.326 -132.1341
38.943167 80.391 -132.3203
39.225365 80.455 -132.4843
39.509608 80.516 -132.6305
39.795911 80.573 -132.7626
40.084289 80.627 -132.8847
40.374756 80.677 -133.0012
40.667328 80.723 -133.1170
40.962020 80.767 -133.2377
41.258848 80.810 -133.3685
41.557827 80.853 -133.5132
41.858972 80.896 -133.6740
42.162299 80.940 -133.8509
42.467824 80.986 -134.0424
42.775564 81.035 -134.2463
43.085533 81.086 -134.4608
43.397749 81.139 -134.6851
43.712227 81.195 -134.9195
44.028983 81.253 -135.1647
44.348036 81.311 -135.4209
44.669400 81.368 -135.6872
44.993093 81.425 -135.9621
45.319131 81.481 -136.2430
45.647532 81.534 -136.5283
45.978313 81.586 -136.8175
46.311491 81.637 -137.1115
46.647083 81.687 -137.4123
46.985107 81.736 -137.7221
47.325581 81.784 -138.0416
47.668521 81.829 -138.3699
48.013947 81.873 -138.7041
48.361876 81.915 -139.0399
48.712326 81.955 -139.3727
49.065315 81.993 -139.6991
49.420863 82.029 -140.0172
49.778987 82.064 -140.3272
50.139706 82.098 -140.6317
50.503039 82.131 -140.9345
50.869005 82.163 -141.2406
51.237623 82.193 -141.5551
51.608912 82.222 -141.8826
51.982891 82.250 -142.2263
52.359580 82.276 -142.5873
52.739000 82.300 -142.9641
53.121168 82.321 -143.3526
53.506106 82.340 -143.7466
53.893833 82.356 -144.1384
54.284370 82.369 -144.5204
54.677737 82.381 -144.8857
55.073955 82.390 -145.2288
55.473043 82.400 -145.5454
55.875024 82.409 -145.8329
56.279917 82.421 -146.0896
56.687745 82.434 -146.3151
57.098527 82.449 -146.5112
57.512287 82.468 -146.6827
57.929045 82.489 -146.8392
58.348822 82.513 -146.9958
58.771642 82.538 -147.1729
59.197525 82.565 -147.3923
59.626495 82.590 -147.6733
60.058573 82.614 -148.0272
60.493782 82.636 -148.4547
60.932145 82.654 -148.9460
61.373685 82.672 -149.4840
61.818424 82.688 -150.0484
62.266386 82.706 -150.6198
62.717593 82.726 -151.1827
63.172071 82.748 -151.7264
63.629842 82.774 -152.2448
64.090930 82.803 -152.7361
64.555359 82.833 -153.2013
65.023154 82.866 -153.6431
65.494339 82.900 -154.0653
65.968938 82.933 -154.4712
66.446976 82.967 -154.8645
66.928478 82.999 -155.2480
67.413469 83.029 -155.6244
67.901975 83.059 -155.9958
68.394021 83.086 -156.3633
68.889632 83.112 -156.7276
69.388835 83.137 -157.0883
69.891655 83.160 -157.4452
70.398118 83.182 -157.7975
70.908252 83.202 -158.1451
71.422083 83.219 -158.4879
71.939636 83.234 -158.8263
72.460941 83.247 -159.1604
72.986023 83.258 -159.4903
73.514909 83.266 -159.8157
74.047629 83.271 -160.1362
74.584208 83.273 -160.4516
75.124676 83.273 -160.7620
75.669061 83.271 -161.0673
76.217390 83.266 -161.3678
76.769692 83.260 -161.6634
77.325997 83.251 -161.9543
77.886333 83.241 -162.2410
78.450730 83.229 -162.5240
79.019216 83.217 -162.8040
79.591822 83.204 -163.0814
80.168577 83.190 -163.3564
80.749512 83.175 -163.6291
81.334656 83.159 -163.8993
81.924040 83.143 -164.1670
82.517696 83.126 -164.4325
83.115653 83.109 -164.6961
83.717943 83.091 -164.9579
84.324598 83.073 -165.2182
84.935649 83.054 -165.4769
85.551128 83.035 -165.7338
86.171066 83.017 -165.9887
86.795497 82.997 -166.2412
87.424453 82.978 -166.4914
88.057967 82.959 -166.7394
88.696071 82.940 -166.9854
89.338800 82.920 -167.2300
89.986185 82.900 -167.4736
90.638262 82.880 -167.7170
91.295065 82.860 -167.9605
91.956626 82.840 -168.2043
92.622982 82.821 -168.4482
93.294166 82.801 -168.6913
93.970214 82.782 -168.9327
94.651161 82.763 -169.1714
95.337042 82.743 -169.4070
96.027894 82.723 -169.6395
96.723752 82.703 -169.8695
97.424652 82.683 -170.0980
98.130631 82.662 -170.3255
98.841726 82.642 -170.5525
99.557974 82.623 -170.7787
100.279412 82.605 -171.0035
101.006078 82.588 -171.2263
101.738010 82.572 -171.4463
102.475245 82.557 -171.6633
103.217823 82.543 -171.8771
103.965782 82.530 -172.0877
104.719161 82.518 -172.2950
105.477999 82.505 -172.4987
106.242336 82.494 -172.6992
107.012212 82.482 -172.8964
107.787666 82.471 -173.0904
108.568740 82.461 -173.2808
109.355474 82.453 -173.4671
110.147909 82.445 -173.6491
110.946086 82.439 -173.8274
111.750047 82.434 -174.0028
112.559834 82.430 -174.1762
113.375489 82.428 -174.3482
114.197055 82.426 -174.5190
115.024574 82.426 -174.6884
115.858089 82.426 -174.8561
116.697645 82.426 -175.0215
117.543284 82.427 -175.1839
118.395051 82.427 -175.3424
119.252990 82.426 -175.4962
120.117147 82.423 -175.6448
120.987565 82.419 -175.7885
121.864291 82.414 -175.9278
122.747370 82.406 -176.0639
123.636848 82.397 -176.1976
124.532771 82.386 -176.3296
125.435187 82.374 -176.4601
126.344142 82.361 -176.5896
127.259684 82.347 -176.7180
128.181860 82.333 -176.8449
129.110718 82.318 -176.9698
130.046308 82.302 -177.0920
130.988677 82.285 -177.2106
131.937875 82.267 -177.3250
132.893951 82.249 -177.4352
133.856956 82.229 -177.5414
134.826938 82.208 -177.6443
135.803950 82.186 -177.7446
136.788041 82.163 -177.8428
137.779264 82.140 -177.9394
138.777669 82.116 -178.0342
139.783309 82.092 -178.1271
140.796237 82.067 -178.2179
141.816504 82.040 -178.3061
142.844165 82.014 -178.3912
143.879273 81.986 -178.4726
144.921881 81.957 -178.5503
145.972045 81.928 -178.6242
147.029819 81.898 -178.6948
148.095257 81.867 -178.7623
149.168417 81.836 -178.8268
150.249353 81.805 -178.8883
151.338121 81.773 -178.9470
152.434780 81.742 -179.0029
153.539385 81.711 -179.0562
154.651995 81.680 -179.1069
155.772667 81.650 -179.1548
156.901460 81.621 -179.1997
158.038432 81.592 -179.2410
159.183644 81.564 -179.2786
160.337154 81.537 -179.3126
161.499023 81.510 -179.3434
162.669312 81.484 -179.3720
163.848081 81.459 -179.3990
165.035392 81.435 -179.4251
166.231306 81.410 -179.4508
167.435887 81.387 -179.4762
168.649196 81.364 -179.5014
169.871298 81.341 -179.5260
171.102255 81.318 -179.5497
172.342133 81.297 -179.5721
173.590995 81.275 -179.5924
174.848907 81.255 -179.6098
176.115934 81.234 -179.6237
177.392143 81.214 -179.6334
178.677599 81.194 -179.6385
179.972371 81.174 -179.6390
181.276525 81.154 -179.6349
182.590129 81.134 -179.6269
183.913252 81.114 -179.6163
185.245964 81.093 -179.6048
186.588332 81.071 -179.5946
187.940428 81.049 -179.5874
189.302322 81.025 -179.5846
190.674085 81.002 -179.5866
192.055788 80.978 -179.5930
193.447503 80.954 -179.6033
194.849303 80.929 -179.6167
196.261262 80.905 -179.6319
197.683452 80.881 -179.6478
199.115948 80.857 -179.6634
200.558824 80.834 -179.6781
202.012156 80.811 -179.6911
203.476019 80.789 -179.7022
204.950490 80.767 -179.7110
206.435646 80.745 -179.7177
207.931564 80.724 -179.7229
209.438322 80.703 -179.7278
210.955998 80.683 -179.7332
212.484672 80.663 -179.7396
214.024424 80.643 -179.7469
215.575333 80.623 -179.7542
217.137481 80.604 -179.7601
218.710948 80.584 -179.7632
220.295818 80.565 -179.7618
221.892172 80.547 -179.7552
223.500094 80.529 -179.7434
225.119668 80.513 -179.7272
226.750978 80.497 -179.7076
228.394109 80.482 -179.6858
230.049147 80.468 -179.6625
231.716178 80.456 -179.6382
233.395289 80.445 -179.6130
235.086567 80.434 -179.5869
236.790102 80.425 -179.5599
238.505980 80.417 -179.5323
240.234293 80.409 -179.5045
241.975130 80.403 -179.4772
243.728581 80.397 -179.4508
245.494739 80.392 -179.4253
247.273695 80.388 -179.4001
249.065542 80.384 -179.3741
250.870374 80.380 -179.3450
252.688284 80.377 -179.3107
254.519367 80.374 -179.2690
256.363720 80.370 -179.2182
258.221437 80.367 -179.1577
260.092616 80.363 -179.0873
261.977354 80.359 -179.0082
263.875750 80.356 -178.9222
265.787903 80.353 -178.8318
267.713911 80.350 -178.7401
269.653877 80.348 -178.6496
271.607900 80.346 -178.5625
273.576083 80.346 -178.4795
275.558528 80.345 -178.4006
277.555338 80.346 -178.3247
279.566619 80.347 -178.2506
281.592474 80.348 -178.1773
283.633009 80.350 -178.1038
285.688331 80.352 -178.0297
287.758546 80.355 -177.9550
289.843763 80.358 -177.8802
291.944090 80.361 -177.8059
294.059638 80.364 -177.7329
296.190515 80.367 -177.6614
298.336833 80.371 -177.5910
300.498705 80.374 -177.5209
302.676243 80.378 -177.4501
304.869559 80.382 -177.3777
307.078770 80.387 -177.3027
309.303989 80.391 -177.2242
311.545334 80.396 -177.1417
313.802919 80.402 -177.0546
316.076865 80.407 -176.9629
318.367288 80.413 -176.8666
320.674309 80.419 -176.7660
322.998047 80.425 -176.6617
325.338624 80.431 -176.5541
327.696162 80.437 -176.4435
330.070783 80.443 -176.3301
332.462612 80.449 -176.2142
