* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 15, 2025 10:58:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD560s (worn) R10
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 76.837 -105.1460
20.333664 76.874 -105.3127
20.481010 76.923 -105.5329
20.629424 76.982 -105.7963
20.778913 77.050 -106.0918
20.929486 77.126 -106.4083
21.081150 77.207 -106.7358
21.233912 77.292 -107.0654
21.387782 77.379 -107.3905
21.542767 77.469 -107.7062
21.698874 77.560 -108.0095
21.856113 77.650 -108.2996
22.014492 77.739 -108.5770
22.174018 77.827 -108.8435
22.334700 77.911 -109.1017
22.496546 77.990 -109.3543
22.659566 78.065 -109.6044
22.823766 78.133 -109.8545
22.989157 78.195 -110.1066
23.155745 78.250 -110.3622
23.323542 78.298 -110.6222
23.492554 78.339 -110.8872
23.662790 78.374 -111.1575
23.834261 78.404 -111.4338
24.006973 78.430 -111.7167
24.180938 78.455 -112.0076
24.356163 78.478 -112.3079
24.532658 78.501 -112.6199
24.710431 78.527 -112.9455
24.889493 78.554 -113.2868
25.069853 78.584 -113.6453
25.251519 78.617 -114.0219
25.434502 78.652 -114.4165
25.618811 78.688 -114.8282
25.804456 78.724 -115.2549
25.991445 78.760 -115.6940
26.179790 78.794 -116.1423
26.369500 78.825 -116.5965
26.560584 78.852 -117.0531
26.753053 78.875 -117.5090
26.946917 78.893 -117.9615
27.142185 78.906 -118.4084
27.338869 78.915 -118.8479
27.536977 78.921 -119.2785
27.736522 78.924 -119.6993
27.937512 78.925 -120.1095
28.139959 78.926 -120.5086
28.343872 78.928 -120.8964
28.549264 78.932 -121.2731
28.756143 78.940 -121.6390
28.964522 78.951 -121.9949
29.174411 78.968 -122.3418
29.385821 78.990 -122.6808
29.598763 79.016 -123.0131
29.813248 79.048 -123.3398
30.029287 79.084 -123.6618
30.246891 79.123 -123.9794
30.466073 79.166 -124.2930
30.686842 79.211 -124.6028
30.909212 79.259 -124.9093
31.133193 79.309 -125.2133
31.358797 79.361 -125.5163
31.586035 79.417 -125.8202
31.814921 79.475 -126.1276
32.045465 79.537 -126.4409
32.277680 79.603 -126.7623
32.511577 79.673 -127.0930
32.747169 79.746 -127.4330
32.984469 79.822 -127.7809
33.223488 79.902 -128.1339
33.464239 79.984 -128.4881
33.706735 80.067 -128.8391
33.950987 80.152 -129.1826
34.197010 80.237 -129.5150
34.444816 80.322 -129.8341
34.694417 80.406 -130.1390
34.945827 80.488 -130.4305
35.199059 80.567 -130.7112
35.454126 80.643 -130.9847
35.711041 80.715 -131.2557
35.969818 80.782 -131.5292
36.230470 80.845 -131.8098
36.493011 80.903 -132.1013
36.757455 80.957 -132.4060
37.023814 81.008 -132.7241
37.292104 81.056 -133.0544
37.562338 81.102 -133.3936
37.834530 81.149 -133.7378
38.108695 81.198 -134.0824
38.384846 81.248 -134.4234
38.662999 81.302 -134.7574
38.943167 81.359 -135.0823
39.225365 81.418 -135.3970
39.509608 81.479 -135.7014
39.795911 81.539 -135.9953
40.084289 81.598 -136.2791
40.374756 81.655 -136.5530
40.667328 81.707 -136.8171
40.962020 81.756 -137.0718
41.258848 81.800 -137.3177
41.557827 81.840 -137.5555
41.858972 81.877 -137.7865
42.162299 81.911 -138.0121
42.467824 81.942 -138.2339
42.775564 81.971 -138.4534
43.085533 81.999 -138.6723
43.397749 82.024 -138.8923
43.712227 82.048 -139.1150
44.028983 82.071 -139.3423
44.348036 82.094 -139.5760
44.669400 82.116 -139.8170
44.993093 82.138 -140.0656
45.319131 82.161 -140.3202
45.647532 82.186 -140.5776
45.978313 82.213 -140.8332
46.311491 82.243 -141.0823
46.647083 82.275 -141.3209
46.985107 82.310 -141.5478
47.325581 82.348 -141.7645
47.668521 82.387 -141.9754
48.013947 82.427 -142.1861
48.361876 82.465 -142.4021
48.712326 82.502 -142.6267
49.065315 82.535 -142.8607
49.420863 82.564 -143.1021
49.778987 82.589 -143.3475
50.139706 82.610 -143.5930
50.503039 82.628 -143.8351
50.869005 82.642 -144.0717
51.237623 82.653 -144.3018
51.608912 82.662 -144.5258
51.982891 82.669 -144.7450
52.359580 82.674 -144.9620
52.739000 82.679 -145.1798
53.121168 82.683 -145.4015
53.506106 82.687 -145.6291
53.893833 82.691 -145.8633
54.284370 82.696 -146.1027
54.677737 82.701 -146.3438
55.073955 82.706 -146.5812
55.473043 82.712 -146.8084
55.875024 82.718 -147.0182
56.279917 82.725 -147.2042
56.687745 82.731 -147.3620
57.098527 82.738 -147.4905
57.512287 82.744 -147.5930
57.929045 82.751 -147.6779
58.348822 82.759 -147.7590
58.771642 82.770 -147.8548
59.197525 82.784 -147.9864
59.626495 82.803 -148.1738
60.058573 82.828 -148.4309
60.493782 82.859 -148.7617
60.932145 82.895 -149.1584
61.373685 82.936 -149.6032
61.818424 82.979 -150.0732
62.266386 83.025 -150.5462
62.717593 83.072 -151.0046
63.172071 83.119 -151.4376
63.629842 83.166 -151.8410
64.090930 83.213 -152.2153
64.555359 83.258 -152.5645
65.023154 83.302 -152.8940
65.494339 83.345 -153.2096
65.968938 83.385 -153.5164
66.446976 83.424 -153.8185
66.928478 83.461 -154.1185
67.413469 83.495 -154.4179
67.901975 83.527 -154.7173
68.394021 83.558 -155.0165
68.889632 83.586 -155.3150
69.388835 83.613 -155.6118
69.891655 83.638 -155.9058
70.398118 83.662 -156.1959
70.908252 83.686 -156.4817
71.422083 83.708 -156.7635
71.939636 83.729 -157.0422
72.460941 83.747 -157.3189
72.986023 83.764 -157.5950
73.514909 83.778 -157.8715
74.047629 83.788 -158.1486
74.584208 83.795 -158.4258
75.124676 83.799 -158.7016
75.669061 83.800 -158.9742
76.217390 83.798 -159.2418
76.769692 83.794 -159.5031
77.325997 83.789 -159.7576
77.886333 83.783 -160.0054
78.450730 83.776 -160.2470
79.019216 83.768 -160.4832
79.591822 83.760 -160.7147
80.168577 83.752 -160.9422
80.749512 83.743 -161.1668
81.334656 83.734 -161.3894
81.924040 83.725 -161.6110
82.517696 83.716 -161.8326
83.115653 83.706 -162.0546
83.717943 83.696 -162.2775
84.324598 83.686 -162.5014
84.935649 83.675 -162.7268
85.551128 83.664 -162.9537
86.171066 83.652 -163.1820
86.795497 83.640 -163.4116
87.424453 83.628 -163.6418
88.057967 83.615 -163.8715
88.696071 83.602 -164.0998
89.338800 83.589 -164.3258
89.986185 83.575 -164.5491
90.638262 83.561 -164.7699
91.295065 83.546 -164.9883
91.956626 83.531 -165.2050
92.622982 83.515 -165.4203
93.294166 83.498 -165.6345
93.970214 83.481 -165.8476
94.651161 83.463 -166.0592
95.337042 83.446 -166.2688
96.027894 83.428 -166.4754
96.723752 83.410 -166.6778
97.424652 83.393 -166.8753
98.130631 83.376 -167.0673
98.841726 83.360 -167.2539
99.557974 83.344 -167.4354
100.279412 83.328 -167.6124
101.006078 83.313 -167.7849
101.738010 83.299 -167.9526
102.475245 83.285 -168.1152
103.217823 83.271 -168.2724
103.965782 83.259 -168.4243
104.719161 83.247 -168.5717
105.477999 83.237 -168.7155
106.242336 83.227 -168.8567
107.012212 83.219 -168.9958
107.787666 83.212 -169.1333
108.568740 83.207 -169.2693
109.355474 83.203 -169.4037
110.147909 83.200 -169.5361
110.946086 83.198 -169.6660
111.750047 83.197 -169.7933
112.559834 83.198 -169.9177
113.375489 83.199 -170.0394
114.197055 83.202 -170.1581
115.024574 83.205 -170.2737
115.858089 83.209 -170.3862
116.697645 83.213 -170.4956
117.543284 83.217 -170.6027
118.395051 83.220 -170.7090
119.252990 83.221 -170.8163
120.117147 83.222 -170.9266
120.987565 83.221 -171.0409
121.864291 83.218 -171.1590
122.747370 83.214 -171.2797
123.636848 83.208 -171.4013
124.532771 83.202 -171.5219
125.435187 83.195 -171.6398
126.344142 83.188 -171.7537
127.259684 83.180 -171.8626
128.181860 83.172 -171.9661
129.110718 83.163 -172.0643
130.046308 83.154 -172.1578
130.988677 83.145 -172.2478
131.937875 83.134 -172.3359
132.893951 83.123 -172.4234
133.856956 83.111 -172.5108
134.826938 83.098 -172.5981
135.803950 83.084 -172.6844
136.788041 83.069 -172.7689
137.779264 83.054 -172.8507
138.777669 83.037 -172.9292
139.783309 83.020 -173.0040
140.796237 83.003 -173.0747
141.816504 82.984 -173.1410
142.844165 82.966 -173.2030
143.879273 82.947 -173.2607
144.921881 82.927 -173.3147
145.972045 82.907 -173.3658
147.029819 82.887 -173.4149
148.095257 82.866 -173.4632
149.168417 82.845 -173.5114
150.249353 82.823 -173.5603
151.338121 82.802 -173.6101
152.434780 82.780 -173.6605
153.539385 82.758 -173.7113
154.651995 82.737 -173.7621
155.772667 82.716 -173.8123
156.901460 82.695 -173.8613
158.038432 82.674 -173.9082
159.183644 82.654 -173.9523
160.337154 82.633 -173.9930
161.499023 82.612 -174.0298
162.669312 82.591 -174.0632
163.848081 82.569 -174.0942
165.035392 82.547 -174.1243
166.231306 82.526 -174.1548
167.435887 82.504 -174.1866
168.649196 82.482 -174.2205
169.871298 82.460 -174.2566
171.102255 82.438 -174.2948
172.342133 82.417 -174.3345
173.590995 82.395 -174.3749
174.848907 82.373 -174.4148
176.115934 82.352 -174.4527
177.392143 82.330 -174.4870
178.677599 82.308 -174.5158
179.972371 82.285 -174.5379
181.276525 82.261 -174.5527
182.590129 82.237 -174.5604
183.913252 82.212 -174.5617
185.245964 82.187 -174.5576
186.588332 82.161 -174.5491
187.940428 82.135 -174.5368
189.302322 82.108 -174.5205
190.674085 82.081 -174.4997
192.055788 82.053 -174.4734
193.447503 82.026 -174.4408
194.849303 81.998 -174.4009
196.261262 81.970 -174.3532
197.683452 81.943 -174.2972
199.115948 81.916 -174.2324
200.558824 81.889 -174.1591
202.012156 81.863 -174.0778
203.476019 81.838 -173.9900
204.950490 81.814 -173.8976
206.435646 81.792 -173.8026
207.931564 81.771 -173.7065
209.438322 81.751 -173.6104
210.955998 81.734 -173.5149
212.484672 81.718 -173.4207
214.024424 81.705 -173.3284
215.575333 81.692 -173.2384
217.137481 81.682 -173.1511
218.710948 81.672 -173.0660
220.295818 81.663 -172.9825
221.892172 81.656 -172.9003
223.500094 81.648 -172.8191
225.119668 81.642 -172.7391
226.750978 81.636 -172.6607
228.394109 81.631 -172.5844
230.049147 81.626 -172.5098
231.716178 81.623 -172.4362
233.395289 81.620 -172.3624
235.086567 81.618 -172.2873
236.790102 81.617 -172.2103
238.505980 81.618 -172.1316
240.234293 81.619 -172.0522
241.975130 81.622 -171.9735
243.728581 81.626 -171.8968
245.494739 81.631 -171.8229
247.273695 81.637 -171.7522
249.065542 81.643 -171.6843
250.870374 81.650 -171.6185
252.688284 81.658 -171.5540
254.519367 81.667 -171.4901
256.363720 81.676 -171.4258
258.221437 81.685 -171.3602
260.092616 81.695 -171.2928
261.977354 81.706 -171.2231
263.875750 81.716 -171.1506
265.787903 81.727 -171.0749
267.713911 81.737 -170.9955
269.653877 81.747 -170.9123
271.607900 81.757 -170.8254
273.576083 81.766 -170.7357
275.558528 81.776 -170.6443
277.555338 81.784 -170.5525
279.566619 81.793 -170.4614
281.592474 81.802 -170.3720
283.633009 81.811 -170.2852
285.688331 81.820 -170.2015
287.758546 81.829 -170.1209
289.843763 81.839 -170.0432
291.944090 81.850 -169.9678
294.059638 81.861 -169.8940
296.190515 81.873 -169.8212
298.336833 81.884 -169.7489
300.498705 81.897 -169.6768
302.676243 81.909 -169.6047
304.869559 81.921 -169.5325
307.078770 81.934 -169.4600
309.303989 81.947 -169.3868
311.545334 81.960 -169.3122
313.802919 81.974 -169.2358
316.076865 81.987 -169.1570
318.367288 82.001 -169.0753
320.674309 82.016 -168.9904
322.998047 82.031 -168.9022
325.338624 82.047 -168.8106
327.696162 82.063 -168.7161
330.070783 82.079 -168.6194
332.462612 82.096 -168.5214
