* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 17, 2025 12:38:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD650 (Geekria) L7
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 91.569 -61.1545
20.333664 91.584 -61.3054
20.481010 91.605 -61.5075
20.629424 91.630 -61.7554
20.778913 91.660 -62.0440
20.929486 91.693 -62.3685
21.081150 91.730 -62.7247
21.233912 91.767 -63.1089
21.387782 91.805 -63.5174
21.542767 91.842 -63.9461
21.698874 91.876 -64.3906
21.856113 91.908 -64.8464
22.014492 91.937 -65.3087
22.174018 91.963 -65.7731
22.334700 91.985 -66.2364
22.496546 92.006 -66.6965
22.659566 92.025 -67.1534
22.823766 92.045 -67.6091
22.989157 92.065 -68.0678
23.155745 92.088 -68.5352
23.323542 92.114 -69.0182
23.492554 92.144 -69.5237
23.662790 92.177 -70.0580
23.834261 92.212 -70.6254
24.006973 92.250 -71.2280
24.180938 92.288 -71.8646
24.356163 92.326 -72.5313
24.532658 92.363 -73.2213
24.710431 92.399 -73.9253
24.889493 92.432 -74.6331
25.069853 92.463 -75.3335
25.251519 92.492 -76.0163
25.434502 92.521 -76.6720
25.618811 92.550 -77.2938
25.804456 92.581 -77.8770
25.991445 92.615 -78.4200
26.179790 92.654 -78.9238
26.369500 92.699 -79.3920
26.560584 92.752 -79.8301
26.753053 92.811 -80.2449
26.946917 92.879 -80.6437
27.142185 92.954 -81.0337
27.338869 93.036 -81.4210
27.536977 93.122 -81.8108
27.736522 93.213 -82.2068
27.937512 93.306 -82.6111
28.139959 93.398 -83.0247
28.343872 93.490 -83.4477
28.549264 93.577 -83.8794
28.756143 93.659 -84.3187
28.964522 93.734 -84.7644
29.174411 93.801 -85.2152
29.385821 93.859 -85.6698
29.598763 93.908 -86.1266
29.813248 93.947 -86.5845
30.029287 93.979 -87.0424
30.246891 94.003 -87.4994
30.466073 94.021 -87.9553
30.686842 94.036 -88.4104
30.909212 94.050 -88.8658
31.133193 94.065 -89.3232
31.358797 94.083 -89.7847
31.586035 94.106 -90.2521
31.814921 94.134 -90.7268
32.045465 94.169 -91.2094
32.277680 94.210 -91.6990
32.511577 94.258 -92.1940
32.747169 94.312 -92.6921
32.984469 94.371 -93.1909
33.223488 94.434 -93.6884
33.464239 94.501 -94.1840
33.706735 94.571 -94.6779
33.950987 94.643 -95.1719
34.197010 94.716 -95.6682
34.444816 94.789 -96.1695
34.694417 94.862 -96.6779
34.945827 94.932 -97.1944
35.199059 95.001 -97.7189
35.454126 95.065 -98.2498
35.711041 95.126 -98.7847
35.969818 95.181 -99.3206
36.230470 95.231 -99.8544
36.493011 95.275 -100.3837
36.757455 95.313 -100.9065
37.023814 95.346 -101.4220
37.292104 95.373 -101.9303
37.562338 95.396 -102.4323
37.834530 95.414 -102.9294
38.108695 95.429 -103.4235
38.384846 95.442 -103.9162
38.662999 95.453 -104.4092
38.943167 95.463 -104.9035
39.225365 95.471 -105.3999
39.509608 95.479 -105.8983
39.795911 95.486 -106.3982
40.084289 95.491 -106.8988
40.374756 95.494 -107.3988
40.667328 95.494 -107.8971
40.962020 95.492 -108.3925
41.258848 95.487 -108.8843
41.557827 95.480 -109.3723
41.858972 95.472 -109.8566
42.162299 95.462 -110.3375
42.467824 95.453 -110.8153
42.775564 95.444 -111.2894
43.085533 95.436 -111.7582
43.397749 95.432 -112.2194
43.712227 95.430 -112.6700
44.028983 95.433 -113.1074
44.348036 95.440 -113.5303
44.669400 95.453 -113.9388
44.993093 95.472 -114.3344
45.319131 95.498 -114.7196
45.647532 95.529 -115.0963
45.978313 95.565 -115.4660
46.311491 95.605 -115.8286
46.647083 95.649 -116.1835
46.985107 95.696 -116.5300
47.325581 95.745 -116.8687
47.668521 95.796 -117.2016
48.013947 95.849 -117.5325
48.361876 95.904 -117.8663
48.712326 95.960 -118.2083
49.065315 96.016 -118.5629
49.420863 96.072 -118.9332
49.778987 96.128 -119.3203
50.139706 96.182 -119.7227
50.503039 96.234 -120.1372
50.869005 96.282 -120.5586
51.237623 96.328 -120.9812
51.608912 96.369 -121.3993
51.982891 96.407 -121.8078
52.359580 96.441 -122.2027
52.739000 96.472 -122.5811
53.121168 96.500 -122.9414
53.506106 96.526 -123.2832
53.893833 96.550 -123.6075
54.284370 96.572 -123.9165
54.677737 96.593 -124.2134
55.073955 96.613 -124.5014
55.473043 96.630 -124.7832
55.875024 96.646 -125.0604
56.279917 96.660 -125.3339
56.687745 96.672 -125.6043
57.098527 96.683 -125.8726
57.512287 96.693 -126.1414
57.929045 96.703 -126.4145
58.348822 96.713 -126.6978
58.771642 96.726 -126.9984
59.197525 96.742 -127.3236
59.626495 96.763 -127.6796
60.058573 96.788 -128.0701
60.493782 96.817 -128.4946
60.932145 96.851 -128.9479
61.373685 96.888 -129.4220
61.818424 96.926 -129.9070
62.266386 96.965 -130.3939
62.717593 97.003 -130.8759
63.172071 97.039 -131.3489
63.629842 97.072 -131.8114
64.090930 97.103 -132.2636
64.555359 97.131 -132.7069
65.023154 97.157 -133.1432
65.494339 97.181 -133.5745
65.968938 97.204 -134.0017
66.446976 97.226 -134.4255
66.928478 97.248 -134.8455
67.413469 97.269 -135.2612
67.901975 97.290 -135.6719
68.394021 97.310 -136.0772
68.889632 97.331 -136.4769
69.388835 97.350 -136.8712
69.891655 97.369 -137.2604
70.398118 97.387 -137.6452
70.908252 97.404 -138.0259
71.422083 97.419 -138.4027
71.939636 97.434 -138.7759
72.460941 97.448 -139.1456
72.986023 97.461 -139.5121
73.514909 97.474 -139.8756
74.047629 97.487 -140.2366
74.584208 97.500 -140.5953
75.124676 97.514 -140.9523
75.669061 97.528 -141.3079
76.217390 97.542 -141.6630
76.769692 97.556 -142.0184
77.325997 97.571 -142.3751
77.886333 97.585 -142.7340
78.450730 97.600 -143.0955
79.019216 97.614 -143.4596
79.591822 97.628 -143.8255
80.168577 97.641 -144.1920
80.749512 97.654 -144.5574
81.334656 97.667 -144.9204
81.924040 97.678 -145.2801
82.517696 97.689 -145.6362
83.115653 97.699 -145.9889
83.717943 97.708 -146.3386
84.324598 97.717 -146.6856
84.935649 97.726 -147.0301
85.551128 97.734 -147.3722
86.171066 97.744 -147.7119
86.795497 97.754 -148.0495
87.424453 97.765 -148.3854
88.057967 97.778 -148.7201
88.696071 97.791 -149.0539
89.338800 97.806 -149.3871
89.986185 97.821 -149.7195
90.638262 97.837 -150.0507
91.295065 97.854 -150.3798
91.956626 97.870 -150.7064
92.622982 97.887 -151.0299
93.294166 97.904 -151.3503
93.970214 97.919 -151.6677
94.651161 97.934 -151.9825
95.337042 97.947 -152.2952
96.027894 97.958 -152.6066
96.723752 97.967 -152.9175
97.424652 97.975 -153.2286
98.130631 97.980 -153.5404
98.841726 97.983 -153.8532
99.557974 97.984 -154.1668
100.279412 97.984 -154.4809
101.006078 97.982 -154.7950
101.738010 97.979 -155.1086
102.475245 97.975 -155.4212
103.217823 97.971 -155.7329
103.965782 97.968 -156.0434
104.719161 97.965 -156.3528
105.477999 97.964 -156.6609
106.242336 97.963 -156.9673
107.012212 97.964 -157.2712
107.787666 97.965 -157.5721
108.568740 97.968 -157.8695
109.355474 97.971 -158.1634
110.147909 97.975 -158.4540
110.946086 97.979 -158.7418
111.750047 97.984 -159.0275
112.559834 97.989 -159.3117
113.375489 97.994 -159.5951
114.197055 97.998 -159.8784
115.024574 98.002 -160.1618
115.858089 98.005 -160.4458
116.697645 98.007 -160.7302
117.543284 98.008 -161.0150
118.395051 98.008 -161.3000
119.252990 98.007 -161.5849
120.117147 98.005 -161.8696
120.987565 98.002 -162.1543
121.864291 97.998 -162.4389
122.747370 97.994 -162.7235
123.636848 97.990 -163.0080
124.532771 97.987 -163.2923
125.435187 97.984 -163.5763
126.344142 97.982 -163.8603
127.259684 97.982 -164.1442
128.181860 97.983 -164.4284
129.110718 97.986 -164.7127
130.046308 97.990 -164.9970
130.988677 97.996 -165.2808
131.937875 98.003 -165.5635
132.893951 98.011 -165.8440
133.856956 98.019 -166.1209
134.826938 98.027 -166.3927
135.803950 98.034 -166.6581
136.788041 98.040 -166.9164
137.779264 98.044 -167.1675
138.777669 98.047 -167.4121
139.783309 98.048 -167.6511
140.796237 98.046 -167.8858
141.816504 98.042 -168.1176
142.844165 98.037 -168.3475
143.879273 98.029 -168.5766
144.921881 98.019 -168.8058
145.972045 98.007 -169.0354
147.029819 97.995 -169.2660
148.095257 97.982 -169.4978
149.168417 97.969 -169.7310
150.249353 97.957 -169.9657
151.338121 97.945 -170.2018
152.434780 97.934 -170.4394
153.539385 97.925 -170.6783
154.651995 97.916 -170.9184
155.772667 97.910 -171.1593
156.901460 97.904 -171.4008
158.038432 97.900 -171.6427
159.183644 97.896 -171.8845
160.337154 97.893 -172.1257
161.499023 97.889 -172.3658
162.669312 97.886 -172.6042
163.848081 97.883 -172.8409
165.035392 97.878 -173.0759
166.231306 97.874 -173.3096
167.435887 97.868 -173.5424
168.649196 97.862 -173.7746
169.871298 97.856 -174.0064
171.102255 97.848 -174.2377
172.342133 97.839 -174.4680
173.590995 97.830 -174.6969
174.848907 97.820 -174.9235
176.115934 97.808 -175.1472
177.392143 97.796 -175.3679
178.677599 97.782 -175.5854
179.972371 97.767 -175.8002
181.276525 97.751 -176.0127
182.590129 97.734 -176.2234
183.913252 97.716 -176.4324
185.245964 97.696 -176.6400
186.588332 97.675 -176.8459
187.940428 97.652 -177.0499
189.302322 97.627 -177.2518
190.674085 97.601 -177.4514
192.055788 97.572 -177.6492
193.447503 97.541 -177.8456
194.849303 97.508 -178.0411
196.261262 97.473 -178.2363
197.683452 97.436 -178.4310
199.115948 97.396 -178.6250
200.558824 97.355 -178.8178
202.012156 97.312 -179.0090
203.476019 97.269 -179.1987
204.950490 97.225 -179.3868
206.435646 97.181 -179.5732
207.931564 97.139 -179.7573
209.438322 97.098 -179.9390
210.955998 97.060 179.8822
212.484672 97.025 179.7059
214.024424 96.993 179.5320
215.575333 96.966 179.3600
217.137481 96.944 179.1898
218.710948 96.926 179.0216
220.295818 96.913 178.8557
221.892172 96.904 178.6920
223.500094 96.898 178.5306
225.119668 96.897 178.3709
226.750978 96.898 178.2122
228.394109 96.903 178.0537
230.049147 96.910 177.8948
231.716178 96.919 177.7353
233.395289 96.930 177.5752
235.086567 96.943 177.4152
236.790102 96.957 177.2564
238.505980 96.972 177.0996
240.234293 96.986 176.9460
241.975130 97.001 176.7964
243.728581 97.014 176.6517
245.494739 97.026 176.5125
247.273695 97.036 176.3792
249.065542 97.044 176.2523
250.870374 97.050 176.1322
252.688284 97.055 176.0195
254.519367 97.058 175.9147
256.363720 97.061 175.8188
258.221437 97.062 175.7321
260.092616 97.064 175.6540
261.977354 97.067 175.5836
263.875750 97.070 175.5193
265.787903 97.074 175.4595
267.713911 97.078 175.4026
269.653877 97.082 175.3471
271.607900 97.085 175.2915
273.576083 97.087 175.2351
275.558528 97.086 175.1773
277.555338 97.082 175.1180
279.566619 97.074 175.0569
281.592474 97.062 174.9937
283.633009 97.046 174.9279
285.688331 97.024 174.8586
287.758546 96.998 174.7855
289.843763 96.967 174.7083
291.944090 96.931 174.6271
294.059638 96.891 174.5422
296.190515 96.847 174.4543
298.336833 96.799 174.3638
300.498705 96.750 174.2715
302.676243 96.698 174.1782
304.869559 96.645 174.0847
307.078770 96.591 173.9917
309.303989 96.538 173.9001
311.545334 96.485 173.8104
313.802919 96.434 173.7231
316.076865 96.385 173.6384
318.367288 96.339 173.5564
320.674309 96.296 173.4765
322.998047 96.257 173.3983
325.338624 96.221 173.3208
327.696162 96.191 173.2437
330.070783 96.165 173.1664
332.462612 96.144 173.0889
334.871773 96.128 173.0110
337.298392 96.118 172.9330
339.742595 96.112 172.8550
342.204510 96.111 172.7778
344.684265 96.115 172.7018
