* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 17, 2025 12:33:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD650 (Mystery) L4
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 91.766 -62.4710
20.333664 91.763 -62.6485
20.481010 91.759 -62.8820
20.629424 91.756 -63.1597
20.778913 91.754 -63.4690
20.929486 91.754 -63.7980
21.081150 91.756 -64.1362
21.233912 91.763 -64.4745
21.387782 91.774 -64.8060
21.542767 91.789 -65.1254
21.698874 91.808 -65.4289
21.856113 91.831 -65.7142
22.014492 91.858 -65.9802
22.174018 91.889 -66.2271
22.334700 91.922 -66.4566
22.496546 91.958 -66.6719
22.659566 91.997 -66.8777
22.823766 92.037 -67.0805
22.989157 92.078 -67.2878
23.155745 92.120 -67.5086
23.323542 92.163 -67.7521
23.492554 92.205 -68.0272
23.662790 92.245 -68.3418
23.834261 92.283 -68.7020
24.006973 92.318 -69.1112
24.180938 92.349 -69.5702
24.356163 92.376 -70.0767
24.532658 92.399 -70.6259
24.710431 92.419 -71.2107
24.889493 92.436 -71.8231
25.069853 92.451 -72.4547
25.251519 92.468 -73.0982
25.434502 92.486 -73.7476
25.618811 92.509 -74.3993
25.804456 92.538 -75.0519
25.991445 92.574 -75.7059
26.179790 92.617 -76.3629
26.369500 92.668 -77.0248
26.560584 92.725 -77.6923
26.753053 92.787 -78.3645
26.946917 92.853 -79.0379
27.142185 92.921 -79.7071
27.338869 92.992 -80.3649
27.536977 93.063 -81.0034
27.736522 93.135 -81.6155
27.937512 93.207 -82.1960
28.139959 93.281 -82.7426
28.343872 93.356 -83.2564
28.549264 93.431 -83.7416
28.756143 93.507 -84.2049
28.964522 93.581 -84.6541
29.174411 93.653 -85.0965
29.385821 93.720 -85.5377
29.598763 93.781 -85.9810
29.813248 93.835 -86.4272
30.029287 93.881 -86.8750
30.246891 93.918 -87.3226
30.466073 93.949 -87.7682
30.686842 93.973 -88.2118
30.909212 93.994 -88.6554
31.133193 94.013 -89.1031
31.358797 94.033 -89.5604
31.586035 94.056 -90.0330
31.814921 94.082 -90.5253
32.045465 94.112 -91.0396
32.277680 94.148 -91.5749
32.511577 94.189 -92.1275
32.747169 94.236 -92.6913
32.984469 94.289 -93.2589
33.223488 94.346 -93.8229
33.464239 94.408 -94.3768
33.706735 94.474 -94.9161
33.950987 94.543 -95.4379
34.197010 94.614 -95.9412
34.444816 94.685 -96.4264
34.694417 94.755 -96.8952
34.945827 94.823 -97.3501
35.199059 94.888 -97.7944
35.454126 94.950 -98.2321
35.711041 95.006 -98.6680
35.969818 95.058 -99.1070
36.230470 95.104 -99.5538
36.493011 95.144 -100.0120
36.757455 95.179 -100.4837
37.023814 95.207 -100.9687
37.292104 95.231 -101.4651
37.562338 95.249 -101.9695
37.834530 95.263 -102.4772
38.108695 95.274 -102.9833
38.384846 95.282 -103.4831
38.662999 95.290 -103.9720
38.943167 95.296 -104.4458
39.225365 95.303 -104.9011
39.509608 95.310 -105.3351
39.795911 95.318 -105.7464
40.084289 95.327 -106.1356
40.374756 95.337 -106.5056
40.667328 95.348 -106.8617
40.962020 95.360 -107.2111
41.258848 95.373 -107.5614
41.557827 95.386 -107.9191
41.858972 95.399 -108.2882
42.162299 95.413 -108.6696
42.467824 95.426 -109.0608
42.775564 95.440 -109.4569
43.085533 95.455 -109.8523
43.397749 95.474 -110.2420
43.712227 95.496 -110.6233
44.028983 95.523 -110.9964
44.348036 95.556 -111.3637
44.669400 95.592 -111.7299
44.993093 95.632 -112.1001
45.319131 95.675 -112.4788
45.647532 95.717 -112.8697
45.978313 95.759 -113.2746
46.311491 95.799 -113.6934
46.647083 95.837 -114.1242
46.985107 95.871 -114.5634
47.325581 95.903 -115.0062
47.668521 95.933 -115.4469
48.013947 95.962 -115.8801
48.361876 95.990 -116.3009
48.712326 96.019 -116.7066
49.065315 96.050 -117.0963
49.420863 96.084 -117.4714
49.778987 96.121 -117.8351
50.139706 96.160 -118.1918
50.503039 96.202 -118.5460
50.869005 96.245 -118.9022
51.237623 96.289 -119.2637
51.608912 96.333 -119.6330
51.982891 96.376 -120.0111
52.359580 96.418 -120.3978
52.739000 96.456 -120.7919
53.121168 96.493 -121.1917
53.506106 96.526 -121.5954
53.893833 96.557 -122.0017
54.284370 96.585 -122.4096
54.677737 96.611 -122.8187
55.073955 96.635 -123.2288
55.473043 96.657 -123.6394
55.875024 96.677 -124.0500
56.279917 96.696 -124.4602
56.687745 96.712 -124.8697
57.098527 96.726 -125.2790
57.512287 96.738 -125.6891
57.929045 96.750 -126.1006
58.348822 96.761 -126.5138
58.771642 96.773 -126.9274
59.197525 96.788 -127.3392
59.626495 96.806 -127.7468
60.058573 96.831 -128.1483
60.493782 96.861 -128.5429
60.932145 96.896 -128.9309
61.373685 96.935 -129.3136
61.818424 96.977 -129.6932
62.266386 97.020 -130.0721
62.717593 97.063 -130.4531
63.172071 97.105 -130.8385
63.629842 97.145 -131.2293
64.090930 97.182 -131.6250
64.555359 97.217 -132.0239
65.023154 97.249 -132.4237
65.494339 97.277 -132.8222
65.968938 97.303 -133.2184
66.446976 97.325 -133.6127
66.928478 97.346 -134.0060
67.413469 97.364 -134.4002
67.901975 97.382 -134.7968
68.394021 97.398 -135.1966
68.889632 97.413 -135.5993
69.388835 97.428 -136.0037
69.891655 97.442 -136.4079
70.398118 97.457 -136.8096
70.908252 97.472 -137.2071
71.422083 97.486 -137.5993
71.939636 97.501 -137.9855
72.460941 97.516 -138.3660
72.986023 97.532 -138.7413
73.514909 97.548 -139.1122
74.047629 97.564 -139.4803
74.584208 97.581 -139.8469
75.124676 97.598 -140.2139
75.669061 97.614 -140.5826
76.217390 97.630 -140.9537
76.769692 97.645 -141.3275
77.325997 97.660 -141.7033
77.886333 97.673 -142.0805
78.450730 97.687 -142.4580
79.019216 97.699 -142.8349
79.591822 97.711 -143.2105
80.168577 97.722 -143.5844
80.749512 97.733 -143.9563
81.334656 97.743 -144.3259
81.924040 97.751 -144.6936
82.517696 97.759 -145.0594
83.115653 97.766 -145.4238
83.717943 97.771 -145.7872
84.324598 97.775 -146.1497
84.935649 97.779 -146.5117
85.551128 97.782 -146.8730
86.171066 97.784 -147.2338
86.795497 97.788 -147.5940
87.424453 97.792 -147.9539
88.057967 97.798 -148.3134
88.696071 97.805 -148.6718
89.338800 97.814 -149.0282
89.986185 97.825 -149.3813
90.638262 97.839 -149.7297
91.295065 97.853 -150.0724
91.956626 97.869 -150.4090
92.622982 97.886 -150.7392
93.294166 97.904 -151.0633
93.970214 97.922 -151.3819
94.651161 97.939 -151.6962
95.337042 97.955 -152.0071
96.027894 97.969 -152.3158
96.723752 97.982 -152.6227
97.424652 97.992 -152.9279
98.130631 98.000 -153.2318
98.841726 98.004 -153.5345
99.557974 98.007 -153.8363
100.279412 98.006 -154.1373
101.006078 98.004 -154.4375
101.738010 98.000 -154.7365
102.475245 97.995 -155.0335
103.217823 97.990 -155.3282
103.965782 97.984 -155.6201
104.719161 97.979 -155.9092
105.477999 97.975 -156.1954
106.242336 97.972 -156.4792
107.012212 97.970 -156.7611
107.787666 97.971 -157.0418
108.568740 97.973 -157.3225
109.355474 97.976 -157.6046
110.147909 97.981 -157.8896
110.946086 97.987 -158.1786
111.750047 97.992 -158.4723
112.559834 97.998 -158.7707
113.375489 98.003 -159.0735
114.197055 98.007 -159.3797
115.024574 98.010 -159.6881
115.858089 98.012 -159.9973
116.697645 98.013 -160.3056
117.543284 98.012 -160.6118
118.395051 98.011 -160.9149
119.252990 98.009 -161.2142
120.117147 98.006 -161.5095
120.987565 98.003 -161.8005
121.864291 97.999 -162.0875
122.747370 97.996 -162.3708
123.636848 97.994 -162.6516
124.532771 97.991 -162.9306
125.435187 97.990 -163.2088
126.344142 97.989 -163.4867
127.259684 97.990 -163.7641
128.181860 97.991 -164.0404
129.110718 97.994 -164.3146
130.046308 97.998 -164.5853
130.988677 98.003 -164.8514
131.937875 98.009 -165.1121
132.893951 98.016 -165.3673
133.856956 98.023 -165.6171
134.826938 98.030 -165.8621
135.803950 98.036 -166.1030
136.788041 98.042 -166.3408
137.779264 98.046 -166.5766
138.777669 98.049 -166.8111
139.783309 98.049 -167.0449
140.796237 98.048 -167.2785
141.816504 98.044 -167.5121
142.844165 98.037 -167.7458
143.879273 98.029 -167.9799
144.921881 98.018 -168.2143
145.972045 98.007 -168.4493
147.029819 97.994 -168.6848
148.095257 97.982 -168.9205
149.168417 97.969 -169.1564
150.249353 97.957 -169.3922
151.338121 97.947 -169.6281
152.434780 97.937 -169.8640
153.539385 97.929 -170.1000
154.651995 97.923 -170.3360
155.772667 97.917 -170.5717
156.901460 97.913 -170.8069
158.038432 97.909 -171.0415
159.183644 97.906 -171.2757
160.337154 97.903 -171.5091
161.499023 97.900 -171.7416
162.669312 97.897 -171.9727
163.848081 97.892 -172.2020
165.035392 97.888 -172.4292
166.231306 97.882 -172.6545
167.435887 97.876 -172.8782
168.649196 97.869 -173.1006
169.871298 97.861 -173.3221
171.102255 97.852 -173.5428
172.342133 97.843 -173.7628
173.590995 97.833 -173.9824
174.848907 97.823 -174.2015
176.115934 97.811 -174.4201
177.392143 97.799 -174.6382
178.677599 97.786 -174.8554
179.972371 97.772 -175.0712
181.276525 97.757 -175.2848
182.590129 97.740 -175.4956
183.913252 97.723 -175.7035
185.245964 97.703 -175.9084
186.588332 97.682 -176.1109
187.940428 97.659 -176.3118
189.302322 97.634 -176.5119
190.674085 97.607 -176.7117
192.055788 97.578 -176.9115
193.447503 97.547 -177.1114
194.849303 97.513 -177.3112
196.261262 97.477 -177.5108
197.683452 97.439 -177.7102
199.115948 97.400 -177.9091
200.558824 97.359 -178.1076
202.012156 97.317 -178.3056
203.476019 97.274 -178.5030
204.950490 97.231 -178.6994
206.435646 97.189 -178.8940
207.931564 97.148 -179.0862
209.438322 97.109 -179.2751
210.955998 97.072 -179.4607
212.484672 97.037 -179.6432
214.024424 97.006 -179.8231
215.575333 96.978 179.9989
217.137481 96.955 179.8224
218.710948 96.935 179.6471
220.295818 96.919 179.4726
221.892172 96.908 179.2988
223.500094 96.901 179.1254
225.119668 96.897 178.9529
226.750978 96.896 178.7821
228.394109 96.899 178.6139
230.049147 96.904 178.4495
231.716178 96.911 178.2898
233.395289 96.920 178.1354
235.086567 96.930 177.9866
236.790102 96.942 177.8434
238.505980 96.954 177.7058
240.234293 96.966 177.5737
241.975130 96.978 177.4473
243.728581 96.989 177.3272
245.494739 97.000 177.2141
247.273695 97.009 177.1092
249.065542 97.016 177.0134
250.870374 97.023 176.9272
252.688284 97.027 176.8513
254.519367 97.031 176.7855
256.363720 97.033 176.7297
258.221437 97.035 176.6834
260.092616 97.036 176.6458
261.977354 97.038 176.6155
263.875750 97.039 176.5906
265.787903 97.041 176.5687
267.713911 97.043 176.5468
269.653877 97.045 176.5224
271.607900 97.046 176.4932
273.576083 97.046 176.4576
275.558528 97.044 176.4150
277.555338 97.039 176.3656
279.566619 97.031 176.3100
281.592474 97.019 176.2488
283.633009 97.003 176.1828
285.688331 96.982 176.1126
287.758546 96.957 176.0389
289.843763 96.927 175.9623
291.944090 96.893 175.8831
294.059638 96.855 175.8021
296.190515 96.812 175.7197
298.336833 96.766 175.6365
300.498705 96.718 175.5527
302.676243 96.667 175.4685
304.869559 96.614 175.3841
307.078770 96.561 175.2996
309.303989 96.508 175.2152
311.545334 96.455 175.1314
313.802919 96.403 175.0486
316.076865 96.354 174.9675
318.367288 96.306 174.8883
320.674309 96.262 174.8112
322.998047 96.221 174.7360
325.338624 96.185 174.6627
327.696162 96.152 174.5912
330.070783 96.125 174.5215
332.462612 96.104 174.4537
334.871773 96.087 174.3880
337.298392 96.077 174.3243
339.742595 96.073 174.2627
342.204510 96.074 174.2031
