* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 9:35:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD650 (Worn) L7
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.328 -42.1822
20.287556 90.345 -42.3943
20.434568 90.366 -42.6794
20.582645 90.387 -43.0308
20.731796 90.405 -43.4410
20.882027 90.418 -43.9024
21.033346 90.422 -44.4072
21.185763 90.417 -44.9481
21.339284 90.401 -45.5181
21.493917 90.375 -46.1106
21.649671 90.339 -46.7197
21.806553 90.294 -47.3400
21.964572 90.243 -47.9667
22.123737 90.187 -48.5956
22.284054 90.129 -49.2236
22.445534 90.072 -49.8480
22.608183 90.017 -50.4671
22.772012 89.968 -51.0798
22.937027 89.926 -51.6859
23.103238 89.892 -52.2853
23.270654 89.869 -52.8786
23.439282 89.857 -53.4663
23.609133 89.857 -54.0490
23.780215 89.869 -54.6270
23.952536 89.893 -55.2004
24.126106 89.929 -55.7690
24.300934 89.976 -56.3323
24.477028 90.032 -56.8898
24.654399 90.097 -57.4411
24.833055 90.169 -57.9859
25.013005 90.247 -58.5247
25.194260 90.328 -59.0585
25.376828 90.412 -59.5892
25.560719 90.496 -60.1194
25.745942 90.579 -60.6523
25.932508 90.661 -61.1913
26.120426 90.739 -61.7400
26.309705 90.812 -62.3011
26.500356 90.881 -62.8767
26.692388 90.944 -63.4673
26.885812 91.001 -64.0721
27.080638 91.052 -64.6888
27.276876 91.097 -65.3137
27.474535 91.137 -65.9420
27.673627 91.175 -66.5685
27.874161 91.211 -67.1879
28.076149 91.249 -67.7957
28.279600 91.292 -68.3884
28.484526 91.343 -68.9640
28.690937 91.406 -69.5222
28.898843 91.483 -70.0642
29.108256 91.577 -70.5929
29.319186 91.689 -71.1120
29.531645 91.820 -71.6256
29.745644 91.968 -72.1380
29.961193 92.130 -72.6527
30.178304 92.302 -73.1727
30.396989 92.481 -73.6992
30.617258 92.661 -74.2327
30.839123 92.836 -74.7722
31.062596 93.001 -75.3158
31.287688 93.152 -75.8610
31.514412 93.283 -76.4052
31.742778 93.391 -76.9460
31.972800 93.473 -77.4814
32.204488 93.527 -78.0102
32.437855 93.552 -78.5322
32.672913 93.548 -79.0478
32.909674 93.515 -79.5583
33.148151 93.455 -80.0650
33.388356 93.370 -80.5697
33.630302 93.263 -81.0741
33.874001 93.139 -81.5795
34.119466 93.000 -82.0871
34.366710 92.853 -82.5976
34.615745 92.701 -83.1115
34.866585 92.549 -83.6294
35.119243 92.402 -84.1513
35.373731 92.264 -84.6773
35.630064 92.139 -85.2072
35.888254 92.028 -85.7407
36.148315 91.936 -86.2772
36.410261 91.864 -86.8161
36.674104 91.812 -87.3564
36.939860 91.783 -87.8975
37.207542 91.776 -88.4389
37.477163 91.792 -88.9802
37.748738 91.831 -89.5213
38.022281 91.892 -90.0621
38.297806 91.976 -90.6026
38.575327 92.081 -91.1426
38.854860 92.206 -91.6814
39.136419 92.351 -92.2182
39.420017 92.512 -92.7517
39.705671 92.690 -93.2808
39.993395 92.881 -93.8043
40.283203 93.086 -94.3213
40.575112 93.301 -94.8316
40.869136 93.527 -95.3356
41.165290 93.761 -95.8343
41.463591 94.002 -96.3296
41.764053 94.248 -96.8232
42.066693 94.498 -97.3175
42.371525 94.750 -97.8139
42.678567 95.002 -98.3136
42.987834 95.251 -98.8164
43.299341 95.496 -99.3215
43.613106 95.733 -99.8268
43.929145 95.962 -100.3300
44.247473 96.179 -100.8285
44.568109 96.385 -101.3201
44.891068 96.576 -101.8033
45.216367 96.753 -102.2775
45.544023 96.915 -102.7428
45.874054 97.061 -103.2000
46.206476 97.190 -103.6505
46.541307 97.303 -104.0956
46.878565 97.399 -104.5369
47.218266 97.480 -104.9753
47.560429 97.545 -105.4120
47.905072 97.595 -105.8477
48.252212 97.631 -106.2828
48.601867 97.654 -106.7182
48.954056 97.666 -107.1545
49.308798 97.669 -107.5926
49.666109 97.664 -108.0336
50.026010 97.654 -108.4782
50.388520 97.639 -108.9273
50.753656 97.622 -109.3810
51.121437 97.604 -109.8391
51.491884 97.586 -110.3009
51.865016 97.571 -110.7653
52.240851 97.557 -111.2310
52.619410 97.548 -111.6967
53.000712 97.541 -112.1610
53.384777 97.539 -112.6227
53.771625 97.540 -113.0809
54.161276 97.543 -113.5353
54.553751 97.548 -113.9859
54.949070 97.555 -114.4333
55.347254 97.561 -114.8783
55.748323 97.566 -115.3220
56.152298 97.570 -115.7650
56.559201 97.571 -116.2076
56.969052 97.570 -116.6494
57.381873 97.566 -117.0898
57.797686 97.559 -117.5280
58.216512 97.549 -117.9635
58.638373 97.537 -118.3965
59.063291 97.522 -118.8280
59.491288 97.505 -119.2594
59.922386 97.485 -119.6921
60.356608 97.463 -120.1273
60.793977 97.440 -120.5659
61.234515 97.415 -121.0081
61.678246 97.389 -121.4536
62.125192 97.363 -121.9020
62.575377 97.338 -122.3524
63.028824 97.314 -122.8039
63.485557 97.292 -123.2555
63.945599 97.272 -123.7062
64.408975 97.255 -124.1554
64.875709 97.240 -124.6026
65.345825 97.228 -125.0477
65.819348 97.220 -125.4908
66.296302 97.215 -125.9322
66.776713 97.213 -126.3725
67.260604 97.215 -126.8123
67.748002 97.219 -127.2520
68.238932 97.227 -127.6918
68.733420 97.236 -128.1316
69.231490 97.248 -128.5714
69.733170 97.262 -129.0107
70.238485 97.276 -129.4496
70.747463 97.292 -129.8878
71.260128 97.309 -130.3258
71.776508 97.327 -130.7636
72.296630 97.346 -131.2016
72.820521 97.366 -131.6400
73.348209 97.386 -132.0786
73.879720 97.407 -132.5174
74.415083 97.428 -132.9561
74.954326 97.450 -133.3944
75.497475 97.472 -133.8319
76.044561 97.493 -134.2685
76.595612 97.514 -134.7037
77.150655 97.534 -135.1370
77.709720 97.551 -135.5679
78.272837 97.566 -135.9958
78.840034 97.578 -136.4207
79.411342 97.587 -136.8423
79.986789 97.593 -137.2611
80.566406 97.594 -137.6774
81.150224 97.592 -138.0919
81.738272 97.586 -138.5051
82.330581 97.577 -138.9171
82.927182 97.566 -139.3278
83.528107 97.554 -139.7366
84.133386 97.544 -140.1428
84.743051 97.537 -140.5455
85.357134 97.536 -140.9441
85.975667 97.545 -141.3383
86.598682 97.566 -141.7282
87.226212 97.604 -142.1141
87.858289 97.660 -142.4966
88.494946 97.739 -142.8759
89.136217 97.841 -143.2524
89.782135 97.968 -143.6261
90.432733 98.118 -143.9972
91.088046 98.288 -144.3659
91.748108 98.477 -144.7322
92.412952 98.678 -145.0965
93.082615 98.886 -145.4591
93.757130 99.097 -145.8202
94.436533 99.304 -146.1801
95.120859 99.503 -146.5392
95.810144 99.690 -146.8978
96.504423 99.862 -147.2564
97.203734 100.016 -147.6154
97.908112 100.153 -147.9749
98.617595 100.273 -148.3351
99.332219 100.376 -148.6956
100.052021 100.464 -149.0560
100.777039 100.540 -149.4154
101.507311 100.605 -149.7727
102.242875 100.662 -150.1272
102.983769 100.712 -150.4782
103.730032 100.756 -150.8252
104.481702 100.796 -151.1682
105.238820 100.830 -151.5074
106.001424 100.858 -151.8434
106.769554 100.879 -152.1770
107.543250 100.891 -152.5089
108.322553 100.893 -152.8397
109.107503 100.884 -153.1698
109.898141 100.861 -153.4991
110.694508 100.826 -153.8273
111.496646 100.776 -154.1542
112.304596 100.714 -154.4793
113.118402 100.640 -154.8026
113.938104 100.557 -155.1239
114.763747 100.465 -155.4430
115.595372 100.368 -155.7601
116.433024 100.267 -156.0748
117.276746 100.165 -156.3873
118.126581 100.064 -156.6979
118.982575 99.964 -157.0068
119.844772 99.868 -157.3147
120.713217 99.775 -157.6220
121.587954 99.685 -157.9296
122.469031 99.596 -158.2377
123.356492 99.509 -158.5468
124.250384 99.421 -158.8571
125.150753 99.332 -159.1683
126.057647 99.238 -159.4803
126.971113 99.140 -159.7925
127.891198 99.036 -160.1043
128.817950 98.925 -160.4154
129.751418 98.807 -160.7255
130.691651 98.682 -161.0344
131.638696 98.553 -161.3421
132.592604 98.419 -161.6484
133.553425 98.284 -161.9534
134.521208 98.149 -162.2569
135.496004 98.019 -162.5587
136.477864 97.897 -162.8586
137.466839 97.785 -163.1562
138.462981 97.688 -163.4516
139.466340 97.608 -163.7447
140.476971 97.545 -164.0356
141.494925 97.502 -164.3245
142.520256 97.476 -164.6114
143.553016 97.467 -164.8965
144.593260 97.471 -165.1796
145.641043 97.484 -165.4607
146.696418 97.503 -165.7396
147.759441 97.524 -166.0162
148.830166 97.544 -166.2906
149.908651 97.558 -166.5628
150.994951 97.567 -166.8330
152.089123 97.568 -167.1014
153.191223 97.563 -167.3683
154.301310 97.550 -167.6337
155.419441 97.532 -167.8979
156.545674 97.511 -168.1613
157.680069 97.488 -168.4241
158.822683 97.464 -168.6866
159.973578 97.441 -168.9489
161.132813 97.420 -169.2113
162.300447 97.402 -169.4738
163.476543 97.387 -169.7366
164.661162 97.375 -169.9997
165.854364 97.367 -170.2631
167.056213 97.363 -170.5268
168.266772 97.362 -170.7905
169.486102 97.365 -171.0539
170.714268 97.372 -171.3168
171.951334 97.383 -171.5789
173.197364 97.399 -171.8398
174.452424 97.419 -172.0992
175.716578 97.443 -172.3570
176.989893 97.470 -172.6130
178.272434 97.499 -172.8672
179.564270 97.530 -173.1198
180.865467 97.561 -173.3708
182.176092 97.592 -173.6205
183.496216 97.620 -173.8691
184.825905 97.646 -174.1169
186.165229 97.668 -174.3640
187.514259 97.687 -174.6104
188.873065 97.703 -174.8561
190.241717 97.716 -175.1008
191.620287 97.726 -175.3442
193.008847 97.735 -175.5860
194.407468 97.743 -175.8260
195.816225 97.751 -176.0640
197.235190 97.758 -176.3002
198.664438 97.764 -176.5345
200.104042 97.769 -176.7672
201.554078 97.773 -176.9982
203.014622 97.775 -177.2278
204.485750 97.774 -177.4558
205.967538 97.771 -177.6820
207.460064 97.764 -177.9063
208.963405 97.753 -178.1285
210.477640 97.739 -178.3485
212.002848 97.722 -178.5663
213.539108 97.701 -178.7819
215.086500 97.678 -178.9954
216.645105 97.652 -179.2068
218.215005 97.624 -179.4162
219.796281 97.594 -179.6235
221.389015 97.562 -179.8288
222.993292 97.527 179.9679
224.609193 97.489 179.7664
226.236804 97.447 179.5666
227.876209 97.400 179.3685
229.527494 97.348 179.1718
231.190745 97.290 178.9767
232.866048 97.228 178.7830
234.553491 97.159 178.5908
236.253163 97.086 178.4002
237.965150 97.009 178.2115
239.689544 96.928 178.0246
241.426433 96.845 177.8399
243.175909 96.761 177.6577
244.938062 96.676 177.4781
246.712984 96.591 177.3016
248.500768 96.508 177.1287
250.301507 96.427 176.9600
252.115295 96.348 176.7961
253.942226 96.273 176.6380
255.782396 96.201 176.4865
257.635901 96.135 176.3426
259.502837 96.073 176.2071
261.383301 96.017 176.0808
263.277392 95.968 175.9643
265.185209 95.924 175.8577
267.106850 95.888 175.7611
269.042417 95.858 175.6743
270.992009 95.834 175.5968
272.955729 95.816 175.5281
274.933678 95.805 175.4673
276.925961 95.798 175.4134
278.932681 95.796 175.3649
280.953942 95.799 175.3199
282.989850 95.806 175.2766
285.040511 95.817 175.2328
287.106032 95.833 175.1868
289.186521 95.853 175.1370
291.282086 95.879 175.0820
293.392836 95.910 175.0214
295.518881 95.948 174.9545
297.660333 95.992 174.8817
299.817302 96.041 174.8032
301.989902 96.095 174.7198
304.178245 96.153 174.6324
306.382446 96.212 174.5419
308.602620 96.271 174.4490
310.838882 96.329 174.3546
313.091348 96.382 174.2592
315.360137 96.430 174.1632
317.645367 96.472 174.0670
319.947156 96.506 173.9707
322.265625 96.531 173.8746
324.600895 96.546 173.7789
326.953086 96.552 173.6838
329.322323 96.547 173.5896
331.708729 96.532 173.4965
334.112427 96.506 173.4048
336.533543 96.469 173.3148
338.972204 96.422 173.2264
341.428536 96.366 173.1399
