* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 9:38:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD650 (Worn) R2
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 86.605 -26.6308
20.287556 86.618 -26.8466
20.434568 86.632 -27.1330
20.582645 86.646 -27.4793
20.731796 86.656 -27.8742
20.882027 86.660 -28.3073
21.033346 86.656 -28.7700
21.185763 86.643 -29.2558
21.339284 86.622 -29.7607
21.493917 86.592 -30.2824
21.649671 86.556 -30.8203
21.806553 86.515 -31.3743
21.964572 86.471 -31.9448
22.123737 86.425 -32.5317
22.284054 86.380 -33.1337
22.445534 86.337 -33.7487
22.608183 86.297 -34.3730
22.772012 86.262 -35.0021
22.937027 86.232 -35.6307
23.103238 86.209 -36.2534
23.270654 86.194 -36.8648
23.439282 86.187 -37.4607
23.609133 86.189 -38.0380
23.780215 86.201 -38.5950
23.952536 86.225 -39.1320
24.126106 86.260 -39.6504
24.300934 86.307 -40.1534
24.477028 86.365 -40.6450
24.654399 86.435 -41.1298
24.833055 86.514 -41.6129
25.013005 86.603 -42.0990
25.194260 86.700 -42.5925
25.376828 86.803 -43.0973
25.560719 86.910 -43.6162
25.745942 87.020 -44.1514
25.932508 87.131 -44.7038
26.120426 87.241 -45.2731
26.309705 87.348 -45.8581
26.500356 87.452 -46.4561
26.692388 87.551 -47.0631
26.885812 87.643 -47.6743
27.080638 87.728 -48.2841
27.276876 87.807 -48.8867
27.474535 87.879 -49.4766
27.673627 87.947 -50.0495
27.874161 88.011 -50.6028
28.076149 88.076 -51.1360
28.279600 88.143 -51.6512
28.484526 88.217 -52.1528
28.690937 88.301 -52.6473
28.898843 88.399 -53.1425
29.108256 88.511 -53.6461
29.319186 88.640 -54.1655
29.531645 88.786 -54.7057
29.745644 88.947 -55.2697
29.961193 89.120 -55.8575
30.178304 89.302 -56.4666
30.396989 89.489 -57.0922
30.617258 89.676 -57.7285
30.839123 89.859 -58.3688
31.062596 90.032 -59.0072
31.287688 90.192 -59.6385
31.514412 90.334 -60.2590
31.742778 90.455 -60.8663
31.972800 90.551 -61.4596
32.204488 90.621 -62.0391
32.437855 90.662 -62.6056
32.672913 90.675 -63.1610
32.909674 90.659 -63.7071
33.148151 90.616 -64.2464
33.388356 90.548 -64.7815
33.630302 90.458 -65.3149
33.874001 90.349 -65.8488
34.119466 90.226 -66.3850
34.366710 90.092 -66.9243
34.615745 89.953 -67.4663
34.866585 89.812 -68.0096
35.119243 89.676 -68.5518
35.373731 89.548 -69.0904
35.630064 89.434 -69.6225
35.888254 89.336 -70.1464
36.148315 89.259 -70.6611
36.410261 89.204 -71.1672
36.674104 89.174 -71.6663
36.939860 89.169 -72.1607
37.207542 89.188 -72.6534
37.477163 89.232 -73.1472
37.748738 89.298 -73.6447
38.022281 89.385 -74.1477
38.297806 89.492 -74.6580
38.575327 89.617 -75.1764
38.854860 89.759 -75.7033
39.136419 89.918 -76.2389
39.420017 90.093 -76.7826
39.705671 90.282 -77.3332
39.993395 90.485 -77.8891
40.283203 90.701 -78.4482
40.575112 90.930 -79.0082
40.869136 91.169 -79.5670
41.165290 91.418 -80.1230
41.463591 91.674 -80.6752
41.764053 91.936 -81.2230
42.066693 92.202 -81.7663
42.371525 92.470 -82.3050
42.678567 92.737 -82.8386
42.987834 93.001 -83.3662
43.299341 93.261 -83.8862
43.613106 93.514 -84.3966
43.929145 93.759 -84.8953
44.247473 93.994 -85.3803
44.568109 94.217 -85.8503
44.891068 94.428 -86.3048
45.216367 94.623 -86.7448
45.544023 94.803 -87.1722
45.874054 94.966 -87.5904
46.206476 95.113 -88.0035
46.541307 95.242 -88.4156
46.878565 95.353 -88.8309
47.218266 95.448 -89.2525
47.560429 95.526 -89.6821
47.905072 95.590 -90.1206
48.252212 95.640 -90.5679
48.601867 95.678 -91.0235
48.954056 95.706 -91.4865
49.308798 95.725 -91.9563
49.666109 95.736 -92.4321
50.026010 95.743 -92.9134
50.388520 95.745 -93.3994
50.753656 95.744 -93.8898
51.121437 95.743 -94.3842
51.491884 95.742 -94.8827
51.865016 95.742 -95.3857
52.240851 95.744 -95.8931
52.619410 95.750 -96.4051
53.000712 95.759 -96.9213
53.384777 95.771 -97.4410
53.771625 95.786 -97.9639
54.161276 95.803 -98.4892
54.553751 95.822 -99.0164
54.949070 95.842 -99.5446
55.347254 95.862 -100.0724
55.748323 95.880 -100.5982
56.152298 95.897 -101.1200
56.559201 95.911 -101.6363
56.969052 95.922 -102.1459
57.381873 95.930 -102.6488
57.797686 95.935 -103.1458
58.216512 95.937 -103.6384
58.638373 95.936 -104.1293
59.063291 95.933 -104.6212
59.491288 95.929 -105.1170
59.922386 95.924 -105.6190
60.356608 95.917 -106.1283
60.793977 95.911 -106.6445
61.234515 95.903 -107.1661
61.678246 95.896 -107.6909
62.125192 95.888 -108.2163
62.575377 95.880 -108.7407
63.028824 95.873 -109.2627
63.485557 95.867 -109.7819
63.945599 95.862 -110.2980
64.408975 95.858 -110.8109
64.875709 95.856 -111.3205
65.345825 95.856 -111.8266
65.819348 95.859 -112.3293
66.296302 95.863 -112.8290
66.776713 95.870 -113.3261
67.260604 95.879 -113.8214
67.748002 95.891 -114.3157
68.238932 95.906 -114.8097
68.733420 95.922 -115.3039
69.231490 95.941 -115.7985
69.733170 95.961 -116.2937
70.238485 95.983 -116.7894
70.747463 96.007 -117.2855
71.260128 96.032 -117.7820
71.776508 96.058 -118.2788
72.296630 96.085 -118.7757
72.820521 96.113 -119.2725
73.348209 96.142 -119.7690
73.879720 96.172 -120.2647
74.415083 96.202 -120.7595
74.954326 96.233 -121.2527
75.497475 96.264 -121.7439
76.044561 96.294 -122.2321
76.595612 96.324 -122.7170
77.150655 96.353 -123.1980
77.709720 96.380 -123.6750
78.272837 96.404 -124.1483
78.840034 96.425 -124.6185
79.411342 96.442 -125.0867
79.986789 96.456 -125.5539
80.566406 96.465 -126.0210
81.150224 96.470 -126.4887
81.738272 96.471 -126.9570
82.330581 96.468 -127.4259
82.927182 96.464 -127.8948
83.528107 96.458 -128.3630
84.133386 96.454 -128.8295
84.743051 96.453 -129.2932
85.357134 96.459 -129.7529
85.975667 96.474 -130.2076
86.598682 96.503 -130.6566
87.226212 96.548 -131.0994
87.858289 96.614 -131.5358
88.494946 96.702 -131.9658
89.136217 96.813 -132.3899
89.782135 96.950 -132.8083
90.432733 97.109 -133.2218
91.088046 97.289 -133.6312
91.748108 97.486 -134.0372
92.412952 97.697 -134.4410
93.082615 97.914 -134.8430
93.757130 98.134 -135.2439
94.436533 98.350 -135.6435
95.120859 98.558 -136.0418
95.810144 98.753 -136.4388
96.504423 98.934 -136.8347
97.203734 99.097 -137.2299
97.908112 99.242 -137.6248
98.617595 99.370 -138.0198
99.332219 99.481 -138.4150
100.052021 99.576 -138.8103
100.777039 99.659 -139.2054
101.507311 99.730 -139.5998
102.242875 99.793 -139.9934
102.983769 99.849 -140.3862
103.730032 99.899 -140.7784
104.481702 99.944 -141.1703
105.238820 99.984 -141.5619
106.001424 100.018 -141.9530
106.769554 100.044 -142.3434
107.543250 100.062 -142.7321
108.322553 100.071 -143.1185
109.107503 100.067 -143.5017
109.898141 100.051 -143.8813
110.694508 100.022 -144.2568
111.496646 99.979 -144.6282
112.304596 99.923 -144.9955
113.118402 99.855 -145.3592
113.938104 99.777 -145.7197
114.763747 99.691 -146.0780
115.595372 99.599 -146.4349
116.433024 99.504 -146.7911
117.276746 99.408 -147.1473
118.126581 99.313 -147.5040
118.982575 99.220 -147.8613
119.844772 99.129 -148.2195
120.713217 99.042 -148.5785
121.587954 98.958 -148.9382
122.469031 98.875 -149.2983
123.356492 98.794 -149.6584
124.250384 98.712 -150.0184
125.150753 98.628 -150.3778
126.057647 98.541 -150.7364
126.971113 98.449 -151.0941
127.891198 98.351 -151.4506
128.817950 98.247 -151.8060
129.751418 98.135 -152.1605
130.691651 98.018 -152.5142
131.638696 97.894 -152.8671
132.592604 97.767 -153.2195
133.553425 97.639 -153.5711
134.521208 97.511 -153.9219
135.496004 97.387 -154.2715
136.477864 97.270 -154.6196
137.466839 97.165 -154.9660
138.462981 97.074 -155.3106
139.466340 96.999 -155.6532
140.476971 96.942 -155.9940
141.494925 96.905 -156.3331
142.520256 96.885 -156.6703
143.553016 96.882 -157.0059
144.593260 96.891 -157.3398
145.641043 96.911 -157.6719
146.696418 96.935 -158.0024
147.759441 96.962 -158.3313
148.830166 96.986 -158.6589
149.908651 97.006 -158.9852
150.994951 97.020 -159.3104
152.089123 97.026 -159.6343
153.191223 97.024 -159.9568
154.301310 97.015 -160.2778
155.419441 97.000 -160.5970
156.545674 96.982 -160.9142
157.680069 96.961 -161.2291
158.822683 96.939 -161.5417
159.973578 96.919 -161.8519
161.132813 96.900 -162.1600
162.300447 96.883 -162.4663
163.476543 96.870 -162.7711
164.661162 96.860 -163.0750
165.854364 96.853 -163.3783
167.056213 96.850 -163.6810
168.266772 96.851 -163.9832
169.486102 96.856 -164.2849
170.714268 96.864 -164.5857
171.951334 96.877 -164.8854
173.197364 96.895 -165.1839
174.452424 96.917 -165.4808
175.716578 96.943 -165.7759
176.989893 96.972 -166.0691
178.272434 97.004 -166.3601
179.564270 97.037 -166.6488
180.865467 97.070 -166.9350
182.176092 97.102 -167.2186
183.496216 97.132 -167.4995
184.825905 97.160 -167.7778
186.165229 97.184 -168.0535
187.514259 97.205 -168.3268
188.873065 97.223 -168.5977
190.241717 97.238 -168.8666
191.620287 97.252 -169.1337
193.008847 97.264 -169.3992
194.407468 97.275 -169.6634
195.816225 97.286 -169.9265
197.235190 97.296 -170.1887
198.664438 97.305 -170.4502
200.104042 97.313 -170.7111
201.554078 97.320 -170.9712
203.014622 97.325 -171.2302
204.485750 97.327 -171.4879
205.967538 97.327 -171.7440
207.460064 97.323 -171.9983
208.963405 97.316 -172.2509
210.477640 97.305 -172.5021
212.002848 97.291 -172.7521
213.539108 97.275 -173.0009
215.086500 97.256 -173.2486
216.645105 97.235 -173.4949
218.215005 97.212 -173.7396
219.796281 97.187 -173.9822
221.389015 97.160 -174.2226
222.993292 97.130 -174.4604
224.609193 97.097 -174.6958
226.236804 97.059 -174.9285
227.876209 97.017 -175.1587
229.527494 96.969 -175.3863
231.190745 96.915 -175.6117
232.866048 96.856 -175.8349
234.553491 96.792 -176.0563
236.253163 96.722 -176.2761
237.965150 96.648 -176.4942
239.689544 96.571 -176.7106
241.426433 96.491 -176.9252
243.175909 96.410 -177.1374
244.938062 96.329 -177.3469
246.712984 96.248 -177.5530
248.500768 96.169 -177.7552
250.301507 96.092 -177.9531
252.115295 96.018 -178.1462
253.942226 95.947 -178.3344
255.782396 95.881 -178.5173
257.635901 95.819 -178.6947
259.502837 95.763 -178.8664
261.383301 95.712 -179.0322
263.277392 95.667 -179.1915
265.185209 95.629 -179.3443
267.106850 95.597 -179.4900
269.042417 95.571 -179.6281
270.992009 95.551 -179.7582
272.955729 95.537 -179.8798
274.933678 95.528 -179.9926
276.925961 95.523 179.9033
278.932681 95.523 179.8076
280.953942 95.527 179.7191
282.989850 95.534 179.6364
285.040511 95.546 179.5578
287.106032 95.561 179.4811
289.186521 95.582 179.4044
291.282086 95.608 179.3257
293.392836 95.641 179.2434
295.518881 95.680 179.1563
297.660333 95.726 179.0635
299.817302 95.778 178.9649
301.989902 95.835 178.8604
304.178245 95.895 178.7502
306.382446 95.958 178.6349
308.602620 96.020 178.5154
310.838882 96.081 178.3925
313.091348 96.137 178.2670
315.360137 96.189 178.1399
317.645367 96.233 178.0119
319.947156 96.270 177.8835
322.265625 96.298 177.7554
324.600895 96.317 177.6279
326.953086 96.326 177.5010
329.322323 96.324 177.3751
331.708729 96.312 177.2501
334.112427 96.288 177.1262
336.533543 96.254 177.0036
