* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 12:14:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD6XX (Back) L4
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 79.296 -96.0545
20.333664 79.334 -96.1557
20.481010 79.385 -96.2931
20.629424 79.446 -96.4648
20.778913 79.515 -96.6678
20.929486 79.590 -96.8984
21.081150 79.669 -97.1518
21.233912 79.750 -97.4224
21.387782 79.833 -97.7044
21.542767 79.915 -97.9922
21.698874 79.996 -98.2805
21.856113 80.076 -98.5653
22.014492 80.155 -98.8435
22.174018 80.231 -99.1139
22.334700 80.305 -99.3763
22.496546 80.376 -99.6320
22.659566 80.444 -99.8834
22.823766 80.508 -100.1335
22.989157 80.569 -100.3856
23.155745 80.625 -100.6428
23.323542 80.675 -100.9080
23.492554 80.721 -101.1832
23.662790 80.762 -101.4696
23.834261 80.797 -101.7678
24.006973 80.827 -102.0774
24.180938 80.854 -102.3979
24.356163 80.877 -102.7280
24.532658 80.898 -103.0668
24.710431 80.917 -103.4135
24.889493 80.937 -103.7677
25.069853 80.958 -104.1298
25.251519 80.981 -104.5005
25.434502 81.006 -104.8813
25.618811 81.036 -105.2740
25.804456 81.069 -105.6805
25.991445 81.106 -106.1022
26.179790 81.147 -106.5401
26.369500 81.191 -106.9939
26.560584 81.238 -107.4617
26.753053 81.287 -107.9405
26.946917 81.337 -108.4253
27.142185 81.389 -108.9100
27.338869 81.442 -109.3878
27.536977 81.496 -109.8516
27.736522 81.551 -110.2952
27.937512 81.607 -110.7134
28.139959 81.666 -111.1033
28.343872 81.726 -111.4642
28.549264 81.789 -111.7978
28.756143 81.852 -112.1076
28.964522 81.917 -112.3987
29.174411 81.981 -112.6766
29.385821 82.044 -112.9466
29.598763 82.103 -113.2130
29.813248 82.158 -113.4787
30.029287 82.209 -113.7454
30.246891 82.254 -114.0136
30.466073 82.294 -114.2829
30.686842 82.331 -114.5528
30.909212 82.365 -114.8235
31.133193 82.398 -115.0953
31.358797 82.432 -115.3698
31.586035 82.470 -115.6490
31.814921 82.512 -115.9353
32.045465 82.562 -116.2311
32.277680 82.619 -116.5385
32.511577 82.684 -116.8587
32.747169 82.757 -117.1920
32.984469 82.838 -117.5381
33.223488 82.925 -117.8955
33.464239 83.017 -118.2621
33.706735 83.113 -118.6349
33.950987 83.212 -119.0106
34.197010 83.312 -119.3858
34.444816 83.412 -119.7571
34.694417 83.511 -120.1216
34.945827 83.611 -120.4773
35.199059 83.709 -120.8233
35.454126 83.808 -121.1600
35.711041 83.906 -121.4889
35.969818 84.004 -121.8117
36.230470 84.101 -122.1303
36.493011 84.197 -122.4462
36.757455 84.293 -122.7597
37.023814 84.386 -123.0707
37.292104 84.477 -123.3787
37.562338 84.565 -123.6833
37.834530 84.650 -123.9847
38.108695 84.732 -124.2843
38.384846 84.811 -124.5842
38.662999 84.886 -124.8869
38.943167 84.958 -125.1949
39.225365 85.027 -125.5095
39.509608 85.093 -125.8311
39.795911 85.155 -126.1584
40.084289 85.215 -126.4887
40.374756 85.272 -126.8184
40.667328 85.327 -127.1434
40.962020 85.380 -127.4597
41.258848 85.432 -127.7644
41.557827 85.481 -128.0563
41.858972 85.530 -128.3369
42.162299 85.578 -128.6102
42.467824 85.626 -128.8826
42.775564 85.673 -129.1619
43.085533 85.719 -129.4560
43.397749 85.765 -129.7708
43.712227 85.810 -130.1089
44.028983 85.854 -130.4692
44.348036 85.898 -130.8469
44.669400 85.942 -131.2347
44.993093 85.986 -131.6242
45.319131 86.031 -132.0074
45.647532 86.076 -132.3777
45.978313 86.121 -132.7305
46.311491 86.166 -133.0632
46.647083 86.208 -133.3756
46.985107 86.247 -133.6694
47.325581 86.282 -133.9483
47.668521 86.312 -134.2174
48.013947 86.338 -134.4824
48.361876 86.359 -134.7483
48.712326 86.375 -135.0186
49.065315 86.389 -135.2944
49.420863 86.400 -135.5741
49.778987 86.409 -135.8545
50.139706 86.419 -136.1316
50.503039 86.429 -136.4026
50.869005 86.442 -136.6664
51.237623 86.457 -136.9242
51.608912 86.474 -137.1789
51.982891 86.494 -137.4342
52.359580 86.515 -137.6940
52.739000 86.537 -137.9609
53.121168 86.560 -138.2366
53.506106 86.581 -138.5215
53.893833 86.602 -138.8146
54.284370 86.621 -139.1147
54.677737 86.639 -139.4198
55.073955 86.655 -139.7284
55.473043 86.669 -140.0390
55.875024 86.680 -140.3508
56.279917 86.690 -140.6636
56.687745 86.697 -140.9778
57.098527 86.703 -141.2942
57.512287 86.709 -141.6130
57.929045 86.715 -141.9337
58.348822 86.724 -142.2544
58.771642 86.737 -142.5723
59.197525 86.757 -142.8841
59.626495 86.786 -143.1872
60.058573 86.824 -143.4805
60.493782 86.871 -143.7641
60.932145 86.926 -144.0395
61.373685 86.987 -144.3082
61.818424 87.053 -144.5722
62.266386 87.121 -144.8334
62.717593 87.190 -145.0938
63.172071 87.259 -145.3555
63.629842 87.326 -145.6205
64.090930 87.393 -145.8903
64.555359 87.459 -146.1658
65.023154 87.523 -146.4473
65.494339 87.585 -146.7350
65.968938 87.646 -147.0285
66.446976 87.705 -147.3271
66.928478 87.762 -147.6297
67.413469 87.818 -147.9348
67.901975 87.871 -148.2410
68.394021 87.923 -148.5476
68.889632 87.973 -148.8549
69.388835 88.022 -149.1641
69.891655 88.068 -149.4767
70.398118 88.112 -149.7942
70.908252 88.153 -150.1173
71.422083 88.191 -150.4455
71.939636 88.226 -150.7772
72.460941 88.257 -151.1102
72.986023 88.285 -151.4425
73.514909 88.310 -151.7730
74.047629 88.331 -152.1013
74.584208 88.350 -152.4277
75.124676 88.366 -152.7528
75.669061 88.380 -153.0774
76.217390 88.392 -153.4018
76.769692 88.402 -153.7261
77.325997 88.410 -154.0502
77.886333 88.418 -154.3738
78.450730 88.424 -154.6965
79.019216 88.429 -155.0179
79.591822 88.433 -155.3380
80.168577 88.437 -155.6566
80.749512 88.440 -155.9740
81.334656 88.443 -156.2903
81.924040 88.446 -156.6059
82.517696 88.449 -156.9209
83.115653 88.452 -157.2352
83.717943 88.455 -157.5484
84.324598 88.458 -157.8601
84.935649 88.461 -158.1695
85.551128 88.464 -158.4765
86.171066 88.466 -158.7809
86.795497 88.468 -159.0830
87.424453 88.469 -159.3833
88.057967 88.470 -159.6821
88.696071 88.470 -159.9799
89.338800 88.469 -160.2769
89.986185 88.468 -160.5730
90.638262 88.466 -160.8684
91.295065 88.463 -161.1630
91.956626 88.461 -161.4569
92.622982 88.458 -161.7507
93.294166 88.454 -162.0451
93.970214 88.450 -162.3412
94.651161 88.446 -162.6398
95.337042 88.442 -162.9414
96.027894 88.438 -163.2459
96.723752 88.434 -163.5532
97.424652 88.431 -163.8627
98.130631 88.428 -164.1739
98.841726 88.425 -164.4862
99.557974 88.423 -164.7991
100.279412 88.421 -165.1117
101.006078 88.421 -165.4229
101.738010 88.420 -165.7315
102.475245 88.420 -166.0359
103.217823 88.421 -166.3345
103.965782 88.422 -166.6250
104.719161 88.424 -166.9054
105.477999 88.427 -167.1742
106.242336 88.431 -167.4310
107.012212 88.436 -167.6765
107.787666 88.443 -167.9130
108.568740 88.451 -168.1437
109.355474 88.459 -168.3719
110.147909 88.469 -168.6006
110.946086 88.479 -168.8320
111.750047 88.489 -169.0670
112.559834 88.500 -169.3059
113.375489 88.510 -169.5475
114.197055 88.520 -169.7907
115.024574 88.530 -170.0342
115.858089 88.541 -170.2772
116.697645 88.551 -170.5197
117.543284 88.561 -170.7622
118.395051 88.572 -171.0052
119.252990 88.582 -171.2493
120.117147 88.592 -171.4949
120.987565 88.602 -171.7418
121.864291 88.610 -171.9899
122.747370 88.619 -172.2384
123.636848 88.626 -172.4867
124.532771 88.633 -172.7339
125.435187 88.640 -172.9795
126.344142 88.645 -173.2229
127.259684 88.651 -173.4641
128.181860 88.655 -173.7031
129.110718 88.659 -173.9398
130.046308 88.662 -174.1746
130.988677 88.664 -174.4076
131.937875 88.664 -174.6391
132.893951 88.664 -174.8695
133.856956 88.661 -175.0996
134.826938 88.657 -175.3304
135.803950 88.652 -175.5627
136.788041 88.645 -175.7970
137.779264 88.636 -176.0332
138.777669 88.626 -176.2707
139.783309 88.615 -176.5084
140.796237 88.602 -176.7452
141.816504 88.589 -176.9798
142.844165 88.574 -177.2114
143.879273 88.560 -177.4393
144.921881 88.544 -177.6632
145.972045 88.528 -177.8833
147.029819 88.512 -178.1000
148.095257 88.495 -178.3139
149.168417 88.477 -178.5257
150.249353 88.459 -178.7361
151.338121 88.440 -178.9455
152.434780 88.421 -179.1539
153.539385 88.401 -179.3612
154.651995 88.381 -179.5669
155.772667 88.360 -179.7704
156.901460 88.340 -179.9711
158.038432 88.319 179.8310
159.183644 88.299 179.6358
160.337154 88.279 179.4425
161.499023 88.260 179.2501
162.669312 88.240 179.0576
163.848081 88.220 178.8639
165.035392 88.199 178.6686
166.231306 88.179 178.4718
167.435887 88.158 178.2737
168.649196 88.138 178.0752
169.871298 88.117 177.8770
171.102255 88.097 177.6798
172.342133 88.077 177.4845
173.590995 88.058 177.2919
174.848907 88.038 177.1030
176.115934 88.019 176.9184
177.392143 88.000 176.7387
178.677599 87.981 176.5640
179.972371 87.962 176.3942
181.276525 87.942 176.2288
182.590129 87.921 176.0673
183.913252 87.901 175.9096
185.245964 87.879 175.7552
186.588332 87.857 175.6038
187.940428 87.834 175.4551
189.302322 87.811 175.3086
190.674085 87.787 175.1638
192.055788 87.762 175.0203
193.447503 87.737 174.8777
194.849303 87.712 174.7358
196.261262 87.686 174.5940
197.683452 87.659 174.4518
199.115948 87.632 174.3085
200.558824 87.604 174.1631
202.012156 87.575 174.0149
203.476019 87.547 173.8641
204.950490 87.518 173.7115
206.435646 87.489 173.5583
207.931564 87.460 173.4061
209.438322 87.432 173.2557
210.955998 87.405 173.1078
212.484672 87.378 172.9626
214.024424 87.352 172.8204
215.575333 87.327 172.6814
217.137481 87.303 172.5460
218.710948 87.280 172.4147
220.295818 87.258 172.2881
221.892172 87.237 172.1668
223.500094 87.216 172.0511
225.119668 87.197 171.9411
226.750978 87.179 171.8369
228.394109 87.162 171.7379
230.049147 87.145 171.6434
231.716178 87.130 171.5524
233.395289 87.116 171.4639
235.086567 87.103 171.3770
236.790102 87.092 171.2912
238.505980 87.081 171.2053
240.234293 87.072 171.1187
241.975130 87.064 171.0307
243.728581 87.057 170.9413
245.494739 87.051 170.8512
247.273695 87.045 170.7617
249.065542 87.039 170.6740
250.870374 87.034 170.5895
252.688284 87.029 170.5088
254.519367 87.025 170.4319
256.363720 87.022 170.3582
258.221437 87.019 170.2861
260.092616 87.017 170.2141
261.977354 87.015 170.1402
263.875750 87.014 170.0634
265.787903 87.012 169.9832
267.713911 87.010 169.9002
269.653877 87.007 169.8156
271.607900 87.002 169.7303
273.576083 86.996 169.6451
275.558528 86.989 169.5608
277.555338 86.980 169.4779
279.566619 86.971 169.3974
281.592474 86.962 169.3202
283.633009 86.953 169.2473
285.688331 86.944 169.1791
287.758546 86.936 169.1158
289.843763 86.928 169.0574
291.944090 86.921 169.0034
294.059638 86.916 168.9540
296.190515 86.911 168.9091
298.336833 86.908 168.8682
300.498705 86.906 168.8310
302.676243 86.905 168.7969
304.869559 86.904 168.7655
307.078770 86.905 168.7360
309.303989 86.905 168.7079
311.545334 86.906 168.6805
313.802919 86.907 168.6534
316.076865 86.909 168.6266
318.367288 86.910 168.6000
320.674309 86.911 168.5736
322.998047 86.912 168.5479
325.338624 86.913 168.5230
327.696162 86.913 168.4995
330.070783 86.912 168.4778
332.462612 86.910 168.4582
334.871773 86.907 168.4410
337.298392 86.903 168.4261
339.742595 86.897 168.4127
342.204510 86.890 168.4000
344.684265 86.881 168.3867
347.181989 86.872 168.3718
349.697813 86.862 168.3544
