* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 12:31:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD6XX (Back) R8
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 80.147 -100.6791
20.333664 80.180 -100.8124
20.481010 80.225 -100.9879
20.629424 80.283 -101.1969
20.778913 80.351 -101.4311
20.929486 80.429 -101.6832
21.081150 80.518 -101.9481
21.233912 80.615 -102.2227
21.387782 80.719 -102.5059
21.542767 80.827 -102.7978
21.698874 80.940 -103.0994
21.856113 81.053 -103.4113
22.014492 81.166 -103.7340
22.174018 81.276 -104.0668
22.334700 81.382 -104.4080
22.496546 81.483 -104.7553
22.659566 81.577 -105.1058
22.823766 81.665 -105.4567
22.989157 81.747 -105.8060
23.155745 81.823 -106.1525
23.323542 81.894 -106.4965
23.492554 81.960 -106.8398
23.662790 82.022 -107.1856
23.834261 82.082 -107.5383
24.006973 82.139 -107.9022
24.180938 82.194 -108.2820
24.356163 82.247 -108.6809
24.532658 82.297 -109.1010
24.710431 82.345 -109.5423
24.889493 82.389 -110.0026
25.069853 82.430 -110.4781
25.251519 82.467 -110.9631
25.434502 82.500 -111.4511
25.618811 82.528 -111.9349
25.804456 82.552 -112.4076
25.991445 82.573 -112.8632
26.179790 82.591 -113.2970
26.369500 82.606 -113.7062
26.560584 82.620 -114.0898
26.753053 82.633 -114.4488
26.946917 82.645 -114.7862
27.142185 82.658 -115.1062
27.338869 82.670 -115.4142
27.536977 82.682 -115.7157
27.736522 82.695 -116.0160
27.937512 82.708 -116.3197
28.139959 82.720 -116.6301
28.343872 82.732 -116.9491
28.549264 82.745 -117.2770
28.756143 82.757 -117.6130
28.964522 82.771 -117.9555
29.174411 82.787 -118.3025
29.385821 82.806 -118.6527
29.598763 82.829 -119.0050
29.813248 82.858 -119.3599
30.029287 82.894 -119.7185
30.246891 82.937 -120.0831
30.466073 82.987 -120.4560
30.686842 83.045 -120.8392
30.909212 83.109 -121.2337
31.133193 83.178 -121.6387
31.358797 83.252 -122.0519
31.586035 83.330 -122.4690
31.814921 83.410 -122.8846
32.045465 83.492 -123.2928
32.277680 83.576 -123.6878
32.511577 83.662 -124.0649
32.747169 83.749 -124.4213
32.984469 83.840 -124.7564
33.223488 83.933 -125.0719
33.464239 84.029 -125.3716
33.706735 84.127 -125.6609
33.950987 84.227 -125.9463
34.197010 84.329 -126.2342
34.444816 84.431 -126.5306
34.694417 84.532 -126.8405
34.945827 84.632 -127.1673
35.199059 84.729 -127.5129
35.454126 84.824 -127.8778
35.711041 84.916 -128.2609
35.969818 85.005 -128.6600
36.230470 85.091 -129.0716
36.493011 85.175 -129.4918
36.757455 85.256 -129.9162
37.023814 85.336 -130.3403
37.292104 85.415 -130.7603
37.562338 85.492 -131.1730
37.834530 85.569 -131.5771
38.108695 85.645 -131.9722
38.384846 85.720 -132.3595
38.662999 85.794 -132.7411
38.943167 85.867 -133.1195
39.225365 85.939 -133.4967
39.509608 86.008 -133.8742
39.795911 86.076 -134.2524
40.084289 86.142 -134.6308
40.374756 86.206 -135.0085
40.667328 86.268 -135.3846
40.962020 86.330 -135.7583
41.258848 86.390 -136.1292
41.557827 86.448 -136.4971
41.858972 86.505 -136.8621
42.162299 86.560 -137.2241
42.467824 86.613 -137.5830
42.775564 86.663 -137.9387
43.085533 86.710 -138.2918
43.397749 86.756 -138.6429
43.712227 86.798 -138.9933
44.028983 86.839 -139.3440
44.348036 86.877 -139.6958
44.669400 86.913 -140.0487
44.993093 86.948 -140.4020
45.319131 86.981 -140.7552
45.647532 87.013 -141.1081
45.978313 87.044 -141.4612
46.311491 87.074 -141.8159
46.647083 87.104 -142.1740
46.985107 87.134 -142.5371
47.325581 87.163 -142.9061
47.668521 87.192 -143.2810
48.013947 87.220 -143.6612
48.361876 87.248 -144.0460
48.712326 87.276 -144.4349
49.065315 87.304 -144.8279
49.420863 87.331 -145.2249
49.778987 87.358 -145.6260
50.139706 87.384 -146.0307
50.503039 87.409 -146.4379
50.869005 87.433 -146.8459
51.237623 87.454 -147.2524
51.608912 87.473 -147.6548
51.982891 87.489 -148.0498
52.359580 87.503 -148.4345
52.739000 87.514 -148.8068
53.121168 87.523 -149.1656
53.506106 87.530 -149.5118
53.893833 87.536 -149.8473
54.284370 87.541 -150.1751
54.677737 87.545 -150.4982
55.073955 87.550 -150.8194
55.473043 87.556 -151.1412
55.875024 87.563 -151.4659
56.279917 87.571 -151.7959
56.687745 87.579 -152.1328
57.098527 87.590 -152.4782
57.512287 87.601 -152.8319
57.929045 87.614 -153.1923
58.348822 87.629 -153.5556
58.771642 87.646 -153.9171
59.197525 87.667 -154.2716
59.626495 87.692 -154.6156
60.058573 87.721 -154.9483
60.493782 87.756 -155.2724
60.932145 87.795 -155.5928
61.373685 87.837 -155.9149
61.818424 87.883 -156.2435
62.266386 87.930 -156.5814
62.717593 87.980 -156.9292
63.172071 88.030 -157.2856
63.629842 88.081 -157.6481
64.090930 88.133 -158.0137
64.555359 88.185 -158.3791
65.023154 88.237 -158.7418
65.494339 88.288 -159.0997
65.968938 88.339 -159.4516
66.446976 88.389 -159.7965
66.928478 88.437 -160.1345
67.413469 88.485 -160.4663
67.901975 88.530 -160.7932
68.394021 88.574 -161.1172
68.889632 88.616 -161.4402
69.388835 88.655 -161.7638
69.891655 88.691 -162.0885
70.398118 88.725 -162.4143
70.908252 88.755 -162.7405
71.422083 88.783 -163.0659
71.939636 88.808 -163.3899
72.460941 88.830 -163.7119
72.986023 88.850 -164.0320
73.514909 88.868 -164.3507
74.047629 88.884 -164.6688
74.584208 88.899 -164.9872
75.124676 88.912 -165.3069
75.669061 88.924 -165.6284
76.217390 88.934 -165.9522
76.769692 88.944 -166.2785
77.325997 88.954 -166.6073
77.886333 88.962 -166.9385
78.450730 88.970 -167.2721
79.019216 88.977 -167.6079
79.591822 88.983 -167.9458
80.168577 88.988 -168.2853
80.749512 88.992 -168.6260
81.334656 88.995 -168.9671
81.924040 88.997 -169.3080
82.517696 88.998 -169.6481
83.115653 88.998 -169.9870
83.717943 88.998 -170.3243
84.324598 88.997 -170.6599
84.935649 88.996 -170.9938
85.551128 88.995 -171.3265
86.171066 88.994 -171.6587
86.795497 88.992 -171.9916
87.424453 88.991 -172.3261
88.057967 88.989 -172.6632
88.696071 88.986 -173.0034
89.338800 88.983 -173.3468
89.986185 88.980 -173.6933
90.638262 88.976 -174.0421
91.295065 88.972 -174.3925
91.956626 88.967 -174.7437
92.622982 88.962 -175.0949
93.294166 88.958 -175.4458
93.970214 88.953 -175.7965
94.651161 88.948 -176.1471
95.337042 88.944 -176.4982
96.027894 88.940 -176.8500
96.723752 88.937 -177.2029
97.424652 88.934 -177.5567
98.130631 88.932 -177.9108
98.841726 88.930 -178.2645
99.557974 88.928 -178.6172
100.279412 88.927 -178.9682
101.006078 88.927 -179.3171
101.738010 88.927 -179.6638
102.475245 88.927 179.9916
103.217823 88.928 179.6487
103.965782 88.930 179.3073
104.719161 88.932 178.9669
105.477999 88.934 178.6275
106.242336 88.937 178.2893
107.012212 88.941 177.9527
107.787666 88.945 177.6183
108.568740 88.950 177.2865
109.355474 88.955 176.9575
110.147909 88.960 176.6310
110.946086 88.966 176.3066
111.750047 88.972 175.9837
112.559834 88.978 175.6616
113.375489 88.984 175.3394
114.197055 88.990 175.0167
115.024574 88.996 174.6932
115.858089 89.002 174.3690
116.697645 89.007 174.0440
117.543284 89.012 173.7181
118.395051 89.017 173.3913
119.252990 89.022 173.0635
120.117147 89.027 172.7353
120.987565 89.032 172.4071
121.864291 89.037 172.0798
122.747370 89.042 171.7537
123.636848 89.047 171.4291
124.532771 89.051 171.1055
125.435187 89.054 170.7827
126.344142 89.056 170.4601
127.259684 89.057 170.1375
128.181860 89.057 169.8154
129.110718 89.055 169.4941
130.046308 89.053 169.1747
130.988677 89.050 168.8579
131.937875 89.046 168.5445
132.893951 89.040 168.2351
133.856956 89.033 167.9302
134.826938 89.025 167.6298
135.803950 89.015 167.3336
136.788041 89.003 167.0409
137.779264 88.989 166.7508
138.777669 88.973 166.4625
139.783309 88.955 166.1752
140.796237 88.936 165.8885
141.816504 88.915 165.6025
142.844165 88.894 165.3171
143.879273 88.871 165.0327
144.921881 88.849 164.7491
145.972045 88.826 164.4662
147.029819 88.802 164.1836
148.095257 88.778 163.9006
149.168417 88.754 163.6168
150.249353 88.730 163.3313
151.338121 88.706 163.0439
152.434780 88.682 162.7548
153.539385 88.657 162.4642
154.651995 88.633 162.1732
155.772667 88.609 161.8826
156.901460 88.585 161.5938
158.038432 88.561 161.3078
159.183644 88.536 161.0255
160.337154 88.512 160.7471
161.499023 88.488 160.4728
162.669312 88.464 160.2022
163.848081 88.439 159.9344
165.035392 88.415 159.6687
166.231306 88.391 159.4042
167.435887 88.367 159.1405
168.649196 88.344 158.8775
169.871298 88.321 158.6152
171.102255 88.297 158.3536
172.342133 88.274 158.0930
173.590995 88.251 157.8334
174.848907 88.227 157.5749
176.115934 88.203 157.3177
177.392143 88.178 157.0620
178.677599 88.153 156.8079
179.972371 88.127 156.5555
181.276525 88.100 156.3048
182.590129 88.072 156.0553
183.913252 88.044 155.8063
185.245964 88.014 155.5573
186.588332 87.983 155.3078
187.940428 87.951 155.0583
189.302322 87.918 154.8091
190.674085 87.885 154.5610
192.055788 87.851 154.3148
193.447503 87.817 154.0713
194.849303 87.783 153.8313
196.261262 87.748 153.5959
197.683452 87.714 153.3658
199.115948 87.679 153.1412
200.558824 87.645 152.9226
202.012156 87.610 152.7095
203.476019 87.576 152.5016
204.950490 87.542 152.2981
206.435646 87.509 152.0983
207.931564 87.476 151.9019
209.438322 87.443 151.7087
210.955998 87.410 151.5190
212.484672 87.378 151.3331
214.024424 87.346 151.1513
215.575333 87.315 150.9739
217.137481 87.284 150.8012
218.710948 87.255 150.6331
220.295818 87.227 150.4698
221.892172 87.200 150.3110
223.500094 87.175 150.1566
225.119668 87.153 150.0060
226.750978 87.131 149.8584
228.394109 87.112 149.7123
230.049147 87.095 149.5663
231.716178 87.079 149.4185
233.395289 87.065 149.2667
235.086567 87.052 149.1095
236.790102 87.041 148.9459
238.505980 87.031 148.7758
240.234293 87.022 148.6001
241.975130 87.014 148.4202
243.728581 87.006 148.2376
245.494739 86.998 148.0540
247.273695 86.990 147.8709
249.065542 86.982 147.6893
250.870374 86.973 147.5100
252.688284 86.964 147.3336
254.519367 86.954 147.1601
256.363720 86.942 146.9891
258.221437 86.930 146.8197
260.092616 86.917 146.6508
261.977354 86.903 146.4815
263.875750 86.889 146.3113
265.787903 86.875 146.1399
267.713911 86.861 145.9675
269.653877 86.848 145.7941
271.607900 86.836 145.6199
273.576083 86.825 145.4449
275.558528 86.815 145.2692
277.555338 86.804 145.0933
279.566619 86.794 144.9178
281.592474 86.784 144.7436
283.633009 86.774 144.5716
285.688331 86.764 144.4029
287.758546 86.754 144.2385
289.843763 86.744 144.0792
291.944090 86.734 143.9258
294.059638 86.725 143.7784
296.190515 86.716 143.6364
298.336833 86.707 143.4990
300.498705 86.699 143.3648
302.676243 86.691 143.2322
304.869559 86.684 143.1004
307.078770 86.676 142.9687
309.303989 86.669 142.8371
311.545334 86.662 142.7059
313.802919 86.655 142.5756
316.076865 86.648 142.4465
318.367288 86.640 142.3184
320.674309 86.633 142.1911
322.998047 86.625 142.0640
325.338624 86.617 141.9364
327.696162 86.608 141.8077
330.070783 86.599 141.6774
332.462612 86.590 141.5455
334.871773 86.579 141.4127
337.298392 86.568 141.2794
339.742595 86.556 141.1468
342.204510 86.543 141.0156
344.684265 86.529 140.8865
347.181989 86.513 140.7601
349.697813 86.496 140.6367
352.231868 86.478 140.5164
354.784285 86.459 140.3996
357.355198 86.438 140.2867
359.944741 86.416 140.1779
362.553049 86.393 140.0735
