* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 12:16:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD6XX (Back) L11
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 78.769 -95.2441
20.333664 78.822 -95.4393
20.481010 78.891 -95.6963
20.629424 78.975 -96.0026
20.778913 79.070 -96.3446
20.929486 79.173 -96.7085
21.081150 79.283 -97.0820
21.233912 79.397 -97.4549
21.387782 79.513 -97.8198
21.542767 79.630 -98.1727
21.698874 79.747 -98.5123
21.856113 79.863 -98.8403
22.014492 79.976 -99.1603
22.174018 80.086 -99.4770
22.334700 80.191 -99.7955
22.496546 80.291 -100.1201
22.659566 80.383 -100.4537
22.823766 80.468 -100.7976
22.989157 80.546 -101.1508
23.155745 80.615 -101.5104
23.323542 80.676 -101.8722
23.492554 80.731 -102.2306
23.662790 80.779 -102.5799
23.834261 80.823 -102.9148
24.006973 80.865 -103.2309
24.180938 80.904 -103.5257
24.356163 80.944 -103.7985
24.532658 80.985 -104.0507
24.710431 81.027 -104.2858
24.889493 81.071 -104.5087
25.069853 81.116 -104.7256
25.251519 81.163 -104.9430
25.434502 81.209 -105.1677
25.618811 81.254 -105.4056
25.804456 81.296 -105.6621
25.991445 81.336 -105.9413
26.179790 81.371 -106.2461
26.369500 81.401 -106.5780
26.560584 81.427 -106.9374
26.753053 81.449 -107.3234
26.946917 81.467 -107.7340
27.142185 81.482 -108.1663
27.338869 81.497 -108.6165
27.536977 81.511 -109.0803
27.736522 81.527 -109.5529
27.937512 81.546 -110.0291
28.139959 81.568 -110.5038
28.343872 81.594 -110.9718
28.549264 81.624 -111.4282
28.756143 81.657 -111.8684
28.964522 81.693 -112.2884
29.174411 81.732 -112.6848
29.385821 81.772 -113.0552
29.598763 81.814 -113.3981
29.813248 81.856 -113.7131
30.029287 81.900 -114.0012
30.246891 81.946 -114.2647
30.466073 81.994 -114.5067
30.686842 82.046 -114.7314
30.909212 82.102 -114.9433
31.133193 82.165 -115.1471
31.358797 82.233 -115.3469
31.586035 82.309 -115.5464
31.814921 82.391 -115.7486
32.045465 82.479 -115.9562
32.277680 82.574 -116.1717
32.511577 82.673 -116.3979
32.747169 82.775 -116.6385
32.984469 82.879 -116.8979
33.223488 82.983 -117.1812
33.464239 83.087 -117.4939
33.706735 83.188 -117.8409
33.950987 83.287 -118.2257
34.197010 83.383 -118.6496
34.444816 83.475 -119.1108
34.694417 83.564 -119.6041
34.945827 83.650 -120.1206
35.199059 83.735 -120.6487
35.454126 83.819 -121.1746
35.711041 83.903 -121.6842
35.969818 83.987 -122.1645
36.230470 84.072 -122.6052
36.493011 84.157 -123.0008
36.757455 84.243 -123.3508
37.023814 84.329 -123.6601
37.292104 84.414 -123.9383
37.562338 84.497 -124.1984
37.834530 84.576 -124.4544
38.108695 84.652 -124.7198
38.384846 84.722 -125.0055
38.662999 84.788 -125.3191
38.943167 84.850 -125.6640
39.225365 84.909 -126.0403
39.509608 84.966 -126.4450
39.795911 85.021 -126.8735
40.084289 85.077 -127.3197
40.374756 85.134 -127.7770
40.667328 85.192 -128.2385
40.962020 85.251 -128.6973
41.258848 85.312 -129.1471
41.557827 85.373 -129.5828
41.858972 85.436 -130.0011
42.162299 85.500 -130.4007
42.467824 85.565 -130.7823
42.775564 85.630 -131.1479
43.085533 85.694 -131.5001
43.397749 85.757 -131.8410
43.712227 85.817 -132.1719
44.028983 85.872 -132.4931
44.348036 85.922 -132.8050
44.669400 85.966 -133.1084
44.993093 86.004 -133.4053
45.319131 86.036 -133.6987
45.647532 86.063 -133.9929
45.978313 86.088 -134.2923
46.311491 86.110 -134.6007
46.647083 86.133 -134.9205
46.985107 86.157 -135.2519
47.325581 86.182 -135.5920
47.668521 86.209 -135.9354
48.013947 86.237 -136.2743
48.361876 86.266 -136.6002
48.712326 86.294 -136.9059
49.065315 86.322 -137.1872
49.420863 86.348 -137.4440
49.778987 86.373 -137.6807
50.139706 86.395 -137.9043
50.503039 86.415 -138.1227
50.869005 86.433 -138.3424
51.237623 86.449 -138.5677
51.608912 86.463 -138.7998
51.982891 86.477 -139.0378
52.359580 86.490 -139.2794
52.739000 86.503 -139.5227
53.121168 86.518 -139.7660
53.506106 86.535 -140.0088
53.893833 86.553 -140.2512
54.284370 86.573 -140.4944
54.677737 86.594 -140.7404
55.073955 86.616 -140.9919
55.473043 86.639 -141.2522
55.875024 86.663 -141.5246
56.279917 86.687 -141.8114
56.687745 86.713 -142.1136
57.098527 86.740 -142.4303
57.512287 86.769 -142.7583
57.929045 86.799 -143.0933
58.348822 86.831 -143.4290
58.771642 86.865 -143.7581
59.197525 86.899 -144.0729
59.626495 86.934 -144.3660
60.058573 86.968 -144.6324
60.493782 87.002 -144.8706
60.932145 87.037 -145.0834
61.373685 87.072 -145.2771
61.818424 87.109 -145.4605
62.266386 87.148 -145.6423
62.717593 87.190 -145.8297
63.172071 87.234 -146.0276
63.629842 87.281 -146.2383
64.090930 87.330 -146.4620
64.555359 87.381 -146.6974
65.023154 87.433 -146.9431
65.494339 87.486 -147.1973
65.968938 87.540 -147.4587
66.446976 87.595 -147.7260
66.928478 87.650 -147.9979
67.413469 87.705 -148.2733
67.901975 87.761 -148.5517
68.394021 87.815 -148.8332
68.889632 87.869 -149.1186
69.388835 87.922 -149.4092
69.891655 87.972 -149.7061
70.398118 88.020 -150.0102
70.908252 88.065 -150.3221
71.422083 88.105 -150.6414
71.939636 88.142 -150.9674
72.460941 88.175 -151.2991
72.986023 88.204 -151.6354
73.514909 88.230 -151.9755
74.047629 88.252 -152.3185
74.584208 88.271 -152.6640
75.124676 88.287 -153.0115
75.669061 88.300 -153.3608
76.217390 88.312 -153.7116
76.769692 88.321 -154.0633
77.325997 88.328 -154.4154
77.886333 88.333 -154.7672
78.450730 88.337 -155.1181
79.019216 88.340 -155.4681
79.591822 88.343 -155.8169
80.168577 88.346 -156.1642
80.749512 88.349 -156.5096
81.334656 88.353 -156.8520
81.924040 88.358 -157.1903
82.517696 88.364 -157.5231
83.115653 88.370 -157.8491
83.717943 88.376 -158.1671
84.324598 88.381 -158.4766
84.935649 88.386 -158.7776
85.551128 88.390 -159.0712
86.171066 88.392 -159.3591
86.795497 88.393 -159.6433
87.424453 88.393 -159.9260
88.057967 88.392 -160.2091
88.696071 88.391 -160.4943
89.338800 88.389 -160.7827
89.986185 88.387 -161.0746
90.638262 88.385 -161.3701
91.295065 88.384 -161.6682
91.956626 88.382 -161.9678
92.622982 88.381 -162.2673
93.294166 88.379 -162.5656
93.970214 88.377 -162.8613
94.651161 88.375 -163.1537
95.337042 88.372 -163.4420
96.027894 88.370 -163.7260
96.723752 88.367 -164.0052
97.424652 88.364 -164.2795
98.130631 88.361 -164.5487
98.841726 88.358 -164.8126
99.557974 88.356 -165.0715
100.279412 88.354 -165.3260
101.006078 88.353 -165.5770
101.738010 88.352 -165.8262
102.475245 88.352 -166.0752
103.217823 88.353 -166.3261
103.965782 88.353 -166.5805
104.719161 88.354 -166.8396
105.477999 88.355 -167.1040
106.242336 88.357 -167.3735
107.012212 88.359 -167.6478
107.787666 88.362 -167.9258
108.568740 88.366 -168.2062
109.355474 88.371 -168.4873
110.147909 88.377 -168.7673
110.946086 88.384 -169.0445
111.750047 88.393 -169.3174
112.559834 88.402 -169.5847
113.375489 88.412 -169.8454
114.197055 88.422 -170.0993
115.024574 88.433 -170.3468
115.858089 88.444 -170.5890
116.697645 88.456 -170.8273
117.543284 88.467 -171.0633
118.395051 88.477 -171.2984
119.252990 88.487 -171.5339
120.117147 88.496 -171.7708
120.987565 88.505 -172.0101
121.864291 88.512 -172.2521
122.747370 88.518 -172.4969
123.636848 88.524 -172.7445
124.532771 88.529 -172.9947
125.435187 88.533 -173.2469
126.344142 88.537 -173.5008
127.259684 88.540 -173.7557
128.181860 88.542 -174.0106
129.110718 88.543 -174.2645
130.046308 88.544 -174.5163
130.988677 88.544 -174.7651
131.937875 88.542 -175.0096
132.893951 88.540 -175.2493
133.856956 88.536 -175.4834
134.826938 88.531 -175.7122
135.803950 88.524 -175.9361
136.788041 88.516 -176.1562
137.779264 88.507 -176.3736
138.777669 88.495 -176.5892
139.783309 88.483 -176.8037
140.796237 88.469 -177.0172
141.816504 88.454 -177.2298
142.844165 88.438 -177.4417
143.879273 88.421 -177.6532
144.921881 88.403 -177.8651
145.972045 88.384 -178.0782
147.029819 88.365 -178.2929
148.095257 88.344 -178.5096
149.168417 88.324 -178.7278
150.249353 88.303 -178.9467
151.338121 88.282 -179.1653
152.434780 88.261 -179.3826
153.539385 88.240 -179.5976
154.651995 88.220 -179.8101
155.772667 88.200 179.9799
156.901460 88.181 179.7719
158.038432 88.162 179.5656
159.183644 88.143 179.3605
160.337154 88.125 179.1567
161.499023 88.107 178.9542
162.669312 88.090 178.7531
163.848081 88.072 178.5538
165.035392 88.054 178.3568
166.231306 88.036 178.1625
167.435887 88.017 177.9709
168.649196 87.999 177.7819
169.871298 87.980 177.5951
171.102255 87.961 177.4100
172.342133 87.941 177.2266
173.590995 87.922 177.0446
174.848907 87.902 176.8645
176.115934 87.882 176.6866
177.392143 87.862 176.5115
178.677599 87.842 176.3396
179.972371 87.821 176.1713
181.276525 87.800 176.0069
182.590129 87.778 175.8466
183.913252 87.756 175.6905
185.245964 87.733 175.5386
186.588332 87.711 175.3907
187.940428 87.687 175.2468
189.302322 87.664 175.1066
190.674085 87.640 174.9696
192.055788 87.616 174.8355
193.447503 87.593 174.7036
194.849303 87.569 174.5733
196.261262 87.545 174.4440
197.683452 87.521 174.3149
199.115948 87.496 174.1853
200.558824 87.470 174.0549
202.012156 87.444 173.9235
203.476019 87.416 173.7918
204.950490 87.387 173.6608
206.435646 87.358 173.5315
207.931564 87.328 173.4047
209.438322 87.298 173.2807
210.955998 87.269 173.1594
212.484672 87.239 173.0403
214.024424 87.210 172.9232
215.575333 87.182 172.8079
217.137481 87.154 172.6941
218.710948 87.128 172.5816
220.295818 87.103 172.4702
221.892172 87.079 172.3591
223.500094 87.057 172.2480
225.119668 87.037 172.1367
226.750978 87.019 172.0253
228.394109 87.003 171.9144
230.049147 86.990 171.8052
231.716178 86.978 171.6990
233.395289 86.967 171.5970
235.086567 86.959 171.4994
236.790102 86.951 171.4062
238.505980 86.944 171.3166
240.234293 86.937 171.2292
241.975130 86.931 171.1429
243.728581 86.925 171.0566
245.494739 86.919 170.9697
247.273695 86.913 170.8819
249.065542 86.906 170.7932
250.870374 86.900 170.7033
252.688284 86.893 170.6124
254.519367 86.887 170.5203
256.363720 86.880 170.4274
258.221437 86.874 170.3340
260.092616 86.868 170.2412
261.977354 86.861 170.1503
263.875750 86.855 170.0626
265.787903 86.850 169.9794
267.713911 86.844 169.9011
269.653877 86.838 169.8277
271.607900 86.832 169.7586
273.576083 86.826 169.6929
275.558528 86.820 169.6299
277.555338 86.815 169.5690
279.566619 86.810 169.5099
281.592474 86.804 169.4524
283.633009 86.799 169.3963
285.688331 86.795 169.3419
287.758546 86.790 169.2892
289.843763 86.786 169.2385
291.944090 86.782 169.1903
294.059638 86.779 169.1451
296.190515 86.777 169.1036
298.336833 86.775 169.0659
300.498705 86.773 169.0320
302.676243 86.772 169.0013
304.869559 86.771 168.9733
307.078770 86.770 168.9476
309.303989 86.769 168.9237
311.545334 86.769 168.9015
313.802919 86.769 168.8806
316.076865 86.769 168.8611
318.367288 86.769 168.8427
320.674309 86.770 168.8253
322.998047 86.770 168.8087
325.338624 86.771 168.7923
327.696162 86.771 168.7757
330.070783 86.770 168.7587
332.462612 86.769 168.7412
334.871773 86.767 168.7232
337.298392 86.764 168.7050
339.742595 86.759 168.6871
342.204510 86.754 168.6700
344.684265 86.748 168.6546
347.181989 86.740 168.6419
349.697813 86.731 168.6323
352.231868 86.721 168.6257
