* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 12:29:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD6XX (Back) R2
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 79.096 -94.5896
20.333664 79.132 -94.7466
20.481010 79.181 -94.9605
20.629424 79.242 -95.2287
20.778913 79.315 -95.5475
20.929486 79.397 -95.9107
21.081150 79.488 -96.3108
21.233912 79.587 -96.7386
21.387782 79.691 -97.1841
21.542767 79.800 -97.6372
21.698874 79.911 -98.0889
21.856113 80.024 -98.5314
22.014492 80.136 -98.9595
22.174018 80.247 -99.3700
22.334700 80.354 -99.7624
22.496546 80.457 -100.1383
22.659566 80.554 -100.5010
22.823766 80.645 -100.8550
22.989157 80.728 -101.2053
23.155745 80.802 -101.5567
23.323542 80.869 -101.9132
23.492554 80.928 -102.2779
23.662790 80.980 -102.6524
23.834261 81.025 -103.0370
24.006973 81.066 -103.4309
24.180938 81.103 -103.8323
24.356163 81.139 -104.2387
24.532658 81.175 -104.6474
24.710431 81.213 -105.0561
24.889493 81.255 -105.4624
25.069853 81.300 -105.8649
25.251519 81.350 -106.2626
25.434502 81.404 -106.6550
25.618811 81.462 -107.0420
25.804456 81.522 -107.4233
25.991445 81.583 -107.7986
26.179790 81.643 -108.1672
26.369500 81.702 -108.5280
26.560584 81.757 -108.8796
26.753053 81.809 -109.2203
26.946917 81.856 -109.5491
27.142185 81.899 -109.8654
27.338869 81.938 -110.1696
27.536977 81.974 -110.4636
27.736522 82.007 -110.7507
27.937512 82.040 -111.0353
28.139959 82.072 -111.3224
28.343872 82.105 -111.6174
28.549264 82.139 -111.9247
28.756143 82.173 -112.2476
28.964522 82.208 -112.5875
29.174411 82.244 -112.9441
29.385821 82.281 -113.3154
29.598763 82.319 -113.6984
29.813248 82.358 -114.0900
30.029287 82.399 -114.4871
30.246891 82.443 -114.8878
30.466073 82.489 -115.2913
30.686842 82.540 -115.6975
30.909212 82.595 -116.1068
31.133193 82.654 -116.5194
31.358797 82.717 -116.9344
31.586035 82.783 -117.3498
31.814921 82.854 -117.7622
32.045465 82.927 -118.1672
32.277680 83.004 -118.5604
32.511577 83.085 -118.9377
32.747169 83.170 -119.2963
32.984469 83.259 -119.6351
33.223488 83.353 -119.9548
33.464239 83.451 -120.2573
33.706735 83.555 -120.5455
33.950987 83.662 -120.8224
34.197010 83.773 -121.0906
34.444816 83.885 -121.3523
34.694417 83.998 -121.6087
34.945827 84.111 -121.8610
35.199059 84.221 -122.1104
35.454126 84.329 -122.3587
35.711041 84.432 -122.6086
35.969818 84.530 -122.8635
36.230470 84.622 -123.1278
36.493011 84.710 -123.4061
36.757455 84.792 -123.7026
37.023814 84.869 -124.0205
37.292104 84.943 -124.3614
37.562338 85.013 -124.7251
37.834530 85.083 -125.1089
38.108695 85.151 -125.5081
38.384846 85.219 -125.9168
38.662999 85.288 -126.3282
38.943167 85.358 -126.7361
39.225365 85.427 -127.1359
39.509608 85.496 -127.5248
39.795911 85.563 -127.9027
40.084289 85.627 -128.2716
40.374756 85.687 -128.6349
40.667328 85.743 -128.9961
40.962020 85.794 -129.3583
41.258848 85.840 -129.7227
41.557827 85.882 -130.0886
41.858972 85.921 -130.4533
42.162299 85.956 -130.8131
42.467824 85.991 -131.1645
42.775564 86.026 -131.5049
43.085533 86.061 -131.8340
43.397749 86.098 -132.1537
43.712227 86.135 -132.4677
44.028983 86.172 -132.7807
44.348036 86.210 -133.0972
44.669400 86.247 -133.4209
44.993093 86.285 -133.7540
45.319131 86.322 -134.0976
45.647532 86.361 -134.4515
45.978313 86.400 -134.8143
46.311491 86.440 -135.1836
46.647083 86.481 -135.5559
46.985107 86.521 -135.9269
47.325581 86.560 -136.2923
47.668521 86.597 -136.6487
48.013947 86.632 -136.9948
48.361876 86.664 -137.3315
48.712326 86.692 -137.6621
49.065315 86.718 -137.9907
49.420863 86.742 -138.3212
49.778987 86.763 -138.6555
50.139706 86.782 -138.9937
50.503039 86.799 -139.3332
50.869005 86.815 -139.6703
51.237623 86.830 -140.0005
51.608912 86.844 -140.3194
51.982891 86.859 -140.6237
52.359580 86.874 -140.9109
52.739000 86.890 -141.1801
53.121168 86.908 -141.4319
53.506106 86.928 -141.6688
53.893833 86.950 -141.8942
54.284370 86.973 -142.1122
54.677737 86.997 -142.3265
55.073955 87.023 -142.5398
55.473043 87.051 -142.7534
55.875024 87.082 -142.9664
56.279917 87.116 -143.1767
56.687745 87.154 -143.3807
57.098527 87.197 -143.5752
57.512287 87.244 -143.7585
57.929045 87.294 -143.9327
58.348822 87.346 -144.1050
58.771642 87.396 -144.2885
59.197525 87.442 -144.4991
59.626495 87.483 -144.7526
60.058573 87.515 -145.0593
60.493782 87.539 -145.4213
60.932145 87.556 -145.8322
61.373685 87.567 -146.2793
61.818424 87.575 -146.7470
62.266386 87.584 -147.2206
62.717593 87.595 -147.6882
63.172071 87.610 -148.1421
63.629842 87.629 -148.5782
64.090930 87.653 -148.9956
64.555359 87.682 -149.3951
65.023154 87.715 -149.7781
65.494339 87.751 -150.1461
65.968938 87.790 -150.5001
66.446976 87.832 -150.8409
66.928478 87.875 -151.1700
67.413469 87.920 -151.4890
67.901975 87.965 -151.8005
68.394021 88.010 -152.1068
68.889632 88.054 -152.4107
69.388835 88.098 -152.7145
69.891655 88.140 -153.0202
70.398118 88.180 -153.3293
70.908252 88.219 -153.6425
71.422083 88.255 -153.9597
71.939636 88.289 -154.2803
72.460941 88.320 -154.6039
72.986023 88.349 -154.9296
73.514909 88.375 -155.2567
74.047629 88.399 -155.5844
74.584208 88.419 -155.9119
75.124676 88.437 -156.2384
75.669061 88.452 -156.5632
76.217390 88.465 -156.8859
76.769692 88.475 -157.2067
77.325997 88.483 -157.5259
77.886333 88.489 -157.8443
78.450730 88.494 -158.1625
79.019216 88.498 -158.4813
79.591822 88.502 -158.8014
80.168577 88.505 -159.1231
80.749512 88.509 -159.4463
81.334656 88.513 -159.7704
81.924040 88.517 -160.0941
82.517696 88.521 -160.4154
83.115653 88.525 -160.7319
83.717943 88.529 -161.0419
84.324598 88.533 -161.3447
84.935649 88.536 -161.6406
85.551128 88.539 -161.9314
86.171066 88.541 -162.2192
86.795497 88.542 -162.5061
87.424453 88.542 -162.7937
88.057967 88.542 -163.0828
88.696071 88.540 -163.3737
89.338800 88.538 -163.6661
89.986185 88.535 -163.9599
90.638262 88.532 -164.2546
91.295065 88.528 -164.5500
91.956626 88.524 -164.8459
92.622982 88.519 -165.1419
93.294166 88.513 -165.4377
93.970214 88.508 -165.7332
94.651161 88.502 -166.0282
95.337042 88.497 -166.3224
96.027894 88.492 -166.6157
96.723752 88.486 -166.9077
97.424652 88.482 -167.1981
98.130631 88.477 -167.4866
98.841726 88.473 -167.7733
99.557974 88.470 -168.0581
100.279412 88.466 -168.3409
101.006078 88.463 -168.6218
101.738010 88.460 -168.9011
102.475245 88.457 -169.1794
103.217823 88.455 -169.4582
103.965782 88.454 -169.7393
104.719161 88.453 -170.0255
105.477999 88.454 -170.3189
106.242336 88.455 -170.6209
107.012212 88.458 -170.9305
107.787666 88.462 -171.2453
108.568740 88.467 -171.5619
109.355474 88.473 -171.8768
110.147909 88.480 -172.1877
110.946086 88.487 -172.4931
111.750047 88.495 -172.7927
112.559834 88.503 -173.0868
113.375489 88.510 -173.3763
114.197055 88.518 -173.6621
115.024574 88.525 -173.9454
115.858089 88.531 -174.2271
116.697645 88.537 -174.5075
117.543284 88.543 -174.7868
118.395051 88.549 -175.0644
119.252990 88.555 -175.3400
120.117147 88.560 -175.6125
120.987565 88.566 -175.8815
121.864291 88.571 -176.1463
122.747370 88.576 -176.4068
123.636848 88.580 -176.6630
124.532771 88.584 -176.9154
125.435187 88.586 -177.1641
126.344142 88.588 -177.4094
127.259684 88.587 -177.6517
128.181860 88.586 -177.8913
129.110718 88.582 -178.1288
130.046308 88.577 -178.3647
130.988677 88.571 -178.5994
131.937875 88.563 -178.8332
132.893951 88.556 -179.0666
133.856956 88.547 -179.2999
134.826938 88.539 -179.5331
135.803950 88.530 -179.7664
136.788041 88.521 -179.9996
137.779264 88.511 179.7673
138.777669 88.499 179.5343
139.783309 88.486 179.3011
140.796237 88.472 179.0675
141.816504 88.456 178.8335
142.844165 88.440 178.5992
143.879273 88.422 178.3647
144.921881 88.404 178.1306
145.972045 88.385 177.8971
147.029819 88.365 177.6649
148.095257 88.345 177.4344
149.168417 88.324 177.2064
150.249353 88.302 176.9808
151.338121 88.280 176.7576
152.434780 88.257 176.5367
153.539385 88.234 176.3175
154.651995 88.210 176.0999
155.772667 88.186 175.8838
156.901460 88.162 175.6694
158.038432 88.138 175.4569
159.183644 88.115 175.2464
160.337154 88.091 175.0375
161.499023 88.068 174.8295
162.669312 88.044 174.6220
163.848081 88.021 174.4149
165.035392 87.998 174.2085
166.231306 87.975 174.0036
167.435887 87.953 173.8010
168.649196 87.930 173.6015
169.871298 87.907 173.4055
171.102255 87.884 173.2128
172.342133 87.861 173.0231
173.590995 87.837 172.8356
174.848907 87.812 172.6494
176.115934 87.787 172.4634
177.392143 87.761 172.2764
178.677599 87.734 172.0873
179.972371 87.707 171.8952
181.276525 87.679 171.7001
182.590129 87.651 171.5028
183.913252 87.623 171.3051
185.245964 87.594 171.1088
186.588332 87.566 170.9159
187.940428 87.537 170.7278
189.302322 87.508 170.5453
190.674085 87.479 170.3687
192.055788 87.450 170.1975
193.447503 87.420 170.0308
194.849303 87.390 169.8678
196.261262 87.360 169.7079
197.683452 87.330 169.5510
199.115948 87.300 169.3976
200.558824 87.269 169.2486
202.012156 87.238 169.1052
203.476019 87.207 168.9690
204.950490 87.176 168.8408
206.435646 87.144 168.7214
207.931564 87.112 168.6106
209.438322 87.079 168.5075
210.955998 87.047 168.4108
212.484672 87.015 168.3192
214.024424 86.984 168.2314
215.575333 86.954 168.1470
217.137481 86.925 168.0656
218.710948 86.898 167.9875
220.295818 86.872 167.9128
221.892172 86.848 167.8413
223.500094 86.826 167.7726
225.119668 86.806 167.7057
226.750978 86.787 167.6395
228.394109 86.771 167.5721
230.049147 86.756 167.5017
231.716178 86.743 167.4266
233.395289 86.732 167.3451
235.086567 86.722 167.2562
236.790102 86.713 167.1591
238.505980 86.705 167.0542
240.234293 86.697 166.9423
241.975130 86.689 166.8248
243.728581 86.682 166.7039
245.494739 86.674 166.5821
247.273695 86.666 166.4617
249.065542 86.658 166.3447
250.870374 86.649 166.2322
252.688284 86.641 166.1244
254.519367 86.632 166.0204
256.363720 86.623 165.9194
258.221437 86.613 165.8198
260.092616 86.604 165.7206
261.977354 86.595 165.6212
263.875750 86.586 165.5214
265.787903 86.576 165.4218
267.713911 86.567 165.3231
269.653877 86.558 165.2262
271.607900 86.550 165.1315
273.576083 86.541 165.0393
275.558528 86.533 164.9500
277.555338 86.525 164.8635
279.566619 86.517 164.7802
281.592474 86.509 164.6998
283.633009 86.500 164.6227
285.688331 86.492 164.5491
287.758546 86.483 164.4792
289.843763 86.475 164.4129
291.944090 86.466 164.3499
294.059638 86.457 164.2897
296.190515 86.449 164.2313
298.336833 86.440 164.1739
300.498705 86.433 164.1167
302.676243 86.425 164.0597
304.869559 86.419 164.0031
307.078770 86.413 163.9476
309.303989 86.407 163.8939
311.545334 86.401 163.8423
313.802919 86.396 163.7931
316.076865 86.391 163.7462
318.367288 86.385 163.7015
320.674309 86.379 163.6586
322.998047 86.373 163.6171
325.338624 86.367 163.5765
327.696162 86.361 163.5362
330.070783 86.354 163.4958
332.462612 86.347 163.4549
334.871773 86.340 163.4133
337.298392 86.332 163.3712
339.742595 86.324 163.3291
342.204510 86.315 163.2875
344.684265 86.305 163.2473
347.181989 86.295 163.2089
349.697813 86.283 163.1730
352.231868 86.269 163.1403
354.784285 86.255 163.1115
