* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 12:08:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD6XX (Forward) L1
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 78.878 -104.4734
20.333664 78.905 -104.5824
20.481010 78.942 -104.7176
20.629424 78.986 -104.8620
20.778913 79.037 -104.9978
20.929486 79.093 -105.1089
21.081150 79.154 -105.1827
21.233912 79.218 -105.2108
21.387782 79.285 -105.1898
21.542767 79.354 -105.1217
21.698874 79.425 -105.0132
21.856113 79.499 -104.8757
22.014492 79.573 -104.7238
22.174018 79.648 -104.5745
22.334700 79.724 -104.4455
22.496546 79.798 -104.3542
22.659566 79.871 -104.3162
22.823766 79.942 -104.3437
22.989157 80.009 -104.4450
23.155745 80.072 -104.6237
23.323542 80.130 -104.8782
23.492554 80.185 -105.2024
23.662790 80.236 -105.5858
23.834261 80.284 -106.0146
24.006973 80.331 -106.4726
24.180938 80.377 -106.9429
24.356163 80.424 -107.4089
24.532658 80.474 -107.8560
24.710431 80.527 -108.2725
24.889493 80.585 -108.6502
25.069853 80.647 -108.9852
25.251519 80.712 -109.2773
25.434502 80.780 -109.5300
25.618811 80.849 -109.7493
25.804456 80.918 -109.9430
25.991445 80.985 -110.1201
26.179790 81.047 -110.2893
26.369500 81.104 -110.4589
26.560584 81.155 -110.6366
26.753053 81.199 -110.8284
26.946917 81.236 -111.0396
27.142185 81.268 -111.2742
27.338869 81.295 -111.5349
27.536977 81.319 -111.8236
27.736522 81.342 -112.1412
27.937512 81.367 -112.4874
28.139959 81.394 -112.8612
28.343872 81.425 -113.2601
28.549264 81.460 -113.6806
28.756143 81.501 -114.1180
28.964522 81.544 -114.5664
29.174411 81.590 -115.0190
29.385821 81.636 -115.4681
29.598763 81.681 -115.9063
29.813248 81.722 -116.3266
30.029287 81.758 -116.7234
30.246891 81.789 -117.0938
30.466073 81.815 -117.4375
30.686842 81.836 -117.7580
30.909212 81.854 -118.0625
31.133193 81.870 -118.3608
31.358797 81.889 -118.6649
31.586035 81.911 -118.9865
31.814921 81.939 -119.3353
32.045465 81.976 -119.7174
32.277680 82.023 -120.1334
32.511577 82.083 -120.5785
32.747169 82.155 -121.0429
32.984469 82.241 -121.5139
33.223488 82.341 -121.9778
33.464239 82.454 -122.4222
33.706735 82.579 -122.8382
33.950987 82.713 -123.2205
34.197010 82.853 -123.5682
34.444816 82.995 -123.8832
34.694417 83.137 -124.1692
34.945827 83.274 -124.4310
35.199059 83.405 -124.6737
35.454126 83.528 -124.9026
35.711041 83.643 -125.1244
35.969818 83.750 -125.3465
36.230470 83.851 -125.5779
36.493011 83.947 -125.8277
36.757455 84.040 -126.1038
37.023814 84.130 -126.4116
37.292104 84.217 -126.7519
37.562338 84.302 -127.1206
37.834530 84.384 -127.5098
38.108695 84.463 -127.9084
38.384846 84.538 -128.3056
38.662999 84.609 -128.6920
38.943167 84.675 -129.0619
39.225365 84.737 -129.4138
39.509608 84.793 -129.7496
39.795911 84.846 -130.0732
40.084289 84.894 -130.3896
40.374756 84.940 -130.7032
40.667328 84.985 -131.0170
40.962020 85.031 -131.3329
41.258848 85.081 -131.6521
41.557827 85.135 -131.9754
41.858972 85.196 -132.3041
42.162299 85.262 -132.6391
42.467824 85.333 -132.9811
42.775564 85.406 -133.3296
43.085533 85.477 -133.6816
43.397749 85.543 -134.0318
43.712227 85.602 -134.3721
44.028983 85.650 -134.6935
44.348036 85.689 -134.9868
44.669400 85.718 -135.2456
44.993093 85.742 -135.4674
45.319131 85.762 -135.6553
45.647532 85.782 -135.8174
45.978313 85.806 -135.9653
46.311491 85.834 -136.1119
46.647083 85.867 -136.2685
46.985107 85.904 -136.4431
47.325581 85.943 -136.6393
47.668521 85.983 -136.8573
48.013947 86.023 -137.0952
48.361876 86.061 -137.3512
48.712326 86.097 -137.6248
49.065315 86.130 -137.9170
49.420863 86.161 -138.2303
49.778987 86.190 -138.5667
50.139706 86.218 -138.9263
50.503039 86.244 -139.3060
50.869005 86.268 -139.6994
51.237623 86.291 -140.0977
51.608912 86.313 -140.4919
51.982891 86.334 -140.8742
52.359580 86.354 -141.2406
52.739000 86.373 -141.5908
53.121168 86.392 -141.9283
53.506106 86.410 -142.2591
53.893833 86.428 -142.5908
54.284370 86.445 -142.9310
54.677737 86.463 -143.2878
55.073955 86.480 -143.6689
55.473043 86.497 -144.0824
55.875024 86.514 -144.5362
56.279917 86.532 -145.0377
56.687745 86.550 -145.5916
57.098527 86.570 -146.1987
57.512287 86.591 -146.8530
57.929045 86.616 -147.5399
58.348822 86.644 -148.2347
58.771642 86.676 -148.9042
59.197525 86.713 -149.5110
59.626495 86.754 -150.0201
60.058573 86.800 -150.4074
60.493782 86.850 -150.6654
60.932145 86.905 -150.8051
61.373685 86.962 -150.8523
61.818424 87.022 -150.8409
62.266386 87.082 -150.8055
62.717593 87.142 -150.7753
63.172071 87.201 -150.7713
63.629842 87.260 -150.8058
64.090930 87.319 -150.8836
64.555359 87.377 -151.0040
65.023154 87.436 -151.1634
65.494339 87.493 -151.3577
65.968938 87.550 -151.5832
66.446976 87.607 -151.8375
66.928478 87.663 -152.1189
67.413469 87.718 -152.4251
67.901975 87.771 -152.7537
68.394021 87.824 -153.1011
68.889632 87.875 -153.4631
69.388835 87.925 -153.8353
69.891655 87.973 -154.2136
70.398118 88.019 -154.5951
70.908252 88.064 -154.9779
71.422083 88.106 -155.3610
71.939636 88.146 -155.7440
72.460941 88.183 -156.1266
72.986023 88.217 -156.5081
73.514909 88.248 -156.8879
74.047629 88.276 -157.2651
74.584208 88.301 -157.6391
75.124676 88.323 -158.0098
75.669061 88.343 -158.3774
76.217390 88.361 -158.7426
76.769692 88.377 -159.1062
77.325997 88.392 -159.4691
77.886333 88.404 -159.8319
78.450730 88.416 -160.1953
79.019216 88.426 -160.5595
79.591822 88.435 -160.9246
80.168577 88.443 -161.2902
80.749512 88.450 -161.6558
81.334656 88.456 -162.0205
81.924040 88.462 -162.3839
82.517696 88.467 -162.7453
83.115653 88.472 -163.1040
83.717943 88.477 -163.4599
84.324598 88.481 -163.8124
84.935649 88.485 -164.1614
85.551128 88.489 -164.5067
86.171066 88.493 -164.8486
86.795497 88.496 -165.1873
87.424453 88.498 -165.5236
88.057967 88.501 -165.8587
88.696071 88.503 -166.1938
89.338800 88.505 -166.5303
89.986185 88.507 -166.8695
90.638262 88.509 -167.2121
91.295065 88.511 -167.5584
91.956626 88.513 -167.9082
92.622982 88.515 -168.2605
93.294166 88.517 -168.6145
93.970214 88.518 -168.9691
94.651161 88.519 -169.3235
95.337042 88.520 -169.6765
96.027894 88.521 -170.0272
96.723752 88.522 -170.3745
97.424652 88.523 -170.7177
98.130631 88.524 -171.0565
98.841726 88.525 -171.3911
99.557974 88.527 -171.7223
100.279412 88.528 -172.0508
101.006078 88.530 -172.3777
101.738010 88.532 -172.7036
102.475245 88.534 -173.0292
103.217823 88.537 -173.3547
103.965782 88.539 -173.6808
104.719161 88.543 -174.0082
105.477999 88.547 -174.3385
106.242336 88.552 -174.6730
107.012212 88.558 -175.0123
107.787666 88.566 -175.3564
108.568740 88.575 -175.7044
109.355474 88.585 -176.0551
110.147909 88.597 -176.4077
110.946086 88.610 -176.7612
111.750047 88.623 -177.1150
112.559834 88.637 -177.4686
113.375489 88.651 -177.8213
114.197055 88.665 -178.1727
115.024574 88.679 -178.5225
115.858089 88.693 -178.8707
116.697645 88.705 -179.2170
117.543284 88.717 -179.5609
118.395051 88.729 -179.9014
119.252990 88.739 179.7632
120.117147 88.749 179.4341
120.987565 88.758 179.1119
121.864291 88.766 178.7964
122.747370 88.773 178.4868
123.636848 88.780 178.1819
124.532771 88.786 177.8806
125.435187 88.791 177.5817
126.344142 88.797 177.2844
127.259684 88.801 176.9882
128.181860 88.805 176.6927
129.110718 88.808 176.3975
130.046308 88.810 176.1028
130.988677 88.811 175.8084
131.937875 88.810 175.5143
132.893951 88.809 175.2204
133.856956 88.805 174.9263
134.826938 88.801 174.6317
135.803950 88.795 174.3367
136.788041 88.788 174.0413
137.779264 88.780 173.7460
138.777669 88.771 173.4510
139.783309 88.760 173.1569
140.796237 88.748 172.8641
141.816504 88.735 172.5730
142.844165 88.721 172.2839
143.879273 88.706 171.9973
144.921881 88.689 171.7131
145.972045 88.672 171.4314
147.029819 88.655 171.1519
148.095257 88.637 170.8749
149.168417 88.619 170.6002
150.249353 88.600 170.3282
151.338121 88.582 170.0589
152.434780 88.564 169.7921
153.539385 88.545 169.5276
154.651995 88.527 169.2651
155.772667 88.509 169.0040
156.901460 88.491 168.7439
158.038432 88.473 168.4845
159.183644 88.456 168.2254
160.337154 88.438 167.9664
161.499023 88.421 167.7071
162.669312 88.403 167.4475
163.848081 88.386 167.1878
165.035392 88.369 166.9287
166.231306 88.352 166.6709
167.435887 88.334 166.4152
168.649196 88.317 166.1623
169.871298 88.299 165.9127
171.102255 88.282 165.6669
172.342133 88.264 165.4249
173.590995 88.246 165.1864
174.848907 88.229 164.9506
176.115934 88.211 164.7157
177.392143 88.193 164.4798
178.677599 88.175 164.2405
179.972371 88.156 163.9960
181.276525 88.137 163.7454
182.590129 88.116 163.4894
183.913252 88.096 163.2297
185.245964 88.074 162.9685
186.588332 88.052 162.7080
187.940428 88.029 162.4497
189.302322 88.006 162.1945
190.674085 87.982 161.9429
192.055788 87.959 161.6948
193.447503 87.935 161.4497
194.849303 87.910 161.2071
196.261262 87.886 160.9662
197.683452 87.862 160.7271
199.115948 87.837 160.4899
200.558824 87.813 160.2558
202.012156 87.789 160.0259
203.476019 87.765 159.8010
204.950490 87.742 159.5815
206.435646 87.719 159.3669
207.931564 87.696 159.1564
209.438322 87.673 158.9493
210.955998 87.650 158.7448
212.484672 87.627 158.5421
214.024424 87.604 158.3406
215.575333 87.581 158.1401
217.137481 87.558 157.9403
218.710948 87.536 157.7414
220.295818 87.514 157.5435
221.892172 87.493 157.3469
223.500094 87.473 157.1515
225.119668 87.454 156.9571
226.750978 87.436 156.7635
228.394109 87.420 156.5703
230.049147 87.406 156.3774
231.716178 87.393 156.1847
233.395289 87.382 155.9923
235.086567 87.372 155.8005
236.790102 87.364 155.6094
238.505980 87.356 155.4189
240.234293 87.351 155.2288
241.975130 87.346 155.0387
243.728581 87.342 154.8486
245.494739 87.339 154.6589
247.273695 87.337 154.4701
249.065542 87.335 154.2825
250.870374 87.332 154.0969
252.688284 87.330 153.9136
254.519367 87.327 153.7329
256.363720 87.324 153.5544
258.221437 87.321 153.3772
260.092616 87.317 153.2003
261.977354 87.312 153.0223
263.875750 87.307 152.8426
265.787903 87.302 152.6608
267.713911 87.296 152.4776
269.653877 87.290 152.2941
271.607900 87.284 152.1115
273.576083 87.277 151.9308
275.558528 87.270 151.7530
277.555338 87.264 151.5787
279.566619 87.258 151.4085
281.592474 87.251 151.2425
283.633009 87.246 151.0801
285.688331 87.240 150.9207
287.758546 87.234 150.7632
289.843763 87.228 150.6068
291.944090 87.223 150.4507
294.059638 87.218 150.2948
296.190515 87.214 150.1389
298.336833 87.210 149.9831
300.498705 87.207 149.8278
302.676243 87.204 149.6732
304.869559 87.203 149.5197
307.078770 87.202 149.3676
309.303989 87.202 149.2171
311.545334 87.202 149.0685
313.802919 87.203 148.9217
316.076865 87.204 148.7769
318.367288 87.205 148.6344
320.674309 87.207 148.4944
322.998047 87.208 148.3575
325.338624 87.209 148.2237
327.696162 87.210 148.0934
330.070783 87.211 147.9665
332.462612 87.211 147.8427
334.871773 87.211 147.7216
337.298392 87.210 147.6026
339.742595 87.208 147.4852
342.204510 87.205 147.3692
344.684265 87.200 147.2543
347.181989 87.195 147.1402
349.697813 87.188 147.0264
352.231868 87.179 146.9117
354.784285 87.169 146.7953
357.355198 87.157 146.6763
