* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 12:24:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD6XX (Forward) R1
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 78.786 -96.8212
20.333664 78.827 -96.9514
20.481010 78.880 -97.1298
20.629424 78.944 -97.3559
20.778913 79.016 -97.6283
20.929486 79.094 -97.9436
21.081150 79.175 -98.2966
21.233912 79.256 -98.6798
21.387782 79.338 -99.0835
21.542767 79.418 -99.4964
21.698874 79.496 -99.9065
21.856113 79.573 -100.3017
22.014492 79.649 -100.6710
22.174018 79.725 -101.0061
22.334700 79.803 -101.3016
22.496546 79.884 -101.5561
22.659566 79.968 -101.7726
22.823766 80.056 -101.9575
22.989157 80.148 -102.1205
23.155745 80.243 -102.2728
23.323542 80.339 -102.4257
23.492554 80.433 -102.5889
23.662790 80.523 -102.7697
23.834261 80.607 -102.9714
24.006973 80.683 -103.1938
24.180938 80.748 -103.4332
24.356163 80.802 -103.6835
24.532658 80.845 -103.9371
24.710431 80.877 -104.1865
24.889493 80.900 -104.4257
25.069853 80.915 -104.6514
25.251519 80.925 -104.8637
25.434502 80.933 -105.0664
25.618811 80.941 -105.2668
25.804456 80.951 -105.4742
25.991445 80.965 -105.6995
26.179790 80.983 -105.9526
26.369500 81.006 -106.2416
26.560584 81.033 -106.5714
26.753053 81.063 -106.9431
26.946917 81.096 -107.3544
27.142185 81.130 -107.7998
27.338869 81.164 -108.2719
27.536977 81.199 -108.7625
27.736522 81.234 -109.2638
27.937512 81.268 -109.7690
28.139959 81.303 -110.2729
28.343872 81.338 -110.7719
28.549264 81.373 -111.2632
28.756143 81.408 -111.7452
28.964522 81.443 -112.2161
29.174411 81.479 -112.6736
29.385821 81.516 -113.1156
29.598763 81.554 -113.5393
29.813248 81.594 -113.9427
30.029287 81.638 -114.3245
30.246891 81.685 -114.6847
30.466073 81.737 -115.0248
30.686842 81.794 -115.3474
30.909212 81.857 -115.6562
31.133193 81.927 -115.9548
31.358797 82.001 -116.2461
31.586035 82.081 -116.5322
31.814921 82.165 -116.8142
32.045465 82.252 -117.0925
32.277680 82.343 -117.3675
32.511577 82.437 -117.6400
32.747169 82.534 -117.9120
32.984469 82.633 -118.1868
33.223488 82.734 -118.4685
33.464239 82.837 -118.7617
33.706735 82.942 -119.0704
33.950987 83.047 -119.3973
34.197010 83.153 -119.7433
34.444816 83.258 -120.1077
34.694417 83.362 -120.4878
34.945827 83.465 -120.8802
35.199059 83.567 -121.2808
35.454126 83.668 -121.6863
35.711041 83.768 -122.0934
35.969818 83.866 -122.5002
36.230470 83.963 -122.9050
36.493011 84.057 -123.3070
36.757455 84.149 -123.7054
37.023814 84.237 -124.0997
37.292104 84.322 -124.4894
37.562338 84.404 -124.8744
37.834530 84.481 -125.2548
38.108695 84.556 -125.6312
38.384846 84.627 -126.0040
38.662999 84.695 -126.3740
38.943167 84.761 -126.7411
39.225365 84.824 -127.1051
39.509608 84.885 -127.4646
39.795911 84.945 -127.8181
40.084289 85.003 -128.1634
40.374756 85.060 -128.4990
40.667328 85.116 -128.8239
40.962020 85.172 -129.1382
41.258848 85.228 -129.4430
41.557827 85.284 -129.7401
41.858972 85.339 -130.0314
42.162299 85.392 -130.3186
42.467824 85.444 -130.6027
42.775564 85.494 -130.8841
43.085533 85.540 -131.1633
43.397749 85.583 -131.4409
43.712227 85.623 -131.7181
44.028983 85.658 -131.9974
44.348036 85.690 -132.2819
44.669400 85.717 -132.5749
44.993093 85.740 -132.8798
45.319131 85.760 -133.1988
45.647532 85.777 -133.5328
45.978313 85.792 -133.8813
46.311491 85.805 -134.2420
46.647083 85.818 -134.6107
46.985107 85.832 -134.9821
47.325581 85.847 -135.3499
47.668521 85.863 -135.7077
48.013947 85.880 -136.0500
48.361876 85.899 -136.3726
48.712326 85.919 -136.6740
49.065315 85.938 -136.9545
49.420863 85.956 -137.2167
49.778987 85.973 -137.4644
50.139706 85.988 -137.7018
50.503039 86.002 -137.9332
50.869005 86.015 -138.1615
51.237623 86.027 -138.3890
51.608912 86.040 -138.6161
51.982891 86.054 -138.8424
52.359580 86.070 -139.0665
52.739000 86.088 -139.2874
53.121168 86.108 -139.5045
53.506106 86.130 -139.7184
53.893833 86.154 -139.9311
54.284370 86.179 -140.1457
54.677737 86.206 -140.3656
55.073955 86.233 -140.5942
55.473043 86.259 -140.8342
55.875024 86.284 -141.0872
56.279917 86.306 -141.3545
56.687745 86.324 -141.6376
57.098527 86.337 -141.9381
57.512287 86.348 -142.2574
57.929045 86.356 -142.5950
58.348822 86.364 -142.9469
58.771642 86.374 -143.3061
59.197525 86.392 -143.6640
59.626495 86.419 -144.0133
60.058573 86.459 -144.3507
60.493782 86.511 -144.6767
60.932145 86.575 -144.9942
61.373685 86.646 -145.3065
61.818424 86.722 -145.6155
62.266386 86.800 -145.9226
62.717593 86.878 -146.2290
63.172071 86.953 -146.5361
63.629842 87.026 -146.8456
64.090930 87.095 -147.1584
64.555359 87.162 -147.4747
65.023154 87.226 -147.7945
65.494339 87.287 -148.1178
65.968938 87.345 -148.4448
66.446976 87.401 -148.7760
66.928478 87.454 -149.1117
67.413469 87.505 -149.4525
67.901975 87.555 -149.7981
68.394021 87.604 -150.1475
68.889632 87.652 -150.4985
69.388835 87.698 -150.8484
69.891655 87.742 -151.1946
70.398118 87.784 -151.5352
70.908252 87.823 -151.8695
71.422083 87.859 -152.1977
71.939636 87.892 -152.5211
72.460941 87.922 -152.8417
72.986023 87.950 -153.1611
73.514909 87.975 -153.4807
74.047629 87.997 -153.8012
74.584208 88.017 -154.1225
75.124676 88.036 -154.4444
75.669061 88.052 -154.7666
76.217390 88.066 -155.0891
76.769692 88.078 -155.4119
77.325997 88.089 -155.7352
77.886333 88.098 -156.0589
78.450730 88.105 -156.3833
79.019216 88.111 -156.7081
79.591822 88.116 -157.0332
80.168577 88.120 -157.3580
80.749512 88.122 -157.6820
81.334656 88.124 -158.0043
81.924040 88.126 -158.3241
82.517696 88.127 -158.6411
83.115653 88.128 -158.9548
83.717943 88.130 -159.2654
84.324598 88.131 -159.5736
84.935649 88.132 -159.8799
85.551128 88.133 -160.1853
86.171066 88.134 -160.4903
86.795497 88.134 -160.7956
87.424453 88.134 -161.1017
88.057967 88.135 -161.4087
88.696071 88.134 -161.7169
89.338800 88.134 -162.0261
89.986185 88.133 -162.3360
90.638262 88.132 -162.6466
91.295065 88.131 -162.9577
91.956626 88.130 -163.2694
92.622982 88.128 -163.5816
93.294166 88.126 -163.8941
93.970214 88.124 -164.2064
94.651161 88.122 -164.5182
95.337042 88.119 -164.8293
96.027894 88.115 -165.1393
96.723752 88.112 -165.4481
97.424652 88.108 -165.7558
98.130631 88.104 -166.0622
98.841726 88.100 -166.3673
99.557974 88.096 -166.6708
100.279412 88.092 -166.9720
101.006078 88.089 -167.2707
101.738010 88.086 -167.5668
102.475245 88.084 -167.8604
103.217823 88.083 -168.1519
103.965782 88.082 -168.4413
104.719161 88.083 -168.7287
105.477999 88.084 -169.0141
106.242336 88.085 -169.2973
107.012212 88.088 -169.5778
107.787666 88.090 -169.8550
108.568740 88.093 -170.1285
109.355474 88.096 -170.3981
110.147909 88.100 -170.6641
110.946086 88.105 -170.9271
111.750047 88.110 -171.1879
112.559834 88.116 -171.4469
113.375489 88.123 -171.7044
114.197055 88.130 -171.9600
115.024574 88.138 -172.2132
115.858089 88.146 -172.4635
116.697645 88.153 -172.7111
117.543284 88.161 -172.9565
118.395051 88.169 -173.2005
119.252990 88.176 -173.4440
120.117147 88.183 -173.6872
120.987565 88.190 -173.9302
121.864291 88.197 -174.1723
122.747370 88.203 -174.4131
123.636848 88.208 -174.6522
124.532771 88.213 -174.8899
125.435187 88.216 -175.1265
126.344142 88.219 -175.3627
127.259684 88.221 -175.5990
128.181860 88.221 -175.8362
129.110718 88.221 -176.0748
130.046308 88.219 -176.3150
130.988677 88.217 -176.5569
131.937875 88.214 -176.7999
132.893951 88.210 -177.0433
133.856956 88.205 -177.2866
134.826938 88.198 -177.5292
135.803950 88.191 -177.7708
136.788041 88.183 -178.0112
137.779264 88.174 -178.2501
138.777669 88.163 -178.4873
139.783309 88.151 -178.7225
140.796237 88.139 -178.9557
141.816504 88.125 -179.1864
142.844165 88.110 -179.4147
143.879273 88.094 -179.6403
144.921881 88.077 -179.8632
145.972045 88.059 179.9166
147.029819 88.040 179.6987
148.095257 88.021 179.4830
149.168417 88.000 179.2690
150.249353 87.980 179.0564
151.338121 87.959 178.8449
152.434780 87.937 178.6342
153.539385 87.916 178.4242
154.651995 87.894 178.2150
155.772667 87.872 178.0069
156.901460 87.850 177.8002
158.038432 87.829 177.5949
159.183644 87.808 177.3911
160.337154 87.788 177.1887
161.499023 87.768 176.9873
162.669312 87.748 176.7867
163.848081 87.729 176.5863
165.035392 87.710 176.3857
166.231306 87.690 176.1845
167.435887 87.671 175.9827
168.649196 87.652 175.7800
169.871298 87.633 175.5762
171.102255 87.613 175.3709
172.342133 87.593 175.1640
173.590995 87.572 174.9553
174.848907 87.551 174.7453
176.115934 87.530 174.5350
177.392143 87.507 174.3258
178.677599 87.485 174.1198
179.972371 87.461 173.9189
181.276525 87.438 173.7241
182.590129 87.414 173.5355
183.913252 87.390 173.3522
185.245964 87.366 173.1732
186.588332 87.340 172.9976
187.940428 87.315 172.8250
189.302322 87.288 172.6548
190.674085 87.262 172.4873
192.055788 87.234 172.3226
193.447503 87.207 172.1609
194.849303 87.179 172.0028
196.261262 87.152 171.8486
197.683452 87.124 171.6989
199.115948 87.095 171.5539
200.558824 87.066 171.4139
202.012156 87.036 171.2784
203.476019 87.005 171.1466
204.950490 86.974 171.0171
206.435646 86.942 170.8884
207.931564 86.909 170.7597
209.438322 86.876 170.6309
210.955998 86.843 170.5027
212.484672 86.810 170.3763
214.024424 86.778 170.2536
215.575333 86.746 170.1361
217.137481 86.715 170.0251
218.710948 86.685 169.9215
220.295818 86.656 169.8254
221.892172 86.629 169.7367
223.500094 86.602 169.6545
225.119668 86.578 169.5778
226.750978 86.555 169.5049
228.394109 86.534 169.4340
230.049147 86.515 169.3632
231.716178 86.498 169.2906
233.395289 86.483 169.2146
235.086567 86.470 169.1339
236.790102 86.458 169.0475
238.505980 86.447 168.9550
240.234293 86.438 168.8562
241.975130 86.429 168.7514
243.728581 86.421 168.6411
245.494739 86.414 168.5258
247.273695 86.408 168.4064
249.065542 86.403 168.2834
250.870374 86.398 168.1580
252.688284 86.394 168.0315
254.519367 86.390 167.9056
256.363720 86.387 167.7822
258.221437 86.384 167.6635
260.092616 86.380 167.5518
261.977354 86.377 167.4493
263.875750 86.372 167.3575
265.787903 86.367 167.2769
267.713911 86.361 167.2064
269.653877 86.355 167.1440
271.607900 86.348 167.0871
273.576083 86.341 167.0335
275.558528 86.334 166.9813
277.555338 86.326 166.9296
279.566619 86.317 166.8780
281.592474 86.309 166.8264
283.633009 86.301 166.7746
285.688331 86.293 166.7220
287.758546 86.285 166.6675
289.843763 86.278 166.6099
291.944090 86.271 166.5484
294.059638 86.264 166.4827
296.190515 86.258 166.4133
298.336833 86.252 166.3408
300.498705 86.246 166.2662
302.676243 86.240 166.1904
304.869559 86.234 166.1147
307.078770 86.229 166.0407
309.303989 86.223 165.9697
311.545334 86.218 165.9030
313.802919 86.213 165.8416
316.076865 86.208 165.7861
318.367288 86.203 165.7368
320.674309 86.197 165.6937
322.998047 86.192 165.6566
325.338624 86.186 165.6249
327.696162 86.179 165.5978
330.070783 86.173 165.5742
332.462612 86.166 165.5529
334.871773 86.158 165.5330
337.298392 86.151 165.5134
339.742595 86.142 165.4937
342.204510 86.134 165.4737
344.684265 86.124 165.4533
347.181989 86.114 165.4329
349.697813 86.103 165.4132
352.231868 86.091 165.3950
