* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 5:27:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD 6XX (Geekeria) L5
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 76.875 -99.5034
20.333664 76.916 -99.6543
20.481010 76.972 -99.8582
20.629424 77.039 -100.1116
20.778913 77.116 -100.4096
20.929486 77.201 -100.7465
21.081150 77.292 -101.1158
21.233912 77.387 -101.5109
21.387782 77.486 -101.9254
21.542767 77.586 -102.3537
21.698874 77.687 -102.7910
21.856113 77.788 -103.2341
22.014492 77.888 -103.6807
22.174018 77.986 -104.1296
22.334700 78.082 -104.5803
22.496546 78.173 -105.0327
22.659566 78.259 -105.4863
22.823766 78.339 -105.9403
22.989157 78.412 -106.3929
23.155745 78.479 -106.8414
23.323542 78.538 -107.2820
23.492554 78.591 -107.7107
23.662790 78.638 -108.1230
23.834261 78.681 -108.5151
24.006973 78.721 -108.8842
24.180938 78.759 -109.2289
24.356163 78.799 -109.5501
24.532658 78.842 -109.8506
24.710431 78.888 -110.1353
24.889493 78.938 -110.4101
25.069853 78.993 -110.6821
25.251519 79.052 -110.9576
25.434502 79.114 -111.2420
25.618811 79.176 -111.5388
25.804456 79.238 -111.8493
25.991445 79.296 -112.1727
26.179790 79.350 -112.5063
26.369500 79.399 -112.8462
26.560584 79.440 -113.1882
26.753053 79.475 -113.5286
26.946917 79.504 -113.8651
27.142185 79.527 -114.1969
27.338869 79.545 -114.5252
27.536977 79.560 -114.8526
27.736522 79.572 -115.1825
27.937512 79.584 -115.5183
28.139959 79.594 -115.8623
28.343872 79.605 -116.2150
28.549264 79.616 -116.5745
28.756143 79.628 -116.9368
28.964522 79.642 -117.2961
29.174411 79.657 -117.6457
29.385821 79.674 -117.9796
29.598763 79.695 -118.2934
29.813248 79.719 -118.5854
30.029287 79.749 -118.8568
30.246891 79.784 -119.1117
30.466073 79.823 -119.3562
30.686842 79.868 -119.5973
30.909212 79.918 -119.8417
31.133193 79.970 -120.0950
31.358797 80.026 -120.3604
31.586035 80.084 -120.6393
31.814921 80.144 -120.9308
32.045465 80.205 -121.2331
32.277680 80.270 -121.5432
32.511577 80.336 -121.8584
32.747169 80.406 -122.1759
32.984469 80.480 -122.4936
33.223488 80.558 -122.8093
33.464239 80.639 -123.1215
33.706735 80.725 -123.4288
33.950987 80.814 -123.7301
34.197010 80.906 -124.0251
34.444816 81.001 -124.3139
34.694417 81.097 -124.5975
34.945827 81.195 -124.8773
35.199059 81.292 -125.1552
35.454126 81.388 -125.4329
35.711041 81.483 -125.7119
35.969818 81.575 -125.9933
36.230470 81.664 -126.2782
36.493011 81.751 -126.5677
36.757455 81.835 -126.8637
37.023814 81.918 -127.1688
37.292104 82.000 -127.4861
37.562338 82.081 -127.8189
37.834530 82.163 -128.1698
38.108695 82.245 -128.5405
38.384846 82.328 -128.9306
38.662999 82.412 -129.3383
38.943167 82.496 -129.7601
39.225365 82.581 -130.1914
39.509608 82.664 -130.6266
39.795911 82.746 -131.0597
40.084289 82.825 -131.4843
40.374756 82.901 -131.8941
40.667328 82.971 -132.2831
40.962020 83.037 -132.6470
41.258848 83.096 -132.9832
41.557827 83.150 -133.2920
41.858972 83.198 -133.5766
42.162299 83.241 -133.8428
42.467824 83.279 -134.0976
42.775564 83.314 -134.3484
43.085533 83.344 -134.6008
43.397749 83.372 -134.8587
43.712227 83.397 -135.1232
44.028983 83.422 -135.3937
44.348036 83.446 -135.6679
44.669400 83.471 -135.9428
44.993093 83.497 -136.2157
45.319131 83.524 -136.4835
45.647532 83.551 -136.7439
45.978313 83.578 -136.9951
46.311491 83.604 -137.2368
46.647083 83.629 -137.4704
46.985107 83.653 -137.6993
47.325581 83.677 -137.9298
47.668521 83.701 -138.1696
48.013947 83.726 -138.4271
48.361876 83.752 -138.7094
48.712326 83.779 -139.0204
49.065315 83.807 -139.3597
49.420863 83.835 -139.7227
49.778987 83.863 -140.1009
50.139706 83.890 -140.4846
50.503039 83.915 -140.8649
50.869005 83.938 -141.2349
51.237623 83.958 -141.5916
51.608912 83.977 -141.9346
51.982891 83.993 -142.2658
52.359580 84.007 -142.5878
52.739000 84.020 -142.9035
53.121168 84.031 -143.2149
53.506106 84.041 -143.5237
53.893833 84.050 -143.8309
54.284370 84.059 -144.1369
54.677737 84.067 -144.4428
55.073955 84.076 -144.7495
55.473043 84.085 -145.0592
55.875024 84.094 -145.3740
56.279917 84.103 -145.6967
56.687745 84.112 -146.0292
57.098527 84.122 -146.3723
57.512287 84.132 -146.7245
57.929045 84.143 -147.0818
58.348822 84.155 -147.4367
58.771642 84.170 -147.7790
59.197525 84.187 -148.0972
59.626495 84.208 -148.3817
60.058573 84.233 -148.6278
60.493782 84.264 -148.8376
60.932145 84.301 -149.0200
61.373685 84.342 -149.1876
61.818424 84.387 -149.3540
62.266386 84.435 -149.5305
62.717593 84.485 -149.7245
63.172071 84.535 -149.9399
63.629842 84.587 -150.1769
64.090930 84.638 -150.4333
64.555359 84.690 -150.7054
65.023154 84.741 -150.9887
65.494339 84.792 -151.2789
65.968938 84.841 -151.5726
66.446976 84.890 -151.8673
66.928478 84.937 -152.1618
67.413469 84.984 -152.4555
67.901975 85.030 -152.7485
68.394021 85.075 -153.0411
68.889632 85.120 -153.3337
69.388835 85.164 -153.6266
69.891655 85.207 -153.9204
70.398118 85.249 -154.2158
70.908252 85.290 -154.5134
71.422083 85.328 -154.8133
71.939636 85.365 -155.1153
72.460941 85.399 -155.4188
72.986023 85.430 -155.7226
73.514909 85.458 -156.0257
74.047629 85.482 -156.3272
74.584208 85.503 -156.6266
75.124676 85.522 -156.9236
75.669061 85.538 -157.2184
76.217390 85.552 -157.5114
76.769692 85.564 -157.8030
77.325997 85.574 -158.0935
77.886333 85.583 -158.3831
78.450730 85.591 -158.6718
79.019216 85.596 -158.9597
79.591822 85.601 -159.2467
80.168577 85.603 -159.5325
80.749512 85.605 -159.8165
81.334656 85.606 -160.0981
81.924040 85.606 -160.3770
82.517696 85.606 -160.6534
83.115653 85.606 -160.9278
83.717943 85.605 -161.2012
84.324598 85.605 -161.4748
84.935649 85.605 -161.7498
85.551128 85.605 -162.0273
86.171066 85.604 -162.3079
86.795497 85.604 -162.5919
87.424453 85.602 -162.8789
88.057967 85.600 -163.1682
88.696071 85.597 -163.4588
89.338800 85.593 -163.7495
89.986185 85.589 -164.0394
90.638262 85.584 -164.3277
91.295065 85.578 -164.6143
91.956626 85.573 -164.8993
92.622982 85.568 -165.1831
93.294166 85.562 -165.4663
93.970214 85.557 -165.7493
94.651161 85.552 -166.0325
95.337042 85.548 -166.3158
96.027894 85.543 -166.5991
96.723752 85.538 -166.8823
97.424652 85.534 -167.1651
98.130631 85.530 -167.4471
98.841726 85.526 -167.7280
99.557974 85.523 -168.0075
100.279412 85.521 -168.2849
101.006078 85.519 -168.5601
101.738010 85.517 -168.8327
102.475245 85.517 -169.1030
103.217823 85.517 -169.3713
103.965782 85.517 -169.6384
104.719161 85.518 -169.9053
105.477999 85.519 -170.1732
106.242336 85.520 -170.4434
107.012212 85.523 -170.7168
107.787666 85.526 -170.9940
108.568740 85.530 -171.2749
109.355474 85.535 -171.5585
110.147909 85.541 -171.8433
110.946086 85.549 -172.1274
111.750047 85.557 -172.4091
112.559834 85.566 -172.6871
113.375489 85.576 -172.9607
114.197055 85.587 -173.2296
115.024574 85.598 -173.4938
115.858089 85.608 -173.7536
116.697645 85.619 -174.0094
117.543284 85.630 -174.2612
118.395051 85.640 -174.5089
119.252990 85.649 -174.7522
120.117147 85.658 -174.9909
120.987565 85.666 -175.2252
121.864291 85.674 -175.4559
122.747370 85.680 -175.6841
123.636848 85.686 -175.9110
124.532771 85.690 -176.1372
125.435187 85.694 -176.3632
126.344142 85.697 -176.5890
127.259684 85.699 -176.8145
128.181860 85.700 -177.0397
129.110718 85.700 -177.2650
130.046308 85.698 -177.4908
130.988677 85.696 -177.7177
131.937875 85.692 -177.9460
132.893951 85.687 -178.1761
133.856956 85.680 -178.4079
134.826938 85.672 -178.6412
135.803950 85.662 -178.8754
136.788041 85.652 -179.1103
137.779264 85.640 -179.3456
138.777669 85.627 -179.5809
139.783309 85.613 -179.8157
140.796237 85.598 179.9507
141.816504 85.582 179.7194
142.844165 85.565 179.4911
143.879273 85.547 179.2665
144.921881 85.529 179.0461
145.972045 85.509 178.8300
147.029819 85.489 178.6177
148.095257 85.468 178.4091
149.168417 85.447 178.2040
150.249353 85.425 178.0023
151.338121 85.403 177.8036
152.434780 85.380 177.6079
153.539385 85.358 177.4149
154.651995 85.335 177.2238
155.772667 85.312 177.0341
156.901460 85.289 176.8450
158.038432 85.266 176.6554
159.183644 85.243 176.4647
160.337154 85.220 176.2725
161.499023 85.198 176.0788
162.669312 85.176 175.8838
163.848081 85.154 175.6884
165.035392 85.133 175.4932
166.231306 85.112 175.2990
167.435887 85.091 175.1061
168.649196 85.071 174.9141
169.871298 85.051 174.7227
171.102255 85.032 174.5317
172.342133 85.012 174.3412
173.590995 84.993 174.1520
174.848907 84.973 173.9652
176.115934 84.954 173.7819
177.392143 84.935 173.6029
178.677599 84.915 173.4285
179.972371 84.894 173.2585
181.276525 84.873 173.0923
182.590129 84.851 172.9289
183.913252 84.828 172.7675
185.245964 84.804 172.6073
186.588332 84.780 172.4480
187.940428 84.755 172.2890
189.302322 84.729 172.1300
190.674085 84.702 171.9706
192.055788 84.675 171.8105
193.447503 84.647 171.6494
194.849303 84.618 171.4874
196.261262 84.589 171.3251
197.683452 84.559 171.1631
199.115948 84.528 171.0027
200.558824 84.497 170.8454
202.012156 84.466 170.6929
203.476019 84.436 170.5466
204.950490 84.405 170.4073
206.435646 84.376 170.2748
207.931564 84.346 170.1484
209.438322 84.318 170.0266
210.955998 84.289 169.9081
212.484672 84.262 169.7919
214.024424 84.234 169.6774
215.575333 84.207 169.5642
217.137481 84.181 169.4524
218.710948 84.155 169.3420
220.295818 84.130 169.2331
221.892172 84.106 169.1257
223.500094 84.084 169.0197
225.119668 84.062 168.9149
226.750978 84.042 168.8107
228.394109 84.024 168.7067
230.049147 84.007 168.6027
231.716178 83.991 168.4982
233.395289 83.976 168.3932
235.086567 83.963 168.2877
236.790102 83.951 168.1819
238.505980 83.939 168.0760
240.234293 83.929 167.9708
241.975130 83.919 167.8668
243.728581 83.909 167.7644
245.494739 83.901 167.6640
247.273695 83.892 167.5654
249.065542 83.884 167.4683
250.870374 83.876 167.3717
252.688284 83.869 167.2753
254.519367 83.861 167.1784
256.363720 83.853 167.0811
258.221437 83.844 166.9839
260.092616 83.835 166.8870
261.977354 83.826 166.7910
263.875750 83.816 166.6962
265.787903 83.806 166.6025
267.713911 83.796 166.5098
269.653877 83.786 166.4184
271.607900 83.776 166.3286
273.576083 83.765 166.2412
275.558528 83.754 166.1572
277.555338 83.742 166.0775
279.566619 83.730 166.0025
281.592474 83.718 165.9320
283.633009 83.707 165.8654
285.688331 83.695 165.8021
287.758546 83.685 165.7415
289.843763 83.675 165.6836
291.944090 83.667 165.6287
294.059638 83.659 165.5771
296.190515 83.654 165.5292
298.336833 83.649 165.4848
300.498705 83.645 165.4433
302.676243 83.641 165.4038
304.869559 83.639 165.3652
307.078770 83.636 165.3266
309.303989 83.634 165.2873
311.545334 83.632 165.2470
313.802919 83.630 165.2057
316.076865 83.628 165.1639
318.367288 83.626 165.1220
320.674309 83.624 165.0808
322.998047 83.621 165.0413
325.338624 83.618 165.0042
327.696162 83.614 164.9704
330.070783 83.610 164.9404
332.462612 83.605 164.9142
334.871773 83.600 164.8916
337.298392 83.594 164.8718
339.742595 83.587 164.8536
342.204510 83.580 164.8361
344.684265 83.572 164.8185
347.181989 83.562 164.8007
349.697813 83.552 164.7826
352.231868 83.541 164.7642
