* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 5:22:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD 6XX (Geekeria) R6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 79.255 -98.0338
20.333664 79.285 -98.1135
20.481010 79.324 -98.2225
20.629424 79.372 -98.3604
20.778913 79.427 -98.5268
20.929486 79.487 -98.7209
21.081150 79.551 -98.9417
21.233912 79.618 -99.1879
21.387782 79.687 -99.4576
21.542767 79.758 -99.7486
21.698874 79.831 -100.0583
21.856113 79.906 -100.3836
22.014492 79.983 -100.7218
22.174018 80.063 -101.0700
22.334700 80.146 -101.4259
22.496546 80.232 -101.7878
22.659566 80.321 -102.1545
22.823766 80.412 -102.5253
22.989157 80.505 -102.8999
23.155745 80.599 -103.2781
23.323542 80.691 -103.6592
23.492554 80.782 -104.0420
23.662790 80.869 -104.4242
23.834261 80.950 -104.8026
24.006973 81.025 -105.1731
24.180938 81.092 -105.5310
24.356163 81.151 -105.8719
24.532658 81.203 -106.1920
24.710431 81.247 -106.4890
24.889493 81.285 -106.7624
25.069853 81.318 -107.0143
25.251519 81.347 -107.2494
25.434502 81.373 -107.4741
25.618811 81.398 -107.6968
25.804456 81.422 -107.9258
25.991445 81.446 -108.1694
26.179790 81.469 -108.4335
26.369500 81.491 -108.7221
26.560584 81.512 -109.0356
26.753053 81.530 -109.3720
26.946917 81.546 -109.7263
27.142185 81.559 -110.0923
27.338869 81.570 -110.4628
27.536977 81.578 -110.8311
27.736522 81.584 -111.1917
27.937512 81.589 -111.5412
28.139959 81.595 -111.8783
28.343872 81.602 -112.2036
28.549264 81.611 -112.5200
28.756143 81.623 -112.8311
28.964522 81.639 -113.1413
29.174411 81.659 -113.4549
29.385821 81.684 -113.7758
29.598763 81.713 -114.1070
29.813248 81.748 -114.4506
30.029287 81.788 -114.8078
30.246891 81.833 -115.1788
30.466073 81.883 -115.5625
30.686842 81.938 -115.9570
30.909212 81.997 -116.3594
31.133193 82.061 -116.7657
31.358797 82.127 -117.1715
31.586035 82.197 -117.5718
31.814921 82.270 -117.9620
32.045465 82.345 -118.3380
32.277680 82.422 -118.6967
32.511577 82.502 -119.0363
32.747169 82.585 -119.3568
32.984469 82.670 -119.6596
33.223488 82.758 -119.9475
33.464239 82.849 -120.2242
33.706735 82.942 -120.4943
33.950987 83.038 -120.7621
34.197010 83.136 -121.0317
34.444816 83.236 -121.3063
34.694417 83.336 -121.5877
34.945827 83.437 -121.8766
35.199059 83.538 -122.1722
35.454126 83.637 -122.4730
35.711041 83.736 -122.7768
35.969818 83.832 -123.0817
36.230470 83.927 -123.3868
36.493011 84.020 -123.6919
36.757455 84.110 -123.9982
37.023814 84.197 -124.3075
37.292104 84.281 -124.6220
37.562338 84.362 -124.9434
37.834530 84.440 -125.2727
38.108695 84.513 -125.6092
38.384846 84.584 -125.9514
38.662999 84.651 -126.2966
38.943167 84.716 -126.6419
39.225365 84.779 -126.9847
39.509608 84.842 -127.3232
39.795911 84.904 -127.6570
40.084289 84.967 -127.9869
40.374756 85.030 -128.3152
40.667328 85.093 -128.6449
40.962020 85.156 -128.9791
41.258848 85.217 -129.3210
41.557827 85.277 -129.6725
41.858972 85.334 -130.0349
42.162299 85.388 -130.4076
42.467824 85.440 -130.7894
42.775564 85.488 -131.1776
43.085533 85.534 -131.5694
43.397749 85.578 -131.9611
43.712227 85.621 -132.3492
44.028983 85.662 -132.7305
44.348036 85.702 -133.1022
44.669400 85.742 -133.4621
44.993093 85.781 -133.8091
45.319131 85.818 -134.1430
45.647532 85.854 -134.4646
45.978313 85.889 -134.7755
46.311491 85.923 -135.0778
46.647083 85.955 -135.3739
46.985107 85.987 -135.6666
47.325581 86.018 -135.9586
47.668521 86.049 -136.2524
48.013947 86.079 -136.5501
48.361876 86.110 -136.8529
48.712326 86.140 -137.1612
49.065315 86.169 -137.4744
49.420863 86.197 -137.7908
49.778987 86.221 -138.1083
50.139706 86.243 -138.4245
50.503039 86.262 -138.7369
50.869005 86.277 -139.0437
51.237623 86.289 -139.3436
51.608912 86.300 -139.6357
51.982891 86.308 -139.9199
52.359580 86.316 -140.1967
52.739000 86.323 -140.4666
53.121168 86.329 -140.7306
53.506106 86.336 -140.9894
53.893833 86.343 -141.2440
54.284370 86.350 -141.4948
54.677737 86.356 -141.7420
55.073955 86.363 -141.9850
55.473043 86.369 -142.2227
55.875024 86.375 -142.4536
56.279917 86.380 -142.6765
56.687745 86.385 -142.8910
57.098527 86.390 -143.0982
57.512287 86.394 -143.3006
57.929045 86.398 -143.5017
58.348822 86.403 -143.7055
58.771642 86.410 -143.9162
59.197525 86.422 -144.1378
59.626495 86.439 -144.3737
60.058573 86.463 -144.6264
60.493782 86.495 -144.8967
60.932145 86.534 -145.1828
61.373685 86.579 -145.4808
61.818424 86.630 -145.7856
62.266386 86.683 -146.0920
62.717593 86.739 -146.3963
63.172071 86.795 -146.6963
63.629842 86.852 -146.9914
64.090930 86.908 -147.2821
64.555359 86.964 -147.5693
65.023154 87.020 -147.8539
65.494339 87.076 -148.1371
65.968938 87.130 -148.4201
66.446976 87.184 -148.7042
66.928478 87.237 -148.9910
67.413469 87.288 -149.2815
67.901975 87.339 -149.5765
68.394021 87.388 -149.8760
68.889632 87.436 -150.1792
69.388835 87.483 -150.4850
69.891655 87.529 -150.7923
70.398118 87.573 -151.1002
70.908252 87.616 -151.4082
71.422083 87.658 -151.7160
71.939636 87.697 -152.0231
72.460941 87.734 -152.3293
72.986023 87.769 -152.6345
73.514909 87.801 -152.9390
74.047629 87.831 -153.2433
74.584208 87.858 -153.5479
75.124676 87.882 -153.8530
75.669061 87.904 -154.1588
76.217390 87.923 -154.4651
76.769692 87.939 -154.7720
77.325997 87.953 -155.0795
77.886333 87.965 -155.3876
78.450730 87.975 -155.6961
79.019216 87.984 -156.0048
79.591822 87.991 -156.3134
80.168577 87.996 -156.6214
80.749512 88.001 -156.9286
81.334656 88.004 -157.2349
81.924040 88.007 -157.5405
82.517696 88.010 -157.8457
83.115653 88.012 -158.1504
83.717943 88.013 -158.4549
84.324598 88.014 -158.7589
84.935649 88.014 -159.0626
85.551128 88.014 -159.3657
86.171066 88.013 -159.6683
86.795497 88.011 -159.9704
87.424453 88.009 -160.2722
88.057967 88.007 -160.5733
88.696071 88.004 -160.8737
89.338800 88.000 -161.1731
89.986185 87.997 -161.4714
90.638262 87.993 -161.7683
91.295065 87.989 -162.0638
91.956626 87.985 -162.3576
92.622982 87.981 -162.6500
93.294166 87.976 -162.9410
93.970214 87.971 -163.2310
94.651161 87.965 -163.5201
95.337042 87.959 -163.8086
96.027894 87.952 -164.0967
96.723752 87.946 -164.3847
97.424652 87.939 -164.6726
98.130631 87.932 -164.9606
98.841726 87.925 -165.2485
99.557974 87.919 -165.5362
100.279412 87.912 -165.8235
101.006078 87.906 -166.1099
101.738010 87.900 -166.3951
102.475245 87.895 -166.6785
103.217823 87.891 -166.9596
103.965782 87.887 -167.2379
104.719161 87.885 -167.5128
105.477999 87.884 -167.7832
106.242336 87.885 -168.0484
107.012212 87.887 -168.3074
107.787666 87.890 -168.5597
108.568740 87.894 -168.8055
109.355474 87.899 -169.0457
110.147909 87.905 -169.2816
110.946086 87.911 -169.5148
111.750047 87.918 -169.7468
112.559834 87.925 -169.9789
113.375489 87.933 -170.2120
114.197055 87.940 -170.4466
115.024574 87.948 -170.6826
115.858089 87.956 -170.9200
116.697645 87.964 -171.1581
117.543284 87.971 -171.3969
118.395051 87.979 -171.6360
119.252990 87.987 -171.8755
120.117147 87.995 -172.1152
120.987565 88.003 -172.3547
121.864291 88.011 -172.5935
122.747370 88.018 -172.8311
123.636848 88.025 -173.0669
124.532771 88.032 -173.3011
125.435187 88.038 -173.5334
126.344142 88.044 -173.7642
127.259684 88.048 -173.9936
128.181860 88.051 -174.2218
129.110718 88.053 -174.4491
130.046308 88.054 -174.6759
130.988677 88.053 -174.9025
131.937875 88.051 -175.1293
132.893951 88.047 -175.3565
133.856956 88.043 -175.5839
134.826938 88.037 -175.8111
135.803950 88.030 -176.0376
136.788041 88.022 -176.2631
137.779264 88.013 -176.4874
138.777669 88.002 -176.7104
139.783309 87.990 -176.9322
140.796237 87.977 -177.1527
141.816504 87.963 -177.3719
142.844165 87.948 -177.5899
143.879273 87.932 -177.8069
144.921881 87.914 -178.0233
145.972045 87.896 -178.2391
147.029819 87.877 -178.4545
148.095257 87.857 -178.6693
149.168417 87.837 -178.8833
150.249353 87.816 -179.0966
151.338121 87.794 -179.3090
152.434780 87.771 -179.5202
153.539385 87.749 -179.7302
154.651995 87.725 -179.9388
155.772667 87.702 179.8544
156.901460 87.679 179.6494
158.038432 87.655 179.4462
159.183644 87.632 179.2448
160.337154 87.608 179.0449
161.499023 87.585 178.8463
162.669312 87.562 178.6490
163.848081 87.540 178.4534
165.035392 87.518 178.2598
166.231306 87.496 178.0687
167.435887 87.474 177.8805
168.649196 87.453 177.6956
169.871298 87.431 177.5140
171.102255 87.410 177.3356
172.342133 87.388 177.1600
173.590995 87.367 176.9868
174.848907 87.345 176.8150
176.115934 87.323 176.6438
177.392143 87.301 176.4724
178.677599 87.278 176.3004
179.972371 87.255 176.1277
181.276525 87.231 175.9545
182.590129 87.207 175.7815
183.913252 87.182 175.6094
185.245964 87.156 175.4388
186.588332 87.129 175.2707
187.940428 87.102 175.1056
189.302322 87.074 174.9440
190.674085 87.045 174.7863
192.055788 87.015 174.6323
193.447503 86.985 174.4817
194.849303 86.954 174.3336
196.261262 86.922 174.1868
197.683452 86.889 174.0401
199.115948 86.856 173.8927
200.558824 86.824 173.7444
202.012156 86.791 173.5956
203.476019 86.758 173.4476
204.950490 86.726 173.3018
206.435646 86.694 173.1594
207.931564 86.662 173.0216
209.438322 86.631 172.8895
210.955998 86.600 172.7635
212.484672 86.569 172.6439
214.024424 86.539 172.5306
215.575333 86.509 172.4235
217.137481 86.480 172.3219
218.710948 86.452 172.2257
220.295818 86.425 172.1345
221.892172 86.400 172.0484
223.500094 86.376 171.9673
225.119668 86.353 171.8910
226.750978 86.332 171.8188
228.394109 86.313 171.7499
230.049147 86.296 171.6832
231.716178 86.280 171.6176
233.395289 86.266 171.5518
235.086567 86.253 171.4849
236.790102 86.241 171.4163
238.505980 86.231 171.3450
240.234293 86.221 171.2709
241.975130 86.213 171.1937
243.728581 86.205 171.1134
245.494739 86.198 171.0301
247.273695 86.191 170.9438
249.065542 86.185 170.8547
250.870374 86.178 170.7630
252.688284 86.172 170.6694
254.519367 86.165 170.5746
256.363720 86.157 170.4793
258.221437 86.150 170.3844
260.092616 86.141 170.2904
261.977354 86.132 170.1976
263.875750 86.122 170.1061
265.787903 86.111 170.0161
267.713911 86.101 169.9277
269.653877 86.090 169.8413
271.607900 86.079 169.7572
273.576083 86.068 169.6755
275.558528 86.057 169.5963
277.555338 86.046 169.5193
279.566619 86.036 169.4446
281.592474 86.026 169.3721
283.633009 86.016 169.3019
285.688331 86.007 169.2344
287.758546 85.998 169.1696
289.843763 85.989 169.1076
291.944090 85.980 169.0481
294.059638 85.972 168.9904
296.190515 85.964 168.9341
298.336833 85.956 168.8786
300.498705 85.948 168.8238
302.676243 85.940 168.7697
304.869559 85.933 168.7167
307.078770 85.926 168.6653
309.303989 85.918 168.6162
311.545334 85.912 168.5697
313.802919 85.905 168.5262
316.076865 85.898 168.4854
318.367288 85.892 168.4471
320.674309 85.886 168.4108
322.998047 85.880 168.3757
325.338624 85.873 168.3413
327.696162 85.867 168.3076
330.070783 85.860 168.2743
332.462612 85.852 168.2419
334.871773 85.844 168.2111
337.298392 85.836 168.1823
339.742595 85.826 168.1562
342.204510 85.816 168.1337
344.684265 85.804 168.1150
347.181989 85.792 168.1003
349.697813 85.778 168.0894
