* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 10:26:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD6XX (Soulwit) L6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.033247 82.797 -93.4935
20.178416 82.871 -94.0322
20.324637 82.943 -94.5510
20.471918 83.013 -95.0427
20.620266 83.084 -95.5027
20.769689 83.157 -95.9287
20.920195 83.232 -96.3210
21.071791 83.312 -96.6817
21.224486 83.397 -97.0147
21.378287 83.487 -97.3247
21.533203 83.582 -97.6172
21.689242 83.681 -97.8975
21.846411 83.784 -98.1706
22.004719 83.890 -98.4410
22.164174 83.997 -98.7128
22.324785 84.105 -98.9893
22.486559 84.212 -99.2737
22.649506 84.317 -99.5687
22.813634 84.418 -99.8767
22.978951 84.515 -100.1995
23.145466 84.605 -100.5382
23.313188 84.689 -100.8926
23.482124 84.764 -101.2612
23.652286 84.829 -101.6404
23.823680 84.885 -102.0251
23.996316 84.930 -102.4084
24.170203 84.965 -102.7822
24.345351 84.991 -103.1381
24.521767 85.009 -103.4681
24.699462 85.020 -103.7660
24.878444 85.027 -104.0284
25.058724 85.033 -104.2554
25.240310 85.040 -104.4513
25.423211 85.049 -104.6242
25.607438 85.064 -104.7856
25.793000 85.085 -104.9487
25.979907 85.112 -105.1273
26.168168 85.144 -105.3333
26.357794 85.181 -105.5761
26.548793 85.220 -105.8609
26.741176 85.261 -106.1886
26.934954 85.301 -106.5564
27.130136 85.339 -106.9584
27.326732 85.375 -107.3866
27.524753 85.408 -107.8327
27.724208 85.438 -108.2888
27.925110 85.465 -108.7479
28.127466 85.490 -109.2049
28.331290 85.514 -109.6558
28.536590 85.536 -110.0977
28.743378 85.557 -110.5280
28.951664 85.578 -110.9440
29.161460 85.598 -111.3429
29.372776 85.619 -111.7214
29.585623 85.640 -112.0768
29.800013 85.663 -112.4068
30.015956 85.689 -112.7112
30.233464 85.719 -112.9914
30.452548 85.754 -113.2508
30.673220 85.795 -113.4945
30.895490 85.842 -113.7282
31.119372 85.896 -113.9571
31.344876 85.955 -114.1855
31.572014 86.020 -114.4158
31.800797 86.090 -114.6485
32.031239 86.165 -114.8830
32.263351 86.244 -115.1181
32.497144 86.329 -115.3531
32.732632 86.419 -115.5887
32.969826 86.513 -115.8270
33.208739 86.613 -116.0718
33.449383 86.716 -116.3275
33.691771 86.824 -116.5987
33.935916 86.934 -116.8896
34.181829 87.045 -117.2027
34.429525 87.156 -117.5394
34.679015 87.267 -117.8997
34.930314 87.375 -118.2826
35.183433 87.481 -118.6862
35.438387 87.583 -119.1077
35.695188 87.681 -119.5434
35.953850 87.773 -119.9888
36.214387 87.860 -120.4380
36.476811 87.942 -120.8842
36.741137 88.019 -121.3203
37.007378 88.091 -121.7400
37.275549 88.159 -122.1386
37.545663 88.225 -122.5136
37.817734 88.290 -122.8652
38.091777 88.355 -123.1960
38.367806 88.419 -123.5099
38.645835 88.484 -123.8109
38.925879 88.548 -124.1023
39.207952 88.613 -124.3861
39.492069 88.678 -124.6631
39.778244 88.742 -124.9336
40.066494 88.807 -125.1983
40.356832 88.871 -125.4586
40.649275 88.936 -125.7168
40.943836 89.001 -125.9755
41.240532 89.065 -126.2373
41.539378 89.129 -126.5033
41.840389 89.191 -126.7737
42.143582 89.251 -127.0471
42.448972 89.309 -127.3214
42.756574 89.364 -127.5942
43.066406 89.417 -127.8632
43.378483 89.468 -128.1269
43.692822 89.518 -128.3840
44.009438 89.565 -128.6341
44.328348 89.611 -128.8772
44.649570 89.656 -129.1142
44.973119 89.700 -129.3469
45.299013 89.744 -129.5773
45.627268 89.788 -129.8078
45.957902 89.831 -130.0405
46.290932 89.874 -130.2771
46.626375 89.917 -130.5192
46.964249 89.960 -130.7687
47.304571 90.003 -131.0282
47.647360 90.047 -131.3009
47.992632 90.091 -131.5898
48.340407 90.134 -131.8974
48.690701 90.177 -132.2243
49.043534 90.217 -132.5691
49.398924 90.256 -132.9287
49.756889 90.292 -133.2988
50.117447 90.325 -133.6749
50.480619 90.356 -134.0524
50.846423 90.384 -134.4274
51.214877 90.410 -134.7963
51.586001 90.434 -135.1559
51.959814 90.456 -135.5038
52.336336 90.476 -135.8384
52.715587 90.495 -136.1596
53.097586 90.514 -136.4680
53.482353 90.532 -136.7653
53.869908 90.549 -137.0530
54.260272 90.565 -137.3325
54.653464 90.581 -137.6051
55.049506 90.596 -137.8718
55.448417 90.611 -138.1337
55.850219 90.626 -138.3922
56.254933 90.641 -138.6484
56.662579 90.656 -138.9034
57.073180 90.672 -139.1579
57.486755 90.688 -139.4121
57.903328 90.707 -139.6663
58.322919 90.727 -139.9212
58.745551 90.751 -140.1784
59.171246 90.779 -140.4405
59.600025 90.811 -140.7114
60.031911 90.847 -140.9951
60.466927 90.887 -141.2948
60.905096 90.930 -141.6115
61.346439 90.976 -141.9438
61.790981 91.024 -142.2887
62.238744 91.074 -142.6417
62.689751 91.124 -142.9987
63.144027 91.176 -143.3562
63.601595 91.229 -143.7115
64.062478 91.283 -144.0628
64.526701 91.338 -144.4090
64.994288 91.393 -144.7496
65.465264 91.448 -145.0847
65.939652 91.504 -145.4149
66.417478 91.559 -145.7414
66.898766 91.614 -146.0656
67.383542 91.668 -146.3890
67.871831 91.722 -146.7131
68.363659 91.774 -147.0389
68.859050 91.824 -147.3668
69.358031 91.873 -147.6966
69.860628 91.919 -148.0277
70.366867 91.963 -148.3591
70.876774 92.005 -148.6899
71.390376 92.044 -149.0193
71.907700 92.080 -149.3466
72.428773 92.114 -149.6712
72.953622 92.145 -149.9928
73.482274 92.174 -150.3112
74.014757 92.200 -150.6268
74.551098 92.224 -150.9400
75.091326 92.245 -151.2518
75.635469 92.264 -151.5627
76.183555 92.280 -151.8736
76.735612 92.294 -152.1847
77.291670 92.307 -152.4965
77.851757 92.317 -152.8090
78.415903 92.326 -153.1220
78.984137 92.333 -153.4353
79.556489 92.339 -153.7487
80.132988 92.344 -154.0620
80.713665 92.348 -154.3748
81.298549 92.351 -154.6868
81.887672 92.354 -154.9973
82.481064 92.356 -155.3059
83.078756 92.358 -155.6121
83.680778 92.359 -155.9155
84.287164 92.359 -156.2160
84.897943 92.359 -156.5136
85.513149 92.358 -156.8089
86.132812 92.356 -157.1022
86.756966 92.354 -157.3944
87.385643 92.352 -157.6859
88.018875 92.349 -157.9774
88.656696 92.346 -158.2689
89.299139 92.343 -158.5604
89.946238 92.339 -158.8517
90.598025 92.336 -159.1419
91.254536 92.332 -159.4301
91.915804 92.329 -159.7152
92.581864 92.325 -159.9964
93.252750 92.321 -160.2732
93.928498 92.318 -160.5453
94.609143 92.314 -160.8129
95.294719 92.311 -161.0764
95.985264 92.307 -161.3364
96.680813 92.304 -161.5935
97.381402 92.301 -161.8485
98.087068 92.297 -162.1022
98.797847 92.294 -162.3552
99.513777 92.291 -162.6083
100.234895 92.289 -162.8626
100.961238 92.287 -163.1187
101.692845 92.285 -163.3773
102.429753 92.284 -163.6382
103.172002 92.283 -163.9010
103.919628 92.283 -164.1649
104.672673 92.284 -164.4290
105.431174 92.285 -164.6924
106.195172 92.288 -164.9545
106.964706 92.291 -165.2151
107.739816 92.297 -165.4743
108.520543 92.303 -165.7323
109.306928 92.311 -165.9892
110.099011 92.321 -166.2446
110.896834 92.331 -166.4980
111.700438 92.342 -166.7486
112.509866 92.355 -166.9960
113.325158 92.367 -167.2397
114.146359 92.380 -167.4801
114.973511 92.394 -167.7174
115.806656 92.407 -167.9525
116.645839 92.420 -168.1862
117.491103 92.433 -168.4191
118.342492 92.446 -168.6519
119.200050 92.458 -168.8846
120.063823 92.470 -169.1172
120.933855 92.481 -169.3492
121.810191 92.492 -169.5801
122.692878 92.502 -169.8092
123.581962 92.511 -170.0360
124.477487 92.519 -170.2602
125.379503 92.527 -170.4816
126.288054 92.533 -170.7003
127.203189 92.539 -170.9165
128.124956 92.544 -171.1308
129.053402 92.548 -171.3436
129.988577 92.551 -171.5556
130.930527 92.553 -171.7674
131.879304 92.554 -171.9796
132.834956 92.554 -172.1926
133.797533 92.553 -172.4068
134.767085 92.550 -172.6221
135.743663 92.545 -172.8385
136.727317 92.539 -173.0559
137.718100 92.532 -173.2742
138.716062 92.522 -173.4933
139.721255 92.512 -173.7131
140.733733 92.500 -173.9337
141.753548 92.487 -174.1549
142.780753 92.472 -174.3765
143.815401 92.457 -174.5981
144.857546 92.440 -174.8194
145.907244 92.423 -175.0396
146.964548 92.405 -175.2584
148.029514 92.387 -175.4750
149.102197 92.368 -175.6890
150.182652 92.349 -175.8995
151.270938 92.330 -176.1060
152.367109 92.311 -176.3079
153.471224 92.292 -176.5049
154.583340 92.273 -176.6971
155.703515 92.255 -176.8848
156.831807 92.236 -177.0690
157.968274 92.217 -177.2506
159.112978 92.199 -177.4306
160.265976 92.180 -177.6099
161.427329 92.162 -177.7891
162.597098 92.144 -177.9683
163.775344 92.126 -178.1473
164.962128 92.108 -178.3257
166.157511 92.091 -178.5031
167.361557 92.074 -178.6788
168.574328 92.057 -178.8527
169.795887 92.041 -179.0246
171.026298 92.024 -179.1945
172.265625 92.008 -179.3622
173.513933 91.992 -179.5277
174.771286 91.975 -179.6910
176.037751 91.958 -179.8522
177.313393 91.940 179.9885
178.598279 91.922 179.8306
179.892476 91.904 179.6738
181.196051 91.885 179.5179
182.509072 91.865 179.3631
183.831608 91.844 179.2095
185.163728 91.824 179.0576
186.505500 91.802 178.9080
187.856996 91.780 178.7610
189.218285 91.758 178.6172
190.589439 91.735 178.4767
191.970529 91.713 178.3398
193.361626 91.689 178.2064
194.762804 91.666 178.0767
196.174136 91.642 177.9505
197.595694 91.618 177.8275
199.027554 91.594 177.7072
200.469790 91.569 177.5889
201.922477 91.544 177.4716
203.385690 91.519 177.3545
204.859507 91.493 177.2369
206.344003 91.467 177.1185
207.839257 91.441 176.9991
209.345346 91.415 176.8788
210.862348 91.390 176.7581
212.390344 91.365 176.6375
213.929412 91.340 176.5177
215.479633 91.316 176.3993
217.041087 91.294 176.2832
218.613856 91.272 176.1700
220.198022 91.251 176.0605
221.793668 91.232 175.9548
223.400876 91.214 175.8530
225.019731 91.196 175.7550
226.650317 91.180 175.6604
228.292718 91.166 175.5687
229.947022 91.153 175.4791
231.613312 91.141 175.3911
233.291678 91.131 175.3040
234.982206 91.122 175.2175
236.684984 91.114 175.1313
238.400101 91.108 175.0454
240.127646 91.103 174.9598
241.867710 91.099 174.8748
243.620383 91.095 174.7904
245.385757 91.092 174.7072
247.163923 91.090 174.6252
248.954975 91.088 174.5451
250.759005 91.085 174.4670
252.576108 91.083 174.3911
254.406379 91.080 174.3173
256.249912 91.077 174.2450
258.106805 91.074 174.1738
259.977153 91.070 174.1029
261.861055 91.065 174.0319
263.758608 91.060 173.9603
265.669911 91.054 173.8882
267.595065 91.048 173.8156
269.534169 91.041 173.7425
271.487325 91.034 173.6693
273.454634 91.027 173.5962
275.436199 91.019 173.5237
277.432123 91.012 173.4525
279.442511 91.005 173.3835
281.467467 90.999 173.3174
283.507096 90.992 173.2549
285.561505 90.987 173.1963
287.630801 90.982 173.1418
289.715093 90.977 173.0914
291.814488 90.973 173.0447
293.929096 90.970 173.0012
296.059027 90.967 172.9604
298.204393 90.965 172.9221
300.365305 90.963 172.8861
302.541876 90.962 172.8527
304.734219 90.962 172.8221
306.942449 90.962 172.7945
309.166680 90.962 172.7699
311.407029 90.963 172.7484
313.663613 90.964 172.7300
315.936549 90.965 172.7144
318.225955 90.966 172.7016
320.531952 90.967 172.6911
322.854659 90.969 172.6825
325.194197 90.970 172.6753
327.550688 90.971 172.6688
329.924255 90.971 172.6624
332.315022 90.971 172.6555
334.723114 90.971 172.6481
337.148655 90.969 172.6398
339.591774 90.967 172.6310
342.052596 90.965 172.6220
344.531250 90.961 172.6132
