* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 10:20:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD6XX (Soulwit) R7
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.033247 85.251 -95.9705
20.178416 85.334 -96.2694
20.324637 85.418 -96.5844
20.471918 85.503 -96.9126
20.620266 85.588 -97.2502
20.769689 85.673 -97.5922
20.920195 85.757 -97.9329
21.071791 85.843 -98.2664
21.224486 85.929 -98.5873
21.378287 86.015 -98.8911
21.533203 86.104 -99.1749
21.689242 86.195 -99.4375
21.846411 86.289 -99.6803
22.004719 86.386 -99.9066
22.164174 86.486 -100.1218
22.324785 86.589 -100.3328
22.486559 86.694 -100.5475
22.649506 86.799 -100.7736
22.813634 86.904 -101.0180
22.978951 87.007 -101.2861
23.145466 87.105 -101.5812
23.313188 87.198 -101.9044
23.482124 87.284 -102.2545
23.652286 87.363 -102.6284
23.823680 87.432 -103.0219
23.996316 87.494 -103.4297
24.170203 87.547 -103.8469
24.345351 87.591 -104.2686
24.521767 87.629 -104.6909
24.699462 87.660 -105.1110
24.878444 87.686 -105.5265
25.058724 87.707 -105.9362
25.240310 87.724 -106.3389
25.423211 87.738 -106.7336
25.607438 87.750 -107.1188
25.793000 87.760 -107.4929
25.979907 87.768 -107.8540
26.168168 87.776 -108.2003
26.357794 87.784 -108.5304
26.548793 87.793 -108.8440
26.741176 87.804 -109.1419
26.934954 87.818 -109.4265
27.130136 87.835 -109.7010
27.326732 87.855 -109.9701
27.524753 87.879 -110.2380
27.724208 87.906 -110.5092
27.925110 87.936 -110.7866
28.127466 87.968 -111.0721
28.331290 88.001 -111.3658
28.536590 88.035 -111.6664
28.743378 88.069 -111.9714
28.951664 88.104 -112.2781
29.161460 88.139 -112.5836
29.372776 88.174 -112.8860
29.585623 88.211 -113.1845
29.800013 88.250 -113.4795
30.015956 88.292 -113.7729
30.233464 88.336 -114.0676
30.452548 88.384 -114.3672
30.673220 88.435 -114.6757
30.895490 88.490 -114.9963
31.119372 88.548 -115.3319
31.344876 88.610 -115.6840
31.572014 88.674 -116.0522
31.800797 88.740 -116.4350
32.031239 88.808 -116.8290
32.263351 88.877 -117.2297
32.497144 88.949 -117.6320
32.732632 89.022 -118.0304
32.969826 89.098 -118.4206
33.208739 89.177 -118.7995
33.449383 89.260 -119.1661
33.691771 89.348 -119.5216
33.935916 89.440 -119.8691
34.181829 89.537 -120.2133
34.429525 89.639 -120.5592
34.679015 89.743 -120.9119
34.930314 89.850 -121.2750
35.183433 89.958 -121.6499
35.438387 90.064 -122.0361
35.695188 90.169 -122.4305
35.953850 90.272 -122.8282
36.214387 90.370 -123.2234
36.476811 90.465 -123.6097
36.741137 90.557 -123.9811
37.007378 90.644 -124.3332
37.275549 90.729 -124.6632
37.545663 90.812 -124.9705
37.817734 90.893 -125.2564
38.091777 90.972 -125.5242
38.367806 91.049 -125.7780
38.645835 91.125 -126.0227
38.925879 91.199 -126.2628
39.207952 91.271 -126.5026
39.492069 91.341 -126.7452
39.778244 91.408 -126.9930
40.066494 91.472 -127.2476
40.356832 91.532 -127.5099
40.649275 91.590 -127.7806
40.943836 91.645 -128.0601
41.240532 91.698 -128.3488
41.539378 91.749 -128.6470
41.840389 91.798 -128.9551
42.143582 91.846 -129.2735
42.448972 91.893 -129.6024
42.756574 91.939 -129.9414
43.066406 91.986 -130.2899
43.378483 92.032 -130.6465
43.692822 92.079 -131.0095
44.009438 92.127 -131.3768
44.328348 92.175 -131.7461
44.649570 92.224 -132.1152
44.973119 92.275 -132.4819
45.299013 92.325 -132.8439
45.627268 92.377 -133.1984
45.957902 92.428 -133.5426
46.290932 92.479 -133.8738
46.626375 92.530 -134.1896
46.964249 92.579 -134.4885
47.304571 92.628 -134.7698
47.647360 92.674 -135.0340
47.992632 92.718 -135.2820
48.340407 92.759 -135.5152
48.690701 92.797 -135.7346
49.043534 92.830 -135.9412
49.398924 92.860 -136.1365
49.756889 92.886 -136.3231
50.117447 92.908 -136.5048
50.480619 92.927 -136.6868
50.846423 92.943 -136.8755
51.214877 92.956 -137.0771
51.586001 92.966 -137.2969
51.959814 92.973 -137.5386
52.336336 92.977 -137.8036
52.715587 92.979 -138.0914
53.097586 92.979 -138.4000
53.482353 92.978 -138.7266
53.869908 92.976 -139.0681
54.260272 92.975 -139.4214
54.653464 92.976 -139.7838
55.049506 92.980 -140.1525
55.448417 92.987 -140.5250
55.850219 92.998 -140.8989
56.254933 93.013 -141.2719
56.662579 93.033 -141.6414
57.073180 93.057 -142.0056
57.486755 93.084 -142.3631
57.903328 93.116 -142.7134
58.322919 93.151 -143.0566
58.745551 93.188 -143.3939
59.171246 93.227 -143.7263
59.600025 93.268 -144.0550
60.031911 93.310 -144.3802
60.466927 93.351 -144.7018
60.905096 93.392 -145.0191
61.346439 93.434 -145.3317
61.790981 93.476 -145.6398
62.238744 93.518 -145.9447
62.689751 93.562 -146.2485
63.144027 93.607 -146.5534
63.601595 93.653 -146.8618
64.062478 93.702 -147.1752
64.526701 93.752 -147.4946
64.994288 93.803 -147.8202
65.465264 93.855 -148.1513
65.939652 93.908 -148.4865
66.417478 93.961 -148.8239
66.898766 94.014 -149.1614
67.383542 94.066 -149.4971
67.871831 94.116 -149.8292
68.363659 94.165 -150.1569
68.859050 94.212 -150.4796
69.358031 94.257 -150.7976
69.860628 94.300 -151.1120
70.366867 94.340 -151.4241
70.876774 94.377 -151.7355
71.390376 94.412 -152.0477
71.907700 94.444 -152.3623
72.428773 94.474 -152.6804
72.953622 94.501 -153.0027
73.482274 94.525 -153.3296
74.014757 94.547 -153.6606
74.551098 94.567 -153.9949
75.091326 94.585 -154.3314
75.635469 94.600 -154.6687
76.183555 94.614 -155.0060
76.735612 94.626 -155.3421
77.291670 94.636 -155.6767
77.851757 94.645 -156.0094
78.415903 94.652 -156.3402
78.984137 94.658 -156.6692
79.556489 94.662 -156.9965
80.132988 94.666 -157.3221
80.713665 94.668 -157.6461
81.298549 94.670 -157.9683
81.887672 94.671 -158.2886
82.481064 94.671 -158.6066
83.078756 94.670 -158.9219
83.680778 94.669 -159.2343
84.287164 94.668 -159.5434
84.897943 94.667 -159.8495
85.513149 94.666 -160.1528
86.132812 94.664 -160.4537
86.756966 94.663 -160.7528
87.385643 94.661 -161.0503
88.018875 94.658 -161.3464
88.656696 94.656 -161.6414
89.299139 94.653 -161.9351
89.946238 94.649 -162.2275
90.598025 94.645 -162.5186
91.254536 94.641 -162.8081
91.915804 94.637 -163.0961
92.581864 94.633 -163.3826
93.252750 94.629 -163.6675
93.928498 94.624 -163.9512
94.609143 94.620 -164.2336
95.294719 94.615 -164.5154
95.985264 94.611 -164.7969
96.680813 94.606 -165.0785
97.381402 94.602 -165.3607
98.087068 94.597 -165.6437
98.797847 94.593 -165.9276
99.513777 94.589 -166.2125
100.234895 94.585 -166.4980
100.961238 94.582 -166.7838
101.692845 94.579 -167.0693
102.429753 94.577 -167.3541
103.172002 94.577 -167.6377
103.919628 94.577 -167.9198
104.672673 94.578 -168.2005
105.431174 94.580 -168.4800
106.195172 94.584 -168.7587
106.964706 94.588 -169.0369
107.739816 94.593 -169.3149
108.520543 94.599 -169.5930
109.306928 94.606 -169.8713
110.099011 94.614 -170.1495
110.896834 94.622 -170.4275
111.700438 94.630 -170.7047
112.509866 94.639 -170.9805
113.325158 94.648 -171.2544
114.146359 94.657 -171.5261
114.973511 94.666 -171.7952
115.806656 94.676 -172.0618
116.645839 94.685 -172.3262
117.491103 94.694 -172.5885
118.342492 94.702 -172.8495
119.200050 94.710 -173.1097
120.063823 94.718 -173.3694
120.933855 94.725 -173.6289
121.810191 94.731 -173.8882
122.692878 94.736 -174.1470
123.581962 94.740 -174.4047
124.477487 94.743 -174.6605
125.379503 94.746 -174.9139
126.288054 94.748 -175.1641
127.203189 94.748 -175.4108
128.124956 94.748 -175.6541
129.053402 94.747 -175.8942
129.988577 94.745 -176.1317
130.930527 94.743 -176.3675
131.879304 94.739 -176.6021
132.834956 94.733 -176.8360
133.797533 94.727 -177.0696
134.767085 94.719 -177.3032
135.743663 94.711 -177.5369
136.727317 94.700 -177.7706
137.718100 94.689 -178.0042
138.716062 94.676 -178.2372
139.721255 94.662 -178.4694
140.733733 94.647 -178.7004
141.753548 94.632 -178.9297
142.780753 94.615 -179.1570
143.815401 94.597 -179.3821
144.857546 94.578 -179.6048
145.907244 94.559 -179.8251
146.964548 94.538 179.9571
148.029514 94.517 179.7416
149.102197 94.495 179.5283
150.182652 94.473 179.3173
151.270938 94.449 179.1082
152.367109 94.425 178.9013
153.471224 94.401 178.6965
154.583340 94.377 178.4941
155.703515 94.352 178.2939
156.831807 94.328 178.0962
157.968274 94.304 177.9008
159.112978 94.280 177.7078
160.265976 94.256 177.5170
161.427329 94.233 177.3286
162.597098 94.210 177.1426
163.775344 94.188 176.9594
164.962128 94.166 176.7787
166.157511 94.145 176.6006
167.361557 94.124 176.4247
168.574328 94.104 176.2508
169.795887 94.083 176.0786
171.026298 94.063 175.9077
172.265625 94.043 175.7377
173.513933 94.022 175.5679
174.771286 94.002 175.3979
176.037751 93.981 175.2271
177.313393 93.960 175.0551
178.598279 93.939 174.8818
179.892476 93.918 174.7075
181.196051 93.895 174.5326
182.509072 93.873 174.3580
183.831608 93.849 174.1846
185.163728 93.825 174.0131
186.505500 93.801 173.8442
187.856996 93.776 173.6784
189.218285 93.750 173.5155
190.589439 93.723 173.3553
191.970529 93.696 173.1971
193.361626 93.668 173.0406
194.762804 93.640 172.8850
196.174136 93.612 172.7299
197.595694 93.583 172.5746
199.027554 93.554 172.4191
200.469790 93.525 172.2633
201.922477 93.495 172.1081
203.385690 93.466 171.9544
204.859507 93.437 171.8037
206.344003 93.409 171.6571
207.839257 93.380 171.5153
209.345346 93.352 171.3785
210.862348 93.325 171.2465
212.390344 93.297 171.1189
213.929412 93.271 170.9957
215.479633 93.244 170.8767
217.041087 93.218 170.7620
218.613856 93.192 170.6518
220.198022 93.167 170.5460
221.793668 93.143 170.4446
223.400876 93.119 170.3472
225.019731 93.097 170.2534
226.650317 93.076 170.1631
228.292718 93.056 170.0756
229.947022 93.038 169.9905
231.613312 93.022 169.9073
233.291678 93.007 169.8255
234.982206 92.994 169.7444
236.684984 92.983 169.6635
238.400101 92.972 169.5826
240.127646 92.964 169.5017
241.867710 92.956 169.4208
243.620383 92.950 169.3401
245.385757 92.944 169.2593
247.163923 92.939 169.1782
248.954975 92.934 169.0963
250.759005 92.929 169.0129
252.576108 92.923 168.9276
254.406379 92.917 168.8400
256.249912 92.911 168.7500
258.106805 92.904 168.6578
259.977153 92.897 168.5638
261.861055 92.890 168.4687
263.758608 92.883 168.3731
265.669911 92.876 168.2777
267.595065 92.869 168.1831
269.534169 92.862 168.0897
271.487325 92.854 167.9979
273.454634 92.847 167.9078
275.436199 92.839 167.8199
277.432123 92.831 167.7345
279.442511 92.822 167.6518
281.467467 92.814 167.5722
283.507096 92.805 167.4960
285.561505 92.797 167.4234
287.630801 92.789 167.3546
289.715093 92.781 167.2896
291.814488 92.773 167.2283
293.929096 92.767 167.1705
296.059027 92.760 167.1158
298.204393 92.755 167.0637
300.365305 92.750 167.0139
302.541876 92.745 166.9658
304.734219 92.742 166.9189
306.942449 92.738 166.8733
309.166680 92.735 166.8287
311.407029 92.733 166.7854
313.663613 92.730 166.7436
315.936549 92.727 166.7036
318.225955 92.725 166.6658
320.531952 92.722 166.6302
322.854659 92.719 166.5972
325.194197 92.715 166.5665
327.550688 92.711 166.5381
329.924255 92.706 166.5119
332.315022 92.701 166.4875
334.723114 92.696 166.4648
337.148655 92.689 166.4437
339.591774 92.682 166.4243
342.052596 92.673 166.4062
344.531250 92.664 166.3896
347.027865 92.654 166.3741
349.542572 92.643 166.3592
