* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 12:05:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD6XX L5
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 79.033 -100.6467
20.333664 79.057 -100.7543
20.481010 79.090 -100.8950
20.629424 79.132 -101.0600
20.778913 79.183 -101.2403
20.929486 79.243 -101.4270
21.081150 79.312 -101.6123
21.233912 79.390 -101.7902
21.387782 79.477 -101.9565
21.542767 79.572 -102.1090
21.698874 79.676 -102.2476
21.856113 79.787 -102.3740
22.014492 79.904 -102.4914
22.174018 80.027 -102.6047
22.334700 80.153 -102.7193
22.496546 80.281 -102.8415
22.659566 80.409 -102.9777
22.823766 80.535 -103.1342
22.989157 80.658 -103.3167
23.155745 80.777 -103.5301
23.323542 80.889 -103.7783
23.492554 80.995 -104.0636
23.662790 81.092 -104.3871
23.834261 81.181 -104.7479
24.006973 81.261 -105.1438
24.180938 81.333 -105.5708
24.356163 81.397 -106.0235
24.532658 81.453 -106.4952
24.710431 81.502 -106.9787
24.889493 81.544 -107.4659
25.069853 81.582 -107.9490
25.251519 81.614 -108.4208
25.434502 81.643 -108.8750
25.618811 81.669 -109.3068
25.804456 81.692 -109.7131
25.991445 81.713 -110.0927
26.179790 81.732 -110.4465
26.369500 81.750 -110.7769
26.560584 81.766 -111.0881
26.753053 81.782 -111.3851
26.946917 81.796 -111.6737
27.142185 81.810 -111.9600
27.338869 81.824 -112.2497
27.536977 81.840 -112.5481
27.736522 81.857 -112.8595
27.937512 81.876 -113.1872
28.139959 81.899 -113.5331
28.343872 81.926 -113.8979
28.549264 81.958 -114.2806
28.756143 81.995 -114.6789
28.964522 82.036 -115.0891
29.174411 82.082 -115.5066
29.385821 82.131 -115.9259
29.598763 82.182 -116.3413
29.813248 82.236 -116.7473
30.029287 82.289 -117.1394
30.246891 82.343 -117.5145
30.466073 82.397 -117.8710
30.686842 82.450 -118.2091
30.909212 82.503 -118.5306
31.133193 82.556 -118.8385
31.358797 82.609 -119.1363
31.586035 82.664 -119.4275
31.814921 82.720 -119.7152
32.045465 82.780 -120.0017
32.277680 82.842 -120.2884
32.511577 82.909 -120.5762
32.747169 82.981 -120.8657
32.984469 83.057 -121.1579
33.223488 83.137 -121.4538
33.464239 83.222 -121.7550
33.706735 83.309 -122.0632
33.950987 83.399 -122.3802
34.197010 83.489 -122.7070
34.444816 83.581 -123.0445
34.694417 83.672 -123.3926
34.945827 83.763 -123.7512
35.199059 83.853 -124.1199
35.454126 83.945 -124.4984
35.711041 84.037 -124.8863
35.969818 84.130 -125.2828
36.230470 84.225 -125.6862
36.493011 84.320 -126.0939
36.757455 84.416 -126.5016
37.023814 84.511 -126.9044
37.292104 84.605 -127.2971
37.562338 84.698 -127.6757
37.834530 84.788 -128.0382
38.108695 84.875 -128.3853
38.384846 84.959 -128.7207
38.662999 85.040 -129.0499
38.943167 85.117 -129.3796
39.225365 85.190 -129.7161
39.509608 85.259 -130.0636
39.795911 85.325 -130.4238
40.084289 85.387 -130.7952
40.374756 85.446 -131.1744
40.667328 85.504 -131.5561
40.962020 85.560 -131.9347
41.258848 85.616 -132.3055
41.557827 85.672 -132.6652
41.858972 85.728 -133.0122
42.162299 85.783 -133.3473
42.467824 85.837 -133.6726
42.775564 85.889 -133.9921
43.085533 85.939 -134.3104
43.397749 85.986 -134.6326
43.712227 86.030 -134.9633
44.028983 86.071 -135.3056
44.348036 86.110 -135.6606
44.669400 86.147 -136.0263
44.993093 86.183 -136.3982
45.319131 86.218 -136.7697
45.647532 86.253 -137.1336
45.978313 86.288 -137.4836
46.311491 86.324 -137.8155
46.647083 86.361 -138.1283
46.985107 86.399 -138.4242
47.325581 86.437 -138.7073
47.668521 86.474 -138.9829
48.013947 86.510 -139.2561
48.361876 86.545 -139.5309
48.712326 86.577 -139.8096
49.065315 86.607 -140.0930
49.420863 86.636 -140.3800
49.778987 86.662 -140.6683
50.139706 86.686 -140.9548
50.503039 86.709 -141.2363
50.869005 86.730 -141.5104
51.237623 86.749 -141.7763
51.608912 86.766 -142.0355
51.982891 86.783 -142.2917
52.359580 86.798 -142.5503
52.739000 86.813 -142.8176
53.121168 86.828 -143.0991
53.506106 86.843 -143.3987
53.893833 86.858 -143.7174
54.284370 86.873 -144.0534
54.677737 86.888 -144.4032
55.073955 86.903 -144.7620
55.473043 86.919 -145.1260
55.875024 86.935 -145.4926
56.279917 86.951 -145.8617
56.687745 86.968 -146.2351
57.098527 86.986 -146.6155
57.512287 87.005 -147.0057
57.929045 87.026 -147.4063
58.348822 87.050 -147.8146
58.771642 87.077 -148.2237
59.197525 87.107 -148.6238
59.626495 87.141 -149.0040
60.058573 87.179 -149.3553
60.493782 87.220 -149.6733
60.932145 87.264 -149.9589
61.373685 87.311 -150.2177
61.818424 87.359 -150.4584
62.266386 87.409 -150.6900
62.717593 87.460 -150.9206
63.172071 87.512 -151.1561
63.629842 87.565 -151.4001
64.090930 87.618 -151.6543
64.555359 87.673 -151.9192
65.023154 87.728 -152.1949
65.494339 87.783 -152.4814
65.968938 87.838 -152.7786
66.446976 87.893 -153.0859
66.928478 87.947 -153.4022
67.413469 88.001 -153.7257
67.901975 88.053 -154.0545
68.394021 88.105 -154.3871
68.889632 88.155 -154.7225
69.388835 88.204 -155.0606
69.891655 88.251 -155.4016
70.398118 88.296 -155.7459
70.908252 88.339 -156.0936
71.422083 88.380 -156.4446
71.939636 88.418 -156.7983
72.460941 88.453 -157.1542
72.986023 88.485 -157.5121
73.514909 88.515 -157.8720
74.047629 88.542 -158.2341
74.584208 88.565 -158.5986
75.124676 88.587 -158.9655
75.669061 88.606 -159.3344
76.217390 88.622 -159.7048
76.769692 88.637 -160.0757
77.325997 88.650 -160.4460
77.886333 88.661 -160.8146
78.450730 88.670 -161.1805
79.019216 88.679 -161.5431
79.591822 88.686 -161.9022
80.168577 88.693 -162.2579
80.749512 88.699 -162.6106
81.334656 88.704 -162.9610
81.924040 88.710 -163.3099
82.517696 88.714 -163.6580
83.115653 88.719 -164.0058
83.717943 88.724 -164.3536
84.324598 88.728 -164.7013
84.935649 88.733 -165.0486
85.551128 88.737 -165.3951
86.171066 88.741 -165.7405
86.795497 88.744 -166.0849
87.424453 88.748 -166.4284
88.057967 88.751 -166.7712
88.696071 88.753 -167.1136
89.338800 88.755 -167.4556
89.986185 88.756 -167.7972
90.638262 88.757 -168.1384
91.295065 88.758 -168.4793
91.956626 88.758 -168.8200
92.622982 88.757 -169.1609
93.294166 88.756 -169.5018
93.970214 88.755 -169.8425
94.651161 88.754 -170.1828
95.337042 88.752 -170.5222
96.027894 88.750 -170.8606
96.723752 88.749 -171.1980
97.424652 88.748 -171.5344
98.130631 88.746 -171.8704
98.841726 88.745 -172.2066
99.557974 88.743 -172.5436
100.279412 88.741 -172.8822
101.006078 88.740 -173.2227
101.738010 88.738 -173.5653
102.475245 88.737 -173.9094
103.217823 88.737 -174.2539
103.965782 88.737 -174.5976
104.719161 88.739 -174.9385
105.477999 88.742 -175.2748
106.242336 88.747 -175.6051
107.012212 88.753 -175.9283
107.787666 88.761 -176.2445
108.568740 88.770 -176.5544
109.355474 88.778 -176.8598
110.147909 88.788 -177.1629
110.946086 88.797 -177.4659
111.750047 88.806 -177.7707
112.559834 88.815 -178.0785
113.375489 88.824 -178.3896
114.197055 88.833 -178.7038
115.024574 88.842 -179.0201
115.858089 88.852 -179.3374
116.697645 88.862 -179.6542
117.543284 88.872 -179.9690
118.395051 88.883 179.7192
119.252990 88.894 179.4111
120.117147 88.904 179.1066
120.987565 88.915 178.8050
121.864291 88.925 178.5055
122.747370 88.934 178.2074
123.636848 88.943 177.9103
124.532771 88.950 177.6140
125.435187 88.957 177.3185
126.344142 88.962 177.0240
127.259684 88.967 176.7306
128.181860 88.970 176.4384
129.110718 88.972 176.1476
130.046308 88.973 175.8585
130.988677 88.973 175.5709
131.937875 88.971 175.2850
132.893951 88.967 175.0006
133.856956 88.963 174.7175
134.826938 88.957 174.4354
135.803950 88.949 174.1543
136.788041 88.941 173.8741
137.779264 88.932 173.5949
138.777669 88.922 173.3166
139.783309 88.911 173.0392
140.796237 88.899 172.7625
141.816504 88.886 172.4866
142.844165 88.873 172.2117
143.879273 88.859 171.9377
144.921881 88.844 171.6648
145.972045 88.828 171.3932
147.029819 88.812 171.1230
148.095257 88.796 170.8542
149.168417 88.778 170.5871
150.249353 88.761 170.3216
151.338121 88.743 170.0576
152.434780 88.724 169.7951
153.539385 88.705 169.5337
154.651995 88.687 169.2731
155.772667 88.668 169.0130
156.901460 88.649 168.7534
158.038432 88.629 168.4943
159.183644 88.610 168.2359
160.337154 88.591 167.9785
161.499023 88.571 167.7225
162.669312 88.552 167.4680
163.848081 88.533 167.2152
165.035392 88.514 166.9639
166.231306 88.496 166.7139
167.435887 88.478 166.4650
168.649196 88.461 166.2170
169.871298 88.444 165.9697
171.102255 88.427 165.7229
172.342133 88.409 165.4767
173.590995 88.392 165.2312
174.848907 88.374 164.9865
176.115934 88.355 164.7427
177.392143 88.336 164.5001
178.677599 88.315 164.2593
179.972371 88.294 164.0207
181.276525 88.272 163.7846
182.590129 88.249 163.5510
183.913252 88.226 163.3194
185.245964 88.202 163.0894
186.588332 88.178 162.8603
187.940428 88.153 162.6318
189.302322 88.129 162.4037
190.674085 88.104 162.1760
192.055788 88.079 161.9489
193.447503 88.054 161.7227
194.849303 88.029 161.4978
196.261262 88.004 161.2748
197.683452 87.978 161.0540
199.115948 87.953 160.8362
200.558824 87.927 160.6224
202.012156 87.902 160.4138
203.476019 87.875 160.2110
204.950490 87.849 160.0141
206.435646 87.823 159.8221
207.931564 87.797 159.6338
209.438322 87.771 159.4478
210.955998 87.746 159.2632
212.484672 87.721 159.0793
214.024424 87.696 158.8957
215.575333 87.672 158.7122
217.137481 87.649 158.5289
218.710948 87.626 158.3463
220.295818 87.604 158.1652
221.892172 87.583 157.9866
223.500094 87.563 157.8120
225.119668 87.543 157.6425
226.750978 87.525 157.4788
228.394109 87.508 157.3208
230.049147 87.492 157.1670
231.716178 87.477 157.0154
233.395289 87.463 156.8639
235.086567 87.450 156.7106
236.790102 87.438 156.5547
238.505980 87.428 156.3961
240.234293 87.419 156.2349
241.975130 87.411 156.0716
243.728581 87.405 155.9062
245.494739 87.399 155.7388
247.273695 87.394 155.5695
249.065542 87.390 155.3987
250.870374 87.385 155.2267
252.688284 87.381 155.0543
254.519367 87.375 154.8821
256.363720 87.369 154.7105
258.221437 87.362 154.5398
260.092616 87.355 154.3702
261.977354 87.347 154.2025
263.875750 87.339 154.0374
265.787903 87.331 153.8760
267.713911 87.323 153.7195
269.653877 87.316 153.5681
271.607900 87.310 153.4216
273.576083 87.305 153.2792
275.558528 87.300 153.1402
277.555338 87.297 153.0039
279.566619 87.293 152.8700
281.592474 87.290 152.7386
283.633009 87.288 152.6097
285.688331 87.286 152.4836
287.758546 87.285 152.3607
289.843763 87.284 152.2410
291.944090 87.285 152.1243
294.059638 87.286 152.0099
296.190515 87.287 151.8969
298.336833 87.289 151.7841
300.498705 87.291 151.6708
302.676243 87.293 151.5564
304.869559 87.295 151.4410
307.078770 87.296 151.3250
309.303989 87.298 151.2090
311.545334 87.299 151.0934
313.802919 87.301 150.9786
316.076865 87.303 150.8644
318.367288 87.305 150.7511
320.674309 87.307 150.6386
322.998047 87.309 150.5271
325.338624 87.311 150.4167
327.696162 87.313 150.3075
330.070783 87.315 150.1994
332.462612 87.316 150.0925
334.871773 87.316 149.9863
337.298392 87.316 149.8807
339.742595 87.315 149.7749
342.204510 87.314 149.6685
344.684265 87.311 149.5612
347.181989 87.308 149.4531
349.697813 87.304 149.3443
352.231868 87.298 149.2349
354.784285 87.291 149.1250
357.355198 87.283 149.0148
359.944741 87.273 148.9047
