* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 10:14:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD6XX R1
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.033247 84.282 -93.6907
20.178416 84.363 -93.9602
20.324637 84.446 -94.2378
20.471918 84.530 -94.5216
20.620266 84.617 -94.8092
20.769689 84.707 -95.0979
20.920195 84.798 -95.3852
21.071791 84.892 -95.6690
21.224486 84.989 -95.9481
21.378287 85.089 -96.2221
21.533203 85.192 -96.4917
21.689242 85.297 -96.7585
21.846411 85.405 -97.0250
22.004719 85.515 -97.2940
22.164174 85.625 -97.5682
22.324785 85.735 -97.8502
22.486559 85.843 -98.1416
22.649506 85.949 -98.4431
22.813634 86.050 -98.7541
22.978951 86.146 -99.0732
23.145466 86.237 -99.3981
23.313188 86.322 -99.7262
23.482124 86.400 -100.0547
23.652286 86.472 -100.3817
23.823680 86.538 -100.7062
23.996316 86.599 -101.0284
24.170203 86.656 -101.3497
24.345351 86.709 -101.6728
24.521767 86.759 -102.0010
24.699462 86.806 -102.3380
24.878444 86.850 -102.6868
25.058724 86.891 -103.0493
25.240310 86.929 -103.4261
25.423211 86.963 -103.8158
25.607438 86.994 -104.2150
25.793000 87.022 -104.6192
25.979907 87.045 -105.0225
26.168168 87.066 -105.4188
26.357794 87.084 -105.8025
26.548793 87.101 -106.1691
26.741176 87.118 -106.5156
26.934954 87.135 -106.8413
27.130136 87.155 -107.1476
27.326732 87.177 -107.4375
27.524753 87.202 -107.7157
27.724208 87.231 -107.9872
27.925110 87.264 -108.2572
28.127466 87.300 -108.5300
28.331290 87.338 -108.8089
28.536590 87.379 -109.0953
28.743378 87.421 -109.3896
28.951664 87.464 -109.6906
29.161460 87.507 -109.9964
29.372776 87.552 -110.3049
29.585623 87.597 -110.6138
29.800013 87.643 -110.9215
30.015956 87.691 -111.2271
30.233464 87.741 -111.5304
30.452548 87.793 -111.8318
30.673220 87.848 -112.1323
30.895490 87.907 -112.4329
31.119372 87.969 -112.7347
31.344876 88.035 -113.0387
31.572014 88.105 -113.3456
31.800797 88.179 -113.6558
32.031239 88.257 -113.9697
32.263351 88.340 -114.2878
32.497144 88.426 -114.6103
32.732632 88.515 -114.9377
32.969826 88.608 -115.2702
33.208739 88.704 -115.6079
33.449383 88.802 -115.9505
33.691771 88.902 -116.2972
33.935916 89.004 -116.6467
34.181829 89.106 -116.9978
34.429525 89.209 -117.3490
34.679015 89.312 -117.6991
34.930314 89.415 -118.0476
35.183433 89.519 -118.3944
35.438387 89.622 -118.7403
35.695188 89.725 -119.0862
35.953850 89.828 -119.4334
36.214387 89.929 -119.7830
36.476811 90.029 -120.1358
36.741137 90.127 -120.4922
37.007378 90.224 -120.8522
37.275549 90.318 -121.2159
37.545663 90.409 -121.5828
37.817734 90.498 -121.9531
38.091777 90.584 -122.3264
38.367806 90.668 -122.7025
38.645835 90.748 -123.0807
38.925879 90.826 -123.4603
39.207952 90.900 -123.8397
39.492069 90.972 -124.2174
39.778244 91.040 -124.5922
40.066494 91.107 -124.9629
40.356832 91.172 -125.3292
40.649275 91.235 -125.6919
40.943836 91.298 -126.0523
41.240532 91.359 -126.4122
41.539378 91.420 -126.7737
41.840389 91.479 -127.1387
42.143582 91.537 -127.5085
42.448972 91.594 -127.8838
42.756574 91.650 -128.2643
43.066406 91.703 -128.6491
43.378483 91.754 -129.0367
43.692822 91.802 -129.4253
44.009438 91.848 -129.8128
44.328348 91.892 -130.1973
44.649570 91.933 -130.5772
44.973119 91.972 -130.9513
45.299013 92.009 -131.3190
45.627268 92.045 -131.6803
45.957902 92.078 -132.0354
46.290932 92.110 -132.3848
46.626375 92.141 -132.7291
46.964249 92.170 -133.0692
47.304571 92.198 -133.4060
47.647360 92.224 -133.7407
47.992632 92.250 -134.0746
48.340407 92.274 -134.4087
48.690701 92.296 -134.7437
49.043534 92.317 -135.0797
49.398924 92.336 -135.4162
49.756889 92.354 -135.7524
50.117447 92.370 -136.0874
50.480619 92.384 -136.4204
50.846423 92.397 -136.7510
51.214877 92.409 -137.0786
51.586001 92.419 -137.4031
51.959814 92.429 -137.7238
52.336336 92.438 -138.0399
52.715587 92.446 -138.3503
53.097586 92.453 -138.6538
53.482353 92.461 -138.9496
53.869908 92.469 -139.2370
54.260272 92.478 -139.5163
54.653464 92.488 -139.7881
55.049506 92.499 -140.0540
55.448417 92.513 -140.3158
55.850219 92.528 -140.5757
56.254933 92.546 -140.8354
56.662579 92.566 -141.0961
57.073180 92.587 -141.3582
57.486755 92.611 -141.6216
57.903328 92.636 -141.8856
58.322919 92.662 -142.1495
58.745551 92.690 -142.4121
59.171246 92.720 -142.6721
59.600025 92.751 -142.9277
60.031911 92.783 -143.1770
60.466927 92.816 -143.4184
60.905096 92.851 -143.6511
61.346439 92.889 -143.8754
61.790981 92.928 -144.0928
62.238744 92.970 -144.3055
62.689751 93.015 -144.5162
63.144027 93.061 -144.7277
63.601595 93.110 -144.9425
64.062478 93.160 -145.1629
64.526701 93.212 -145.3907
64.994288 93.265 -145.6272
65.465264 93.319 -145.8736
65.939652 93.374 -146.1304
66.417478 93.429 -146.3980
66.898766 93.485 -146.6762
67.383542 93.539 -146.9642
67.871831 93.594 -147.2606
68.363659 93.647 -147.5642
68.859050 93.699 -147.8737
69.358031 93.751 -148.1882
69.860628 93.800 -148.5069
70.366867 93.848 -148.8293
70.876774 93.895 -149.1549
71.390376 93.939 -149.4833
71.907700 93.981 -149.8142
72.428773 94.020 -150.1472
72.953622 94.057 -150.4825
73.482274 94.091 -150.8199
74.014757 94.123 -151.1593
74.551098 94.151 -151.5008
75.091326 94.177 -151.8441
75.635469 94.201 -152.1889
76.183555 94.221 -152.5348
76.735612 94.239 -152.8809
77.291670 94.255 -153.2262
77.851757 94.268 -153.5696
78.415903 94.279 -153.9101
78.984137 94.289 -154.2471
79.556489 94.297 -154.5803
80.132988 94.303 -154.9096
80.713665 94.309 -155.2354
81.298549 94.313 -155.5579
81.887672 94.318 -155.8775
82.481064 94.321 -156.1947
83.078756 94.325 -156.5096
83.680778 94.328 -156.8225
84.287164 94.331 -157.1336
84.897943 94.334 -157.4432
85.513149 94.336 -157.7516
86.132812 94.339 -158.0591
86.756966 94.342 -158.3660
87.385643 94.344 -158.6727
88.018875 94.346 -158.9796
88.656696 94.348 -159.2869
89.299139 94.349 -159.5946
89.946238 94.349 -159.9028
90.598025 94.348 -160.2111
91.254536 94.347 -160.5195
91.915804 94.345 -160.8276
92.581864 94.343 -161.1356
93.252750 94.340 -161.4433
93.928498 94.338 -161.7506
94.609143 94.335 -162.0574
95.294719 94.332 -162.3636
95.985264 94.329 -162.6692
96.680813 94.327 -162.9742
97.381402 94.324 -163.2786
98.087068 94.322 -163.5824
98.797847 94.320 -163.8857
99.513777 94.318 -164.1883
100.234895 94.316 -164.4901
100.961238 94.314 -164.7911
101.692845 94.313 -165.0914
102.429753 94.312 -165.3910
103.172002 94.312 -165.6901
103.919628 94.313 -165.9884
104.672673 94.314 -166.2859
105.431174 94.317 -166.5822
106.195172 94.320 -166.8769
106.964706 94.324 -167.1696
107.739816 94.330 -167.4601
108.520543 94.336 -167.7486
109.306928 94.343 -168.0352
110.099011 94.350 -168.3206
110.896834 94.359 -168.6056
111.700438 94.368 -168.8907
112.509866 94.378 -169.1764
113.325158 94.388 -169.4628
114.146359 94.398 -169.7498
114.973511 94.409 -170.0367
115.806656 94.420 -170.3228
116.645839 94.430 -170.6071
117.491103 94.440 -170.8887
118.342492 94.449 -171.1670
119.200050 94.457 -171.4415
120.063823 94.464 -171.7123
120.933855 94.470 -171.9799
121.810191 94.475 -172.2449
122.692878 94.479 -172.5082
123.581962 94.482 -172.7707
124.477487 94.484 -173.0325
125.379503 94.486 -173.2937
126.288054 94.487 -173.5540
127.203189 94.488 -173.8129
128.124956 94.488 -174.0697
129.053402 94.488 -174.3239
129.988577 94.487 -174.5753
130.930527 94.485 -174.8236
131.879304 94.482 -175.0688
132.834956 94.479 -175.3111
133.797533 94.474 -175.5504
134.767085 94.468 -175.7870
135.743663 94.461 -176.0212
136.727317 94.452 -176.2530
137.718100 94.443 -176.4826
138.716062 94.432 -176.7101
139.721255 94.419 -176.9355
140.733733 94.405 -177.1589
141.753548 94.390 -177.3804
142.780753 94.373 -177.6004
143.815401 94.355 -177.8187
144.857546 94.336 -178.0357
145.907244 94.316 -178.2512
146.964548 94.296 -178.4654
148.029514 94.274 -178.6783
149.102197 94.252 -178.8900
150.182652 94.230 -179.1010
151.270938 94.208 -179.3114
152.367109 94.185 -179.5217
153.471224 94.162 -179.7321
154.583340 94.139 -179.9426
155.703515 94.116 179.8473
156.831807 94.093 179.6378
157.968274 94.071 179.4296
159.112978 94.048 179.2233
160.265976 94.026 179.0193
161.427329 94.003 178.8179
162.597098 93.981 178.6191
163.775344 93.959 178.4229
164.962128 93.937 178.2294
166.157511 93.915 178.0389
167.361557 93.893 177.8514
168.574328 93.871 177.6672
169.795887 93.850 177.4864
171.026298 93.828 177.3086
172.265625 93.806 177.1337
173.513933 93.784 176.9610
174.771286 93.763 176.7903
176.037751 93.742 176.6209
177.313393 93.720 176.4527
178.598279 93.699 176.2854
179.892476 93.677 176.1191
181.196051 93.655 175.9539
182.509072 93.632 175.7899
183.831608 93.608 175.6274
185.163728 93.583 175.4665
186.505500 93.557 175.3075
187.856996 93.531 175.1505
189.218285 93.504 174.9959
190.589439 93.476 174.8438
191.970529 93.448 174.6943
193.361626 93.420 174.5475
194.762804 93.392 174.4032
196.174136 93.364 174.2613
197.595694 93.336 174.1213
199.027554 93.308 173.9830
200.469790 93.279 173.8459
201.922477 93.250 173.7093
203.385690 93.220 173.5727
204.859507 93.190 173.4359
206.344003 93.159 173.2990
207.839257 93.128 173.1622
209.345346 93.096 173.0269
210.862348 93.064 172.8943
212.390344 93.033 172.7663
213.929412 93.002 172.6443
215.479633 92.971 172.5294
217.041087 92.942 172.4219
218.613856 92.913 172.3220
220.198022 92.886 172.2292
221.793668 92.860 172.1432
223.400876 92.837 172.0634
225.019731 92.814 171.9890
226.650317 92.794 171.9195
228.292718 92.775 171.8536
229.947022 92.759 171.7903
231.613312 92.744 171.7280
233.291678 92.731 171.6657
234.982206 92.719 171.6021
236.684984 92.709 171.5364
238.400101 92.701 171.4683
240.127646 92.694 171.3976
241.867710 92.688 171.3249
243.620383 92.683 171.2505
245.385757 92.678 171.1754
247.163923 92.675 171.1003
248.954975 92.671 171.0255
250.759005 92.667 170.9514
252.576108 92.664 170.8779
254.406379 92.659 170.8047
256.249912 92.655 170.7320
258.106805 92.649 170.6595
259.977153 92.644 170.5877
261.861055 92.638 170.5167
263.758608 92.631 170.4467
265.669911 92.624 170.3781
267.595065 92.617 170.3108
269.534169 92.610 170.2448
271.487325 92.604 170.1797
273.454634 92.597 170.1151
275.436199 92.590 170.0508
277.432123 92.583 169.9864
279.442511 92.577 169.9217
281.467467 92.571 169.8566
283.507096 92.565 169.7913
285.561505 92.560 169.7261
287.630801 92.554 169.6617
289.715093 92.550 169.5989
291.814488 92.545 169.5386
293.929096 92.541 169.4818
296.059027 92.537 169.4292
298.204393 92.534 169.3813
300.365305 92.530 169.3382
302.541876 92.527 169.2994
304.734219 92.525 169.2645
306.942449 92.522 169.2326
309.166680 92.520 169.2030
311.407029 92.518 169.1751
313.663613 92.516 169.1485
315.936549 92.515 169.1229
318.225955 92.513 169.0983
320.531952 92.512 169.0748
322.854659 92.510 169.0526
325.194197 92.508 169.0317
327.550688 92.506 169.0123
329.924255 92.503 168.9942
332.315022 92.501 168.9776
334.723114 92.497 168.9623
337.148655 92.493 168.9487
339.591774 92.488 168.9366
342.052596 92.482 168.9263
344.531250 92.476 168.9178
347.027865 92.468 168.9109
349.542572 92.459 168.9053
