* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 10:41:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: K361 L3
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 98.581 -143.2493
20.333664 98.598 -143.4268
20.481010 98.622 -143.6643
20.629424 98.650 -143.9540
20.778913 98.684 -144.2871
20.929486 98.723 -144.6548
21.081150 98.766 -145.0486
21.233912 98.814 -145.4608
21.387782 98.866 -145.8856
21.542767 98.922 -146.3185
21.698874 98.984 -146.7568
21.856113 99.049 -147.1995
22.014492 99.119 -147.6471
22.174018 99.191 -148.1008
22.334700 99.266 -148.5627
22.496546 99.342 -149.0345
22.659566 99.418 -149.5178
22.823766 99.493 -150.0133
22.989157 99.564 -150.5207
23.155745 99.631 -151.0383
23.323542 99.692 -151.5636
23.492554 99.747 -152.0929
23.662790 99.794 -152.6218
23.834261 99.833 -153.1453
24.006973 99.864 -153.6587
24.180938 99.887 -154.1573
24.356163 99.902 -154.6370
24.532658 99.909 -155.0948
24.710431 99.909 -155.5285
24.889493 99.902 -155.9373
25.069853 99.889 -156.3218
25.251519 99.870 -156.6835
25.434502 99.847 -157.0254
25.618811 99.819 -157.3510
25.804456 99.788 -157.6646
25.991445 99.753 -157.9710
26.179790 99.715 -158.2747
26.369500 99.676 -158.5805
26.560584 99.635 -158.8923
26.753053 99.594 -159.2138
26.946917 99.554 -159.5479
27.142185 99.514 -159.8969
27.338869 99.477 -160.2623
27.536977 99.444 -160.6449
27.736522 99.414 -161.0446
27.937512 99.388 -161.4604
28.139959 99.367 -161.8905
28.343872 99.350 -162.3321
28.549264 99.337 -162.7812
28.756143 99.327 -163.2331
28.964522 99.321 -163.6826
29.174411 99.316 -164.1243
29.385821 99.312 -164.5533
29.598763 99.310 -164.9658
29.813248 99.308 -165.3596
30.029287 99.307 -165.7346
30.246891 99.308 -166.0930
30.466073 99.310 -166.4395
30.686842 99.314 -166.7802
30.909212 99.321 -167.1227
31.133193 99.332 -167.4745
31.358797 99.346 -167.8424
31.586035 99.364 -168.2312
31.814921 99.385 -168.6433
32.045465 99.408 -169.0782
32.277680 99.434 -169.5326
32.511577 99.462 -170.0007
32.747169 99.491 -170.4754
32.984469 99.522 -170.9484
33.223488 99.553 -171.4120
33.464239 99.584 -171.8593
33.706735 99.615 -172.2849
33.950987 99.646 -172.6856
34.197010 99.678 -173.0600
34.444816 99.709 -173.4087
34.694417 99.741 -173.7340
34.945827 99.773 -174.0395
35.199059 99.805 -174.3296
35.454126 99.837 -174.6091
35.711041 99.869 -174.8829
35.969818 99.902 -175.1552
36.230470 99.934 -175.4295
36.493011 99.965 -175.7085
36.757455 99.994 -175.9936
37.023814 100.022 -176.2853
37.292104 100.046 -176.5836
37.562338 100.068 -176.8882
37.834530 100.085 -177.1988
38.108695 100.099 -177.5156
38.384846 100.109 -177.8387
38.662999 100.115 -178.1685
38.943167 100.118 -178.5048
39.225365 100.118 -178.8464
39.509608 100.116 -179.1912
39.795911 100.111 -179.5357
40.084289 100.106 -179.8758
40.374756 100.099 179.7931
40.667328 100.092 179.4751
40.962020 100.084 179.1736
41.258848 100.076 178.8907
41.557827 100.066 178.6271
41.858972 100.054 178.3824
42.162299 100.040 178.1555
42.467824 100.023 177.9445
42.775564 100.004 177.7471
43.085533 99.982 177.5611
43.397749 99.958 177.3844
43.712227 99.934 177.2155
44.028983 99.908 177.0536
44.348036 99.883 176.8991
44.669400 99.859 176.7533
44.993093 99.835 176.6183
45.319131 99.813 176.4966
45.647532 99.791 176.3900
45.978313 99.769 176.2990
46.311491 99.749 176.2227
46.647083 99.728 176.1582
46.985107 99.708 176.1017
47.325581 99.688 176.0486
47.668521 99.667 175.9948
48.013947 99.647 175.9372
48.361876 99.626 175.8741
48.712326 99.605 175.8055
49.065315 99.584 175.7322
49.420863 99.563 175.6561
49.778987 99.541 175.5787
50.139706 99.520 175.5014
50.503039 99.500 175.4250
50.869005 99.479 175.3502
51.237623 99.460 175.2775
51.608912 99.440 175.2073
51.982891 99.421 175.1407
52.359580 99.403 175.0782
52.739000 99.386 175.0198
53.121168 99.370 174.9641
53.506106 99.355 174.9083
53.893833 99.343 174.8485
54.284370 99.332 174.7803
54.677737 99.322 174.6997
55.073955 99.315 174.6044
55.473043 99.309 174.4935
55.875024 99.305 174.3680
56.279917 99.302 174.2296
56.687745 99.301 174.0801
57.098527 99.301 173.9208
57.512287 99.304 173.7523
57.929045 99.307 173.5743
58.348822 99.313 173.3863
58.771642 99.321 173.1882
59.197525 99.332 172.9803
59.626495 99.345 172.7635
60.058573 99.361 172.5387
60.493782 99.380 172.3072
60.932145 99.402 172.0701
61.373685 99.427 171.8288
61.818424 99.453 171.5847
62.266386 99.480 171.3388
62.717593 99.508 171.0921
63.172071 99.535 170.8448
63.629842 99.561 170.5968
64.090930 99.586 170.3476
64.555359 99.609 170.0964
65.023154 99.631 169.8426
65.494339 99.649 169.5860
65.968938 99.666 169.3268
66.446976 99.680 169.0658
66.928478 99.691 168.8041
67.413469 99.699 168.5434
67.901975 99.705 168.2849
68.394021 99.708 168.0301
68.889632 99.708 167.7803
69.388835 99.706 167.5371
69.891655 99.702 167.3019
70.398118 99.696 167.0765
70.908252 99.689 166.8626
71.422083 99.679 166.6617
71.939636 99.668 166.4751
72.460941 99.655 166.3035
72.986023 99.640 166.1464
73.514909 99.623 166.0026
74.047629 99.604 165.8703
74.584208 99.584 165.7472
75.124676 99.562 165.6310
75.669061 99.539 165.5203
76.217390 99.515 165.4139
76.769692 99.491 165.3114
77.325997 99.466 165.2129
77.886333 99.441 165.1187
78.450730 99.416 165.0296
79.019216 99.391 164.9460
79.591822 99.367 164.8680
80.168577 99.342 164.7955
80.749512 99.319 164.7277
81.334656 99.296 164.6635
81.924040 99.274 164.6018
82.517696 99.253 164.5416
83.115653 99.233 164.4819
83.717943 99.214 164.4219
84.324598 99.196 164.3610
84.935649 99.179 164.2985
85.551128 99.164 164.2338
86.171066 99.149 164.1666
86.795497 99.135 164.0963
87.424453 99.123 164.0224
88.057967 99.112 163.9437
88.696071 99.101 163.8592
89.338800 99.092 163.7674
89.986185 99.084 163.6671
90.638262 99.077 163.5575
91.295065 99.071 163.4379
91.956626 99.065 163.3083
92.622982 99.061 163.1689
93.294166 99.057 163.0201
93.970214 99.054 162.8621
94.651161 99.051 162.6948
95.337042 99.049 162.5172
96.027894 99.047 162.3278
96.723752 99.045 162.1244
97.424652 99.044 161.9050
98.130631 99.042 161.6683
98.841726 99.040 161.4136
99.557974 99.039 161.1414
100.279412 99.037 160.8525
101.006078 99.034 160.5485
101.738010 99.031 160.2310
102.475245 99.028 159.9017
103.217823 99.024 159.5620
103.965782 99.019 159.2136
104.719161 99.013 158.8574
105.477999 99.006 158.4945
106.242336 98.999 158.1259
107.012212 98.990 157.7524
107.787666 98.981 157.3747
108.568740 98.971 156.9933
109.355474 98.960 156.6085
110.147909 98.948 156.2204
110.946086 98.935 155.8292
111.750047 98.920 155.4351
112.559834 98.903 155.0382
113.375489 98.885 154.6387
114.197055 98.863 154.2369
115.024574 98.839 153.8334
115.858089 98.812 153.4291
116.697645 98.781 153.0254
117.543284 98.746 152.6242
118.395051 98.708 152.2276
119.252990 98.665 151.8379
120.117147 98.618 151.4579
120.987565 98.567 151.0904
121.864291 98.513 150.7385
122.747370 98.454 150.4055
123.636848 98.391 150.0948
124.532771 98.325 149.8098
125.435187 98.256 149.5537
126.344142 98.183 149.3294
127.259684 98.108 149.1393
128.181860 98.031 148.9851
129.110718 97.952 148.8682
130.046308 97.872 148.7890
130.988677 97.792 148.7473
131.937875 97.712 148.7421
132.893951 97.632 148.7716
133.856956 97.554 148.8335
134.826938 97.477 148.9248
135.803950 97.403 149.0420
136.788041 97.332 149.1812
137.779264 97.264 149.3384
138.777669 97.200 149.5090
139.783309 97.139 149.6890
140.796237 97.081 149.8743
141.816504 97.027 150.0613
142.844165 96.976 150.2469
143.879273 96.928 150.4285
144.921881 96.882 150.6036
145.972045 96.838 150.7705
147.029819 96.796 150.9275
148.095257 96.755 151.0737
149.168417 96.716 151.2084
150.249353 96.677 151.3318
151.338121 96.640 151.4440
152.434780 96.604 151.5457
153.539385 96.569 151.6376
154.651995 96.534 151.7207
155.772667 96.500 151.7958
156.901460 96.467 151.8637
158.038432 96.434 151.9255
159.183644 96.401 151.9819
160.337154 96.369 152.0339
161.499023 96.338 152.0820
162.669312 96.307 152.1269
163.848081 96.277 152.1691
165.035392 96.247 152.2088
166.231306 96.219 152.2463
167.435887 96.191 152.2813
168.649196 96.163 152.3134
169.871298 96.136 152.3418
171.102255 96.110 152.3661
172.342133 96.083 152.3860
173.590995 96.057 152.4011
174.848907 96.030 152.4111
176.115934 96.003 152.4162
177.392143 95.975 152.4160
178.677599 95.947 152.4109
179.972371 95.917 152.4009
181.276525 95.886 152.3866
182.590129 95.854 152.3686
183.913252 95.821 152.3478
185.245964 95.786 152.3251
186.588332 95.750 152.3016
187.940428 95.712 152.2784
189.302322 95.673 152.2565
190.674085 95.632 152.2369
192.055788 95.590 152.2207
193.447503 95.546 152.2085
194.849303 95.502 152.2008
196.261262 95.457 152.1978
197.683452 95.411 152.1995
199.115948 95.364 152.2057
200.558824 95.316 152.2166
202.012156 95.268 152.2325
203.476019 95.219 152.2540
204.950490 95.170 152.2823
206.435646 95.121 152.3185
207.931564 95.070 152.3640
209.438322 95.020 152.4203
210.955998 94.970 152.4887
212.484672 94.920 152.5702
214.024424 94.870 152.6659
215.575333 94.822 152.7764
217.137481 94.775 152.9017
218.710948 94.730 153.0415
220.295818 94.686 153.1946
221.892172 94.646 153.3594
223.500094 94.607 153.5339
225.119668 94.572 153.7159
226.750978 94.540 153.9030
228.394109 94.511 154.0928
230.049147 94.485 154.2831
231.716178 94.461 154.4722
233.395289 94.440 154.6588
235.086567 94.421 154.8419
236.790102 94.404 155.0215
238.505980 94.388 155.1978
240.234293 94.372 155.3712
241.975130 94.358 155.5423
243.728581 94.343 155.7113
245.494739 94.329 155.8783
247.273695 94.315 156.0434
249.065542 94.299 156.2069
250.870374 94.284 156.3693
252.688284 94.267 156.5314
254.519367 94.250 156.6946
256.363720 94.232 156.8607
258.221437 94.214 157.0317
260.092616 94.196 157.2101
261.977354 94.178 157.3983
263.875750 94.160 157.5981
265.787903 94.144 157.8115
267.713911 94.129 158.0391
269.653877 94.116 158.2814
271.607900 94.106 158.5377
273.576083 94.100 158.8062
275.558528 94.097 159.0838
277.555338 94.099 159.3660
279.566619 94.106 159.6470
281.592474 94.117 159.9207
283.633009 94.133 160.1802
285.688331 94.153 160.4195
287.758546 94.176 160.6336
289.843763 94.202 160.8189
291.944090 94.230 160.9739
294.059638 94.258 161.0988
296.190515 94.286 161.1956
298.336833 94.314 161.2677
300.498705 94.339 161.3195
302.676243 94.362 161.3557
304.869559 94.383 161.3811
307.078770 94.402 161.4004
309.303989 94.417 161.4174
311.545334 94.431 161.4355
313.802919 94.442 161.4575
316.076865 94.450 161.4854
318.367288 94.457 161.5206
320.674309 94.463 161.5638
322.998047 94.467 161.6152
325.338624 94.471 161.6744
327.696162 94.473 161.7406
330.070783 94.475 161.8128
332.462612 94.477 161.8898
334.871773 94.478 161.9706
337.298392 94.479 162.0542
339.742595 94.479 162.1396
342.204510 94.479 162.2263
344.684265 94.479 162.3137
347.181989 94.477 162.4017
349.697813 94.475 162.4902
352.231868 94.473 162.5792
354.784285 94.469 162.6692
357.355198 94.464 162.7605
359.944741 94.458 162.8537
362.553049 94.451 162.9495
365.180258 94.443 163.0485
367.826505 94.434 163.1511
370.491927 94.424 163.2577
373.176665 94.413 163.3682
375.880856 94.401 163.4825
378.604644 94.389 163.6005
381.348169 94.377 163.7216
384.111575 94.365 163.8454
386.895006 94.352 163.9713
