* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 10:36:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: K361 R2
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 94.678 -141.1405
20.333664 94.712 -141.2758
20.481010 94.758 -141.4548
20.629424 94.817 -141.6694
20.778913 94.886 -141.9112
20.929486 94.966 -142.1718
21.081150 95.055 -142.4438
21.233912 95.152 -142.7210
21.387782 95.255 -142.9984
21.542767 95.362 -143.2724
21.698874 95.470 -143.5406
21.856113 95.578 -143.8015
22.014492 95.683 -144.0548
22.174018 95.783 -144.3008
22.334700 95.876 -144.5404
22.496546 95.961 -144.7756
22.659566 96.037 -145.0085
22.823766 96.102 -145.2421
22.989157 96.157 -145.4798
23.155745 96.200 -145.7255
23.323542 96.233 -145.9833
23.492554 96.255 -146.2576
23.662790 96.268 -146.5525
23.834261 96.272 -146.8717
24.006973 96.269 -147.2182
24.180938 96.259 -147.5939
24.356163 96.244 -147.9992
24.532658 96.224 -148.4332
24.710431 96.201 -148.8932
24.889493 96.176 -149.3749
25.069853 96.148 -149.8728
25.251519 96.119 -150.3804
25.434502 96.089 -150.8908
25.618811 96.059 -151.3970
25.804456 96.027 -151.8927
25.991445 95.996 -152.3725
26.179790 95.963 -152.8324
26.369500 95.931 -153.2701
26.560584 95.898 -153.6852
26.753053 95.865 -154.0789
26.946917 95.832 -154.4538
27.142185 95.799 -154.8140
27.338869 95.766 -155.1645
27.536977 95.734 -155.5108
27.736522 95.703 -155.8585
27.937512 95.673 -156.2129
28.139959 95.645 -156.5785
28.343872 95.618 -156.9588
28.549264 95.593 -157.3561
28.756143 95.571 -157.7713
28.964522 95.550 -158.2042
29.174411 95.532 -158.6534
29.385821 95.516 -159.1168
29.598763 95.502 -159.5918
29.813248 95.492 -160.0757
30.029287 95.485 -160.5664
30.246891 95.481 -161.0617
30.466073 95.480 -161.5601
30.686842 95.483 -162.0602
30.909212 95.490 -162.5609
31.133193 95.500 -163.0606
31.358797 95.514 -163.5573
31.586035 95.531 -164.0485
31.814921 95.552 -164.5313
32.045465 95.575 -165.0028
32.277680 95.601 -165.4600
32.511577 95.630 -165.9006
32.747169 95.661 -166.3234
32.984469 95.694 -166.7283
33.223488 95.728 -167.1165
33.464239 95.764 -167.4901
33.706735 95.801 -167.8522
33.950987 95.837 -168.2064
34.197010 95.874 -168.5567
34.444816 95.910 -168.9071
34.694417 95.945 -169.2615
34.945827 95.981 -169.6237
35.199059 96.015 -169.9969
35.454126 96.050 -170.3836
35.711041 96.084 -170.7852
35.969818 96.118 -171.2017
36.230470 96.151 -171.6315
36.493011 96.184 -172.0710
36.757455 96.215 -172.5155
37.023814 96.245 -172.9594
37.292104 96.273 -173.3969
37.562338 96.298 -173.8229
37.834530 96.320 -174.2335
38.108695 96.340 -174.6265
38.384846 96.357 -175.0014
38.662999 96.370 -175.3591
38.943167 96.380 -175.7016
39.225365 96.387 -176.0312
39.509608 96.390 -176.3503
39.795911 96.391 -176.6605
40.084289 96.388 -176.9628
40.374756 96.382 -177.2570
40.667328 96.373 -177.5427
40.962020 96.362 -177.8187
41.258848 96.349 -178.0842
41.557827 96.334 -178.3387
41.858972 96.318 -178.5828
42.162299 96.300 -178.8180
42.467824 96.282 -179.0466
42.775564 96.262 -179.2713
43.085533 96.241 -179.4944
43.397749 96.220 -179.7175
43.712227 96.198 -179.9410
44.028983 96.176 179.8363
44.348036 96.153 179.6165
44.669400 96.129 179.4024
44.993093 96.106 179.1967
45.319131 96.083 179.0016
45.647532 96.061 178.8177
45.978313 96.038 178.6449
46.311491 96.016 178.4816
46.647083 95.994 178.3254
46.985107 95.971 178.1738
47.325581 95.947 178.0240
47.668521 95.923 177.8738
48.013947 95.896 177.7219
48.361876 95.868 177.5671
48.712326 95.839 177.4094
49.065315 95.808 177.2493
49.420863 95.775 177.0876
49.778987 95.742 176.9255
50.139706 95.707 176.7641
50.503039 95.672 176.6047
50.869005 95.636 176.4484
51.237623 95.601 176.2963
51.608912 95.566 176.1492
51.982891 95.532 176.0077
52.359580 95.498 175.8720
52.739000 95.466 175.7417
53.121168 95.434 175.6161
53.506106 95.404 175.4943
53.893833 95.374 175.3755
54.284370 95.346 175.2590
54.677737 95.318 175.1447
55.073955 95.292 175.0326
55.473043 95.267 174.9231
55.875024 95.243 174.8165
56.279917 95.221 174.7135
56.687745 95.200 174.6146
57.098527 95.180 174.5203
57.512287 95.160 174.4304
57.929045 95.142 174.3438
58.348822 95.125 174.2586
58.771642 95.109 174.1721
59.197525 95.095 174.0814
59.626495 95.084 173.9837
60.058573 95.076 173.8776
60.493782 95.071 173.7628
60.932145 95.069 173.6405
61.373685 95.070 173.5126
61.818424 95.074 173.3817
62.266386 95.082 173.2496
62.717593 95.092 173.1180
63.172071 95.106 172.9872
63.629842 95.122 172.8569
64.090930 95.141 172.7261
64.555359 95.163 172.5932
65.023154 95.187 172.4565
65.494339 95.214 172.3140
65.968938 95.241 172.1643
66.446976 95.270 172.0058
66.928478 95.299 171.8374
67.413469 95.328 171.6584
67.901975 95.357 171.4684
68.394021 95.384 171.2667
68.889632 95.411 171.0530
69.388835 95.435 170.8269
69.891655 95.458 170.5877
70.398118 95.478 170.3353
70.908252 95.496 170.0697
71.422083 95.511 169.7916
71.939636 95.524 169.5019
72.460941 95.534 169.2023
72.986023 95.541 168.8946
73.514909 95.546 168.5812
74.047629 95.548 168.2646
74.584208 95.547 167.9473
75.124676 95.544 167.6321
75.669061 95.538 167.3213
76.217390 95.530 167.0173
76.769692 95.520 166.7223
77.325997 95.508 166.4380
77.886333 95.494 166.1661
78.450730 95.479 165.9078
79.019216 95.464 165.6639
79.591822 95.448 165.4350
80.168577 95.432 165.2211
80.749512 95.416 165.0221
81.334656 95.401 164.8375
81.924040 95.385 164.6667
82.517696 95.370 164.5086
83.115653 95.354 164.3622
83.717943 95.338 164.2258
84.324598 95.322 164.0978
84.935649 95.305 163.9761
85.551128 95.287 163.8587
86.171066 95.268 163.7438
86.795497 95.248 163.6297
87.424453 95.228 163.5148
88.057967 95.206 163.3978
88.696071 95.183 163.2775
89.338800 95.160 163.1531
89.986185 95.136 163.0239
90.638262 95.111 162.8895
91.295065 95.085 162.7498
91.956626 95.060 162.6051
92.622982 95.034 162.4559
93.294166 95.008 162.3028
93.970214 94.982 162.1468
94.651161 94.957 161.9893
95.337042 94.932 161.8314
96.027894 94.907 161.6745
96.723752 94.883 161.5199
97.424652 94.860 161.3683
98.130631 94.838 161.2205
98.841726 94.816 161.0768
99.557974 94.796 160.9373
100.279412 94.776 160.8018
101.006078 94.758 160.6699
101.738010 94.740 160.5411
102.475245 94.724 160.4145
103.217823 94.709 160.2894
103.965782 94.694 160.1647
104.719161 94.681 160.0397
105.477999 94.670 159.9138
106.242336 94.659 159.7866
107.012212 94.650 159.6582
107.787666 94.642 159.5288
108.568740 94.635 159.3987
109.355474 94.630 159.2680
110.147909 94.624 159.1367
110.946086 94.620 159.0048
111.750047 94.615 158.8722
112.559834 94.610 158.7384
113.375489 94.605 158.6031
114.197055 94.600 158.4659
115.024574 94.594 158.3264
115.858089 94.587 158.1844
116.697645 94.579 158.0402
117.543284 94.571 157.8938
118.395051 94.562 157.7460
119.252990 94.553 157.5979
120.117147 94.543 157.4509
120.987565 94.533 157.3066
121.864291 94.522 157.1665
122.747370 94.510 157.0317
123.636848 94.498 156.9031
124.532771 94.485 156.7809
125.435187 94.471 156.6655
126.344142 94.457 156.5568
127.259684 94.442 156.4548
128.181860 94.425 156.3593
129.110718 94.408 156.2703
130.046308 94.389 156.1873
130.988677 94.369 156.1101
131.937875 94.348 156.0384
132.893951 94.325 155.9718
133.856956 94.301 155.9101
134.826938 94.275 155.8531
135.803950 94.248 155.8008
136.788041 94.219 155.7534
137.779264 94.189 155.7111
138.777669 94.157 155.6744
139.783309 94.125 155.6435
140.796237 94.092 155.6187
141.816504 94.058 155.6002
142.844165 94.024 155.5884
143.879273 93.990 155.5834
144.921881 93.955 155.5854
145.972045 93.921 155.5945
147.029819 93.886 155.6104
148.095257 93.851 155.6326
149.168417 93.817 155.6603
150.249353 93.783 155.6929
151.338121 93.749 155.7294
152.434780 93.715 155.7692
153.539385 93.682 155.8122
154.651995 93.650 155.8581
155.772667 93.619 155.9071
156.901460 93.589 155.9595
158.038432 93.559 156.0155
159.183644 93.531 156.0753
160.337154 93.504 156.1390
161.499023 93.478 156.2064
162.669312 93.454 156.2774
163.848081 93.431 156.3514
165.035392 93.409 156.4280
166.231306 93.389 156.5063
167.435887 93.371 156.5854
168.649196 93.355 156.6644
169.871298 93.340 156.7419
171.102255 93.327 156.8165
172.342133 93.316 156.8868
173.590995 93.307 156.9515
174.848907 93.298 157.0093
176.115934 93.290 157.0590
177.392143 93.283 157.1001
178.677599 93.276 157.1324
179.972371 93.270 157.1562
181.276525 93.263 157.1721
182.590129 93.256 157.1811
183.913252 93.248 157.1839
185.245964 93.240 157.1813
186.588332 93.232 157.1739
187.940428 93.222 157.1620
189.302322 93.212 157.1462
190.674085 93.201 157.1270
192.055788 93.189 157.1050
193.447503 93.176 157.0811
194.849303 93.162 157.0560
196.261262 93.148 157.0306
197.683452 93.134 157.0054
199.115948 93.118 156.9807
200.558824 93.103 156.9564
202.012156 93.087 156.9327
203.476019 93.071 156.9092
204.950490 93.055 156.8859
206.435646 93.038 156.8629
207.931564 93.020 156.8404
209.438322 93.002 156.8188
210.955998 92.984 156.7986
212.484672 92.966 156.7803
214.024424 92.949 156.7643
215.575333 92.932 156.7504
217.137481 92.917 156.7380
218.710948 92.904 156.7262
220.295818 92.893 156.7137
221.892172 92.883 156.6992
223.500094 92.876 156.6811
225.119668 92.871 156.6581
226.750978 92.867 156.6293
228.394109 92.864 156.5948
230.049147 92.863 156.5548
231.716178 92.863 156.5102
233.395289 92.864 156.4623
235.086567 92.866 156.4127
236.790102 92.869 156.3627
238.505980 92.873 156.3135
240.234293 92.877 156.2657
241.975130 92.882 156.2199
243.728581 92.888 156.1763
245.494739 92.894 156.1349
247.273695 92.901 156.0959
249.065542 92.908 156.0593
250.870374 92.914 156.0254
252.688284 92.921 155.9946
254.519367 92.927 155.9671
256.363720 92.934 155.9430
258.221437 92.939 155.9222
260.092616 92.945 155.9048
261.977354 92.950 155.8905
263.875750 92.954 155.8795
265.787903 92.959 155.8718
267.713911 92.963 155.8672
269.653877 92.968 155.8660
271.607900 92.973 155.8678
273.576083 92.978 155.8727
275.558528 92.984 155.8805
277.555338 92.992 155.8904
279.566619 93.000 155.9016
281.592474 93.010 155.9128
283.633009 93.022 155.9229
285.688331 93.034 155.9301
287.758546 93.048 155.9330
289.843763 93.062 155.9306
291.944090 93.077 155.9218
294.059638 93.091 155.9062
296.190515 93.106 155.8842
298.336833 93.120 155.8561
300.498705 93.134 155.8230
302.676243 93.147 155.7860
304.869559 93.159 155.7464
307.078770 93.170 155.7052
309.303989 93.181 155.6630
311.545334 93.191 155.6205
313.802919 93.201 155.5777
316.076865 93.210 155.5346
318.367288 93.218 155.4914
320.674309 93.226 155.4480
322.998047 93.234 155.4047
325.338624 93.241 155.3620
327.696162 93.248 155.3201
330.070783 93.254 155.2797
332.462612 93.260 155.2410
334.871773 93.266 155.2044
337.298392 93.272 155.1701
339.742595 93.278 155.1382
342.204510 93.282 155.1088
344.684265 93.287 155.0820
347.181989 93.291 155.0580
349.697813 93.294 155.0369
352.231868 93.297 155.0188
354.784285 93.299 155.0040
357.355198 93.301 154.9925
359.944741 93.302 154.9845
362.553049 93.303 154.9799
365.180258 93.304 154.9786
367.826505 93.304 154.9808
370.491927 93.304 154.9862
373.176665 93.304 154.9948
375.880856 93.303 155.0063
378.604644 93.303 155.0208
381.348169 93.302 155.0381
384.111575 93.302 155.0581
386.895006 93.301 155.0808
