* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 9:59:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AKG K701 L7
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 84.017 -45.7947
20.287556 84.035 -45.9639
20.434568 84.057 -46.1913
20.582645 84.079 -46.4721
20.731796 84.097 -46.8014
20.882027 84.109 -47.1749
21.033346 84.112 -47.5893
21.185763 84.103 -48.0420
21.339284 84.081 -48.5311
21.493917 84.045 -49.0552
21.649671 83.997 -49.6131
21.806553 83.937 -50.2032
21.964572 83.867 -50.8238
22.123737 83.788 -51.4725
22.284054 83.704 -52.1465
22.445534 83.617 -52.8422
22.608183 83.530 -53.5556
22.772012 83.446 -54.2825
22.937027 83.368 -55.0184
23.103238 83.299 -55.7589
23.270654 83.240 -56.4998
23.439282 83.195 -57.2373
23.609133 83.165 -57.9682
23.780215 83.151 -58.6894
23.952536 83.153 -59.3988
24.126106 83.170 -60.0942
24.300934 83.203 -60.7741
24.477028 83.248 -61.4371
24.654399 83.305 -62.0818
24.833055 83.370 -62.7073
25.013005 83.441 -63.3130
25.194260 83.517 -63.8987
25.376828 83.594 -64.4651
25.560719 83.672 -65.0137
25.745942 83.748 -65.5472
25.932508 83.822 -66.0698
26.120426 83.892 -66.5867
26.309705 83.959 -67.1043
26.500356 84.022 -67.6295
26.692388 84.080 -68.1693
26.885812 84.133 -68.7301
27.080638 84.182 -69.3167
27.276876 84.226 -69.9320
27.474535 84.265 -70.5765
27.673627 84.301 -71.2481
27.874161 84.335 -71.9418
28.076149 84.368 -72.6510
28.279600 84.404 -73.3674
28.484526 84.445 -74.0823
28.690937 84.495 -74.7872
28.898843 84.559 -75.4751
29.108256 84.639 -76.1408
29.319186 84.738 -76.7813
29.531645 84.857 -77.3964
29.745644 84.995 -77.9879
29.961193 85.150 -78.5592
30.178304 85.320 -79.1150
30.396989 85.498 -79.6602
30.617258 85.679 -80.1995
30.839123 85.857 -80.7367
31.062596 86.025 -81.2752
31.287688 86.179 -81.8172
31.514412 86.313 -82.3644
31.742778 86.423 -82.9182
31.972800 86.507 -83.4797
32.204488 86.561 -84.0501
32.437855 86.586 -84.6303
32.672913 86.580 -85.2212
32.909674 86.544 -85.8229
33.148151 86.481 -86.4346
33.388356 86.393 -87.0547
33.630302 86.281 -87.6798
33.874001 86.151 -88.3060
34.119466 86.006 -88.9281
34.366710 85.850 -89.5412
34.615745 85.688 -90.1408
34.866585 85.524 -90.7236
35.119243 85.365 -91.2883
35.373731 85.213 -91.8358
35.630064 85.074 -92.3688
35.888254 84.950 -92.8916
36.148315 84.845 -93.4092
36.410261 84.760 -93.9266
36.674104 84.697 -94.4477
36.939860 84.656 -94.9750
37.207542 84.637 -95.5094
37.477163 84.640 -96.0501
37.748738 84.665 -96.5955
38.022281 84.712 -97.1431
38.297806 84.779 -97.6905
38.575327 84.867 -98.2354
38.854860 84.974 -98.7758
39.136419 85.101 -99.3102
39.420017 85.245 -99.8372
39.705671 85.405 -100.3554
39.993395 85.581 -100.8636
40.283203 85.772 -101.3607
40.575112 85.975 -101.8457
40.869136 86.189 -102.3183
41.165290 86.412 -102.7786
41.463591 86.643 -103.2277
41.764053 86.879 -103.6671
42.066693 87.118 -104.0993
42.371525 87.358 -104.5268
42.678567 87.597 -104.9526
42.987834 87.833 -105.3795
43.299341 88.063 -105.8106
43.613106 88.285 -106.2488
43.929145 88.498 -106.6970
44.247473 88.700 -107.1580
44.568109 88.890 -107.6339
44.891068 89.066 -108.1259
45.216367 89.228 -108.6338
45.544023 89.373 -109.1561
45.874054 89.502 -109.6892
46.206476 89.614 -110.2288
46.541307 89.708 -110.7695
46.878565 89.784 -111.3058
47.218266 89.842 -111.8329
47.560429 89.883 -112.3470
47.905072 89.908 -112.8456
48.252212 89.918 -113.3278
48.601867 89.916 -113.7944
48.954056 89.901 -114.2475
49.308798 89.878 -114.6900
49.666109 89.846 -115.1255
50.026010 89.810 -115.5570
50.388520 89.769 -115.9868
50.753656 89.726 -116.4158
51.121437 89.683 -116.8434
51.491884 89.641 -117.2683
51.865016 89.602 -117.6880
52.240851 89.566 -118.1001
52.619410 89.533 -118.5023
53.000712 89.505 -118.8925
53.384777 89.481 -119.2695
53.771625 89.460 -119.6328
54.161276 89.441 -119.9832
54.553751 89.424 -120.3224
54.949070 89.407 -120.6533
55.347254 89.390 -120.9795
55.748323 89.373 -121.3047
56.152298 89.353 -121.6320
56.559201 89.332 -121.9632
56.969052 89.310 -122.2984
57.381873 89.286 -122.6363
57.797686 89.260 -122.9742
58.216512 89.234 -123.3084
58.638373 89.206 -123.6346
59.063291 89.176 -123.9483
59.491288 89.145 -124.2452
59.922386 89.112 -124.5215
60.356608 89.076 -124.7751
60.793977 89.038 -125.0058
61.234515 88.999 -125.2156
61.678246 88.959 -125.4089
62.125192 88.919 -125.5914
62.575377 88.881 -125.7694
63.028824 88.845 -125.9485
63.485557 88.811 -126.1335
63.945599 88.782 -126.3276
64.408975 88.757 -126.5329
64.875709 88.736 -126.7503
65.345825 88.720 -126.9797
65.819348 88.709 -127.2200
66.296302 88.703 -127.4694
66.776713 88.702 -127.7258
67.260604 88.705 -127.9874
67.748002 88.712 -128.2528
68.238932 88.723 -128.5218
68.733420 88.737 -128.7950
69.231490 88.755 -129.0737
69.733170 88.775 -129.3595
70.238485 88.797 -129.6536
70.747463 88.821 -129.9563
71.260128 88.847 -130.2675
71.776508 88.874 -130.5864
72.296630 88.902 -130.9123
72.820521 88.931 -131.2442
73.348209 88.961 -131.5810
73.879720 88.991 -131.9216
74.415083 89.021 -132.2647
74.954326 89.052 -132.6091
75.497475 89.082 -132.9538
76.044561 89.112 -133.2976
76.595612 89.140 -133.6400
77.150655 89.167 -133.9803
77.709720 89.191 -134.3189
78.272837 89.213 -134.6561
78.840034 89.230 -134.9928
79.411342 89.244 -135.3300
79.986789 89.253 -135.6688
80.566406 89.258 -136.0099
81.150224 89.258 -136.3535
81.738272 89.255 -136.6991
82.330581 89.249 -137.0456
82.927182 89.241 -137.3918
83.528107 89.232 -137.7364
84.133386 89.225 -138.0784
84.743051 89.221 -138.4176
85.357134 89.224 -138.7539
85.975667 89.237 -139.0876
86.598682 89.263 -139.4189
87.226212 89.305 -139.7482
87.858289 89.367 -140.0756
88.494946 89.451 -140.4009
89.136217 89.559 -140.7237
89.782135 89.692 -141.0434
90.432733 89.849 -141.3591
91.088046 90.027 -141.6695
91.748108 90.223 -141.9738
92.412952 90.430 -142.2713
93.082615 90.645 -142.5621
93.757130 90.860 -142.8473
94.436533 91.071 -143.1287
95.120859 91.272 -143.4087
95.810144 91.460 -143.6897
96.504423 91.632 -143.9733
97.203734 91.786 -144.2600
97.908112 91.922 -144.5492
98.617595 92.041 -144.8394
99.332219 92.144 -145.1288
100.052021 92.233 -145.4154
100.777039 92.311 -145.6978
101.507311 92.379 -145.9746
102.242875 92.439 -146.2456
102.983769 92.492 -146.5109
103.730032 92.540 -146.7711
104.481702 92.582 -147.0268
105.238820 92.619 -147.2785
106.001424 92.651 -147.5264
106.769554 92.675 -147.7710
107.543250 92.692 -148.0128
108.322553 92.699 -148.2529
109.107503 92.694 -148.4931
109.898141 92.677 -148.7351
110.694508 92.646 -148.9806
111.496646 92.601 -149.2306
112.304596 92.543 -149.4849
113.118402 92.473 -149.7431
113.938104 92.393 -150.0042
114.763747 92.304 -150.2671
115.595372 92.210 -150.5309
116.433024 92.112 -150.7951
117.276746 92.013 -151.0595
118.126581 91.914 -151.3240
118.982575 91.817 -151.5888
119.844772 91.723 -151.8537
120.713217 91.632 -152.1180
121.587954 91.545 -152.3809
122.469031 91.459 -152.6413
123.356492 91.375 -152.8983
124.250384 91.290 -153.1510
125.150753 91.203 -153.3989
126.057647 91.114 -153.6414
126.971113 91.020 -153.8784
127.891198 90.920 -154.1098
128.817950 90.814 -154.3360
129.751418 90.701 -154.5575
130.691651 90.582 -154.7748
131.638696 90.458 -154.9887
132.592604 90.331 -155.1998
133.553425 90.202 -155.4087
134.521208 90.074 -155.6161
135.496004 89.950 -155.8224
136.477864 89.834 -156.0281
137.466839 89.729 -156.2335
138.462981 89.639 -156.4387
139.466340 89.565 -156.6437
140.476971 89.510 -156.8483
141.494925 89.475 -157.0522
142.520256 89.457 -157.2552
143.553016 89.456 -157.4571
144.593260 89.469 -157.6575
145.641043 89.492 -157.8560
146.696418 89.520 -158.0520
147.759441 89.550 -158.2452
148.830166 89.577 -158.4354
149.908651 89.600 -158.6228
150.994951 89.616 -158.8078
152.089123 89.625 -158.9913
153.191223 89.625 -159.1743
154.301310 89.619 -159.3576
155.419441 89.608 -159.5420
156.545674 89.593 -159.7277
157.680069 89.577 -159.9150
158.822683 89.560 -160.1042
159.973578 89.546 -160.2958
161.132813 89.533 -160.4910
162.300447 89.524 -160.6909
163.476543 89.519 -160.8967
164.661162 89.517 -161.1086
165.854364 89.518 -161.3265
167.056213 89.523 -161.5495
168.266772 89.532 -161.7760
169.486102 89.543 -162.0049
170.714268 89.559 -162.2349
171.951334 89.578 -162.4648
173.197364 89.600 -162.6936
174.452424 89.626 -162.9202
175.716578 89.655 -163.1434
176.989893 89.686 -163.3617
178.272434 89.719 -163.5733
179.564270 89.752 -163.7763
180.865467 89.786 -163.9691
182.176092 89.818 -164.1505
183.496216 89.848 -164.3199
184.825905 89.877 -164.4778
186.165229 89.902 -164.6250
187.514259 89.925 -164.7632
188.873065 89.947 -164.8944
190.241717 89.967 -165.0213
191.620287 89.986 -165.1465
193.008847 90.006 -165.2728
194.407468 90.025 -165.4025
195.816225 90.045 -165.5371
197.235190 90.065 -165.6772
198.664438 90.085 -165.8221
200.104042 90.104 -165.9706
201.554078 90.122 -166.1206
203.014622 90.138 -166.2706
204.485750 90.152 -166.4194
205.967538 90.162 -166.5665
207.460064 90.169 -166.7118
208.963405 90.172 -166.8555
210.477640 90.172 -166.9980
212.002848 90.169 -167.1393
213.539108 90.163 -167.2799
215.086500 90.154 -167.4196
216.645105 90.144 -167.5582
218.215005 90.132 -167.6953
219.796281 90.118 -167.8302
221.389015 90.102 -167.9626
222.993292 90.084 -168.0920
224.609193 90.062 -168.2184
226.236804 90.037 -168.3419
227.876209 90.006 -168.4631
229.527494 89.971 -168.5827
231.190745 89.929 -168.7018
232.866048 89.882 -168.8215
234.553491 89.830 -168.9425
236.253163 89.772 -169.0652
237.965150 89.711 -169.1898
239.689544 89.647 -169.3162
241.426433 89.580 -169.4442
243.175909 89.513 -169.5734
244.938062 89.446 -169.7032
246.712984 89.380 -169.8331
248.500768 89.317 -169.9624
250.301507 89.256 -170.0906
252.115295 89.199 -170.2175
253.942226 89.145 -170.3430
255.782396 89.097 -170.4672
257.635901 89.053 -170.5904
259.502837 89.015 -170.7129
261.383301 88.983 -170.8353
263.277392 88.957 -170.9580
265.185209 88.937 -171.0811
267.106850 88.923 -171.2045
269.042417 88.916 -171.3275
270.992009 88.915 -171.4497
272.955729 88.919 -171.5704
274.933678 88.928 -171.6892
276.925961 88.942 -171.8060
278.932681 88.958 -171.9209
280.953942 88.977 -172.0340
282.989850 88.997 -172.1455
285.040511 89.020 -172.2554
287.106032 89.045 -172.3639
289.186521 89.073 -172.4710
291.282086 89.104 -172.5772
293.392836 89.139 -172.6827
295.518881 89.179 -172.7874
297.660333 89.225 -172.8910
299.817302 89.276 -172.9930
301.989902 89.332 -173.0924
304.178245 89.391 -173.1887
306.382446 89.453 -173.2815
308.602620 89.515 -173.3707
310.838882 89.575 -173.4565
313.091348 89.632 -173.5392
315.360137 89.685 -173.6193
317.645367 89.731 -173.6976
319.947156 89.769 -173.7747
322.265625 89.800 -173.8513
324.600895 89.822 -173.9282
326.953086 89.834 -174.0057
329.322323 89.836 -174.0841
331.708729 89.827 -174.1632
