* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 10:06:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AKG K701 R9
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 81.457 -46.7994
20.287556 81.458 -46.8651
20.434568 81.458 -46.9502
20.582645 81.455 -47.0492
20.731796 81.448 -47.1576
20.882027 81.435 -47.2732
21.033346 81.416 -47.3962
21.185763 81.390 -47.5293
21.339284 81.357 -47.6770
21.493917 81.317 -47.8449
21.649671 81.271 -48.0387
21.806553 81.221 -48.2638
21.964572 81.168 -48.5242
22.123737 81.114 -48.8225
22.284054 81.062 -49.1601
22.445534 81.013 -49.5366
22.608183 80.970 -49.9508
22.772012 80.934 -50.4006
22.937027 80.907 -50.8835
23.103238 80.891 -51.3966
23.270654 80.885 -51.9373
23.439282 80.892 -52.5028
23.609133 80.909 -53.0903
23.780215 80.937 -53.6969
23.952536 80.975 -54.3197
24.126106 81.021 -54.9554
24.300934 81.073 -55.6011
24.477028 81.131 -56.2534
24.654399 81.191 -56.9098
24.833055 81.254 -57.5678
25.013005 81.318 -58.2260
25.194260 81.383 -58.8839
25.376828 81.447 -59.5422
25.560719 81.511 -60.2023
25.745942 81.574 -60.8665
25.932508 81.637 -61.5373
26.120426 81.700 -62.2171
26.309705 81.762 -62.9074
26.500356 81.824 -63.6081
26.692388 81.884 -64.3176
26.885812 81.942 -65.0319
27.080638 81.998 -65.7452
27.276876 82.052 -66.4500
27.474535 82.102 -67.1378
27.673627 82.150 -67.8001
27.874161 82.196 -68.4292
28.076149 82.243 -69.0195
28.279600 82.292 -69.5684
28.484526 82.349 -70.0772
28.690937 82.415 -70.5516
28.898843 82.494 -71.0015
29.108256 82.589 -71.4406
29.319186 82.703 -71.8850
29.531645 82.834 -72.3515
29.745644 82.982 -72.8556
29.961193 83.144 -73.4093
30.178304 83.314 -74.0196
30.396989 83.488 -74.6872
30.617258 83.660 -75.4067
30.839123 83.824 -76.1671
31.062596 83.974 -76.9535
31.287688 84.108 -77.7491
31.514412 84.220 -78.5376
31.742778 84.309 -79.3048
31.972800 84.373 -80.0409
32.204488 84.411 -80.7407
32.437855 84.423 -81.4034
32.672913 84.410 -82.0319
32.909674 84.371 -82.6312
33.148151 84.308 -83.2063
33.388356 84.222 -83.7614
33.630302 84.117 -84.2984
33.874001 83.995 -84.8173
34.119466 83.858 -85.3161
34.366710 83.711 -85.7923
34.615745 83.559 -86.2436
34.866585 83.406 -86.6689
35.119243 83.255 -87.0687
35.373731 83.113 -87.4457
35.630064 82.981 -87.8040
35.888254 82.864 -88.1491
36.148315 82.765 -88.4874
36.410261 82.685 -88.8256
36.674104 82.625 -89.1705
36.939860 82.587 -89.5286
37.207542 82.571 -89.9060
37.477163 82.577 -90.3078
37.748738 82.604 -90.7379
38.022281 82.651 -91.1983
38.297806 82.719 -91.6892
38.575327 82.805 -92.2089
38.854860 82.909 -92.7536
39.136419 83.028 -93.3180
39.420017 83.164 -93.8954
39.705671 83.314 -94.4790
39.993395 83.478 -95.0620
40.283203 83.655 -95.6383
40.575112 83.845 -96.2035
40.869136 84.046 -96.7551
41.165290 84.259 -97.2927
41.463591 84.482 -97.8181
41.764053 84.712 -98.3347
42.066693 84.949 -98.8466
42.371525 85.190 -99.3575
42.678567 85.433 -99.8698
42.987834 85.675 -100.3836
43.299341 85.913 -100.8967
43.613106 86.146 -101.4048
43.929145 86.371 -101.9022
44.247473 86.586 -102.3834
44.568109 86.790 -102.8438
44.891068 86.982 -103.2805
45.216367 87.160 -103.6933
45.544023 87.322 -104.0841
45.874054 87.468 -104.4568
46.206476 87.596 -104.8162
46.541307 87.707 -105.1675
46.878565 87.799 -105.5149
47.218266 87.873 -105.8605
47.560429 87.929 -106.2045
47.905072 87.968 -106.5447
48.252212 87.991 -106.8768
48.601867 87.999 -107.1965
48.954056 87.994 -107.4999
49.308798 87.978 -107.7848
49.666109 87.953 -108.0519
50.026010 87.921 -108.3045
50.388520 87.885 -108.5480
50.753656 87.847 -108.7891
51.121437 87.809 -109.0348
51.491884 87.774 -109.2907
51.865016 87.742 -109.5607
52.240851 87.716 -109.8456
52.619410 87.696 -110.1438
53.000712 87.682 -110.4517
53.384777 87.673 -110.7651
53.771625 87.668 -111.0806
54.161276 87.666 -111.3965
54.553751 87.667 -111.7132
54.949070 87.667 -112.0328
55.347254 87.668 -112.3581
55.748323 87.666 -112.6918
56.152298 87.662 -113.0357
56.559201 87.655 -113.3904
56.969052 87.645 -113.7556
57.381873 87.632 -114.1302
57.797686 87.616 -114.5122
58.216512 87.598 -114.8981
58.638373 87.580 -115.2824
59.063291 87.560 -115.6581
59.491288 87.541 -116.0178
59.922386 87.523 -116.3557
60.356608 87.508 -116.6692
60.793977 87.495 -116.9595
61.234515 87.486 -117.2308
61.678246 87.479 -117.4890
62.125192 87.474 -117.7402
62.575377 87.470 -117.9897
63.028824 87.467 -118.2420
63.485557 87.464 -118.5005
63.945599 87.461 -118.7675
64.408975 87.459 -119.0450
64.875709 87.459 -119.3337
65.345825 87.459 -119.6343
65.819348 87.461 -119.9468
66.296302 87.465 -120.2708
66.776713 87.471 -120.6053
67.260604 87.479 -120.9487
67.748002 87.489 -121.2993
68.238932 87.501 -121.6552
68.733420 87.515 -122.0152
69.231490 87.532 -122.3789
69.733170 87.550 -122.7463
70.238485 87.570 -123.1178
70.747463 87.592 -123.4940
71.260128 87.615 -123.8746
71.776508 87.640 -124.2590
72.296630 87.667 -124.6461
72.820521 87.696 -125.0348
73.348209 87.727 -125.4236
73.879720 87.759 -125.8112
74.415083 87.792 -126.1962
74.954326 87.826 -126.5768
75.497475 87.860 -126.9512
76.044561 87.893 -127.3179
76.595612 87.924 -127.6763
77.150655 87.954 -128.0265
77.709720 87.981 -128.3693
78.272837 88.004 -128.7064
78.840034 88.024 -129.0396
79.411342 88.040 -129.3707
79.986789 88.051 -129.7015
80.566406 88.058 -130.0330
81.150224 88.062 -130.3658
81.738272 88.062 -130.6995
82.330581 88.060 -131.0333
82.927182 88.057 -131.3661
83.528107 88.055 -131.6966
84.133386 88.055 -132.0240
84.743051 88.061 -132.3483
85.357134 88.074 -132.6703
85.975667 88.097 -132.9919
86.598682 88.135 -133.3148
87.226212 88.189 -133.6403
87.858289 88.263 -133.9685
88.494946 88.360 -134.2980
89.136217 88.482 -134.6266
89.782135 88.627 -134.9516
90.432733 88.796 -135.2712
91.088046 88.985 -135.5844
91.748108 89.191 -135.8914
92.412952 89.408 -136.1935
93.082615 89.632 -136.4921
93.757130 89.856 -136.7889
94.436533 90.076 -137.0854
95.120859 90.287 -137.3830
95.810144 90.486 -137.6830
96.504423 90.669 -137.9870
97.203734 90.834 -138.2964
97.908112 90.983 -138.6123
98.617595 91.114 -138.9347
99.332219 91.229 -139.2627
100.052021 91.330 -139.5951
100.777039 91.418 -139.9307
101.507311 91.496 -140.2685
102.242875 91.566 -140.6084
102.983769 91.629 -140.9501
103.730032 91.686 -141.2942
104.481702 91.739 -141.6406
105.238820 91.786 -141.9896
106.001424 91.827 -142.3407
106.769554 91.860 -142.6927
107.543250 91.885 -143.0444
108.322553 91.900 -143.3944
109.107503 91.902 -143.7419
109.898141 91.891 -144.0865
110.694508 91.866 -144.4283
111.496646 91.827 -144.7678
112.304596 91.774 -145.1052
113.118402 91.709 -145.4407
113.938104 91.632 -145.7745
114.763747 91.546 -146.1063
115.595372 91.454 -146.4356
116.433024 91.357 -146.7620
117.276746 91.259 -147.0850
118.126581 91.160 -147.4045
118.982575 91.063 -147.7205
119.844772 90.968 -148.0330
120.713217 90.876 -148.3424
121.587954 90.786 -148.6487
122.469031 90.699 -148.9519
123.356492 90.612 -149.2518
124.250384 90.525 -149.5480
125.150753 90.436 -149.8399
126.057647 90.342 -150.1267
126.971113 90.244 -150.4075
127.891198 90.140 -150.6816
128.817950 90.029 -150.9483
129.751418 89.912 -151.2074
130.691651 89.788 -151.4587
131.638696 89.659 -151.7026
132.592604 89.527 -151.9394
133.553425 89.395 -152.1700
134.521208 89.264 -152.3954
135.496004 89.139 -152.6170
136.477864 89.022 -152.8361
137.466839 88.918 -153.0541
138.462981 88.829 -153.2722
139.466340 88.758 -153.4913
140.476971 88.705 -153.7122
141.494925 88.672 -153.9351
142.520256 88.658 -154.1597
143.553016 88.660 -154.3858
144.593260 88.675 -154.6130
145.641043 88.699 -154.8406
146.696418 88.729 -155.0679
147.759441 88.761 -155.2944
148.830166 88.791 -155.5193
149.908651 88.816 -155.7422
150.994951 88.835 -155.9630
152.089123 88.846 -156.1823
153.191223 88.849 -156.4008
154.301310 88.846 -156.6195
155.419441 88.838 -156.8395
156.545674 88.826 -157.0616
157.680069 88.812 -157.2868
158.822683 88.798 -157.5156
159.973578 88.786 -157.7488
161.132813 88.775 -157.9870
162.300447 88.768 -158.2309
163.476543 88.764 -158.4811
164.661162 88.764 -158.7378
165.854364 88.767 -159.0011
167.056213 88.775 -159.2710
168.266772 88.786 -159.5473
169.486102 88.801 -159.8299
170.714268 88.821 -160.1192
171.951334 88.844 -160.4155
173.197364 88.871 -160.7195
174.452424 88.901 -161.0317
175.716578 88.933 -161.3525
176.989893 88.966 -161.6820
178.272434 88.998 -162.0191
179.564270 89.029 -162.3621
180.865467 89.056 -162.7076
182.176092 89.077 -163.0510
183.496216 89.091 -163.3861
184.825905 89.097 -163.7058
186.165229 89.096 -164.0019
187.514259 89.086 -164.2663
188.873065 89.070 -164.4919
190.241717 89.048 -164.6733
191.620287 89.023 -164.8073
193.008847 88.998 -164.8933
194.407468 88.973 -164.9327
195.816225 88.951 -164.9281
197.235190 88.933 -164.8832
198.664438 88.920 -164.8020
200.104042 88.912 -164.6893
201.554078 88.911 -164.5510
203.014622 88.916 -164.3937
204.485750 88.927 -164.2257
205.967538 88.942 -164.0562
207.460064 88.963 -163.8951
208.963405 88.987 -163.7523
210.477640 89.014 -163.6367
212.002848 89.042 -163.5558
213.539108 89.071 -163.5144
215.086500 89.100 -163.5148
216.645105 89.127 -163.5566
218.215005 89.152 -163.6374
219.796281 89.173 -163.7531
221.389015 89.190 -163.8985
222.993292 89.201 -164.0683
224.609193 89.207 -164.2573
226.236804 89.206 -164.4608
227.876209 89.197 -164.6748
229.527494 89.181 -164.8958
231.190745 89.158 -165.1211
232.866048 89.126 -165.3481
234.553491 89.088 -165.5747
236.253163 89.043 -165.7993
237.965150 88.993 -166.0206
239.689544 88.939 -166.2378
241.426433 88.881 -166.4506
243.175909 88.821 -166.6586
244.938062 88.761 -166.8620
246.712984 88.700 -167.0611
248.500768 88.641 -167.2560
250.301507 88.584 -167.4472
252.115295 88.529 -167.6351
253.942226 88.478 -167.8199
255.782396 88.432 -168.0022
257.635901 88.390 -168.1823
259.502837 88.353 -168.3607
261.383301 88.321 -168.5374
263.277392 88.296 -168.7127
265.185209 88.276 -168.8864
267.106850 88.262 -169.0586
269.042417 88.254 -169.2292
270.992009 88.251 -169.3979
272.955729 88.253 -169.5645
274.933678 88.260 -169.7287
276.925961 88.270 -169.8902
278.932681 88.283 -170.0490
280.953942 88.299 -170.2049
282.989850 88.317 -170.3578
285.040511 88.337 -170.5073
287.106032 88.361 -170.6529
289.186521 88.388 -170.7943
291.282086 88.420 -170.9310
293.392836 88.456 -171.0631
295.518881 88.498 -171.1906
297.660333 88.545 -171.3141
299.817302 88.598 -171.4341
301.989902 88.655 -171.5511
304.178245 88.715 -171.6657
306.382446 88.777 -171.7782
308.602620 88.839 -171.8890
310.838882 88.899 -171.9979
313.091348 88.956 -172.1049
315.360137 89.008 -172.2098
317.645367 89.054 -172.3124
319.947156 89.092 -172.4128
322.265625 89.123 -172.5114
324.600895 89.144 -172.6084
326.953086 89.156 -172.7044
329.322323 89.158 -172.7997
331.708729 89.150 -172.8946
