* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 10:05:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AKG K701 R5
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 80.956 -38.6868
20.287556 80.947 -38.9914
20.434568 80.935 -39.4019
20.582645 80.917 -39.9084
20.731796 80.893 -40.4995
20.882027 80.863 -41.1627
21.033346 80.824 -41.8849
21.185763 80.780 -42.6524
21.339284 80.730 -43.4515
21.493917 80.675 -44.2682
21.649671 80.619 -45.0892
21.806553 80.563 -45.9019
21.964572 80.510 -46.6949
22.123737 80.462 -47.4588
22.284054 80.421 -48.1865
22.445534 80.388 -48.8731
22.608183 80.365 -49.5168
22.772012 80.352 -50.1178
22.937027 80.349 -50.6791
23.103238 80.356 -51.2048
23.270654 80.372 -51.7008
23.439282 80.396 -52.1732
23.609133 80.428 -52.6285
23.780215 80.465 -53.0730
23.952536 80.509 -53.5123
24.126106 80.558 -53.9521
24.300934 80.612 -54.3975
24.477028 80.672 -54.8532
24.654399 80.737 -55.3242
24.833055 80.807 -55.8150
25.013005 80.883 -56.3302
25.194260 80.964 -56.8736
25.376828 81.050 -57.4480
25.560719 81.139 -58.0546
25.745942 81.231 -58.6925
25.932508 81.324 -59.3578
26.120426 81.415 -60.0442
26.309705 81.505 -60.7426
26.500356 81.590 -61.4419
26.692388 81.669 -62.1295
26.885812 81.743 -62.7931
27.080638 81.810 -63.4211
27.276876 81.872 -64.0044
27.474535 81.929 -64.5373
27.673627 81.983 -65.0182
27.874161 82.038 -65.4499
28.076149 82.096 -65.8397
28.279600 82.161 -66.1988
28.484526 82.237 -66.5410
28.690937 82.326 -66.8821
28.898843 82.432 -67.2374
29.108256 82.555 -67.6211
29.319186 82.696 -68.0443
29.531645 82.855 -68.5146
29.745644 83.027 -69.0348
29.961193 83.211 -69.6036
30.178304 83.400 -70.2157
30.396989 83.590 -70.8623
30.617258 83.775 -71.5329
30.839123 83.949 -72.2160
31.062596 84.108 -72.9007
31.287688 84.246 -73.5774
31.514412 84.359 -74.2393
31.742778 84.445 -74.8818
31.972800 84.500 -75.5034
32.204488 84.524 -76.1052
32.437855 84.516 -76.6902
32.672913 84.477 -77.2626
32.909674 84.408 -77.8273
33.148151 84.313 -78.3893
33.388356 84.195 -78.9534
33.630302 84.058 -79.5236
33.874001 83.908 -80.1028
34.119466 83.750 -80.6932
34.366710 83.589 -81.2954
34.615745 83.429 -81.9089
34.866585 83.276 -82.5315
35.119243 83.133 -83.1603
35.373731 83.003 -83.7915
35.630064 82.888 -84.4213
35.888254 82.790 -85.0462
36.148315 82.710 -85.6638
36.410261 82.649 -86.2722
36.674104 82.607 -86.8707
36.939860 82.584 -87.4582
37.207542 82.580 -88.0336
37.477163 82.593 -88.5950
37.748738 82.625 -89.1399
38.022281 82.675 -89.6656
38.297806 82.743 -90.1705
38.575327 82.830 -90.6547
38.854860 82.934 -91.1205
39.136419 83.058 -91.5727
39.420017 83.199 -92.0179
39.705671 83.357 -92.4628
39.993395 83.530 -92.9130
40.283203 83.716 -93.3717
40.575112 83.914 -93.8391
40.869136 84.122 -94.3124
41.165290 84.338 -94.7874
41.463591 84.561 -95.2593
41.764053 84.789 -95.7245
42.066693 85.023 -96.1814
42.371525 85.258 -96.6305
42.678567 85.495 -97.0742
42.987834 85.731 -97.5153
43.299341 85.962 -97.9558
43.613106 86.186 -98.3959
43.929145 86.401 -98.8330
44.247473 86.605 -99.2626
44.568109 86.797 -99.6788
44.891068 86.974 -100.0754
45.216367 87.138 -100.4475
45.544023 87.287 -100.7927
45.874054 87.422 -101.1113
46.206476 87.543 -101.4065
46.541307 87.650 -101.6838
46.878565 87.744 -101.9500
47.218266 87.824 -102.2122
47.560429 87.891 -102.4770
47.905072 87.945 -102.7500
48.252212 87.987 -103.0354
48.601867 88.017 -103.3364
48.954056 88.036 -103.6554
49.308798 88.044 -103.9934
49.666109 88.043 -104.3500
50.026010 88.033 -104.7231
50.388520 88.014 -105.1084
50.753656 87.988 -105.5003
51.121437 87.954 -105.8931
51.491884 87.915 -106.2818
51.865016 87.872 -106.6642
52.240851 87.827 -107.0409
52.619410 87.783 -107.4157
53.000712 87.741 -107.7949
53.384777 87.706 -108.1856
53.771625 87.678 -108.5943
54.161276 87.659 -109.0250
54.553751 87.650 -109.4782
54.949070 87.649 -109.9508
55.347254 87.655 -110.4367
55.748323 87.664 -110.9286
56.152298 87.676 -111.4194
56.559201 87.685 -111.9036
56.969052 87.691 -112.3778
57.381873 87.692 -112.8402
57.797686 87.688 -113.2895
58.216512 87.678 -113.7236
58.638373 87.664 -114.1390
59.063291 87.646 -114.5311
59.491288 87.626 -114.8951
59.922386 87.605 -115.2285
60.356608 87.585 -115.5326
60.793977 87.566 -115.8125
61.234515 87.548 -116.0765
61.678246 87.531 -116.3334
62.125192 87.515 -116.5905
62.575377 87.500 -116.8527
63.028824 87.484 -117.1221
63.485557 87.469 -117.3992
63.945599 87.454 -117.6832
64.408975 87.441 -117.9725
64.875709 87.430 -118.2661
65.345825 87.423 -118.5628
65.819348 87.420 -118.8626
66.296302 87.423 -119.1655
66.776713 87.431 -119.4716
67.260604 87.445 -119.7804
67.748002 87.462 -120.0911
68.238932 87.483 -120.4031
68.733420 87.506 -120.7161
69.231490 87.532 -121.0308
69.733170 87.558 -121.3486
70.238485 87.585 -121.6703
70.747463 87.612 -121.9966
71.260128 87.640 -122.3268
71.776508 87.668 -122.6599
72.296630 87.697 -122.9942
72.820521 87.726 -123.3281
73.348209 87.756 -123.6605
73.879720 87.787 -123.9911
74.415083 87.819 -124.3201
74.954326 87.852 -124.6481
75.497475 87.885 -124.9757
76.044561 87.918 -125.3031
76.595612 87.951 -125.6303
77.150655 87.983 -125.9576
77.709720 88.013 -126.2853
78.272837 88.042 -126.6143
78.840034 88.067 -126.9457
79.411342 88.089 -127.2807
79.986789 88.107 -127.6199
80.566406 88.121 -127.9636
81.150224 88.132 -128.3115
81.738272 88.139 -128.6627
82.330581 88.144 -129.0166
82.927182 88.147 -129.3720
83.528107 88.150 -129.7283
84.133386 88.155 -130.0845
84.743051 88.165 -130.4397
85.357134 88.181 -130.7928
85.975667 88.208 -131.1434
86.598682 88.249 -131.4910
87.226212 88.305 -131.8359
87.858289 88.382 -132.1788
88.494946 88.479 -132.5208
89.136217 88.600 -132.8629
89.782135 88.745 -133.2061
90.432733 88.912 -133.5508
91.088046 89.099 -133.8967
91.748108 89.302 -134.2430
92.412952 89.517 -134.5885
93.082615 89.739 -134.9317
93.757130 89.962 -135.2711
94.436533 90.180 -135.6056
95.120859 90.388 -135.9348
95.810144 90.584 -136.2582
96.504423 90.764 -136.5762
97.203734 90.926 -136.8891
97.908112 91.070 -137.1972
98.617595 91.196 -137.5011
99.332219 91.307 -137.8014
100.052021 91.403 -138.0986
100.777039 91.488 -138.3930
101.507311 91.562 -138.6850
102.242875 91.629 -138.9745
102.983769 91.690 -139.2616
103.730032 91.746 -139.5460
104.481702 91.796 -139.8279
105.238820 91.842 -140.1077
106.001424 91.882 -140.3860
106.769554 91.915 -140.6635
107.543250 91.939 -140.9411
108.322553 91.953 -141.2197
109.107503 91.954 -141.5000
109.898141 91.943 -141.7831
110.694508 91.918 -142.0692
111.496646 91.881 -142.3587
112.304596 91.832 -142.6510
113.118402 91.772 -142.9457
113.938104 91.704 -143.2424
114.763747 91.629 -143.5409
115.595372 91.549 -143.8411
116.433024 91.467 -144.1435
117.276746 91.384 -144.4483
118.126581 91.301 -144.7561
118.982575 91.221 -145.0673
119.844772 91.143 -145.3817
120.713217 91.067 -145.6994
121.587954 90.994 -146.0202
122.469031 90.923 -146.3444
123.356492 90.852 -146.6721
124.250384 90.779 -147.0035
125.150753 90.704 -147.3383
126.057647 90.625 -147.6762
126.971113 90.541 -148.0165
127.891198 90.450 -148.3586
128.817950 90.352 -148.7020
129.751418 90.246 -149.0461
130.691651 90.133 -149.3901
131.638696 90.013 -149.7325
132.592604 89.889 -150.0715
133.553425 89.761 -150.4054
134.521208 89.634 -150.7325
135.496004 89.510 -151.0519
136.477864 89.393 -151.3634
137.466839 89.287 -151.6673
138.462981 89.194 -151.9637
139.466340 89.118 -152.2527
140.476971 89.061 -152.5343
141.494925 89.022 -152.8082
142.520256 89.002 -153.0744
143.553016 88.998 -153.3331
144.593260 89.008 -153.5848
145.641043 89.027 -153.8309
146.696418 89.053 -154.0727
147.759441 89.081 -154.3116
148.830166 89.108 -154.5491
149.908651 89.130 -154.7865
150.994951 89.146 -155.0252
152.089123 89.156 -155.2668
153.191223 89.158 -155.5128
154.301310 89.155 -155.7645
155.419441 89.146 -156.0224
156.545674 89.134 -156.2859
157.680069 89.120 -156.5533
158.822683 89.107 -156.8222
159.973578 89.095 -157.0898
161.132813 89.085 -157.3539
162.300447 89.079 -157.6134
163.476543 89.075 -157.8685
164.661162 89.076 -158.1210
165.854364 89.081 -158.3735
167.056213 89.090 -158.6286
168.266772 89.104 -158.8893
169.486102 89.122 -159.1583
170.714268 89.145 -159.4378
171.951334 89.173 -159.7298
173.197364 89.205 -160.0359
174.452424 89.241 -160.3571
175.716578 89.280 -160.6944
176.989893 89.322 -161.0480
178.272434 89.364 -161.4180
179.564270 89.405 -161.8040
180.865467 89.443 -162.2045
182.176092 89.476 -162.6171
183.496216 89.502 -163.0378
184.825905 89.520 -163.4608
186.165229 89.528 -163.8790
187.514259 89.527 -164.2835
188.873065 89.517 -164.6650
190.241717 89.499 -165.0146
191.620287 89.474 -165.3252
193.008847 89.446 -165.5924
194.407468 89.416 -165.8155
195.816225 89.386 -165.9969
197.235190 89.359 -166.1422
198.664438 89.333 -166.2590
200.104042 89.310 -166.3556
201.554078 89.289 -166.4397
203.014622 89.268 -166.5178
204.485750 89.247 -166.5939
205.967538 89.225 -166.6697
207.460064 89.199 -166.7445
208.963405 89.169 -166.8151
210.477640 89.134 -166.8769
212.002848 89.095 -166.9241
213.539108 89.052 -166.9501
215.086500 89.004 -166.9478
216.645105 88.953 -166.9103
218.215005 88.900 -166.8306
219.796281 88.846 -166.7030
221.389015 88.792 -166.5236
222.993292 88.740 -166.2914
224.609193 88.691 -166.0092
226.236804 88.645 -165.6839
227.876209 88.605 -165.3262
229.527494 88.569 -164.9500
231.190745 88.539 -164.5714
232.866048 88.515 -164.2069
234.553491 88.496 -163.8722
236.253163 88.481 -163.5806
237.965150 88.470 -163.3417
239.689544 88.463 -163.1614
241.426433 88.457 -163.0418
243.175909 88.453 -162.9816
244.938062 88.449 -162.9773
246.712984 88.445 -163.0238
248.500768 88.441 -163.1149
250.301507 88.436 -163.2446
252.115295 88.432 -163.4066
253.942226 88.427 -163.5952
255.782396 88.423 -163.8050
257.635901 88.419 -164.0314
259.502837 88.417 -164.2700
261.383301 88.418 -164.5170
263.277392 88.420 -164.7692
265.185209 88.426 -165.0233
267.106850 88.435 -165.2770
269.042417 88.447 -165.5284
270.992009 88.463 -165.7759
272.955729 88.481 -166.0187
274.933678 88.502 -166.2563
276.925961 88.525 -166.4886
278.932681 88.550 -166.7152
280.953942 88.577 -166.9363
282.989850 88.604 -167.1520
285.040511 88.633 -167.3628
287.106032 88.663 -167.5691
289.186521 88.697 -167.7715
291.282086 88.733 -167.9704
293.392836 88.774 -168.1664
295.518881 88.820 -168.3601
297.660333 88.872 -168.5517
299.817302 88.928 -168.7415
301.989902 88.989 -168.9292
304.178245 89.052 -169.1144
306.382446 89.117 -169.2968
308.602620 89.182 -169.4759
310.838882 89.245 -169.6512
313.091348 89.304 -169.8222
315.360137 89.357 -169.9887
317.645367 89.404 -170.1504
319.947156 89.443 -170.3073
322.265625 89.473 -170.4595
324.600895 89.494 -170.6068
326.953086 89.505 -170.7494
329.322323 89.505 -170.8872
331.708729 89.495 -171.0205
