* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 9:20:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KSC75 L9
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 86.204 10.3667
20.287556 86.246 10.3602
20.434568 86.301 10.3405
20.582645 86.364 10.2938
20.731796 86.431 10.2050
20.882027 86.498 10.0588
21.033346 86.562 9.8412
21.185763 86.618 9.5412
21.339284 86.664 9.1506
21.493917 86.700 8.6658
21.649671 86.723 8.0867
21.806553 86.735 7.4173
21.964572 86.736 6.6649
22.123737 86.728 5.8394
22.284054 86.714 4.9529
22.445534 86.695 4.0184
22.608183 86.675 3.0499
22.772012 86.658 2.0608
22.937027 86.647 1.0643
23.103238 86.644 0.0720
23.270654 86.652 -0.9056
23.439282 86.673 -1.8595
23.609133 86.709 -2.7824
23.780215 86.758 -3.6686
23.952536 86.822 -4.5137
24.126106 86.898 -5.3148
24.300934 86.987 -6.0703
24.477028 87.085 -6.7800
24.654399 87.191 -7.4453
24.833055 87.302 -8.0690
25.013005 87.416 -8.6555
25.194260 87.532 -9.2104
25.376828 87.646 -9.7406
25.560719 87.759 -10.2539
25.745942 87.868 -10.7581
25.932508 87.972 -11.2605
26.120426 88.071 -11.7677
26.309705 88.165 -12.2844
26.500356 88.254 -12.8139
26.692388 88.339 -13.3575
26.885812 88.420 -13.9148
27.080638 88.500 -14.4844
27.276876 88.580 -15.0640
27.474535 88.662 -15.6513
27.673627 88.748 -16.2440
27.874161 88.842 -16.8404
28.076149 88.945 -17.4389
28.279600 89.058 -18.0381
28.484526 89.185 -18.6362
28.690937 89.325 -19.2304
28.898843 89.480 -19.8172
29.108256 89.648 -20.3921
29.319186 89.831 -20.9501
29.531645 90.026 -21.4862
29.745644 90.233 -21.9964
29.961193 90.448 -22.4783
30.178304 90.668 -22.9319
30.396989 90.891 -23.3597
30.617258 91.113 -23.7666
30.839123 91.328 -24.1593
31.062596 91.532 -24.5454
31.287688 91.721 -24.9320
31.514412 91.891 -25.3250
31.742778 92.037 -25.7280
31.972800 92.156 -26.1425
32.204488 92.248 -26.5679
32.437855 92.309 -27.0023
32.672913 92.342 -27.4437
32.909674 92.346 -27.8908
33.148151 92.324 -28.3435
33.388356 92.279 -28.8034
33.630302 92.214 -29.2732
33.874001 92.134 -29.7561
34.119466 92.041 -30.2553
34.366710 91.941 -30.7726
34.615745 91.838 -31.3087
34.866585 91.735 -31.8625
35.119243 91.638 -32.4319
35.373731 91.551 -33.0141
35.630064 91.478 -33.6060
35.888254 91.421 -34.2050
36.148315 91.384 -34.8084
36.410261 91.369 -35.4137
36.674104 91.376 -36.0183
36.939860 91.406 -36.6190
37.207542 91.459 -37.2126
37.477163 91.534 -37.7958
37.748738 91.630 -38.3661
38.022281 91.746 -38.9224
38.297806 91.883 -39.4649
38.575327 92.039 -39.9958
38.854860 92.214 -40.5181
39.136419 92.408 -41.0357
39.420017 92.618 -41.5520
39.705671 92.846 -42.0694
39.993395 93.089 -42.5895
40.283203 93.348 -43.1126
40.575112 93.620 -43.6385
40.869136 93.904 -44.1669
41.165290 94.199 -44.6983
41.463591 94.503 -45.2337
41.764053 94.813 -45.7748
42.066693 95.127 -46.3241
42.371525 95.443 -46.8836
42.678567 95.756 -47.4552
42.987834 96.065 -48.0399
43.299341 96.368 -48.6378
43.613106 96.661 -49.2479
43.929145 96.945 -49.8682
44.247473 97.216 -50.4959
44.568109 97.475 -51.1275
44.891068 97.719 -51.7591
45.216367 97.949 -52.3869
45.544023 98.163 -53.0073
45.874054 98.361 -53.6178
46.206476 98.542 -54.2167
46.541307 98.707 -54.8039
46.878565 98.853 -55.3807
47.218266 98.982 -55.9496
47.560429 99.094 -56.5136
47.905072 99.190 -57.0763
48.252212 99.270 -57.6412
48.601867 99.336 -58.2111
48.954056 99.390 -58.7882
49.308798 99.435 -59.3738
49.666109 99.472 -59.9680
50.026010 99.504 -60.5705
50.388520 99.535 -61.1798
50.753656 99.564 -61.7943
51.121437 99.594 -62.4116
51.491884 99.627 -63.0296
51.865016 99.662 -63.6461
52.240851 99.702 -64.2597
52.619410 99.745 -64.8694
53.000712 99.792 -65.4751
53.384777 99.842 -66.0768
53.771625 99.895 -66.6752
54.161276 99.951 -67.2708
54.553751 100.007 -67.8643
54.949070 100.064 -68.4562
55.347254 100.119 -69.0472
55.748323 100.173 -69.6381
56.152298 100.224 -70.2297
56.559201 100.273 -70.8230
56.969052 100.317 -71.4192
57.381873 100.359 -72.0198
57.797686 100.398 -72.6262
58.216512 100.433 -73.2402
58.638373 100.466 -73.8634
59.063291 100.496 -74.4974
59.491288 100.524 -75.1433
59.922386 100.551 -75.8015
60.356608 100.576 -76.4712
60.793977 100.601 -77.1509
61.234515 100.624 -77.8380
61.678246 100.648 -78.5297
62.125192 100.672 -79.2232
62.575377 100.697 -79.9164
63.028824 100.723 -80.6077
63.485557 100.751 -81.2968
63.945599 100.780 -81.9835
64.408975 100.811 -82.6684
64.875709 100.844 -83.3522
65.345825 100.880 -84.0352
65.819348 100.918 -84.7179
66.296302 100.959 -85.4003
66.776713 101.003 -86.0827
67.260604 101.049 -86.7653
67.748002 101.098 -87.4487
68.238932 101.149 -88.1336
68.733420 101.203 -88.8206
69.231490 101.259 -89.5104
69.733170 101.316 -90.2033
70.238485 101.376 -90.8997
70.747463 101.436 -91.5997
71.260128 101.498 -92.3035
71.776508 101.561 -93.0113
72.296630 101.624 -93.7231
72.820521 101.688 -94.4391
73.348209 101.753 -95.1591
73.879720 101.818 -95.8828
74.415083 101.882 -96.6101
74.954326 101.947 -97.3406
75.497475 102.010 -98.0742
76.044561 102.073 -98.8110
76.595612 102.134 -99.5508
77.150655 102.193 -100.2940
77.709720 102.250 -101.0405
78.272837 102.303 -101.7902
78.840034 102.353 -102.5430
79.411342 102.398 -103.2986
79.986789 102.439 -104.0567
80.566406 102.476 -104.8172
81.150224 102.508 -105.5796
81.738272 102.536 -106.3437
82.330581 102.561 -107.1093
82.927182 102.583 -107.8758
83.528107 102.604 -108.6430
84.133386 102.626 -109.4105
84.743051 102.652 -110.1780
85.357134 102.683 -110.9452
85.975667 102.724 -111.7120
86.598682 102.776 -112.4779
87.226212 102.845 -113.2427
87.858289 102.932 -114.0059
88.494946 103.040 -114.7670
89.136217 103.170 -115.5255
89.782135 103.323 -116.2808
90.432733 103.498 -117.0324
91.088046 103.691 -117.7798
91.748108 103.900 -118.5224
92.412952 104.119 -119.2597
93.082615 104.344 -119.9914
93.757130 104.569 -120.7172
94.436533 104.789 -121.4368
95.120859 104.999 -122.1500
95.810144 105.196 -122.8566
96.504423 105.377 -123.5563
97.203734 105.540 -124.2490
97.908112 105.684 -124.9345
98.617595 105.811 -125.6126
99.332219 105.921 -126.2834
100.052021 106.016 -126.9470
100.777039 106.099 -127.6037
101.507311 106.172 -128.2541
102.242875 106.237 -128.8990
102.983769 106.295 -129.5393
103.730032 106.347 -130.1760
104.481702 106.395 -130.8101
105.238820 106.438 -131.4423
106.001424 106.476 -132.0733
106.769554 106.506 -132.7034
107.543250 106.528 -133.3331
108.322553 106.540 -133.9625
109.107503 106.539 -134.5917
109.898141 106.526 -135.2205
110.694508 106.499 -135.8486
111.496646 106.459 -136.4758
112.304596 106.405 -137.1018
113.118402 106.339 -137.7263
113.938104 106.262 -138.3493
114.763747 106.177 -138.9706
115.595372 106.086 -139.5900
116.433024 105.992 -140.2074
117.276746 105.895 -140.8226
118.126581 105.799 -141.4356
118.982575 105.704 -142.0462
119.844772 105.611 -142.6547
120.713217 105.520 -143.2610
121.587954 105.432 -143.8650
122.469031 105.345 -144.4668
123.356492 105.258 -145.0662
124.250384 105.170 -145.6629
125.150753 105.079 -146.2567
126.057647 104.985 -146.8473
126.971113 104.885 -147.4343
127.891198 104.779 -148.0174
128.817950 104.665 -148.5963
129.751418 104.544 -149.1707
130.691651 104.417 -149.7404
131.638696 104.283 -150.3050
132.592604 104.144 -150.8641
133.553425 104.002 -151.4176
134.521208 103.861 -151.9651
135.496004 103.723 -152.5064
136.477864 103.592 -153.0413
137.466839 103.471 -153.5697
138.462981 103.363 -154.0914
139.466340 103.271 -154.6064
140.476971 103.197 -155.1144
141.494925 103.141 -155.6154
142.520256 103.102 -156.1093
143.553016 103.080 -156.5959
144.593260 103.070 -157.0751
145.641043 103.070 -157.5469
146.696418 103.076 -158.0112
147.759441 103.083 -158.4678
148.830166 103.089 -158.9167
149.908651 103.090 -159.3576
150.994951 103.084 -159.7905
152.089123 103.071 -160.2152
153.191223 103.050 -160.6316
154.301310 103.022 -161.0392
155.419441 102.988 -161.4379
156.545674 102.950 -161.8270
157.680069 102.910 -162.2065
158.822683 102.870 -162.5759
159.973578 102.830 -162.9353
161.132813 102.793 -163.2848
162.300447 102.759 -163.6245
163.476543 102.729 -163.9548
164.661162 102.704 -164.2762
165.854364 102.684 -164.5894
167.056213 102.669 -164.8953
168.266772 102.659 -165.1949
169.486102 102.655 -165.4897
170.714268 102.657 -165.7813
171.951334 102.666 -166.0716
173.197364 102.681 -166.3629
174.452424 102.702 -166.6577
175.716578 102.729 -166.9585
176.989893 102.762 -167.2680
178.272434 102.798 -167.5885
179.564270 102.836 -167.9224
180.865467 102.876 -168.2715
182.176092 102.914 -168.6372
183.496216 102.950 -169.0201
184.825905 102.983 -169.4203
186.165229 103.010 -169.8369
187.514259 103.032 -170.2685
188.873065 103.048 -170.7130
190.241717 103.059 -171.1676
191.620287 103.065 -171.6295
193.008847 103.067 -172.0954
194.407468 103.064 -172.5622
195.816225 103.059 -173.0268
197.235190 103.050 -173.4865
198.664438 103.038 -173.9388
200.104042 103.024 -174.3813
201.554078 103.007 -174.8126
203.014622 102.987 -175.2310
204.485750 102.964 -175.6358
205.967538 102.937 -176.0262
207.460064 102.907 -176.4018
208.963405 102.873 -176.7623
210.477640 102.836 -177.1078
212.002848 102.795 -177.4387
213.539108 102.752 -177.7555
215.086500 102.707 -178.0592
216.645105 102.660 -178.3507
218.215005 102.611 -178.6312
219.796281 102.561 -178.9018
221.389015 102.510 -179.1634
222.993292 102.456 -179.4169
224.609193 102.400 -179.6630
226.236804 102.341 -179.9026
227.876209 102.278 179.8640
229.527494 102.210 179.6362
231.190745 102.138 179.4138
232.866048 102.060 179.1964
234.553491 101.978 178.9840
236.253163 101.891 178.7762
237.965150 101.801 178.5728
239.689544 101.708 178.3734
241.426433 101.614 178.1778
243.175909 101.518 177.9858
244.938062 101.422 177.7973
246.712984 101.328 177.6124
248.500768 101.235 177.4312
250.301507 101.145 177.2538
252.115295 101.058 177.0806
253.942226 100.975 176.9115
255.782396 100.897 176.7469
257.635901 100.824 176.5865
259.502837 100.757 176.4305
261.383301 100.696 176.2787
263.277392 100.641 176.1311
265.185209 100.592 175.9872
267.106850 100.551 175.8470
269.042417 100.515 175.7101
270.992009 100.486 175.5762
272.955729 100.462 175.4453
274.933678 100.443 175.3172
276.925961 100.428 175.1918
278.932681 100.417 175.0691
280.953942 100.409 174.9492
282.989850 100.404 174.8323
285.040511 100.402 174.7185
287.106032 100.402 174.6078
289.186521 100.407 174.5000
291.282086 100.416 174.3950
293.392836 100.430 174.2924
295.518881 100.450 174.1921
297.660333 100.476 174.0938
299.817302 100.508 173.9975
301.989902 100.545 173.9030
304.178245 100.586 173.8102
306.382446 100.630 173.7191
308.602620 100.674 173.6299
310.838882 100.716 173.5425
313.091348 100.756 173.4571
315.360137 100.791 173.3738
317.645367 100.821 173.2926
319.947156 100.843 173.2136
322.265625 100.857 173.1365
324.600895 100.862 173.0615
326.953086 100.857 172.9883
329.322323 100.843 172.9168
331.708729 100.819 172.8472
334.112427 100.784 172.7793
336.533543 100.739 172.7132
338.972204 100.684 172.6488
341.428536 100.619 172.5861
343.902668 100.547 172.5250
346.394729 100.467 172.4654
