* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 9:26:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KSC75 R7
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.874 2.9346
20.287556 85.902 2.7578
20.434568 85.939 2.5204
20.582645 85.979 2.2276
20.731796 86.020 1.8845
20.882027 86.057 1.4955
21.033346 86.088 1.0644
21.185763 86.110 0.5940
21.339284 86.123 0.0867
21.493917 86.126 -0.4551
21.649671 86.119 -1.0288
21.806553 86.104 -1.6313
21.964572 86.082 -2.2589
22.123737 86.054 -2.9069
22.284054 86.024 -3.5702
22.445534 85.993 -4.2437
22.608183 85.964 -4.9217
22.772012 85.941 -5.5997
22.937027 85.926 -6.2733
23.103238 85.920 -6.9395
23.270654 85.928 -7.5962
23.439282 85.949 -8.2425
23.609133 85.985 -8.8781
23.780215 86.037 -9.5032
23.952536 86.105 -10.1180
24.126106 86.186 -10.7225
24.300934 86.281 -11.3160
24.477028 86.387 -11.8973
24.654399 86.501 -12.4648
24.833055 86.623 -13.0166
25.013005 86.749 -13.5513
25.194260 86.877 -14.0679
25.376828 87.006 -14.5671
25.560719 87.134 -15.0509
25.745942 87.260 -15.5226
25.932508 87.383 -15.9873
26.120426 87.501 -16.4508
26.309705 87.615 -16.9191
26.500356 87.723 -17.3979
26.692388 87.825 -17.8919
26.885812 87.921 -18.4040
27.080638 88.011 -18.9355
27.276876 88.096 -19.4856
27.474535 88.177 -20.0523
27.673627 88.255 -20.6324
27.874161 88.333 -21.2225
28.076149 88.414 -21.8194
28.279600 88.501 -22.4203
28.484526 88.597 -23.0234
28.690937 88.705 -23.6279
28.898843 88.828 -24.2332
29.108256 88.966 -24.8393
29.319186 89.121 -25.4458
29.531645 89.292 -26.0522
29.745644 89.478 -26.6571
29.961193 89.676 -27.2592
30.178304 89.881 -27.8566
30.396989 90.091 -28.4479
30.617258 90.300 -29.0321
30.839123 90.504 -29.6090
31.062596 90.698 -30.1792
31.287688 90.878 -30.7445
31.514412 91.039 -31.3069
31.742778 91.179 -31.8689
31.972800 91.293 -32.4328
32.204488 91.381 -33.0006
32.437855 91.442 -33.5735
32.672913 91.474 -34.1518
32.909674 91.479 -34.7351
33.148151 91.459 -35.3220
33.388356 91.416 -35.9105
33.630302 91.353 -36.4981
33.874001 91.274 -37.0821
34.119466 91.184 -37.6596
34.366710 91.087 -38.2281
34.615745 90.987 -38.7856
34.866585 90.890 -39.3308
35.119243 90.798 -39.8635
35.373731 90.716 -40.3844
35.630064 90.648 -40.8951
35.888254 90.595 -41.3978
36.148315 90.560 -41.8953
36.410261 90.545 -42.3901
36.674104 90.550 -42.8847
36.939860 90.577 -43.3812
37.207542 90.627 -43.8814
37.477163 90.698 -44.3870
37.748738 90.792 -44.8996
38.022281 90.909 -45.4209
38.297806 91.047 -45.9525
38.575327 91.206 -46.4958
38.854860 91.385 -47.0516
39.136419 91.582 -47.6198
39.420017 91.796 -48.1991
39.705671 92.026 -48.7875
39.993395 92.269 -49.3819
40.283203 92.526 -49.9792
40.575112 92.794 -50.5760
40.869136 93.073 -51.1700
41.165290 93.360 -51.7592
41.463591 93.656 -52.3428
41.764053 93.958 -52.9204
42.066693 94.264 -53.4924
42.371525 94.571 -54.0598
42.678567 94.879 -54.6237
42.987834 95.184 -55.1858
43.299341 95.484 -55.7479
43.613106 95.776 -56.3119
43.929145 96.059 -56.8795
44.247473 96.330 -57.4519
44.568109 96.588 -58.0298
44.891068 96.830 -58.6133
45.216367 97.057 -59.2016
45.544023 97.266 -59.7937
45.874054 97.457 -60.3882
46.206476 97.629 -60.9837
46.541307 97.783 -61.5785
46.878565 97.918 -62.1713
47.218266 98.035 -62.7614
47.560429 98.136 -63.3483
47.905072 98.220 -63.9330
48.252212 98.291 -64.5168
48.601867 98.350 -65.1021
48.954056 98.398 -65.6914
49.308798 98.439 -66.2869
49.666109 98.474 -66.8899
50.026010 98.505 -67.5004
50.388520 98.534 -68.1176
50.753656 98.561 -68.7397
51.121437 98.589 -69.3647
51.491884 98.617 -69.9906
51.865016 98.648 -70.6159
52.240851 98.682 -71.2396
52.619410 98.718 -71.8609
53.000712 98.758 -72.4796
53.384777 98.801 -73.0958
53.771625 98.847 -73.7097
54.161276 98.895 -74.3222
54.553751 98.944 -74.9343
54.949070 98.994 -75.5471
55.347254 99.044 -76.1621
55.748323 99.093 -76.7809
56.152298 99.139 -77.4048
56.559201 99.184 -78.0347
56.969052 99.226 -78.6713
57.381873 99.265 -79.3143
57.797686 99.301 -79.9630
58.216512 99.334 -80.6158
58.638373 99.364 -81.2708
59.063291 99.391 -81.9260
59.491288 99.415 -82.5792
59.922386 99.436 -83.2289
60.356608 99.454 -83.8742
60.793977 99.471 -84.5154
61.234515 99.487 -85.1532
61.678246 99.502 -85.7892
62.125192 99.517 -86.4249
62.575377 99.534 -87.0617
63.028824 99.551 -87.7007
63.485557 99.571 -88.3427
63.945599 99.592 -88.9887
64.408975 99.616 -89.6392
64.875709 99.643 -90.2946
65.345825 99.672 -90.9551
65.819348 99.705 -91.6206
66.296302 99.741 -92.2910
66.776713 99.781 -92.9656
67.260604 99.823 -93.6438
67.748002 99.868 -94.3246
68.238932 99.916 -95.0072
68.733420 99.965 -95.6907
69.231490 100.017 -96.3749
69.733170 100.071 -97.0600
70.238485 100.126 -97.7466
70.747463 100.182 -98.4355
71.260128 100.240 -99.1275
71.776508 100.298 -99.8229
72.296630 100.357 -100.5218
72.820521 100.416 -101.2237
73.348209 100.476 -101.9282
73.879720 100.536 -102.6347
74.415083 100.595 -103.3426
74.954326 100.654 -104.0520
75.497475 100.713 -104.7629
76.044561 100.771 -105.4756
76.595612 100.827 -106.1907
77.150655 100.881 -106.9085
77.709720 100.933 -107.6295
78.272837 100.982 -108.3536
78.840034 101.028 -109.0807
79.411342 101.070 -109.8105
79.986789 101.107 -110.5425
80.566406 101.141 -111.2763
81.150224 101.170 -112.0114
81.738272 101.196 -112.7475
82.330581 101.219 -113.4845
82.927182 101.239 -114.2223
83.528107 101.259 -114.9613
84.133386 101.280 -115.7014
84.743051 101.305 -116.4429
85.357134 101.337 -117.1858
85.975667 101.377 -117.9300
86.598682 101.431 -118.6754
87.226212 101.501 -119.4218
87.858289 101.590 -120.1690
88.494946 101.700 -120.9167
89.136217 101.832 -121.6647
89.782135 101.988 -122.4127
90.432733 102.165 -123.1601
91.088046 102.362 -123.9069
91.748108 102.573 -124.6526
92.412952 102.795 -125.3969
93.082615 103.022 -126.1396
93.757130 103.250 -126.8804
94.436533 103.472 -127.6189
95.120859 103.684 -128.3550
95.810144 103.883 -129.0883
96.504423 104.066 -129.8186
97.203734 104.231 -130.5455
97.908112 104.377 -131.2689
98.617595 104.506 -131.9885
99.332219 104.618 -132.7045
100.052021 104.715 -133.4169
100.777039 104.798 -134.1257
101.507311 104.871 -134.8310
102.242875 104.935 -135.5329
102.983769 104.992 -136.2312
103.730032 105.042 -136.9259
104.481702 105.088 -137.6169
105.238820 105.127 -138.3045
106.001424 105.160 -138.9886
106.769554 105.185 -139.6696
107.543250 105.201 -140.3478
108.322553 105.206 -141.0231
109.107503 105.199 -141.6958
109.898141 105.178 -142.3657
110.694508 105.143 -143.0328
111.496646 105.093 -143.6971
112.304596 105.029 -144.3583
113.118402 104.953 -145.0165
113.938104 104.867 -145.6715
114.763747 104.771 -146.3229
115.595372 104.669 -146.9705
116.433024 104.563 -147.6140
117.276746 104.456 -148.2531
118.126581 104.348 -148.8877
118.982575 104.242 -149.5176
119.844772 104.138 -150.1427
120.713217 104.036 -150.7629
121.587954 103.938 -151.3781
122.469031 103.841 -151.9884
123.356492 103.745 -152.5938
124.250384 103.648 -153.1943
125.150753 103.549 -153.7898
126.057647 103.446 -154.3803
126.971113 103.338 -154.9654
127.891198 103.225 -155.5450
128.817950 103.104 -156.1187
129.751418 102.976 -156.6864
130.691651 102.842 -157.2481
131.638696 102.701 -157.8040
132.592604 102.556 -158.3541
133.553425 102.409 -158.8988
134.521208 102.263 -159.4383
135.496004 102.120 -159.9729
136.477864 101.984 -160.5030
137.466839 101.858 -161.0285
138.462981 101.747 -161.5497
139.466340 101.651 -162.0664
140.476971 101.574 -162.5787
141.494925 101.515 -163.0866
142.520256 101.474 -163.5900
143.553016 101.450 -164.0891
144.593260 101.438 -164.5841
145.641043 101.437 -165.0751
146.696418 101.441 -165.5625
147.759441 101.448 -166.0465
148.830166 101.452 -166.5275
149.908651 101.453 -167.0056
150.994951 101.446 -167.4809
152.089123 101.433 -167.9536
153.191223 101.412 -168.4236
154.301310 101.383 -168.8911
155.419441 101.350 -169.3561
156.545674 101.312 -169.8187
157.680069 101.272 -170.2793
158.822683 101.231 -170.7380
159.973578 101.191 -171.1949
161.132813 101.153 -171.6503
162.300447 101.117 -172.1044
163.476543 101.084 -172.5575
164.661162 101.054 -173.0096
165.854364 101.028 -173.4611
167.056213 101.005 -173.9121
168.266772 100.985 -174.3627
169.486102 100.969 -174.8131
170.714268 100.957 -175.2632
171.951334 100.948 -175.7130
173.197364 100.943 -176.1625
174.452424 100.941 -176.6115
175.716578 100.943 -177.0599
176.989893 100.947 -177.5072
178.272434 100.952 -177.9528
179.564270 100.957 -178.3961
180.865467 100.962 -178.8359
182.176092 100.964 -179.2710
183.496216 100.963 -179.7000
184.825905 100.958 179.8784
186.165229 100.948 179.4658
187.514259 100.934 179.0634
188.873065 100.915 178.6727
190.241717 100.892 178.2948
191.620287 100.866 177.9307
193.008847 100.838 177.5812
194.407468 100.808 177.2469
195.816225 100.777 176.9282
197.235190 100.746 176.6249
198.664438 100.715 176.3370
200.104042 100.683 176.0640
201.554078 100.651 175.8052
203.014622 100.618 175.5601
204.485750 100.584 175.3277
205.967538 100.548 175.1069
207.460064 100.511 174.8965
208.963405 100.471 174.6951
210.477640 100.428 174.5013
212.002848 100.383 174.3135
213.539108 100.337 174.1309
215.086500 100.289 173.9525
216.645105 100.239 173.7778
218.215005 100.189 173.6062
219.796281 100.137 173.4374
221.389015 100.084 173.2710
222.993292 100.029 173.1068
224.609193 99.972 172.9445
226.236804 99.912 172.7840
227.876209 99.848 172.6250
229.527494 99.780 172.4675
231.190745 99.708 172.3115
232.866048 99.630 172.1567
234.553491 99.548 172.0032
236.253163 99.462 171.8508
237.965150 99.372 171.6995
239.689544 99.279 171.5492
241.426433 99.185 171.4000
243.175909 99.090 171.2518
244.938062 98.996 171.1047
246.712984 98.902 170.9587
248.500768 98.811 170.8138
250.301507 98.722 170.6698
252.115295 98.637 170.5268
253.942226 98.556 170.3848
255.782396 98.479 170.2440
257.635901 98.408 170.1043
259.502837 98.343 169.9661
261.383301 98.284 169.8292
263.277392 98.230 169.6938
265.185209 98.184 169.5599
267.106850 98.144 169.4276
269.042417 98.110 169.2966
270.992009 98.082 169.1671
272.955729 98.060 169.0388
274.933678 98.042 168.9120
276.925961 98.028 168.7866
278.932681 98.018 168.6628
280.953942 98.010 168.5406
282.989850 98.005 168.4203
285.040511 98.002 168.3019
287.106032 98.002 168.1855
289.186521 98.006 168.0711
291.282086 98.013 167.9587
293.392836 98.026 167.8483
295.518881 98.044 167.7398
297.660333 98.068 167.6332
299.817302 98.098 167.5287
301.989902 98.133 167.4263
304.178245 98.171 167.3262
306.382446 98.212 167.2284
308.602620 98.253 167.1331
310.838882 98.293 167.0402
313.091348 98.329 166.9497
315.360137 98.362 166.8616
317.645367 98.388 166.7757
319.947156 98.406 166.6920
322.265625 98.417 166.6102
324.600895 98.419 166.5303
326.953086 98.411 166.4523
329.322323 98.394 166.3762
331.708729 98.366 166.3020
334.112427 98.327 166.2297
336.533543 98.278 166.1593
338.972204 98.220 166.0906
341.428536 98.152 166.0237
343.902668 98.075 165.9585
346.394729 97.992 165.8952
348.904848 97.902 165.8338
