* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 10, 2025 1:59:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maxwell (WC FreeZe) L8
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.484 18.6626
20.287556 99.522 18.1860
20.434568 99.570 17.5535
20.582645 99.626 16.7882
20.731796 99.686 15.9141
20.882027 99.747 14.9539
21.033346 99.806 13.9275
21.185763 99.861 12.8514
21.339284 99.911 11.7381
21.493917 99.956 10.5972
21.649671 99.996 9.4353
21.806553 100.031 8.2569
21.964572 100.061 7.0649
22.123737 100.089 5.8612
22.284054 100.115 4.6472
22.445534 100.140 3.4234
22.608183 100.165 2.1903
22.772012 100.193 0.9479
22.937027 100.223 -0.3044
23.103238 100.258 -1.5675
23.270654 100.299 -2.8429
23.439282 100.348 -4.1325
23.609133 100.404 -5.4383
23.780215 100.470 -6.7628
23.952536 100.545 -8.1079
24.126106 100.630 -9.4752
24.300934 100.725 -10.8656
24.477028 100.829 -12.2789
24.654399 100.941 -13.7139
24.833055 101.059 -15.1684
25.013005 101.182 -16.6393
25.194260 101.307 -18.1227
25.376828 101.433 -19.6145
25.560719 101.558 -21.1108
25.745942 101.681 -22.6080
25.932508 101.799 -24.1034
26.120426 101.912 -25.5952
26.309705 102.019 -27.0824
26.500356 102.118 -28.5651
26.692388 102.210 -30.0441
26.885812 102.295 -31.5203
27.080638 102.371 -32.9952
27.276876 102.440 -34.4695
27.474535 102.502 -35.9442
27.673627 102.559 -37.4193
27.874161 102.612 -38.8949
28.076149 102.664 -40.3706
28.279600 102.719 -41.8460
28.484526 102.779 -43.3210
28.690937 102.847 -44.7957
28.898843 102.926 -46.2705
29.108256 103.019 -47.7460
29.319186 103.128 -49.2232
29.531645 103.250 -50.7027
29.745644 103.387 -52.1846
29.961193 103.535 -53.6688
30.178304 103.690 -55.1543
30.396989 103.848 -56.6396
30.617258 104.005 -58.1229
30.839123 104.155 -59.6021
31.062596 104.294 -61.0750
31.287688 104.416 -62.5400
31.514412 104.518 -63.9954
31.742778 104.596 -65.4401
31.972800 104.647 -66.8727
32.204488 104.669 -68.2919
32.437855 104.660 -69.6964
32.672913 104.620 -71.0840
32.909674 104.549 -72.4526
33.148151 104.449 -73.7997
33.388356 104.322 -75.1230
33.630302 104.170 -76.4205
33.874001 103.997 -77.6908
34.119466 103.808 -78.9337
34.366710 103.606 -80.1495
34.615745 103.397 -81.3396
34.866585 103.184 -82.5059
35.119243 102.974 -83.6506
35.373731 102.769 -84.7760
35.630064 102.574 -85.8838
35.888254 102.393 -86.9755
36.148315 102.228 -88.0519
36.410261 102.082 -89.1131
36.674104 101.957 -90.1588
36.939860 101.853 -91.1882
37.207542 101.773 -92.2006
37.477163 101.717 -93.1951
37.748738 101.684 -94.1710
38.022281 101.676 -95.1280
38.297806 101.691 -96.0663
38.575327 101.729 -96.9866
38.854860 101.790 -97.8901
39.136419 101.874 -98.7786
39.420017 101.979 -99.6539
39.705671 102.104 -100.5186
39.993395 102.249 -101.3753
40.283203 102.412 -102.2268
40.575112 102.592 -103.0761
40.869136 102.788 -103.9266
41.165290 102.998 -104.7817
41.463591 103.219 -105.6448
41.764053 103.450 -106.5195
42.066693 103.689 -107.4093
42.371525 103.932 -108.3173
42.678567 104.178 -109.2465
42.987834 104.422 -110.1995
43.299341 104.663 -111.1786
43.613106 104.897 -112.1855
43.929145 105.122 -113.2214
44.247473 105.336 -114.2873
44.568109 105.534 -115.3835
44.891068 105.717 -116.5102
45.216367 105.880 -117.6667
45.544023 106.024 -118.8519
45.874054 106.146 -120.0638
46.206476 106.245 -121.2991
46.541307 106.321 -122.5538
46.878565 106.372 -123.8226
47.218266 106.400 -125.0996
47.560429 106.405 -126.3782
47.905072 106.387 -127.6522
48.252212 106.348 -128.9156
48.601867 106.291 -130.1634
48.954056 106.216 -131.3917
49.308798 106.126 -132.5977
49.666109 106.024 -133.7795
50.026010 105.911 -134.9363
50.388520 105.790 -136.0676
50.753656 105.662 -137.1731
51.121437 105.530 -138.2530
51.491884 105.395 -139.3071
51.865016 105.259 -140.3349
52.240851 105.122 -141.3360
52.619410 104.986 -142.3095
53.000712 104.850 -143.2542
53.384777 104.716 -144.1690
53.771625 104.584 -145.0529
54.161276 104.452 -145.9053
54.553751 104.321 -146.7257
54.949070 104.190 -147.5143
55.347254 104.059 -148.2714
55.748323 103.926 -148.9973
56.152298 103.792 -149.6926
56.559201 103.655 -150.3573
56.969052 103.516 -150.9914
57.381873 103.374 -151.5945
57.797686 103.230 -152.1662
58.216512 103.083 -152.7057
58.638373 102.934 -153.2126
59.063291 102.783 -153.6865
59.491288 102.632 -154.1274
59.922386 102.480 -154.5359
60.356608 102.329 -154.9135
60.793977 102.178 -155.2619
61.234515 102.030 -155.5834
61.678246 101.883 -155.8806
62.125192 101.739 -156.1558
62.575377 101.599 -156.4113
63.028824 101.462 -156.6492
63.485557 101.330 -156.8714
63.945599 101.203 -157.0797
64.408975 101.081 -157.2758
64.875709 100.965 -157.4615
65.345825 100.855 -157.6383
65.819348 100.751 -157.8075
66.296302 100.654 -157.9704
66.776713 100.563 -158.1279
67.260604 100.478 -158.2813
67.748002 100.400 -158.4315
68.238932 100.327 -158.5797
68.733420 100.260 -158.7267
69.231490 100.199 -158.8734
69.733170 100.142 -159.0209
70.238485 100.090 -159.1698
70.747463 100.043 -159.3210
71.260128 99.999 -159.4757
71.776508 99.959 -159.6347
72.296630 99.923 -159.7991
72.820521 99.889 -159.9698
73.348209 99.858 -160.1475
73.879720 99.830 -160.3327
74.415083 99.805 -160.5257
74.954326 99.780 -160.7264
75.497475 99.758 -160.9347
76.044561 99.736 -161.1503
76.595612 99.714 -161.3729
77.150655 99.692 -161.6020
77.709720 99.669 -161.8369
78.272837 99.645 -162.0769
78.840034 99.617 -162.3212
79.411342 99.587 -162.5690
79.986789 99.554 -162.8194
80.566406 99.517 -163.0719
81.150224 99.476 -163.3264
81.738272 99.432 -163.5826
82.330581 99.385 -163.8407
82.927182 99.337 -164.1012
83.528107 99.287 -164.3643
84.133386 99.238 -164.6307
84.743051 99.192 -164.9005
85.357134 99.151 -165.1737
85.975667 99.119 -165.4499
86.598682 99.098 -165.7287
87.226212 99.092 -166.0092
87.858289 99.104 -166.2909
88.494946 99.136 -166.5729
89.136217 99.191 -166.8542
89.782135 99.269 -167.1341
90.432733 99.370 -167.4113
91.088046 99.491 -167.6850
91.748108 99.630 -167.9541
92.412952 99.782 -168.2179
93.082615 99.941 -168.4755
93.757130 100.103 -168.7265
94.436533 100.262 -168.9703
95.120859 100.414 -169.2065
95.810144 100.554 -169.4347
96.504423 100.678 -169.6547
97.203734 100.786 -169.8661
97.908112 100.876 -170.0686
98.617595 100.949 -170.2619
99.332219 101.005 -170.4455
100.052021 101.045 -170.6190
100.777039 101.073 -170.7822
101.507311 101.091 -170.9350
102.242875 101.100 -171.0773
102.983769 101.103 -171.2092
103.730032 101.100 -171.3309
104.481702 101.094 -171.4426
105.238820 101.083 -171.5446
106.001424 101.067 -171.6373
106.769554 101.046 -171.7214
107.543250 101.017 -171.7975
108.322553 100.980 -171.8663
109.107503 100.932 -171.9287
109.898141 100.872 -171.9856
110.694508 100.800 -172.0380
111.496646 100.716 -172.0867
112.304596 100.619 -172.1325
113.118402 100.512 -172.1763
113.938104 100.395 -172.2189
114.763747 100.271 -172.2613
115.595372 100.142 -172.3043
116.433024 100.009 -172.3489
117.276746 99.876 -172.3958
118.126581 99.744 -172.4458
118.982575 99.613 -172.4994
119.844772 99.487 -172.5570
120.713217 99.363 -172.6189
121.587954 99.243 -172.6855
122.469031 99.126 -172.7570
123.356492 99.011 -172.8340
124.250384 98.895 -172.9168
125.150753 98.779 -173.0061
126.057647 98.660 -173.1025
126.971113 98.537 -173.2064
127.891198 98.408 -173.3183
128.817950 98.273 -173.4386
129.751418 98.131 -173.5672
130.691651 97.982 -173.7041
131.638696 97.826 -173.8491
132.592604 97.665 -174.0016
133.553425 97.500 -174.1611
134.521208 97.334 -174.3266
135.496004 97.169 -174.4971
136.477864 97.009 -174.6713
137.466839 96.857 -174.8475
138.462981 96.717 -175.0241
139.466340 96.590 -175.1989
140.476971 96.479 -175.3701
141.494925 96.385 -175.5355
142.520256 96.307 -175.6932
143.553016 96.244 -175.8412
144.593260 96.193 -175.9777
145.641043 96.150 -176.1007
146.696418 96.112 -176.2084
147.759441 96.075 -176.2990
148.830166 96.036 -176.3704
149.908651 95.990 -176.4209
150.994951 95.937 -176.4487
152.089123 95.876 -176.4517
153.191223 95.805 -176.4282
154.301310 95.727 -176.3762
155.419441 95.641 -176.2942
156.545674 95.551 -176.1807
157.680069 95.459 -176.0347
158.822683 95.365 -175.8553
159.973578 95.272 -175.6420
161.132813 95.181 -175.3944
162.300447 95.095 -175.1122
163.476543 95.012 -174.7959
164.661162 94.935 -174.4460
165.854364 94.865 -174.0640
167.056213 94.800 -173.6520
168.266772 94.743 -173.2123
169.486102 94.694 -172.7477
170.714268 94.653 -172.2608
171.951334 94.622 -171.7545
173.197364 94.600 -171.2315
174.452424 94.587 -170.6949
175.716578 94.585 -170.1475
176.989893 94.591 -169.5923
178.272434 94.606 -169.0323
179.564270 94.627 -168.4707
180.865467 94.655 -167.9103
182.176092 94.687 -167.3542
183.496216 94.722 -166.8053
184.825905 94.760 -166.2661
186.165229 94.799 -165.7390
187.514259 94.839 -165.2262
188.873065 94.880 -164.7298
190.241717 94.922 -164.2513
191.620287 94.965 -163.7923
193.008847 95.010 -163.3536
194.407468 95.056 -162.9360
195.816225 95.104 -162.5394
197.235190 95.152 -162.1637
198.664438 95.201 -161.8084
200.104042 95.251 -161.4729
201.554078 95.300 -161.1566
203.014622 95.348 -160.8585
204.485750 95.394 -160.5778
205.967538 95.436 -160.3133
207.460064 95.476 -160.0637
208.963405 95.512 -159.8271
210.477640 95.543 -159.6018
212.002848 95.571 -159.3859
213.539108 95.596 -159.1780
215.086500 95.617 -158.9767
216.645105 95.636 -158.7811
218.215005 95.652 -158.5901
219.796281 95.665 -158.4027
221.389015 95.676 -158.2181
222.993292 95.684 -158.0354
224.609193 95.688 -157.8536
226.236804 95.688 -157.6717
227.876209 95.683 -157.4888
229.527494 95.673 -157.3037
231.190745 95.658 -157.1156
232.866048 95.638 -156.9234
234.553491 95.613 -156.7263
236.253163 95.584 -156.5237
237.965150 95.552 -156.3153
239.689544 95.518 -156.1012
241.426433 95.483 -155.8820
243.175909 95.449 -155.6588
244.938062 95.417 -155.4329
246.712984 95.387 -155.2059
248.500768 95.362 -154.9793
250.301507 95.341 -154.7544
252.115295 95.325 -154.5325
253.942226 95.316 -154.3145
255.782396 95.314 -154.1016
257.635901 95.319 -153.8948
259.502837 95.332 -153.6951
261.383301 95.353 -153.5041
263.277392 95.382 -153.3235
265.185209 95.421 -153.1555
267.106850 95.467 -153.0028
269.042417 95.522 -152.8680
270.992009 95.584 -152.7541
272.955729 95.653 -152.6638
274.933678 95.728 -152.5997
276.925961 95.807 -152.5638
278.932681 95.890 -152.5580
280.953942 95.976 -152.5834
282.989850 96.064 -152.6404
285.040511 96.154 -152.7289
287.106032 96.245 -152.8478
289.186521 96.338 -152.9955
291.282086 96.432 -153.1698
293.392836 96.527 -153.3678
295.518881 96.624 -153.5863
297.660333 96.721 -153.8215
299.817302 96.819 -154.0691
301.989902 96.916 -154.3243
304.178245 97.011 -154.5821
306.382446 97.102 -154.8375
308.602620 97.189 -155.0857
310.838882 97.269 -155.3224
313.091348 97.341 -155.5437
315.360137 97.405 -155.7460
317.645367 97.459 -155.9261
319.947156 97.504 -156.0816
322.265625 97.538 -156.2105
324.600895 97.562 -156.3114
326.953086 97.576 -156.3838
329.322323 97.579 -156.4279
331.708729 97.573 -156.4445
334.112427 97.557 -156.4352
