* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 10, 2025 1:55:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maxwell (WC FreeZe) R6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 98.678 21.5838
20.287556 98.711 21.0964
20.434568 98.754 20.4514
20.582645 98.803 19.6753
20.731796 98.856 18.7955
20.882027 98.909 17.8387
21.033346 98.960 16.8282
21.185763 99.008 15.7833
21.339284 99.051 14.7190
21.493917 99.091 13.6458
21.649671 99.126 12.5704
21.806553 99.159 11.4964
21.964572 99.190 10.4245
22.123737 99.220 9.3534
22.284054 99.251 8.2802
22.445534 99.284 7.2010
22.608183 99.321 6.1111
22.772012 99.362 5.0058
22.937027 99.409 3.8802
23.103238 99.462 2.7300
23.270654 99.521 1.5515
23.439282 99.587 0.3419
23.609133 99.661 -0.9006
23.780215 99.742 -2.1768
23.952536 99.830 -3.4863
24.126106 99.925 -4.8279
24.300934 100.027 -6.1997
24.477028 100.135 -7.5995
24.654399 100.247 -9.0246
24.833055 100.364 -10.4730
25.013005 100.484 -11.9427
25.194260 100.606 -13.4323
25.376828 100.728 -14.9413
25.560719 100.849 -16.4693
25.745942 100.967 -18.0166
25.932508 101.081 -19.5834
26.120426 101.191 -21.1696
26.309705 101.295 -22.7745
26.500356 101.392 -24.3968
26.692388 101.481 -26.0338
26.885812 101.563 -27.6820
27.080638 101.638 -29.3370
27.276876 101.705 -30.9936
27.474535 101.766 -32.6464
27.673627 101.821 -34.2900
27.874161 101.874 -35.9196
28.076149 101.925 -37.5315
28.279600 101.977 -39.1231
28.484526 102.034 -40.6932
28.690937 102.097 -42.2423
28.898843 102.169 -43.7719
29.108256 102.253 -45.2848
29.319186 102.349 -46.7845
29.531645 102.458 -48.2748
29.745644 102.580 -49.7596
29.961193 102.712 -51.2423
30.178304 102.852 -52.7256
30.396989 102.997 -54.2114
30.617258 103.142 -55.7006
30.839123 103.284 -57.1928
31.062596 103.417 -58.6866
31.287688 103.536 -60.1794
31.514412 103.638 -61.6680
31.742778 103.718 -63.1481
31.972800 103.774 -64.6153
32.204488 103.802 -66.0650
32.437855 103.800 -67.4930
32.672913 103.769 -68.8955
32.909674 103.708 -70.2701
33.148151 103.618 -71.6154
33.388356 103.501 -72.9312
33.630302 103.360 -74.2187
33.874001 103.198 -75.4797
34.119466 103.019 -76.7169
34.366710 102.827 -77.9328
34.615745 102.626 -79.1295
34.866585 102.422 -80.3086
35.119243 102.217 -81.4708
35.373731 102.017 -82.6159
35.630064 101.825 -83.7432
35.888254 101.645 -84.8519
36.148315 101.479 -85.9411
36.410261 101.331 -87.0105
36.674104 101.202 -88.0602
36.939860 101.094 -89.0912
37.207542 101.008 -90.1050
37.477163 100.945 -91.1036
37.748738 100.906 -92.0890
38.022281 100.890 -93.0635
38.297806 100.897 -94.0291
38.575327 100.928 -94.9877
38.854860 100.981 -95.9409
39.136419 101.057 -96.8900
39.420017 101.154 -97.8361
39.705671 101.273 -98.7799
39.993395 101.412 -99.7222
40.283203 101.571 -100.6631
40.575112 101.748 -101.6026
40.869136 101.941 -102.5404
41.165290 102.148 -103.4759
41.463591 102.367 -104.4085
41.764053 102.596 -105.3378
42.066693 102.832 -106.2638
42.371525 103.073 -107.1878
42.678567 103.314 -108.1123
42.987834 103.554 -109.0414
43.299341 103.789 -109.9808
43.613106 104.016 -110.9374
43.929145 104.233 -111.9185
44.247473 104.438 -112.9309
44.568109 104.628 -113.9799
44.891068 104.801 -115.0682
45.216367 104.955 -116.1955
45.544023 105.090 -117.3586
45.874054 105.205 -118.5518
46.206476 105.300 -119.7677
46.541307 105.373 -120.9988
46.878565 105.427 -122.2383
47.218266 105.460 -123.4808
47.560429 105.473 -124.7223
47.905072 105.467 -125.9605
48.252212 105.443 -127.1936
48.601867 105.400 -128.4203
48.954056 105.340 -129.6391
49.308798 105.264 -130.8478
49.666109 105.174 -132.0438
50.026010 105.072 -133.2240
50.388520 104.958 -134.3849
50.753656 104.835 -135.5228
51.121437 104.705 -136.6343
51.491884 104.570 -137.7165
51.865016 104.431 -138.7670
52.240851 104.290 -139.7841
52.619410 104.147 -140.7666
53.000712 104.005 -141.7140
53.384777 103.865 -142.6259
53.771625 103.725 -143.5026
54.161276 103.588 -144.3446
54.553751 103.452 -145.1526
54.949070 103.317 -145.9273
55.347254 103.183 -146.6692
55.748323 103.048 -147.3784
56.152298 102.913 -148.0550
56.559201 102.777 -148.6990
56.969052 102.638 -149.3109
57.381873 102.499 -149.8915
57.797686 102.358 -150.4423
58.216512 102.215 -150.9653
58.638373 102.072 -151.4625
59.063291 101.929 -151.9362
59.491288 101.785 -152.3883
59.922386 101.642 -152.8201
60.356608 101.499 -153.2323
60.793977 101.357 -153.6250
61.234515 101.216 -153.9980
61.678246 101.076 -154.3511
62.125192 100.938 -154.6846
62.575377 100.802 -154.9993
63.028824 100.669 -155.2963
63.485557 100.539 -155.5772
63.945599 100.413 -155.8434
64.408975 100.291 -156.0964
64.875709 100.175 -156.3368
65.345825 100.065 -156.5650
65.819348 99.960 -156.7810
66.296302 99.863 -156.9847
66.776713 99.771 -157.1767
67.260604 99.687 -157.3581
67.748002 99.609 -157.5305
68.238932 99.537 -157.6960
68.733420 99.471 -157.8569
69.231490 99.410 -158.0153
69.733170 99.354 -158.1732
70.238485 99.303 -158.3326
70.747463 99.256 -158.4951
71.260128 99.213 -158.6621
71.776508 99.174 -158.8351
72.296630 99.138 -159.0150
72.820521 99.105 -159.2027
73.348209 99.075 -159.3987
73.879720 99.047 -159.6031
74.415083 99.022 -159.8157
74.954326 98.998 -160.0358
75.497475 98.975 -160.2626
76.044561 98.953 -160.4956
76.595612 98.931 -160.7342
77.150655 98.908 -160.9781
77.709720 98.885 -161.2275
78.272837 98.861 -161.4824
78.840034 98.834 -161.7432
79.411342 98.805 -162.0103
79.986789 98.773 -162.2841
80.566406 98.738 -162.5650
81.150224 98.700 -162.8533
81.738272 98.657 -163.1489
82.330581 98.612 -163.4516
82.927182 98.564 -163.7608
83.528107 98.515 -164.0762
84.133386 98.465 -164.3969
84.743051 98.418 -164.7224
85.357134 98.375 -165.0518
85.975667 98.340 -165.3842
86.598682 98.316 -165.7187
87.226212 98.306 -166.0540
87.858289 98.313 -166.3892
88.494946 98.341 -166.7230
89.136217 98.391 -167.0547
89.782135 98.464 -167.3834
90.432733 98.559 -167.7086
91.088046 98.674 -168.0297
91.748108 98.807 -168.3461
92.412952 98.953 -168.6572
93.082615 99.107 -168.9625
93.757130 99.264 -169.2612
94.436533 99.418 -169.5530
95.120859 99.564 -169.8372
95.810144 99.698 -170.1131
96.504423 99.818 -170.3798
97.203734 99.920 -170.6364
97.908112 100.005 -170.8817
98.617595 100.071 -171.1149
99.332219 100.120 -171.3352
100.052021 100.154 -171.5423
100.777039 100.174 -171.7361
101.507311 100.184 -171.9167
102.242875 100.184 -172.0844
102.983769 100.178 -172.2397
103.730032 100.167 -172.3833
104.481702 100.151 -172.5156
105.238820 100.131 -172.6371
106.001424 100.107 -172.7482
106.769554 100.077 -172.8491
107.543250 100.040 -172.9399
108.322553 99.995 -173.0212
109.107503 99.940 -173.0938
109.898141 99.873 -173.1585
110.694508 99.794 -173.2166
111.496646 99.702 -173.2696
112.304596 99.599 -173.3192
113.118402 99.484 -173.3670
113.938104 99.359 -173.4146
114.763747 99.227 -173.4635
115.595372 99.089 -173.5144
116.433024 98.948 -173.5678
117.276746 98.805 -173.6238
118.126581 98.663 -173.6822
118.982575 98.523 -173.7429
119.844772 98.386 -173.8057
120.713217 98.253 -173.8708
121.587954 98.123 -173.9385
122.469031 97.996 -174.0092
123.356492 97.871 -174.0835
124.250384 97.746 -174.1621
125.150753 97.621 -174.2458
126.057647 97.492 -174.3353
126.971113 97.360 -174.4312
127.891198 97.222 -174.5340
128.817950 97.077 -174.6443
129.751418 96.926 -174.7621
130.691651 96.767 -174.8874
131.638696 96.602 -175.0197
132.592604 96.432 -175.1583
133.553425 96.257 -175.3020
134.521208 96.081 -175.4495
135.496004 95.906 -175.5993
136.477864 95.736 -175.7498
137.466839 95.573 -175.8992
138.462981 95.421 -176.0460
139.466340 95.283 -176.1884
140.476971 95.160 -176.3249
141.494925 95.053 -176.4538
142.520256 94.962 -176.5736
143.553016 94.885 -176.6826
144.593260 94.821 -176.7792
145.641043 94.766 -176.8615
146.696418 94.715 -176.9279
147.759441 94.666 -176.9762
148.830166 94.614 -177.0045
149.908651 94.557 -177.0107
150.994951 94.492 -176.9928
152.089123 94.419 -176.9490
153.191223 94.338 -176.8772
154.301310 94.248 -176.7755
155.419441 94.151 -176.6417
156.545674 94.049 -176.4740
157.680069 93.945 -176.2704
158.822683 93.839 -176.0294
159.973578 93.733 -175.7498
161.132813 93.630 -175.4312
162.300447 93.530 -175.0735
163.476543 93.435 -174.6770
164.661162 93.345 -174.2424
165.854364 93.261 -173.7708
167.056213 93.183 -173.2637
168.266772 93.113 -172.7232
169.486102 93.052 -172.1514
170.714268 92.999 -171.5511
171.951334 92.955 -170.9254
173.197364 92.922 -170.2776
174.452424 92.899 -169.6112
175.716578 92.887 -168.9297
176.989893 92.885 -168.2364
178.272434 92.891 -167.5348
179.564270 92.906 -166.8284
180.865467 92.927 -166.1208
182.176092 92.953 -165.4151
183.496216 92.984 -164.7147
184.825905 93.017 -164.0223
186.165229 93.052 -163.3407
187.514259 93.089 -162.6722
188.873065 93.127 -162.0186
190.241717 93.167 -161.3816
191.620287 93.208 -160.7622
193.008847 93.252 -160.1609
194.407468 93.297 -159.5780
195.816225 93.345 -159.0134
197.235190 93.395 -158.4668
198.664438 93.447 -157.9379
200.104042 93.499 -157.4263
201.554078 93.552 -156.9313
203.014622 93.605 -156.4523
204.485750 93.656 -155.9884
205.967538 93.705 -155.5387
207.460064 93.752 -155.1024
208.963405 93.797 -154.6788
210.477640 93.839 -154.2675
212.002848 93.878 -153.8680
213.539108 93.915 -153.4801
215.086500 93.949 -153.1033
216.645105 93.982 -152.7368
218.215005 94.013 -152.3795
219.796281 94.043 -152.0301
221.389015 94.070 -151.6876
222.993292 94.094 -151.3511
224.609193 94.116 -151.0199
226.236804 94.134 -150.6937
227.876209 94.147 -150.3725
229.527494 94.156 -150.0561
231.190745 94.160 -149.7444
232.866048 94.159 -149.4371
234.553491 94.155 -149.1337
236.253163 94.146 -148.8337
237.965150 94.135 -148.5367
239.689544 94.123 -148.2426
241.426433 94.110 -147.9516
243.175909 94.097 -147.6642
244.938062 94.087 -147.3811
246.712984 94.078 -147.1029
248.500768 94.073 -146.8301
250.301507 94.072 -146.5627
252.115295 94.075 -146.3003
253.942226 94.083 -146.0424
255.782396 94.096 -145.7882
257.635901 94.116 -145.5375
259.502837 94.143 -145.2902
261.383301 94.177 -145.0468
263.277392 94.218 -144.8083
265.185209 94.267 -144.5761
267.106850 94.324 -144.3519
269.042417 94.388 -144.1376
270.992009 94.460 -143.9351
272.955729 94.538 -143.7461
274.933678 94.622 -143.5719
276.925961 94.711 -143.4136
278.932681 94.805 -143.2716
280.953942 94.903 -143.1460
282.989850 95.004 -143.0368
285.040511 95.110 -142.9437
287.106032 95.220 -142.8663
289.186521 95.334 -142.8043
291.282086 95.454 -142.7573
293.392836 95.579 -142.7250
295.518881 95.711 -142.7071
297.660333 95.847 -142.7036
299.817302 95.989 -142.7143
301.989902 96.135 -142.7391
304.178245 96.284 -142.7780
306.382446 96.433 -142.8309
308.602620 96.581 -142.8979
310.838882 96.726 -142.9789
313.091348 96.867 -143.0739
315.360137 97.001 -143.1831
317.645367 97.128 -143.3065
319.947156 97.247 -143.4442
322.265625 97.356 -143.5964
324.600895 97.456 -143.7633
326.953086 97.544 -143.9451
329.322323 97.622 -144.1418
331.708729 97.689 -144.3536
334.112427 97.745 -144.5806
