* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 5:05:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maxwell (Wired) L10
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 80.573 -22.8216
20.333664 80.633 -23.2527
20.481010 80.716 -23.8284
20.629424 80.823 -24.5306
20.778913 80.953 -25.3400
20.929486 81.107 -26.2375
21.081150 81.283 -27.2052
21.233912 81.479 -28.2273
21.387782 81.690 -29.2901
21.542767 81.914 -30.3817
21.698874 82.144 -31.4915
21.856113 82.377 -32.6104
22.014492 82.608 -33.7302
22.174018 82.833 -34.8440
22.334700 83.049 -35.9464
22.496546 83.255 -37.0341
22.659566 83.448 -38.1062
22.823766 83.628 -39.1647
22.989157 83.795 -40.2143
23.155745 83.951 -41.2627
23.323542 84.095 -42.3195
23.492554 84.230 -43.3955
23.662790 84.355 -44.5010
23.834261 84.472 -45.6446
24.006973 84.580 -46.8319
24.180938 84.681 -48.0638
24.356163 84.773 -49.3367
24.532658 84.859 -50.6422
24.710431 84.937 -51.9683
24.889493 85.009 -53.3005
25.069853 85.075 -54.6240
25.251519 85.136 -55.9254
25.434502 85.195 -57.1947
25.618811 85.251 -58.4267
25.804456 85.307 -59.6215
25.991445 85.362 -60.7844
26.179790 85.418 -61.9250
26.369500 85.472 -63.0553
26.560584 85.524 -64.1882
26.753053 85.572 -65.3354
26.946917 85.615 -66.5055
27.142185 85.652 -67.7039
27.338869 85.680 -68.9317
27.536977 85.700 -70.1864
27.736522 85.713 -71.4631
27.937512 85.718 -72.7552
28.139959 85.719 -74.0560
28.343872 85.715 -75.3594
28.549264 85.711 -76.6609
28.756143 85.707 -77.9580
28.964522 85.704 -79.2496
29.174411 85.705 -80.5361
29.385821 85.708 -81.8184
29.598763 85.715 -83.0975
29.813248 85.724 -84.3736
30.029287 85.736 -85.6462
30.246891 85.748 -86.9139
30.466073 85.762 -88.1741
30.686842 85.776 -89.4237
30.909212 85.791 -90.6585
31.133193 85.806 -91.8739
31.358797 85.822 -93.0648
31.586035 85.838 -94.2254
31.814921 85.856 -95.3502
32.045465 85.875 -96.4337
32.277680 85.897 -97.4716
32.511577 85.921 -98.4608
32.747169 85.949 -99.4006
32.984469 85.980 -100.2926
33.223488 86.016 -101.1409
33.464239 86.057 -101.9513
33.706735 86.101 -102.7310
33.950987 86.149 -103.4876
34.197010 86.201 -104.2282
34.444816 86.255 -104.9584
34.694417 86.312 -105.6823
34.945827 86.370 -106.4022
35.199059 86.428 -107.1188
35.454126 86.487 -107.8314
35.711041 86.546 -108.5390
35.969818 86.604 -109.2403
36.230470 86.663 -109.9345
36.493011 86.721 -110.6214
36.757455 86.778 -111.3017
37.023814 86.835 -111.9764
37.292104 86.892 -112.6466
37.562338 86.947 -113.3125
37.834530 87.002 -113.9729
38.108695 87.056 -114.6253
38.384846 87.109 -115.2661
38.662999 87.162 -115.8912
38.943167 87.216 -116.4980
39.225365 87.272 -117.0858
39.509608 87.330 -117.6573
39.795911 87.391 -118.2180
40.084289 87.454 -118.7756
40.374756 87.521 -119.3387
40.667328 87.589 -119.9154
40.962020 87.658 -120.5122
41.258848 87.729 -121.1340
41.557827 87.801 -121.7844
41.858972 87.875 -122.4667
42.162299 87.950 -123.1843
42.467824 88.028 -123.9406
42.775564 88.108 -124.7389
43.085533 88.190 -125.5817
43.397749 88.273 -126.4697
43.712227 88.356 -127.4027
44.028983 88.436 -128.3793
44.348036 88.514 -129.3980
44.669400 88.588 -130.4578
44.993093 88.656 -131.5581
45.319131 88.719 -132.6990
45.647532 88.774 -133.8797
45.978313 88.821 -135.0984
46.311491 88.860 -136.3517
46.647083 88.890 -137.6344
46.985107 88.910 -138.9402
47.325581 88.921 -140.2627
47.668521 88.923 -141.5958
48.013947 88.916 -142.9344
48.361876 88.901 -144.2743
48.712326 88.877 -145.6122
49.065315 88.845 -146.9446
49.420863 88.806 -148.2677
49.778987 88.758 -149.5768
50.139706 88.703 -150.8668
50.503039 88.642 -152.1320
50.869005 88.573 -153.3673
51.237623 88.498 -154.5687
51.608912 88.418 -155.7332
51.982891 88.331 -156.8591
52.359580 88.239 -157.9453
52.739000 88.142 -158.9908
53.121168 88.039 -159.9942
53.506106 87.931 -160.9535
53.893833 87.820 -161.8663
54.284370 87.706 -162.7301
54.677737 87.590 -163.5426
55.073955 87.473 -164.3029
55.473043 87.357 -165.0109
55.875024 87.241 -165.6682
56.279917 87.127 -166.2773
56.687745 87.013 -166.8416
57.098527 86.901 -167.3646
57.512287 86.789 -167.8499
57.929045 86.677 -168.3009
58.348822 86.567 -168.7216
58.771642 86.459 -169.1164
59.197525 86.353 -169.4913
59.626495 86.252 -169.8530
60.058573 86.157 -170.2083
60.493782 86.067 -170.5618
60.932145 85.984 -170.9152
61.373685 85.906 -171.2667
61.818424 85.833 -171.6119
62.266386 85.765 -171.9456
62.717593 85.701 -172.2634
63.172071 85.641 -172.5627
63.629842 85.584 -172.8425
64.090930 85.530 -173.1029
64.555359 85.480 -173.3445
65.023154 85.434 -173.5680
65.494339 85.392 -173.7742
65.968938 85.355 -173.9638
66.446976 85.321 -174.1381
66.928478 85.291 -174.2988
67.413469 85.265 -174.4486
67.901975 85.241 -174.5900
68.394021 85.219 -174.7254
68.889632 85.199 -174.8562
69.388835 85.179 -174.9835
69.891655 85.161 -175.1080
70.398118 85.143 -175.2307
70.908252 85.125 -175.3527
71.422083 85.108 -175.4758
71.939636 85.091 -175.6018
72.460941 85.074 -175.7324
72.986023 85.057 -175.8692
73.514909 85.039 -176.0134
74.047629 85.021 -176.1660
74.584208 85.002 -176.3286
75.124676 84.983 -176.5027
75.669061 84.962 -176.6903
76.217390 84.941 -176.8931
76.769692 84.919 -177.1119
77.325997 84.897 -177.3465
77.886333 84.873 -177.5959
78.450730 84.849 -177.8578
79.019216 84.824 -178.1302
79.591822 84.798 -178.4109
80.168577 84.772 -178.6981
80.749512 84.745 -178.9900
81.334656 84.717 -179.2852
81.924040 84.688 -179.5818
82.517696 84.658 -179.8781
83.115653 84.626 179.8279
83.717943 84.592 179.5374
84.324598 84.556 179.2512
84.935649 84.518 178.9693
85.551128 84.478 178.6913
86.171066 84.437 178.4162
86.795497 84.393 178.1429
87.424453 84.348 177.8705
88.057967 84.302 177.5978
88.696071 84.255 177.3243
89.338800 84.207 177.0499
89.986185 84.158 176.7750
90.638262 84.109 176.5006
91.295065 84.060 176.2280
91.956626 84.011 175.9589
92.622982 83.961 175.6952
93.294166 83.911 175.4386
93.970214 83.861 175.1907
94.651161 83.809 174.9527
95.337042 83.756 174.7252
96.027894 83.703 174.5082
96.723752 83.648 174.3018
97.424652 83.593 174.1055
98.130631 83.537 173.9194
98.841726 83.482 173.7432
99.557974 83.427 173.5772
100.279412 83.374 173.4215
101.006078 83.322 173.2764
101.738010 83.272 173.1418
102.475245 83.224 173.0172
103.217823 83.177 172.9018
103.965782 83.134 172.7945
104.719161 83.092 172.6937
105.477999 83.052 172.5984
106.242336 83.014 172.5076
107.012212 82.978 172.4210
107.787666 82.944 172.3385
108.568740 82.912 172.2600
109.355474 82.882 172.1856
110.147909 82.853 172.1155
110.946086 82.826 172.0500
111.750047 82.800 171.9896
112.559834 82.777 171.9349
113.375489 82.756 171.8860
114.197055 82.739 171.8424
115.024574 82.724 171.8029
115.858089 82.711 171.7649
116.697645 82.702 171.7253
117.543284 82.695 171.6810
118.395051 82.690 171.6291
119.252990 82.686 171.5674
120.117147 82.683 171.4945
120.987565 82.680 171.4100
121.864291 82.677 171.3143
122.747370 82.673 171.2083
123.636848 82.669 171.0922
124.532771 82.665 170.9660
125.435187 82.659 170.8288
126.344142 82.653 170.6794
127.259684 82.645 170.5168
128.181860 82.637 170.3409
129.110718 82.626 170.1519
130.046308 82.614 169.9507
130.988677 82.600 169.7388
131.937875 82.584 169.5179
132.893951 82.566 169.2898
133.856956 82.545 169.0564
134.826938 82.520 168.8193
135.803950 82.492 168.5807
136.788041 82.461 168.3419
137.779264 82.425 168.1043
138.777669 82.385 167.8687
139.783309 82.341 167.6356
140.796237 82.293 167.4057
141.816504 82.242 167.1796
142.844165 82.186 166.9585
143.879273 82.126 166.7437
144.921881 82.063 166.5367
145.972045 81.996 166.3390
147.029819 81.926 166.1523
148.095257 81.853 165.9784
149.168417 81.777 165.8193
150.249353 81.700 165.6781
151.338121 81.620 165.5579
152.434780 81.538 165.4618
153.539385 81.455 165.3921
154.651995 81.371 165.3505
155.772667 81.286 165.3375
156.901460 81.200 165.3536
158.038432 81.113 165.3991
159.183644 81.026 165.4741
160.337154 80.940 165.5791
161.499023 80.854 165.7143
162.669312 80.769 165.8801
163.848081 80.686 166.0764
165.035392 80.604 166.3031
166.231306 80.525 166.5597
167.435887 80.448 166.8454
168.649196 80.374 167.1590
169.871298 80.305 167.4990
171.102255 80.240 167.8636
172.342133 80.180 168.2508
173.590995 80.125 168.6577
174.848907 80.075 169.0812
176.115934 80.031 169.5178
177.392143 79.991 169.9637
178.677599 79.956 170.4149
179.972371 79.925 170.8677
181.276525 79.898 171.3185
182.590129 79.875 171.7641
183.913252 79.856 172.2016
185.245964 79.840 172.6288
186.588332 79.827 173.0438
187.940428 79.816 173.4440
189.302322 79.809 173.8268
190.674085 79.803 174.1888
192.055788 79.800 174.5271
193.447503 79.799 174.8391
194.849303 79.799 175.1237
196.261262 79.801 175.3808
197.683452 79.805 175.6114
199.115948 79.811 175.8176
200.558824 79.818 176.0020
202.012156 79.827 176.1682
203.476019 79.838 176.3196
204.950490 79.849 176.4593
206.435646 79.861 176.5893
207.931564 79.872 176.7108
209.438322 79.882 176.8242
210.955998 79.891 176.9298
212.484672 79.899 177.0284
214.024424 79.906 177.1212
215.575333 79.913 177.2094
217.137481 79.919 177.2943
218.710948 79.925 177.3770
220.295818 79.932 177.4581
221.892172 79.938 177.5381
223.500094 79.945 177.6181
225.119668 79.953 177.6997
226.750978 79.961 177.7852
228.394109 79.970 177.8766
230.049147 79.980 177.9753
231.716178 79.991 178.0816
233.395289 80.003 178.1953
235.086567 80.016 178.3154
236.790102 80.029 178.4408
238.505980 80.043 178.5701
240.234293 80.058 178.7019
241.975130 80.074 178.8346
243.728581 80.091 178.9667
245.494739 80.109 179.0970
247.273695 80.129 179.2239
249.065542 80.151 179.3462
250.870374 80.174 179.4622
252.688284 80.200 179.5707
254.519367 80.228 179.6704
256.363720 80.258 179.7607
258.221437 80.290 179.8411
260.092616 80.323 179.9107
261.977354 80.358 179.9690
263.875750 80.394 -179.9851
265.787903 80.432 -179.9525
267.713911 80.470 -179.9341
269.653877 80.509 -179.9304
271.607900 80.548 -179.9416
273.576083 80.588 -179.9681
275.558528 80.628 179.9901
277.555338 80.668 179.9325
279.566619 80.707 179.8588
281.592474 80.744 179.7689
283.633009 80.779 179.6627
285.688331 80.813 179.5407
287.758546 80.843 179.4037
289.843763 80.871 179.2528
291.944090 80.895 179.0903
294.059638 80.916 178.9190
296.190515 80.934 178.7427
298.336833 80.947 178.5655
300.498705 80.958 178.3921
302.676243 80.965 178.2270
304.869559 80.969 178.0746
307.078770 80.970 177.9386
309.303989 80.968 177.8224
311.545334 80.965 177.7284
313.802919 80.960 177.6584
316.076865 80.953 177.6136
318.367288 80.945 177.5946
320.674309 80.937 177.6014
322.998047 80.929 177.6338
325.338624 80.921 177.6907
327.696162 80.914 177.7706
330.070783 80.907 177.8718
332.462612 80.901 177.9922
334.871773 80.896 178.1297
337.298392 80.893 178.2820
339.742595 80.890 178.4468
342.204510 80.889 178.6218
344.684265 80.888 178.8047
347.181989 80.889 178.9943
349.697813 80.890 179.1894
352.231868 80.893 179.3895
354.784285 80.896 179.5941
357.355198 80.900 179.8029
359.944741 80.906 -179.9844
362.553049 80.913 -179.7684
365.180258 80.920 -179.5496
