* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 5:00:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maxwell (Wired) R4
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 81.741 10.3929
20.333664 81.894 9.7065
20.481010 82.091 8.8162
20.629424 82.320 7.7686
20.778913 82.569 6.6087
20.929486 82.827 5.3754
21.081150 83.088 4.0992
21.233912 83.343 2.8017
21.387782 83.588 1.4973
21.542767 83.820 0.1943
21.698874 84.037 -1.1028
21.856113 84.236 -2.3922
22.014492 84.418 -3.6730
22.174018 84.581 -4.9444
22.334700 84.725 -6.2048
22.496546 84.850 -7.4511
22.659566 84.954 -8.6789
22.823766 85.037 -9.8823
22.989157 85.098 -11.0545
23.155745 85.137 -12.1880
23.323542 85.154 -13.2759
23.492554 85.147 -14.3123
23.662790 85.118 -15.2938
23.834261 85.066 -16.2203
24.006973 84.992 -17.0959
24.180938 84.896 -17.9299
24.356163 84.779 -18.7373
24.532658 84.642 -19.5391
24.710431 84.486 -20.3629
24.889493 84.311 -21.2429
25.069853 84.117 -22.2202
25.251519 83.907 -23.3437
25.434502 83.680 -24.6709
25.618811 83.440 -26.2702
25.804456 83.189 -28.2232
25.991445 82.933 -30.6277
26.179790 82.681 -33.5980
26.369500 82.445 -37.2612
26.560584 82.244 -41.7407
26.753053 82.097 -47.1204
26.946917 82.026 -53.3827
27.142185 82.052 -60.3377
27.338869 82.186 -67.5914
27.536977 82.428 -74.6137
27.736522 82.768 -80.8958
27.937512 83.184 -86.0948
28.139959 83.651 -90.0790
28.343872 84.141 -92.8819
28.549264 84.631 -94.6289
28.756143 85.101 -95.4794
28.964522 85.536 -95.5937
29.174411 85.923 -95.1193
29.385821 86.255 -94.1876
29.598763 86.525 -92.9150
29.813248 86.729 -91.4065
30.029287 86.864 -89.7599
30.246891 86.929 -88.0697
30.466073 86.925 -86.4315
30.686842 86.853 -84.9456
30.909212 86.717 -83.7207
31.133193 86.526 -82.8757
31.358797 86.288 -82.5387
31.586035 86.021 -82.8401
31.814921 85.743 -83.8957
32.045465 85.479 -85.7759
32.277680 85.255 -88.4620
32.511577 85.095 -91.8051
32.747169 85.014 -95.5187
32.984469 85.016 -99.2308
33.223488 85.091 -102.5850
33.464239 85.219 -105.3319
33.706735 85.375 -107.3667
33.950987 85.534 -108.7096
34.197010 85.676 -109.4629
34.444816 85.786 -109.7703
34.694417 85.856 -109.7887
34.945827 85.883 -109.6720
35.199059 85.870 -109.5601
35.454126 85.824 -109.5718
35.711041 85.757 -109.7967
35.969818 85.683 -110.2867
36.230470 85.614 -111.0493
36.493011 85.565 -112.0458
36.757455 85.544 -113.1980
37.023814 85.553 -114.4045
37.292104 85.591 -115.5639
37.562338 85.651 -116.5969
37.834530 85.723 -117.4610
38.108695 85.797 -118.1541
38.384846 85.865 -118.7089
38.662999 85.923 -119.1810
38.943167 85.968 -119.6352
39.225365 86.002 -120.1322
39.509608 86.029 -120.7170
39.795911 86.054 -121.4120
40.084289 86.083 -122.2142
40.374756 86.120 -123.0987
40.667328 86.166 -124.0260
40.962020 86.223 -124.9542
41.258848 86.286 -125.8490
41.557827 86.353 -126.6918
41.858972 86.419 -127.4823
42.162299 86.481 -128.2366
42.467824 86.538 -128.9813
42.775564 86.588 -129.7473
43.085533 86.634 -130.5629
43.397749 86.677 -131.4481
43.712227 86.720 -132.4127
44.028983 86.764 -133.4550
44.348036 86.810 -134.5647
44.669400 86.856 -135.7261
44.993093 86.901 -136.9230
45.319131 86.943 -138.1424
45.647532 86.981 -139.3760
45.978313 87.012 -140.6210
46.311491 87.038 -141.8782
46.647083 87.058 -143.1496
46.985107 87.072 -144.4360
47.325581 87.081 -145.7357
47.668521 87.084 -147.0442
48.013947 87.079 -148.3548
48.361876 87.067 -149.6606
48.712326 87.044 -150.9559
49.065315 87.011 -152.2364
49.420863 86.967 -153.4995
49.778987 86.912 -154.7428
50.139706 86.846 -155.9637
50.503039 86.772 -157.1584
50.869005 86.691 -158.3224
51.237623 86.602 -159.4511
51.608912 86.508 -160.5416
51.982891 86.407 -161.5927
52.359580 86.301 -162.6055
52.739000 86.190 -163.5827
53.121168 86.074 -164.5273
53.506106 85.954 -165.4413
53.893833 85.831 -166.3250
54.284370 85.707 -167.1768
54.677737 85.584 -167.9934
55.073955 85.463 -168.7707
55.473043 85.344 -169.5050
55.875024 85.230 -170.1930
56.279917 85.120 -170.8330
56.687745 85.014 -171.4246
57.098527 84.914 -171.9687
57.512287 84.818 -172.4674
57.929045 84.727 -172.9247
58.348822 84.640 -173.3463
58.771642 84.557 -173.7397
59.197525 84.475 -174.1138
59.626495 84.394 -174.4767
60.058573 84.312 -174.8354
60.493782 84.229 -175.1941
60.932145 84.143 -175.5547
61.373685 84.057 -175.9171
61.818424 83.971 -176.2796
62.266386 83.887 -176.6393
62.717593 83.806 -176.9926
63.172071 83.730 -177.3353
63.629842 83.658 -177.6640
64.090930 83.592 -177.9770
64.555359 83.533 -178.2751
65.023154 83.480 -178.5608
65.494339 83.433 -178.8377
65.968938 83.392 -179.1091
66.446976 83.356 -179.3767
66.928478 83.326 -179.6403
67.413469 83.299 -179.8983
67.901975 83.276 179.8516
68.394021 83.256 179.6114
68.889632 83.238 179.3826
69.388835 83.222 179.1658
69.891655 83.207 178.9614
70.398118 83.194 178.7702
70.908252 83.180 178.5932
71.422083 83.167 178.4311
71.939636 83.154 178.2835
72.460941 83.141 178.1481
72.986023 83.128 178.0205
73.514909 83.114 177.8946
74.047629 83.100 177.7633
74.584208 83.086 177.6202
75.124676 83.071 177.4610
75.669061 83.054 177.2838
76.217390 83.036 177.0891
76.769692 83.016 176.8785
77.325997 82.995 176.6541
77.886333 82.974 176.4169
78.450730 82.951 176.1677
79.019216 82.928 175.9068
79.591822 82.905 175.6342
80.168577 82.881 175.3500
80.749512 82.857 175.0551
81.334656 82.833 174.7504
81.924040 82.807 174.4373
82.517696 82.779 174.1168
83.115653 82.751 173.7889
83.717943 82.721 173.4534
84.324598 82.689 173.1089
84.935649 82.656 172.7550
85.551128 82.622 172.3914
86.171066 82.586 172.0194
86.795497 82.549 171.6414
87.424453 82.510 171.2608
88.057967 82.470 170.8812
88.696071 82.429 170.5056
89.338800 82.386 170.1359
89.986185 82.342 169.7730
90.638262 82.296 169.4170
91.295065 82.249 169.0674
91.956626 82.201 168.7236
92.622982 82.152 168.3854
93.294166 82.102 168.0527
93.970214 82.051 167.7263
94.651161 81.998 167.4075
95.337042 81.944 167.0982
96.027894 81.890 166.8002
96.723752 81.834 166.5146
97.424652 81.777 166.2424
98.130631 81.721 165.9835
98.841726 81.664 165.7378
99.557974 81.608 165.5051
100.279412 81.553 165.2856
101.006078 81.498 165.0791
101.738010 81.445 164.8854
102.475245 81.393 164.7031
103.217823 81.342 164.5300
103.965782 81.293 164.3632
104.719161 81.247 164.1998
105.477999 81.204 164.0371
106.242336 81.164 163.8734
107.012212 81.128 163.7076
107.787666 81.096 163.5400
108.568740 81.067 163.3717
109.355474 81.041 163.2041
110.147909 81.018 163.0387
110.946086 80.997 162.8769
111.750047 80.977 162.7197
112.559834 80.959 162.5677
113.375489 80.941 162.4214
114.197055 80.923 162.2802
115.024574 80.906 162.1435
115.858089 80.890 162.0102
116.697645 80.874 161.8789
117.543284 80.860 161.7479
118.395051 80.847 161.6149
119.252990 80.837 161.4771
120.117147 80.829 161.3318
120.987565 80.823 161.1764
121.864291 80.819 161.0087
122.747370 80.817 160.8275
123.636848 80.815 160.6320
124.532771 80.813 160.4221
125.435187 80.810 160.1978
126.344142 80.806 159.9594
127.259684 80.801 159.7075
128.181860 80.793 159.4421
129.110718 80.783 159.1631
130.046308 80.770 158.8699
130.988677 80.755 158.5612
131.937875 80.737 158.2366
132.893951 80.716 157.8964
133.856956 80.691 157.5424
134.826938 80.661 157.1784
135.803950 80.627 156.8093
136.788041 80.588 156.4408
137.779264 80.543 156.0781
138.777669 80.492 155.7256
139.783309 80.437 155.3860
140.796237 80.376 155.0605
141.816504 80.310 154.7496
142.844165 80.239 154.4530
143.879273 80.165 154.1703
144.921881 80.086 153.9012
145.972045 80.003 153.6451
147.029819 79.917 153.4018
148.095257 79.828 153.1715
149.168417 79.736 152.9548
150.249353 79.643 152.7529
151.338121 79.548 152.5677
152.434780 79.451 152.4014
153.539385 79.353 152.2568
154.651995 79.253 152.1371
155.772667 79.153 152.0450
156.901460 79.052 151.9836
158.038432 78.950 151.9556
159.183644 78.849 151.9632
160.337154 78.749 152.0077
161.499023 78.650 152.0897
162.669312 78.553 152.2091
163.848081 78.457 152.3652
165.035392 78.365 152.5573
166.231306 78.275 152.7841
167.435887 78.189 153.0440
168.649196 78.107 153.3351
169.871298 78.029 153.6550
171.102255 77.955 154.0012
172.342133 77.887 154.3711
173.590995 77.823 154.7621
174.848907 77.763 155.1709
176.115934 77.708 155.5938
177.392143 77.656 156.0265
178.677599 77.607 156.4650
179.972371 77.562 156.9059
181.276525 77.520 157.3461
182.590129 77.482 157.7838
183.913252 77.447 158.2175
185.245964 77.415 158.6461
186.588332 77.388 159.0690
187.940428 77.364 159.4851
189.302322 77.344 159.8934
190.674085 77.328 160.2924
192.055788 77.317 160.6802
193.447503 77.310 161.0550
194.849303 77.306 161.4142
196.261262 77.307 161.7556
197.683452 77.311 162.0766
199.115948 77.318 162.3748
200.558824 77.327 162.6484
202.012156 77.337 162.8964
203.476019 77.348 163.1189
204.950490 77.358 163.3184
206.435646 77.367 163.4985
207.931564 77.375 163.6638
209.438322 77.383 163.8182
210.955998 77.389 163.9652
212.484672 77.395 164.1071
214.024424 77.400 164.2459
215.575333 77.405 164.3833
217.137481 77.410 164.5210
218.710948 77.417 164.6602
220.295818 77.425 164.8014
221.892172 77.434 164.9445
223.500094 77.445 165.0888
225.119668 77.458 165.2335
226.750978 77.471 165.3777
228.394109 77.485 165.5204
230.049147 77.500 165.6613
231.716178 77.515 165.8005
233.395289 77.531 165.9388
235.086567 77.547 166.0773
236.790102 77.564 166.2172
238.505980 77.583 166.3597
240.234293 77.604 166.5051
241.975130 77.626 166.6533
243.728581 77.651 166.8036
245.494739 77.678 166.9549
247.273695 77.708 167.1062
249.065542 77.740 167.2569
250.870374 77.775 167.4070
252.688284 77.811 167.5569
254.519367 77.850 167.7072
256.363720 77.890 167.8581
258.221437 77.931 168.0096
260.092616 77.975 168.1609
261.977354 78.019 168.3103
263.875750 78.066 168.4551
265.787903 78.115 168.5915
267.713911 78.165 168.7156
269.653877 78.218 168.8245
271.607900 78.271 168.9164
273.576083 78.326 168.9913
275.558528 78.381 169.0499
277.555338 78.436 169.0941
279.566619 78.492 169.1257
281.592474 78.549 169.1461
283.633009 78.606 169.1560
285.688331 78.663 169.1557
287.758546 78.721 169.1447
289.843763 78.779 169.1225
291.944090 78.836 169.0887
294.059638 78.894 169.0430
296.190515 78.951 168.9857
298.336833 79.007 168.9171
300.498705 79.064 168.8381
302.676243 79.120 168.7497
304.869559 79.176 168.6529
307.078770 79.232 168.5484
309.303989 79.288 168.4368
311.545334 79.345 168.3184
313.802919 79.401 168.1933
316.076865 79.458 168.0619
318.367288 79.515 167.9242
320.674309 79.572 167.7800
322.998047 79.629 167.6291
325.338624 79.686 167.4708
327.696162 79.742 167.3046
330.070783 79.797 167.1300
332.462612 79.851 166.9469
334.871773 79.904 166.7549
337.298392 79.955 166.5538
339.742595 80.004 166.3433
342.204510 80.052 166.1235
344.684265 80.098 165.8947
347.181989 80.142 165.6572
349.697813 80.184 165.4118
352.231868 80.224 165.1592
354.784285 80.262 164.9000
357.355198 80.298 164.6346
359.944741 80.332 164.3630
362.553049 80.364 164.0855
365.180258 80.394 163.8022
367.826505 80.422 163.5132
370.491927 80.448 163.2181
373.176665 80.472 162.9169
