* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 5:11:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maxwell (Wired) WC L6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 79.907 -22.2298
20.333664 79.978 -22.7124
20.481010 80.072 -23.3636
20.629424 80.186 -24.1724
20.778913 80.315 -25.1258
20.929486 80.456 -26.2091
21.081150 80.605 -27.4059
21.233912 80.758 -28.6981
21.387782 80.914 -30.0660
21.542767 81.071 -31.4884
21.698874 81.227 -32.9429
21.856113 81.382 -34.4067
22.014492 81.536 -35.8574
22.174018 81.687 -37.2736
22.334700 81.838 -38.6367
22.496546 81.988 -39.9312
22.659566 82.138 -41.1460
22.823766 82.287 -42.2750
22.989157 82.438 -43.3171
23.155745 82.589 -44.2760
23.323542 82.740 -45.1600
23.492554 82.891 -45.9809
23.662790 83.041 -46.7532
23.834261 83.190 -47.4928
24.006973 83.336 -48.2165
24.180938 83.481 -48.9407
24.356163 83.621 -49.6814
24.532658 83.759 -50.4535
24.710431 83.893 -51.2707
24.889493 84.022 -52.1452
25.069853 84.148 -53.0873
25.251519 84.269 -54.1054
25.434502 84.384 -55.2051
25.618811 84.493 -56.3897
25.804456 84.595 -57.6588
25.991445 84.690 -59.0091
26.179790 84.775 -60.4341
26.369500 84.852 -61.9247
26.560584 84.919 -63.4696
26.753053 84.977 -65.0564
26.946917 85.027 -66.6726
27.142185 85.071 -68.3064
27.338869 85.109 -69.9477
27.536977 85.144 -71.5891
27.736522 85.178 -73.2253
27.937512 85.213 -74.8537
28.139959 85.249 -76.4733
28.343872 85.287 -78.0843
28.549264 85.326 -79.6861
28.756143 85.365 -81.2771
28.964522 85.402 -82.8537
29.174411 85.436 -84.4098
29.385821 85.464 -85.9373
29.598763 85.485 -87.4270
29.813248 85.499 -88.8697
30.029287 85.504 -90.2576
30.246891 85.503 -91.5858
30.466073 85.496 -92.8533
30.686842 85.485 -94.0637
30.909212 85.473 -95.2252
31.133193 85.462 -96.3498
31.358797 85.454 -97.4520
31.586035 85.450 -98.5470
31.814921 85.452 -99.6488
32.045465 85.459 -100.7686
32.277680 85.473 -101.9133
32.511577 85.493 -103.0851
32.747169 85.517 -104.2818
32.984469 85.546 -105.4970
33.223488 85.579 -106.7213
33.464239 85.615 -107.9436
33.706735 85.654 -109.1524
33.950987 85.694 -110.3364
34.197010 85.735 -111.4860
34.444816 85.777 -112.5936
34.694417 85.819 -113.6545
34.945827 85.861 -114.6668
35.199059 85.902 -115.6314
35.454126 85.941 -116.5522
35.711041 85.979 -117.4350
35.969818 86.015 -118.2872
36.230470 86.048 -119.1167
36.493011 86.079 -119.9315
36.757455 86.107 -120.7390
37.023814 86.133 -121.5457
37.292104 86.156 -122.3573
37.562338 86.178 -123.1784
37.834530 86.199 -124.0126
38.108695 86.219 -124.8621
38.384846 86.240 -125.7272
38.662999 86.261 -126.6059
38.943167 86.284 -127.4943
39.225365 86.308 -128.3861
39.509608 86.335 -129.2743
39.795911 86.365 -130.1519
40.084289 86.399 -131.0136
40.374756 86.437 -131.8564
40.667328 86.480 -132.6802
40.962020 86.527 -133.4868
41.258848 86.576 -134.2796
41.557827 86.627 -135.0614
41.858972 86.676 -135.8344
42.162299 86.722 -136.5997
42.467824 86.764 -137.3584
42.775564 86.801 -138.1121
43.085533 86.832 -138.8652
43.397749 86.859 -139.6245
43.712227 86.882 -140.3999
44.028983 86.902 -141.2027
44.348036 86.919 -142.0436
44.669400 86.934 -142.9304
44.993093 86.947 -143.8671
45.319131 86.956 -144.8528
45.647532 86.962 -145.8826
45.978313 86.964 -146.9493
46.311491 86.961 -148.0453
46.647083 86.953 -149.1642
46.985107 86.940 -150.3015
47.325581 86.921 -151.4548
47.668521 86.895 -152.6226
48.013947 86.863 -153.8029
48.361876 86.824 -154.9930
48.712326 86.777 -156.1879
49.065315 86.725 -157.3809
49.420863 86.666 -158.5642
49.778987 86.602 -159.7299
50.139706 86.533 -160.8705
50.503039 86.459 -161.9807
50.869005 86.382 -163.0573
51.237623 86.299 -164.0996
51.608912 86.213 -165.1088
51.982891 86.121 -166.0868
52.359580 86.023 -167.0351
52.739000 85.919 -167.9538
53.121168 85.810 -168.8415
53.506106 85.695 -169.6954
53.893833 85.575 -170.5125
54.284370 85.452 -171.2900
54.677737 85.327 -172.0258
55.073955 85.200 -172.7184
55.473043 85.072 -173.3663
55.875024 84.943 -173.9686
56.279917 84.815 -174.5246
56.687745 84.687 -175.0359
57.098527 84.559 -175.5060
57.512287 84.433 -175.9404
57.929045 84.309 -176.3456
58.348822 84.188 -176.7276
58.771642 84.071 -177.0914
59.197525 83.961 -177.4407
59.626495 83.859 -177.7787
60.058573 83.767 -178.1082
60.493782 83.686 -178.4308
60.932145 83.616 -178.7468
61.373685 83.555 -179.0547
61.818424 83.503 -179.3520
62.266386 83.458 -179.6363
62.717593 83.419 -179.9061
63.172071 83.383 179.8387
63.629842 83.350 179.5974
64.090930 83.320 179.3693
64.555359 83.291 179.1538
65.023154 83.263 178.9500
65.494339 83.237 178.7569
65.968938 83.212 178.5734
66.446976 83.189 178.3990
66.928478 83.165 178.2338
67.413469 83.143 178.0782
67.901975 83.120 177.9330
68.394021 83.098 177.7984
68.889632 83.077 177.6744
69.388835 83.056 177.5601
69.891655 83.035 177.4539
70.398118 83.017 177.3532
70.908252 82.999 177.2544
71.422083 82.983 177.1533
71.939636 82.968 177.0456
72.460941 82.954 176.9275
72.986023 82.939 176.7957
73.514909 82.924 176.6478
74.047629 82.907 176.4824
74.584208 82.888 176.2991
75.124676 82.867 176.0988
75.669061 82.844 175.8835
76.217390 82.819 175.6561
76.769692 82.792 175.4196
77.325997 82.765 175.1767
77.886333 82.736 174.9301
78.450730 82.706 174.6816
79.019216 82.675 174.4323
79.591822 82.643 174.1825
80.168577 82.611 173.9321
80.749512 82.578 173.6808
81.334656 82.543 173.4283
81.924040 82.508 173.1747
82.517696 82.473 172.9199
83.115653 82.437 172.6638
83.717943 82.401 172.4061
84.324598 82.366 172.1461
84.935649 82.331 171.8834
85.551128 82.296 171.6174
86.171066 82.261 171.3481
86.795497 82.226 171.0756
87.424453 82.190 170.7999
88.057967 82.153 170.5212
88.696071 82.115 170.2400
89.338800 82.076 169.9564
89.986185 82.036 169.6710
90.638262 81.995 169.3842
91.295065 81.952 169.0969
91.956626 81.909 168.8105
92.622982 81.863 168.5265
93.294166 81.817 168.2464
93.970214 81.769 167.9716
94.651161 81.719 167.7032
95.337042 81.668 167.4420
96.027894 81.615 167.1887
96.723752 81.562 166.9444
97.424652 81.508 166.7103
98.130631 81.454 166.4876
98.841726 81.400 166.2769
99.557974 81.347 166.0785
100.279412 81.294 165.8923
101.006078 81.243 165.7180
101.738010 81.192 165.5551
102.475245 81.142 165.4031
103.217823 81.093 165.2612
103.965782 81.045 165.1288
104.719161 80.998 165.0054
105.477999 80.953 164.8903
106.242336 80.909 164.7824
107.012212 80.868 164.6808
107.787666 80.828 164.5846
108.568740 80.792 164.4930
109.355474 80.757 164.4058
110.147909 80.725 164.3233
110.946086 80.696 164.2459
111.750047 80.669 164.1739
112.559834 80.646 164.1074
113.375489 80.624 164.0459
114.197055 80.605 163.9885
115.024574 80.588 163.9341
115.858089 80.573 163.8810
116.697645 80.559 163.8275
117.543284 80.546 163.7714
118.395051 80.533 163.7108
119.252990 80.520 163.6443
120.117147 80.508 163.5709
120.987565 80.495 163.4900
121.864291 80.483 163.4012
122.747370 80.472 163.3036
123.636848 80.461 163.1960
124.532771 80.450 163.0768
125.435187 80.440 162.9446
126.344142 80.431 162.7984
127.259684 80.421 162.6380
128.181860 80.412 162.4639
129.110718 80.401 162.2775
130.046308 80.388 162.0806
130.988677 80.372 161.8753
131.937875 80.353 161.6635
132.893951 80.330 161.4464
133.856956 80.301 161.2252
134.826938 80.268 161.0014
135.803950 80.230 160.7771
136.788041 80.188 160.5554
137.779264 80.142 160.3390
138.777669 80.093 160.1298
139.783309 80.040 159.9281
140.796237 79.985 159.7332
141.816504 79.928 159.5436
142.844165 79.868 159.3585
143.879273 79.806 159.1781
144.921881 79.741 159.0037
145.972045 79.674 158.8376
147.029819 79.605 158.6827
148.095257 79.533 158.5418
149.168417 79.459 158.4179
150.249353 79.383 158.3143
151.338121 79.305 158.2341
152.434780 79.226 158.1808
153.539385 79.144 158.1576
154.651995 79.062 158.1672
155.772667 78.979 158.2114
156.901460 78.895 158.2912
158.038432 78.812 158.4062
159.183644 78.729 158.5555
160.337154 78.647 158.7371
161.499023 78.567 158.9492
162.669312 78.489 159.1894
163.848081 78.415 159.4552
165.035392 78.344 159.7440
166.231306 78.277 160.0530
167.435887 78.214 160.3797
168.649196 78.156 160.7217
169.871298 78.102 161.0778
171.102255 78.053 161.4468
172.342133 78.008 161.8286
173.590995 77.968 162.2225
174.848907 77.932 162.6281
176.115934 77.901 163.0439
177.392143 77.874 163.4676
178.677599 77.851 163.8963
179.972371 77.832 164.3267
181.276525 77.817 164.7556
182.590129 77.804 165.1806
183.913252 77.795 165.5994
185.245964 77.790 166.0104
186.588332 77.788 166.4117
187.940428 77.790 166.8016
189.302322 77.796 167.1777
190.674085 77.805 167.5377
192.055788 77.819 167.8792
193.447503 77.836 168.2001
194.849303 77.856 168.4991
196.261262 77.879 168.7753
197.683452 77.903 169.0283
199.115948 77.929 169.2574
200.558824 77.954 169.4626
202.012156 77.980 169.6442
203.476019 78.005 169.8040
204.950490 78.030 169.9448
206.435646 78.054 170.0697
207.931564 78.078 170.1820
209.438322 78.100 170.2842
210.955998 78.121 170.3784
212.484672 78.140 170.4662
214.024424 78.157 170.5486
215.575333 78.173 170.6270
217.137481 78.187 170.7019
218.710948 78.201 170.7737
220.295818 78.214 170.8422
221.892172 78.228 170.9073
223.500094 78.242 170.9689
225.119668 78.257 171.0267
226.750978 78.273 171.0809
228.394109 78.290 171.1314
230.049147 78.308 171.1788
231.716178 78.328 171.2241
233.395289 78.348 171.2684
235.086567 78.370 171.3132
236.790102 78.393 171.3599
238.505980 78.418 171.4095
240.234293 78.445 171.4632
241.975130 78.475 171.5217
243.728581 78.507 171.5856
245.494739 78.541 171.6550
247.273695 78.577 171.7296
249.065542 78.617 171.8087
250.870374 78.658 171.8916
252.688284 78.702 171.9777
254.519367 78.749 172.0664
256.363720 78.799 172.1573
258.221437 78.851 172.2497
260.092616 78.907 172.3427
261.977354 78.965 172.4348
263.875750 79.025 172.5236
265.787903 79.087 172.6057
267.713911 79.151 172.6777
269.653877 79.216 172.7362
271.607900 79.283 172.7781
273.576083 79.350 172.8000
275.558528 79.419 172.7987
277.555338 79.488 172.7710
279.566619 79.558 172.7143
281.592474 79.629 172.6267
283.633009 79.700 172.5073
285.688331 79.772 172.3558
287.758546 79.843 172.1724
289.843763 79.913 171.9579
291.944090 79.981 171.7134
294.059638 80.048 171.4405
296.190515 80.112 171.1417
298.336833 80.173 170.8205
300.498705 80.231 170.4811
302.676243 80.286 170.1285
304.869559 80.337 169.7673
307.078770 80.384 169.4019
309.303989 80.426 169.0359
311.545334 80.464 168.6723
313.802919 80.498 168.3133
316.076865 80.527 167.9614
318.367288 80.552 167.6189
320.674309 80.574 167.2886
322.998047 80.592 166.9732
325.338624 80.607 166.6755
327.696162 80.620 166.3977
330.070783 80.631 166.1416
332.462612 80.641 165.9080
334.871773 80.650 165.6972
337.298392 80.660 165.5087
339.742595 80.669 165.3410
342.204510 80.679 165.1924
344.684265 80.689 165.0601
347.181989 80.700 164.9415
349.697813 80.712 164.8335
352.231868 80.724 164.7334
354.784285 80.738 164.6382
357.355198 80.753 164.5453
359.944741 80.770 164.4523
362.553049 80.788 164.3577
365.180258 80.807 164.2601
367.826505 80.828 164.1592
370.491927 80.850 164.0543
373.176665 80.874 163.9447
