* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 5:14:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maxwell (Wired) WC R8
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 80.400 -20.8669
20.333664 80.435 -21.7345
20.481010 80.480 -22.8636
20.629424 80.530 -24.1804
20.778913 80.582 -25.6064
20.929486 80.632 -27.0651
21.081150 80.680 -28.4883
21.233912 80.726 -29.8201
21.387782 80.773 -31.0195
21.542767 80.825 -32.0624
21.698874 80.885 -32.9414
21.856113 80.958 -33.6659
22.014492 81.046 -34.2595
22.174018 81.152 -34.7574
22.334700 81.276 -35.2015
22.496546 81.416 -35.6356
22.659566 81.571 -36.1009
22.823766 81.735 -36.6323
22.989157 81.907 -37.2565
23.155745 82.081 -37.9914
23.323542 82.257 -38.8469
23.492554 82.431 -39.8266
23.662790 82.602 -40.9298
23.834261 82.769 -42.1524
24.006973 82.931 -43.4888
24.180938 83.088 -44.9312
24.356163 83.237 -46.4705
24.532658 83.379 -48.0949
24.710431 83.510 -49.7903
24.889493 83.631 -51.5393
25.069853 83.738 -53.3218
25.251519 83.832 -55.1157
25.434502 83.912 -56.8981
25.618811 83.979 -58.6471
25.804456 84.033 -60.3440
25.991445 84.077 -61.9747
26.179790 84.114 -63.5319
26.369500 84.147 -65.0154
26.560584 84.177 -66.4327
26.753053 84.208 -67.7968
26.946917 84.239 -69.1248
27.142185 84.271 -70.4348
27.338869 84.303 -71.7429
27.536977 84.333 -73.0608
27.736522 84.361 -74.3946
27.937512 84.384 -75.7445
28.139959 84.402 -77.1061
28.343872 84.416 -78.4717
28.549264 84.428 -79.8336
28.756143 84.438 -81.1858
28.964522 84.450 -82.5254
29.174411 84.465 -83.8539
29.385821 84.484 -85.1756
29.598763 84.507 -86.4970
29.813248 84.534 -87.8235
30.029287 84.562 -89.1578
30.246891 84.588 -90.4982
30.466073 84.610 -91.8382
30.686842 84.627 -93.1671
30.909212 84.636 -94.4721
31.133193 84.640 -95.7404
31.358797 84.639 -96.9620
31.586035 84.636 -98.1320
31.814921 84.635 -99.2519
32.045465 84.639 -100.3298
32.277680 84.650 -101.3794
32.511577 84.670 -102.4177
32.747169 84.700 -103.4622
32.984469 84.737 -104.5280
33.223488 84.781 -105.6252
33.464239 84.828 -106.7575
33.706735 84.876 -107.9221
33.950987 84.922 -109.1099
34.197010 84.964 -110.3077
34.444816 85.002 -111.4994
34.694417 85.034 -112.6683
34.945827 85.062 -113.7991
35.199059 85.087 -114.8793
35.454126 85.110 -115.9005
35.711041 85.133 -116.8587
35.969818 85.159 -117.7547
36.230470 85.188 -118.5940
36.493011 85.223 -119.3856
36.757455 85.265 -120.1419
37.023814 85.314 -120.8767
37.292104 85.370 -121.6050
37.562338 85.431 -122.3407
37.834530 85.496 -123.0958
38.108695 85.562 -123.8787
38.384846 85.625 -124.6929
38.662999 85.684 -125.5372
38.943167 85.735 -126.4049
39.225365 85.777 -127.2857
39.509608 85.808 -128.1672
39.795911 85.830 -129.0370
40.084289 85.843 -129.8851
40.374756 85.851 -130.7050
40.667328 85.856 -131.4950
40.962020 85.861 -132.2576
41.258848 85.869 -132.9982
41.557827 85.882 -133.7244
41.858972 85.901 -134.4439
42.162299 85.927 -135.1642
42.467824 85.960 -135.8928
42.775564 85.999 -136.6375
43.085533 86.045 -137.4070
43.397749 86.095 -138.2110
43.712227 86.149 -139.0591
44.028983 86.205 -139.9602
44.348036 86.260 -140.9200
44.669400 86.314 -141.9407
44.993093 86.364 -143.0198
45.319131 86.410 -144.1513
45.647532 86.450 -145.3269
45.978313 86.483 -146.5371
46.311491 86.510 -147.7729
46.647083 86.528 -149.0266
46.985107 86.538 -150.2914
47.325581 86.538 -151.5617
47.668521 86.528 -152.8327
48.013947 86.507 -154.1006
48.361876 86.475 -155.3624
48.712326 86.434 -156.6160
49.065315 86.384 -157.8603
49.420863 86.325 -159.0939
49.778987 86.258 -160.3148
50.139706 86.184 -161.5192
50.503039 86.103 -162.7023
50.869005 86.015 -163.8580
51.237623 85.921 -164.9809
51.608912 85.821 -166.0664
51.982891 85.716 -167.1114
52.359580 85.606 -168.1139
52.739000 85.492 -169.0726
53.121168 85.373 -169.9866
53.506106 85.250 -170.8551
53.893833 85.123 -171.6775
54.284370 84.993 -172.4537
54.677737 84.861 -173.1839
55.073955 84.726 -173.8683
55.473043 84.589 -174.5067
55.875024 84.452 -175.0991
56.279917 84.315 -175.6462
56.687745 84.179 -176.1501
57.098527 84.045 -176.6142
57.512287 83.913 -177.0432
57.929045 83.783 -177.4418
58.348822 83.655 -177.8143
58.771642 83.531 -178.1646
59.197525 83.412 -178.4962
59.626495 83.298 -178.8136
60.058573 83.194 -179.1214
60.493782 83.099 -179.4235
60.932145 83.015 -179.7225
61.373685 82.940 179.9812
61.818424 82.875 179.6892
62.266386 82.816 179.4040
62.717593 82.762 179.1282
63.172071 82.711 178.8638
63.629842 82.663 178.6124
64.090930 82.616 178.3745
64.555359 82.571 178.1501
65.023154 82.528 177.9393
65.494339 82.488 177.7419
65.968938 82.450 177.5587
66.446976 82.415 177.3905
66.928478 82.382 177.2377
67.413469 82.351 177.0999
67.901975 82.323 176.9759
68.394021 82.296 176.8633
68.889632 82.272 176.7595
69.388835 82.249 176.6617
69.891655 82.227 176.5676
70.398118 82.208 176.4748
70.908252 82.191 176.3803
71.422083 82.174 176.2805
71.939636 82.158 176.1707
72.460941 82.142 176.0463
72.986023 82.125 175.9040
73.514909 82.107 175.7427
74.047629 82.086 175.5636
74.584208 82.064 175.3701
75.124676 82.039 175.1669
75.669061 82.014 174.9585
76.217390 81.987 174.7480
76.769692 81.960 174.5364
77.325997 81.933 174.3235
77.886333 81.906 174.1081
78.450730 81.880 173.8896
79.019216 81.854 173.6679
79.591822 81.828 173.4434
80.168577 81.803 173.2166
80.749512 81.776 172.9875
81.334656 81.750 172.7562
81.924040 81.722 172.5220
82.517696 81.694 172.2840
83.115653 81.665 172.0409
83.717943 81.635 171.7910
84.324598 81.605 171.5323
84.935649 81.574 171.2632
85.551128 81.542 170.9821
86.171066 81.508 170.6880
86.795497 81.472 170.3808
87.424453 81.435 170.0611
88.057967 81.395 169.7303
88.696071 81.353 169.3906
89.338800 81.309 169.0446
89.986185 81.263 168.6955
90.638262 81.215 168.3465
91.295065 81.165 168.0011
91.956626 81.113 167.6626
92.622982 81.059 167.3333
93.294166 81.003 167.0146
93.970214 80.945 166.7070
94.651161 80.886 166.4106
95.337042 80.827 166.1254
96.027894 80.766 165.8517
96.723752 80.704 165.5901
97.424652 80.643 165.3414
98.130631 80.580 165.1063
98.841726 80.518 164.8853
99.557974 80.455 164.6783
100.279412 80.393 164.4854
101.006078 80.332 164.3059
101.738010 80.272 164.1393
102.475245 80.213 163.9854
103.217823 80.155 163.8438
103.965782 80.100 163.7150
104.719161 80.046 163.5996
105.477999 79.994 163.4980
106.242336 79.943 163.4098
107.012212 79.894 163.3336
107.787666 79.848 163.2671
108.568740 79.803 163.2073
109.355474 79.760 163.1519
110.147909 79.719 163.0992
110.946086 79.681 163.0488
111.750047 79.645 163.0010
112.559834 79.611 162.9564
113.375489 79.580 162.9152
114.197055 79.551 162.8765
115.024574 79.524 162.8386
115.858089 79.498 162.7991
116.697645 79.474 162.7550
117.543284 79.451 162.7032
118.395051 79.430 162.6414
119.252990 79.409 162.5677
120.117147 79.390 162.4815
120.987565 79.373 162.3838
121.864291 79.357 162.2764
122.747370 79.342 162.1617
123.636848 79.328 162.0419
124.532771 79.315 161.9185
125.435187 79.302 161.7919
126.344142 79.290 161.6620
127.259684 79.278 161.5281
128.181860 79.266 161.3893
129.110718 79.253 161.2447
130.046308 79.238 161.0936
130.988677 79.221 160.9353
131.937875 79.201 160.7695
132.893951 79.177 160.5965
133.856956 79.149 160.4167
134.826938 79.116 160.2310
135.803950 79.077 160.0403
136.788041 79.034 159.8450
137.779264 78.984 159.6462
138.777669 78.930 159.4450
139.783309 78.872 159.2428
140.796237 78.810 159.0410
141.816504 78.744 158.8411
142.844165 78.674 158.6446
143.879273 78.602 158.4536
144.921881 78.527 158.2703
145.972045 78.449 158.0980
147.029819 78.369 157.9404
148.095257 78.287 157.8020
149.168417 78.204 157.6870
150.249353 78.119 157.5999
151.338121 78.032 157.5440
152.434780 77.944 157.5222
153.539385 77.856 157.5359
154.651995 77.766 157.5854
155.772667 77.675 157.6700
156.901460 77.584 157.7885
158.038432 77.492 157.9391
159.183644 77.401 158.1202
160.337154 77.309 158.3304
161.499023 77.218 158.5685
162.669312 77.128 158.8338
163.848081 77.039 159.1257
165.035392 76.953 159.4443
166.231306 76.869 159.7894
167.435887 76.788 160.1611
168.649196 76.711 160.5594
169.871298 76.638 160.9843
171.102255 76.570 161.4356
172.342133 76.506 161.9128
173.590995 76.447 162.4149
174.848907 76.393 162.9405
176.115934 76.344 163.4876
177.392143 76.299 164.0528
178.677599 76.258 164.6321
179.972371 76.222 165.2208
181.276525 76.189 165.8139
182.590129 76.161 166.4061
183.913252 76.137 166.9925
185.245964 76.117 167.5695
186.588332 76.100 168.1347
187.940428 76.088 168.6870
189.302322 76.079 169.2254
190.674085 76.074 169.7487
192.055788 76.072 170.2559
193.447503 76.074 170.7460
194.849303 76.079 171.2187
196.261262 76.086 171.6740
197.683452 76.096 172.1116
199.115948 76.109 172.5314
200.558824 76.124 172.9325
202.012156 76.141 173.3132
203.476019 76.161 173.6711
204.950490 76.184 174.0043
206.435646 76.209 174.3121
207.931564 76.236 174.5956
209.438322 76.264 174.8574
210.955998 76.294 175.1010
212.484672 76.324 175.3300
214.024424 76.356 175.5477
215.575333 76.387 175.7570
217.137481 76.419 175.9605
218.710948 76.451 176.1607
220.295818 76.483 176.3598
221.892172 76.515 176.5597
223.500094 76.547 176.7619
225.119668 76.580 176.9672
226.750978 76.613 177.1763
228.394109 76.646 177.3893
230.049147 76.681 177.6060
231.716178 76.717 177.8256
233.395289 76.753 178.0470
235.086567 76.791 178.2682
236.790102 76.830 178.4872
238.505980 76.870 178.7025
240.234293 76.912 178.9133
241.975130 76.955 179.1201
243.728581 77.001 179.3247
245.494739 77.049 179.5289
247.273695 77.099 179.7345
249.065542 77.152 179.9429
250.870374 77.207 -179.8452
252.688284 77.264 -179.6297
254.519367 77.323 -179.4116
256.363720 77.384 -179.1924
258.221437 77.446 -178.9746
260.092616 77.510 -178.7607
261.977354 77.576 -178.5533
263.875750 77.644 -178.3546
265.787903 77.715 -178.1662
267.713911 77.787 -177.9888
269.653877 77.862 -177.8224
271.607900 77.938 -177.6671
273.576083 78.016 -177.5229
275.558528 78.096 -177.3906
277.555338 78.177 -177.2711
279.566619 78.260 -177.1658
281.592474 78.346 -177.0758
283.633009 78.433 -177.0018
285.688331 78.522 -176.9446
287.758546 78.613 -176.9046
289.843763 78.706 -176.8820
291.944090 78.800 -176.8765
294.059638 78.895 -176.8874
296.190515 78.991 -176.9141
298.336833 79.088 -176.9564
300.498705 79.186 -177.0141
302.676243 79.285 -177.0876
304.869559 79.385 -177.1775
307.078770 79.486 -177.2845
309.303989 79.587 -177.4095
311.545334 79.689 -177.5536
313.802919 79.791 -177.7175
316.076865 79.893 -177.9017
318.367288 79.996 -178.1066
320.674309 80.097 -178.3325
322.998047 80.198 -178.5793
325.338624 80.299 -178.8471
327.696162 80.397 -179.1357
330.070783 80.495 -179.4446
332.462612 80.590 -179.7733
334.871773 80.683 179.8789
337.298392 80.774 179.5126
339.742595 80.862 179.1282
342.204510 80.947 178.7258
344.684265 81.029 178.3057
347.181989 81.108 177.8680
349.697813 81.183 177.4132
352.231868 81.255 176.9415
354.784285 81.323 176.4534
357.355198 81.389 175.9492
359.944741 81.450 175.4296
362.553049 81.508 174.8953
365.180258 81.563 174.3473
367.826505 81.614 173.7865
