* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 10, 2025 1:42:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maxwell L3
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 98.026 25.5982
20.287556 98.057 25.1808
20.434568 98.096 24.6243
20.582645 98.141 23.9458
20.731796 98.189 23.1635
20.882027 98.237 22.2945
21.033346 98.283 21.3539
21.185763 98.326 20.3541
21.339284 98.366 19.3048
21.493917 98.402 18.2130
21.649671 98.435 17.0839
21.806553 98.467 15.9211
21.964572 98.499 14.7274
22.123737 98.530 13.5052
22.284054 98.563 12.2570
22.445534 98.598 10.9857
22.608183 98.635 9.6950
22.772012 98.676 8.3887
22.937027 98.720 7.0710
23.103238 98.769 5.7462
23.270654 98.823 4.4178
23.439282 98.882 3.0889
23.609133 98.949 1.7609
23.780215 99.023 0.4340
23.952536 99.107 -0.8934
24.126106 99.201 -2.2246
24.300934 99.305 -3.5638
24.477028 99.419 -4.9163
24.654399 99.541 -6.2873
24.833055 99.670 -7.6814
25.013005 99.805 -9.1019
25.194260 99.941 -10.5501
25.376828 100.078 -12.0248
25.560719 100.211 -13.5228
25.745942 100.339 -15.0383
25.932508 100.460 -16.5640
26.120426 100.571 -18.0915
26.309705 100.673 -19.6122
26.500356 100.766 -21.1181
26.692388 100.849 -22.6030
26.885812 100.923 -24.0626
27.080638 100.990 -25.4953
27.276876 101.050 -26.9020
27.474535 101.107 -28.2863
27.673627 101.161 -29.6534
27.874161 101.215 -31.0094
28.076149 101.272 -32.3610
28.279600 101.332 -33.7140
28.484526 101.399 -35.0728
28.690937 101.474 -36.4404
28.898843 101.560 -37.8178
29.108256 101.659 -39.2045
29.319186 101.771 -40.5991
29.531645 101.897 -41.9992
29.745644 102.036 -43.4028
29.961193 102.186 -44.8080
30.178304 102.344 -46.2137
30.396989 102.506 -47.6195
30.617258 102.668 -49.0254
30.839123 102.824 -50.4319
31.062596 102.969 -51.8392
31.287688 103.098 -53.2470
31.514412 103.205 -54.6541
31.742778 103.286 -56.0588
31.972800 103.339 -57.4583
32.204488 103.360 -58.8496
32.437855 103.350 -60.2290
32.672913 103.306 -61.5929
32.909674 103.231 -62.9381
33.148151 103.127 -64.2612
33.388356 102.995 -65.5594
33.630302 102.839 -66.8298
33.874001 102.664 -68.0696
34.119466 102.472 -69.2760
34.366710 102.269 -70.4460
34.615745 102.060 -71.5770
34.866585 101.848 -72.6665
35.119243 101.640 -73.7130
35.373731 101.438 -74.7159
35.630064 101.248 -75.6759
35.888254 101.073 -76.5950
36.148315 100.917 -77.4766
36.410261 100.782 -78.3248
36.674104 100.671 -79.1448
36.939860 100.586 -79.9418
37.207542 100.527 -80.7211
37.477163 100.496 -81.4875
37.748738 100.493 -82.2455
38.022281 100.519 -82.9986
38.297806 100.572 -83.7499
38.575327 100.652 -84.5014
38.854860 100.759 -85.2547
39.136419 100.891 -86.0111
39.420017 101.047 -86.7718
39.705671 101.224 -87.5382
39.993395 101.423 -88.3122
40.283203 101.640 -89.0962
40.575112 101.875 -89.8935
40.869136 102.124 -90.7078
41.165290 102.387 -91.5432
41.463591 102.660 -92.4041
41.764053 102.941 -93.2944
42.066693 103.228 -94.2180
42.371525 103.517 -95.1781
42.678567 103.807 -96.1771
42.987834 104.093 -97.2169
43.299341 104.372 -98.2986
43.613106 104.643 -99.4224
43.929145 104.900 -100.5880
44.247473 105.143 -101.7945
44.568109 105.368 -103.0404
44.891068 105.573 -104.3234
45.216367 105.756 -105.6409
45.544023 105.917 -106.9893
45.874054 106.052 -108.3641
46.206476 106.163 -109.7599
46.541307 106.248 -111.1699
46.878565 106.307 -112.5866
47.218266 106.340 -114.0017
47.560429 106.350 -115.4072
47.905072 106.336 -116.7957
48.252212 106.301 -118.1611
48.601867 106.247 -119.4995
48.954056 106.176 -120.8087
49.308798 106.090 -122.0884
49.666109 105.993 -123.3397
50.026010 105.886 -124.5640
50.388520 105.771 -125.7629
50.753656 105.650 -126.9375
51.121437 105.526 -128.0884
51.491884 105.399 -129.2158
51.865016 105.270 -130.3190
52.240851 105.142 -131.3973
52.619410 105.014 -132.4494
53.000712 104.887 -133.4736
53.384777 104.762 -134.4684
53.771625 104.637 -135.4318
54.161276 104.513 -136.3622
54.553751 104.390 -137.2582
54.949070 104.266 -138.1185
55.347254 104.140 -138.9423
55.748323 104.013 -139.7291
56.152298 103.883 -140.4784
56.559201 103.750 -141.1899
56.969052 103.613 -141.8636
57.381873 103.474 -142.4993
57.797686 103.331 -143.0971
58.216512 103.186 -143.6575
58.638373 103.039 -144.1810
59.063291 102.891 -144.6689
59.491288 102.744 -145.1230
59.922386 102.598 -145.5461
60.356608 102.454 -145.9412
60.793977 102.313 -146.3120
61.234515 102.174 -146.6614
61.678246 102.039 -146.9922
62.125192 101.908 -147.3062
62.575377 101.780 -147.6044
63.028824 101.656 -147.8877
63.485557 101.537 -148.1570
63.945599 101.423 -148.4133
64.408975 101.314 -148.6583
64.875709 101.210 -148.8941
65.345825 101.112 -149.1231
65.819348 101.021 -149.3473
66.296302 100.935 -149.5687
66.776713 100.856 -149.7889
67.260604 100.783 -150.0090
67.748002 100.716 -150.2298
68.238932 100.654 -150.4521
68.733420 100.597 -150.6767
69.231490 100.545 -150.9045
69.733170 100.498 -151.1361
70.238485 100.454 -151.3723
70.747463 100.414 -151.6131
71.260128 100.377 -151.8584
71.776508 100.344 -152.1078
72.296630 100.313 -152.3606
72.820521 100.285 -152.6166
73.348209 100.260 -152.8757
73.879720 100.237 -153.1381
74.415083 100.215 -153.4041
74.954326 100.196 -153.6743
75.497475 100.177 -153.9488
76.044561 100.159 -154.2276
76.595612 100.140 -154.5106
77.150655 100.122 -154.7975
77.709720 100.102 -155.0879
78.272837 100.081 -155.3818
78.840034 100.057 -155.6795
79.411342 100.031 -155.9816
79.986789 100.002 -156.2887
80.566406 99.969 -156.6016
81.150224 99.933 -156.9206
81.738272 99.893 -157.2456
82.330581 99.851 -157.5763
82.927182 99.805 -157.9123
83.528107 99.759 -158.2529
84.133386 99.712 -158.5974
84.743051 99.667 -158.9452
85.357134 99.627 -159.2955
85.975667 99.594 -159.6475
86.598682 99.572 -160.0002
87.226212 99.565 -160.3524
87.858289 99.575 -160.7029
88.494946 99.605 -161.0505
89.136217 99.657 -161.3940
89.782135 99.732 -161.7325
90.432733 99.830 -162.0651
91.088046 99.948 -162.3908
91.748108 100.083 -162.7086
92.412952 100.232 -163.0177
93.082615 100.388 -163.3171
93.757130 100.547 -163.6064
94.436533 100.704 -163.8851
95.120859 100.853 -164.1532
95.810144 100.991 -164.4109
96.504423 101.114 -164.6582
97.203734 101.221 -164.8953
97.908112 101.310 -165.1220
98.617595 101.382 -165.3381
99.332219 101.437 -165.5433
100.052021 101.477 -165.7374
100.777039 101.504 -165.9201
101.507311 101.521 -166.0913
102.242875 101.530 -166.2511
102.983769 101.532 -166.3995
103.730032 101.528 -166.5368
104.481702 101.520 -166.6628
105.238820 101.508 -166.7774
106.001424 101.492 -166.8804
106.769554 101.469 -166.9719
107.543250 101.440 -167.0524
108.322553 101.401 -167.1226
109.107503 101.353 -167.1839
109.898141 101.294 -167.2376
110.694508 101.223 -167.2856
111.496646 101.140 -167.3298
112.304596 101.045 -167.3721
113.118402 100.940 -167.4145
113.938104 100.826 -167.4584
114.763747 100.704 -167.5051
115.595372 100.577 -167.5555
116.433024 100.448 -167.6102
117.276746 100.318 -167.6698
118.126581 100.189 -167.7348
118.982575 100.063 -167.8057
119.844772 99.940 -167.8830
120.713217 99.821 -167.9668
121.587954 99.705 -168.0571
122.469031 99.592 -168.1535
123.356492 99.482 -168.2558
124.250384 99.371 -168.3633
125.150753 99.259 -168.4760
126.057647 99.145 -168.5938
126.971113 99.026 -168.7174
127.891198 98.902 -168.8474
128.817950 98.772 -168.9850
129.751418 98.634 -169.1307
130.691651 98.490 -169.2852
131.638696 98.339 -169.4487
132.592604 98.183 -169.6207
133.553425 98.024 -169.8009
134.521208 97.864 -169.9885
135.496004 97.706 -170.1825
136.477864 97.553 -170.3820
137.466839 97.408 -170.5857
138.462981 97.275 -170.7924
139.466340 97.155 -171.0006
140.476971 97.051 -171.2087
141.494925 96.964 -171.4151
142.520256 96.893 -171.6176
143.553016 96.836 -171.8143
144.593260 96.790 -172.0029
145.641043 96.752 -172.1812
146.696418 96.719 -172.3468
147.759441 96.686 -172.4978
148.830166 96.649 -172.6320
149.908651 96.607 -172.7472
150.994951 96.557 -172.8414
152.089123 96.498 -172.9123
153.191223 96.430 -172.9577
154.301310 96.353 -172.9754
155.419441 96.269 -172.9638
156.545674 96.180 -172.9210
157.680069 96.088 -172.8455
158.822683 95.994 -172.7359
159.973578 95.901 -172.5911
161.132813 95.809 -172.4102
162.300447 95.721 -172.1928
163.476543 95.637 -171.9391
164.661162 95.557 -171.6497
165.854364 95.484 -171.3260
167.056213 95.418 -170.9700
168.266772 95.359 -170.5842
169.486102 95.307 -170.1715
170.714268 95.265 -169.7351
171.951334 95.232 -169.2782
173.197364 95.208 -168.8040
174.452424 95.194 -168.3156
175.716578 95.190 -167.8158
176.989893 95.195 -167.3078
178.272434 95.207 -166.7948
179.564270 95.227 -166.2799
180.865467 95.252 -165.7666
182.176092 95.281 -165.2582
183.496216 95.313 -164.7575
184.825905 95.346 -164.2672
186.165229 95.380 -163.7895
187.514259 95.414 -163.3260
188.873065 95.449 -162.8783
190.241717 95.484 -162.4473
191.620287 95.520 -162.0340
193.008847 95.557 -161.6388
194.407468 95.594 -161.2620
195.816225 95.633 -160.9035
197.235190 95.673 -160.5630
198.664438 95.713 -160.2401
200.104042 95.753 -159.9345
201.554078 95.793 -159.6457
203.014622 95.831 -159.3731
204.485750 95.867 -159.1155
205.967538 95.900 -158.8719
207.460064 95.930 -158.6408
208.963405 95.955 -158.4207
210.477640 95.977 -158.2100
212.002848 95.995 -158.0070
213.539108 96.010 -157.8098
215.086500 96.021 -157.6167
216.645105 96.029 -157.4263
218.215005 96.035 -157.2375
219.796281 96.037 -157.0492
221.389015 96.037 -156.8607
222.993292 96.034 -156.6713
224.609193 96.027 -156.4804
226.236804 96.015 -156.2872
227.876209 95.999 -156.0907
229.527494 95.977 -155.8901
231.190745 95.950 -155.6843
232.866048 95.918 -155.4724
234.553491 95.881 -155.2538
236.253163 95.840 -155.0278
237.965150 95.795 -154.7939
239.689544 95.749 -154.5518
241.426433 95.701 -154.3012
243.175909 95.654 -154.0423
244.938062 95.608 -153.7751
246.712984 95.565 -153.5005
248.500768 95.526 -153.2191
250.301507 95.490 -152.9318
252.115295 95.461 -152.6396
253.942226 95.437 -152.3435
255.782396 95.420 -152.0445
257.635901 95.411 -151.7436
259.502837 95.410 -151.4418
261.383301 95.417 -151.1407
263.277392 95.432 -150.8419
265.185209 95.457 -150.5474
267.106850 95.491 -150.2590
269.042417 95.533 -149.9790
270.992009 95.583 -149.7095
272.955729 95.641 -149.4526
274.933678 95.707 -149.2102
276.925961 95.778 -148.9843
278.932681 95.856 -148.7766
280.953942 95.939 -148.5884
282.989850 96.028 -148.4211
285.040511 96.121 -148.2757
287.106032 96.220 -148.1533
289.186521 96.324 -148.0547
291.282086 96.434 -147.9806
293.392836 96.550 -147.9317
295.518881 96.672 -147.9082
297.660333 96.800 -147.9104
299.817302 96.932 -147.9379
301.989902 97.067 -147.9902
304.178245 97.204 -148.0670
306.382446 97.341 -148.1678
308.602620 97.475 -148.2921
310.838882 97.605 -148.4397
313.091348 97.728 -148.6101
315.360137 97.843 -148.8026
317.645367 97.949 -149.0159
319.947156 98.043 -149.2486
322.265625 98.126 -149.4985
324.600895 98.195 -149.7632
326.953086 98.250 -150.0397
329.322323 98.291 -150.3244
331.708729 98.316 -150.6133
334.112427 98.327 -150.9022
336.533543 98.323 -151.1863
