* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 10, 2025 1:48:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maxwell R3
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.356 33.6169
20.287556 99.415 33.0939
20.434568 99.490 32.3970
20.582645 99.575 31.5463
20.731796 99.665 30.5640
20.882027 99.754 29.4727
21.033346 99.838 28.2942
21.185763 99.912 27.0485
21.339284 99.976 25.7538
21.493917 100.027 24.4261
21.649671 100.066 23.0788
21.806553 100.094 21.7230
21.964572 100.111 20.3672
22.123737 100.121 19.0176
22.284054 100.125 17.6781
22.445534 100.126 16.3503
22.608183 100.125 15.0342
22.772012 100.126 13.7279
22.937027 100.130 12.4282
23.103238 100.139 11.1311
23.270654 100.156 9.8317
23.439282 100.182 8.5250
23.609133 100.218 7.2060
23.780215 100.266 5.8698
23.952536 100.327 4.5120
24.126106 100.400 3.1288
24.300934 100.487 1.7172
24.477028 100.585 0.2747
24.654399 100.695 -1.2002
24.833055 100.815 -2.7082
25.013005 100.943 -4.2492
25.194260 101.077 -5.8222
25.376828 101.213 -7.4255
25.560719 101.351 -9.0567
25.745942 101.487 -10.7125
25.932508 101.619 -12.3890
26.120426 101.746 -14.0819
26.309705 101.865 -15.7864
26.500356 101.976 -17.4976
26.692388 102.078 -19.2104
26.885812 102.170 -20.9199
27.080638 102.252 -22.6215
27.276876 102.326 -24.3111
27.474535 102.392 -25.9852
27.673627 102.451 -27.6412
27.874161 102.506 -29.2772
28.076149 102.559 -30.8924
28.279600 102.613 -32.4868
28.484526 102.671 -34.0610
28.690937 102.735 -35.6168
28.898843 102.809 -37.1561
29.108256 102.895 -38.6813
29.319186 102.994 -40.1949
29.531645 103.107 -41.6994
29.745644 103.232 -43.1969
29.961193 103.367 -44.6890
30.178304 103.511 -46.1768
30.396989 103.658 -47.6605
30.617258 103.805 -49.1394
30.839123 103.946 -50.6120
31.062596 104.078 -52.0761
31.287688 104.194 -53.5287
31.514412 104.293 -54.9662
31.742778 104.368 -56.3851
31.972800 104.419 -57.7815
32.204488 104.442 -59.1521
32.437855 104.436 -60.4943
32.672913 104.402 -61.8061
32.909674 104.339 -63.0866
33.148151 104.248 -64.3361
33.388356 104.132 -65.5556
33.630302 103.994 -66.7471
33.874001 103.835 -67.9131
34.119466 103.661 -69.0565
34.366710 103.474 -70.1799
34.615745 103.279 -71.2856
34.866585 103.080 -72.3753
35.119243 102.881 -73.4498
35.373731 102.687 -74.5089
35.630064 102.502 -75.5516
35.888254 102.329 -76.5763
36.148315 102.173 -77.5810
36.410261 102.035 -78.5638
36.674104 101.919 -79.5234
36.939860 101.826 -80.4592
37.207542 101.759 -81.3717
37.477163 101.718 -82.2621
37.748738 101.703 -83.1326
38.022281 101.714 -83.9853
38.297806 101.750 -84.8228
38.575327 101.811 -85.6475
38.854860 101.896 -86.4617
39.136419 102.004 -87.2681
39.420017 102.134 -88.0698
39.705671 102.286 -88.8706
39.993395 102.459 -89.6750
40.283203 102.651 -90.4879
40.575112 102.862 -91.3145
40.869136 103.089 -92.1595
41.165290 103.330 -93.0268
41.463591 103.583 -93.9193
41.764053 103.846 -94.8389
42.066693 104.116 -95.7866
42.371525 104.389 -96.7628
42.678567 104.664 -97.7674
42.987834 104.938 -98.7998
43.299341 105.207 -99.8594
43.613106 105.468 -100.9452
43.929145 105.719 -102.0565
44.247473 105.957 -103.1930
44.568109 106.179 -104.3550
44.891068 106.384 -105.5435
45.216367 106.569 -106.7597
45.544023 106.734 -108.0053
45.874054 106.876 -109.2817
46.206476 106.995 -110.5891
46.541307 107.092 -111.9270
46.878565 107.164 -113.2930
47.218266 107.214 -114.6835
47.560429 107.240 -116.0933
47.905072 107.244 -117.5162
48.252212 107.227 -118.9456
48.601867 107.190 -120.3743
48.954056 107.135 -121.7959
49.308798 107.062 -123.2043
49.666109 106.973 -124.5945
50.026010 106.871 -125.9622
50.388520 106.757 -127.3036
50.753656 106.634 -128.6153
51.121437 106.504 -129.8938
51.491884 106.368 -131.1362
51.865016 106.230 -132.3395
52.240851 106.090 -133.5017
52.619410 105.950 -134.6217
53.000712 105.811 -135.6989
53.384777 105.673 -136.7338
53.771625 105.537 -137.7268
54.161276 105.402 -138.6784
54.553751 105.267 -139.5891
54.949070 105.132 -140.4590
55.347254 104.998 -141.2883
55.748323 104.862 -142.0772
56.152298 104.725 -142.8264
56.559201 104.588 -143.5371
56.969052 104.448 -144.2107
57.381873 104.307 -144.8493
57.797686 104.165 -145.4554
58.216512 104.020 -146.0313
58.638373 103.874 -146.5793
59.063291 103.727 -147.1011
59.491288 103.579 -147.5979
59.922386 103.431 -148.0703
60.356608 103.282 -148.5186
60.793977 103.135 -148.9429
61.234515 102.988 -149.3434
61.678246 102.843 -149.7207
62.125192 102.701 -150.0758
62.575377 102.561 -150.4101
63.028824 102.425 -150.7249
63.485557 102.293 -151.0219
63.945599 102.166 -151.3024
64.408975 102.044 -151.5676
64.875709 101.927 -151.8188
65.345825 101.816 -152.0570
65.819348 101.711 -152.2833
66.296302 101.613 -152.4990
66.776713 101.521 -152.7055
67.260604 101.435 -152.9047
67.748002 101.356 -153.0984
68.238932 101.283 -153.2888
68.733420 101.216 -153.4779
69.231490 101.155 -153.6675
69.733170 101.099 -153.8589
70.238485 101.049 -154.0532
70.747463 101.003 -154.2517
71.260128 100.961 -154.4552
71.776508 100.923 -154.6647
72.296630 100.890 -154.8806
72.820521 100.859 -155.1030
73.348209 100.832 -155.3316
73.879720 100.807 -155.5661
74.415083 100.785 -155.8060
74.954326 100.764 -156.0509
75.497475 100.745 -156.3008
76.044561 100.727 -156.5559
76.595612 100.709 -156.8166
77.150655 100.691 -157.0835
77.709720 100.671 -157.3569
78.272837 100.650 -157.6370
78.840034 100.626 -157.9238
79.411342 100.599 -158.2172
79.986789 100.568 -158.5172
80.566406 100.534 -158.8236
81.150224 100.496 -159.1363
81.738272 100.455 -159.4550
82.330581 100.410 -159.7793
82.927182 100.362 -160.1087
83.528107 100.313 -160.4424
84.133386 100.264 -160.7796
84.743051 100.218 -161.1194
85.357134 100.176 -161.4611
85.975667 100.142 -161.8038
86.598682 100.119 -162.1469
87.226212 100.111 -162.4896
87.858289 100.121 -162.8309
88.494946 100.151 -163.1698
89.136217 100.203 -163.5050
89.782135 100.279 -163.8357
90.432733 100.378 -164.1607
91.088046 100.497 -164.4794
91.748108 100.635 -164.7911
92.412952 100.785 -165.0954
93.082615 100.944 -165.3922
93.757130 101.105 -165.6813
94.436533 101.264 -165.9631
95.120859 101.415 -166.2375
95.810144 101.554 -166.5045
96.504423 101.679 -166.7640
97.203734 101.787 -167.0154
97.908112 101.877 -167.2580
98.617595 101.949 -167.4914
99.332219 102.005 -167.7150
100.052021 102.046 -167.9283
100.777039 102.074 -168.1310
101.507311 102.091 -168.3232
102.242875 102.101 -168.5051
102.983769 102.104 -168.6773
103.730032 102.102 -168.8405
104.481702 102.095 -168.9952
105.238820 102.085 -169.1420
106.001424 102.070 -169.2811
106.769554 102.049 -169.4127
107.543250 102.022 -169.5369
108.322553 101.986 -169.6542
109.107503 101.940 -169.7653
109.898141 101.882 -169.8712
110.694508 101.812 -169.9732
111.496646 101.730 -170.0724
112.304596 101.636 -170.1701
113.118402 101.530 -170.2677
113.938104 101.415 -170.3662
114.763747 101.292 -170.4667
115.595372 101.164 -170.5699
116.433024 101.032 -170.6760
117.276746 100.900 -170.7850
118.126581 100.768 -170.8968
118.982575 100.638 -171.0112
119.844772 100.512 -171.1283
120.713217 100.389 -171.2484
121.587954 100.270 -171.3722
122.469031 100.154 -171.5002
123.356492 100.040 -171.6329
124.250384 99.926 -171.7711
125.150753 99.811 -171.9155
126.057647 99.694 -172.0670
126.971113 99.572 -172.2264
127.891198 99.445 -172.3950
128.817950 99.311 -172.5736
129.751418 99.170 -172.7631
130.691651 99.022 -172.9639
131.638696 98.867 -173.1758
132.592604 98.706 -173.3982
133.553425 98.541 -173.6298
134.521208 98.375 -173.8691
135.496004 98.210 -174.1147
136.477864 98.050 -174.3649
137.466839 97.897 -174.6181
138.462981 97.755 -174.8727
139.466340 97.626 -175.1272
140.476971 97.513 -175.3799
141.494925 97.415 -175.6291
142.520256 97.332 -175.8727
143.553016 97.264 -176.1086
144.593260 97.206 -176.3348
145.641043 97.156 -176.5489
146.696418 97.110 -176.7488
147.759441 97.064 -176.9322
148.830166 97.015 -177.0969
149.908651 96.960 -177.2403
150.994951 96.897 -177.3599
152.089123 96.825 -177.4528
153.191223 96.743 -177.5162
154.301310 96.652 -177.5476
155.419441 96.554 -177.5449
156.545674 96.451 -177.5067
157.680069 96.343 -177.4320
158.822683 96.234 -177.3203
159.973578 96.124 -177.1711
161.132813 96.017 -176.9841
162.300447 95.912 -176.7594
163.476543 95.812 -176.4967
164.661162 95.717 -176.1968
165.854364 95.628 -175.8605
167.056213 95.546 -175.4892
168.266772 95.471 -175.0848
169.486102 95.404 -174.6498
170.714268 95.346 -174.1868
171.951334 95.298 -173.6986
173.197364 95.259 -173.1880
174.452424 95.230 -172.6578
175.716578 95.210 -172.1109
176.989893 95.199 -171.5499
178.272434 95.197 -170.9777
179.564270 95.202 -170.3973
180.865467 95.213 -169.8119
182.176092 95.228 -169.2247
183.496216 95.246 -168.6387
184.825905 95.267 -168.0570
186.165229 95.289 -167.4819
187.514259 95.312 -166.9156
188.873065 95.336 -166.3602
190.241717 95.362 -165.8172
191.620287 95.389 -165.2883
193.008847 95.418 -164.7744
194.407468 95.450 -164.2766
195.816225 95.484 -163.7951
197.235190 95.519 -163.3302
198.664438 95.557 -162.8814
200.104042 95.595 -162.4484
201.554078 95.633 -162.0303
203.014622 95.671 -161.6262
204.485750 95.707 -161.2355
205.967538 95.741 -160.8573
207.460064 95.772 -160.4905
208.963405 95.801 -160.1343
210.477640 95.827 -159.7878
212.002848 95.851 -159.4501
213.539108 95.872 -159.1206
215.086500 95.891 -158.7985
216.645105 95.908 -158.4832
218.215005 95.924 -158.1740
219.796281 95.938 -157.8704
221.389015 95.951 -157.5717
222.993292 95.961 -157.2776
224.609193 95.969 -156.9877
226.236804 95.973 -156.7013
227.876209 95.972 -156.4182
229.527494 95.967 -156.1376
231.190745 95.958 -155.8590
232.866048 95.944 -155.5820
234.553491 95.925 -155.3060
236.253163 95.904 -155.0311
237.965150 95.879 -154.7575
239.689544 95.853 -154.4858
241.426433 95.827 -154.2170
243.175909 95.801 -153.9521
244.938062 95.777 -153.6918
246.712984 95.755 -153.4369
248.500768 95.736 -153.1878
250.301507 95.720 -152.9448
252.115295 95.709 -152.7078
253.942226 95.704 -152.4767
255.782396 95.703 -152.2515
257.635901 95.710 -152.0323
259.502837 95.722 -151.8194
261.383301 95.742 -151.6131
263.277392 95.770 -151.4144
265.185209 95.805 -151.2239
267.106850 95.847 -151.0428
269.042417 95.896 -150.8723
270.992009 95.952 -150.7136
272.955729 96.013 -150.5680
274.933678 96.080 -150.4363
276.925961 96.152 -150.3192
278.932681 96.228 -150.2169
280.953942 96.307 -150.1294
282.989850 96.390 -150.0562
285.040511 96.475 -149.9966
287.106032 96.565 -149.9500
289.186521 96.658 -149.9157
291.282086 96.756 -149.8930
293.392836 96.860 -149.8818
295.518881 96.969 -149.8818
297.660333 97.083 -149.8930
299.817302 97.203 -149.9156
301.989902 97.326 -149.9494
304.178245 97.451 -149.9942
306.382446 97.578 -150.0498
308.602620 97.703 -150.1157
310.838882 97.826 -150.1916
313.091348 97.944 -150.2769
315.360137 98.055 -150.3713
317.645367 98.160 -150.4744
319.947156 98.256 -150.5861
322.265625 98.342 -150.7062
324.600895 98.419 -150.8347
326.953086 98.486 -150.9716
329.322323 98.542 -151.1171
331.708729 98.586 -151.2711
334.112427 98.620 -151.4337
336.533543 98.643 -151.6047
