* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 10:53:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ouro (golem) L9
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 92.388 -164.6167
20.333664 92.394 -164.7980
20.481010 92.402 -165.0469
20.629424 92.414 -165.3634
20.778913 92.428 -165.7468
20.929486 92.446 -166.1959
21.081150 92.468 -166.7085
21.233912 92.494 -167.2818
21.387782 92.525 -167.9113
21.542767 92.561 -168.5915
21.698874 92.601 -169.3155
21.856113 92.644 -170.0748
22.014492 92.689 -170.8593
22.174018 92.736 -171.6577
22.334700 92.782 -172.4572
22.496546 92.824 -173.2440
22.659566 92.861 -174.0038
22.823766 92.890 -174.7221
22.989157 92.910 -175.3848
23.155745 92.918 -175.9790
23.323542 92.912 -176.4933
23.492554 92.893 -176.9193
23.662790 92.859 -177.2512
23.834261 92.812 -177.4876
24.006973 92.752 -177.6307
24.180938 92.682 -177.6876
24.356163 92.602 -177.6693
24.532658 92.517 -177.5909
24.710431 92.428 -177.4700
24.889493 92.337 -177.3262
25.069853 92.249 -177.1792
25.251519 92.165 -177.0476
25.434502 92.087 -176.9476
25.618811 92.018 -176.8920
25.804456 91.959 -176.8901
25.991445 91.910 -176.9476
26.179790 91.872 -177.0670
26.369500 91.845 -177.2480
26.560584 91.827 -177.4889
26.753053 91.819 -177.7865
26.946917 91.817 -178.1369
27.142185 91.818 -178.5356
27.338869 91.821 -178.9772
27.536977 91.822 -179.4554
27.736522 91.819 -179.9627
27.937512 91.809 179.5095
28.139959 91.790 178.9712
28.343872 91.761 178.4331
28.549264 91.723 177.9065
28.756143 91.676 177.4022
28.964522 91.621 176.9304
29.174411 91.562 176.4994
29.385821 91.502 176.1155
29.598763 91.442 175.7824
29.813248 91.387 175.5011
30.029287 91.339 175.2697
30.246891 91.301 175.0840
30.466073 91.274 174.9380
30.686842 91.260 174.8238
30.909212 91.257 174.7328
31.133193 91.266 174.6558
31.358797 91.284 174.5842
31.586035 91.310 174.5100
31.814921 91.341 174.4270
32.045465 91.374 174.3311
32.277680 91.407 174.2206
32.511577 91.436 174.0962
32.747169 91.460 173.9604
32.984469 91.476 173.8172
33.223488 91.484 173.6709
33.464239 91.483 173.5253
33.706735 91.474 173.3830
33.950987 91.458 173.2450
34.197010 91.435 173.1109
34.444816 91.408 172.9794
34.694417 91.378 172.8493
34.945827 91.349 172.7205
35.199059 91.322 172.5948
35.454126 91.299 172.4761
35.711041 91.283 172.3710
35.969818 91.275 172.2877
36.230470 91.275 172.2352
36.493011 91.285 172.2221
36.757455 91.302 172.2560
37.023814 91.326 172.3418
37.292104 91.355 172.4819
37.562338 91.387 172.6754
37.834530 91.418 172.9184
38.108695 91.449 173.2039
38.384846 91.476 173.5225
38.662999 91.500 173.8627
38.943167 91.521 174.2119
39.225365 91.539 174.5575
39.509608 91.555 174.8884
39.795911 91.569 175.1960
40.084289 91.583 175.4758
40.374756 91.597 175.7271
40.667328 91.610 175.9538
40.962020 91.623 176.1625
41.258848 91.635 176.3614
41.557827 91.647 176.5587
41.858972 91.657 176.7605
42.162299 91.667 176.9702
42.467824 91.677 177.1884
42.775564 91.688 177.4130
43.085533 91.701 177.6407
43.397749 91.717 177.8679
43.712227 91.739 178.0916
44.028983 91.766 178.3099
44.348036 91.800 178.5220
44.669400 91.840 178.7278
44.993093 91.887 178.9272
45.319131 91.938 179.1201
45.647532 91.991 179.3053
45.978313 92.044 179.4810
46.311491 92.096 179.6441
46.647083 92.144 179.7910
46.985107 92.187 179.9173
47.325581 92.226 -179.9810
47.668521 92.260 -179.9072
48.013947 92.291 -179.8636
48.361876 92.321 -179.8512
48.712326 92.351 -179.8699
49.065315 92.383 -179.9192
49.420863 92.418 -179.9978
49.778987 92.456 179.8961
50.139706 92.497 179.7654
50.503039 92.540 179.6145
50.869005 92.583 179.4493
51.237623 92.625 179.2766
51.608912 92.666 179.1029
51.982891 92.706 178.9332
52.359580 92.744 178.7698
52.739000 92.782 178.6127
53.121168 92.818 178.4596
53.506106 92.855 178.3070
53.893833 92.891 178.1516
54.284370 92.926 177.9908
54.677737 92.961 177.8231
55.073955 92.995 177.6481
55.473043 93.029 177.4665
55.875024 93.062 177.2795
56.279917 93.096 177.0889
56.687745 93.130 176.8959
57.098527 93.165 176.7014
57.512287 93.202 176.5054
57.929045 93.240 176.3066
58.348822 93.278 176.1027
58.771642 93.318 175.8900
59.197525 93.358 175.6646
59.626495 93.398 175.4225
60.058573 93.439 175.1614
60.493782 93.481 174.8803
60.932145 93.523 174.5802
61.373685 93.565 174.2633
61.818424 93.609 173.9324
62.266386 93.654 173.5905
62.717593 93.701 173.2405
63.172071 93.748 172.8856
63.629842 93.797 172.5289
64.090930 93.846 172.1727
64.555359 93.897 171.8186
65.023154 93.949 171.4670
65.494339 94.001 171.1172
65.968938 94.053 170.7681
66.446976 94.105 170.4179
66.928478 94.156 170.0645
67.413469 94.206 169.7062
67.901975 94.254 169.3414
68.394021 94.300 168.9691
68.889632 94.344 168.5889
69.388835 94.387 168.2013
69.891655 94.427 167.8073
70.398118 94.465 167.4082
70.908252 94.501 167.0060
71.422083 94.533 166.6022
71.939636 94.563 166.1987
72.460941 94.589 165.7966
72.986023 94.611 165.3969
73.514909 94.629 164.9997
74.047629 94.644 164.6046
74.584208 94.654 164.2104
75.124676 94.661 163.8156
75.669061 94.665 163.4185
76.217390 94.664 163.0177
76.769692 94.660 162.6126
77.325997 94.652 162.2034
77.886333 94.641 161.7913
78.450730 94.626 161.3780
79.019216 94.608 160.9649
79.591822 94.588 160.5531
80.168577 94.567 160.1431
80.749512 94.544 159.7347
81.334656 94.520 159.3278
81.924040 94.497 158.9222
82.517696 94.472 158.5180
83.115653 94.448 158.1151
83.717943 94.423 157.7136
84.324598 94.398 157.3133
84.935649 94.373 156.9142
85.551128 94.347 156.5161
86.171066 94.321 156.1193
86.795497 94.294 155.7244
87.424453 94.266 155.3325
88.057967 94.237 154.9446
88.696071 94.208 154.5618
89.338800 94.178 154.1846
89.986185 94.146 153.8129
90.638262 94.114 153.4466
91.295065 94.082 153.0854
91.956626 94.049 152.7292
92.622982 94.016 152.3781
93.294166 93.982 152.0323
93.970214 93.949 151.6920
94.651161 93.915 151.3571
95.337042 93.882 151.0274
96.027894 93.849 150.7023
96.723752 93.816 150.3813
97.424652 93.783 150.0637
98.130631 93.752 149.7491
98.841726 93.720 149.4374
99.557974 93.690 149.1283
100.279412 93.659 148.8220
101.006078 93.629 148.5179
101.738010 93.600 148.2158
102.475245 93.571 147.9147
103.217823 93.543 147.6137
103.965782 93.515 147.3118
104.719161 93.488 147.0081
105.477999 93.462 146.7022
106.242336 93.436 146.3938
107.012212 93.412 146.0834
107.787666 93.388 145.7717
108.568740 93.366 145.4593
109.355474 93.345 145.1470
110.147909 93.324 144.8351
110.946086 93.304 144.5236
111.750047 93.285 144.2122
112.559834 93.266 143.9004
113.375489 93.247 143.5878
114.197055 93.227 143.2742
115.024574 93.208 142.9597
115.858089 93.187 142.6447
116.697645 93.166 142.3295
117.543284 93.144 142.0147
118.395051 93.121 141.7004
119.252990 93.098 141.3869
120.117147 93.074 141.0741
120.987565 93.049 140.7620
121.864291 93.023 140.4506
122.747370 92.997 140.1397
123.636848 92.968 139.8293
124.532771 92.939 139.5196
125.435187 92.908 139.2105
126.344142 92.876 138.9022
127.259684 92.842 138.5948
128.181860 92.806 138.2887
129.110718 92.769 137.9841
130.046308 92.730 137.6815
130.988677 92.689 137.3815
131.937875 92.646 137.0845
132.893951 92.601 136.7911
133.856956 92.554 136.5022
134.826938 92.506 136.2184
135.803950 92.455 135.9404
136.788041 92.403 135.6694
137.779264 92.350 135.4062
138.777669 92.295 135.1517
139.783309 92.239 134.9061
140.796237 92.181 134.6693
141.816504 92.122 134.4407
142.844165 92.062 134.2196
143.879273 92.001 134.0052
144.921881 91.938 133.7968
145.972045 91.875 133.5934
147.029819 91.810 133.3943
148.095257 91.744 133.1984
149.168417 91.677 133.0051
150.249353 91.609 132.8134
151.338121 91.541 132.6229
152.434780 91.472 132.4331
153.539385 91.402 132.2440
154.651995 91.332 132.0561
155.772667 91.262 131.8700
156.901460 91.192 131.6870
158.038432 91.123 131.5083
159.183644 91.053 131.3353
160.337154 90.983 131.1694
161.499023 90.914 131.0119
162.669312 90.846 130.8637
163.848081 90.777 130.7255
165.035392 90.709 130.5974
166.231306 90.641 130.4792
167.435887 90.574 130.3703
168.649196 90.506 130.2699
169.871298 90.438 130.1772
171.102255 90.369 130.0911
172.342133 90.300 130.0109
173.590995 90.231 129.9365
174.848907 90.161 129.8678
176.115934 90.091 129.8054
177.392143 90.020 129.7500
178.677599 89.948 129.7025
179.972371 89.877 129.6636
181.276525 89.805 129.6340
182.590129 89.732 129.6145
183.913252 89.660 129.6053
185.245964 89.588 129.6063
186.588332 89.515 129.6171
187.940428 89.443 129.6367
189.302322 89.370 129.6642
190.674085 89.298 129.6986
192.055788 89.225 129.7393
193.447503 89.153 129.7854
194.849303 89.080 129.8367
196.261262 89.008 129.8925
197.683452 88.936 129.9525
199.115948 88.864 130.0162
200.558824 88.794 130.0832
202.012156 88.724 130.1532
203.476019 88.656 130.2267
204.950490 88.588 130.3042
206.435646 88.523 130.3869
207.931564 88.459 130.4759
209.438322 88.396 130.5720
210.955998 88.335 130.6761
212.484672 88.276 130.7887
214.024424 88.218 130.9105
215.575333 88.162 131.0419
217.137481 88.107 131.1830
218.710948 88.053 131.3334
220.295818 88.001 131.4922
221.892172 87.951 131.6580
223.500094 87.903 131.8292
225.119668 87.856 132.0044
226.750978 87.812 132.1823
228.394109 87.769 132.3620
230.049147 87.729 132.5428
231.716178 87.690 132.7245
233.395289 87.654 132.9068
235.086567 87.620 133.0900
236.790102 87.588 133.2743
238.505980 87.557 133.4599
240.234293 87.529 133.6469
241.975130 87.502 133.8354
243.728581 87.477 134.0255
245.494739 87.453 134.2169
247.273695 87.430 134.4095
249.065542 87.409 134.6032
250.870374 87.389 134.7979
252.688284 87.370 134.9933
254.519367 87.352 135.1895
256.363720 87.335 135.3862
258.221437 87.317 135.5827
260.092616 87.300 135.7787
261.977354 87.283 135.9736
263.875750 87.267 136.1670
265.787903 87.250 136.3587
267.713911 87.233 136.5488
269.653877 87.216 136.7372
271.607900 87.200 136.9244
273.576083 87.185 137.1106
275.558528 87.171 137.2964
277.555338 87.158 137.4826
279.566619 87.146 137.6700
281.592474 87.135 137.8593
283.633009 87.125 138.0516
285.688331 87.117 138.2477
287.758546 87.109 138.4482
289.843763 87.103 138.6537
291.944090 87.099 138.8645
294.059638 87.095 139.0808
296.190515 87.093 139.3027
298.336833 87.092 139.5300
300.498705 87.093 139.7621
302.676243 87.095 139.9981
304.869559 87.098 140.2373
307.078770 87.103 140.4787
309.303989 87.109 140.7213
311.545334 87.117 140.9642
313.802919 87.127 141.2070
316.076865 87.138 141.4490
318.367288 87.150 141.6900
320.674309 87.164 141.9295
322.998047 87.179 142.1674
325.338624 87.195 142.4034
327.696162 87.211 142.6376
330.070783 87.229 142.8699
332.462612 87.247 143.1006
334.871773 87.265 143.3297
337.298392 87.284 143.5576
339.742595 87.302 143.7843
342.204510 87.322 144.0101
344.684265 87.341 144.2348
347.181989 87.360 144.4584
349.697813 87.379 144.6804
352.231868 87.399 144.9005
354.784285 87.419 145.1179
357.355198 87.440 145.3319
359.944741 87.461 145.5417
362.553049 87.483 145.7461
365.180258 87.506 145.9442
367.826505 87.530 146.1349
370.491927 87.555 146.3170
373.176665 87.582 146.4896
375.880856 87.610 146.6515
378.604644 87.640 146.8018
381.348169 87.671 146.9396
384.111575 87.703 147.0640
386.895006 87.737 147.1741
389.698607 87.771 147.2691
392.522524 87.806 147.3481
395.366904 87.842 147.4103
