* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 10:56:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ouro (golem) R7
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 91.745 -179.7605
20.333664 91.790 -179.8341
20.481010 91.850 -179.9242
20.629424 91.922 179.9817
20.778913 92.004 179.8967
20.929486 92.092 179.8325
21.081150 92.183 179.7984
21.233912 92.274 179.8007
21.387782 92.362 179.8420
21.542767 92.445 179.9216
21.698874 92.520 -179.9648
21.856113 92.586 -179.8245
22.014492 92.641 -179.6673
22.174018 92.685 -179.5052
22.334700 92.718 -179.3518
22.496546 92.738 -179.2215
22.659566 92.748 -179.1286
22.823766 92.747 -179.0865
22.989157 92.736 -179.1066
23.155745 92.716 -179.1979
23.323542 92.689 -179.3654
23.492554 92.656 -179.6100
23.662790 92.618 -179.9283
23.834261 92.577 179.6876
24.006973 92.534 179.2498
24.180938 92.489 178.7733
24.356163 92.445 178.2747
24.532658 92.401 177.7715
24.710431 92.359 177.2797
24.889493 92.317 176.8129
25.069853 92.277 176.3813
25.251519 92.238 175.9908
25.434502 92.200 175.6428
25.618811 92.161 175.3347
25.804456 92.121 175.0610
25.991445 92.079 174.8136
26.179790 92.035 174.5839
26.369500 91.988 174.3633
26.560584 91.937 174.1451
26.753053 91.883 173.9244
26.946917 91.825 173.6995
27.142185 91.765 173.4709
27.338869 91.703 173.2418
27.536977 91.640 173.0167
27.736522 91.578 172.8010
27.937512 91.517 172.6000
28.139959 91.459 172.4177
28.343872 91.403 172.2564
28.549264 91.350 172.1166
28.756143 91.300 171.9968
28.964522 91.251 171.8937
29.174411 91.204 171.8030
29.385821 91.156 171.7196
29.598763 91.108 171.6380
29.813248 91.059 171.5530
30.029287 91.010 171.4598
30.246891 90.960 171.3542
30.466073 90.910 171.2331
30.686842 90.862 171.0946
30.909212 90.818 170.9385
31.133193 90.777 170.7669
31.358797 90.741 170.5836
31.586035 90.711 170.3948
31.814921 90.686 170.2079
32.045465 90.667 170.0310
32.277680 90.652 169.8718
32.511577 90.642 169.7364
32.747169 90.636 169.6286
32.984469 90.631 169.5494
33.223488 90.629 169.4972
33.464239 90.627 169.4683
33.706735 90.626 169.4580
33.950987 90.625 169.4616
34.197010 90.623 169.4753
34.444816 90.621 169.4967
34.694417 90.619 169.5254
34.945827 90.619 169.5622
35.199059 90.621 169.6086
35.454126 90.625 169.6669
35.711041 90.632 169.7390
35.969818 90.642 169.8264
36.230470 90.654 169.9305
36.493011 90.668 170.0527
36.757455 90.681 170.1942
37.023814 90.692 170.3565
37.292104 90.702 170.5412
37.562338 90.708 170.7495
37.834530 90.710 170.9824
38.108695 90.708 171.2401
38.384846 90.704 171.5220
38.662999 90.697 171.8263
38.943167 90.689 172.1504
39.225365 90.681 172.4908
39.509608 90.674 172.8435
39.795911 90.669 173.2043
40.084289 90.667 173.5695
40.374756 90.668 173.9362
40.667328 90.672 174.3034
40.962020 90.680 174.6712
41.258848 90.691 175.0409
41.557827 90.706 175.4142
41.858972 90.724 175.7924
42.162299 90.745 176.1758
42.467824 90.769 176.5637
42.775564 90.796 176.9547
43.085533 90.825 177.3474
43.397749 90.854 177.7409
43.712227 90.885 178.1355
44.028983 90.916 178.5316
44.348036 90.948 178.9296
44.669400 90.982 179.3291
44.993093 91.018 179.7278
45.319131 91.058 -179.8780
45.647532 91.102 -179.4933
45.978313 91.151 -179.1236
46.311491 91.204 -178.7737
46.647083 91.261 -178.4478
46.985107 91.321 -178.1487
47.325581 91.384 -177.8780
47.668521 91.447 -177.6360
48.013947 91.510 -177.4221
48.361876 91.572 -177.2348
48.712326 91.633 -177.0722
49.065315 91.693 -176.9322
49.420863 91.752 -176.8128
49.778987 91.811 -176.7123
50.139706 91.871 -176.6294
50.503039 91.932 -176.5630
50.869005 91.994 -176.5124
51.237623 92.057 -176.4775
51.608912 92.122 -176.4593
51.982891 92.187 -176.4595
52.359580 92.252 -176.4807
52.739000 92.316 -176.5255
53.121168 92.379 -176.5968
53.506106 92.441 -176.6969
53.893833 92.500 -176.8277
54.284370 92.558 -176.9900
54.677737 92.614 -177.1837
55.073955 92.669 -177.4070
55.473043 92.721 -177.6566
55.875024 92.771 -177.9281
56.279917 92.820 -178.2165
56.687745 92.868 -178.5174
57.098527 92.916 -178.8276
57.512287 92.964 -179.1452
57.929045 93.013 -179.4694
58.348822 93.063 -179.8002
58.771642 93.113 179.8629
59.197525 93.161 179.5204
59.626495 93.208 179.1734
60.058573 93.253 178.8227
60.493782 93.295 178.4683
60.932145 93.334 178.1090
61.373685 93.371 177.7427
61.818424 93.407 177.3672
62.266386 93.441 176.9816
62.717593 93.475 176.5862
63.172071 93.509 176.1830
63.629842 93.543 175.7747
64.090930 93.577 175.3641
64.555359 93.612 174.9535
65.023154 93.647 174.5445
65.494339 93.681 174.1383
65.968938 93.716 173.7362
66.446976 93.750 173.3400
66.928478 93.783 172.9516
67.413469 93.815 172.5728
67.901975 93.846 172.2050
68.394021 93.876 171.8489
68.889632 93.904 171.5045
69.388835 93.930 171.1707
69.891655 93.954 170.8459
70.398118 93.975 170.5285
70.908252 93.995 170.2168
71.422083 94.011 169.9094
71.939636 94.025 169.6052
72.460941 94.037 169.3036
72.986023 94.045 169.0041
73.514909 94.051 168.7068
74.047629 94.055 168.4119
74.584208 94.056 168.1194
75.124676 94.056 167.8292
75.669061 94.054 167.5409
76.217390 94.052 167.2538
76.769692 94.048 166.9677
77.325997 94.043 166.6817
77.886333 94.036 166.3958
78.450730 94.028 166.1097
79.019216 94.018 165.8233
79.591822 94.007 165.5367
80.168577 93.995 165.2502
80.749512 93.981 164.9638
81.334656 93.967 164.6779
81.924040 93.952 164.3925
82.517696 93.937 164.1072
83.115653 93.922 163.8217
83.717943 93.906 163.5353
84.324598 93.891 163.2472
84.935649 93.875 162.9567
85.551128 93.859 162.6633
86.171066 93.843 162.3665
86.795497 93.827 162.0661
87.424453 93.811 161.7619
88.057967 93.795 161.4538
88.696071 93.778 161.1417
89.338800 93.762 160.8253
89.986185 93.745 160.5043
90.638262 93.728 160.1786
91.295065 93.710 159.8481
91.956626 93.690 159.5128
92.622982 93.670 159.1729
93.294166 93.649 158.8287
93.970214 93.628 158.4802
94.651161 93.605 158.1278
95.337042 93.581 157.7715
96.027894 93.557 157.4114
96.723752 93.533 157.0476
97.424652 93.507 156.6804
98.130631 93.482 156.3100
98.841726 93.455 155.9368
99.557974 93.429 155.5616
100.279412 93.401 155.1849
101.006078 93.374 154.8073
101.738010 93.346 154.4292
102.475245 93.318 154.0507
103.217823 93.289 153.6717
103.965782 93.260 153.2922
104.719161 93.231 152.9121
105.477999 93.201 152.5312
106.242336 93.170 152.1495
107.012212 93.139 151.7670
107.787666 93.108 151.3841
108.568740 93.076 151.0013
109.355474 93.043 150.6193
110.147909 93.010 150.2390
110.946086 92.976 149.8613
111.750047 92.941 149.4869
112.559834 92.906 149.1165
113.375489 92.870 148.7505
114.197055 92.833 148.3892
115.024574 92.795 148.0330
115.858089 92.755 147.6822
116.697645 92.714 147.3372
117.543284 92.672 146.9984
118.395051 92.629 146.6660
119.252990 92.583 146.3402
120.117147 92.537 146.0215
120.987565 92.489 145.7104
121.864291 92.439 145.4073
122.747370 92.388 145.1129
123.636848 92.336 144.8278
124.532771 92.282 144.5525
125.435187 92.227 144.2873
126.344142 92.170 144.0326
127.259684 92.112 143.7885
128.181860 92.052 143.5554
129.110718 91.990 143.3333
130.046308 91.927 143.1225
130.988677 91.862 142.9234
131.937875 91.795 142.7361
132.893951 91.727 142.5609
133.856956 91.657 142.3979
134.826938 91.586 142.2471
135.803950 91.513 142.1087
136.788041 91.439 141.9830
137.779264 91.364 141.8700
138.777669 91.287 141.7699
139.783309 91.210 141.6827
140.796237 91.131 141.6082
141.816504 91.052 141.5463
142.844165 90.972 141.4963
143.879273 90.892 141.4580
144.921881 90.811 141.4305
145.972045 90.730 141.4133
147.029819 90.649 141.4056
148.095257 90.568 141.4064
149.168417 90.487 141.4152
150.249353 90.407 141.4310
151.338121 90.327 141.4531
152.434780 90.247 141.4811
153.539385 90.168 141.5144
154.651995 90.088 141.5530
155.772667 90.010 141.5967
156.901460 89.931 141.6456
158.038432 89.853 141.7000
159.183644 89.775 141.7602
160.337154 89.698 141.8266
161.499023 89.620 141.8999
162.669312 89.543 141.9808
163.848081 89.467 142.0698
165.035392 89.391 142.1677
166.231306 89.315 142.2752
167.435887 89.241 142.3928
168.649196 89.167 142.5211
169.871298 89.093 142.6607
171.102255 89.021 142.8120
172.342133 88.949 142.9751
173.590995 88.878 143.1501
174.848907 88.808 143.3367
176.115934 88.738 143.5345
177.392143 88.670 143.7430
178.677599 88.602 143.9617
179.972371 88.535 144.1902
181.276525 88.469 144.4282
182.590129 88.404 144.6755
183.913252 88.340 144.9318
185.245964 88.277 145.1970
186.588332 88.214 145.4706
187.940428 88.153 145.7526
189.302322 88.093 146.0422
190.674085 88.035 146.3389
192.055788 87.977 146.6420
193.447503 87.922 146.9505
194.849303 87.868 147.2634
196.261262 87.816 147.5798
197.683452 87.766 147.8986
199.115948 87.719 148.2190
200.558824 87.673 148.5397
202.012156 87.629 148.8595
203.476019 87.587 149.1775
204.950490 87.546 149.4930
206.435646 87.508 149.8057
207.931564 87.471 150.1157
209.438322 87.435 150.4233
210.955998 87.402 150.7288
212.484672 87.370 151.0324
214.024424 87.341 151.3340
215.575333 87.313 151.6338
217.137481 87.287 151.9316
218.710948 87.264 152.2271
220.295818 87.242 152.5203
221.892172 87.223 152.8110
223.500094 87.205 153.0991
225.119668 87.190 153.3843
226.750978 87.177 153.6669
228.394109 87.166 153.9469
230.049147 87.157 154.2244
231.716178 87.150 154.4995
233.395289 87.145 154.7721
235.086567 87.142 155.0422
236.790102 87.141 155.3096
238.505980 87.142 155.5740
240.234293 87.144 155.8351
241.975130 87.148 156.0928
243.728581 87.154 156.3469
245.494739 87.161 156.5972
247.273695 87.169 156.8436
249.065542 87.179 157.0864
250.870374 87.190 157.3257
252.688284 87.202 157.5618
254.519367 87.215 157.7951
256.363720 87.229 158.0260
258.221437 87.244 158.2548
260.092616 87.259 158.4816
261.977354 87.275 158.7068
263.875750 87.291 158.9302
265.787903 87.308 159.1520
267.713911 87.325 159.3716
269.653877 87.343 159.5886
271.607900 87.362 159.8023
273.576083 87.382 160.0119
275.558528 87.403 160.2164
277.555338 87.425 160.4149
279.566619 87.448 160.6062
281.592474 87.473 160.7896
283.633009 87.499 160.9640
285.688331 87.528 161.1286
287.758546 87.557 161.2829
289.843763 87.588 161.4263
291.944090 87.621 161.5583
294.059638 87.654 161.6790
296.190515 87.689 161.7879
298.336833 87.724 161.8851
300.498705 87.760 161.9703
302.676243 87.797 162.0433
304.869559 87.833 162.1038
307.078770 87.870 162.1516
309.303989 87.906 162.1868
311.545334 87.943 162.2095
313.802919 87.978 162.2202
316.076865 88.013 162.2195
318.367288 88.048 162.2081
320.674309 88.081 162.1865
322.998047 88.113 162.1555
325.338624 88.143 162.1158
327.696162 88.172 162.0679
330.070783 88.198 162.0127
332.462612 88.223 161.9509
334.871773 88.245 161.8835
337.298392 88.265 161.8116
339.742595 88.282 161.7363
342.204510 88.297 161.6586
344.684265 88.309 161.5795
347.181989 88.318 161.4999
349.697813 88.325 161.4204
352.231868 88.329 161.3415
354.784285 88.330 161.2636
357.355198 88.330 161.1871
359.944741 88.327 161.1124
362.553049 88.322 161.0397
365.180258 88.315 160.9694
367.826505 88.307 160.9019
370.491927 88.297 160.8377
373.176665 88.285 160.7773
375.880856 88.273 160.7212
378.604644 88.260 160.6700
381.348169 88.245 160.6242
384.111575 88.230 160.5846
386.895006 88.214 160.5515
389.698607 88.197 160.5255
392.522524 88.179 160.5066
395.366904 88.161 160.4950
