* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.170
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 1:42:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ouroboros (Golem Mod) L7
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 102.280 -100.2585
20.287556 102.288 -100.4582
20.434568 102.300 -100.7348
20.582645 102.313 -101.0918
20.731796 102.328 -101.5321
20.882027 102.343 -102.0576
21.033346 102.357 -102.6677
21.185763 102.367 -103.3584
21.339284 102.371 -104.1220
21.493917 102.368 -104.9470
21.649671 102.355 -105.8183
21.806553 102.331 -106.7185
21.964572 102.295 -107.6288
22.123737 102.247 -108.5304
22.284054 102.187 -109.4054
22.445534 102.116 -110.2387
22.608183 102.036 -111.0182
22.772012 101.949 -111.7360
22.937027 101.859 -112.3886
23.103238 101.767 -112.9769
23.270654 101.678 -113.5057
23.439282 101.594 -113.9830
23.609133 101.518 -114.4188
23.780215 101.453 -114.8238
23.952536 101.400 -115.2083
24.126106 101.361 -115.5809
24.300934 101.336 -115.9481
24.477028 101.325 -116.3140
24.654399 101.327 -116.6804
24.833055 101.341 -117.0474
25.013005 101.366 -117.4148
25.194260 101.398 -117.7822
25.376828 101.436 -118.1506
25.560719 101.478 -118.5225
25.745942 101.519 -118.9017
25.932508 101.557 -119.2938
26.120426 101.589 -119.7047
26.309705 101.612 -120.1402
26.500356 101.623 -120.6051
26.692388 101.620 -121.1024
26.885812 101.601 -121.6331
27.080638 101.566 -122.1957
27.276876 101.515 -122.7870
27.474535 101.450 -123.4021
27.673627 101.373 -124.0355
27.874161 101.290 -124.6815
28.076149 101.204 -125.3348
28.279600 101.121 -125.9909
28.484526 101.049 -126.6459
28.690937 100.991 -127.2962
28.898843 100.953 -127.9373
29.108256 100.938 -128.5638
29.319186 100.945 -129.1675
29.531645 100.975 -129.7384
29.745644 101.025 -130.2642
29.961193 101.092 -130.7315
30.178304 101.169 -131.1277
30.396989 101.255 -131.4432
30.617258 101.342 -131.6726
30.839123 101.429 -131.8176
31.062596 101.510 -131.8870
31.287688 101.583 -131.8974
31.514412 101.643 -131.8709
31.742778 101.689 -131.8327
31.972800 101.715 -131.8078
32.204488 101.721 -131.8171
32.437855 101.702 -131.8748
32.672913 101.658 -131.9869
32.909674 101.587 -132.1512
33.148151 101.490 -132.3591
33.388356 101.368 -132.5975
33.630302 101.224 -132.8520
33.874001 101.061 -133.1089
34.119466 100.883 -133.3573
34.366710 100.695 -133.5891
34.615745 100.501 -133.8001
34.866585 100.307 -133.9885
35.119243 100.116 -134.1551
35.373731 99.934 -134.3025
35.630064 99.766 -134.4349
35.888254 99.617 -134.5575
36.148315 99.491 -134.6767
36.410261 99.391 -134.7987
36.674104 99.320 -134.9292
36.939860 99.279 -135.0719
37.207542 99.269 -135.2282
37.477163 99.288 -135.3968
37.748738 99.335 -135.5750
38.022281 99.407 -135.7593
38.297806 99.501 -135.9468
38.575327 99.616 -136.1362
38.854860 99.748 -136.3282
39.136419 99.895 -136.5251
39.420017 100.056 -136.7300
39.705671 100.229 -136.9463
39.993395 100.413 -137.1769
40.283203 100.608 -137.4246
40.575112 100.814 -137.6917
40.869136 101.029 -137.9807
41.165290 101.253 -138.2941
41.463591 101.485 -138.6339
41.764053 101.723 -139.0011
42.066693 101.966 -139.3954
42.371525 102.212 -139.8145
42.678567 102.457 -140.2551
42.987834 102.701 -140.7133
43.299341 102.942 -141.1853
43.613106 103.176 -141.6686
43.929145 103.404 -142.1615
44.247473 103.621 -142.6629
44.568109 103.827 -143.1718
44.891068 104.018 -143.6865
45.216367 104.193 -144.2041
45.544023 104.350 -144.7214
45.874054 104.487 -145.2349
46.206476 104.603 -145.7419
46.541307 104.698 -146.2410
46.878565 104.771 -146.7322
47.218266 104.824 -147.2171
47.560429 104.857 -147.6979
47.905072 104.873 -148.1767
48.252212 104.872 -148.6547
48.601867 104.856 -149.1319
48.954056 104.829 -149.6068
49.308798 104.791 -150.0766
49.666109 104.746 -150.5379
50.026010 104.694 -150.9874
50.388520 104.638 -151.4229
50.753656 104.579 -151.8439
51.121437 104.519 -152.2514
51.491884 104.459 -152.6482
51.865016 104.401 -153.0376
52.240851 104.346 -153.4225
52.619410 104.293 -153.8050
53.000712 104.245 -154.1851
53.384777 104.199 -154.5617
53.771625 104.156 -154.9323
54.161276 104.115 -155.2940
54.553751 104.074 -155.6444
54.949070 104.033 -155.9819
55.347254 103.991 -156.3056
55.748323 103.945 -156.6157
56.152298 103.897 -156.9129
56.559201 103.844 -157.1980
56.969052 103.788 -157.4722
57.381873 103.728 -157.7366
57.797686 103.665 -157.9924
58.216512 103.600 -158.2403
58.638373 103.532 -158.4810
59.063291 103.464 -158.7148
59.491288 103.395 -158.9418
59.922386 103.327 -159.1617
60.356608 103.260 -159.3745
60.793977 103.194 -159.5800
61.234515 103.131 -159.7785
61.678246 103.071 -159.9707
62.125192 103.014 -160.1575
62.575377 102.959 -160.3403
63.028824 102.909 -160.5204
63.485557 102.862 -160.6997
63.945599 102.820 -160.8795
64.408975 102.782 -161.0614
64.875709 102.749 -161.2465
65.345825 102.722 -161.4361
65.819348 102.701 -161.6310
66.296302 102.686 -161.8321
66.776713 102.675 -162.0403
67.260604 102.671 -162.2560
67.748002 102.671 -162.4798
68.238932 102.676 -162.7122
68.733420 102.684 -162.9537
69.231490 102.696 -163.2048
69.733170 102.710 -163.4659
70.238485 102.727 -163.7375
70.747463 102.745 -164.0194
71.260128 102.765 -164.3113
71.776508 102.787 -164.6125
72.296630 102.809 -164.9220
72.820521 102.832 -165.2389
73.348209 102.856 -165.5627
73.879720 102.879 -165.8930
74.415083 102.902 -166.2304
74.954326 102.924 -166.5758
75.497475 102.945 -166.9302
76.044561 102.964 -167.2946
76.595612 102.981 -167.6698
77.150655 102.996 -168.0561
77.709720 103.009 -168.4534
78.272837 103.018 -168.8612
78.840034 103.025 -169.2789
79.411342 103.027 -169.7054
79.986789 103.026 -170.1398
80.566406 103.020 -170.5813
81.150224 103.010 -171.0290
81.738272 102.996 -171.4826
82.330581 102.978 -171.9417
82.927182 102.957 -172.4061
83.528107 102.935 -172.8758
84.133386 102.913 -173.3503
84.743051 102.894 -173.8288
85.357134 102.880 -174.3103
85.975667 102.874 -174.7937
86.598682 102.879 -175.2778
87.226212 102.899 -175.7619
87.858289 102.937 -176.2456
88.494946 102.995 -176.7290
89.136217 103.075 -177.2126
89.782135 103.177 -177.6965
90.432733 103.302 -178.1806
91.088046 103.446 -178.6644
91.748108 103.607 -179.1473
92.412952 103.779 -179.6285
93.082615 103.958 179.8925
93.757130 104.138 179.4157
94.436533 104.314 178.9412
95.120859 104.481 178.4689
95.810144 104.635 177.9988
96.504423 104.773 177.5309
97.203734 104.893 177.0656
97.908112 104.994 176.6032
98.617595 105.076 176.1440
99.332219 105.141 175.6883
100.052021 105.189 175.2362
100.777039 105.223 174.7878
101.507311 105.246 174.3431
102.242875 105.258 173.9019
102.983769 105.262 173.4642
103.730032 105.260 173.0299
104.481702 105.251 172.5995
105.238820 105.236 172.1733
106.001424 105.215 171.7517
106.769554 105.186 171.3353
107.543250 105.148 170.9245
108.322553 105.100 170.5197
109.107503 105.039 170.1216
109.898141 104.965 169.7308
110.694508 104.877 169.3481
111.496646 104.773 168.9739
112.304596 104.656 168.6087
113.118402 104.525 168.2527
113.938104 104.382 167.9061
114.763747 104.229 167.5688
115.595372 104.068 167.2407
116.433024 103.902 166.9218
117.276746 103.732 166.6119
118.126581 103.560 166.3112
118.982575 103.389 166.0198
119.844772 103.218 165.7382
120.713217 103.050 165.4669
121.587954 102.883 165.2069
122.469031 102.718 164.9591
123.356492 102.553 164.7244
124.250384 102.387 164.5036
125.150753 102.218 164.2976
126.057647 102.046 164.1068
126.971113 101.869 163.9317
127.891198 101.686 163.7727
128.817950 101.496 163.6303
129.751418 101.299 163.5049
130.691651 101.094 163.3971
131.638696 100.882 163.3073
132.592604 100.665 163.2358
133.553425 100.444 163.1831
134.521208 100.222 163.1497
135.496004 100.002 163.1362
136.477864 99.787 163.1430
137.466839 99.581 163.1710
138.462981 99.386 163.2207
139.466340 99.207 163.2930
140.476971 99.046 163.3888
141.494925 98.903 163.5088
142.520256 98.779 163.6537
143.553016 98.674 163.8242
144.593260 98.584 164.0204
145.641043 98.506 164.2424
146.696418 98.438 164.4897
147.759441 98.376 164.7619
148.830166 98.315 165.0583
149.908651 98.253 165.3782
150.994951 98.187 165.7209
152.089123 98.118 166.0863
153.191223 98.043 166.4742
154.301310 97.964 166.8847
155.419441 97.882 167.3183
156.545674 97.798 167.7750
157.680069 97.715 168.2545
158.822683 97.635 168.7559
159.973578 97.559 169.2779
161.132813 97.488 169.8188
162.300447 97.424 170.3770
163.476543 97.367 170.9512
164.661162 97.318 171.5403
165.854364 97.278 172.1437
167.056213 97.246 172.7610
168.266772 97.223 173.3919
169.486102 97.209 174.0360
170.714268 97.204 174.6928
171.951334 97.210 175.3612
173.197364 97.227 176.0396
174.452424 97.254 176.7252
175.716578 97.292 177.4148
176.989893 97.340 178.1039
178.272434 97.398 178.7872
179.564270 97.465 179.4587
180.865467 97.539 -179.8879
182.176092 97.619 -179.2590
183.496216 97.703 -178.6606
184.825905 97.790 -178.0975
186.165229 97.879 -177.5741
187.514259 97.970 -177.0929
188.873065 98.060 -176.6557
190.241717 98.151 -176.2626
191.620287 98.242 -175.9128
193.008847 98.334 -175.6050
194.407468 98.425 -175.3369
195.816225 98.516 -175.1059
197.235190 98.607 -174.9089
198.664438 98.697 -174.7426
200.104042 98.786 -174.6036
201.554078 98.872 -174.4890
203.014622 98.955 -174.3961
204.485750 99.034 -174.3231
205.967538 99.108 -174.2687
207.460064 99.178 -174.2319
208.963405 99.243 -174.2121
210.477640 99.302 -174.2087
212.002848 99.357 -174.2209
213.539108 99.407 -174.2480
215.086500 99.453 -174.2893
216.645105 99.495 -174.3439
218.215005 99.533 -174.4110
219.796281 99.567 -174.4898
221.389015 99.597 -174.5796
222.993292 99.623 -174.6794
224.609193 99.644 -174.7886
226.236804 99.659 -174.9061
227.876209 99.667 -175.0307
229.527494 99.669 -175.1614
231.190745 99.664 -175.2967
232.866048 99.652 -175.4352
234.553491 99.633 -175.5756
236.253163 99.608 -175.7166
237.965150 99.578 -175.8573
239.689544 99.544 -175.9972
241.426433 99.507 -176.1359
243.175909 99.468 -176.2733
244.938062 99.429 -176.4096
246.712984 99.389 -176.5451
248.500768 99.351 -176.6799
250.301507 99.314 -176.8143
252.115295 99.281 -176.9484
253.942226 99.250 -177.0825
255.782396 99.224 -177.2163
257.635901 99.202 -177.3499
259.502837 99.185 -177.4831
261.383301 99.173 -177.6154
263.277392 99.166 -177.7466
265.185209 99.166 -177.8761
267.106850 99.171 -178.0034
269.042417 99.182 -178.1280
270.992009 99.198 -178.2494
272.955729 99.219 -178.3673
274.933678 99.244 -178.4817
276.925961 99.272 -178.5924
278.932681 99.304 -178.6996
280.953942 99.338 -178.8034
282.989850 99.375 -178.9037
285.040511 99.414 -179.0007
287.106032 99.456 -179.0944
289.186521 99.502 -179.1845
291.282086 99.552 -179.2710
293.392836 99.607 -179.3538
295.518881 99.668 -179.4326
297.660333 99.736 -179.5075
299.817302 99.808 -179.5785
301.989902 99.886 -179.6458
304.178245 99.968 -179.7100
306.382446 100.053 -179.7715
308.602620 100.138 -179.8313
310.838882 100.222 -179.8902
313.091348 100.303 -179.9493
315.360137 100.380 179.9904
317.645367 100.452 179.9276
319.947156 100.517 179.8612
322.265625 100.575 179.7899
324.600895 100.624 179.7125
326.953086 100.664 179.6274
329.322323 100.696 179.5335
331.708729 100.717 179.4294
334.112427 100.729 179.3141
336.533543 100.731 179.1867
338.972204 100.723 179.0467
341.428536 100.707 178.8936
343.902668 100.682 178.7275
346.394729 100.650 178.5484
348.904848 100.612 178.3566
