* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 5:04:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ouroboros (Golem Mod) R1
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 103.708 -106.5805
20.287556 103.686 -106.7843
20.434568 103.656 -107.0570
20.582645 103.615 -107.3894
20.731796 103.563 -107.7730
20.882027 103.499 -108.2003
21.033346 103.424 -108.6664
21.185763 103.337 -109.1685
21.339284 103.241 -109.7065
21.493917 103.136 -110.2816
21.649671 103.024 -110.8958
21.806553 102.907 -111.5507
21.964572 102.788 -112.2467
22.123737 102.667 -112.9820
22.284054 102.546 -113.7522
22.445534 102.427 -114.5505
22.608183 102.312 -115.3676
22.772012 102.202 -116.1929
22.937027 102.098 -117.0150
23.103238 102.001 -117.8232
23.270654 101.915 -118.6082
23.439282 101.839 -119.3634
23.609133 101.776 -120.0854
23.780215 101.726 -120.7740
23.952536 101.691 -121.4324
24.126106 101.670 -122.0661
24.300934 101.664 -122.6824
24.477028 101.669 -123.2890
24.654399 101.685 -123.8929
24.833055 101.709 -124.4997
25.013005 101.738 -125.1126
25.194260 101.769 -125.7326
25.376828 101.799 -126.3585
25.560719 101.828 -126.9872
25.745942 101.852 -127.6146
25.932508 101.871 -128.2362
26.120426 101.884 -128.8479
26.309705 101.892 -129.4462
26.500356 101.894 -130.0292
26.692388 101.890 -130.5957
26.885812 101.881 -131.1458
27.080638 101.867 -131.6804
27.276876 101.848 -132.2007
27.474535 101.825 -132.7082
27.673627 101.800 -133.2047
27.874161 101.772 -133.6919
28.076149 101.745 -134.1723
28.279600 101.719 -134.6483
28.484526 101.699 -135.1234
28.690937 101.686 -135.6011
28.898843 101.683 -136.0851
29.108256 101.693 -136.5785
29.319186 101.716 -137.0836
29.531645 101.754 -137.6010
29.745644 101.807 -138.1296
29.961193 101.872 -138.6664
30.178304 101.949 -139.2073
30.396989 102.033 -139.7472
30.617258 102.121 -140.2813
30.839123 102.208 -140.8055
31.062596 102.291 -141.3172
31.287688 102.365 -141.8155
31.514412 102.425 -142.3007
31.742778 102.466 -142.7738
31.972800 102.485 -143.2358
32.204488 102.478 -143.6871
32.437855 102.443 -144.1268
32.672913 102.379 -144.5530
32.909674 102.286 -144.9630
33.148151 102.164 -145.3543
33.388356 102.016 -145.7255
33.630302 101.845 -146.0767
33.874001 101.655 -146.4102
34.119466 101.450 -146.7305
34.366710 101.235 -147.0427
34.615745 101.014 -147.3524
34.866585 100.791 -147.6639
35.119243 100.571 -147.9794
35.373731 100.357 -148.2983
35.630064 100.152 -148.6178
35.888254 99.958 -148.9333
36.148315 99.780 -149.2396
36.410261 99.618 -149.5318
36.674104 99.477 -149.8070
36.939860 99.358 -150.0644
37.207542 99.263 -150.3053
37.477163 99.192 -150.5329
37.748738 99.147 -150.7506
38.022281 99.125 -150.9615
38.297806 99.125 -151.1671
38.575327 99.147 -151.3672
38.854860 99.189 -151.5597
39.136419 99.249 -151.7419
39.420017 99.327 -151.9113
39.705671 99.423 -152.0669
39.993395 99.536 -152.2101
40.283203 99.668 -152.3444
40.575112 99.817 -152.4757
40.869136 99.982 -152.6105
41.165290 100.161 -152.7552
41.463591 100.354 -152.9146
41.764053 100.556 -153.0910
42.066693 100.766 -153.2844
42.371525 100.980 -153.4919
42.678567 101.196 -153.7089
42.987834 101.411 -153.9294
43.299341 101.624 -154.1472
43.613106 101.832 -154.3564
43.929145 102.033 -154.5527
44.247473 102.226 -154.7333
44.568109 102.408 -154.8981
44.891068 102.579 -155.0490
45.216367 102.735 -155.1896
45.544023 102.875 -155.3249
45.874054 102.998 -155.4599
46.206476 103.101 -155.5992
46.541307 103.185 -155.7467
46.878565 103.247 -155.9052
47.218266 103.291 -156.0771
47.560429 103.315 -156.2640
47.905072 103.322 -156.4666
48.252212 103.313 -156.6848
48.601867 103.291 -156.9169
48.954056 103.258 -157.1597
49.308798 103.216 -157.4087
49.666109 103.168 -157.6591
50.026010 103.114 -157.9065
50.388520 103.057 -158.1475
50.753656 102.999 -158.3803
51.121437 102.940 -158.6043
51.491884 102.882 -158.8194
51.865016 102.826 -159.0256
52.240851 102.772 -159.2231
52.619410 102.720 -159.4120
53.000712 102.672 -159.5923
53.384777 102.627 -159.7644
53.771625 102.586 -159.9286
54.161276 102.547 -160.0851
54.553751 102.511 -160.2345
54.949070 102.477 -160.3771
55.347254 102.445 -160.5137
55.748323 102.412 -160.6454
56.152298 102.380 -160.7737
56.559201 102.346 -160.8995
56.969052 102.312 -161.0240
57.381873 102.275 -161.1474
57.797686 102.237 -161.2692
58.216512 102.196 -161.3880
58.638373 102.155 -161.5014
59.063291 102.112 -161.6068
59.491288 102.068 -161.7011
59.922386 102.025 -161.7825
60.356608 101.981 -161.8501
60.793977 101.938 -161.9051
61.234515 101.896 -161.9496
61.678246 101.855 -161.9872
62.125192 101.816 -162.0215
62.575377 101.780 -162.0560
63.028824 101.746 -162.0939
63.485557 101.715 -162.1371
63.945599 101.689 -162.1874
64.408975 101.666 -162.2457
64.875709 101.648 -162.3131
65.345825 101.634 -162.3909
65.819348 101.625 -162.4804
66.296302 101.621 -162.5828
66.776713 101.622 -162.6988
67.260604 101.628 -162.8287
67.748002 101.640 -162.9727
68.238932 101.655 -163.1308
68.733420 101.676 -163.3029
69.231490 101.701 -163.4887
69.733170 101.730 -163.6878
70.238485 101.762 -163.8996
70.747463 101.798 -164.1234
71.260128 101.837 -164.3591
71.776508 101.877 -164.6069
72.296630 101.920 -164.8675
72.820521 101.964 -165.1420
73.348209 102.008 -165.4319
73.879720 102.053 -165.7385
74.415083 102.098 -166.0632
74.954326 102.143 -166.4069
75.497475 102.187 -166.7702
76.044561 102.230 -167.1530
76.595612 102.271 -167.5547
77.150655 102.310 -167.9744
77.709720 102.347 -168.4108
78.272837 102.380 -168.8627
78.840034 102.410 -169.3289
79.411342 102.435 -169.8086
79.986789 102.455 -170.3011
80.566406 102.470 -170.8056
81.150224 102.480 -171.3213
81.738272 102.486 -171.8473
82.330581 102.487 -172.3825
82.927182 102.485 -172.9260
83.528107 102.480 -173.4770
84.133386 102.474 -174.0349
84.743051 102.470 -174.5998
85.357134 102.470 -175.1716
85.975667 102.476 -175.7505
86.598682 102.492 -176.3365
87.226212 102.522 -176.9293
87.858289 102.569 -177.5280
88.494946 102.634 -178.1314
89.136217 102.721 -178.7380
89.782135 102.829 -179.3463
90.432733 102.957 -179.9548
91.088046 103.105 179.4379
91.748108 103.267 178.8329
92.412952 103.440 178.2309
93.082615 103.619 177.6324
93.757130 103.798 177.0377
94.436533 103.973 176.4468
95.120859 104.137 175.8601
95.810144 104.288 175.2776
96.504423 104.422 174.6996
97.203734 104.537 174.1264
97.908112 104.633 173.5587
98.617595 104.710 172.9971
99.332219 104.768 172.4421
100.052021 104.810 171.8944
100.777039 104.837 171.3546
101.507311 104.852 170.8232
102.242875 104.856 170.3004
102.983769 104.851 169.7864
103.730032 104.839 169.2813
104.481702 104.821 168.7849
105.238820 104.796 168.2972
106.001424 104.765 167.8179
106.769554 104.725 167.3474
107.543250 104.676 166.8860
108.322553 104.615 166.4345
109.107503 104.542 165.9938
109.898141 104.455 165.5646
110.694508 104.353 165.1477
111.496646 104.235 164.7435
112.304596 104.103 164.3525
113.118402 103.957 163.9749
113.938104 103.798 163.6105
114.763747 103.629 163.2594
115.595372 103.452 162.9215
116.433024 103.269 162.5967
117.276746 103.083 162.2852
118.126581 102.894 161.9874
118.982575 102.705 161.7043
119.844772 102.517 161.4369
120.713217 102.331 161.1866
121.587954 102.146 160.9544
122.469031 101.962 160.7415
123.356492 101.779 160.5487
124.250384 101.595 160.3770
125.150753 101.409 160.2271
126.057647 101.220 160.0994
126.971113 101.027 159.9942
127.891198 100.828 159.9112
128.817950 100.622 159.8502
129.751418 100.410 159.8107
130.691651 100.191 159.7924
131.638696 99.967 159.7948
132.592604 99.737 159.8177
133.553425 99.505 159.8611
134.521208 99.272 159.9251
135.496004 99.042 160.0102
136.477864 98.817 160.1167
137.466839 98.602 160.2453
138.462981 98.400 160.3966
139.466340 98.213 160.5714
140.476971 98.044 160.7704
141.494925 97.895 160.9944
142.520256 97.765 161.2443
143.553016 97.655 161.5204
144.593260 97.561 161.8232
145.641043 97.482 162.1528
146.696418 97.412 162.5093
147.759441 97.350 162.8924
148.830166 97.290 163.3017
149.908651 97.231 163.7366
150.994951 97.170 164.1962
152.089123 97.106 164.6794
153.191223 97.039 165.1850
154.301310 96.969 165.7117
155.419441 96.897 166.2578
156.545674 96.825 166.8217
157.680069 96.756 167.4014
158.822683 96.690 167.9950
159.973578 96.630 168.6007
161.132813 96.577 169.2167
162.300447 96.532 169.8411
163.476543 96.495 170.4719
164.661162 96.467 171.1069
165.854364 96.448 171.7436
167.056213 96.439 172.3793
168.266772 96.439 173.0114
169.486102 96.449 173.6371
170.714268 96.470 174.2534
171.951334 96.500 174.8580
173.197364 96.540 175.4483
174.452424 96.589 176.0222
175.716578 96.646 176.5780
176.989893 96.712 177.1141
178.272434 96.783 177.6294
179.564270 96.860 178.1230
180.865467 96.940 178.5944
182.176092 97.022 179.0429
183.496216 97.105 179.4682
184.825905 97.187 179.8701
186.165229 97.269 -179.7522
187.514259 97.350 -179.3988
188.873065 97.429 -179.0707
190.241717 97.507 -178.7684
191.620287 97.584 -178.4924
193.008847 97.662 -178.2433
194.407468 97.739 -178.0211
195.816225 97.816 -177.8258
197.235190 97.893 -177.6567
198.664438 97.969 -177.5127
200.104042 98.045 -177.3924
201.554078 98.119 -177.2941
203.014622 98.191 -177.2165
204.485750 98.259 -177.1582
205.967538 98.324 -177.1181
207.460064 98.385 -177.0955
208.963405 98.441 -177.0896
210.477640 98.493 -177.0995
212.002848 98.540 -177.1244
213.539108 98.583 -177.1636
215.086500 98.622 -177.2167
216.645105 98.657 -177.2833
218.215005 98.689 -177.3634
219.796281 98.717 -177.4570
221.389015 98.742 -177.5639
222.993292 98.762 -177.6837
224.609193 98.777 -177.8155
226.236804 98.787 -177.9584
227.876209 98.791 -178.1111
229.527494 98.789 -178.2723
231.190745 98.779 -178.4409
232.866048 98.762 -178.6154
234.553491 98.739 -178.7949
236.253163 98.709 -178.9783
237.965150 98.674 -179.1647
239.689544 98.634 -179.3533
241.426433 98.591 -179.5432
243.175909 98.544 -179.7337
244.938062 98.496 -179.9241
246.712984 98.447 179.8865
248.500768 98.398 179.6990
250.301507 98.350 179.5142
252.115295 98.303 179.3329
253.942226 98.258 179.1562
255.782396 98.217 178.9850
257.635901 98.179 178.8199
259.502837 98.145 178.6617
261.383301 98.116 178.5111
263.277392 98.092 178.3687
265.185209 98.074 178.2349
267.106850 98.061 178.1100
269.042417 98.053 177.9945
270.992009 98.051 177.8885
272.955729 98.053 177.7926
274.933678 98.060 177.7067
276.925961 98.071 177.6311
278.932681 98.085 177.5656
280.953942 98.103 177.5098
282.989850 98.124 177.4632
285.040511 98.148 177.4249
287.106032 98.176 177.3937
289.186521 98.209 177.3681
291.282086 98.247 177.3466
293.392836 98.292 177.3274
295.518881 98.344 177.3088
297.660333 98.403 177.2891
299.817302 98.468 177.2665
301.989902 98.539 177.2394
304.178245 98.615 177.2065
306.382446 98.694 177.1664
308.602620 98.773 177.1182
310.838882 98.851 177.0612
313.091348 98.925 176.9951
315.360137 98.995 176.9197
317.645367 99.058 176.8351
319.947156 99.113 176.7415
322.265625 99.159 176.6395
324.600895 99.196 176.5297
326.953086 99.222 176.4125
329.322323 99.237 176.2890
331.708729 99.241 176.1598
334.112427 99.233 176.0259
336.533543 99.214 175.8881
338.972204 99.183 175.7473
341.428536 99.142 175.6045
343.902668 99.092 175.4604
346.394729 99.033 175.3160
348.904848 98.968 175.1718
351.433156 98.898 175.0284
353.979786 98.824 174.8862
356.544869 98.751 174.7457
