* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2025 10:53:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ouroboros Reprint L4
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 98.221 -100.1013
20.287556 98.191 -100.3652
20.434568 98.151 -100.7257
20.582645 98.102 -101.1791
20.731796 98.048 -101.7194
20.882027 97.989 -102.3384
21.033346 97.929 -103.0247
21.185763 97.869 -103.7646
21.339284 97.812 -104.5427
21.493917 97.761 -105.3424
21.649671 97.715 -106.1472
21.806553 97.678 -106.9421
21.964572 97.648 -107.7141
22.123737 97.628 -108.4538
22.284054 97.615 -109.1550
22.445534 97.610 -109.8155
22.608183 97.610 -110.4364
22.772012 97.615 -111.0218
22.937027 97.623 -111.5779
23.103238 97.631 -112.1121
23.270654 97.638 -112.6323
23.439282 97.643 -113.1461
23.609133 97.644 -113.6601
23.780215 97.640 -114.1796
23.952536 97.631 -114.7082
24.126106 97.618 -115.2481
24.300934 97.599 -115.7999
24.477028 97.576 -116.3625
24.654399 97.550 -116.9340
24.833055 97.521 -117.5112
25.013005 97.490 -118.0904
25.194260 97.459 -118.6675
25.376828 97.428 -119.2382
25.560719 97.398 -119.7984
25.745942 97.369 -120.3446
25.932508 97.344 -120.8742
26.120426 97.321 -121.3859
26.309705 97.302 -121.8800
26.500356 97.288 -122.3586
26.692388 97.278 -122.8256
26.885812 97.274 -123.2867
27.080638 97.275 -123.7487
27.276876 97.282 -124.2188
27.474535 97.294 -124.7038
27.673627 97.309 -125.2094
27.874161 97.326 -125.7387
28.076149 97.344 -126.2924
28.279600 97.360 -126.8684
28.484526 97.374 -127.4616
28.690937 97.384 -128.0655
28.898843 97.388 -128.6723
29.108256 97.386 -129.2746
29.319186 97.379 -129.8661
29.531645 97.367 -130.4426
29.745644 97.349 -131.0022
29.961193 97.328 -131.5452
30.178304 97.303 -132.0735
30.396989 97.275 -132.5898
30.617258 97.245 -133.0966
30.839123 97.214 -133.5958
31.062596 97.180 -134.0876
31.287688 97.146 -134.5714
31.514412 97.112 -135.0457
31.742778 97.078 -135.5090
31.972800 97.047 -135.9603
32.204488 97.018 -136.3999
32.437855 96.993 -136.8291
32.672913 96.973 -137.2502
32.909674 96.959 -137.6657
33.148151 96.949 -138.0778
33.388356 96.944 -138.4875
33.630302 96.944 -138.8945
33.874001 96.946 -139.2971
34.119466 96.952 -139.6926
34.366710 96.959 -140.0781
34.615745 96.966 -140.4508
34.866585 96.972 -140.8083
35.119243 96.976 -141.1492
35.373731 96.976 -141.4726
35.630064 96.972 -141.7783
35.888254 96.962 -142.0666
36.148315 96.945 -142.3381
36.410261 96.922 -142.5939
36.674104 96.892 -142.8354
36.939860 96.856 -143.0642
37.207542 96.815 -143.2817
37.477163 96.770 -143.4888
37.748738 96.722 -143.6856
38.022281 96.671 -143.8712
38.297806 96.619 -144.0442
38.575327 96.566 -144.2031
38.854860 96.514 -144.3472
39.136419 96.463 -144.4769
39.420017 96.413 -144.5942
39.705671 96.364 -144.7018
39.993395 96.316 -144.8026
40.283203 96.269 -144.8989
40.575112 96.222 -144.9918
40.869136 96.176 -145.0814
41.165290 96.130 -145.1669
41.463591 96.086 -145.2478
41.764053 96.043 -145.3236
42.066693 96.004 -145.3946
42.371525 95.968 -145.4608
42.678567 95.937 -145.5218
42.987834 95.910 -145.5764
43.299341 95.888 -145.6230
43.613106 95.871 -145.6600
43.929145 95.860 -145.6871
44.247473 95.856 -145.7061
44.568109 95.858 -145.7203
44.891068 95.866 -145.7342
45.216367 95.880 -145.7519
45.544023 95.899 -145.7759
45.874054 95.922 -145.8067
46.206476 95.949 -145.8436
46.541307 95.979 -145.8850
46.878565 96.013 -145.9304
47.218266 96.049 -145.9806
47.560429 96.088 -146.0378
47.905072 96.130 -146.1048
48.252212 96.173 -146.1840
48.601867 96.218 -146.2766
48.954056 96.263 -146.3825
49.308798 96.307 -146.5003
49.666109 96.352 -146.6283
50.026010 96.397 -146.7652
50.388520 96.441 -146.9100
50.753656 96.486 -147.0627
51.121437 96.531 -147.2237
51.491884 96.576 -147.3937
51.865016 96.620 -147.5731
52.240851 96.663 -147.7623
52.619410 96.706 -147.9611
53.000712 96.747 -148.1691
53.384777 96.786 -148.3857
53.771625 96.824 -148.6099
54.161276 96.861 -148.8410
54.553751 96.896 -149.0782
54.949070 96.930 -149.3211
55.347254 96.962 -149.5699
55.748323 96.994 -149.8254
56.152298 97.024 -150.0890
56.559201 97.054 -150.3618
56.969052 97.082 -150.6444
57.381873 97.110 -150.9365
57.797686 97.138 -151.2364
58.216512 97.165 -151.5415
58.638373 97.193 -151.8479
59.063291 97.222 -152.1520
59.491288 97.252 -152.4504
59.922386 97.285 -152.7413
60.356608 97.319 -153.0250
60.793977 97.355 -153.3040
61.234515 97.393 -153.5823
61.678246 97.431 -153.8641
62.125192 97.470 -154.1527
62.575377 97.507 -154.4500
63.028824 97.543 -154.7566
63.485557 97.577 -155.0717
63.945599 97.608 -155.3940
64.408975 97.638 -155.7218
64.875709 97.665 -156.0538
65.345825 97.690 -156.3891
65.819348 97.714 -156.7273
66.296302 97.738 -157.0686
66.776713 97.760 -157.4138
67.260604 97.783 -157.7635
67.748002 97.806 -158.1186
68.238932 97.830 -158.4797
68.733420 97.854 -158.8478
69.231490 97.878 -159.2237
69.733170 97.901 -159.6080
70.238485 97.925 -160.0014
70.747463 97.947 -160.4043
71.260128 97.969 -160.8162
71.776508 97.990 -161.2361
72.296630 98.010 -161.6623
72.820521 98.029 -162.0927
73.348209 98.047 -162.5257
73.879720 98.064 -162.9596
74.415083 98.080 -163.3937
74.954326 98.096 -163.8275
75.497475 98.110 -164.2609
76.044561 98.123 -164.6936
76.595612 98.135 -165.1255
77.150655 98.145 -165.5564
77.709720 98.155 -165.9863
78.272837 98.163 -166.4154
78.840034 98.170 -166.8440
79.411342 98.177 -167.2725
79.986789 98.182 -167.7012
80.566406 98.187 -168.1298
81.150224 98.191 -168.5579
81.738272 98.193 -168.9850
82.330581 98.194 -169.4104
82.927182 98.195 -169.8332
83.528107 98.194 -170.2532
84.133386 98.192 -170.6702
84.743051 98.190 -171.0842
85.357134 98.187 -171.4955
85.975667 98.184 -171.9044
86.598682 98.181 -172.3110
87.226212 98.178 -172.7158
87.858289 98.176 -173.1188
88.494946 98.175 -173.5203
89.136217 98.176 -173.9206
89.782135 98.177 -174.3199
90.432733 98.181 -174.7183
91.088046 98.186 -175.1160
91.748108 98.192 -175.5133
92.412952 98.199 -175.9107
93.082615 98.206 -176.3087
93.757130 98.212 -176.7078
94.436533 98.217 -177.1086
95.120859 98.221 -177.5114
95.810144 98.222 -177.9162
96.504423 98.221 -178.3230
97.203734 98.216 -178.7318
97.908112 98.209 -179.1423
98.617595 98.199 -179.5545
99.332219 98.186 -179.9680
100.052021 98.170 179.6179
100.777039 98.152 179.2036
101.507311 98.133 178.7897
102.242875 98.111 178.3771
102.983769 98.089 177.9662
103.730032 98.066 177.5573
104.481702 98.043 177.1505
105.238820 98.020 176.7458
106.001424 97.998 176.3429
106.769554 97.976 175.9413
107.543250 97.955 175.5408
108.322553 97.935 175.1409
109.107503 97.916 174.7411
109.898141 97.898 174.3417
110.694508 97.880 173.9426
111.496646 97.863 173.5444
112.304596 97.846 173.1475
113.118402 97.829 172.7521
113.938104 97.810 172.3586
114.763747 97.791 171.9673
115.595372 97.770 171.5785
116.433024 97.748 171.1922
117.276746 97.723 170.8083
118.126581 97.696 170.4266
118.982575 97.667 170.0465
119.844772 97.635 169.6674
120.713217 97.601 169.2888
121.587954 97.564 168.9103
122.469031 97.527 168.5319
123.356492 97.489 168.1536
124.250384 97.450 167.7765
125.150753 97.413 167.4014
126.057647 97.376 167.0295
126.971113 97.340 166.6617
127.891198 97.307 166.2983
128.817950 97.274 165.9393
129.751418 97.243 165.5843
130.691651 97.213 165.2327
131.638696 97.184 164.8836
132.592604 97.155 164.5367
133.553425 97.126 164.1913
134.521208 97.097 163.8476
135.496004 97.067 163.5056
136.477864 97.036 163.1660
137.466839 97.002 162.8291
138.462981 96.967 162.4957
139.466340 96.928 162.1664
140.476971 96.887 161.8419
141.494925 96.842 161.5230
142.520256 96.794 161.2103
143.553016 96.743 160.9041
144.593260 96.689 160.6046
145.641043 96.633 160.3117
146.696418 96.574 160.0253
147.759441 96.514 159.7452
148.830166 96.452 159.4714
149.908651 96.390 159.2038
150.994951 96.328 158.9426
152.089123 96.266 158.6877
153.191223 96.204 158.4393
154.301310 96.143 158.1974
155.419441 96.082 157.9625
156.545674 96.021 157.7351
157.680069 95.962 157.5161
158.822683 95.902 157.3062
159.973578 95.843 157.1061
161.132813 95.784 156.9160
162.300447 95.725 156.7360
163.476543 95.666 156.5658
164.661162 95.608 156.4052
165.854364 95.549 156.2539
167.056213 95.489 156.1115
168.266772 95.430 155.9777
169.486102 95.371 155.8522
170.714268 95.311 155.7349
171.951334 95.252 155.6254
173.197364 95.192 155.5237
174.452424 95.132 155.4291
175.716578 95.071 155.3412
176.989893 95.010 155.2598
178.272434 94.948 155.1843
179.564270 94.885 155.1145
180.865467 94.822 155.0504
182.176092 94.758 154.9920
183.496216 94.692 154.9395
184.825905 94.626 154.8931
186.165229 94.558 154.8533
187.514259 94.488 154.8208
188.873065 94.417 154.7959
190.241717 94.344 154.7793
191.620287 94.269 154.7713
193.008847 94.192 154.7721
194.407468 94.113 154.7815
195.816225 94.032 154.7992
197.235190 93.950 154.8246
198.664438 93.866 154.8574
200.104042 93.780 154.8973
201.554078 93.694 154.9444
203.014622 93.608 154.9989
204.485750 93.521 155.0612
205.967538 93.435 155.1315
207.460064 93.350 155.2101
208.963405 93.268 155.2971
210.477640 93.188 155.3925
212.002848 93.112 155.4961
213.539108 93.040 155.6079
215.086500 92.974 155.7280
216.645105 92.912 155.8562
218.215005 92.857 155.9925
219.796281 92.807 156.1367
221.389015 92.763 156.2885
222.993292 92.724 156.4477
224.609193 92.692 156.6136
226.236804 92.664 156.7858
227.876209 92.641 156.9639
229.527494 92.622 157.1477
231.190745 92.606 157.3370
232.866048 92.595 157.5319
234.553491 92.586 157.7325
236.253163 92.580 157.9388
237.965150 92.576 158.1507
239.689544 92.574 158.3679
241.426433 92.574 158.5900
243.175909 92.575 158.8163
244.938062 92.576 159.0460
246.712984 92.579 159.2780
248.500768 92.582 159.5118
250.301507 92.586 159.7468
252.115295 92.590 159.9823
253.942226 92.594 160.2177
255.782396 92.598 160.4523
257.635901 92.603 160.6854
259.502837 92.608 160.9163
261.383301 92.613 161.1440
263.277392 92.619 161.3676
265.185209 92.624 161.5858
267.106850 92.629 161.7974
269.042417 92.633 162.0012
270.992009 92.636 162.1966
272.955729 92.638 162.3836
274.933678 92.637 162.5627
276.925961 92.633 162.7348
278.932681 92.626 162.9012
280.953942 92.615 163.0634
282.989850 92.600 163.2225
285.040511 92.581 163.3795
287.106032 92.558 163.5348
289.186521 92.530 163.6884
291.282086 92.498 163.8401
293.392836 92.463 163.9894
295.518881 92.424 164.1360
297.660333 92.383 164.2798
299.817302 92.340 164.4209
301.989902 92.295 164.5592
304.178245 92.249 164.6949
306.382446 92.202 164.8280
308.602620 92.156 164.9587
310.838882 92.111 165.0871
313.091348 92.068 165.2136
315.360137 92.027 165.3386
317.645367 91.988 165.4627
319.947156 91.953 165.5865
322.265625 91.922 165.7105
324.600895 91.895 165.8352
326.953086 91.874 165.9611
329.322323 91.857 166.0882
331.708729 91.847 166.2165
334.112427 91.842 166.3458
336.533543 91.842 166.4756
338.972204 91.849 166.6056
341.428536 91.861 166.7355
343.902668 91.879 166.8650
346.394729 91.901 166.9939
348.904848 91.928 167.1220
351.433156 91.958 167.2488
353.979786 91.991 167.3739
356.544869 92.026 167.4966
359.128540 92.062 167.6166
361.730934 92.097 167.7334
