* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2025 10:56:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ouroboros Reprint R3
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 98.198 -119.3944
20.287556 98.173 -119.5534
20.434568 98.140 -119.7699
20.582645 98.101 -120.0420
20.731796 98.058 -120.3674
20.882027 98.013 -120.7442
21.033346 97.967 -121.1702
21.185763 97.921 -121.6424
21.339284 97.876 -122.1568
21.493917 97.832 -122.7081
21.649671 97.791 -123.2891
21.806553 97.750 -123.8918
21.964572 97.712 -124.5070
22.123737 97.674 -125.1254
22.284054 97.638 -125.7385
22.445534 97.603 -126.3394
22.608183 97.570 -126.9232
22.772012 97.538 -127.4878
22.937027 97.509 -128.0335
23.103238 97.481 -128.5633
23.270654 97.454 -129.0814
23.439282 97.429 -129.5928
23.609133 97.403 -130.1022
23.780215 97.376 -130.6129
23.952536 97.347 -131.1259
24.126106 97.315 -131.6402
24.300934 97.279 -132.1523
24.477028 97.241 -132.6573
24.654399 97.200 -133.1496
24.833055 97.158 -133.6240
25.013005 97.115 -134.0767
25.194260 97.075 -134.5063
25.376828 97.039 -134.9140
25.560719 97.007 -135.3031
25.745942 96.982 -135.6789
25.932508 96.963 -136.0467
26.120426 96.949 -136.4114
26.309705 96.940 -136.7758
26.500356 96.934 -137.1402
26.692388 96.931 -137.5026
26.885812 96.928 -137.8589
27.080638 96.926 -138.2047
27.276876 96.924 -138.5363
27.474535 96.923 -138.8524
27.673627 96.922 -139.1552
27.874161 96.924 -139.4504
28.076149 96.927 -139.7469
28.279600 96.930 -140.0555
28.484526 96.934 -140.3867
28.690937 96.935 -140.7486
28.898843 96.931 -141.1454
29.108256 96.921 -141.5763
29.319186 96.901 -142.0354
29.531645 96.872 -142.5129
29.745644 96.832 -142.9969
29.961193 96.782 -143.4755
30.178304 96.724 -143.9392
30.396989 96.660 -144.3826
30.617258 96.593 -144.8050
30.839123 96.525 -145.2104
31.062596 96.459 -145.6058
31.287688 96.395 -145.9994
31.514412 96.334 -146.3980
31.742778 96.276 -146.8046
31.972800 96.221 -147.2176
32.204488 96.166 -147.6301
32.437855 96.113 -148.0306
32.672913 96.060 -148.4050
32.909674 96.008 -148.7386
33.148151 95.959 -149.0183
33.388356 95.912 -149.2346
33.630302 95.871 -149.3836
33.874001 95.836 -149.4672
34.119466 95.808 -149.4935
34.366710 95.787 -149.4753
34.615745 95.773 -149.4288
34.866585 95.764 -149.3715
35.119243 95.760 -149.3199
35.373731 95.757 -149.2880
35.630064 95.752 -149.2854
35.888254 95.745 -149.3172
36.148315 95.732 -149.3839
36.410261 95.713 -149.4815
36.674104 95.687 -149.6025
36.939860 95.653 -149.7367
37.207542 95.611 -149.8723
37.477163 95.564 -149.9964
37.748738 95.511 -150.0961
38.022281 95.454 -150.1591
38.297806 95.396 -150.1747
38.575327 95.337 -150.1345
38.854860 95.280 -150.0335
39.136419 95.226 -149.8706
39.420017 95.177 -149.6494
39.705671 95.134 -149.3778
39.993395 95.099 -149.0677
40.283203 95.071 -148.7341
40.575112 95.050 -148.3935
40.869136 95.036 -148.0629
41.165290 95.029 -147.7580
41.463591 95.028 -147.4921
41.764053 95.032 -147.2753
42.066693 95.041 -147.1136
42.371525 95.054 -147.0089
42.678567 95.071 -146.9592
42.987834 95.092 -146.9586
43.299341 95.117 -146.9983
43.613106 95.145 -147.0676
43.929145 95.177 -147.1545
44.247473 95.212 -147.2474
44.568109 95.251 -147.3356
44.891068 95.292 -147.4106
45.216367 95.335 -147.4666
45.544023 95.380 -147.5012
45.874054 95.427 -147.5149
46.206476 95.475 -147.5114
46.541307 95.525 -147.4964
46.878565 95.577 -147.4773
47.218266 95.631 -147.4617
47.560429 95.689 -147.4570
47.905072 95.750 -147.4693
48.252212 95.815 -147.5034
48.601867 95.884 -147.5625
48.954056 95.957 -147.6481
49.308798 96.034 -147.7606
49.666109 96.114 -147.8997
50.026010 96.197 -148.0642
50.388520 96.281 -148.2529
50.753656 96.365 -148.4647
51.121437 96.450 -148.6984
51.491884 96.533 -148.9536
51.865016 96.615 -149.2299
52.240851 96.696 -149.5273
52.619410 96.775 -149.8457
53.000712 96.852 -150.1855
53.384777 96.927 -150.5465
53.771625 97.002 -150.9286
54.161276 97.075 -151.3315
54.553751 97.146 -151.7545
54.949070 97.215 -152.1967
55.347254 97.282 -152.6570
55.748323 97.345 -153.1341
56.152298 97.406 -153.6269
56.559201 97.464 -154.1346
56.969052 97.519 -154.6566
57.381873 97.572 -155.1919
57.797686 97.623 -155.7390
58.216512 97.673 -156.2951
58.638373 97.721 -156.8560
59.063291 97.769 -157.4164
59.491288 97.815 -157.9707
59.922386 97.858 -158.5145
60.356608 97.899 -159.0456
60.793977 97.937 -159.5647
61.234515 97.972 -160.0752
61.678246 98.003 -160.5825
62.125192 98.031 -161.0922
62.575377 98.055 -161.6091
63.028824 98.077 -162.1364
63.485557 98.095 -162.6753
63.945599 98.110 -163.2254
64.408975 98.121 -163.7851
64.875709 98.130 -164.3523
65.345825 98.135 -164.9243
65.819348 98.138 -165.4989
66.296302 98.138 -166.0735
66.776713 98.136 -166.6460
67.260604 98.133 -167.2147
67.748002 98.128 -167.7783
68.238932 98.121 -168.3361
68.733420 98.114 -168.8880
69.231490 98.105 -169.4343
69.733170 98.095 -169.9756
70.238485 98.084 -170.5127
70.747463 98.072 -171.0463
71.260128 98.058 -171.5769
71.776508 98.044 -172.1048
72.296630 98.029 -172.6296
72.820521 98.014 -173.1510
73.348209 97.997 -173.6680
73.879720 97.980 -174.1796
74.415083 97.961 -174.6848
74.954326 97.942 -175.1824
75.497475 97.922 -175.6716
76.044561 97.901 -176.1514
76.595612 97.878 -176.6212
77.150655 97.854 -177.0806
77.709720 97.829 -177.5291
78.272837 97.803 -177.9666
78.840034 97.776 -178.3932
79.411342 97.748 -178.8091
79.986789 97.721 -179.2146
80.566406 97.692 -179.6101
81.150224 97.664 -179.9962
81.738272 97.636 179.6267
82.330581 97.608 179.2583
82.927182 97.581 178.8983
83.528107 97.554 178.5468
84.133386 97.527 178.2035
84.743051 97.501 177.8685
85.357134 97.476 177.5415
85.975667 97.451 177.2217
86.598682 97.428 176.9081
87.226212 97.406 176.5994
87.858289 97.386 176.2941
88.494946 97.368 175.9906
89.136217 97.351 175.6874
89.782135 97.336 175.3831
90.432733 97.324 175.0763
91.088046 97.313 174.7660
91.748108 97.303 174.4515
92.412952 97.295 174.1323
93.082615 97.287 173.8082
93.757130 97.280 173.4788
94.436533 97.272 173.1435
95.120859 97.263 172.8019
95.810144 97.252 172.4534
96.504423 97.239 172.0979
97.203734 97.224 171.7357
97.908112 97.206 171.3676
98.617595 97.186 170.9942
99.332219 97.163 170.6164
100.052021 97.137 170.2350
100.777039 97.110 169.8503
101.507311 97.080 169.4629
102.242875 97.048 169.0733
102.983769 97.015 168.6823
103.730032 96.981 168.2906
104.481702 96.947 167.8991
105.238820 96.912 167.5084
106.001424 96.877 167.1191
106.769554 96.842 166.7314
107.543250 96.807 166.3451
108.322553 96.773 165.9601
109.107503 96.740 165.5765
109.898141 96.706 165.1943
110.694508 96.673 164.8136
111.496646 96.639 164.4344
112.304596 96.605 164.0565
113.118402 96.570 163.6800
113.938104 96.534 163.3052
114.763747 96.496 162.9326
115.595372 96.457 162.5629
116.433024 96.415 162.1969
117.276746 96.371 161.8355
118.126581 96.325 161.4796
118.982575 96.276 161.1299
119.844772 96.225 160.7874
120.713217 96.172 160.4526
121.587954 96.117 160.1257
122.469031 96.061 159.8066
123.356492 96.003 159.4950
124.250384 95.945 159.1901
125.150753 95.887 158.8915
126.057647 95.829 158.5984
126.971113 95.771 158.3106
127.891198 95.713 158.0277
128.817950 95.656 157.7499
129.751418 95.599 157.4774
130.691651 95.543 157.2109
131.638696 95.487 156.9512
132.592604 95.431 156.6990
133.553425 95.375 156.4552
134.521208 95.318 156.2205
135.496004 95.262 155.9952
136.477864 95.204 155.7799
137.466839 95.145 155.5748
138.462981 95.084 155.3799
139.466340 95.022 155.1953
140.476971 94.956 155.0210
141.494925 94.888 154.8572
142.520256 94.818 154.7037
143.553016 94.745 154.5608
144.593260 94.669 154.4284
145.641043 94.591 154.3072
146.696418 94.512 154.1976
147.759441 94.432 154.1005
148.830166 94.352 154.0163
149.908651 94.271 153.9457
150.994951 94.191 153.8888
152.089123 94.112 153.8454
153.191223 94.034 153.8148
154.301310 93.957 153.7965
155.419441 93.882 153.7896
156.545674 93.809 153.7935
157.680069 93.737 153.8075
158.822683 93.667 153.8312
159.973578 93.599 153.8643
161.132813 93.531 153.9070
162.300447 93.465 153.9595
163.476543 93.400 154.0222
164.661162 93.335 154.0953
165.854364 93.271 154.1791
167.056213 93.208 154.2733
168.266772 93.144 154.3775
169.486102 93.081 154.4915
170.714268 93.017 154.6148
171.951334 92.955 154.7474
173.197364 92.892 154.8894
174.452424 92.830 155.0407
175.716578 92.769 155.2013
176.989893 92.708 155.3709
178.272434 92.647 155.5491
179.564270 92.587 155.7353
180.865467 92.527 155.9289
182.176092 92.468 156.1295
183.496216 92.409 156.3371
184.825905 92.350 156.5513
186.165229 92.292 156.7723
187.514259 92.233 156.9999
188.873065 92.173 157.2339
190.241717 92.114 157.4740
191.620287 92.054 157.7195
193.008847 91.993 157.9701
194.407468 91.931 158.2252
195.816225 91.869 158.4844
197.235190 91.806 158.7474
198.664438 91.744 159.0139
200.104042 91.681 159.2838
201.554078 91.618 159.5568
203.014622 91.557 159.8326
204.485750 91.497 160.1107
205.967538 91.440 160.3900
207.460064 91.386 160.6695
208.963405 91.336 160.9482
210.477640 91.290 161.2252
212.002848 91.250 161.4998
213.539108 91.215 161.7717
215.086500 91.187 162.0404
216.645105 91.165 162.3057
218.215005 91.149 162.5673
219.796281 91.140 162.8248
221.389015 91.136 163.0781
222.993292 91.138 163.3267
224.609193 91.145 163.5704
226.236804 91.156 163.8088
227.876209 91.171 164.0417
229.527494 91.190 164.2687
231.190745 91.211 164.4898
232.866048 91.235 164.7050
234.553491 91.261 164.9145
236.253163 91.288 165.1187
237.965150 91.317 165.3183
239.689544 91.346 165.5139
241.426433 91.376 165.7062
243.175909 91.406 165.8958
244.938062 91.435 166.0829
246.712984 91.465 166.2678
248.500768 91.493 166.4503
250.301507 91.521 166.6305
252.115295 91.547 166.8087
253.942226 91.573 166.9849
255.782396 91.598 167.1593
257.635901 91.621 167.3319
259.502837 91.645 167.5029
261.383301 91.667 167.6723
263.277392 91.688 167.8406
265.185209 91.709 168.0083
267.106850 91.729 168.1757
269.042417 91.749 168.3428
270.992009 91.766 168.5095
272.955729 91.782 168.6753
274.933678 91.797 168.8402
276.925961 91.808 169.0039
278.932681 91.817 169.1664
280.953942 91.823 169.3276
282.989850 91.826 169.4870
285.040511 91.826 169.6442
287.106032 91.822 169.7984
289.186521 91.816 169.9487
291.282086 91.806 170.0941
293.392836 91.794 170.2335
295.518881 91.779 170.3657
297.660333 91.762 170.4896
299.817302 91.743 170.6040
301.989902 91.724 170.7079
304.178245 91.704 170.8003
306.382446 91.685 170.8807
308.602620 91.665 170.9488
310.838882 91.647 171.0043
313.091348 91.631 171.0475
315.360137 91.617 171.0788
317.645367 91.605 171.0988
319.947156 91.596 171.1082
322.265625 91.590 171.1079
324.600895 91.587 171.0986
326.953086 91.588 171.0810
329.322323 91.594 171.0556
331.708729 91.603 171.0231
334.112427 91.617 170.9843
336.533543 91.635 170.9399
338.972204 91.658 170.8906
341.428536 91.684 170.8370
343.902668 91.715 170.7798
346.394729 91.749 170.7196
348.904848 91.785 170.6569
351.433156 91.824 170.5921
353.979786 91.863 170.5256
356.544869 91.903 170.4576
359.128540 91.943 170.3882
361.730934 91.981 170.3177
364.352185 92.016 170.2461
366.992431 92.048 170.1735
