* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2025 11:00:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ouroboros (glasses) L5
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.597 -72.5440
20.287556 89.588 -72.7537
20.434568 89.576 -73.0322
20.582645 89.561 -73.3685
20.731796 89.545 -73.7513
20.882027 89.528 -74.1699
21.033346 89.510 -74.6152
21.185763 89.493 -75.0798
21.339284 89.477 -75.5581
21.493917 89.461 -76.0456
21.649671 89.446 -76.5391
21.806553 89.433 -77.0362
21.964572 89.421 -77.5349
22.123737 89.412 -78.0342
22.284054 89.404 -78.5335
22.445534 89.400 -79.0331
22.608183 89.398 -79.5343
22.772012 89.401 -80.0396
22.937027 89.408 -80.5526
23.103238 89.420 -81.0775
23.270654 89.436 -81.6190
23.439282 89.456 -82.1816
23.609133 89.480 -82.7684
23.780215 89.506 -83.3812
23.952536 89.533 -84.0195
24.126106 89.560 -84.6799
24.300934 89.585 -85.3566
24.477028 89.608 -86.0415
24.654399 89.628 -86.7245
24.833055 89.644 -87.3949
25.013005 89.657 -88.0417
25.194260 89.668 -88.6552
25.376828 89.678 -89.2278
25.560719 89.688 -89.7546
25.745942 89.702 -90.2341
25.932508 89.719 -90.6684
26.120426 89.743 -91.0629
26.309705 89.774 -91.4255
26.500356 89.813 -91.7661
26.692388 89.859 -92.0951
26.885812 89.913 -92.4228
27.080638 89.973 -92.7584
27.276876 90.038 -93.1094
27.474535 90.105 -93.4816
27.673627 90.174 -93.8791
27.874161 90.243 -94.3049
28.076149 90.308 -94.7611
28.279600 90.370 -95.2498
28.484526 90.426 -95.7733
28.690937 90.476 -96.3338
28.898843 90.517 -96.9340
29.108256 90.550 -97.5757
29.319186 90.574 -98.2599
29.531645 90.588 -98.9854
29.745644 90.591 -99.7486
29.961193 90.586 -100.5427
30.178304 90.571 -101.3581
30.396989 90.548 -102.1824
30.617258 90.520 -103.0015
30.839123 90.488 -103.8007
31.062596 90.453 -104.5662
31.287688 90.420 -105.2865
31.514412 90.390 -105.9533
31.742778 90.364 -106.5627
31.972800 90.345 -107.1148
32.204488 90.333 -107.6135
32.437855 90.327 -108.0657
32.672913 90.328 -108.4797
32.909674 90.335 -108.8646
33.148151 90.346 -109.2291
33.388356 90.361 -109.5806
33.630302 90.379 -109.9254
33.874001 90.398 -110.2683
34.119466 90.420 -110.6130
34.366710 90.443 -110.9621
34.615745 90.468 -111.3171
34.866585 90.495 -111.6789
35.119243 90.523 -112.0474
35.373731 90.550 -112.4217
35.630064 90.577 -112.8000
35.888254 90.602 -113.1801
36.148315 90.624 -113.5594
36.410261 90.641 -113.9354
36.674104 90.652 -114.3063
36.939860 90.657 -114.6710
37.207542 90.656 -115.0295
37.477163 90.649 -115.3829
37.748738 90.636 -115.7330
38.022281 90.619 -116.0820
38.297806 90.598 -116.4321
38.575327 90.576 -116.7846
38.854860 90.551 -117.1403
39.136419 90.527 -117.4986
39.420017 90.503 -117.8579
39.705671 90.481 -118.2160
39.993395 90.461 -118.5697
40.283203 90.443 -118.9155
40.575112 90.428 -119.2497
40.869136 90.415 -119.5685
41.165290 90.405 -119.8684
41.463591 90.398 -120.1462
41.764053 90.393 -120.3999
42.066693 90.392 -120.6281
42.371525 90.394 -120.8308
42.678567 90.401 -121.0092
42.987834 90.411 -121.1653
43.299341 90.426 -121.3016
43.613106 90.445 -121.4213
43.929145 90.468 -121.5282
44.247473 90.493 -121.6264
44.568109 90.520 -121.7204
44.891068 90.547 -121.8154
45.216367 90.573 -121.9162
45.544023 90.595 -122.0275
45.874054 90.615 -122.1537
46.206476 90.630 -122.2982
46.541307 90.642 -122.4640
46.878565 90.651 -122.6528
47.218266 90.659 -122.8652
47.560429 90.668 -123.1000
47.905072 90.680 -123.3542
48.252212 90.696 -123.6229
48.601867 90.718 -123.8999
48.954056 90.747 -124.1794
49.308798 90.782 -124.4561
49.666109 90.823 -124.7269
50.026010 90.868 -124.9906
50.388520 90.915 -125.2481
50.753656 90.963 -125.5018
51.121437 91.009 -125.7546
51.491884 91.052 -126.0093
51.865016 91.093 -126.2681
52.240851 91.130 -126.5318
52.619410 91.164 -126.7996
53.000712 91.197 -127.0692
53.384777 91.228 -127.3372
53.771625 91.259 -127.5999
54.161276 91.289 -127.8538
54.553751 91.319 -128.0969
54.949070 91.349 -128.3290
55.347254 91.378 -128.5524
55.748323 91.408 -128.7710
56.152298 91.438 -128.9898
56.559201 91.470 -129.2133
56.969052 91.505 -129.4442
57.381873 91.543 -129.6829
57.797686 91.586 -129.9272
58.216512 91.632 -130.1736
58.638373 91.680 -130.4176
59.063291 91.728 -130.6552
59.491288 91.774 -130.8833
59.922386 91.817 -131.1003
60.356608 91.854 -131.3062
60.793977 91.885 -131.5035
61.234515 91.910 -131.6963
61.678246 91.933 -131.8899
62.125192 91.952 -132.0888
62.575377 91.971 -132.2960
63.028824 91.990 -132.5126
63.485557 92.010 -132.7378
63.945599 92.030 -132.9701
64.408975 92.051 -133.2084
64.875709 92.074 -133.4520
65.345825 92.096 -133.7007
65.819348 92.119 -133.9550
66.296302 92.143 -134.2150
66.776713 92.167 -134.4809
67.260604 92.192 -134.7525
67.748002 92.218 -135.0299
68.238932 92.245 -135.3131
68.733420 92.272 -135.6025
69.231490 92.299 -135.8986
69.733170 92.328 -136.2014
70.238485 92.356 -136.5108
70.747463 92.385 -136.8264
71.260128 92.413 -137.1473
71.776508 92.442 -137.4732
72.296630 92.470 -137.8037
72.820521 92.499 -138.1382
73.348209 92.527 -138.4761
73.879720 92.555 -138.8167
74.415083 92.583 -139.1592
74.954326 92.610 -139.5027
75.497475 92.637 -139.8466
76.044561 92.664 -140.1904
76.595612 92.691 -140.5334
77.150655 92.716 -140.8752
77.709720 92.741 -141.2154
78.272837 92.764 -141.5535
78.840034 92.786 -141.8892
79.411342 92.807 -142.2222
79.986789 92.827 -142.5520
80.566406 92.845 -142.8787
81.150224 92.862 -143.2019
81.738272 92.877 -143.5215
82.330581 92.891 -143.8372
82.927182 92.905 -144.1489
83.528107 92.917 -144.4566
84.133386 92.929 -144.7604
84.743051 92.941 -145.0601
85.357134 92.954 -145.3553
85.975667 92.968 -145.6456
86.598682 92.982 -145.9309
87.226212 92.998 -146.2110
87.858289 93.014 -146.4863
88.494946 93.032 -146.7574
89.136217 93.050 -147.0255
89.782135 93.069 -147.2916
90.432733 93.089 -147.5570
91.088046 93.110 -147.8227
91.748108 93.132 -148.0895
92.412952 93.155 -148.3578
93.082615 93.178 -148.6279
93.757130 93.202 -148.9001
94.436533 93.226 -149.1746
95.120859 93.248 -149.4512
95.810144 93.270 -149.7297
96.504423 93.290 -150.0095
97.203734 93.309 -150.2901
97.908112 93.325 -150.5712
98.617595 93.340 -150.8527
99.332219 93.353 -151.1348
100.052021 93.365 -151.4178
100.777039 93.376 -151.7018
101.507311 93.385 -151.9868
102.242875 93.394 -152.2726
102.983769 93.403 -152.5586
103.730032 93.412 -152.8442
104.481702 93.422 -153.1289
105.238820 93.432 -153.4125
106.001424 93.444 -153.6949
106.769554 93.456 -153.9767
107.543250 93.468 -154.2586
108.322553 93.482 -154.5413
109.107503 93.496 -154.8256
109.898141 93.510 -155.1116
110.694508 93.525 -155.3994
111.496646 93.540 -155.6886
112.304596 93.554 -155.9786
113.118402 93.569 -156.2689
113.938104 93.583 -156.5589
114.763747 93.596 -156.8486
115.595372 93.608 -157.1379
116.433024 93.618 -157.4273
117.276746 93.627 -157.7175
118.126581 93.634 -158.0096
118.982575 93.639 -158.3053
119.844772 93.642 -158.6056
120.713217 93.644 -158.9113
121.587954 93.644 -159.2219
122.469031 93.644 -159.5366
123.356492 93.643 -159.8538
124.250384 93.642 -160.1720
125.150753 93.642 -160.4895
126.057647 93.643 -160.8053
126.971113 93.646 -161.1185
127.891198 93.650 -161.4285
128.817950 93.657 -161.7351
129.751418 93.666 -162.0382
130.691651 93.676 -162.3373
131.638696 93.687 -162.6322
132.592604 93.699 -162.9222
133.553425 93.712 -163.2072
134.521208 93.724 -163.4873
135.496004 93.736 -163.7629
136.477864 93.747 -164.0350
137.466839 93.757 -164.3046
138.462981 93.766 -164.5724
139.466340 93.772 -164.8390
140.476971 93.776 -165.1044
141.494925 93.777 -165.3686
142.520256 93.776 -165.6311
143.553016 93.772 -165.8920
144.593260 93.765 -166.1512
145.641043 93.757 -166.4094
146.696418 93.746 -166.6677
147.759441 93.735 -166.9275
148.830166 93.723 -167.1902
149.908651 93.711 -167.4572
150.994951 93.699 -167.7290
152.089123 93.687 -168.0047
153.191223 93.676 -168.2827
154.301310 93.666 -168.5605
155.419441 93.657 -168.8360
156.545674 93.649 -169.1076
157.680069 93.641 -169.3749
158.822683 93.634 -169.6380
159.973578 93.628 -169.8975
161.132813 93.622 -170.1538
162.300447 93.615 -170.4072
163.476543 93.609 -170.6577
164.661162 93.601 -170.9054
165.854364 93.594 -171.1503
167.056213 93.585 -171.3927
168.266772 93.575 -171.6330
169.486102 93.565 -171.8711
170.714268 93.553 -172.1068
171.951334 93.539 -172.3396
173.197364 93.525 -172.5691
174.452424 93.509 -172.7950
175.716578 93.491 -173.0170
176.989893 93.473 -173.2349
178.272434 93.453 -173.4484
179.564270 93.433 -173.6573
180.865467 93.411 -173.8617
182.176092 93.388 -174.0619
183.496216 93.364 -174.2585
184.825905 93.339 -174.4520
186.165229 93.312 -174.6431
187.514259 93.283 -174.8324
188.873065 93.253 -175.0204
190.241717 93.221 -175.2072
191.620287 93.187 -175.3926
193.008847 93.152 -175.5763
194.407468 93.113 -175.7579
195.816225 93.073 -175.9367
197.235190 93.031 -176.1120
198.664438 92.986 -176.2830
200.104042 92.940 -176.4489
201.554078 92.892 -176.6090
203.014622 92.843 -176.7629
204.485750 92.794 -176.9100
205.967538 92.745 -177.0502
207.460064 92.697 -177.1832
208.963405 92.651 -177.3092
210.477640 92.608 -177.4282
212.002848 92.568 -177.5406
213.539108 92.533 -177.6465
215.086500 92.501 -177.7462
216.645105 92.475 -177.8396
218.215005 92.454 -177.9270
219.796281 92.438 -178.0085
221.389015 92.426 -178.0848
222.993292 92.420 -178.1565
224.609193 92.417 -178.2241
226.236804 92.419 -178.2883
227.876209 92.423 -178.3495
229.527494 92.431 -178.4078
231.190745 92.440 -178.4630
232.866048 92.453 -178.5148
234.553491 92.467 -178.5626
236.253163 92.482 -178.6058
237.965150 92.498 -178.6441
239.689544 92.516 -178.6773
241.426433 92.534 -178.7053
243.175909 92.552 -178.7286
244.938062 92.569 -178.7478
246.712984 92.587 -178.7640
248.500768 92.604 -178.7786
250.301507 92.621 -178.7930
252.115295 92.638 -178.8084
253.942226 92.654 -178.8259
255.782396 92.670 -178.8459
257.635901 92.686 -178.8686
259.502837 92.701 -178.8942
261.383301 92.717 -178.9228
263.277392 92.732 -178.9544
265.185209 92.746 -178.9890
267.106850 92.760 -179.0263
269.042417 92.773 -179.0656
270.992009 92.783 -179.1057
272.955729 92.792 -179.1453
274.933678 92.798 -179.1832
276.925961 92.801 -179.2188
278.932681 92.801 -179.2518
280.953942 92.797 -179.2823
282.989850 92.788 -179.3103
285.040511 92.775 -179.3356
287.106032 92.758 -179.3579
289.186521 92.735 -179.3769
291.282086 92.709 -179.3925
293.392836 92.678 -179.4051
295.518881 92.643 -179.4156
297.660333 92.606 -179.4252
299.817302 92.566 -179.4348
301.989902 92.525 -179.4455
304.178245 92.482 -179.4580
306.382446 92.440 -179.4724
308.602620 92.398 -179.4892
310.838882 92.357 -179.5082
313.091348 92.318 -179.5297
315.360137 92.282 -179.5539
317.645367 92.249 -179.5809
319.947156 92.219 -179.6110
322.265625 92.194 -179.6442
324.600895 92.172 -179.6805
326.953086 92.156 -179.7197
329.322323 92.144 -179.7617
331.708729 92.138 -179.8060
