* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 6:15:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 2 (Geekria) L1
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.977 -30.0428
20.287556 90.995 -30.2956
20.434568 91.018 -30.6311
20.582645 91.043 -31.0362
20.731796 91.066 -31.4975
20.882027 91.086 -32.0024
21.033346 91.100 -32.5401
21.185763 91.107 -33.1017
21.339284 91.106 -33.6808
21.493917 91.099 -34.2726
21.649671 91.085 -34.8740
21.806553 91.065 -35.4829
21.964572 91.042 -36.0979
22.123737 91.016 -36.7179
22.284054 90.991 -37.3417
22.445534 90.966 -37.9682
22.608183 90.945 -38.5960
22.772012 90.928 -39.2235
22.937027 90.918 -39.8491
23.103238 90.914 -40.4709
23.270654 90.919 -41.0873
23.439282 90.932 -41.6962
23.609133 90.955 -42.2961
23.780215 90.987 -42.8852
23.952536 91.030 -43.4624
24.126106 91.083 -44.0266
24.300934 91.146 -44.5779
24.477028 91.218 -45.1166
24.654399 91.299 -45.6447
24.833055 91.389 -46.1647
25.013005 91.484 -46.6806
25.194260 91.585 -47.1971
25.376828 91.690 -47.7194
25.560719 91.796 -48.2526
25.745942 91.901 -48.8014
25.932508 92.005 -49.3690
26.120426 92.104 -49.9571
26.309705 92.198 -50.5650
26.500356 92.286 -51.1903
26.692388 92.367 -51.8287
26.885812 92.440 -52.4748
27.080638 92.508 -53.1226
27.276876 92.569 -53.7666
27.474535 92.628 -54.4026
27.673627 92.685 -55.0281
27.874161 92.743 -55.6427
28.076149 92.806 -56.2480
28.279600 92.875 -56.8469
28.484526 92.954 -57.4433
28.690937 93.046 -58.0411
28.898843 93.151 -58.6433
29.108256 93.271 -59.2519
29.319186 93.407 -59.8674
29.531645 93.559 -60.4891
29.745644 93.725 -61.1156
29.961193 93.903 -61.7455
30.178304 94.090 -62.3773
30.396989 94.282 -63.0102
30.617258 94.476 -63.6443
30.839123 94.665 -64.2797
31.062596 94.846 -64.9165
31.287688 95.013 -65.5543
31.514412 95.161 -66.1921
31.742778 95.287 -66.8277
31.972800 95.387 -67.4586
32.204488 95.458 -68.0823
32.437855 95.501 -68.6972
32.672913 95.514 -69.3028
32.909674 95.499 -69.9007
33.148151 95.457 -70.4943
33.388356 95.392 -71.0884
33.630302 95.306 -71.6883
33.874001 95.202 -72.2995
34.119466 95.086 -72.9259
34.366710 94.961 -73.5701
34.615745 94.832 -74.2322
34.866585 94.702 -74.9106
35.119243 94.577 -75.6020
35.373731 94.460 -76.3021
35.630064 94.355 -77.0060
35.888254 94.266 -77.7086
36.148315 94.193 -78.4053
36.410261 94.141 -79.0922
36.674104 94.109 -79.7660
36.939860 94.099 -80.4247
37.207542 94.111 -81.0676
37.477163 94.145 -81.6953
37.748738 94.200 -82.3099
38.022281 94.276 -82.9144
38.297806 94.373 -83.5129
38.575327 94.490 -84.1095
38.854860 94.626 -84.7076
39.136419 94.779 -85.3102
39.420017 94.950 -85.9189
39.705671 95.136 -86.5346
39.993395 95.337 -87.1572
40.283203 95.552 -87.7866
40.575112 95.780 -88.4224
40.869136 96.019 -89.0643
41.165290 96.267 -89.7122
41.463591 96.524 -90.3657
41.764053 96.786 -91.0244
42.066693 97.052 -91.6872
42.371525 97.320 -92.3529
42.678567 97.587 -93.0200
42.987834 97.851 -93.6869
43.299341 98.110 -94.3521
43.613106 98.362 -95.0144
43.929145 98.603 -95.6730
44.247473 98.833 -96.3271
44.568109 99.049 -96.9765
44.891068 99.249 -97.6213
45.216367 99.434 -98.2618
45.544023 99.601 -98.8987
45.874054 99.751 -99.5329
46.206476 99.883 -100.1655
46.541307 99.997 -100.7974
46.878565 100.095 -101.4294
47.218266 100.175 -102.0623
47.560429 100.241 -102.6965
47.905072 100.291 -103.3323
48.252212 100.327 -103.9698
48.601867 100.351 -104.6089
48.954056 100.362 -105.2492
49.308798 100.364 -105.8903
49.666109 100.357 -106.5315
50.026010 100.342 -107.1723
50.388520 100.322 -107.8121
50.753656 100.298 -108.4502
51.121437 100.272 -109.0862
51.491884 100.245 -109.7191
51.865016 100.219 -110.3481
52.240851 100.195 -110.9725
52.619410 100.173 -111.5916
53.000712 100.155 -112.2053
53.384777 100.139 -112.8139
53.771625 100.127 -113.4179
54.161276 100.117 -114.0184
54.553751 100.109 -114.6161
54.949070 100.102 -115.2116
55.347254 100.095 -115.8052
55.748323 100.088 -116.3967
56.152298 100.079 -116.9859
56.559201 100.067 -117.5721
56.969052 100.053 -118.1547
57.381873 100.036 -118.7332
57.797686 100.016 -119.3070
58.216512 99.994 -119.8761
58.638373 99.969 -120.4407
59.063291 99.941 -121.0016
59.491288 99.912 -121.5595
59.922386 99.881 -122.1153
60.356608 99.848 -122.6693
60.793977 99.814 -123.2217
61.234515 99.778 -123.7723
61.678246 99.742 -124.3211
62.125192 99.705 -124.8680
62.575377 99.669 -125.4136
63.028824 99.632 -125.9584
63.485557 99.597 -126.5032
63.945599 99.563 -127.0486
64.408975 99.530 -127.5949
64.875709 99.501 -128.1422
65.345825 99.474 -128.6902
65.819348 99.450 -129.2382
66.296302 99.430 -129.7853
66.776713 99.413 -130.3302
67.260604 99.399 -130.8721
67.748002 99.389 -131.4102
68.238932 99.381 -131.9441
68.733420 99.376 -132.4737
69.231490 99.372 -132.9994
69.733170 99.371 -133.5214
70.238485 99.370 -134.0402
70.747463 99.371 -134.5561
71.260128 99.372 -135.0691
71.776508 99.374 -135.5791
72.296630 99.377 -136.0858
72.820521 99.381 -136.5886
73.348209 99.384 -137.0870
73.879720 99.389 -137.5806
74.415083 99.393 -138.0694
74.954326 99.397 -138.5534
75.497475 99.402 -139.0331
76.044561 99.406 -139.5089
76.595612 99.409 -139.9810
77.150655 99.411 -140.4499
77.709720 99.411 -140.9154
78.272837 99.409 -141.3773
78.840034 99.405 -141.8352
79.411342 99.397 -142.2885
79.986789 99.386 -142.7366
80.566406 99.371 -143.1789
81.150224 99.353 -143.6150
81.738272 99.332 -144.0446
82.330581 99.308 -144.4676
82.927182 99.283 -144.8838
83.528107 99.258 -145.2933
84.133386 99.234 -145.6960
84.743051 99.215 -146.0919
85.357134 99.203 -146.4814
85.975667 99.201 -146.8646
86.598682 99.213 -147.2424
87.226212 99.243 -147.6154
87.858289 99.292 -147.9847
88.494946 99.365 -148.3513
89.136217 99.461 -148.7161
89.782135 99.583 -149.0800
90.432733 99.729 -149.4438
91.088046 99.896 -149.8079
91.748108 100.080 -150.1727
92.412952 100.278 -150.5383
93.082615 100.484 -150.9050
93.757130 100.691 -151.2728
94.436533 100.896 -151.6418
95.120859 101.092 -152.0121
95.810144 101.276 -152.3835
96.504423 101.445 -152.7560
97.203734 101.597 -153.1296
97.908112 101.730 -153.5045
98.617595 101.847 -153.8807
99.332219 101.946 -154.2582
100.052021 102.031 -154.6372
100.777039 102.104 -155.0176
101.507311 102.166 -155.3994
102.242875 102.219 -155.7825
102.983769 102.266 -156.1669
103.730032 102.307 -156.5522
104.481702 102.344 -156.9386
105.238820 102.375 -157.3257
106.001424 102.401 -157.7135
106.769554 102.419 -158.1019
107.543250 102.429 -158.4905
108.322553 102.428 -158.8790
109.107503 102.416 -159.2667
109.898141 102.390 -159.6532
110.694508 102.350 -160.0381
111.496646 102.297 -160.4213
112.304596 102.229 -160.8027
113.118402 102.149 -161.1823
113.938104 102.058 -161.5603
114.763747 101.957 -161.9368
115.595372 101.851 -162.3121
116.433024 101.740 -162.6865
117.276746 101.626 -163.0602
118.126581 101.513 -163.4336
118.982575 101.400 -163.8067
119.844772 101.290 -164.1792
120.713217 101.182 -164.5502
121.587954 101.076 -164.9184
122.469031 100.972 -165.2825
123.356492 100.868 -165.6409
124.250384 100.764 -165.9920
125.150753 100.657 -166.3347
126.057647 100.547 -166.6678
126.971113 100.431 -166.9905
127.891198 100.310 -167.3021
128.817950 100.181 -167.6024
129.751418 100.047 -167.8916
130.691651 99.906 -168.1702
131.638696 99.760 -168.4392
132.592604 99.611 -168.6999
133.553425 99.462 -168.9539
134.521208 99.315 -169.2026
135.496004 99.173 -169.4477
136.477864 99.041 -169.6909
137.466839 98.922 -169.9339
138.462981 98.819 -170.1788
139.466340 98.735 -170.4276
140.476971 98.671 -170.6826
141.494925 98.627 -170.9456
142.520256 98.602 -171.2185
143.553016 98.595 -171.5023
144.593260 98.601 -171.7977
145.641043 98.616 -172.1048
146.696418 98.637 -172.4234
147.759441 98.659 -172.7529
148.830166 98.678 -173.0925
149.908651 98.691 -173.4412
150.994951 98.696 -173.7978
152.089123 98.693 -174.1609
153.191223 98.680 -174.5290
154.301310 98.658 -174.9004
155.419441 98.629 -175.2733
156.545674 98.594 -175.6458
157.680069 98.555 -176.0163
158.822683 98.514 -176.3832
159.973578 98.471 -176.7450
161.132813 98.429 -177.1004
162.300447 98.387 -177.4482
163.476543 98.348 -177.7875
164.661162 98.310 -178.1173
165.854364 98.274 -178.4367
167.056213 98.241 -178.7452
168.266772 98.210 -179.0421
169.486102 98.182 -179.3268
170.714268 98.158 -179.5987
171.951334 98.137 -179.8574
173.197364 98.120 179.8978
174.452424 98.107 179.6677
175.716578 98.098 179.4526
176.989893 98.092 179.2530
178.272434 98.090 179.0688
179.564270 98.089 178.8998
180.865467 98.090 178.7455
182.176092 98.090 178.6055
183.496216 98.090 178.4789
184.825905 98.088 178.3650
186.165229 98.085 178.2627
187.514259 98.079 178.1712
188.873065 98.072 178.0895
190.241717 98.064 178.0165
191.620287 98.056 177.9514
193.008847 98.048 177.8931
194.407468 98.040 177.8406
195.816225 98.034 177.7929
197.235190 98.030 177.7487
198.664438 98.026 177.7068
200.104042 98.024 177.6654
201.554078 98.022 177.6231
203.014622 98.021 177.5785
204.485750 98.018 177.5307
205.967538 98.014 177.4792
207.460064 98.008 177.4239
208.963405 98.000 177.3651
210.477640 97.989 177.3027
212.002848 97.975 177.2367
213.539108 97.960 177.1668
215.086500 97.942 177.0926
216.645105 97.922 177.0135
218.215005 97.901 176.9293
219.796281 97.879 176.8394
221.389015 97.855 176.7438
222.993292 97.829 176.6424
224.609193 97.800 176.5353
226.236804 97.769 176.4228
227.876209 97.733 176.3050
229.527494 97.692 176.1821
231.190745 97.647 176.0543
232.866048 97.597 175.9214
234.553491 97.541 175.7833
236.253163 97.480 175.6398
237.965150 97.415 175.4905
239.689544 97.347 175.3355
241.426433 97.276 175.1747
243.175909 97.203 175.0085
244.938062 97.129 174.8376
246.712984 97.055 174.6630
248.500768 96.982 174.4863
250.301507 96.910 174.3088
252.115295 96.840 174.1321
253.942226 96.774 173.9576
255.782396 96.711 173.7867
257.635901 96.652 173.6208
259.502837 96.597 173.4608
261.383301 96.548 173.3079
263.277392 96.504 173.1628
265.185209 96.467 173.0263
267.106850 96.435 172.8988
269.042417 96.408 172.7806
270.992009 96.388 172.6719
272.955729 96.372 172.5722
274.933678 96.362 172.4810
276.925961 96.355 172.3974
278.932681 96.352 172.3201
280.953942 96.353 172.2479
282.989850 96.356 172.1796
285.040511 96.362 172.1141
287.106032 96.372 172.0506
289.186521 96.386 171.9884
291.282086 96.405 171.9270
293.392836 96.429 171.8662
295.518881 96.460 171.8058
297.660333 96.496 171.7457
299.817302 96.539 171.6857
301.989902 96.587 171.6258
304.178245 96.639 171.5658
306.382446 96.693 171.5056
308.602620 96.747 171.4454
310.838882 96.800 171.3852
313.091348 96.850 171.3252
315.360137 96.895 171.2655
317.645367 96.935 171.2060
319.947156 96.967 171.1463
322.265625 96.991 171.0861
324.600895 97.006 171.0246
326.953086 97.011 170.9615
329.322323 97.006 170.8962
331.708729 96.991 170.8284
334.112427 96.965 170.7580
336.533543 96.929 170.6848
338.972204 96.883 170.6092
341.428536 96.827 170.5316
343.902668 96.762 170.4527
346.394729 96.690 170.3732
