* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 6:26:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 2 (Geekria) R6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 98.461 -50.5286
20.287556 98.473 -50.7533
20.434568 98.487 -51.0545
20.582645 98.501 -51.4237
20.731796 98.511 -51.8517
20.882027 98.515 -52.3294
21.033346 98.511 -52.8480
21.185763 98.498 -53.3994
21.339284 98.475 -53.9764
21.493917 98.443 -54.5729
21.649671 98.402 -55.1837
21.806553 98.354 -55.8047
21.964572 98.301 -56.4328
22.123737 98.244 -57.0660
22.284054 98.187 -57.7028
22.445534 98.132 -58.3428
22.608183 98.079 -58.9858
22.772012 98.032 -59.6320
22.937027 97.992 -60.2816
23.103238 97.960 -60.9347
23.270654 97.937 -61.5911
23.439282 97.924 -62.2500
23.609133 97.920 -62.9102
23.780215 97.927 -63.5702
23.952536 97.945 -64.2280
24.126106 97.973 -64.8819
24.300934 98.011 -65.5300
24.477028 98.058 -66.1709
24.654399 98.114 -66.8038
24.833055 98.177 -67.4284
25.013005 98.246 -68.0453
25.194260 98.320 -68.6554
25.376828 98.397 -69.2603
25.560719 98.475 -69.8617
25.745942 98.553 -70.4614
25.932508 98.629 -71.0611
26.120426 98.702 -71.6622
26.309705 98.772 -72.2660
26.500356 98.837 -72.8732
26.692388 98.898 -73.4843
26.885812 98.953 -74.0997
27.080638 99.004 -74.7197
27.276876 99.051 -75.3445
27.474535 99.094 -75.9743
27.673627 99.136 -76.6092
27.874161 99.177 -77.2489
28.076149 99.219 -77.8931
28.279600 99.265 -78.5411
28.484526 99.318 -79.1917
28.690937 99.380 -79.8435
28.898843 99.453 -80.4950
29.108256 99.539 -81.1446
29.319186 99.641 -81.7910
29.531645 99.759 -82.4335
29.745644 99.892 -83.0718
29.961193 100.038 -83.7063
30.178304 100.195 -84.3380
30.396989 100.359 -84.9680
30.617258 100.525 -85.5979
30.839123 100.688 -86.2289
31.062596 100.843 -86.8618
31.287688 100.986 -87.4973
31.514412 101.110 -88.1352
31.742778 101.213 -88.7752
31.972800 101.291 -89.4167
32.204488 101.342 -90.0591
32.437855 101.365 -90.7016
32.672913 101.359 -91.3441
32.909674 101.324 -91.9864
33.148151 101.264 -92.6286
33.388356 101.179 -93.2710
33.630302 101.072 -93.9139
33.874001 100.949 -94.5574
34.119466 100.811 -95.2017
34.366710 100.665 -95.8469
34.615745 100.513 -96.4927
34.866585 100.361 -97.1389
35.119243 100.213 -97.7850
35.373731 100.072 -98.4302
35.630064 99.942 -99.0736
35.888254 99.826 -99.7138
36.148315 99.725 -100.3494
36.410261 99.643 -100.9789
36.674104 99.581 -101.6010
36.939860 99.539 -102.2149
37.207542 99.519 -102.8204
37.477163 99.520 -103.4182
37.748738 99.544 -104.0096
38.022281 99.590 -104.5965
38.297806 99.658 -105.1812
38.575327 99.746 -105.7661
38.854860 99.855 -106.3528
39.136419 99.982 -106.9429
39.420017 100.126 -107.5369
39.705671 100.286 -108.1350
39.993395 100.461 -108.7367
40.283203 100.650 -109.3415
40.575112 100.851 -109.9484
40.869136 101.063 -110.5566
41.165290 101.284 -111.1656
41.463591 101.513 -111.7747
41.764053 101.749 -112.3840
42.066693 101.988 -112.9933
42.371525 102.230 -113.6028
42.678567 102.472 -114.2128
42.987834 102.712 -114.8233
43.299341 102.948 -115.4342
43.613106 103.177 -116.0451
43.929145 103.396 -116.6552
44.247473 103.604 -117.2635
44.568109 103.799 -117.8691
44.891068 103.980 -118.4711
45.216367 104.144 -119.0686
45.544023 104.292 -119.6615
45.874054 104.422 -120.2498
46.206476 104.534 -120.8338
46.541307 104.628 -121.4141
46.878565 104.704 -121.9912
47.218266 104.763 -122.5658
47.560429 104.805 -123.1381
47.905072 104.832 -123.7084
48.252212 104.845 -124.2767
48.601867 104.844 -124.8433
48.954056 104.833 -125.4083
49.308798 104.812 -125.9718
49.666109 104.784 -126.5341
50.026010 104.749 -127.0951
50.388520 104.710 -127.6546
50.753656 104.668 -128.2120
51.121437 104.625 -128.7666
51.491884 104.582 -129.3178
51.865016 104.541 -129.8649
52.240851 104.502 -130.4079
52.619410 104.465 -130.9469
53.000712 104.432 -131.4826
53.384777 104.402 -132.0154
53.771625 104.375 -132.5461
54.161276 104.349 -133.0749
54.553751 104.325 -133.6021
54.949070 104.302 -134.1278
55.347254 104.279 -134.6516
55.748323 104.254 -135.1735
56.152298 104.228 -135.6930
56.559201 104.200 -136.2101
56.969052 104.169 -136.7248
57.381873 104.135 -137.2372
57.797686 104.098 -137.7471
58.216512 104.059 -138.2547
58.638373 104.016 -138.7596
59.063291 103.972 -139.2616
59.491288 103.926 -139.7603
59.922386 103.878 -140.2553
60.356608 103.830 -140.7464
60.793977 103.780 -141.2335
61.234515 103.730 -141.7168
61.678246 103.680 -142.1966
62.125192 103.630 -142.6734
62.575377 103.580 -143.1477
63.028824 103.531 -143.6198
63.485557 103.483 -144.0901
63.945599 103.437 -144.5586
64.408975 103.392 -145.0256
64.875709 103.349 -145.4911
65.345825 103.309 -145.9554
65.819348 103.271 -146.4184
66.296302 103.236 -146.8805
66.776713 103.204 -147.3415
67.260604 103.174 -147.8014
67.748002 103.147 -148.2597
68.238932 103.122 -148.7158
68.733420 103.099 -149.1690
69.231490 103.079 -149.6185
69.733170 103.060 -150.0637
70.238485 103.042 -150.5041
70.747463 103.027 -150.9391
71.260128 103.012 -151.3684
71.776508 102.999 -151.7918
72.296630 102.987 -152.2093
72.820521 102.977 -152.6209
73.348209 102.968 -153.0268
73.879720 102.959 -153.4270
74.415083 102.952 -153.8218
74.954326 102.946 -154.2111
75.497475 102.940 -154.5949
76.044561 102.934 -154.9735
76.595612 102.928 -155.3470
77.150655 102.921 -155.7159
77.709720 102.913 -156.0805
78.272837 102.903 -156.4412
78.840034 102.890 -156.7982
79.411342 102.875 -157.1520
79.986789 102.857 -157.5025
80.566406 102.836 -157.8503
81.150224 102.812 -158.1956
81.738272 102.786 -158.5387
82.330581 102.758 -158.8800
82.927182 102.729 -159.2199
83.528107 102.700 -159.5587
84.133386 102.673 -159.8966
84.743051 102.651 -160.2341
85.357134 102.635 -160.5714
85.975667 102.630 -160.9090
86.598682 102.638 -161.2472
87.226212 102.663 -161.5864
87.858289 102.707 -161.9268
88.494946 102.774 -162.2684
89.136217 102.864 -162.6115
89.782135 102.979 -162.9559
90.432733 103.117 -163.3016
91.088046 103.275 -163.6487
91.748108 103.451 -163.9971
92.412952 103.640 -164.3468
93.082615 103.836 -164.6976
93.757130 104.034 -165.0490
94.436533 104.228 -165.4006
95.120859 104.414 -165.7519
95.810144 104.588 -166.1024
96.504423 104.747 -166.4518
97.203734 104.888 -166.7999
97.908112 105.011 -167.1465
98.617595 105.116 -167.4915
99.332219 105.205 -167.8349
100.052021 105.279 -168.1765
100.777039 105.339 -168.5164
101.507311 105.389 -168.8545
102.242875 105.430 -169.1910
102.983769 105.464 -169.5263
103.730032 105.492 -169.8605
104.481702 105.516 -170.1940
105.238820 105.534 -170.5270
106.001424 105.546 -170.8595
106.769554 105.551 -171.1913
107.543250 105.548 -171.5222
108.322553 105.535 -171.8515
109.107503 105.510 -172.1790
109.898141 105.471 -172.5044
110.694508 105.419 -172.8273
111.496646 105.353 -173.1477
112.304596 105.274 -173.4654
113.118402 105.183 -173.7804
113.938104 105.080 -174.0926
114.763747 104.970 -174.4019
115.595372 104.853 -174.7081
116.433024 104.732 -175.0111
117.276746 104.610 -175.3106
118.126581 104.487 -175.6065
118.982575 104.366 -175.8984
119.844772 104.248 -176.1858
120.713217 104.132 -176.4685
121.587954 104.020 -176.7459
122.469031 103.909 -177.0181
123.356492 103.800 -177.2848
124.250384 103.690 -177.5463
125.150753 103.580 -177.8029
126.057647 103.466 -178.0550
126.971113 103.349 -178.3034
127.891198 103.226 -178.5488
128.817950 103.097 -178.7923
129.751418 102.962 -179.0347
130.691651 102.822 -179.2772
131.638696 102.676 -179.5207
132.592604 102.527 -179.7658
133.553425 102.376 179.9871
134.521208 102.227 179.7378
135.496004 102.081 179.4864
136.477864 101.943 179.2331
137.466839 101.816 178.9782
138.462981 101.702 178.7222
139.466340 101.604 178.4652
140.476971 101.524 178.2075
141.494925 101.462 177.9492
142.520256 101.417 177.6906
143.553016 101.388 177.4319
144.593260 101.372 177.1738
145.641043 101.365 176.9168
146.696418 101.363 176.6619
147.759441 101.363 176.4096
148.830166 101.361 176.1608
149.908651 101.353 175.9162
150.994951 101.339 175.6764
152.089123 101.317 175.4422
153.191223 101.287 175.2141
154.301310 101.249 174.9927
155.419441 101.205 174.7787
156.545674 101.157 174.5728
157.680069 101.106 174.3755
158.822683 101.053 174.1877
159.973578 101.001 174.0100
161.132813 100.951 173.8428
162.300447 100.904 173.6866
163.476543 100.859 173.5414
164.661162 100.819 173.4076
165.854364 100.783 173.2851
167.056213 100.751 173.1739
168.266772 100.724 173.0739
169.486102 100.702 172.9849
170.714268 100.687 172.9061
171.951334 100.677 172.8367
173.197364 100.673 172.7756
174.452424 100.676 172.7214
175.716578 100.684 172.6726
176.989893 100.698 172.6277
178.272434 100.717 172.5853
179.564270 100.739 172.5437
180.865467 100.763 172.5016
182.176092 100.788 172.4578
183.496216 100.813 172.4109
184.825905 100.837 172.3600
186.165229 100.860 172.3041
187.514259 100.881 172.2426
188.873065 100.900 172.1748
190.241717 100.917 172.1003
191.620287 100.933 172.0185
193.008847 100.948 171.9289
194.407468 100.963 171.8313
195.816225 100.977 171.7253
197.235190 100.991 171.6108
198.664438 101.005 171.4880
200.104042 101.018 171.3572
201.554078 101.030 171.2190
203.014622 101.040 171.0742
204.485750 101.048 170.9240
205.967538 101.052 170.7695
207.460064 101.053 170.6122
208.963405 101.050 170.4532
210.477640 101.044 170.2931
212.002848 101.033 170.1323
213.539108 101.020 169.9707
215.086500 101.003 169.8082
216.645105 100.983 169.6448
218.215005 100.961 169.4802
219.796281 100.936 169.3146
221.389015 100.909 169.1479
222.993292 100.879 168.9803
224.609193 100.845 168.8117
226.236804 100.807 168.6422
227.876209 100.765 168.4717
229.527494 100.716 168.3004
231.190745 100.662 168.1286
232.866048 100.602 167.9566
234.553491 100.537 167.7849
236.253163 100.466 167.6143
237.965150 100.392 167.4452
239.689544 100.314 167.2781
241.426433 100.233 167.1134
243.175909 100.152 166.9510
244.938062 100.070 166.7907
246.712984 99.989 166.6322
248.500768 99.909 166.4752
250.301507 99.831 166.3194
252.115295 99.757 166.1646
253.942226 99.686 166.0109
255.782396 99.619 165.8583
257.635901 99.557 165.7068
259.502837 99.501 165.5568
261.383301 99.450 165.4083
263.277392 99.405 165.2612
265.185209 99.367 165.1157
267.106850 99.334 164.9716
269.042417 99.308 164.8289
270.992009 99.287 164.6877
272.955729 99.272 164.5481
274.933678 99.261 164.4102
276.925961 99.254 164.2741
278.932681 99.250 164.1400
280.953942 99.249 164.0078
282.989850 99.250 163.8776
285.040511 99.254 163.7492
287.106032 99.260 163.6226
289.186521 99.269 163.4976
291.282086 99.282 163.3742
293.392836 99.300 163.2523
295.518881 99.324 163.1317
297.660333 99.352 163.0127
299.817302 99.387 162.8952
301.989902 99.426 162.7794
304.178245 99.468 162.6653
306.382446 99.512 162.5530
308.602620 99.556 162.4427
310.838882 99.599 162.3345
313.091348 99.638 162.2286
315.360137 99.672 162.1252
317.645367 99.700 162.0243
319.947156 99.720 161.9262
322.265625 99.732 161.8311
324.600895 99.734 161.7393
326.953086 99.727 161.6510
329.322323 99.709 161.5666
331.708729 99.681 161.4865
334.112427 99.643 161.4110
336.533543 99.594 161.3403
338.972204 99.534 161.2743
341.428536 99.466 161.2130
343.902668 99.389 161.1562
346.394729 99.305 161.1035
348.904848 99.215 161.0544
351.433156 99.122 161.0082
353.979786 99.027 160.9646
