* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 4:34:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 3 (Centered) L3
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 78.580 -89.1003
20.333664 78.591 -89.2600
20.481010 78.607 -89.4716
20.629424 78.628 -89.7256
20.778913 78.656 -90.0125
20.929486 78.692 -90.3234
21.081150 78.737 -90.6514
21.233912 78.793 -90.9921
21.387782 78.859 -91.3433
21.542767 78.936 -91.7056
21.698874 79.024 -92.0811
21.856113 79.121 -92.4731
22.014492 79.226 -92.8853
22.174018 79.337 -93.3208
22.334700 79.452 -93.7815
22.496546 79.568 -94.2677
22.659566 79.684 -94.7776
22.823766 79.796 -95.3075
22.989157 79.904 -95.8519
23.155745 80.006 -96.4040
23.323542 80.102 -96.9562
23.492554 80.191 -97.5008
23.662790 80.274 -98.0307
23.834261 80.351 -98.5398
24.006973 80.424 -99.0238
24.180938 80.494 -99.4802
24.356163 80.561 -99.9088
24.532658 80.627 -100.3110
24.710431 80.692 -100.6900
24.889493 80.756 -101.0499
25.069853 80.820 -101.3956
25.251519 80.884 -101.7317
25.434502 80.945 -102.0625
25.618811 81.005 -102.3915
25.804456 81.062 -102.7214
25.991445 81.115 -103.0537
26.179790 81.163 -103.3893
26.369500 81.208 -103.7284
26.560584 81.248 -104.0707
26.753053 81.284 -104.4159
26.946917 81.316 -104.7638
27.142185 81.345 -105.1144
27.338869 81.373 -105.4679
27.536977 81.399 -105.8251
27.736522 81.427 -106.1872
27.937512 81.455 -106.5559
28.139959 81.486 -106.9328
28.343872 81.519 -107.3199
28.549264 81.556 -107.7185
28.756143 81.595 -108.1297
28.964522 81.638 -108.5533
29.174411 81.682 -108.9885
29.385821 81.728 -109.4333
29.598763 81.775 -109.8851
29.813248 81.823 -110.3411
30.029287 81.872 -110.7986
30.246891 81.922 -111.2558
30.466073 81.973 -111.7121
30.686842 82.026 -112.1681
30.909212 82.082 -112.6258
31.133193 82.141 -113.0875
31.358797 82.202 -113.5553
31.586035 82.267 -114.0306
31.814921 82.334 -114.5128
32.045465 82.403 -114.9998
32.277680 82.476 -115.4878
32.511577 82.550 -115.9721
32.747169 82.627 -116.4481
32.984469 82.708 -116.9121
33.223488 82.791 -117.3622
33.464239 82.878 -117.7986
33.706735 82.968 -118.2236
33.950987 83.060 -118.6403
34.197010 83.155 -119.0526
34.444816 83.251 -119.4635
34.694417 83.346 -119.8750
34.945827 83.441 -120.2879
35.199059 83.533 -120.7016
35.454126 83.623 -121.1152
35.711041 83.711 -121.5275
35.969818 83.795 -121.9376
36.230470 83.877 -122.3450
36.493011 83.956 -122.7491
36.757455 84.033 -123.1493
37.023814 84.109 -123.5447
37.292104 84.183 -123.9340
37.562338 84.258 -124.3161
37.834530 84.332 -124.6907
38.108695 84.408 -125.0580
38.384846 84.486 -125.4194
38.662999 84.565 -125.7769
38.943167 84.645 -126.1324
39.225365 84.726 -126.4868
39.509608 84.805 -126.8397
39.795911 84.882 -127.1897
40.084289 84.956 -127.5346
40.374756 85.027 -127.8729
40.667328 85.094 -128.2050
40.962020 85.159 -128.5338
41.258848 85.222 -128.8645
41.557827 85.284 -129.2042
41.858972 85.346 -129.5599
42.162299 85.409 -129.9373
42.467824 85.472 -130.3390
42.775564 85.535 -130.7641
43.085533 85.599 -131.2087
43.397749 85.662 -131.6664
43.712227 85.725 -132.1301
44.028983 85.786 -132.5933
44.348036 85.845 -133.0512
44.669400 85.901 -133.5014
44.993093 85.953 -133.9436
45.319131 86.001 -134.3795
45.647532 86.045 -134.8122
45.978313 86.084 -135.2450
46.311491 86.119 -135.6810
46.647083 86.150 -136.1223
46.985107 86.178 -136.5697
47.325581 86.202 -137.0221
47.668521 86.224 -137.4775
48.013947 86.244 -137.9328
48.361876 86.262 -138.3847
48.712326 86.278 -138.8309
49.065315 86.292 -139.2699
49.420863 86.306 -139.7021
49.778987 86.319 -140.1294
50.139706 86.330 -140.5543
50.503039 86.342 -140.9798
50.869005 86.352 -141.4077
51.237623 86.362 -141.8390
51.608912 86.371 -142.2732
51.982891 86.379 -142.7090
52.359580 86.387 -143.1447
52.739000 86.395 -143.5792
53.121168 86.401 -144.0116
53.506106 86.407 -144.4415
53.893833 86.412 -144.8687
54.284370 86.416 -145.2929
54.677737 86.419 -145.7137
55.073955 86.421 -146.1307
55.473043 86.422 -146.5432
55.875024 86.423 -146.9507
56.279917 86.423 -147.3530
56.687745 86.423 -147.7505
57.098527 86.422 -148.1440
57.512287 86.421 -148.5359
57.929045 86.419 -148.9289
58.348822 86.418 -149.3269
58.771642 86.417 -149.7335
59.197525 86.418 -150.1524
59.626495 86.422 -150.5859
60.058573 86.430 -151.0347
60.493782 86.443 -151.4973
60.932145 86.461 -151.9694
61.373685 86.483 -152.4450
61.818424 86.509 -152.9178
62.266386 86.539 -153.3828
62.717593 86.570 -153.8372
63.172071 86.602 -154.2805
63.629842 86.634 -154.7139
64.090930 86.666 -155.1389
64.555359 86.697 -155.5567
65.023154 86.727 -155.9671
65.494339 86.756 -156.3696
65.968938 86.784 -156.7630
66.446976 86.812 -157.1468
66.928478 86.839 -157.5207
67.413469 86.865 -157.8855
67.901975 86.891 -158.2425
68.394021 86.916 -158.5932
68.889632 86.940 -158.9391
69.388835 86.962 -159.2817
69.891655 86.983 -159.6225
70.398118 87.001 -159.9626
70.908252 87.017 -160.3031
71.422083 87.032 -160.6448
71.939636 87.044 -160.9886
72.460941 87.053 -161.3347
72.986023 87.060 -161.6829
73.514909 87.065 -162.0327
74.047629 87.066 -162.3829
74.584208 87.063 -162.7322
75.124676 87.058 -163.0796
75.669061 87.050 -163.4241
76.217390 87.038 -163.7648
76.769692 87.025 -164.1015
77.325997 87.009 -164.4337
77.886333 86.991 -164.7615
78.450730 86.971 -165.0849
79.019216 86.950 -165.4041
79.591822 86.928 -165.7195
80.168577 86.905 -166.0313
80.749512 86.881 -166.3396
81.334656 86.857 -166.6443
81.924040 86.833 -166.9455
82.517696 86.809 -167.2431
83.115653 86.785 -167.5373
83.717943 86.760 -167.8280
84.324598 86.736 -168.1149
84.935649 86.712 -168.3981
85.551128 86.688 -168.6776
86.171066 86.664 -168.9542
86.795497 86.640 -169.2285
87.424453 86.616 -169.5014
88.057967 86.592 -169.7732
88.696071 86.568 -170.0438
89.338800 86.544 -170.3129
89.986185 86.519 -170.5799
90.638262 86.495 -170.8443
91.295065 86.470 -171.1054
91.956626 86.444 -171.3625
92.622982 86.418 -171.6149
93.294166 86.391 -171.8622
93.970214 86.364 -172.1043
94.651161 86.336 -172.3415
95.337042 86.308 -172.5744
96.027894 86.279 -172.8035
96.723752 86.251 -173.0291
97.424652 86.222 -173.2511
98.130631 86.194 -173.4691
98.841726 86.167 -173.6825
99.557974 86.140 -173.8904
100.279412 86.114 -174.0920
101.006078 86.090 -174.2869
101.738010 86.066 -174.4749
102.475245 86.044 -174.6564
103.217823 86.022 -174.8323
103.965782 86.002 -175.0042
104.719161 85.982 -175.1745
105.477999 85.963 -175.3462
106.242336 85.944 -175.5226
107.012212 85.925 -175.7062
107.787666 85.907 -175.8979
108.568740 85.889 -176.0972
109.355474 85.872 -176.3022
110.147909 85.855 -176.5106
110.946086 85.840 -176.7199
111.750047 85.825 -176.9281
112.559834 85.810 -177.1336
113.375489 85.797 -177.3353
114.197055 85.784 -177.5331
115.024574 85.771 -177.7269
115.858089 85.758 -177.9172
116.697645 85.746 -178.1045
117.543284 85.734 -178.2895
118.395051 85.721 -178.4726
119.252990 85.707 -178.6543
120.117147 85.693 -178.8348
120.987565 85.677 -179.0142
121.864291 85.660 -179.1924
122.747370 85.641 -179.3689
123.636848 85.621 -179.5431
124.532771 85.598 -179.7133
125.435187 85.574 -179.8775
126.344142 85.549 179.9664
127.259684 85.522 179.8209
128.181860 85.494 179.6881
129.110718 85.465 179.5701
130.046308 85.435 179.4683
130.988677 85.404 179.3831
131.937875 85.373 179.3139
132.893951 85.341 179.2594
133.856956 85.310 179.2173
134.826938 85.279 179.1847
135.803950 85.247 179.1590
136.788041 85.216 179.1375
137.779264 85.185 179.1179
138.777669 85.154 179.0980
139.783309 85.123 179.0759
140.796237 85.091 179.0505
141.816504 85.059 179.0211
142.844165 85.026 178.9874
143.879273 84.991 178.9501
144.921881 84.956 178.9101
145.972045 84.919 178.8687
147.029819 84.880 178.8270
148.095257 84.841 178.7864
149.168417 84.800 178.7488
150.249353 84.757 178.7161
151.338121 84.714 178.6909
152.434780 84.670 178.6761
153.539385 84.626 178.6746
154.651995 84.581 178.6889
155.772667 84.537 178.7214
156.901460 84.493 178.7740
158.038432 84.449 178.8483
159.183644 84.407 178.9457
160.337154 84.366 179.0670
161.499023 84.326 179.2123
162.669312 84.289 179.3807
163.848081 84.254 179.5699
165.035392 84.222 179.7774
166.231306 84.195 179.9996
167.435887 84.171 -179.7670
168.649196 84.152 -179.5269
169.871298 84.137 -179.2847
171.102255 84.126 -179.0453
172.342133 84.120 -178.8137
173.590995 84.118 -178.5946
174.848907 84.118 -178.3915
176.115934 84.122 -178.2073
177.392143 84.127 -178.0437
178.677599 84.133 -177.9019
179.972371 84.141 -177.7828
181.276525 84.148 -177.6867
182.590129 84.156 -177.6134
183.913252 84.163 -177.5620
185.245964 84.169 -177.5314
186.588332 84.175 -177.5204
187.940428 84.179 -177.5276
189.302322 84.183 -177.5514
190.674085 84.185 -177.5899
192.055788 84.187 -177.6410
193.447503 84.188 -177.7024
194.849303 84.187 -177.7717
196.261262 84.184 -177.8465
197.683452 84.180 -177.9243
199.115948 84.173 -178.0029
200.558824 84.164 -178.0803
202.012156 84.153 -178.1547
203.476019 84.139 -178.2248
204.950490 84.124 -178.2900
206.435646 84.107 -178.3503
207.931564 84.089 -178.4056
209.438322 84.072 -178.4562
210.955998 84.055 -178.5020
212.484672 84.038 -178.5427
214.024424 84.023 -178.5784
215.575333 84.009 -178.6088
217.137481 83.997 -178.6340
218.710948 83.986 -178.6543
220.295818 83.976 -178.6703
221.892172 83.966 -178.6828
223.500094 83.958 -178.6933
225.119668 83.950 -178.7035
226.750978 83.943 -178.7151
228.394109 83.937 -178.7296
230.049147 83.931 -178.7479
231.716178 83.926 -178.7695
233.395289 83.921 -178.7932
235.086567 83.917 -178.8173
236.790102 83.912 -178.8397
238.505980 83.908 -178.8587
240.234293 83.904 -178.8734
241.975130 83.901 -178.8833
243.728581 83.897 -178.8887
245.494739 83.894 -178.8899
247.273695 83.892 -178.8874
249.065542 83.889 -178.8817
250.870374 83.887 -178.8729
252.688284 83.885 -178.8609
254.519367 83.884 -178.8452
256.363720 83.883 -178.8249
258.221437 83.882 -178.7992
260.092616 83.882 -178.7676
261.977354 83.883 -178.7301
263.875750 83.885 -178.6873
265.787903 83.887 -178.6401
267.713911 83.890 -178.5896
269.653877 83.894 -178.5370
271.607900 83.897 -178.4836
273.576083 83.901 -178.4306
275.558528 83.904 -178.3793
277.555338 83.908 -178.3301
279.566619 83.912 -178.2829
281.592474 83.916 -178.2366
283.633009 83.921 -178.1902
285.688331 83.926 -178.1429
287.758546 83.931 -178.0943
289.843763 83.937 -178.0449
291.944090 83.943 -177.9956
294.059638 83.950 -177.9472
296.190515 83.956 -177.9001
298.336833 83.963 -177.8543
300.498705 83.969 -177.8092
302.676243 83.975 -177.7643
304.869559 83.982 -177.7189
307.078770 83.989 -177.6727
309.303989 83.997 -177.6253
311.545334 84.005 -177.5761
313.802919 84.013 -177.5249
316.076865 84.022 -177.4711
318.367288 84.032 -177.4143
320.674309 84.041 -177.3540
322.998047 84.049 -177.2902
325.338624 84.058 -177.2235
327.696162 84.065 -177.1546
330.070783 84.072 -177.0847
332.462612 84.079 -177.0147
334.871773 84.085 -176.9453
337.298392 84.090 -176.8771
