* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 4:45:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 3 (Centered) R2
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 79.919 -95.3446
20.333664 79.952 -95.5359
20.481010 79.996 -95.7918
20.629424 80.051 -96.1042
20.778913 80.114 -96.4644
20.929486 80.187 -96.8633
21.081150 80.267 -97.2922
21.233912 80.354 -97.7435
21.387782 80.448 -98.2109
21.542767 80.547 -98.6894
21.698874 80.652 -99.1757
21.856113 80.762 -99.6677
22.014492 80.874 -100.1642
22.174018 80.989 -100.6646
22.334700 81.104 -101.1681
22.496546 81.217 -101.6732
22.659566 81.326 -102.1776
22.823766 81.430 -102.6775
22.989157 81.527 -103.1681
23.155745 81.615 -103.6438
23.323542 81.695 -104.0988
23.492554 81.765 -104.5276
23.662790 81.828 -104.9264
23.834261 81.882 -105.2934
24.006973 81.930 -105.6296
24.180938 81.973 -105.9389
24.356163 82.012 -106.2279
24.532658 82.049 -106.5051
24.710431 82.085 -106.7800
24.889493 82.119 -107.0616
25.069853 82.152 -107.3573
25.251519 82.184 -107.6720
25.434502 82.213 -108.0071
25.618811 82.241 -108.3609
25.804456 82.265 -108.7288
25.991445 82.287 -109.1045
26.179790 82.307 -109.4813
26.369500 82.325 -109.8530
26.560584 82.343 -110.2152
26.753053 82.361 -110.5664
26.946917 82.381 -110.9075
27.142185 82.403 -111.2424
27.338869 82.428 -111.5765
27.536977 82.457 -111.9162
27.736522 82.489 -112.2674
27.937512 82.522 -112.6349
28.139959 82.558 -113.0216
28.343872 82.595 -113.4283
28.549264 82.631 -113.8539
28.756143 82.668 -114.2959
28.964522 82.705 -114.7512
29.174411 82.742 -115.2165
29.385821 82.780 -115.6890
29.598763 82.818 -116.1666
29.813248 82.857 -116.6481
30.029287 82.898 -117.1328
30.246891 82.941 -117.6202
30.466073 82.986 -118.1100
30.686842 83.034 -118.6012
30.909212 83.084 -119.0927
31.133193 83.137 -119.5825
31.358797 83.193 -120.0682
31.586035 83.253 -120.5472
31.814921 83.316 -121.0165
32.045465 83.383 -121.4735
32.277680 83.454 -121.9153
32.511577 83.529 -122.3399
32.747169 83.607 -122.7456
32.984469 83.690 -123.1319
33.223488 83.776 -123.4991
33.464239 83.865 -123.8493
33.706735 83.957 -124.1859
33.950987 84.051 -124.5143
34.197010 84.147 -124.8408
34.444816 84.244 -125.1730
34.694417 84.342 -125.5185
34.945827 84.439 -125.8841
35.199059 84.536 -126.2750
35.454126 84.631 -126.6940
35.711041 84.724 -127.1410
35.969818 84.814 -127.6128
36.230470 84.902 -128.1042
36.493011 84.987 -128.6080
36.757455 85.070 -129.1166
37.023814 85.151 -129.6230
37.292104 85.231 -130.1212
37.562338 85.309 -130.6072
37.834530 85.386 -131.0787
38.108695 85.461 -131.5350
38.384846 85.534 -131.9765
38.662999 85.605 -132.4044
38.943167 85.674 -132.8201
39.225365 85.741 -133.2256
39.509608 85.806 -133.6230
39.795911 85.869 -134.0147
40.084289 85.931 -134.4035
40.374756 85.992 -134.7923
40.667328 86.052 -135.1835
40.962020 86.112 -135.5791
41.258848 86.171 -135.9804
41.557827 86.230 -136.3876
41.858972 86.287 -136.8002
42.162299 86.342 -137.2174
42.467824 86.396 -137.6381
42.775564 86.449 -138.0617
43.085533 86.501 -138.4876
43.397749 86.551 -138.9155
43.712227 86.602 -139.3451
44.028983 86.651 -139.7758
44.348036 86.700 -140.2068
44.669400 86.749 -140.6369
44.993093 86.797 -141.0648
45.319131 86.843 -141.4896
45.647532 86.888 -141.9113
45.978313 86.930 -142.3307
46.311491 86.970 -142.7503
46.647083 87.007 -143.1733
46.985107 87.040 -143.6038
47.325581 87.071 -144.0457
47.668521 87.098 -144.5021
48.013947 87.123 -144.9747
48.361876 87.145 -145.4633
48.712326 87.165 -145.9659
49.065315 87.185 -146.4787
49.420863 87.203 -146.9971
49.778987 87.220 -147.5160
50.139706 87.237 -148.0308
50.503039 87.254 -148.5380
50.869005 87.270 -149.0355
51.237623 87.285 -149.5224
51.608912 87.299 -149.9987
51.982891 87.310 -150.4648
52.359580 87.319 -150.9216
52.739000 87.324 -151.3695
53.121168 87.326 -151.8098
53.506106 87.325 -152.2441
53.893833 87.321 -152.6752
54.284370 87.315 -153.1062
54.677737 87.307 -153.5405
55.073955 87.298 -153.9809
55.473043 87.288 -154.4295
55.875024 87.277 -154.8874
56.279917 87.267 -155.3547
56.687745 87.256 -155.8308
57.098527 87.245 -156.3143
57.512287 87.236 -156.8030
57.929045 87.227 -157.2933
58.348822 87.221 -157.7800
58.771642 87.216 -158.2564
59.197525 87.216 -158.7157
59.626495 87.219 -159.1526
60.058573 87.228 -159.5656
60.493782 87.241 -159.9568
60.932145 87.259 -160.3322
61.373685 87.281 -160.6990
61.818424 87.305 -161.0638
62.266386 87.330 -161.4316
62.717593 87.355 -161.8053
63.172071 87.380 -162.1864
63.629842 87.406 -162.5748
64.090930 87.431 -162.9699
64.555359 87.456 -163.3699
65.023154 87.481 -163.7727
65.494339 87.506 -164.1759
65.968938 87.531 -164.5773
66.446976 87.555 -164.9755
66.928478 87.578 -165.3700
67.413469 87.599 -165.7612
67.901975 87.619 -166.1502
68.394021 87.637 -166.5386
68.889632 87.654 -166.9277
69.388835 87.669 -167.3177
69.891655 87.684 -167.7082
70.398118 87.696 -168.0977
70.908252 87.708 -168.4849
71.422083 87.719 -168.8685
71.939636 87.728 -169.2478
72.460941 87.736 -169.6224
72.986023 87.742 -169.9918
73.514909 87.746 -170.3557
74.047629 87.748 -170.7137
74.584208 87.747 -171.0656
75.124676 87.742 -171.4122
75.669061 87.734 -171.7543
76.217390 87.723 -172.0933
76.769692 87.709 -172.4303
77.325997 87.691 -172.7664
77.886333 87.671 -173.1020
78.450730 87.649 -173.4371
79.019216 87.625 -173.7717
79.591822 87.599 -174.1057
80.168577 87.573 -174.4388
80.749512 87.546 -174.7711
81.334656 87.518 -175.1021
81.924040 87.490 -175.4314
82.517696 87.461 -175.7583
83.115653 87.432 -176.0818
83.717943 87.403 -176.4008
84.324598 87.374 -176.7144
84.935649 87.344 -177.0217
85.551128 87.314 -177.3224
86.171066 87.284 -177.6164
86.795497 87.254 -177.9039
87.424453 87.224 -178.1854
88.057967 87.194 -178.4617
88.696071 87.164 -178.7339
89.338800 87.134 -179.0029
89.986185 87.104 -179.2695
90.638262 87.074 -179.5340
91.295065 87.044 -179.7962
91.956626 87.015 179.9443
92.622982 86.985 179.6880
93.294166 86.955 179.4350
93.970214 86.926 179.1850
94.651161 86.896 178.9371
95.337042 86.867 178.6906
96.027894 86.838 178.4443
96.723752 86.810 178.1978
97.424652 86.781 177.9506
98.130631 86.753 177.7026
98.841726 86.726 177.4541
99.557974 86.698 177.2053
100.279412 86.672 176.9565
101.006078 86.645 176.7082
101.738010 86.620 176.4606
102.475245 86.595 176.2143
103.217823 86.572 175.9702
103.965782 86.549 175.7295
104.719161 86.527 175.4939
105.477999 86.506 175.2651
106.242336 86.485 175.0443
107.012212 86.465 174.8318
107.787666 86.445 174.6269
108.568740 86.424 174.4278
109.355474 86.405 174.2324
110.147909 86.386 174.0390
110.946086 86.368 173.8461
111.750047 86.350 173.6528
112.559834 86.334 173.4584
113.375489 86.318 173.2625
114.197055 86.302 173.0649
115.024574 86.287 172.8655
115.858089 86.272 172.6649
116.697645 86.258 172.4639
117.543284 86.243 172.2637
118.395051 86.228 172.0656
119.252990 86.214 171.8707
120.117147 86.199 171.6802
120.987565 86.183 171.4948
121.864291 86.168 171.3144
122.747370 86.153 171.1388
123.636848 86.137 170.9672
124.532771 86.121 170.7992
125.435187 86.104 170.6342
126.344142 86.087 170.4724
127.259684 86.070 170.3135
128.181860 86.052 170.1572
129.110718 86.032 170.0026
130.046308 86.011 169.8487
130.988677 85.989 169.6937
131.937875 85.964 169.5363
132.893951 85.937 169.3757
133.856956 85.908 169.2122
134.826938 85.876 169.0467
135.803950 85.842 168.8812
136.788041 85.804 168.7179
137.779264 85.765 168.5593
138.777669 85.722 168.4079
139.783309 85.678 168.2657
140.796237 85.632 168.1348
141.816504 85.583 168.0164
142.844165 85.533 167.9117
143.879273 85.482 167.8210
144.921881 85.430 167.7439
145.972045 85.377 167.6798
147.029819 85.324 167.6276
148.095257 85.270 167.5863
149.168417 85.217 167.5551
150.249353 85.163 167.5334
151.338121 85.110 167.5215
152.434780 85.057 167.5196
153.539385 85.003 167.5283
154.651995 84.950 167.5483
155.772667 84.898 167.5798
156.901460 84.845 167.6234
158.038432 84.793 167.6790
159.183644 84.742 167.7468
160.337154 84.692 167.8261
161.499023 84.643 167.9159
162.669312 84.595 168.0146
163.848081 84.549 168.1205
165.035392 84.506 168.2325
166.231306 84.464 168.3501
167.435887 84.425 168.4733
168.649196 84.389 168.6028
169.871298 84.355 168.7393
171.102255 84.324 168.8831
172.342133 84.296 169.0345
173.590995 84.270 169.1931
174.848907 84.248 169.3580
176.115934 84.228 169.5281
177.392143 84.212 169.7024
178.677599 84.198 169.8795
179.972371 84.187 170.0585
181.276525 84.177 170.2380
182.590129 84.170 170.4164
183.913252 84.164 170.5917
185.245964 84.160 170.7616
186.588332 84.156 170.9232
187.940428 84.153 171.0739
189.302322 84.151 171.2106
190.674085 84.150 171.3307
192.055788 84.149 171.4320
193.447503 84.149 171.5132
194.849303 84.150 171.5742
196.261262 84.150 171.6159
197.683452 84.151 171.6400
199.115948 84.151 171.6483
200.558824 84.151 171.6425
202.012156 84.150 171.6240
203.476019 84.149 171.5940
204.950490 84.147 171.5538
206.435646 84.145 171.5045
207.931564 84.143 171.4468
209.438322 84.141 171.3817
210.955998 84.138 171.3102
212.484672 84.134 171.2340
214.024424 84.131 171.1546
215.575333 84.127 171.0742
217.137481 84.123 170.9945
218.710948 84.120 170.9173
220.295818 84.116 170.8437
221.892172 84.113 170.7742
223.500094 84.110 170.7087
225.119668 84.108 170.6468
226.750978 84.107 170.5876
228.394109 84.105 170.5300
230.049147 84.105 170.4732
231.716178 84.104 170.4161
233.395289 84.103 170.3578
235.086567 84.103 170.2980
236.790102 84.103 170.2365
238.505980 84.103 170.1732
240.234293 84.103 170.1087
241.975130 84.104 170.0433
243.728581 84.105 169.9777
245.494739 84.106 169.9123
247.273695 84.107 169.8470
249.065542 84.107 169.7813
250.870374 84.108 169.7141
252.688284 84.108 169.6439
254.519367 84.107 169.5700
256.363720 84.106 169.4921
258.221437 84.104 169.4113
260.092616 84.103 169.3298
261.977354 84.101 169.2505
263.875750 84.099 169.1770
265.787903 84.097 169.1126
267.713911 84.097 169.0603
269.653877 84.097 169.0215
271.607900 84.099 168.9965
273.576083 84.102 168.9838
275.558528 84.105 168.9812
277.555338 84.109 168.9860
279.566619 84.113 168.9955
281.592474 84.117 169.0070
283.633009 84.121 169.0183
285.688331 84.125 169.0276
287.758546 84.128 169.0336
289.843763 84.132 169.0356
291.944090 84.135 169.0339
294.059638 84.137 169.0290
296.190515 84.140 169.0219
298.336833 84.142 169.0134
300.498705 84.145 169.0043
302.676243 84.148 168.9948
304.869559 84.152 168.9853
307.078770 84.156 168.9756
309.303989 84.161 168.9658
311.545334 84.167 168.9559
313.802919 84.173 168.9457
316.076865 84.180 168.9354
318.367288 84.186 168.9250
320.674309 84.193 168.9146
322.998047 84.200 168.9040
325.338624 84.206 168.8932
327.696162 84.212 168.8820
330.070783 84.218 168.8703
332.462612 84.224 168.8580
334.871773 84.229 168.8452
337.298392 84.234 168.8323
339.742595 84.238 168.8194
342.204510 84.241 168.8068
344.684265 84.243 168.7947
347.181989 84.243 168.7829
349.697813 84.243 168.7712
352.231868 84.241 168.7590
354.784285 84.237 168.7462
357.355198 84.232 168.7325
359.944741 84.226 168.7180
362.553049 84.218 168.7034
365.180258 84.209 168.6896
