* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 4:37:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 3 (Forward) L1
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 80.456 -98.2537
20.333664 80.492 -98.4260
20.481010 80.541 -98.6561
20.629424 80.601 -98.9361
20.778913 80.670 -99.2571
20.929486 80.747 -99.6096
21.081150 80.832 -99.9846
21.233912 80.921 -100.3733
21.387782 81.016 -100.7680
21.542767 81.114 -101.1625
21.698874 81.216 -101.5515
21.856113 81.319 -101.9315
22.014492 81.424 -102.3003
22.174018 81.529 -102.6565
22.334700 81.633 -103.0001
22.496546 81.735 -103.3317
22.659566 81.834 -103.6527
22.823766 81.929 -103.9651
22.989157 82.020 -104.2718
23.155745 82.105 -104.5764
23.323542 82.185 -104.8831
23.492554 82.260 -105.1973
23.662790 82.329 -105.5249
23.834261 82.393 -105.8723
24.006973 82.452 -106.2458
24.180938 82.505 -106.6512
24.356163 82.555 -107.0929
24.532658 82.599 -107.5734
24.710431 82.639 -108.0928
24.889493 82.675 -108.6480
25.069853 82.707 -109.2337
25.251519 82.735 -109.8415
25.434502 82.759 -110.4615
25.618811 82.782 -111.0827
25.804456 82.803 -111.6944
25.991445 82.824 -112.2868
26.179790 82.846 -112.8528
26.369500 82.871 -113.3878
26.560584 82.900 -113.8907
26.753053 82.933 -114.3633
26.946917 82.970 -114.8100
27.142185 83.012 -115.2370
27.338869 83.058 -115.6510
27.536977 83.106 -116.0587
27.736522 83.155 -116.4655
27.937512 83.203 -116.8756
28.139959 83.251 -117.2916
28.343872 83.296 -117.7149
28.549264 83.338 -118.1463
28.756143 83.378 -118.5863
28.964522 83.415 -119.0354
29.174411 83.450 -119.4945
29.385821 83.483 -119.9647
29.598763 83.515 -120.4470
29.813248 83.547 -120.9422
30.029287 83.578 -121.4499
30.246891 83.610 -121.9689
30.466073 83.643 -122.4966
30.686842 83.679 -123.0294
30.909212 83.716 -123.5634
31.133193 83.758 -124.0941
31.358797 83.803 -124.6178
31.586035 83.853 -125.1314
31.814921 83.907 -125.6330
32.045465 83.968 -126.1213
32.277680 84.033 -126.5962
32.511577 84.104 -127.0575
32.747169 84.179 -127.5057
32.984469 84.258 -127.9410
33.223488 84.339 -128.3638
33.464239 84.423 -128.7747
33.706735 84.509 -129.1747
33.950987 84.596 -129.5652
34.197010 84.683 -129.9489
34.444816 84.770 -130.3286
34.694417 84.857 -130.7079
34.945827 84.943 -131.0901
35.199059 85.028 -131.4785
35.454126 85.112 -131.8750
35.711041 85.193 -132.2806
35.969818 85.273 -132.6950
36.230470 85.350 -133.1163
36.493011 85.426 -133.5415
36.757455 85.499 -133.9671
37.023814 85.572 -134.3889
37.292104 85.642 -134.8035
37.562338 85.712 -135.2080
37.834530 85.781 -135.6008
38.108695 85.850 -135.9818
38.384846 85.917 -136.3526
38.662999 85.984 -136.7154
38.943167 86.050 -137.0735
39.225365 86.114 -137.4298
39.509608 86.177 -137.7870
39.795911 86.238 -138.1467
40.084289 86.298 -138.5099
40.374756 86.357 -138.8769
40.667328 86.415 -139.2480
40.962020 86.473 -139.6234
41.258848 86.530 -140.0039
41.557827 86.587 -140.3903
41.858972 86.643 -140.7833
42.162299 86.698 -141.1830
42.467824 86.752 -141.5888
42.775564 86.803 -141.9996
43.085533 86.852 -142.4141
43.397749 86.900 -142.8310
43.712227 86.946 -143.2495
44.028983 86.992 -143.6694
44.348036 87.038 -144.0905
44.669400 87.085 -144.5124
44.993093 87.132 -144.9340
45.319131 87.180 -145.3540
45.647532 87.229 -145.7713
45.978313 87.277 -146.1856
46.311491 87.325 -146.5985
46.647083 87.371 -147.0135
46.985107 87.416 -147.4358
47.325581 87.458 -147.8712
47.668521 87.497 -148.3251
48.013947 87.533 -148.8010
48.361876 87.564 -149.3000
48.712326 87.592 -149.8209
49.065315 87.616 -150.3602
49.420863 87.637 -150.9136
49.778987 87.656 -151.4762
50.139706 87.673 -152.0436
50.503039 87.688 -152.6120
50.869005 87.703 -153.1783
51.237623 87.717 -153.7400
51.608912 87.730 -154.2946
51.982891 87.742 -154.8394
52.359580 87.752 -155.3717
52.739000 87.761 -155.8889
53.121168 87.768 -156.3890
53.506106 87.774 -156.8714
53.893833 87.778 -157.3372
54.284370 87.781 -157.7887
54.677737 87.783 -158.2294
55.073955 87.784 -158.6627
55.473043 87.785 -159.0916
55.875024 87.785 -159.5177
56.279917 87.786 -159.9416
56.687745 87.787 -160.3629
57.098527 87.788 -160.7807
57.512287 87.791 -161.1944
57.929045 87.796 -161.6044
58.348822 87.802 -162.0127
58.771642 87.810 -162.4236
59.197525 87.820 -162.8426
59.626495 87.833 -163.2757
60.058573 87.848 -163.7276
60.493782 87.865 -164.2001
60.932145 87.883 -164.6920
61.373685 87.903 -165.1994
61.818424 87.924 -165.7166
62.266386 87.946 -166.2380
62.717593 87.968 -166.7588
63.172071 87.992 -167.2755
63.629842 88.016 -167.7857
64.090930 88.042 -168.2880
64.555359 88.068 -168.7816
65.023154 88.094 -169.2658
65.494339 88.121 -169.7399
65.968938 88.148 -170.2036
66.446976 88.175 -170.6565
66.928478 88.201 -171.0989
67.413469 88.226 -171.5314
67.901975 88.250 -171.9552
68.394021 88.274 -172.3716
68.889632 88.296 -172.7822
69.388835 88.317 -173.1880
69.891655 88.337 -173.5902
70.398118 88.354 -173.9893
70.908252 88.368 -174.3859
71.422083 88.379 -174.7802
71.939636 88.387 -175.1725
72.460941 88.391 -175.5631
72.986023 88.393 -175.9526
73.514909 88.391 -176.3414
74.047629 88.387 -176.7301
74.584208 88.381 -177.1190
75.124676 88.372 -177.5084
75.669061 88.361 -177.8985
76.217390 88.348 -178.2889
76.769692 88.333 -178.6795
77.325997 88.316 -179.0697
77.886333 88.297 -179.4592
78.450730 88.277 -179.8475
79.019216 88.256 179.7659
79.591822 88.234 179.3817
80.168577 88.212 179.0004
80.749512 88.188 178.6228
81.334656 88.164 178.2497
81.924040 88.140 177.8816
82.517696 88.115 177.5188
83.115653 88.090 177.1613
83.717943 88.065 176.8085
84.324598 88.040 176.4598
84.935649 88.014 176.1139
85.551128 87.989 175.7698
86.171066 87.963 175.4263
86.795497 87.936 175.0826
87.424453 87.910 174.7384
88.057967 87.883 174.3936
88.696071 87.855 174.0489
89.338800 87.828 173.7053
89.986185 87.800 173.3641
90.638262 87.772 173.0269
91.295065 87.744 172.6950
91.956626 87.716 172.3693
92.622982 87.687 172.0504
93.294166 87.659 171.7382
93.970214 87.630 171.4321
94.651161 87.601 171.1312
95.337042 87.572 170.8340
96.027894 87.542 170.5395
96.723752 87.513 170.2463
97.424652 87.484 169.9536
98.130631 87.455 169.6609
98.841726 87.426 169.3682
99.557974 87.398 169.0755
100.279412 87.370 168.7831
101.006078 87.342 168.4913
101.738010 87.315 168.2004
102.475245 87.288 167.9108
103.217823 87.263 167.6229
103.965782 87.238 167.3373
104.719161 87.215 167.0548
105.477999 87.193 166.7761
106.242336 87.174 166.5017
107.012212 87.156 166.2317
107.787666 87.140 165.9652
108.568740 87.125 165.7015
109.355474 87.111 165.4395
110.147909 87.098 165.1788
110.946086 87.085 164.9194
111.750047 87.073 164.6616
112.559834 87.060 164.4063
113.375489 87.048 164.1542
114.197055 87.036 163.9060
115.024574 87.023 163.6622
115.858089 87.010 163.4233
116.697645 86.997 163.1896
117.543284 86.983 162.9614
118.395051 86.968 162.7391
119.252990 86.952 162.5233
120.117147 86.935 162.3143
120.987565 86.917 162.1125
121.864291 86.898 161.9187
122.747370 86.878 161.7336
123.636848 86.857 161.5583
124.532771 86.835 161.3937
125.435187 86.812 161.2409
126.344142 86.790 161.1006
127.259684 86.767 160.9731
128.181860 86.746 160.8581
129.110718 86.725 160.7541
130.046308 86.706 160.6588
130.988677 86.689 160.5687
131.937875 86.673 160.4797
132.893951 86.659 160.3871
133.856956 86.646 160.2859
134.826938 86.634 160.1724
135.803950 86.623 160.0436
136.788041 86.612 159.8986
137.779264 86.600 159.7372
138.777669 86.587 159.5607
139.783309 86.573 159.3705
140.796237 86.556 159.1690
141.816504 86.537 158.9587
142.844165 86.515 158.7422
143.879273 86.491 158.5226
144.921881 86.463 158.3024
145.972045 86.433 158.0844
147.029819 86.401 157.8708
148.095257 86.366 157.6639
149.168417 86.330 157.4657
150.249353 86.292 157.2776
151.338121 86.253 157.1006
152.434780 86.213 156.9355
153.539385 86.172 156.7825
154.651995 86.130 156.6421
155.772667 86.087 156.5146
156.901460 86.044 156.4006
158.038432 86.002 156.3008
159.183644 85.960 156.2159
160.337154 85.920 156.1466
161.499023 85.881 156.0932
162.669312 85.845 156.0554
163.848081 85.811 156.0325
165.035392 85.780 156.0231
166.231306 85.753 156.0250
167.435887 85.729 156.0356
168.649196 85.708 156.0519
169.871298 85.690 156.0709
171.102255 85.676 156.0895
172.342133 85.664 156.1045
173.590995 85.655 156.1129
174.848907 85.649 156.1122
176.115934 85.644 156.0999
177.392143 85.641 156.0742
178.677599 85.640 156.0338
179.972371 85.639 155.9779
181.276525 85.640 155.9062
182.590129 85.640 155.8186
183.913252 85.641 155.7158
185.245964 85.642 155.5987
186.588332 85.642 155.4684
187.940428 85.641 155.3266
189.302322 85.639 155.1748
190.674085 85.636 155.0145
192.055788 85.631 154.8466
193.447503 85.624 154.6721
194.849303 85.616 154.4914
196.261262 85.607 154.3053
197.683452 85.597 154.1151
199.115948 85.586 153.9224
200.558824 85.575 153.7292
202.012156 85.564 153.5371
203.476019 85.552 153.3475
204.950490 85.540 153.1612
206.435646 85.528 152.9788
207.931564 85.515 152.7999
209.438322 85.501 152.6238
210.955998 85.486 152.4488
212.484672 85.471 152.2725
214.024424 85.455 152.0933
215.575333 85.439 151.9102
217.137481 85.423 151.7238
218.710948 85.408 151.5353
220.295818 85.394 151.3466
221.892172 85.381 151.1595
223.500094 85.368 150.9753
225.119668 85.357 150.7950
226.750978 85.346 150.6189
228.394109 85.336 150.4471
230.049147 85.326 150.2795
231.716178 85.317 150.1157
233.395289 85.309 149.9553
235.086567 85.302 149.7979
236.790102 85.296 149.6429
238.505980 85.292 149.4898
240.234293 85.289 149.3383
241.975130 85.287 149.1882
243.728581 85.286 149.0396
245.494739 85.286 148.8932
247.273695 85.287 148.7497
249.065542 85.289 148.6094
250.870374 85.290 148.4724
252.688284 85.292 148.3376
254.519367 85.293 148.2039
256.363720 85.294 148.0691
258.221437 85.295 147.9316
260.092616 85.295 147.7900
261.977354 85.296 147.6437
263.875750 85.298 147.4933
265.787903 85.299 147.3395
267.713911 85.301 147.1838
269.653877 85.304 147.0273
271.607900 85.306 146.8716
273.576083 85.309 146.7180
275.558528 85.311 146.5677
277.555338 85.314 146.4213
279.566619 85.318 146.2789
281.592474 85.321 146.1396
283.633009 85.325 146.0024
285.688331 85.329 145.8660
287.758546 85.333 145.7293
289.843763 85.338 145.5916
291.944090 85.342 145.4523
294.059638 85.347 145.3114
296.190515 85.352 145.1691
298.336833 85.357 145.0260
300.498705 85.363 144.8828
302.676243 85.370 144.7402
304.869559 85.377 144.5986
307.078770 85.384 144.4581
309.303989 85.392 144.3185
311.545334 85.400 144.1790
313.802919 85.408 144.0387
316.076865 85.416 143.8970
318.367288 85.425 143.7532
320.674309 85.433 143.6071
322.998047 85.442 143.4586
325.338624 85.451 143.3079
327.696162 85.459 143.1555
330.070783 85.467 143.0021
332.462612 85.474 142.8486
334.871773 85.481 142.6959
337.298392 85.487 142.5450
339.742595 85.493 142.3965
342.204510 85.498 142.2506
344.684265 85.502 142.1071
347.181989 85.506 141.9653
349.697813 85.509 141.8241
352.231868 85.511 141.6825
354.784285 85.512 141.5393
357.355198 85.512 141.3934
359.944741 85.511 141.2442
362.553049 85.510 141.0911
365.180258 85.508 140.9338
367.826505 85.505 140.7727
