* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2025 4:50:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 3 (Forward) R9
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 80.528 -101.0390
20.333664 80.564 -101.2482
20.481010 80.611 -101.5250
20.629424 80.670 -101.8572
20.778913 80.738 -102.2310
20.929486 80.814 -102.6322
21.081150 80.896 -103.0470
21.233912 80.985 -103.4634
21.387782 81.078 -103.8711
21.542767 81.175 -104.2623
21.698874 81.274 -104.6321
21.856113 81.377 -104.9785
22.014492 81.480 -105.3019
22.174018 81.585 -105.6056
22.334700 81.689 -105.8942
22.496546 81.792 -106.1742
22.659566 81.893 -106.4524
22.823766 81.990 -106.7354
22.989157 82.082 -107.0294
23.155745 82.169 -107.3394
23.323542 82.249 -107.6690
23.492554 82.323 -108.0203
23.662790 82.391 -108.3939
23.834261 82.452 -108.7894
24.006973 82.507 -109.2056
24.180938 82.557 -109.6406
24.356163 82.602 -110.0924
24.532658 82.645 -110.5592
24.710431 82.685 -111.0388
24.889493 82.723 -111.5297
25.069853 82.760 -112.0297
25.251519 82.796 -112.5367
25.434502 82.830 -113.0481
25.618811 82.863 -113.5608
25.804456 82.895 -114.0714
25.991445 82.924 -114.5760
26.179790 82.951 -115.0709
26.369500 82.975 -115.5530
26.560584 82.997 -116.0199
26.753053 83.017 -116.4705
26.946917 83.035 -116.9053
27.142185 83.053 -117.3264
27.338869 83.070 -117.7374
27.536977 83.087 -118.1429
27.736522 83.106 -118.5480
27.937512 83.126 -118.9578
28.139959 83.148 -119.3768
28.343872 83.171 -119.8084
28.549264 83.197 -120.2542
28.756143 83.225 -120.7148
28.964522 83.254 -121.1889
29.174411 83.285 -121.6747
29.385821 83.319 -122.1696
29.598763 83.354 -122.6710
29.813248 83.392 -123.1767
30.029287 83.431 -123.6852
30.246891 83.473 -124.1958
30.466073 83.517 -124.7081
30.686842 83.562 -125.2224
30.909212 83.610 -125.7387
31.133193 83.659 -126.2569
31.358797 83.710 -126.7759
31.586035 83.763 -127.2940
31.814921 83.816 -127.8084
32.045465 83.871 -128.3159
32.277680 83.928 -128.8128
32.511577 83.988 -129.2958
32.747169 84.050 -129.7618
32.984469 84.114 -130.2090
33.223488 84.183 -130.6367
33.464239 84.254 -131.0452
33.706735 84.329 -131.4364
33.950987 84.407 -131.8127
34.197010 84.487 -132.1775
34.444816 84.570 -132.5343
34.694417 84.654 -132.8869
34.945827 84.740 -133.2387
35.199059 84.826 -133.5931
35.454126 84.913 -133.9530
35.711041 85.000 -134.3206
35.969818 85.088 -134.6977
36.230470 85.174 -135.0849
36.493011 85.261 -135.4822
36.757455 85.346 -135.8882
37.023814 85.430 -136.3009
37.292104 85.512 -136.7174
37.562338 85.593 -137.1349
37.834530 85.671 -137.5502
38.108695 85.747 -137.9611
38.384846 85.820 -138.3659
38.662999 85.891 -138.7640
38.943167 85.959 -139.1556
39.225365 86.023 -139.5417
39.509608 86.085 -139.9237
39.795911 86.144 -140.3037
40.084289 86.200 -140.6835
40.374756 86.254 -141.0651
40.667328 86.306 -141.4502
40.962020 86.356 -141.8404
41.258848 86.404 -142.2367
41.557827 86.452 -142.6397
41.858972 86.499 -143.0493
42.162299 86.545 -143.4648
42.467824 86.591 -143.8849
42.775564 86.637 -144.3078
43.085533 86.683 -144.7316
43.397749 86.728 -145.1546
43.712227 86.772 -145.5758
44.028983 86.816 -145.9952
44.348036 86.859 -146.4132
44.669400 86.901 -146.8313
44.993093 86.941 -147.2511
45.319131 86.980 -147.6742
45.647532 87.017 -148.1017
45.978313 87.052 -148.5343
46.311491 87.086 -148.9722
46.647083 87.119 -149.4155
46.985107 87.151 -149.8640
47.325581 87.182 -150.3176
47.668521 87.213 -150.7764
48.013947 87.244 -151.2400
48.361876 87.273 -151.7085
48.712326 87.302 -152.1813
49.065315 87.329 -152.6582
49.420863 87.354 -153.1391
49.778987 87.376 -153.6237
50.139706 87.395 -154.1120
50.503039 87.410 -154.6039
50.869005 87.423 -155.0991
51.237623 87.432 -155.5970
51.608912 87.439 -156.0967
51.982891 87.443 -156.5971
52.359580 87.446 -157.0969
52.739000 87.448 -157.5945
53.121168 87.448 -158.0888
53.506106 87.448 -158.5788
53.893833 87.447 -159.0641
54.284370 87.446 -159.5452
54.677737 87.444 -160.0236
55.073955 87.442 -160.5020
55.473043 87.440 -160.9835
55.875024 87.437 -161.4720
56.279917 87.433 -161.9711
56.687745 87.429 -162.4840
57.098527 87.426 -163.0127
57.512287 87.423 -163.5572
57.929045 87.422 -164.1143
58.348822 87.423 -164.6777
58.771642 87.426 -165.2376
59.197525 87.432 -165.7824
59.626495 87.441 -166.3009
60.058573 87.454 -166.7852
60.493782 87.470 -167.2323
60.932145 87.489 -167.6447
61.373685 87.510 -168.0289
61.818424 87.534 -168.3934
62.266386 87.558 -168.7465
62.717593 87.583 -169.0949
63.172071 87.609 -169.4431
63.629842 87.635 -169.7936
64.090930 87.661 -170.1475
64.555359 87.687 -170.5054
65.023154 87.714 -170.8682
65.494339 87.740 -171.2369
65.968938 87.765 -171.6124
66.446976 87.790 -171.9953
66.928478 87.815 -172.3855
67.413469 87.838 -172.7822
67.901975 87.860 -173.1838
68.394021 87.882 -173.5891
68.889632 87.901 -173.9966
69.388835 87.919 -174.4054
69.891655 87.934 -174.8150
70.398118 87.946 -175.2249
70.908252 87.955 -175.6349
71.422083 87.961 -176.0446
71.939636 87.964 -176.4539
72.460941 87.964 -176.8625
72.986023 87.961 -177.2701
73.514909 87.957 -177.6761
74.047629 87.950 -178.0797
74.584208 87.942 -178.4797
75.124676 87.932 -178.8750
75.669061 87.921 -179.2646
76.217390 87.908 -179.6484
76.769692 87.894 179.9735
77.325997 87.878 179.6005
77.886333 87.861 179.2319
78.450730 87.843 178.8669
79.019216 87.823 178.5048
79.591822 87.801 178.1451
80.168577 87.778 177.7881
80.749512 87.754 177.4340
81.334656 87.728 177.0830
81.924040 87.702 176.7355
82.517696 87.674 176.3915
83.115653 87.646 176.0507
83.717943 87.617 175.7130
84.324598 87.587 175.3783
84.935649 87.557 175.0464
85.551128 87.527 174.7171
86.171066 87.496 174.3903
86.795497 87.466 174.0655
87.424453 87.435 173.7426
88.057967 87.404 173.4214
88.696071 87.373 173.1020
89.338800 87.343 172.7849
89.986185 87.312 172.4703
90.638262 87.281 172.1591
91.295065 87.250 171.8514
91.956626 87.219 171.5477
92.622982 87.189 171.2479
93.294166 87.158 170.9519
93.970214 87.128 170.6591
94.651161 87.098 170.3692
95.337042 87.068 170.0814
96.027894 87.039 169.7952
96.723752 87.009 169.5098
97.424652 86.980 169.2250
98.130631 86.950 168.9402
98.841726 86.921 168.6554
99.557974 86.891 168.3703
100.279412 86.862 168.0849
101.006078 86.834 167.7993
101.738010 86.806 167.5140
102.475245 86.778 167.2294
103.217823 86.752 166.9467
103.965782 86.726 166.6673
104.719161 86.701 166.3929
105.477999 86.678 166.1252
106.242336 86.655 165.8653
107.012212 86.634 165.6135
107.787666 86.614 165.3690
108.568740 86.595 165.1302
109.355474 86.577 164.8953
110.147909 86.560 164.6622
110.946086 86.544 164.4295
111.750047 86.528 164.1958
112.559834 86.513 163.9601
113.375489 86.499 163.7220
114.197055 86.484 163.4815
115.024574 86.470 163.2391
115.858089 86.456 162.9958
116.697645 86.441 162.7526
117.543284 86.426 162.5107
118.395051 86.410 162.2714
119.252990 86.394 162.0354
120.117147 86.376 161.8036
120.987565 86.358 161.5761
121.864291 86.339 161.3532
122.747370 86.319 161.1349
123.636848 86.298 160.9215
124.532771 86.276 160.7136
125.435187 86.252 160.5118
126.344142 86.228 160.3171
127.259684 86.202 160.1303
128.181860 86.175 159.9519
129.110718 86.147 159.7823
130.046308 86.118 159.6212
130.988677 86.089 159.4675
131.937875 86.058 159.3192
132.893951 86.026 159.1741
133.856956 85.993 159.0299
134.826938 85.958 158.8853
135.803950 85.923 158.7397
136.788041 85.886 158.5941
137.779264 85.847 158.4497
138.777669 85.808 158.3081
139.783309 85.767 158.1707
140.796237 85.725 158.0385
141.816504 85.682 157.9119
142.844165 85.638 157.7911
143.879273 85.593 157.6765
144.921881 85.546 157.5685
145.972045 85.499 157.4678
147.029819 85.450 157.3753
148.095257 85.401 157.2917
149.168417 85.352 157.2179
150.249353 85.302 157.1544
151.338121 85.251 157.1021
152.434780 85.201 157.0614
153.539385 85.151 157.0332
154.651995 85.101 157.0181
155.772667 85.052 157.0165
156.901460 85.003 157.0289
158.038432 84.956 157.0557
159.183644 84.909 157.0969
160.337154 84.864 157.1524
161.499023 84.821 157.2216
162.669312 84.780 157.3038
163.848081 84.741 157.3979
165.035392 84.705 157.5027
166.231306 84.671 157.6171
167.435887 84.641 157.7396
168.649196 84.614 157.8688
169.871298 84.590 158.0031
171.102255 84.570 158.1406
172.342133 84.553 158.2798
173.590995 84.540 158.4186
174.848907 84.529 158.5552
176.115934 84.522 158.6877
177.392143 84.516 158.8140
178.677599 84.513 158.9320
179.972371 84.511 159.0395
181.276525 84.511 159.1343
182.590129 84.512 159.2142
183.913252 84.514 159.2778
185.245964 84.518 159.3242
186.588332 84.522 159.3530
187.940428 84.527 159.3648
189.302322 84.533 159.3607
190.674085 84.539 159.3416
192.055788 84.545 159.3091
193.447503 84.550 159.2643
194.849303 84.555 159.2085
196.261262 84.560 159.1426
197.683452 84.563 159.0678
199.115948 84.566 158.9852
200.558824 84.568 158.8959
202.012156 84.569 158.8009
203.476019 84.569 158.7007
204.950490 84.568 158.5950
206.435646 84.566 158.4837
207.931564 84.563 158.3658
209.438322 84.559 158.2408
210.955998 84.554 158.1080
212.484672 84.549 157.9675
214.024424 84.544 157.8195
215.575333 84.539 157.6647
217.137481 84.534 157.5040
218.710948 84.529 157.3383
220.295818 84.524 157.1681
221.892172 84.520 156.9945
223.500094 84.517 156.8186
225.119668 84.513 156.6419
226.750978 84.511 156.4661
228.394109 84.508 156.2930
230.049147 84.507 156.1237
231.716178 84.505 155.9590
233.395289 84.503 155.7990
235.086567 84.501 155.6432
236.790102 84.499 155.4911
238.505980 84.497 155.3422
240.234293 84.495 155.1960
241.975130 84.494 155.0524
243.728581 84.493 154.9112
245.494739 84.492 154.7724
247.273695 84.493 154.6360
249.065542 84.494 154.5021
250.870374 84.495 154.3704
252.688284 84.497 154.2407
254.519367 84.498 154.1125
256.363720 84.499 153.9853
258.221437 84.500 153.8583
260.092616 84.501 153.7314
261.977354 84.500 153.6042
263.875750 84.500 153.4771
265.787903 84.499 153.3504
267.713911 84.498 153.2248
269.653877 84.497 153.1005
271.607900 84.496 152.9774
273.576083 84.496 152.8555
275.558528 84.496 152.7344
277.555338 84.496 152.6137
279.566619 84.497 152.4934
281.592474 84.498 152.3734
283.633009 84.500 152.2537
285.688331 84.501 152.1348
287.758546 84.503 152.0173
289.843763 84.505 151.9017
291.944090 84.507 151.7891
294.059638 84.509 151.6800
296.190515 84.511 151.5753
298.336833 84.513 151.4752
300.498705 84.516 151.3798
302.676243 84.520 151.2888
304.869559 84.523 151.2019
307.078770 84.528 151.1191
309.303989 84.533 151.0400
311.545334 84.539 150.9644
313.802919 84.546 150.8912
316.076865 84.553 150.8194
318.367288 84.560 150.7473
320.674309 84.568 150.6734
322.998047 84.575 150.5965
325.338624 84.583 150.5159
327.696162 84.590 150.4320
330.070783 84.597 150.3457
332.462612 84.604 150.2582
334.871773 84.610 150.1706
337.298392 84.615 150.0836
339.742595 84.619 149.9972
342.204510 84.623 149.9113
344.684265 84.625 149.8256
347.181989 84.625 149.7397
349.697813 84.625 149.6534
352.231868 84.624 149.5668
354.784285 84.621 149.4802
357.355198 84.617 149.3938
359.944741 84.613 149.3083
362.553049 84.607 149.2238
365.180258 84.601 149.1404
367.826505 84.593 149.0574
