* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 10:30:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 3 (Massive Mod) L6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 87.488 -108.5529
20.333664 87.515 -108.6345
20.481010 87.552 -108.7456
20.629424 87.597 -108.8854
20.778913 87.650 -109.0532
20.929486 87.709 -109.2481
21.081150 87.774 -109.4695
21.233912 87.843 -109.7161
21.387782 87.915 -109.9865
21.542767 87.990 -110.2786
21.698874 88.067 -110.5898
21.856113 88.145 -110.9173
22.014492 88.223 -111.2577
22.174018 88.302 -111.6082
22.334700 88.381 -111.9661
22.496546 88.461 -112.3296
22.659566 88.540 -112.6976
22.823766 88.619 -113.0703
22.989157 88.697 -113.4485
23.155745 88.775 -113.8336
23.323542 88.851 -114.2274
23.492554 88.924 -114.6315
23.662790 88.994 -115.0468
23.834261 89.060 -115.4734
24.006973 89.122 -115.9102
24.180938 89.177 -116.3550
24.356163 89.227 -116.8050
24.532658 89.271 -117.2566
24.710431 89.309 -117.7064
24.889493 89.341 -118.1514
25.069853 89.370 -118.5896
25.251519 89.395 -119.0206
25.434502 89.417 -119.4453
25.618811 89.439 -119.8663
25.804456 89.461 -120.2875
25.991445 89.484 -120.7135
26.179790 89.509 -121.1491
26.369500 89.535 -121.5987
26.560584 89.564 -122.0657
26.753053 89.594 -122.5515
26.946917 89.625 -123.0562
27.142185 89.658 -123.5777
27.338869 89.690 -124.1124
27.536977 89.722 -124.6553
27.736522 89.753 -125.2009
27.937512 89.784 -125.7434
28.139959 89.813 -126.2772
28.343872 89.840 -126.7977
28.549264 89.867 -127.3013
28.756143 89.892 -127.7855
28.964522 89.916 -128.2492
29.174411 89.938 -128.6924
29.385821 89.960 -129.1159
29.598763 89.982 -129.5217
29.813248 90.003 -129.9121
30.029287 90.024 -130.2900
30.246891 90.047 -130.6585
30.466073 90.070 -131.0210
30.686842 90.096 -131.3809
30.909212 90.125 -131.7417
31.133193 90.157 -132.1065
31.358797 90.193 -132.4782
31.586035 90.232 -132.8591
31.814921 90.276 -133.2507
32.045465 90.323 -133.6535
32.277680 90.374 -134.0670
32.511577 90.428 -134.4899
32.747169 90.484 -134.9196
32.984469 90.542 -135.3532
33.223488 90.601 -135.7876
33.464239 90.660 -136.2197
33.706735 90.720 -136.6470
33.950987 90.780 -137.0681
34.197010 90.840 -137.4825
34.444816 90.900 -137.8907
34.694417 90.961 -138.2939
34.945827 91.022 -138.6938
35.199059 91.084 -139.0917
35.454126 91.147 -139.4884
35.711041 91.210 -139.8837
35.969818 91.273 -140.2764
36.230470 91.337 -140.6644
36.493011 91.402 -141.0448
36.757455 91.468 -141.4149
37.023814 91.535 -141.7720
37.292104 91.603 -142.1144
37.562338 91.672 -142.4409
37.834530 91.741 -142.7516
38.108695 91.810 -143.0474
38.384846 91.879 -143.3298
38.662999 91.947 -143.6012
38.943167 92.013 -143.8641
39.225365 92.078 -144.1220
39.509608 92.140 -144.3784
39.795911 92.200 -144.6373
40.084289 92.258 -144.9027
40.374756 92.313 -145.1779
40.667328 92.367 -145.4658
40.962020 92.418 -145.7676
41.258848 92.468 -146.0833
41.557827 92.517 -146.4116
41.858972 92.565 -146.7501
42.162299 92.613 -147.0961
42.467824 92.662 -147.4474
42.775564 92.710 -147.8022
43.085533 92.759 -148.1598
43.397749 92.808 -148.5201
43.712227 92.857 -148.8834
44.028983 92.904 -149.2498
44.348036 92.949 -149.6192
44.669400 92.992 -149.9909
44.993093 93.033 -150.3640
45.319131 93.070 -150.7382
45.647532 93.105 -151.1131
45.978313 93.137 -151.4894
46.311491 93.167 -151.8681
46.647083 93.196 -152.2506
46.985107 93.223 -152.6387
47.325581 93.249 -153.0342
47.668521 93.274 -153.4391
48.013947 93.298 -153.8551
48.361876 93.320 -154.2832
48.712326 93.341 -154.7237
49.065315 93.360 -155.1756
49.420863 93.377 -155.6368
49.778987 93.392 -156.1044
50.139706 93.404 -156.5749
50.503039 93.414 -157.0451
50.869005 93.422 -157.5125
51.237623 93.427 -157.9756
51.608912 93.430 -158.4339
51.982891 93.432 -158.8878
52.359580 93.432 -159.3385
52.739000 93.431 -159.7868
53.121168 93.429 -160.2336
53.506106 93.426 -160.6791
53.893833 93.423 -161.1228
54.284370 93.420 -161.5641
54.677737 93.416 -162.0022
55.073955 93.413 -162.4369
55.473043 93.411 -162.8685
55.875024 93.410 -163.2977
56.279917 93.410 -163.7255
56.687745 93.411 -164.1529
57.098527 93.415 -164.5801
57.512287 93.422 -165.0069
57.929045 93.430 -165.4329
58.348822 93.440 -165.8569
58.771642 93.451 -166.2781
59.197525 93.462 -166.6953
59.626495 93.472 -167.1077
60.058573 93.481 -167.5147
60.493782 93.488 -167.9163
60.932145 93.493 -168.3134
61.373685 93.497 -168.7074
61.818424 93.502 -169.0999
62.266386 93.507 -169.4921
62.717593 93.513 -169.8845
63.172071 93.522 -170.2768
63.629842 93.533 -170.6684
64.090930 93.545 -171.0586
64.555359 93.560 -171.4470
65.023154 93.576 -171.8332
65.494339 93.593 -172.2173
65.968938 93.611 -172.5992
66.446976 93.629 -172.9788
66.928478 93.648 -173.3561
67.413469 93.666 -173.7311
67.901975 93.683 -174.1039
68.394021 93.699 -174.4746
68.889632 93.713 -174.8435
69.388835 93.725 -175.2106
69.891655 93.735 -175.5759
70.398118 93.743 -175.9393
70.908252 93.749 -176.3005
71.422083 93.752 -176.6595
71.939636 93.752 -177.0158
72.460941 93.750 -177.3694
72.986023 93.744 -177.7199
73.514909 93.737 -178.0671
74.047629 93.726 -178.4106
74.584208 93.713 -178.7504
75.124676 93.697 -179.0864
75.669061 93.678 -179.4187
76.217390 93.657 -179.7473
76.769692 93.634 179.9278
77.325997 93.609 179.6066
77.886333 93.583 179.2895
78.450730 93.555 178.9763
79.019216 93.526 178.6672
79.591822 93.496 178.3621
80.168577 93.465 178.0608
80.749512 93.434 177.7632
81.334656 93.402 177.4691
81.924040 93.369 177.1782
82.517696 93.336 176.8902
83.115653 93.302 176.6050
83.717943 93.268 176.3221
84.324598 93.234 176.0416
84.935649 93.199 175.7632
85.551128 93.163 175.4869
86.171066 93.128 175.2126
86.795497 93.092 174.9407
87.424453 93.056 174.6712
88.057967 93.021 174.4045
88.696071 92.985 174.1410
89.338800 92.949 173.8810
89.986185 92.912 173.6246
90.638262 92.876 173.3717
91.295065 92.840 173.1223
91.956626 92.804 172.8760
92.622982 92.768 172.6327
93.294166 92.733 172.3926
93.970214 92.697 172.1560
94.651161 92.661 171.9234
95.337042 92.625 171.6953
96.027894 92.590 171.4720
96.723752 92.554 171.2535
97.424652 92.519 171.0398
98.130631 92.484 170.8307
98.841726 92.449 170.6263
99.557974 92.414 170.4262
100.279412 92.380 170.2304
101.006078 92.347 170.0386
101.738010 92.315 169.8506
102.475245 92.283 169.6663
103.217823 92.253 169.4851
103.965782 92.224 169.3065
104.719161 92.197 169.1296
105.477999 92.171 168.9535
106.242336 92.147 168.7772
107.012212 92.123 168.6001
107.787666 92.101 168.4219
108.568740 92.080 168.2428
109.355474 92.059 168.0635
110.147909 92.039 167.8850
110.946086 92.020 167.7086
111.750047 92.001 167.5355
112.559834 91.983 167.3663
113.375489 91.966 167.2011
114.197055 91.948 167.0395
115.024574 91.931 166.8809
115.858089 91.913 166.7244
116.697645 91.896 166.5696
117.543284 91.879 166.4160
118.395051 91.861 166.2632
119.252990 91.844 166.1107
120.117147 91.826 165.9586
120.987565 91.808 165.8068
121.864291 91.790 165.6557
122.747370 91.771 165.5055
123.636848 91.751 165.3565
124.532771 91.731 165.2090
125.435187 91.710 165.0626
126.344142 91.687 164.9172
127.259684 91.663 164.7722
128.181860 91.638 164.6272
129.110718 91.610 164.4821
130.046308 91.582 164.3371
130.988677 91.551 164.1934
131.937875 91.519 164.0521
132.893951 91.485 163.9150
133.856956 91.449 163.7845
134.826938 91.412 163.6627
135.803950 91.374 163.5519
136.788041 91.334 163.4540
137.779264 91.293 163.3701
138.777669 91.251 163.3005
139.783309 91.209 163.2453
140.796237 91.165 163.2036
141.816504 91.122 163.1741
142.844165 91.079 163.1546
143.879273 91.037 163.1425
144.921881 90.994 163.1352
145.972045 90.953 163.1298
147.029819 90.912 163.1242
148.095257 90.871 163.1166
149.168417 90.831 163.1060
150.249353 90.790 163.0918
151.338121 90.749 163.0742
152.434780 90.708 163.0541
153.539385 90.666 163.0330
154.651995 90.623 163.0125
155.772667 90.580 162.9945
156.901460 90.535 162.9810
158.038432 90.491 162.9738
159.183644 90.446 162.9743
160.337154 90.401 162.9843
161.499023 90.356 163.0052
162.669312 90.312 163.0383
163.848081 90.268 163.0848
165.035392 90.226 163.1457
166.231306 90.185 163.2217
167.435887 90.146 163.3132
168.649196 90.109 163.4199
169.871298 90.074 163.5409
171.102255 90.042 163.6745
172.342133 90.013 163.8186
173.590995 89.987 163.9706
174.848907 89.963 164.1277
176.115934 89.942 164.2866
177.392143 89.924 164.4442
178.677599 89.908 164.5975
179.972371 89.894 164.7436
181.276525 89.882 164.8800
182.590129 89.873 165.0044
183.913252 89.864 165.1146
185.245964 89.858 165.2091
186.588332 89.852 165.2865
187.940428 89.846 165.3461
189.302322 89.841 165.3875
190.674085 89.836 165.4109
192.055788 89.831 165.4171
193.447503 89.825 165.4070
194.849303 89.819 165.3824
196.261262 89.813 165.3451
197.683452 89.806 165.2973
199.115948 89.797 165.2416
200.558824 89.788 165.1802
202.012156 89.776 165.1153
203.476019 89.762 165.0483
204.950490 89.747 164.9804
206.435646 89.730 164.9122
207.931564 89.711 164.8438
209.438322 89.691 164.7756
210.955998 89.670 164.7080
212.484672 89.649 164.6418
214.024424 89.628 164.5780
215.575333 89.606 164.5173
217.137481 89.585 164.4606
218.710948 89.564 164.4083
220.295818 89.544 164.3608
221.892172 89.523 164.3179
223.500094 89.504 164.2795
225.119668 89.485 164.2448
226.750978 89.467 164.2134
228.394109 89.451 164.1846
230.049147 89.435 164.1583
231.716178 89.420 164.1343
233.395289 89.406 164.1129
235.086567 89.394 164.0944
236.790102 89.382 164.0790
238.505980 89.371 164.0669
240.234293 89.362 164.0584
241.975130 89.353 164.0536
243.728581 89.344 164.0526
245.494739 89.337 164.0553
247.273695 89.330 164.0615
249.065542 89.323 164.0707
250.870374 89.317 164.0822
252.688284 89.311 164.0952
254.519367 89.306 164.1089
256.363720 89.300 164.1228
258.221437 89.295 164.1364
260.092616 89.290 164.1494
261.977354 89.284 164.1617
263.875750 89.279 164.1739
265.787903 89.274 164.1865
267.713911 89.268 164.2002
269.653877 89.263 164.2159
271.607900 89.259 164.2339
273.576083 89.255 164.2547
275.558528 89.251 164.2784
277.555338 89.248 164.3055
279.566619 89.245 164.3362
281.592474 89.243 164.3701
283.633009 89.242 164.4071
285.688331 89.240 164.4464
287.758546 89.240 164.4873
289.843763 89.240 164.5293
291.944090 89.241 164.5719
294.059638 89.242 164.6149
296.190515 89.245 164.6585
298.336833 89.248 164.7031
300.498705 89.252 164.7493
302.676243 89.257 164.7975
304.869559 89.263 164.8484
307.078770 89.269 164.9022
309.303989 89.276 164.9589
311.545334 89.283 165.0179
313.802919 89.291 165.0788
316.076865 89.299 165.1404
318.367288 89.308 165.2019
320.674309 89.317 165.2622
322.998047 89.327 165.3203
325.338624 89.336 165.3756
327.696162 89.346 165.4275
330.070783 89.355 165.4758
332.462612 89.364 165.5204
334.871773 89.373 165.5615
337.298392 89.381 165.5996
339.742595 89.388 165.6350
342.204510 89.394 165.6683
344.684265 89.399 165.6999
347.181989 89.403 165.7302
349.697813 89.406 165.7596
352.231868 89.407 165.7885
354.784285 89.407 165.8169
357.355198 89.406 165.8450
359.944741 89.404 165.8728
362.553049 89.401 165.9005
365.180258 89.396 165.9280
367.826505 89.391 165.9553
