* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 10:34:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 3 (Massive Mod) R9
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 88.154 -113.2423
20.333664 88.186 -113.3163
20.481010 88.229 -113.4168
20.629424 88.281 -113.5431
20.778913 88.340 -113.6944
20.929486 88.404 -113.8703
21.081150 88.473 -114.0704
21.233912 88.544 -114.2950
21.387782 88.617 -114.5439
21.542767 88.691 -114.8171
21.698874 88.764 -115.1145
21.856113 88.838 -115.4355
22.014492 88.910 -115.7793
22.174018 88.982 -116.1445
22.334700 89.053 -116.5292
22.496546 89.122 -116.9309
22.659566 89.190 -117.3462
22.823766 89.256 -117.7714
22.989157 89.321 -118.2022
23.155745 89.382 -118.6341
23.323542 89.441 -119.0627
23.492554 89.497 -119.4840
23.662790 89.549 -119.8949
23.834261 89.599 -120.2935
24.006973 89.644 -120.6793
24.180938 89.686 -121.0535
24.356163 89.724 -121.4183
24.532658 89.758 -121.7774
24.710431 89.788 -122.1348
24.889493 89.814 -122.4950
25.069853 89.835 -122.8619
25.251519 89.852 -123.2384
25.434502 89.863 -123.6265
25.618811 89.870 -124.0267
25.804456 89.873 -124.4384
25.991445 89.871 -124.8599
26.179790 89.866 -125.2891
26.369500 89.860 -125.7237
26.560584 89.851 -126.1616
26.753053 89.843 -126.6011
26.946917 89.836 -127.0415
27.142185 89.830 -127.4825
27.338869 89.827 -127.9244
27.536977 89.826 -128.3675
27.736522 89.828 -128.8121
27.937512 89.832 -129.2582
28.139959 89.838 -129.7051
28.343872 89.846 -130.1517
28.549264 89.856 -130.5964
28.756143 89.866 -131.0376
28.964522 89.877 -131.4734
29.174411 89.889 -131.9028
29.385821 89.902 -132.3247
29.598763 89.915 -132.7390
29.813248 89.931 -133.1459
30.029287 89.948 -133.5463
30.246891 89.967 -133.9413
30.466073 89.988 -134.3319
30.686842 90.012 -134.7195
30.909212 90.038 -135.1048
31.133193 90.067 -135.4887
31.358797 90.100 -135.8713
31.586035 90.135 -136.2529
31.814921 90.174 -136.6328
32.045465 90.216 -137.0106
32.277680 90.261 -137.3852
32.511577 90.309 -137.7557
32.747169 90.360 -138.1208
32.984469 90.414 -138.4794
33.223488 90.471 -138.8307
33.464239 90.531 -139.1736
33.706735 90.593 -139.5074
33.950987 90.657 -139.8316
34.197010 90.722 -140.1458
34.444816 90.789 -140.4500
34.694417 90.857 -140.7444
34.945827 90.927 -141.0298
35.199059 90.997 -141.3077
35.454126 91.069 -141.5800
35.711041 91.141 -141.8490
35.969818 91.213 -142.1172
36.230470 91.286 -142.3866
36.493011 91.359 -142.6587
36.757455 91.430 -142.9337
37.023814 91.501 -143.2112
37.292104 91.570 -143.4896
37.562338 91.638 -143.7673
37.834530 91.704 -144.0423
38.108695 91.768 -144.3136
38.384846 91.831 -144.5806
38.662999 91.894 -144.8439
38.943167 91.955 -145.1046
39.225365 92.016 -145.3642
39.509608 92.077 -145.6244
39.795911 92.137 -145.8868
40.084289 92.197 -146.1526
40.374756 92.256 -146.4226
40.667328 92.315 -146.6972
40.962020 92.373 -146.9767
41.258848 92.431 -147.2611
41.557827 92.487 -147.5506
41.858972 92.542 -147.8455
42.162299 92.595 -148.1470
42.467824 92.648 -148.4565
42.775564 92.699 -148.7759
43.085533 92.749 -149.1072
43.397749 92.797 -149.4520
43.712227 92.844 -149.8111
44.028983 92.889 -150.1840
44.348036 92.933 -150.5695
44.669400 92.976 -150.9653
44.993093 93.018 -151.3691
45.319131 93.060 -151.7789
45.647532 93.101 -152.1933
45.978313 93.142 -152.6116
46.311491 93.183 -153.0335
46.647083 93.222 -153.4589
46.985107 93.260 -153.8875
47.325581 93.296 -154.3183
47.668521 93.329 -154.7499
48.013947 93.359 -155.1808
48.361876 93.385 -155.6094
48.712326 93.408 -156.0347
49.065315 93.428 -156.4562
49.420863 93.444 -156.8739
49.778987 93.457 -157.2885
50.139706 93.468 -157.7006
50.503039 93.476 -158.1108
50.869005 93.482 -158.5195
51.237623 93.486 -158.9270
51.608912 93.488 -159.3334
51.982891 93.490 -159.7386
52.359580 93.490 -160.1428
52.739000 93.489 -160.5462
53.121168 93.488 -160.9487
53.506106 93.485 -161.3502
53.893833 93.482 -161.7505
54.284370 93.479 -162.1491
54.677737 93.475 -162.5454
55.073955 93.472 -162.9385
55.473043 93.468 -163.3275
55.875024 93.465 -163.7114
56.279917 93.463 -164.0895
56.687745 93.463 -164.4611
57.098527 93.463 -164.8259
57.512287 93.466 -165.1843
57.929045 93.469 -165.5375
58.348822 93.474 -165.8878
58.771642 93.479 -166.2390
59.197525 93.484 -166.5953
59.626495 93.489 -166.9613
60.058573 93.494 -167.3405
60.493782 93.499 -167.7346
60.932145 93.505 -168.1433
61.373685 93.510 -168.5641
61.818424 93.517 -168.9934
62.266386 93.526 -169.4272
62.717593 93.537 -169.8612
63.172071 93.549 -170.2922
63.629842 93.564 -170.7174
64.090930 93.580 -171.1354
64.555359 93.597 -171.5454
65.023154 93.616 -171.9474
65.494339 93.635 -172.3415
65.968938 93.654 -172.7283
66.446976 93.673 -173.1083
66.928478 93.692 -173.4823
67.413469 93.709 -173.8511
67.901975 93.725 -174.2152
68.394021 93.739 -174.5754
68.889632 93.752 -174.9319
69.388835 93.763 -175.2849
69.891655 93.772 -175.6347
70.398118 93.778 -175.9811
70.908252 93.783 -176.3241
71.422083 93.785 -176.6634
71.939636 93.785 -176.9991
72.460941 93.783 -177.3311
72.986023 93.778 -177.6594
73.514909 93.771 -177.9841
74.047629 93.762 -178.3053
74.584208 93.751 -178.6229
75.124676 93.737 -178.9370
75.669061 93.721 -179.2478
76.217390 93.704 -179.5553
76.769692 93.684 -179.8597
77.325997 93.662 179.8386
77.886333 93.639 179.5393
78.450730 93.614 179.2426
79.019216 93.588 178.9482
79.591822 93.561 178.6564
80.168577 93.533 178.3670
80.749512 93.504 178.0801
81.334656 93.475 177.7958
81.924040 93.445 177.5140
82.517696 93.415 177.2349
83.115653 93.385 176.9587
83.717943 93.354 176.6853
84.324598 93.323 176.4146
84.935649 93.292 176.1464
85.551128 93.261 175.8803
86.171066 93.229 175.6162
86.795497 93.197 175.3541
87.424453 93.164 175.0941
88.057967 93.132 174.8366
88.696071 93.099 174.5818
89.338800 93.066 174.3297
89.986185 93.032 174.0803
90.638262 92.999 173.8334
91.295065 92.965 173.5889
91.956626 92.931 173.3470
92.622982 92.897 173.1077
93.294166 92.863 172.8716
93.970214 92.829 172.6392
94.651161 92.794 172.4111
95.337042 92.759 172.1875
96.027894 92.724 171.9685
96.723752 92.689 171.7538
97.424652 92.654 171.5432
98.130631 92.619 171.3360
98.841726 92.584 171.1318
99.557974 92.550 170.9301
100.279412 92.517 170.7304
101.006078 92.485 170.5326
101.738010 92.453 170.3368
102.475245 92.423 170.1433
103.217823 92.394 169.9526
103.965782 92.367 169.7655
104.719161 92.341 169.5825
105.477999 92.316 169.4037
106.242336 92.292 169.2292
107.012212 92.270 169.0588
107.787666 92.248 168.8917
108.568740 92.228 168.7274
109.355474 92.208 168.5654
110.147909 92.190 168.4059
110.946086 92.173 168.2488
111.750047 92.156 168.0945
112.559834 92.141 167.9432
113.375489 92.126 167.7948
114.197055 92.111 167.6490
115.024574 92.097 167.5057
115.858089 92.083 167.3647
116.697645 92.070 167.2260
117.543284 92.056 167.0898
118.395051 92.042 166.9561
119.252990 92.027 166.8245
120.117147 92.013 166.6947
120.987565 91.998 166.5662
121.864291 91.982 166.4382
122.747370 91.966 166.3101
123.636848 91.949 166.1817
124.532771 91.932 166.0529
125.435187 91.913 165.9239
126.344142 91.894 165.7952
127.259684 91.874 165.6673
128.181860 91.852 165.5411
129.110718 91.830 165.4172
130.046308 91.807 165.2962
130.988677 91.783 165.1783
131.937875 91.759 165.0635
132.893951 91.733 164.9518
133.856956 91.707 164.8426
134.826938 91.680 164.7356
135.803950 91.651 164.6305
136.788041 91.622 164.5270
137.779264 91.591 164.4252
138.777669 91.559 164.3251
139.783309 91.526 164.2266
140.796237 91.491 164.1294
141.816504 91.454 164.0336
142.844165 91.417 163.9391
143.879273 91.377 163.8463
144.921881 91.337 163.7557
145.972045 91.295 163.6680
147.029819 91.252 163.5844
148.095257 91.208 163.5057
149.168417 91.163 163.4328
150.249353 91.117 163.3665
151.338121 91.070 163.3073
152.434780 91.023 163.2557
153.539385 90.975 163.2123
154.651995 90.928 163.1777
155.772667 90.880 163.1523
156.901460 90.832 163.1367
158.038432 90.785 163.1313
159.183644 90.739 163.1362
160.337154 90.692 163.1517
161.499023 90.647 163.1780
162.669312 90.602 163.2151
163.848081 90.558 163.2632
165.035392 90.515 163.3226
166.231306 90.472 163.3935
167.435887 90.431 163.4760
168.649196 90.391 163.5702
169.871298 90.352 163.6758
171.102255 90.315 163.7924
172.342133 90.280 163.9191
173.590995 90.247 164.0549
174.848907 90.217 164.1983
176.115934 90.189 164.3476
177.392143 90.164 164.5006
178.677599 90.142 164.6553
179.972371 90.123 164.8094
181.276525 90.105 164.9612
182.590129 90.090 165.1088
183.913252 90.076 165.2509
185.245964 90.064 165.3861
186.588332 90.054 165.5133
187.940428 90.045 165.6315
189.302322 90.038 165.7396
190.674085 90.032 165.8369
192.055788 90.027 165.9228
193.447503 90.022 165.9968
194.849303 90.018 166.0588
196.261262 90.014 166.1089
197.683452 90.009 166.1477
199.115948 90.005 166.1758
200.558824 90.000 166.1942
202.012156 89.995 166.2036
203.476019 89.989 166.2046
204.950490 89.983 166.1973
206.435646 89.977 166.1821
207.931564 89.970 166.1593
209.438322 89.962 166.1297
210.955998 89.954 166.0939
212.484672 89.946 166.0523
214.024424 89.938 166.0051
215.575333 89.930 165.9525
217.137481 89.921 165.8948
218.710948 89.913 165.8328
220.295818 89.905 165.7676
221.892172 89.896 165.7007
223.500094 89.889 165.6338
225.119668 89.882 165.5682
226.750978 89.876 165.5048
228.394109 89.870 165.4440
230.049147 89.866 165.3855
231.716178 89.862 165.3287
233.395289 89.860 165.2730
235.086567 89.858 165.2178
236.790102 89.858 165.1624
238.505980 89.858 165.1068
240.234293 89.858 165.0508
241.975130 89.859 164.9945
243.728581 89.861 164.9381
245.494739 89.862 164.8820
247.273695 89.864 164.8262
249.065542 89.865 164.7712
250.870374 89.865 164.7172
252.688284 89.865 164.6645
254.519367 89.865 164.6133
256.363720 89.864 164.5638
258.221437 89.863 164.5161
260.092616 89.861 164.4702
261.977354 89.858 164.4267
263.875750 89.855 164.3859
265.787903 89.852 164.3481
267.713911 89.849 164.3135
269.653877 89.846 164.2820
271.607900 89.843 164.2532
273.576083 89.841 164.2263
275.558528 89.838 164.2005
277.555338 89.836 164.1750
279.566619 89.833 164.1495
281.592474 89.832 164.1237
283.633009 89.830 164.0980
285.688331 89.829 164.0727
287.758546 89.829 164.0485
289.843763 89.829 164.0259
291.944090 89.830 164.0056
294.059638 89.831 163.9878
296.190515 89.833 163.9725
298.336833 89.837 163.9594
300.498705 89.841 163.9481
302.676243 89.846 163.9377
304.869559 89.851 163.9277
307.078770 89.858 163.9178
309.303989 89.865 163.9077
311.545334 89.872 163.8973
313.802919 89.880 163.8864
316.076865 89.888 163.8749
318.367288 89.896 163.8628
320.674309 89.904 163.8501
322.998047 89.911 163.8366
325.338624 89.919 163.8223
327.696162 89.925 163.8068
330.070783 89.931 163.7897
332.462612 89.935 163.7708
334.871773 89.939 163.7498
337.298392 89.941 163.7269
339.742595 89.942 163.7024
342.204510 89.940 163.6768
344.684265 89.937 163.6512
347.181989 89.932 163.6270
349.697813 89.925 163.6063
352.231868 89.916 163.5912
354.784285 89.905 163.5841
357.355198 89.892 163.5872
359.944741 89.879 163.6020
362.553049 89.865 163.6290
365.180258 89.851 163.6672
367.826505 89.837 163.7144
