* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 11:03:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 3 (Stock) L14
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 82.123 -91.6681
20.333664 82.155 -91.7908
20.481010 82.200 -91.9561
20.629424 82.255 -92.1606
20.778913 82.319 -92.4003
20.929486 82.392 -92.6707
21.081150 82.473 -92.9671
21.233912 82.560 -93.2844
21.387782 82.653 -93.6176
21.542767 82.751 -93.9615
21.698874 82.852 -94.3108
21.856113 82.957 -94.6610
22.014492 83.065 -95.0079
22.174018 83.174 -95.3483
22.334700 83.285 -95.6802
22.496546 83.397 -96.0033
22.659566 83.508 -96.3184
22.823766 83.618 -96.6279
22.989157 83.727 -96.9355
23.155745 83.832 -97.2455
23.323542 83.933 -97.5628
23.492554 84.030 -97.8920
23.662790 84.120 -98.2371
23.834261 84.203 -98.6008
24.006973 84.279 -98.9847
24.180938 84.347 -99.3884
24.356163 84.407 -99.8103
24.532658 84.458 -100.2474
24.710431 84.503 -100.6958
24.889493 84.542 -101.1510
25.069853 84.575 -101.6090
25.251519 84.605 -102.0661
25.434502 84.633 -102.5195
25.618811 84.660 -102.9677
25.804456 84.689 -103.4105
25.991445 84.719 -103.8487
26.179790 84.752 -104.2837
26.369500 84.787 -104.7174
26.560584 84.826 -105.1516
26.753053 84.867 -105.5875
26.946917 84.909 -106.0258
27.142185 84.953 -106.4667
27.338869 84.997 -106.9094
27.536977 85.042 -107.3534
27.736522 85.086 -107.7977
27.937512 85.131 -108.2418
28.139959 85.175 -108.6857
28.343872 85.219 -109.1297
28.549264 85.263 -109.5747
28.756143 85.308 -110.0216
28.964522 85.354 -110.4712
29.174411 85.400 -110.9238
29.385821 85.448 -111.3794
29.598763 85.497 -111.8370
29.813248 85.548 -112.2955
30.029287 85.600 -112.7533
30.246891 85.654 -113.2086
30.466073 85.709 -113.6604
30.686842 85.767 -114.1078
30.909212 85.827 -114.5509
31.133193 85.890 -114.9902
31.358797 85.954 -115.4269
31.586035 86.021 -115.8626
31.814921 86.089 -116.2986
32.045465 86.160 -116.7363
32.277680 86.232 -117.1766
32.511577 86.306 -117.6197
32.747169 86.381 -118.0654
32.984469 86.459 -118.5130
33.223488 86.538 -118.9612
33.464239 86.619 -119.4088
33.706735 86.702 -119.8542
33.950987 86.787 -120.2963
34.197010 86.874 -120.7345
34.444816 86.963 -121.1686
34.694417 87.053 -121.5993
34.945827 87.145 -122.0278
35.199059 87.237 -122.4559
35.454126 87.329 -122.8852
35.711041 87.420 -123.3176
35.969818 87.510 -123.7540
36.230470 87.597 -124.1952
36.493011 87.683 -124.6407
36.757455 87.765 -125.0897
37.023814 87.846 -125.5410
37.292104 87.924 -125.9931
37.562338 88.000 -126.4445
37.834530 88.074 -126.8939
38.108695 88.148 -127.3404
38.384846 88.219 -127.7827
38.662999 88.290 -128.2200
38.943167 88.359 -128.6509
39.225365 88.427 -129.0742
39.509608 88.492 -129.4883
39.795911 88.556 -129.8921
40.084289 88.617 -130.2850
40.374756 88.677 -130.6672
40.667328 88.734 -131.0397
40.962020 88.790 -131.4046
41.258848 88.845 -131.7647
41.557827 88.899 -132.1230
41.858972 88.952 -132.4825
42.162299 89.005 -132.8460
42.467824 89.057 -133.2156
42.775564 89.109 -133.5928
43.085533 89.160 -133.9789
43.397749 89.211 -134.3752
43.712227 89.262 -134.7829
44.028983 89.312 -135.2032
44.348036 89.361 -135.6372
44.669400 89.409 -136.0858
44.993093 89.456 -136.5488
45.319131 89.501 -137.0256
45.647532 89.545 -137.5145
45.978313 89.589 -138.0132
46.311491 89.632 -138.5190
46.647083 89.675 -139.0289
46.985107 89.718 -139.5398
47.325581 89.759 -140.0481
47.668521 89.800 -140.5503
48.013947 89.840 -141.0428
48.361876 89.878 -141.5226
48.712326 89.913 -141.9874
49.065315 89.946 -142.4361
49.420863 89.976 -142.8692
49.778987 90.003 -143.2879
50.139706 90.028 -143.6951
50.503039 90.051 -144.0939
50.869005 90.071 -144.4885
51.237623 90.090 -144.8832
51.608912 90.106 -145.2823
51.982891 90.121 -145.6899
52.359580 90.134 -146.1091
52.739000 90.146 -146.5417
53.121168 90.155 -146.9876
53.506106 90.163 -147.4456
53.893833 90.169 -147.9135
54.284370 90.174 -148.3888
54.677737 90.178 -148.8698
55.073955 90.182 -149.3561
55.473043 90.185 -149.8487
55.875024 90.189 -150.3498
56.279917 90.193 -150.8615
56.687745 90.197 -151.3856
57.098527 90.202 -151.9219
57.512287 90.208 -152.4684
57.929045 90.215 -153.0205
58.348822 90.223 -153.5714
58.771642 90.232 -154.1128
59.197525 90.242 -154.6360
59.626495 90.253 -155.1338
60.058573 90.264 -155.6022
60.493782 90.276 -156.0413
60.932145 90.290 -156.4551
61.373685 90.305 -156.8504
61.818424 90.321 -157.2345
62.266386 90.338 -157.6142
62.717593 90.358 -157.9941
63.172071 90.378 -158.3768
63.629842 90.400 -158.7634
64.090930 90.422 -159.1540
64.555359 90.446 -159.5484
65.023154 90.470 -159.9461
65.494339 90.494 -160.3467
65.968938 90.519 -160.7496
66.446976 90.544 -161.1537
66.928478 90.569 -161.5579
67.413469 90.595 -161.9609
67.901975 90.619 -162.3616
68.394021 90.644 -162.7598
68.889632 90.666 -163.1555
69.388835 90.688 -163.5495
69.891655 90.707 -163.9421
70.398118 90.724 -164.3339
70.908252 90.738 -164.7249
71.422083 90.750 -165.1146
71.939636 90.759 -165.5025
72.460941 90.765 -165.8881
72.986023 90.769 -166.2713
73.514909 90.770 -166.6523
74.047629 90.767 -167.0312
74.584208 90.763 -167.4082
75.124676 90.755 -167.7833
75.669061 90.745 -168.1564
76.217390 90.733 -168.5268
76.769692 90.720 -168.8943
77.325997 90.704 -169.2581
77.886333 90.687 -169.6180
78.450730 90.668 -169.9738
79.019216 90.648 -170.3257
79.591822 90.626 -170.6736
80.168577 90.604 -171.0178
80.749512 90.580 -171.3580
81.334656 90.556 -171.6943
81.924040 90.530 -172.0266
82.517696 90.504 -172.3551
83.115653 90.478 -172.6800
83.717943 90.451 -173.0015
84.324598 90.424 -173.3199
84.935649 90.397 -173.6355
85.551128 90.369 -173.9485
86.171066 90.341 -174.2593
86.795497 90.313 -174.5680
87.424453 90.285 -174.8751
88.057967 90.257 -175.1806
88.696071 90.228 -175.4845
89.338800 90.199 -175.7869
89.986185 90.170 -176.0872
90.638262 90.141 -176.3852
91.295065 90.111 -176.6803
91.956626 90.081 -176.9720
92.622982 90.050 -177.2596
93.294166 90.020 -177.5426
93.970214 89.989 -177.8203
94.651161 89.958 -178.0921
95.337042 89.928 -178.3577
96.027894 89.897 -178.6169
96.723752 89.867 -178.8703
97.424652 89.837 -179.1183
98.130631 89.807 -179.3617
98.841726 89.778 -179.6015
99.557974 89.749 -179.8385
100.279412 89.721 179.9268
101.006078 89.693 179.6937
101.738010 89.666 179.4622
102.475245 89.640 179.2324
103.217823 89.614 179.0051
103.965782 89.590 178.7812
104.719161 89.567 178.5615
105.477999 89.545 178.3468
106.242336 89.525 178.1370
107.012212 89.506 177.9318
107.787666 89.488 177.7301
108.568740 89.471 177.5309
109.355474 89.456 177.3330
110.147909 89.441 177.1360
110.946086 89.428 176.9397
111.750047 89.416 176.7440
112.559834 89.404 176.5491
113.375489 89.393 176.3548
114.197055 89.382 176.1609
115.024574 89.370 175.9673
115.858089 89.358 175.7739
116.697645 89.345 175.5804
117.543284 89.331 175.3871
118.395051 89.317 175.1942
119.252990 89.302 175.0017
120.117147 89.286 174.8104
120.987565 89.269 174.6208
121.864291 89.251 174.4341
122.747370 89.232 174.2514
123.636848 89.213 174.0743
124.532771 89.192 173.9042
125.435187 89.171 173.7424
126.344142 89.148 173.5897
127.259684 89.125 173.4467
128.181860 89.099 173.3134
129.110718 89.073 173.1901
130.046308 89.045 173.0771
130.988677 89.015 172.9745
131.937875 88.984 172.8827
132.893951 88.952 172.8015
133.856956 88.919 172.7307
134.826938 88.885 172.6699
135.803950 88.851 172.6184
136.788041 88.818 172.5747
137.779264 88.785 172.5370
138.777669 88.752 172.5026
139.783309 88.720 172.4691
140.796237 88.689 172.4338
141.816504 88.658 172.3953
142.844165 88.627 172.3524
143.879273 88.596 172.3048
144.921881 88.564 172.2530
145.972045 88.531 172.1981
147.029819 88.497 172.1416
148.095257 88.461 172.0855
149.168417 88.424 172.0322
150.249353 88.385 171.9841
151.338121 88.345 171.9436
152.434780 88.304 171.9131
153.539385 88.262 171.8947
154.651995 88.219 171.8900
155.772667 88.177 171.9001
156.901460 88.134 171.9262
158.038432 88.093 171.9689
159.183644 88.052 172.0289
160.337154 88.013 172.1064
161.499023 87.976 172.2010
162.669312 87.942 172.3118
163.848081 87.912 172.4374
165.035392 87.884 172.5753
166.231306 87.860 172.7224
167.435887 87.840 172.8749
168.649196 87.824 173.0290
169.871298 87.811 173.1804
171.102255 87.802 173.3250
172.342133 87.796 173.4591
173.590995 87.793 173.5793
174.848907 87.793 173.6825
176.115934 87.795 173.7662
177.392143 87.798 173.8289
178.677599 87.803 173.8699
179.972371 87.808 173.8898
181.276525 87.813 173.8893
182.590129 87.818 173.8703
183.913252 87.822 173.8345
185.245964 87.825 173.7840
186.588332 87.826 173.7210
187.940428 87.825 173.6478
189.302322 87.823 173.5664
190.674085 87.819 173.4788
192.055788 87.813 173.3867
193.447503 87.806 173.2921
194.849303 87.797 173.1964
196.261262 87.786 173.1011
197.683452 87.775 173.0066
199.115948 87.762 172.9130
200.558824 87.749 172.8196
202.012156 87.735 172.7255
203.476019 87.721 172.6303
204.950490 87.706 172.5340
206.435646 87.690 172.4374
207.931564 87.674 172.3413
209.438322 87.658 172.2469
210.955998 87.642 172.1553
212.484672 87.626 172.0669
214.024424 87.610 171.9818
215.575333 87.594 171.8994
217.137481 87.579 171.8195
218.710948 87.564 171.7415
220.295818 87.549 171.6656
221.892172 87.536 171.5917
223.500094 87.523 171.5201
225.119668 87.511 171.4514
226.750978 87.500 171.3859
228.394109 87.490 171.3240
230.049147 87.480 171.2661
231.716178 87.472 171.2124
233.395289 87.464 171.1629
235.086567 87.457 171.1179
236.790102 87.451 171.0776
238.505980 87.446 171.0418
240.234293 87.443 171.0101
241.975130 87.440 170.9819
243.728581 87.438 170.9563
245.494739 87.437 170.9326
247.273695 87.436 170.9103
249.065542 87.437 170.8889
250.870374 87.438 170.8682
252.688284 87.439 170.8481
254.519367 87.441 170.8285
256.363720 87.442 170.8096
258.221437 87.444 170.7914
260.092616 87.446 170.7737
261.977354 87.448 170.7565
263.875750 87.449 170.7394
265.787903 87.450 170.7223
267.713911 87.451 170.7052
269.653877 87.451 170.6883
271.607900 87.450 170.6721
273.576083 87.449 170.6566
275.558528 87.448 170.6422
277.555338 87.446 170.6290
279.566619 87.445 170.6170
281.592474 87.445 170.6062
283.633009 87.445 170.5967
285.688331 87.446 170.5886
287.758546 87.447 170.5821
289.843763 87.449 170.5772
291.944090 87.453 170.5738
294.059638 87.457 170.5713
296.190515 87.461 170.5692
298.336833 87.467 170.5670
300.498705 87.473 170.5644
302.676243 87.480 170.5616
304.869559 87.487 170.5587
307.078770 87.495 170.5564
309.303989 87.503 170.5552
311.545334 87.512 170.5558
313.802919 87.522 170.5588
316.076865 87.531 170.5646
318.367288 87.541 170.5734
320.674309 87.551 170.5847
322.998047 87.562 170.5980
325.338624 87.571 170.6127
327.696162 87.581 170.6284
330.070783 87.590 170.6448
332.462612 87.598 170.6620
334.871773 87.606 170.6804
337.298392 87.613 170.6999
339.742595 87.619 170.7206
342.204510 87.624 170.7424
344.684265 87.628 170.7651
347.181989 87.631 170.7886
349.697813 87.633 170.8132
352.231868 87.634 170.8389
354.784285 87.634 170.8658
357.355198 87.633 170.8942
359.944741 87.631 170.9235
362.553049 87.628 170.9536
