* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 1, 2025 11:00:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 3 (Stock) R5
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 81.385 -87.8477
20.333664 81.412 -88.0694
20.481010 81.447 -88.3621
20.629424 81.491 -88.7121
20.778913 81.543 -89.1046
20.929486 81.602 -89.5253
21.081150 81.668 -89.9617
21.233912 81.740 -90.4034
21.387782 81.819 -90.8426
21.542767 81.903 -91.2742
21.698874 81.994 -91.6953
21.856113 82.090 -92.1053
22.014492 82.191 -92.5052
22.174018 82.296 -92.8970
22.334700 82.404 -93.2838
22.496546 82.514 -93.6686
22.659566 82.625 -94.0544
22.823766 82.736 -94.4434
22.989157 82.844 -94.8375
23.155745 82.951 -95.2371
23.323542 83.053 -95.6421
23.492554 83.152 -96.0513
23.662790 83.246 -96.4630
23.834261 83.336 -96.8754
24.006973 83.421 -97.2864
24.180938 83.503 -97.6946
24.356163 83.582 -98.0992
24.532658 83.657 -98.5001
24.710431 83.731 -98.8980
24.889493 83.802 -99.2943
25.069853 83.871 -99.6904
25.251519 83.938 -100.0876
25.434502 84.002 -100.4868
25.618811 84.061 -100.8879
25.804456 84.117 -101.2899
25.991445 84.168 -101.6906
26.179790 84.213 -102.0876
26.369500 84.253 -102.4780
26.560584 84.288 -102.8599
26.753053 84.318 -103.2320
26.946917 84.346 -103.5952
27.142185 84.372 -103.9520
27.338869 84.397 -104.3069
27.536977 84.424 -104.6659
27.736522 84.452 -105.0357
27.937512 84.483 -105.4227
28.139959 84.518 -105.8323
28.343872 84.556 -106.2673
28.549264 84.597 -106.7282
28.756143 84.640 -107.2124
28.964522 84.686 -107.7149
29.174411 84.733 -108.2286
29.385821 84.782 -108.7457
29.598763 84.832 -109.2585
29.813248 84.884 -109.7600
30.029287 84.938 -110.2452
30.246891 84.994 -110.7113
30.466073 85.052 -111.1575
30.686842 85.113 -111.5852
30.909212 85.178 -111.9973
31.133193 85.246 -112.3978
31.358797 85.317 -112.7913
31.586035 85.392 -113.1824
31.814921 85.470 -113.5755
32.045465 85.552 -113.9745
32.277680 85.636 -114.3823
32.511577 85.723 -114.8008
32.747169 85.813 -115.2311
32.984469 85.904 -115.6730
33.223488 85.996 -116.1255
33.464239 86.088 -116.5867
33.706735 86.180 -117.0544
33.950987 86.272 -117.5264
34.197010 86.363 -118.0007
34.444816 86.453 -118.4763
34.694417 86.543 -118.9527
34.945827 86.632 -119.4304
35.199059 86.721 -119.9105
35.454126 86.810 -120.3943
35.711041 86.898 -120.8832
35.969818 86.987 -121.3777
36.230470 87.076 -121.8779
36.493011 87.164 -122.3826
36.757455 87.253 -122.8896
37.023814 87.340 -123.3960
37.292104 87.427 -123.8983
37.562338 87.513 -124.3931
37.834530 87.597 -124.8771
38.108695 87.679 -125.3478
38.384846 87.760 -125.8038
38.662999 87.838 -126.2449
38.943167 87.913 -126.6720
39.225365 87.986 -127.0871
39.509608 88.056 -127.4931
39.795911 88.123 -127.8931
40.084289 88.188 -128.2904
40.374756 88.251 -128.6878
40.667328 88.311 -129.0874
40.962020 88.370 -129.4907
41.258848 88.427 -129.8984
41.557827 88.483 -130.3105
41.858972 88.539 -130.7267
42.162299 88.593 -131.1463
42.467824 88.648 -131.5686
42.775564 88.701 -131.9928
43.085533 88.754 -132.4184
43.397749 88.806 -132.8450
43.712227 88.857 -133.2725
44.028983 88.907 -133.7014
44.348036 88.956 -134.1323
44.669400 89.004 -134.5667
44.993093 89.052 -135.0059
45.319131 89.099 -135.4512
45.647532 89.144 -135.9031
45.978313 89.189 -136.3614
46.311491 89.233 -136.8246
46.647083 89.274 -137.2906
46.985107 89.314 -137.7567
47.325581 89.352 -138.2207
47.668521 89.388 -138.6812
48.013947 89.422 -139.1380
48.361876 89.453 -139.5924
48.712326 89.483 -140.0471
49.065315 89.511 -140.5054
49.420863 89.536 -140.9705
49.778987 89.559 -141.4450
50.139706 89.581 -141.9302
50.503039 89.600 -142.4257
50.869005 89.616 -142.9295
51.237623 89.631 -143.4382
51.608912 89.644 -143.9483
51.982891 89.656 -144.4560
52.359580 89.666 -144.9590
52.739000 89.676 -145.4560
53.121168 89.684 -145.9473
53.506106 89.692 -146.4346
53.893833 89.700 -146.9200
54.284370 89.706 -147.4060
54.677737 89.712 -147.8947
55.073955 89.718 -148.3878
55.473043 89.723 -148.8867
55.875024 89.727 -149.3921
56.279917 89.732 -149.9041
56.687745 89.736 -150.4224
57.098527 89.741 -150.9463
57.512287 89.746 -151.4739
57.929045 89.752 -152.0029
58.348822 89.759 -152.5293
58.771642 89.767 -153.0478
59.197525 89.777 -153.5520
59.626495 89.789 -154.0359
60.058573 89.802 -154.4948
60.493782 89.817 -154.9269
60.932145 89.835 -155.3340
61.373685 89.855 -155.7210
61.818424 89.876 -156.0942
62.266386 89.900 -156.4604
62.717593 89.926 -156.8257
63.172071 89.953 -157.1947
63.629842 89.982 -157.5703
64.090930 90.012 -157.9540
64.555359 90.043 -158.3456
65.023154 90.075 -158.7441
65.494339 90.106 -159.1483
65.968938 90.138 -159.5569
66.446976 90.169 -159.9690
66.928478 90.199 -160.3840
67.413469 90.227 -160.8014
67.901975 90.254 -161.2204
68.394021 90.279 -161.6404
68.889632 90.302 -162.0606
69.388835 90.322 -162.4801
69.891655 90.340 -162.8979
70.398118 90.355 -163.3131
70.908252 90.368 -163.7250
71.422083 90.378 -164.1332
71.939636 90.385 -164.5378
72.460941 90.390 -164.9395
72.986023 90.392 -165.3389
73.514909 90.391 -165.7369
74.047629 90.387 -166.1338
74.584208 90.381 -166.5298
75.124676 90.373 -166.9245
75.669061 90.362 -167.3172
76.217390 90.350 -167.7069
76.769692 90.336 -168.0928
77.325997 90.321 -168.4740
77.886333 90.304 -168.8498
78.450730 90.285 -169.2199
79.019216 90.266 -169.5840
79.591822 90.245 -169.9425
80.168577 90.224 -170.2957
80.749512 90.201 -170.6442
81.334656 90.178 -170.9891
81.924040 90.154 -171.3313
82.517696 90.130 -171.6716
83.115653 90.105 -172.0109
83.717943 90.079 -172.3495
84.324598 90.053 -172.6875
84.935649 90.027 -173.0245
85.551128 90.000 -173.3599
86.171066 89.973 -173.6930
86.795497 89.945 -174.0230
87.424453 89.917 -174.3492
88.057967 89.888 -174.6712
88.696071 89.859 -174.9886
89.338800 89.829 -175.3011
89.986185 89.799 -175.6086
90.638262 89.769 -175.9112
91.295065 89.738 -176.2091
91.956626 89.707 -176.5026
92.622982 89.675 -176.7921
93.294166 89.643 -177.0777
93.970214 89.611 -177.3598
94.651161 89.578 -177.6380
95.337042 89.545 -177.9121
96.027894 89.513 -178.1818
96.723752 89.480 -178.4467
97.424652 89.448 -178.7065
98.130631 89.417 -178.9610
98.841726 89.386 -179.2101
99.557974 89.355 -179.4538
100.279412 89.326 -179.6927
101.006078 89.297 -179.9272
101.738010 89.269 179.8416
102.475245 89.243 179.6132
103.217823 89.217 179.3867
103.965782 89.193 179.1620
104.719161 89.170 178.9390
105.477999 89.148 178.7181
106.242336 89.128 178.4998
107.012212 89.109 178.2842
107.787666 89.090 178.0714
108.568740 89.073 177.8610
109.355474 89.057 177.6528
110.147909 89.042 177.4464
110.946086 89.028 177.2414
111.750047 89.015 177.0375
112.559834 89.002 176.8348
113.375489 88.989 176.6331
114.197055 88.978 176.4328
115.024574 88.966 176.2343
115.858089 88.955 176.0379
116.697645 88.944 175.8444
117.543284 88.933 175.6541
118.395051 88.922 175.4673
119.252990 88.910 175.2840
120.117147 88.898 175.1042
120.987565 88.885 174.9274
121.864291 88.871 174.7533
122.747370 88.856 174.5811
123.636848 88.841 174.4104
124.532771 88.824 174.2404
125.435187 88.807 174.0707
126.344142 88.789 173.9011
127.259684 88.770 173.7318
128.181860 88.749 173.5633
129.110718 88.729 173.3959
130.046308 88.707 173.2303
130.988677 88.685 173.0669
131.937875 88.662 172.9058
132.893951 88.638 172.7467
133.856956 88.614 172.5892
134.826938 88.587 172.4325
135.803950 88.560 172.2763
136.788041 88.531 172.1202
137.779264 88.500 171.9644
138.777669 88.467 171.8093
139.783309 88.433 171.6553
140.796237 88.396 171.5032
141.816504 88.358 171.3542
142.844165 88.317 171.2094
143.879273 88.274 171.0702
144.921881 88.229 170.9382
145.972045 88.182 170.8150
147.029819 88.133 170.7023
148.095257 88.082 170.6015
149.168417 88.030 170.5137
150.249353 87.976 170.4399
151.338121 87.922 170.3804
152.434780 87.867 170.3354
153.539385 87.812 170.3048
154.651995 87.758 170.2885
155.772667 87.704 170.2864
156.901460 87.651 170.2987
158.038432 87.599 170.3257
159.183644 87.548 170.3677
160.337154 87.498 170.4250
161.499023 87.449 170.4975
162.669312 87.402 170.5849
163.848081 87.356 170.6869
165.035392 87.312 170.8029
166.231306 87.270 170.9323
167.435887 87.230 171.0742
168.649196 87.192 171.2277
169.871298 87.157 171.3919
171.102255 87.124 171.5659
172.342133 87.094 171.7487
173.590995 87.068 171.9399
174.848907 87.044 172.1386
176.115934 87.024 172.3436
177.392143 87.007 172.5529
178.677599 86.993 172.7635
179.972371 86.982 172.9720
181.276525 86.973 173.1749
182.590129 86.968 173.3691
183.913252 86.964 173.5524
185.245964 86.962 173.7233
186.588332 86.962 173.8807
187.940428 86.963 174.0240
189.302322 86.965 174.1526
190.674085 86.968 174.2662
192.055788 86.972 174.3645
193.447503 86.977 174.4472
194.849303 86.982 174.5145
196.261262 86.987 174.5670
197.683452 86.993 174.6054
199.115948 86.998 174.6306
200.558824 87.003 174.6427
202.012156 87.008 174.6418
203.476019 87.013 174.6272
204.950490 87.017 174.5983
206.435646 87.021 174.5550
207.931564 87.024 174.4982
209.438322 87.028 174.4295
210.955998 87.030 174.3514
212.484672 87.033 174.2666
214.024424 87.034 174.1776
215.575333 87.035 174.0866
217.137481 87.036 173.9952
218.710948 87.036 173.9042
220.295818 87.036 173.8142
221.892172 87.036 173.7254
223.500094 87.036 173.6380
225.119668 87.035 173.5520
226.750978 87.035 173.4673
228.394109 87.035 173.3836
230.049147 87.036 173.3007
231.716178 87.037 173.2177
233.395289 87.038 173.1344
235.086567 87.040 173.0505
236.790102 87.042 172.9661
238.505980 87.044 172.8816
240.234293 87.047 172.7975
241.975130 87.050 172.7145
243.728581 87.053 172.6330
245.494739 87.057 172.5534
247.273695 87.060 172.4758
249.065542 87.064 172.4003
250.870374 87.067 172.3265
252.688284 87.071 172.2541
254.519367 87.075 172.1829
256.363720 87.079 172.1126
258.221437 87.083 172.0434
260.092616 87.087 171.9753
261.977354 87.091 171.9083
263.875750 87.094 171.8427
265.787903 87.098 171.7784
267.713911 87.101 171.7159
269.653877 87.103 171.6556
271.607900 87.106 171.5987
273.576083 87.108 171.5459
275.558528 87.110 171.4982
277.555338 87.113 171.4559
279.566619 87.115 171.4190
281.592474 87.118 171.3873
283.633009 87.121 171.3599
285.688331 87.124 171.3360
287.758546 87.128 171.3148
289.843763 87.133 171.2953
291.944090 87.138 171.2770
294.059638 87.143 171.2595
296.190515 87.149 171.2422
298.336833 87.156 171.2250
300.498705 87.163 171.2076
302.676243 87.170 171.1900
304.869559 87.178 171.1720
307.078770 87.186 171.1539
309.303989 87.195 171.1360
311.545334 87.204 171.1186
313.802919 87.213 171.1021
316.076865 87.222 171.0868
318.367288 87.232 171.0727
320.674309 87.241 171.0601
322.998047 87.250 171.0488
325.338624 87.259 171.0391
327.696162 87.268 171.0307
330.070783 87.276 171.0238
332.462612 87.283 171.0182
334.871773 87.290 171.0140
337.298392 87.296 171.0109
339.742595 87.302 171.0085
342.204510 87.306 171.0064
344.684265 87.310 171.0042
347.181989 87.313 171.0016
349.697813 87.315 170.9982
352.231868 87.316 170.9939
354.784285 87.317 170.9886
357.355198 87.316 170.9824
359.944741 87.315 170.9756
362.553049 87.313 170.9687
