* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 14, 2025 8:25:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 3 L9
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.785 -24.6791
20.287556 91.803 -24.8851
20.434568 91.826 -25.1610
20.582645 91.851 -25.4998
20.731796 91.875 -25.8939
20.882027 91.896 -26.3366
21.033346 91.911 -26.8219
21.185763 91.920 -27.3449
21.339284 91.922 -27.9017
21.493917 91.916 -28.4890
21.649671 91.904 -29.1037
21.806553 91.885 -29.7428
21.964572 91.860 -30.4031
22.123737 91.832 -31.0809
22.284054 91.802 -31.7722
22.445534 91.771 -32.4726
22.608183 91.741 -33.1775
22.772012 91.713 -33.8826
22.937027 91.690 -34.5836
23.103238 91.673 -35.2770
23.270654 91.663 -35.9600
23.439282 91.662 -36.6306
23.609133 91.671 -37.2879
23.780215 91.692 -37.9318
23.952536 91.725 -38.5629
24.126106 91.771 -39.1827
24.300934 91.829 -39.7930
24.477028 91.900 -40.3957
24.654399 91.981 -40.9932
24.833055 92.072 -41.5874
25.013005 92.171 -42.1806
25.194260 92.277 -42.7748
25.376828 92.386 -43.3718
25.560719 92.498 -43.9736
25.745942 92.610 -44.5820
25.932508 92.722 -45.1987
26.120426 92.830 -45.8252
26.309705 92.935 -46.4626
26.500356 93.036 -47.1115
26.692388 93.130 -47.7719
26.885812 93.219 -48.4430
27.080638 93.302 -49.1232
27.276876 93.379 -49.8104
27.474535 93.452 -50.5019
27.673627 93.521 -51.1950
27.874161 93.588 -51.8869
28.076149 93.656 -52.5755
28.279600 93.727 -53.2593
28.484526 93.806 -53.9373
28.690937 93.893 -54.6096
28.898843 93.993 -55.2768
29.108256 94.107 -55.9399
29.319186 94.236 -56.6001
29.531645 94.381 -57.2583
29.745644 94.540 -57.9153
29.961193 94.711 -58.5713
30.178304 94.891 -59.2265
30.396989 95.075 -59.8805
30.617258 95.260 -60.5334
30.839123 95.441 -61.1851
31.062596 95.612 -61.8359
31.287688 95.769 -62.4863
31.514412 95.908 -63.1369
31.742778 96.025 -63.7883
31.972800 96.117 -64.4405
32.204488 96.183 -65.0934
32.437855 96.220 -65.7464
32.672913 96.228 -66.3984
32.909674 96.209 -67.0485
33.148151 96.163 -67.6956
33.388356 96.093 -68.3392
33.630302 96.003 -68.9791
33.874001 95.895 -69.6156
34.119466 95.774 -70.2491
34.366710 95.644 -70.8800
34.615745 95.509 -71.5085
34.866585 95.374 -72.1342
35.119243 95.242 -72.7567
35.373731 95.119 -73.3752
35.630064 95.007 -73.9893
35.888254 94.909 -74.5988
36.148315 94.830 -75.2043
36.410261 94.770 -75.8068
36.674104 94.733 -76.4079
36.939860 94.719 -77.0090
37.207542 94.728 -77.6114
37.477163 94.761 -78.2160
37.748738 94.818 -78.8230
38.022281 94.898 -79.4320
38.297806 95.000 -80.0426
38.575327 95.124 -80.6539
38.854860 95.269 -81.2657
39.136419 95.433 -81.8778
39.420017 95.616 -82.4906
39.705671 95.816 -83.1047
39.993395 96.032 -83.7210
40.283203 96.263 -84.3405
40.575112 96.507 -84.9640
40.869136 96.763 -85.5924
41.165290 97.028 -86.2263
41.463591 97.302 -86.8663
41.764053 97.581 -87.5128
42.066693 97.864 -88.1659
42.371525 98.148 -88.8260
42.678567 98.432 -89.4928
42.987834 98.712 -90.1662
43.299341 98.986 -90.8458
43.613106 99.252 -91.5311
43.929145 99.507 -92.2214
44.247473 99.750 -92.9161
44.568109 99.979 -93.6147
44.891068 100.192 -94.3170
45.216367 100.389 -95.0230
45.544023 100.569 -95.7331
45.874054 100.731 -96.4476
46.206476 100.875 -97.1666
46.541307 101.002 -97.8901
46.878565 101.111 -98.6178
47.218266 101.202 -99.3492
47.560429 101.278 -100.0837
47.905072 101.338 -100.8209
48.252212 101.383 -101.5603
48.601867 101.416 -102.3018
48.954056 101.437 -103.0451
49.308798 101.449 -103.7904
49.666109 101.452 -104.5375
50.026010 101.449 -105.2862
50.388520 101.441 -106.0366
50.753656 101.430 -106.7884
51.121437 101.418 -107.5415
51.491884 101.407 -108.2957
51.865016 101.396 -109.0508
52.240851 101.388 -109.8066
52.619410 101.382 -110.5628
53.000712 101.379 -111.3192
53.384777 101.380 -112.0758
53.771625 101.382 -112.8325
54.161276 101.387 -113.5896
54.553751 101.392 -114.3471
54.949070 101.398 -115.1052
55.347254 101.403 -115.8637
55.748323 101.406 -116.6224
56.152298 101.407 -117.3809
56.559201 101.404 -118.1387
56.969052 101.398 -118.8953
57.381873 101.388 -119.6505
57.797686 101.374 -120.4040
58.216512 101.357 -121.1556
58.638373 101.336 -121.9053
59.063291 101.312 -122.6530
59.491288 101.285 -123.3989
59.922386 101.255 -124.1430
60.356608 101.223 -124.8853
60.793977 101.189 -125.6263
61.234515 101.154 -126.3661
61.678246 101.117 -127.1053
62.125192 101.079 -127.8442
62.575377 101.041 -128.5830
63.028824 101.002 -129.3217
63.485557 100.964 -130.0600
63.945599 100.926 -130.7976
64.408975 100.889 -131.5338
64.875709 100.854 -132.2681
65.345825 100.821 -132.9998
65.819348 100.790 -133.7281
66.296302 100.761 -134.4522
66.776713 100.734 -135.1714
67.260604 100.710 -135.8852
67.748002 100.688 -136.5931
68.238932 100.667 -137.2949
68.733420 100.649 -137.9904
69.231490 100.631 -138.6798
69.733170 100.615 -139.3631
70.238485 100.600 -140.0405
70.747463 100.585 -140.7122
71.260128 100.572 -141.3786
71.776508 100.560 -142.0398
72.296630 100.548 -142.6962
72.820521 100.536 -143.3479
73.348209 100.525 -143.9951
73.879720 100.515 -144.6376
74.415083 100.504 -145.2751
74.954326 100.493 -145.9075
75.497475 100.481 -146.5342
76.044561 100.468 -147.1549
76.595612 100.454 -147.7693
77.150655 100.438 -148.3769
77.709720 100.420 -148.9774
78.272837 100.399 -149.5706
78.840034 100.375 -150.1563
79.411342 100.348 -150.7346
79.986789 100.316 -151.3055
80.566406 100.281 -151.8693
81.150224 100.241 -152.4261
81.738272 100.198 -152.9763
82.330581 100.152 -153.5200
82.927182 100.104 -154.0574
83.528107 100.055 -154.5886
84.133386 100.006 -155.1138
84.743051 99.961 -155.6326
85.357134 99.921 -156.1451
85.975667 99.889 -156.6507
86.598682 99.870 -157.1494
87.226212 99.867 -157.6411
87.858289 99.882 -158.1258
88.494946 99.920 -158.6036
89.136217 99.981 -159.0749
89.782135 100.066 -159.5400
90.432733 100.175 -159.9994
91.088046 100.306 -160.4536
91.748108 100.455 -160.9029
92.412952 100.618 -161.3477
93.082615 100.789 -161.7881
93.757130 100.963 -162.2238
94.436533 101.135 -162.6547
95.120859 101.300 -163.0805
95.810144 101.453 -163.5010
96.504423 101.591 -163.9159
97.203734 101.713 -164.3249
97.908112 101.817 -164.7277
98.617595 101.904 -165.1243
99.332219 101.975 -165.5147
100.052021 102.030 -165.8989
100.777039 102.073 -166.2772
101.507311 102.105 -166.6502
102.242875 102.129 -167.0184
102.983769 102.146 -167.3822
103.730032 102.157 -167.7419
104.481702 102.163 -168.0977
105.238820 102.164 -168.4496
106.001424 102.160 -168.7975
106.769554 102.150 -169.1410
107.543250 102.131 -169.4800
108.322553 102.104 -169.8143
109.107503 102.064 -170.1438
109.898141 102.013 -170.4689
110.694508 101.948 -170.7901
111.496646 101.870 -171.1081
112.304596 101.778 -171.4235
113.118402 101.675 -171.7367
113.938104 101.561 -172.0478
114.763747 101.439 -172.3568
115.595372 101.311 -172.6634
116.433024 101.179 -172.9672
117.276746 101.046 -173.2679
118.126581 100.912 -173.5655
118.982575 100.779 -173.8596
119.844772 100.649 -174.1505
120.713217 100.522 -174.4380
121.587954 100.397 -174.7223
122.469031 100.274 -175.0034
123.356492 100.152 -175.2815
124.250384 100.029 -175.5564
125.150753 99.905 -175.8283
126.057647 99.777 -176.0972
126.971113 99.645 -176.3630
127.891198 99.507 -176.6257
128.817950 99.362 -176.8850
129.751418 99.210 -177.1406
130.691651 99.051 -177.3921
131.638696 98.886 -177.6389
132.592604 98.717 -177.8805
133.553425 98.545 -178.1158
134.521208 98.372 -178.3436
135.496004 98.203 -178.5629
136.477864 98.041 -178.7721
137.466839 97.888 -178.9701
138.462981 97.749 -179.1559
139.466340 97.626 -179.3290
140.476971 97.521 -179.4894
141.494925 97.435 -179.6373
142.520256 97.369 -179.7738
143.553016 97.320 -179.8999
144.593260 97.285 179.9826
145.641043 97.262 179.8723
146.696418 97.246 179.7675
147.759441 97.234 179.6672
148.830166 97.221 179.5705
149.908651 97.204 179.4771
150.994951 97.182 179.3873
152.089123 97.152 179.3019
153.191223 97.114 179.2223
154.301310 97.069 179.1501
155.419441 97.019 179.0877
156.545674 96.964 179.0373
157.680069 96.906 179.0013
158.822683 96.848 178.9818
159.973578 96.791 178.9807
161.132813 96.736 178.9990
162.300447 96.685 179.0375
163.476543 96.640 179.0960
164.661162 96.600 179.1738
165.854364 96.566 179.2692
167.056213 96.540 179.3801
168.266772 96.521 179.5036
169.486102 96.510 179.6365
170.714268 96.509 179.7750
171.951334 96.516 179.9152
173.197364 96.532 -179.9471
174.452424 96.556 -179.8156
175.716578 96.589 -179.6943
176.989893 96.629 -179.5867
178.272434 96.675 -179.4957
179.564270 96.724 -179.4239
180.865467 96.777 -179.3729
182.176092 96.830 -179.3438
183.496216 96.882 -179.3369
184.825905 96.932 -179.3518
186.165229 96.979 -179.3875
187.514259 97.022 -179.4425
188.873065 97.062 -179.5151
190.241717 97.098 -179.6033
191.620287 97.131 -179.7050
193.008847 97.162 -179.8183
194.407468 97.190 -179.9412
195.816225 97.217 179.9280
197.235190 97.241 179.7908
198.664438 97.264 179.6485
200.104042 97.285 179.5021
201.554078 97.303 179.3524
203.014622 97.319 179.2005
204.485750 97.331 179.0470
205.967538 97.339 178.8928
207.460064 97.344 178.7387
208.963405 97.343 178.5856
210.477640 97.339 178.4343
212.002848 97.330 178.2856
213.539108 97.318 178.1399
215.086500 97.302 177.9977
216.645105 97.284 177.8592
218.215005 97.263 177.7244
219.796281 97.240 177.5930
221.389015 97.214 177.4650
222.993292 97.186 177.3401
224.609193 97.154 177.2184
226.236804 97.118 177.0994
227.876209 97.077 176.9834
229.527494 97.031 176.8701
231.190745 96.980 176.7596
232.866048 96.923 176.6519
234.553491 96.861 176.5469
236.253163 96.794 176.4444
237.965150 96.724 176.3445
239.689544 96.650 176.2469
241.426433 96.575 176.1519
243.175909 96.499 176.0591
244.938062 96.423 175.9687
246.712984 96.348 175.8806
248.500768 96.274 175.7950
250.301507 96.204 175.7120
252.115295 96.137 175.6315
253.942226 96.074 175.5538
255.782396 96.015 175.4785
257.635901 95.962 175.4055
259.502837 95.914 175.3345
261.383301 95.872 175.2651
263.277392 95.836 175.1971
265.185209 95.807 175.1302
267.106850 95.784 175.0643
269.042417 95.767 174.9993
270.992009 95.757 174.9355
272.955729 95.751 174.8729
274.933678 95.751 174.8117
276.925961 95.754 174.7521
278.932681 95.761 174.6941
280.953942 95.770 174.6377
282.989850 95.783 174.5829
285.040511 95.798 174.5295
287.106032 95.815 174.4775
289.186521 95.837 174.4268
291.282086 95.863 174.3774
293.392836 95.893 174.3293
295.518881 95.930 174.2828
297.660333 95.972 174.2380
299.817302 96.020 174.1950
301.989902 96.072 174.1538
304.178245 96.128 174.1146
306.382446 96.187 174.0772
308.602620 96.245 174.0418
310.838882 96.302 174.0082
313.091348 96.356 173.9766
315.360137 96.406 173.9467
317.645367 96.449 173.9185
319.947156 96.484 173.8919
322.265625 96.512 173.8668
324.600895 96.531 173.8430
326.953086 96.540 173.8203
329.322323 96.539 173.7988
331.708729 96.528 173.7783
334.112427 96.506 173.7588
336.533543 96.474 173.7403
338.972204 96.432 173.7228
341.428536 96.381 173.7064
343.902668 96.322 173.6912
346.394729 96.255 173.6772
348.904848 96.183 173.6647
