* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 7, 2025 11:54:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Massive Mod V1 L9
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.233 -46.7061
20.287556 96.235 -46.9915
20.434568 96.238 -47.3691
20.582645 96.242 -47.8224
20.731796 96.249 -48.3343
20.882027 96.258 -48.8884
21.033346 96.270 -49.4706
21.185763 96.286 -50.0697
21.339284 96.305 -50.6779
21.493917 96.329 -51.2903
21.649671 96.358 -51.9049
21.806553 96.391 -52.5218
21.964572 96.429 -53.1424
22.123737 96.469 -53.7691
22.284054 96.513 -54.4042
22.445534 96.558 -55.0495
22.608183 96.604 -55.7060
22.772012 96.650 -56.3739
22.937027 96.695 -57.0521
23.103238 96.738 -57.7385
23.270654 96.780 -58.4306
23.439282 96.820 -59.1253
23.609133 96.858 -59.8196
23.780215 96.895 -60.5111
23.952536 96.931 -61.1979
24.126106 96.967 -61.8792
24.300934 97.005 -62.5550
24.477028 97.043 -63.2266
24.654399 97.083 -63.8959
24.833055 97.126 -64.5654
25.013005 97.171 -65.2376
25.194260 97.218 -65.9147
25.376828 97.267 -66.5982
25.560719 97.318 -67.2889
25.745942 97.371 -67.9862
25.932508 97.424 -68.6888
26.120426 97.478 -69.3942
26.309705 97.532 -70.0998
26.500356 97.586 -70.8026
26.692388 97.641 -71.5000
26.885812 97.697 -72.1900
27.080638 97.753 -72.8717
27.276876 97.811 -73.5451
27.474535 97.869 -74.2111
27.673627 97.929 -74.8715
27.874161 97.988 -75.5282
28.076149 98.047 -76.1832
28.279600 98.106 -76.8381
28.484526 98.163 -77.4939
28.690937 98.218 -78.1507
28.898843 98.271 -78.8086
29.108256 98.322 -79.4670
29.319186 98.371 -80.1256
29.531645 98.419 -80.7845
29.745644 98.465 -81.4441
29.961193 98.510 -82.1052
30.178304 98.555 -82.7687
30.396989 98.600 -83.4351
30.617258 98.644 -84.1040
30.839123 98.687 -84.7741
31.062596 98.730 -85.4432
31.287688 98.772 -86.1082
31.514412 98.812 -86.7659
31.742778 98.852 -87.4139
31.972800 98.892 -88.0507
32.204488 98.932 -88.6768
32.437855 98.974 -89.2941
32.672913 99.018 -89.9059
32.909674 99.064 -90.5160
33.148151 99.113 -91.1281
33.388356 99.166 -91.7445
33.630302 99.220 -92.3655
33.874001 99.278 -92.9899
34.119466 99.337 -93.6145
34.366710 99.397 -94.2355
34.615745 99.459 -94.8490
34.866585 99.521 -95.4521
35.119243 99.583 -96.0433
35.373731 99.644 -96.6226
35.630064 99.704 -97.1911
35.888254 99.760 -97.7506
36.148315 99.813 -98.3030
36.410261 99.860 -98.8495
36.674104 99.903 -99.3910
36.939860 99.940 -99.9276
37.207542 99.972 -100.4596
37.477163 100.000 -100.9874
37.748738 100.024 -101.5119
38.022281 100.046 -102.0347
38.297806 100.066 -102.5579
38.575327 100.086 -103.0837
38.854860 100.104 -103.6145
39.136419 100.123 -104.1524
39.420017 100.142 -104.6993
39.705671 100.162 -105.2571
39.993395 100.183 -105.8275
40.283203 100.204 -106.4116
40.575112 100.226 -107.0104
40.869136 100.249 -107.6237
41.165290 100.274 -108.2506
41.463591 100.299 -108.8893
41.764053 100.326 -109.5369
42.066693 100.355 -110.1904
42.371525 100.384 -110.8472
42.678567 100.415 -111.5049
42.987834 100.447 -112.1625
43.299341 100.479 -112.8197
43.613106 100.513 -113.4772
43.929145 100.547 -114.1367
44.247473 100.581 -114.8003
44.568109 100.615 -115.4704
44.891068 100.649 -116.1497
45.216367 100.684 -116.8407
45.544023 100.719 -117.5453
45.874054 100.754 -118.2646
46.206476 100.790 -118.9982
46.541307 100.826 -119.7447
46.878565 100.862 -120.5014
47.218266 100.898 -121.2650
47.560429 100.934 -122.0322
47.905072 100.971 -122.8000
48.252212 101.008 -123.5664
48.601867 101.045 -124.3296
48.954056 101.083 -125.0887
49.308798 101.120 -125.8428
49.666109 101.157 -126.5910
50.026010 101.193 -127.3327
50.388520 101.227 -128.0673
50.753656 101.260 -128.7943
51.121437 101.291 -129.5138
51.491884 101.320 -130.2261
51.865016 101.346 -130.9322
52.240851 101.370 -131.6331
52.619410 101.392 -132.3302
53.000712 101.411 -133.0250
53.384777 101.427 -133.7188
53.771625 101.440 -134.4119
54.161276 101.451 -135.1042
54.553751 101.458 -135.7947
54.949070 101.461 -136.4814
55.347254 101.461 -137.1621
55.748323 101.458 -137.8346
56.152298 101.452 -138.4971
56.559201 101.442 -139.1483
56.969052 101.431 -139.7881
57.381873 101.417 -140.4176
57.797686 101.403 -141.0392
58.216512 101.388 -141.6562
58.638373 101.374 -142.2732
59.063291 101.361 -142.8945
59.491288 101.352 -143.5242
59.922386 101.346 -144.1651
60.356608 101.344 -144.8178
60.793977 101.346 -145.4805
61.234515 101.350 -146.1498
61.678246 101.356 -146.8212
62.125192 101.363 -147.4904
62.575377 101.369 -148.1541
63.028824 101.373 -148.8101
63.485557 101.374 -149.4574
63.945599 101.373 -150.0961
64.408975 101.368 -150.7265
64.875709 101.361 -151.3493
65.345825 101.350 -151.9652
65.819348 101.338 -152.5748
66.296302 101.322 -153.1785
66.776713 101.305 -153.7767
67.260604 101.287 -154.3699
67.748002 101.267 -154.9583
68.238932 101.246 -155.5419
68.733420 101.224 -156.1209
69.231490 101.202 -156.6951
69.733170 101.179 -157.2645
70.238485 101.156 -157.8291
70.747463 101.132 -158.3890
71.260128 101.107 -158.9443
71.776508 101.082 -159.4951
72.296630 101.056 -160.0412
72.820521 101.030 -160.5822
73.348209 101.004 -161.1176
73.879720 100.977 -161.6472
74.415083 100.951 -162.1707
74.954326 100.925 -162.6882
75.497475 100.898 -163.1999
76.044561 100.872 -163.7064
76.595612 100.845 -164.2081
77.150655 100.819 -164.7054
77.709720 100.792 -165.1983
78.272837 100.764 -165.6865
78.840034 100.736 -166.1697
79.411342 100.708 -166.6473
79.986789 100.678 -167.1189
80.566406 100.648 -167.5841
81.150224 100.617 -168.0423
81.738272 100.585 -168.4930
82.330581 100.553 -168.9360
82.927182 100.519 -169.3714
83.528107 100.486 -169.7994
84.133386 100.452 -170.2210
84.743051 100.418 -170.6372
85.357134 100.384 -171.0490
85.975667 100.350 -171.4569
86.598682 100.316 -171.8613
87.226212 100.284 -172.2621
87.858289 100.251 -172.6590
88.494946 100.220 -173.0515
89.136217 100.190 -173.4390
89.782135 100.161 -173.8210
90.432733 100.133 -174.1970
91.088046 100.106 -174.5666
91.748108 100.079 -174.9300
92.412952 100.053 -175.2875
93.082615 100.027 -175.6395
93.757130 100.001 -175.9866
94.436533 99.973 -176.3292
95.120859 99.945 -176.6676
95.810144 99.914 -177.0023
96.504423 99.883 -177.3334
97.203734 99.849 -177.6612
97.908112 99.814 -177.9855
98.617595 99.776 -178.3060
99.332219 99.737 -178.6223
100.052021 99.696 -178.9342
100.777039 99.654 -179.2421
101.507311 99.612 -179.5465
102.242875 99.569 -179.8481
102.983769 99.527 179.8528
103.730032 99.485 179.5563
104.481702 99.445 179.2628
105.238820 99.405 178.9729
106.001424 99.365 178.6875
106.769554 99.327 178.4070
107.543250 99.290 178.1318
108.322553 99.253 177.8620
109.107503 99.218 177.5973
109.898141 99.183 177.3373
110.694508 99.150 177.0816
111.496646 99.117 176.8294
112.304596 99.084 176.5803
113.118402 99.052 176.3343
113.938104 99.020 176.0912
114.763747 98.987 175.8512
115.595372 98.955 175.6143
116.433024 98.922 175.3799
117.276746 98.888 175.1473
118.126581 98.853 174.9152
118.982575 98.817 174.6822
119.844772 98.780 174.4469
120.713217 98.742 174.2086
121.587954 98.703 173.9673
122.469031 98.663 173.7243
123.356492 98.623 173.4807
124.250384 98.584 173.2379
125.150753 98.544 172.9964
126.057647 98.506 172.7567
126.971113 98.469 172.5189
127.891198 98.432 172.2834
128.817950 98.397 172.0511
129.751418 98.362 171.8232
130.691651 98.328 171.6010
131.638696 98.295 171.3856
132.592604 98.262 171.1782
133.553425 98.228 170.9797
134.521208 98.194 170.7910
135.496004 98.159 170.6129
136.477864 98.123 170.4464
137.466839 98.085 170.2922
138.462981 98.047 170.1511
139.466340 98.008 170.0234
140.476971 97.967 169.9085
141.494925 97.925 169.8050
142.520256 97.881 169.7106
143.553016 97.836 169.6231
144.593260 97.791 169.5400
145.641043 97.744 169.4591
146.696418 97.697 169.3784
147.759441 97.649 169.2966
148.830166 97.601 169.2126
149.908651 97.553 169.1264
150.994951 97.505 169.0385
152.089123 97.457 168.9499
153.191223 97.410 168.8624
154.301310 97.363 168.7782
155.419441 97.317 168.6999
156.545674 97.271 168.6304
157.680069 97.227 168.5728
158.822683 97.184 168.5295
159.973578 97.142 168.5027
161.132813 97.102 168.4941
162.300447 97.063 168.5046
163.476543 97.026 168.5344
164.661162 96.992 168.5825
165.854364 96.959 168.6473
167.056213 96.929 168.7263
168.266772 96.901 168.8159
169.486102 96.875 168.9125
170.714268 96.851 169.0120
171.951334 96.830 169.1107
173.197364 96.811 169.2055
174.452424 96.794 169.2938
175.716578 96.779 169.3732
176.989893 96.765 169.4423
178.272434 96.753 169.4998
179.564270 96.742 169.5453
180.865467 96.731 169.5784
182.176092 96.720 169.5995
183.496216 96.709 169.6090
184.825905 96.697 169.6075
186.165229 96.683 169.5960
187.514259 96.668 169.5753
188.873065 96.650 169.5466
190.241717 96.630 169.5105
191.620287 96.607 169.4677
193.008847 96.581 169.4179
194.407468 96.553 169.3608
195.816225 96.522 169.2957
197.235190 96.488 169.2219
198.664438 96.451 169.1394
200.104042 96.413 169.0487
201.554078 96.373 168.9508
203.014622 96.332 168.8477
204.485750 96.291 168.7412
205.967538 96.249 168.6335
207.460064 96.209 168.5261
208.963405 96.170 168.4203
210.477640 96.133 168.3166
212.002848 96.099 168.2151
213.539108 96.068 168.1158
215.086500 96.040 168.0182
216.645105 96.016 167.9223
218.215005 95.997 167.8279
219.796281 95.981 167.7350
221.389015 95.970 167.6434
222.993292 95.962 167.5532
224.609193 95.959 167.4644
226.236804 95.958 167.3773
227.876209 95.960 167.2922
229.527494 95.965 167.2092
231.190745 95.972 167.1290
232.866048 95.981 167.0517
234.553491 95.990 166.9778
236.253163 96.001 166.9076
237.965150 96.012 166.8410
239.689544 96.024 166.7779
241.426433 96.036 166.7181
243.175909 96.048 166.6614
244.938062 96.059 166.6075
246.712984 96.069 166.5562
248.500768 96.078 166.5076
250.301507 96.086 166.4618
252.115295 96.092 166.4189
253.942226 96.097 166.3793
255.782396 96.101 166.3438
257.635901 96.104 166.3128
259.502837 96.106 166.2865
261.383301 96.107 166.2647
263.277392 96.107 166.2465
265.185209 96.107 166.2306
267.106850 96.106 166.2154
269.042417 96.103 166.1997
270.992009 96.099 166.1825
272.955729 96.094 166.1632
274.933678 96.086 166.1414
276.925961 96.075 166.1178
278.932681 96.060 166.0933
280.953942 96.042 166.0695
282.989850 96.020 166.0474
285.040511 95.993 166.0278
287.106032 95.962 166.0110
289.186521 95.926 165.9965
291.282086 95.885 165.9836
293.392836 95.841 165.9713
295.518881 95.792 165.9592
297.660333 95.740 165.9470
299.817302 95.685 165.9351
301.989902 95.629 165.9240
304.178245 95.571 165.9144
306.382446 95.513 165.9067
308.602620 95.455 165.9012
310.838882 95.398 165.8981
313.091348 95.342 165.8971
315.360137 95.289 165.8980
317.645367 95.238 165.9005
319.947156 95.190 165.9045
322.265625 95.146 165.9100
324.600895 95.106 165.9167
326.953086 95.070 165.9246
329.322323 95.039 165.9332
331.708729 95.013 165.9423
334.112427 94.992 165.9514
336.533543 94.976 165.9603
338.972204 94.966 165.9688
341.428536 94.962 165.9771
343.902668 94.963 165.9853
346.394729 94.968 165.9940
348.904848 94.978 166.0035
351.433156 94.992 166.0141
353.979786 95.008 166.0259
356.544869 95.025 166.0388
359.128540 95.044 166.0527
361.730934 95.063 166.0671
