* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 7, 2025 11:56:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Massive Mod V1 R4
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.998 -26.9598
20.287556 91.002 -27.3093
20.434568 91.008 -27.7727
20.582645 91.015 -28.3305
20.731796 91.024 -28.9610
20.882027 91.036 -29.6417
21.033346 91.052 -30.3515
21.185763 91.072 -31.0717
21.339284 91.099 -31.7870
21.493917 91.133 -32.4867
21.649671 91.176 -33.1648
21.806553 91.230 -33.8199
21.964572 91.294 -34.4546
22.123737 91.369 -35.0750
22.284054 91.453 -35.6887
22.445534 91.546 -36.3039
22.608183 91.645 -36.9279
22.772012 91.749 -37.5659
22.937027 91.853 -38.2207
23.103238 91.957 -38.8921
23.270654 92.059 -39.5775
23.439282 92.156 -40.2722
23.609133 92.249 -40.9709
23.780215 92.336 -41.6680
23.952536 92.418 -42.3590
24.126106 92.495 -43.0409
24.300934 92.569 -43.7129
24.477028 92.640 -44.3759
24.654399 92.710 -45.0328
24.833055 92.779 -45.6874
25.013005 92.849 -46.3437
25.194260 92.918 -47.0055
25.376828 92.990 -47.6756
25.560719 93.063 -48.3554
25.745942 93.138 -49.0451
25.932508 93.217 -49.7432
26.120426 93.299 -50.4477
26.309705 93.385 -51.1556
26.500356 93.476 -51.8637
26.692388 93.572 -52.5685
26.885812 93.672 -53.2662
27.080638 93.776 -53.9530
27.276876 93.882 -54.6245
27.474535 93.991 -55.2762
27.673627 94.099 -55.9035
27.874161 94.206 -56.5023
28.076149 94.309 -57.0696
28.279600 94.408 -57.6043
28.484526 94.502 -58.1077
28.690937 94.590 -58.5841
28.898843 94.671 -59.0410
29.108256 94.745 -59.4880
29.319186 94.811 -59.9366
29.531645 94.870 -60.3987
29.745644 94.921 -60.8848
29.961193 94.964 -61.4035
30.178304 95.000 -61.9597
30.396989 95.029 -62.5548
30.617258 95.054 -63.1867
30.839123 95.075 -63.8501
31.062596 95.095 -64.5381
31.287688 95.117 -65.2431
31.514412 95.142 -65.9578
31.742778 95.175 -66.6766
31.972800 95.216 -67.3961
32.204488 95.268 -68.1147
32.437855 95.332 -68.8331
32.672913 95.407 -69.5529
32.909674 95.493 -70.2762
33.148151 95.589 -71.0048
33.388356 95.693 -71.7395
33.630302 95.802 -72.4800
33.874001 95.917 -73.2248
34.119466 96.033 -73.9716
34.366710 96.151 -74.7178
34.615745 96.268 -75.4610
34.866585 96.384 -76.1996
35.119243 96.497 -76.9326
35.373731 96.606 -77.6600
35.630064 96.711 -78.3824
35.888254 96.810 -79.1007
36.148315 96.904 -79.8160
36.410261 96.991 -80.5290
36.674104 97.072 -81.2408
36.939860 97.146 -81.9522
37.207542 97.213 -82.6642
37.477163 97.275 -83.3780
37.748738 97.331 -84.0948
38.022281 97.382 -84.8155
38.297806 97.429 -85.5410
38.575327 97.473 -86.2718
38.854860 97.513 -87.0085
39.136419 97.551 -87.7520
39.420017 97.587 -88.5037
39.705671 97.623 -89.2658
39.993395 97.657 -90.0409
40.283203 97.692 -90.8315
40.575112 97.725 -91.6396
40.869136 97.758 -92.4662
41.165290 97.789 -93.3106
41.463591 97.819 -94.1710
41.764053 97.848 -95.0449
42.066693 97.875 -95.9299
42.371525 97.901 -96.8239
42.678567 97.927 -97.7255
42.987834 97.953 -98.6340
43.299341 97.979 -99.5491
43.613106 98.007 -100.4705
43.929145 98.036 -101.3971
44.247473 98.066 -102.3273
44.568109 98.097 -103.2583
44.891068 98.129 -104.1865
45.216367 98.162 -105.1076
45.544023 98.196 -106.0170
45.874054 98.230 -106.9104
46.206476 98.265 -107.7847
46.541307 98.302 -108.6384
46.878565 98.339 -109.4717
47.218266 98.378 -110.2870
47.560429 98.418 -111.0879
47.905072 98.459 -111.8789
48.252212 98.499 -112.6646
48.601867 98.538 -113.4491
48.954056 98.576 -114.2358
49.308798 98.611 -115.0273
49.666109 98.645 -115.8254
50.026010 98.676 -116.6311
50.388520 98.705 -117.4441
50.753656 98.731 -118.2633
51.121437 98.756 -119.0863
51.491884 98.780 -119.9102
51.865016 98.801 -120.7319
52.240851 98.821 -121.5489
52.619410 98.840 -122.3596
53.000712 98.857 -123.1637
53.384777 98.873 -123.9619
53.771625 98.887 -124.7554
54.161276 98.899 -125.5449
54.553751 98.908 -126.3305
54.949070 98.915 -127.1113
55.347254 98.918 -127.8858
55.748323 98.918 -128.6523
56.152298 98.916 -129.4090
56.559201 98.911 -130.1548
56.969052 98.904 -130.8894
57.381873 98.896 -131.6127
57.797686 98.887 -132.3258
58.216512 98.878 -133.0301
58.638373 98.870 -133.7283
59.063291 98.863 -134.4235
59.491288 98.857 -135.1192
59.922386 98.851 -135.8187
60.356608 98.845 -136.5238
60.793977 98.839 -137.2352
61.234515 98.832 -137.9516
61.678246 98.825 -138.6709
62.125192 98.817 -139.3898
62.575377 98.807 -140.1052
63.028824 98.797 -140.8143
63.485557 98.785 -141.5147
63.945599 98.771 -142.2054
64.408975 98.756 -142.8862
64.875709 98.739 -143.5576
65.345825 98.719 -144.2207
65.819348 98.699 -144.8767
66.296302 98.677 -145.5266
66.776713 98.654 -146.1709
67.260604 98.631 -146.8098
67.748002 98.607 -147.4435
68.238932 98.582 -148.0719
68.733420 98.558 -148.6951
69.231490 98.533 -149.3132
69.733170 98.508 -149.9261
70.238485 98.482 -150.5340
70.747463 98.455 -151.1364
71.260128 98.428 -151.7332
71.776508 98.401 -152.3239
72.296630 98.373 -152.9085
72.820521 98.346 -153.4869
73.348209 98.318 -154.0594
73.879720 98.291 -154.6263
74.415083 98.263 -155.1881
74.954326 98.236 -155.7451
75.497475 98.208 -156.2975
76.044561 98.180 -156.8451
76.595612 98.151 -157.3871
77.150655 98.123 -157.9229
77.709720 98.093 -158.4516
78.272837 98.063 -158.9725
78.840034 98.032 -159.4850
79.411342 98.001 -159.9887
79.986789 97.969 -160.4831
80.566406 97.936 -160.9680
81.150224 97.902 -161.4430
81.738272 97.867 -161.9081
82.330581 97.830 -162.3635
82.927182 97.794 -162.8096
83.528107 97.756 -163.2470
84.133386 97.718 -163.6764
84.743051 97.681 -164.0983
85.357134 97.643 -164.5132
85.975667 97.607 -164.9215
86.598682 97.572 -165.3237
87.226212 97.537 -165.7204
87.858289 97.504 -166.1123
88.494946 97.473 -166.4998
89.136217 97.443 -166.8830
89.782135 97.414 -167.2619
90.432733 97.387 -167.6362
91.088046 97.361 -168.0057
91.748108 97.337 -168.3700
92.412952 97.313 -168.7287
93.082615 97.290 -169.0814
93.757130 97.267 -169.4276
94.436533 97.245 -169.7669
95.120859 97.222 -170.0995
95.810144 97.198 -170.4261
96.504423 97.173 -170.7478
97.203734 97.148 -171.0659
97.908112 97.120 -171.3816
98.617595 97.090 -171.6957
99.332219 97.059 -172.0086
100.052021 97.025 -172.3203
100.777039 96.989 -172.6306
101.507311 96.952 -172.9390
102.242875 96.914 -173.2447
102.983769 96.875 -173.5475
103.730032 96.836 -173.8472
104.481702 96.798 -174.1441
105.238820 96.760 -174.4390
106.001424 96.724 -174.7325
106.769554 96.689 -175.0254
107.543250 96.656 -175.3184
108.322553 96.625 -175.6120
109.107503 96.595 -175.9062
109.898141 96.566 -176.2004
110.694508 96.539 -176.4937
111.496646 96.512 -176.7847
112.304596 96.485 -177.0717
113.118402 96.458 -177.3531
113.938104 96.432 -177.6277
114.763747 96.405 -177.8951
115.595372 96.378 -178.1553
116.433024 96.350 -178.4096
117.276746 96.320 -178.6598
118.126581 96.290 -178.9082
118.982575 96.258 -179.1572
119.844772 96.225 -179.4086
120.713217 96.191 -179.6634
121.587954 96.157 -179.9217
122.469031 96.123 179.8173
123.356492 96.089 179.5549
124.250384 96.055 179.2927
125.150753 96.021 179.0325
126.057647 95.989 178.7759
126.971113 95.957 178.5245
127.891198 95.927 178.2794
128.817950 95.897 178.0411
129.751418 95.869 177.8099
130.691651 95.841 177.5853
131.638696 95.814 177.3665
132.592604 95.787 177.1522
133.553425 95.761 176.9410
134.521208 95.735 176.7316
135.496004 95.708 176.5231
136.477864 95.680 176.3150
137.466839 95.651 176.1074
138.462981 95.621 175.9005
139.466340 95.588 175.6949
140.476971 95.553 175.4916
141.494925 95.514 175.2923
142.520256 95.473 175.0986
143.553016 95.429 174.9123
144.593260 95.381 174.7346
145.641043 95.331 174.5665
146.696418 95.279 174.4088
147.759441 95.226 174.2621
148.830166 95.172 174.1265
149.908651 95.118 174.0023
150.994951 95.064 173.8893
152.089123 95.012 173.7871
153.191223 94.961 173.6949
154.301310 94.912 173.6114
155.419441 94.864 173.5351
156.545674 94.818 173.4645
157.680069 94.773 173.3986
158.822683 94.728 173.3370
159.973578 94.685 173.2802
161.132813 94.643 173.2292
162.300447 94.601 173.1858
163.476543 94.559 173.1516
164.661162 94.518 173.1287
165.854364 94.477 173.1186
167.056213 94.437 173.1229
168.266772 94.398 173.1429
169.486102 94.359 173.1793
170.714268 94.322 173.2325
171.951334 94.285 173.3022
173.197364 94.251 173.3875
174.452424 94.218 173.4863
175.716578 94.187 173.5964
176.989893 94.157 173.7155
178.272434 94.130 173.8414
179.564270 94.104 173.9726
180.865467 94.080 174.1070
182.176092 94.057 174.2429
183.496216 94.036 174.3781
184.825905 94.016 174.5107
186.165229 93.997 174.6385
187.514259 93.979 174.7597
188.873065 93.961 174.8723
190.241717 93.944 174.9749
191.620287 93.927 175.0659
193.008847 93.910 175.1442
194.407468 93.893 175.2086
195.816225 93.874 175.2583
197.235190 93.855 175.2932
198.664438 93.835 175.3132
200.104042 93.814 175.3186
201.554078 93.791 175.3098
203.014622 93.767 175.2877
204.485750 93.742 175.2529
205.967538 93.717 175.2067
207.460064 93.693 175.1503
208.963405 93.669 175.0850
210.477640 93.647 175.0121
212.002848 93.627 174.9326
213.539108 93.611 174.8473
215.086500 93.598 174.7571
216.645105 93.589 174.6625
218.215005 93.584 174.5639
219.796281 93.584 174.4617
221.389015 93.587 174.3564
222.993292 93.594 174.2485
224.609193 93.605 174.1391
226.236804 93.618 174.0294
227.876209 93.634 173.9203
229.527494 93.651 173.8128
231.190745 93.671 173.7075
232.866048 93.692 173.6045
234.553491 93.714 173.5039
236.253163 93.737 173.4055
237.965150 93.760 173.3092
239.689544 93.784 173.2150
241.426433 93.808 173.1231
243.175909 93.831 173.0337
244.938062 93.854 172.9472
246.712984 93.875 172.8637
248.500768 93.894 172.7833
250.301507 93.912 172.7054
252.115295 93.927 172.6296
253.942226 93.942 172.5550
255.782396 93.954 172.4811
257.635901 93.965 172.4075
259.502837 93.975 172.3337
261.383301 93.983 172.2601
263.277392 93.990 172.1870
265.185209 93.996 172.1150
267.106850 94.000 172.0450
269.042417 94.003 171.9771
270.992009 94.004 171.9113
272.955729 94.004 171.8466
274.933678 94.001 171.7824
276.925961 93.996 171.7186
278.932681 93.987 171.6555
280.953942 93.975 171.5944
282.989850 93.958 171.5359
285.040511 93.937 171.4802
287.106032 93.910 171.4266
289.186521 93.879 171.3734
291.282086 93.842 171.3187
293.392836 93.801 171.2610
295.518881 93.756 171.1998
297.660333 93.708 171.1354
299.817302 93.657 171.0690
301.989902 93.604 171.0020
304.178245 93.550 170.9360
306.382446 93.495 170.8718
308.602620 93.441 170.8102
310.838882 93.387 170.7513
313.091348 93.336 170.6949
315.360137 93.286 170.6406
317.645367 93.238 170.5876
319.947156 93.194 170.5354
322.265625 93.153 170.4831
324.600895 93.116 170.4307
326.953086 93.083 170.3781
329.322323 93.054 170.3257
331.708729 93.030 170.2740
334.112427 93.010 170.2232
336.533543 92.996 170.1734
338.972204 92.986 170.1248
341.428536 92.982 170.0774
343.902668 92.982 170.0314
346.394729 92.986 169.9871
348.904848 92.993 169.9449
351.433156 93.004 169.9055
353.979786 93.017 169.8694
356.544869 93.032 169.8371
