* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 14, 2025 8:27:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Satyr 3 R6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.610 -27.4014
20.287556 90.635 -27.6405
20.434568 90.666 -27.9582
20.582645 90.699 -28.3433
20.731796 90.733 -28.7833
20.882027 90.764 -29.2662
21.033346 90.789 -29.7807
21.185763 90.807 -30.3170
21.339284 90.817 -30.8671
21.493917 90.819 -31.4244
21.649671 90.813 -31.9844
21.806553 90.800 -32.5441
21.964572 90.782 -33.1021
22.123737 90.760 -33.6580
22.284054 90.735 -34.2129
22.445534 90.711 -34.7684
22.608183 90.687 -35.3267
22.772012 90.667 -35.8907
22.937027 90.651 -36.4628
23.103238 90.640 -37.0456
23.270654 90.636 -37.6413
23.439282 90.641 -38.2514
23.609133 90.654 -38.8767
23.780215 90.677 -39.5175
23.952536 90.711 -40.1732
24.126106 90.756 -40.8425
24.300934 90.812 -41.5234
24.477028 90.879 -42.2134
24.654399 90.957 -42.9096
24.833055 91.044 -43.6091
25.013005 91.138 -44.3085
25.194260 91.240 -45.0049
25.376828 91.345 -45.6955
25.560719 91.453 -46.3779
25.745942 91.562 -47.0504
25.932508 91.669 -47.7120
26.120426 91.774 -48.3625
26.309705 91.875 -49.0023
26.500356 91.970 -49.6327
26.692388 92.060 -50.2555
26.885812 92.143 -50.8731
27.080638 92.219 -51.4881
27.276876 92.290 -52.1034
27.474535 92.355 -52.7214
27.673627 92.416 -53.3444
27.874161 92.475 -53.9741
28.076149 92.534 -54.6115
28.279600 92.597 -55.2568
28.484526 92.666 -55.9096
28.690937 92.744 -56.5687
28.898843 92.835 -57.2325
29.108256 92.940 -57.8988
29.319186 93.061 -58.5655
29.531645 93.199 -59.2306
29.745644 93.352 -59.8922
29.961193 93.519 -60.5490
30.178304 93.695 -61.2001
30.396989 93.877 -61.8452
30.617258 94.061 -62.4844
30.839123 94.239 -63.1181
31.062596 94.408 -63.7470
31.287688 94.563 -64.3719
31.514412 94.699 -64.9934
31.742778 94.813 -65.6118
31.972800 94.902 -66.2273
32.204488 94.964 -66.8399
32.437855 94.998 -67.4493
32.672913 95.004 -68.0549
32.909674 94.983 -68.6563
33.148151 94.938 -69.2528
33.388356 94.869 -69.8438
33.630302 94.781 -70.4289
33.874001 94.677 -71.0077
34.119466 94.561 -71.5800
34.366710 94.437 -72.1462
34.615745 94.308 -72.7068
34.866585 94.180 -73.2630
35.119243 94.056 -73.8165
35.373731 93.941 -74.3694
35.630064 93.838 -74.9242
35.888254 93.749 -75.4833
36.148315 93.679 -76.0492
36.410261 93.629 -76.6236
36.674104 93.602 -77.2077
36.939860 93.598 -77.8020
37.207542 93.618 -78.4062
37.477163 93.663 -79.0196
37.748738 93.731 -79.6410
38.022281 93.823 -80.2692
38.297806 93.937 -80.9032
38.575327 94.072 -81.5421
38.854860 94.228 -82.1857
39.136419 94.401 -82.8342
39.420017 94.592 -83.4879
39.705671 94.798 -84.1475
39.993395 95.019 -84.8136
40.283203 95.253 -85.4866
40.575112 95.498 -86.1666
40.869136 95.754 -86.8532
41.165290 96.019 -87.5458
41.463591 96.291 -88.2434
41.764053 96.568 -88.9449
42.066693 96.849 -89.6496
42.371525 97.131 -90.3570
42.678567 97.411 -91.0669
42.987834 97.689 -91.7792
43.299341 97.961 -92.4943
43.613106 98.224 -93.2121
43.929145 98.478 -93.9326
44.247473 98.719 -94.6557
44.568109 98.947 -95.3810
44.891068 99.160 -96.1082
45.216367 99.358 -96.8372
45.544023 99.539 -97.5677
45.874054 99.704 -98.3001
46.206476 99.850 -99.0343
46.541307 99.980 -99.7709
46.878565 100.091 -100.5102
47.218266 100.186 -101.2524
47.560429 100.263 -101.9982
47.905072 100.325 -102.7479
48.252212 100.371 -103.5021
48.601867 100.403 -104.2611
48.954056 100.423 -105.0254
49.308798 100.432 -105.7949
49.666109 100.433 -106.5694
50.026010 100.426 -107.3481
50.388520 100.414 -108.1301
50.753656 100.399 -108.9143
51.121437 100.382 -109.6993
51.491884 100.365 -110.4841
51.865016 100.349 -111.2676
52.240851 100.336 -112.0489
52.619410 100.325 -112.8271
53.000712 100.318 -113.6016
53.384777 100.313 -114.3718
53.771625 100.312 -115.1376
54.161276 100.312 -115.8992
54.553751 100.313 -116.6572
54.949070 100.315 -117.4125
55.347254 100.317 -118.1661
55.748323 100.316 -118.9191
56.152298 100.314 -119.6722
56.559201 100.309 -120.4260
56.969052 100.301 -121.1807
57.381873 100.289 -121.9364
57.797686 100.273 -122.6929
58.216512 100.254 -123.4499
58.638373 100.232 -124.2071
59.063291 100.207 -124.9642
59.491288 100.179 -125.7210
59.922386 100.148 -126.4774
60.356608 100.116 -127.2333
60.793977 100.081 -127.9885
61.234515 100.046 -128.7424
61.678246 100.009 -129.4944
62.125192 99.971 -130.2439
62.575377 99.933 -130.9902
63.028824 99.895 -131.7331
63.485557 99.857 -132.4727
63.945599 99.820 -133.2092
64.408975 99.784 -133.9431
64.875709 99.750 -134.6749
65.345825 99.717 -135.4052
65.819348 99.687 -136.1342
66.296302 99.658 -136.8620
66.776713 99.632 -137.5883
67.260604 99.608 -138.3129
67.748002 99.586 -139.0354
68.238932 99.566 -139.7550
68.733420 99.548 -140.4713
69.231490 99.531 -141.1835
69.733170 99.515 -141.8911
70.238485 99.500 -142.5935
70.747463 99.486 -143.2906
71.260128 99.472 -143.9821
71.776508 99.459 -144.6680
72.296630 99.446 -145.3482
72.820521 99.434 -146.0227
73.348209 99.422 -146.6913
73.879720 99.410 -147.3537
74.415083 99.398 -148.0099
74.954326 99.387 -148.6596
75.497475 99.374 -149.3027
76.044561 99.362 -149.9391
76.595612 99.347 -150.5683
77.150655 99.332 -151.1900
77.709720 99.314 -151.8041
78.272837 99.293 -152.4105
78.840034 99.269 -153.0094
79.411342 99.242 -153.6013
79.986789 99.211 -154.1865
80.566406 99.176 -154.7653
81.150224 99.137 -155.3381
81.738272 99.094 -155.9050
82.330581 99.049 -156.4658
82.927182 99.001 -157.0204
83.528107 98.952 -157.5686
84.133386 98.904 -158.1101
84.743051 98.858 -158.6447
85.357134 98.818 -159.1723
85.975667 98.787 -159.6931
86.598682 98.767 -160.2071
87.226212 98.762 -160.7149
87.858289 98.775 -161.2168
88.494946 98.810 -161.7134
89.136217 98.867 -162.2051
89.782135 98.948 -162.6923
90.432733 99.053 -163.1754
91.088046 99.179 -163.6545
91.748108 99.322 -164.1298
92.412952 99.480 -164.6013
93.082615 99.646 -165.0688
93.757130 99.815 -165.5323
94.436533 99.982 -165.9916
95.120859 100.141 -166.4465
95.810144 100.289 -166.8971
96.504423 100.423 -167.3435
97.203734 100.540 -167.7856
97.908112 100.639 -168.2235
98.617595 100.721 -168.6572
99.332219 100.787 -169.0863
100.052021 100.837 -169.5104
100.777039 100.876 -169.9288
101.507311 100.903 -170.3409
102.242875 100.922 -170.7464
102.983769 100.934 -171.1447
103.730032 100.940 -171.5358
104.481702 100.942 -171.9193
105.238820 100.939 -172.2955
106.001424 100.930 -172.6644
106.769554 100.915 -173.0265
107.543250 100.892 -173.3822
108.322553 100.860 -173.7321
109.107503 100.816 -174.0768
109.898141 100.759 -174.4168
110.694508 100.690 -174.7525
111.496646 100.606 -175.0843
112.304596 100.509 -175.4124
113.118402 100.399 -175.7368
113.938104 100.279 -176.0575
114.763747 100.150 -176.3745
115.595372 100.014 -176.6877
116.433024 99.874 -176.9967
117.276746 99.731 -177.3014
118.126581 99.588 -177.6014
118.982575 99.446 -177.8965
119.844772 99.307 -178.1867
120.713217 99.170 -178.4719
121.587954 99.036 -178.7523
122.469031 98.903 -179.0278
123.356492 98.772 -179.2986
124.250384 98.641 -179.5647
125.150753 98.508 -179.8257
126.057647 98.372 179.9185
126.971113 98.232 179.6681
127.891198 98.086 179.4235
128.817950 97.934 179.1846
129.751418 97.775 178.9517
130.691651 97.610 178.7249
131.638696 97.439 178.5042
132.592604 97.264 178.2899
133.553425 97.087 178.0822
134.521208 96.911 177.8811
135.496004 96.738 177.6870
136.477864 96.572 177.5000
137.466839 96.417 177.3203
138.462981 96.276 177.1480
139.466340 96.151 176.9830
140.476971 96.046 176.8249
141.494925 95.959 176.6732
142.520256 95.892 176.5270
143.553016 95.843 176.3856
144.593260 95.807 176.2479
145.641043 95.783 176.1131
146.696418 95.765 175.9802
147.759441 95.750 175.8488
148.830166 95.734 175.7187
149.908651 95.714 175.5898
150.994951 95.687 175.4627
152.089123 95.652 175.3384
153.191223 95.608 175.2181
154.301310 95.557 175.1033
155.419441 95.499 174.9957
156.545674 95.436 174.8974
157.680069 95.369 174.8102
158.822683 95.300 174.7360
159.973578 95.232 174.6764
161.132813 95.164 174.6330
162.300447 95.099 174.6069
163.476543 95.037 174.5992
164.661162 94.979 174.6107
165.854364 94.925 174.6417
167.056213 94.876 174.6927
168.266772 94.832 174.7637
169.486102 94.794 174.8546
170.714268 94.762 174.9649
171.951334 94.736 175.0941
173.197364 94.718 175.2411
174.452424 94.706 175.4052
175.716578 94.702 175.5847
176.989893 94.705 175.7783
178.272434 94.714 175.9839
179.564270 94.729 176.1994
180.865467 94.748 176.4222
182.176092 94.771 176.6494
183.496216 94.796 176.8781
184.825905 94.823 177.1051
186.165229 94.850 177.3274
187.514259 94.879 177.5422
188.873065 94.908 177.7466
190.241717 94.938 177.9382
191.620287 94.969 178.1146
193.008847 95.002 178.2739
194.407468 95.036 178.4147
195.816225 95.072 178.5358
197.235190 95.109 178.6364
198.664438 95.147 178.7164
200.104042 95.184 178.7756
201.554078 95.222 178.8144
203.014622 95.257 178.8334
204.485750 95.291 178.8334
205.967538 95.321 178.8155
207.460064 95.347 178.7808
208.963405 95.370 178.7307
210.477640 95.387 178.6666
212.002848 95.401 178.5899
213.539108 95.410 178.5021
215.086500 95.416 178.4050
216.645105 95.418 178.3000
218.215005 95.416 178.1889
219.796281 95.411 178.0730
221.389015 95.403 177.9533
222.993292 95.390 177.8307
224.609193 95.373 177.7058
226.236804 95.351 177.5792
227.876209 95.324 177.4512
229.527494 95.290 177.3223
231.190745 95.251 177.1930
232.866048 95.205 177.0637
234.553491 95.153 176.9347
236.253163 95.095 176.8064
237.965150 95.033 176.6789
239.689544 94.968 176.5525
241.426433 94.899 176.4272
243.175909 94.829 176.3036
244.938062 94.758 176.1821
246.712984 94.688 176.0629
248.500768 94.618 175.9466
250.301507 94.551 175.8334
252.115295 94.487 175.7236
253.942226 94.426 175.6171
255.782396 94.370 175.5138
257.635901 94.319 175.4137
259.502837 94.273 175.3165
261.383301 94.232 175.2220
263.277392 94.198 175.1304
265.185209 94.170 175.0414
267.106850 94.148 174.9552
269.042417 94.132 174.8718
270.992009 94.122 174.7912
272.955729 94.117 174.7134
274.933678 94.117 174.6385
276.925961 94.120 174.5664
278.932681 94.126 174.4971
280.953942 94.135 174.4306
282.989850 94.147 174.3666
285.040511 94.161 174.3052
287.106032 94.177 174.2459
289.186521 94.197 174.1887
291.282086 94.221 174.1335
293.392836 94.250 174.0804
295.518881 94.284 174.0292
297.660333 94.324 173.9803
299.817302 94.370 173.9335
301.989902 94.420 173.8889
304.178245 94.474 173.8467
306.382446 94.531 173.8069
308.602620 94.587 173.7693
310.838882 94.642 173.7341
313.091348 94.694 173.7014
315.360137 94.741 173.6711
317.645367 94.782 173.6434
319.947156 94.816 173.6181
322.265625 94.841 173.5953
324.600895 94.858 173.5748
326.953086 94.865 173.5565
329.322323 94.862 173.5405
331.708729 94.848 173.5268
334.112427 94.825 173.5152
336.533543 94.790 173.5057
338.972204 94.746 173.4984
341.428536 94.693 173.4930
343.902668 94.631 173.4898
346.394729 94.562 173.4887
348.904848 94.488 173.4896
351.433156 94.410 173.4926
353.979786 94.331 173.4977
356.544869 94.253 173.5052
