* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 9:33:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD650 (Worn) L1
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.043 -41.7994
20.287556 90.057 -41.9967
20.434568 90.075 -42.2609
20.582645 90.093 -42.5845
20.731796 90.108 -42.9596
20.882027 90.119 -43.3780
21.033346 90.124 -43.8319
21.185763 90.120 -44.3142
21.339284 90.107 -44.8185
21.493917 90.086 -45.3395
21.649671 90.056 -45.8727
21.806553 90.020 -46.4143
21.964572 89.978 -46.9618
22.123737 89.933 -47.5134
22.284054 89.886 -48.0679
22.445534 89.840 -48.6251
22.608183 89.796 -49.1850
22.772012 89.755 -49.7483
22.937027 89.720 -50.3154
23.103238 89.692 -50.8869
23.270654 89.671 -51.4628
23.439282 89.659 -52.0430
23.609133 89.657 -52.6267
23.780215 89.664 -53.2127
23.952536 89.682 -53.7993
24.126106 89.711 -54.3849
24.300934 89.750 -54.9675
24.477028 89.800 -55.5456
24.654399 89.860 -56.1179
24.833055 89.928 -56.6835
25.013005 90.005 -57.2424
25.194260 90.088 -57.7946
25.376828 90.175 -58.3409
25.560719 90.266 -58.8822
25.745942 90.357 -59.4192
25.932508 90.447 -59.9527
26.120426 90.535 -60.4832
26.309705 90.618 -61.0108
26.500356 90.696 -61.5354
26.692388 90.768 -62.0568
26.885812 90.834 -62.5748
27.080638 90.892 -63.0893
27.276876 90.945 -63.6009
27.474535 90.991 -64.1104
27.673627 91.034 -64.6195
27.874161 91.075 -65.1303
28.076149 91.116 -65.6452
28.279600 91.160 -66.1670
28.484526 91.211 -66.6984
28.690937 91.272 -67.2418
28.898843 91.345 -67.7991
29.108256 91.434 -68.3713
29.319186 91.539 -68.9588
29.531645 91.662 -69.5609
29.745644 91.801 -70.1757
29.961193 91.955 -70.8007
30.178304 92.120 -71.4325
30.396989 92.291 -72.0669
30.617258 92.464 -72.6995
30.839123 92.634 -73.3261
31.062596 92.795 -73.9425
31.287688 92.943 -74.5453
31.514412 93.072 -75.1321
31.742778 93.180 -75.7016
31.972800 93.263 -76.2537
32.204488 93.320 -76.7895
32.437855 93.349 -77.3109
32.672913 93.350 -77.8204
32.909674 93.324 -78.3210
33.148151 93.272 -78.8155
33.388356 93.197 -79.3065
33.630302 93.101 -79.7964
33.874001 92.989 -80.2871
34.119466 92.863 -80.7802
34.366710 92.728 -81.2769
34.615745 92.587 -81.7786
34.866585 92.446 -82.2861
35.119243 92.307 -82.8003
35.373731 92.174 -83.3216
35.630064 92.052 -83.8501
35.888254 91.942 -84.3852
36.148315 91.848 -84.9260
36.410261 91.772 -85.4706
36.674104 91.717 -86.0169
36.939860 91.683 -86.5622
37.207542 91.671 -87.1038
37.477163 91.683 -87.6388
37.748738 91.718 -88.1645
38.022281 91.776 -88.6789
38.297806 91.855 -89.1804
38.575327 91.955 -89.6687
38.854860 92.075 -90.1442
39.136419 92.212 -90.6088
39.420017 92.368 -91.0654
39.705671 92.539 -91.5175
39.993395 92.726 -91.9693
40.283203 92.927 -92.4249
40.575112 93.142 -92.8875
40.869136 93.369 -93.3592
41.165290 93.606 -93.8406
41.463591 93.853 -94.3303
41.764053 94.108 -94.8258
42.066693 94.367 -95.3233
42.371525 94.629 -95.8187
42.678567 94.891 -96.3083
42.987834 95.150 -96.7891
43.299341 95.404 -97.2595
43.613106 95.650 -97.7193
43.929145 95.885 -98.1690
44.247473 96.109 -98.6102
44.568109 96.319 -99.0448
44.891068 96.514 -99.4745
45.216367 96.693 -99.9009
45.544023 96.856 -100.3255
45.874054 97.002 -100.7494
46.206476 97.131 -101.1739
46.541307 97.243 -101.6001
46.878565 97.338 -102.0289
47.218266 97.418 -102.4609
47.560429 97.481 -102.8961
47.905072 97.529 -103.3339
48.252212 97.563 -103.7729
48.601867 97.584 -104.2117
48.954056 97.594 -104.6485
49.308798 97.594 -105.0822
49.666109 97.586 -105.5121
50.026010 97.573 -105.9383
50.388520 97.556 -106.3617
50.753656 97.538 -106.7833
51.121437 97.520 -107.2043
51.491884 97.504 -107.6259
51.865016 97.491 -108.0490
52.240851 97.481 -108.4740
52.619410 97.475 -108.9012
53.000712 97.474 -109.3305
53.384777 97.477 -109.7616
53.771625 97.483 -110.1938
54.161276 97.492 -110.6266
54.553751 97.503 -111.0596
54.949070 97.515 -111.4923
55.347254 97.527 -111.9247
55.748323 97.538 -112.3567
56.152298 97.547 -112.7884
56.559201 97.553 -113.2196
56.969052 97.557 -113.6501
57.381873 97.558 -114.0799
57.797686 97.556 -114.5089
58.216512 97.551 -114.9376
58.638373 97.543 -115.3670
59.063291 97.533 -115.7988
59.491288 97.521 -116.2347
59.922386 97.506 -116.6760
60.356608 97.489 -117.1235
60.793977 97.470 -117.5768
61.234515 97.449 -118.0348
61.678246 97.428 -118.4961
62.125192 97.407 -118.9589
62.575377 97.386 -119.4217
63.028824 97.366 -119.8832
63.485557 97.347 -120.3430
63.945599 97.330 -120.8009
64.408975 97.316 -121.2572
64.875709 97.304 -121.7126
65.345825 97.294 -122.1678
65.819348 97.288 -122.6231
66.296302 97.286 -123.0787
66.776713 97.286 -123.5344
67.260604 97.289 -123.9898
67.748002 97.295 -124.4444
68.238932 97.304 -124.8978
68.733420 97.315 -125.3498
69.231490 97.328 -125.8004
69.733170 97.343 -126.2498
70.238485 97.359 -126.6981
70.747463 97.377 -127.1454
71.260128 97.396 -127.5917
71.776508 97.416 -128.0370
72.296630 97.437 -128.4810
72.820521 97.459 -128.9237
73.348209 97.481 -129.3647
73.879720 97.504 -129.8041
74.415083 97.527 -130.2418
74.954326 97.550 -130.6778
75.497475 97.573 -131.1121
76.044561 97.596 -131.5445
76.595612 97.617 -131.9747
77.150655 97.637 -132.4026
77.709720 97.655 -132.8279
78.272837 97.670 -133.2504
78.840034 97.683 -133.6698
79.411342 97.692 -134.0860
79.986789 97.698 -134.4985
80.566406 97.700 -134.9071
81.150224 97.699 -135.3116
81.738272 97.694 -135.7119
82.330581 97.687 -136.1081
82.927182 97.678 -136.5006
83.528107 97.669 -136.8897
84.133386 97.662 -137.2761
84.743051 97.658 -137.6603
85.357134 97.662 -138.0427
85.975667 97.675 -138.4239
86.598682 97.701 -138.8040
87.226212 97.745 -139.1835
87.858289 97.808 -139.5625
88.494946 97.893 -139.9408
89.136217 98.003 -140.3185
89.782135 98.137 -140.6951
90.432733 98.293 -141.0705
91.088046 98.471 -141.4445
91.748108 98.665 -141.8170
92.412952 98.872 -142.1882
93.082615 99.085 -142.5583
93.757130 99.300 -142.9276
94.436533 99.510 -143.2958
95.120859 99.712 -143.6629
95.810144 99.901 -144.0284
96.504423 100.074 -144.3922
97.203734 100.230 -144.7538
97.908112 100.369 -145.1133
98.617595 100.490 -145.4706
99.332219 100.594 -145.8258
100.052021 100.684 -146.1792
100.777039 100.762 -146.5308
101.507311 100.829 -146.8807
102.242875 100.887 -147.2289
102.983769 100.939 -147.5752
103.730032 100.986 -147.9194
104.481702 101.028 -148.2614
105.238820 101.066 -148.6010
106.001424 101.097 -148.9382
106.769554 101.122 -149.2731
107.543250 101.139 -149.6060
108.322553 101.146 -149.9373
109.107503 101.141 -150.2674
109.898141 101.123 -150.5969
110.694508 101.092 -150.9264
111.496646 101.047 -151.2562
112.304596 100.989 -151.5869
113.118402 100.918 -151.9188
113.938104 100.838 -152.2524
114.763747 100.749 -152.5880
115.595372 100.655 -152.9257
116.433024 100.557 -153.2653
117.276746 100.458 -153.6064
118.126581 100.360 -153.9484
118.982575 100.263 -154.2908
119.844772 100.170 -154.6330
120.713217 100.079 -154.9746
121.587954 99.991 -155.3154
122.469031 99.906 -155.6553
123.356492 99.821 -155.9942
124.250384 99.735 -156.3319
125.150753 99.647 -156.6684
126.057647 99.555 -157.0030
126.971113 99.458 -157.3353
127.891198 99.355 -157.6647
128.817950 99.246 -157.9906
129.751418 99.129 -158.3127
130.691651 99.006 -158.6310
131.638696 98.878 -158.9458
132.592604 98.745 -159.2576
133.553425 98.610 -159.5668
134.521208 98.476 -159.8739
135.496004 98.346 -160.1788
136.477864 98.224 -160.4814
137.466839 98.112 -160.7816
138.462981 98.015 -161.0789
139.466340 97.934 -161.3727
140.476971 97.872 -161.6627
141.494925 97.829 -161.9484
142.520256 97.805 -162.2298
143.553016 97.796 -162.5071
144.593260 97.801 -162.7808
145.641043 97.816 -163.0516
146.696418 97.837 -163.3202
147.759441 97.859 -163.5872
148.830166 97.880 -163.8532
149.908651 97.896 -164.1186
150.994951 97.905 -164.3835
152.089123 97.908 -164.6481
153.191223 97.902 -164.9126
154.301310 97.890 -165.1770
155.419441 97.873 -165.4414
156.545674 97.852 -165.7056
157.680069 97.828 -165.9696
158.822683 97.805 -166.2331
159.973578 97.782 -166.4961
161.132813 97.761 -166.7584
162.300447 97.742 -167.0200
163.476543 97.727 -167.2807
164.661162 97.716 -167.5406
165.854364 97.708 -167.7995
167.056213 97.704 -168.0574
168.266772 97.704 -168.3142
169.486102 97.708 -168.5699
170.714268 97.716 -168.8245
171.951334 97.729 -169.0780
173.197364 97.746 -169.3306
174.452424 97.766 -169.5823
175.716578 97.791 -169.8330
176.989893 97.819 -170.0828
178.272434 97.849 -170.3315
179.564270 97.881 -170.5789
180.865467 97.913 -170.8250
182.176092 97.943 -171.0695
183.496216 97.972 -171.3124
184.825905 97.998 -171.5535
186.165229 98.021 -171.7928
187.514259 98.040 -172.0302
188.873065 98.056 -172.2657
190.241717 98.070 -172.4995
191.620287 98.081 -172.7317
193.008847 98.091 -172.9624
194.407468 98.100 -173.1916
195.816225 98.108 -173.4192
197.235190 98.116 -173.6448
198.664438 98.123 -173.8680
200.104042 98.129 -174.0883
201.554078 98.134 -174.3052
203.014622 98.137 -174.5183
204.485750 98.137 -174.7276
205.967538 98.134 -174.9333
207.460064 98.129 -175.1357
208.963405 98.120 -175.3354
210.477640 98.107 -175.5329
212.002848 98.092 -175.7284
213.539108 98.074 -175.9220
215.086500 98.053 -176.1139
216.645105 98.031 -176.3041
218.215005 98.006 -176.4925
219.796281 97.980 -176.6793
221.389015 97.951 -176.8647
222.993292 97.920 -177.0490
224.609193 97.886 -177.2323
226.236804 97.848 -177.4148
227.876209 97.806 -177.5969
229.527494 97.758 -177.7787
231.190745 97.705 -177.9603
232.866048 97.647 -178.1416
234.553491 97.584 -178.3227
236.253163 97.516 -178.5033
237.965150 97.444 -178.6832
239.689544 97.369 -178.8622
241.426433 97.291 -179.0399
243.175909 97.213 -179.2160
244.938062 97.134 -179.3899
246.712984 97.055 -179.5615
248.500768 96.978 -179.7302
250.301507 96.903 -179.8960
252.115295 96.831 179.9412
253.942226 96.762 179.7816
255.782396 96.698 179.6252
257.635901 96.638 179.4722
259.502837 96.583 179.3229
261.383301 96.534 179.1778
263.277392 96.491 179.0375
265.185209 96.454 178.9026
267.106850 96.423 178.7736
269.042417 96.398 178.6509
270.992009 96.379 178.5350
272.955729 96.365 178.4263
274.933678 96.356 178.3253
276.925961 96.351 178.2319
278.932681 96.350 178.1461
280.953942 96.352 178.0672
282.989850 96.358 177.9944
285.040511 96.367 177.9264
287.106032 96.381 177.8619
289.186521 96.398 177.7993
291.282086 96.421 177.7372
293.392836 96.450 177.6744
295.518881 96.486 177.6098
297.660333 96.528 177.5428
299.817302 96.576 177.4728
301.989902 96.629 177.3997
304.178245 96.686 177.3234
306.382446 96.746 177.2438
308.602620 96.805 177.1613
310.838882 96.863 177.0763
313.091348 96.918 176.9892
315.360137 96.967 176.9007
317.645367 97.010 176.8116
319.947156 97.045 176.7226
322.265625 97.071 176.6342
324.600895 97.089 176.5468
326.953086 97.096 176.4606
329.322323 97.093 176.3758
331.708729 97.080 176.2925
334.112427 97.056 176.2107
336.533543 97.021 176.1305
338.972204 96.977 176.0521
