* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 9:43:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD650 (Worn) R10
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 86.486 -23.6627
20.287556 86.497 -23.9289
20.434568 86.510 -24.2841
20.582645 86.522 -24.7167
20.731796 86.530 -25.2142
20.882027 86.532 -25.7642
21.033346 86.527 -26.3561
21.185763 86.514 -26.9809
21.339284 86.492 -27.6321
21.493917 86.464 -28.3054
21.649671 86.430 -28.9988
21.806553 86.392 -29.7115
21.964572 86.352 -30.4436
22.123737 86.311 -31.1952
22.284054 86.270 -31.9656
22.445534 86.231 -32.7531
22.608183 86.193 -33.5543
22.772012 86.159 -34.3647
22.937027 86.128 -35.1779
23.103238 86.101 -35.9873
23.270654 86.080 -36.7855
23.439282 86.065 -37.5657
23.609133 86.058 -38.3220
23.780215 86.061 -39.0497
23.952536 86.074 -39.7460
24.126106 86.100 -40.4096
24.300934 86.138 -41.0411
24.477028 86.190 -41.6423
24.654399 86.254 -42.2160
24.833055 86.330 -42.7656
25.013005 86.416 -43.2944
25.194260 86.510 -43.8060
25.376828 86.610 -44.3036
25.560719 86.714 -44.7905
25.745942 86.819 -45.2697
25.932508 86.924 -45.7450
26.120426 87.027 -46.2203
26.309705 87.127 -46.7002
26.500356 87.223 -47.1898
26.692388 87.315 -47.6943
26.885812 87.401 -48.2186
27.080638 87.482 -48.7669
27.276876 87.557 -49.3420
27.474535 87.628 -49.9448
27.673627 87.696 -50.5740
27.874161 87.761 -51.2262
28.076149 87.826 -51.8954
28.279600 87.893 -52.5742
28.484526 87.966 -53.2537
28.690937 88.048 -53.9248
28.898843 88.141 -54.5789
29.108256 88.249 -55.2087
29.319186 88.374 -55.8089
29.531645 88.518 -56.3771
29.745644 88.679 -56.9134
29.961193 88.856 -57.4204
30.178304 89.046 -57.9026
30.396989 89.245 -58.3656
30.617258 89.446 -58.8147
30.839123 89.645 -59.2546
31.062596 89.834 -59.6882
31.287688 90.010 -60.1170
31.514412 90.167 -60.5409
31.742778 90.301 -60.9592
31.972800 90.409 -61.3712
32.204488 90.489 -61.7770
32.437855 90.541 -62.1786
32.672913 90.564 -62.5797
32.909674 90.560 -62.9856
33.148151 90.529 -63.4032
33.388356 90.473 -63.8393
33.630302 90.396 -64.3003
33.874001 90.300 -64.7915
34.119466 90.188 -65.3161
34.366710 90.066 -65.8753
34.615745 89.936 -66.4685
34.866585 89.804 -67.0929
35.119243 89.673 -67.7443
35.373731 89.549 -68.4172
35.630064 89.437 -69.1053
35.888254 89.339 -69.8015
36.148315 89.259 -70.4987
36.410261 89.200 -71.1901
36.674104 89.164 -71.8697
36.939860 89.152 -72.5331
37.207542 89.164 -73.1774
37.477163 89.201 -73.8018
37.748738 89.262 -74.4075
38.022281 89.345 -74.9971
38.297806 89.449 -75.5744
38.575327 89.573 -76.1442
38.854860 89.716 -76.7112
39.136419 89.877 -77.2799
39.420017 90.054 -77.8538
39.705671 90.247 -78.4351
39.993395 90.454 -79.0240
40.283203 90.675 -79.6189
40.575112 90.907 -80.2162
40.869136 91.150 -80.8109
41.165290 91.403 -81.3974
41.463591 91.664 -81.9706
41.764053 91.931 -82.5270
42.066693 92.202 -83.0648
42.371525 92.475 -83.5852
42.678567 92.747 -84.0909
42.987834 93.016 -84.5865
43.299341 93.279 -85.0771
43.613106 93.534 -85.5674
43.929145 93.779 -86.0613
44.247473 94.011 -86.5613
44.568109 94.230 -87.0686
44.891068 94.433 -87.5826
45.216367 94.621 -88.1018
45.544023 94.791 -88.6237
45.874054 94.945 -89.1456
46.206476 95.082 -89.6650
46.541307 95.201 -90.1801
46.878565 95.304 -90.6904
47.218266 95.390 -91.1963
47.560429 95.460 -91.6997
47.905072 95.516 -92.2027
48.252212 95.558 -92.7077
48.601867 95.588 -93.2167
48.954056 95.608 -93.7306
49.308798 95.619 -94.2492
49.666109 95.622 -94.7711
50.026010 95.621 -95.2943
50.388520 95.616 -95.8157
50.753656 95.609 -96.3328
51.121437 95.602 -96.8431
51.491884 95.596 -97.3455
51.865016 95.592 -97.8395
52.240851 95.592 -98.3262
52.619410 95.595 -98.8071
53.000712 95.601 -99.2841
53.384777 95.611 -99.7593
53.771625 95.624 -100.2343
54.161276 95.639 -100.7103
54.553751 95.655 -101.1879
54.949070 95.670 -101.6673
55.347254 95.686 -102.1480
55.748323 95.699 -102.6293
56.152298 95.710 -103.1101
56.559201 95.719 -103.5897
56.969052 95.725 -104.0671
57.381873 95.727 -104.5422
57.797686 95.727 -105.0151
58.216512 95.723 -105.4869
58.638373 95.717 -105.9589
59.063291 95.709 -106.4332
59.491288 95.700 -106.9119
59.922386 95.690 -107.3972
60.356608 95.681 -107.8900
60.793977 95.672 -108.3906
61.234515 95.663 -108.8978
61.678246 95.654 -109.4101
62.125192 95.646 -109.9254
62.575377 95.638 -110.4424
63.028824 95.631 -110.9601
63.485557 95.625 -111.4781
63.945599 95.620 -111.9959
64.408975 95.617 -112.5132
64.875709 95.615 -113.0294
65.345825 95.615 -113.5440
65.819348 95.618 -114.0561
66.296302 95.624 -114.5654
66.776713 95.632 -115.0717
67.260604 95.643 -115.5752
67.748002 95.656 -116.0765
68.238932 95.673 -116.5762
68.733420 95.692 -117.0751
69.231490 95.713 -117.5740
69.733170 95.737 -118.0732
70.238485 95.762 -118.5730
70.747463 95.790 -119.0735
71.260128 95.818 -119.5744
71.776508 95.847 -120.0756
72.296630 95.876 -120.5769
72.820521 95.906 -121.0784
73.348209 95.936 -121.5803
73.879720 95.967 -122.0829
74.415083 95.997 -122.5863
74.954326 96.027 -123.0907
75.497475 96.056 -123.5964
76.044561 96.085 -124.1033
76.595612 96.112 -124.6115
77.150655 96.138 -125.1207
77.709720 96.161 -125.6303
78.272837 96.182 -126.1399
78.840034 96.199 -126.6486
79.411342 96.213 -127.1561
79.986789 96.223 -127.6618
80.566406 96.230 -128.1655
81.150224 96.232 -128.6668
81.738272 96.230 -129.1654
82.330581 96.226 -129.6607
82.927182 96.220 -130.1523
83.528107 96.213 -130.6396
84.133386 96.207 -131.1221
84.743051 96.205 -131.5993
85.357134 96.210 -132.0712
85.975667 96.224 -132.5374
86.598682 96.250 -132.9981
87.226212 96.293 -133.4537
87.858289 96.355 -133.9047
88.494946 96.439 -134.3515
89.136217 96.546 -134.7946
89.782135 96.677 -135.2342
90.432733 96.832 -135.6703
91.088046 97.006 -136.1029
91.748108 97.198 -136.5318
92.412952 97.402 -136.9568
93.082615 97.612 -137.3780
93.757130 97.825 -137.7955
94.436533 98.033 -138.2100
95.120859 98.234 -138.6218
95.810144 98.422 -139.0316
96.504423 98.594 -139.4396
97.203734 98.750 -139.8460
97.908112 98.888 -140.2509
98.617595 99.008 -140.6543
99.332219 99.113 -141.0562
100.052021 99.202 -141.4569
100.777039 99.280 -141.8561
101.507311 99.347 -142.2537
102.242875 99.405 -142.6493
102.983769 99.457 -143.0426
103.730032 99.504 -143.4331
104.481702 99.546 -143.8203
105.238820 99.582 -144.2039
106.001424 99.613 -144.5836
106.769554 99.637 -144.9590
107.543250 99.651 -145.3301
108.322553 99.656 -145.6970
109.107503 99.649 -146.0600
109.898141 99.629 -146.4192
110.694508 99.596 -146.7749
111.496646 99.549 -147.1274
112.304596 99.489 -147.4769
113.118402 99.417 -147.8237
113.938104 99.336 -148.1682
114.763747 99.246 -148.5109
115.595372 99.151 -148.8524
116.433024 99.054 -149.1933
117.276746 98.955 -149.5344
118.126581 98.857 -149.8763
118.982575 98.761 -150.2194
119.844772 98.669 -150.5637
120.713217 98.580 -150.9092
121.587954 98.494 -151.2556
122.469031 98.411 -151.6028
123.356492 98.329 -151.9507
124.250384 98.246 -152.2993
125.150753 98.162 -152.6485
126.057647 98.073 -152.9981
126.971113 97.980 -153.3478
127.891198 97.881 -153.6971
128.817950 97.775 -154.0456
129.751418 97.663 -154.3932
130.691651 97.544 -154.7396
131.638696 97.419 -155.0851
132.592604 97.290 -155.4297
133.553425 97.160 -155.7737
134.521208 97.031 -156.1173
135.496004 96.906 -156.4605
136.477864 96.788 -156.8033
137.466839 96.682 -157.1456
138.462981 96.590 -157.4873
139.466340 96.515 -157.8281
140.476971 96.458 -158.1677
141.494925 96.420 -158.5060
142.520256 96.399 -158.8427
143.553016 96.394 -159.1778
144.593260 96.402 -159.5112
145.641043 96.420 -159.8427
146.696418 96.443 -160.1722
147.759441 96.467 -160.4996
148.830166 96.489 -160.8248
149.908651 96.507 -161.1477
150.994951 96.518 -161.4685
152.089123 96.521 -161.7874
153.191223 96.517 -162.1048
154.301310 96.506 -162.4208
155.419441 96.489 -162.7357
156.545674 96.469 -163.0494
157.680069 96.446 -163.3619
158.822683 96.422 -163.6732
159.973578 96.400 -163.9833
161.132813 96.379 -164.2922
162.300447 96.361 -164.6000
163.476543 96.346 -164.9066
164.661162 96.333 -165.2121
165.854364 96.325 -165.5162
167.056213 96.319 -165.8191
168.266772 96.318 -166.1203
169.486102 96.320 -166.4199
170.714268 96.326 -166.7175
171.951334 96.337 -167.0129
173.197364 96.352 -167.3059
174.452424 96.371 -167.5962
175.716578 96.394 -167.8836
176.989893 96.420 -168.1682
178.272434 96.449 -168.4498
179.564270 96.479 -168.7289
180.865467 96.510 -169.0056
182.176092 96.540 -169.2802
183.496216 96.568 -169.5531
184.825905 96.594 -169.8243
186.165229 96.617 -170.0941
187.514259 96.636 -170.3625
188.873065 96.653 -170.6297
190.241717 96.668 -170.8956
191.620287 96.680 -171.1605
193.008847 96.690 -171.4241
194.407468 96.700 -171.6864
195.816225 96.709 -171.9472
197.235190 96.717 -172.2060
198.664438 96.725 -172.4626
200.104042 96.732 -172.7168
201.554078 96.737 -172.9686
203.014622 96.740 -173.2179
204.485750 96.741 -173.4648
205.967538 96.740 -173.7096
207.460064 96.734 -173.9525
208.963405 96.726 -174.1938
210.477640 96.714 -174.4342
212.002848 96.698 -174.6741
213.539108 96.680 -174.9137
215.086500 96.659 -175.1531
216.645105 96.636 -175.3922
218.215005 96.610 -175.6309
219.796281 96.583 -175.8690
221.389015 96.553 -176.1062
222.993292 96.521 -176.3425
224.609193 96.485 -176.5776
226.236804 96.445 -176.8116
227.876209 96.400 -177.0442
229.527494 96.350 -177.2751
231.190745 96.295 -177.5042
232.866048 96.233 -177.7310
234.553491 96.166 -177.9555
236.253163 96.094 -178.1772
237.965150 96.018 -178.3960
239.689544 95.938 -178.6116
241.426433 95.856 -178.8237
243.175909 95.773 -179.0319
244.938062 95.689 -179.2358
246.712984 95.606 -179.4351
248.500768 95.525 -179.6293
250.301507 95.445 -179.8182
252.115295 95.369 179.9984
253.942226 95.296 179.8207
255.782396 95.228 179.6491
257.635901 95.165 179.4836
259.502837 95.106 179.3244
261.383301 95.054 179.1719
263.277392 95.008 179.0263
265.185209 94.968 178.8880
267.106850 94.935 178.7576
269.042417 94.908 178.6353
270.992009 94.888 178.5214
272.955729 94.873 178.4158
274.933678 94.864 178.3183
276.925961 94.860 178.2279
278.932681 94.861 178.1434
280.953942 94.866 178.0631
282.989850 94.874 177.9850
285.040511 94.887 177.9072
287.106032 94.904 177.8277
289.186521 94.926 177.7447
291.282086 94.953 177.6569
293.392836 94.985 177.5634
295.518881 95.024 177.4637
297.660333 95.070 177.3577
299.817302 95.120 177.2458
301.989902 95.176 177.1287
304.178245 95.235 177.0070
306.382446 95.295 176.8817
308.602620 95.355 176.7534
310.838882 95.414 176.6229
313.091348 95.468 176.4907
315.360137 95.517 176.3574
317.645367 95.559 176.2234
319.947156 95.593 176.0891
322.265625 95.618 175.9548
324.600895 95.634 175.8210
326.953086 95.640 175.6882
329.322323 95.636 175.5568
331.708729 95.620 175.4272
334.112427 95.594 175.2998
336.533543 95.558 175.1747
338.972204 95.511 175.0522
