* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 9:18:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KSC75 L6
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.556 7.1487
20.287556 85.585 7.1511
20.434568 85.623 7.1480
20.582645 85.668 7.1299
20.731796 85.719 7.0848
20.882027 85.774 6.9976
21.033346 85.830 6.8520
21.185763 85.886 6.6315
21.339284 85.941 6.3214
21.493917 85.993 5.9102
21.649671 86.041 5.3914
21.806553 86.084 4.7642
21.964572 86.121 4.0335
22.123737 86.152 3.2099
22.284054 86.177 2.3090
22.445534 86.196 1.3499
22.608183 86.211 0.3541
22.772012 86.222 -0.6564
22.937027 86.234 -1.6602
23.103238 86.246 -2.6382
23.270654 86.263 -3.5746
23.439282 86.287 -4.4583
23.609133 86.319 -5.2825
23.780215 86.363 -6.0454
23.952536 86.418 -6.7497
24.126106 86.487 -7.4012
24.300934 86.567 -8.0088
24.477028 86.660 -8.5824
24.654399 86.762 -9.1324
24.833055 86.872 -9.6688
25.013005 86.989 -10.2003
25.194260 87.110 -10.7341
25.376828 87.234 -11.2760
25.560719 87.358 -11.8300
25.745942 87.483 -12.3986
25.932508 87.607 -12.9828
26.120426 87.730 -13.5824
26.309705 87.851 -14.1959
26.500356 87.970 -14.8208
26.692388 88.087 -15.4535
26.885812 88.202 -16.0900
27.080638 88.314 -16.7256
27.276876 88.425 -17.3556
27.474535 88.533 -17.9755
27.673627 88.641 -18.5815
27.874161 88.749 -19.1704
28.076149 88.859 -19.7396
28.279600 88.973 -20.2872
28.484526 89.092 -20.8118
28.690937 89.220 -21.3123
28.898843 89.358 -21.7878
29.108256 89.509 -22.2378
29.319186 89.673 -22.6622
29.531645 89.852 -23.0620
29.745644 90.043 -23.4392
29.961193 90.246 -23.7980
30.178304 90.457 -24.1442
30.396989 90.672 -24.4856
30.617258 90.885 -24.8312
30.839123 91.092 -25.1908
31.062596 91.285 -25.5740
31.287688 91.461 -25.9893
31.514412 91.614 -26.4434
31.742778 91.741 -26.9409
31.972800 91.839 -27.4841
32.204488 91.907 -28.0732
32.437855 91.944 -28.7065
32.672913 91.953 -29.3806
32.909674 91.937 -30.0904
33.148151 91.897 -30.8289
33.388356 91.839 -31.5872
33.630302 91.766 -32.3542
33.874001 91.682 -33.1173
34.119466 91.591 -33.8627
34.366710 91.498 -34.5769
34.615745 91.404 -35.2484
34.866585 91.314 -35.8693
35.119243 91.231 -36.4371
35.373731 91.156 -36.9546
35.630064 91.093 -37.4305
35.888254 91.044 -37.8775
36.148315 91.010 -38.3107
36.410261 90.993 -38.7449
36.674104 90.995 -39.1921
36.939860 91.015 -39.6603
37.207542 91.056 -40.1523
37.477163 91.119 -40.6664
37.748738 91.204 -41.1972
38.022281 91.313 -41.7372
38.297806 91.446 -42.2792
38.575327 91.603 -42.8170
38.854860 91.784 -43.3465
39.136419 91.986 -43.8661
39.420017 92.208 -44.3764
39.705671 92.449 -44.8792
39.993395 92.705 -45.3777
40.283203 92.975 -45.8751
40.575112 93.258 -46.3749
40.869136 93.550 -46.8802
41.165290 93.852 -47.3939
41.463591 94.160 -47.9184
41.764053 94.474 -48.4551
42.066693 94.791 -49.0047
42.371525 95.109 -49.5668
42.678567 95.425 -50.1397
42.987834 95.737 -50.7207
43.299341 96.042 -51.3069
43.613106 96.338 -51.8947
43.929145 96.623 -52.4816
44.247473 96.895 -53.0656
44.568109 97.153 -53.6465
44.891068 97.395 -54.2249
45.216367 97.620 -54.8025
45.544023 97.828 -55.3816
45.874054 98.017 -55.9642
46.206476 98.189 -56.5519
46.541307 98.341 -57.1458
46.878565 98.476 -57.7458
47.218266 98.594 -58.3512
47.560429 98.696 -58.9605
47.905072 98.784 -59.5713
48.252212 98.858 -60.1805
48.601867 98.921 -60.7851
48.954056 98.974 -61.3825
49.308798 99.019 -61.9709
49.666109 99.058 -62.5501
50.026010 99.092 -63.1210
50.388520 99.124 -63.6855
50.753656 99.155 -64.2459
51.121437 99.186 -64.8045
51.491884 99.219 -65.3630
51.865016 99.254 -65.9230
52.240851 99.292 -66.4854
52.619410 99.334 -67.0511
53.000712 99.379 -67.6207
53.384777 99.428 -68.1946
53.771625 99.480 -68.7729
54.161276 99.533 -69.3556
54.553751 99.588 -69.9426
54.949070 99.642 -70.5337
55.347254 99.694 -71.1283
55.748323 99.745 -71.7257
56.152298 99.792 -72.3253
56.559201 99.836 -72.9265
56.969052 99.876 -73.5292
57.381873 99.913 -74.1337
57.797686 99.946 -74.7409
58.216512 99.976 -75.3523
58.638373 100.004 -75.9691
59.063291 100.030 -76.5929
59.491288 100.055 -77.2244
59.922386 100.080 -77.8639
60.356608 100.105 -78.5110
60.793977 100.131 -79.1646
61.234515 100.157 -79.8229
61.678246 100.183 -80.4841
62.125192 100.209 -81.1466
62.575377 100.236 -81.8093
63.028824 100.264 -82.4713
63.485557 100.292 -83.1324
63.945599 100.322 -83.7927
64.408975 100.353 -84.4523
64.875709 100.385 -85.1114
65.345825 100.420 -85.7703
65.819348 100.458 -86.4294
66.296302 100.498 -87.0895
66.776713 100.541 -87.7514
67.260604 100.586 -88.4160
67.748002 100.634 -89.0844
68.238932 100.685 -89.7571
68.733420 100.737 -90.4345
69.231490 100.792 -91.1166
69.733170 100.849 -91.8031
70.238485 100.907 -92.4935
70.747463 100.966 -93.1874
71.260128 101.027 -93.8844
71.776508 101.088 -94.5841
72.296630 101.151 -95.2863
72.820521 101.214 -95.9911
73.348209 101.278 -96.6987
73.879720 101.343 -97.4092
74.415083 101.407 -98.1228
74.954326 101.472 -98.8397
75.497475 101.535 -99.5600
76.044561 101.598 -100.2835
76.595612 101.659 -101.0101
77.150655 101.718 -101.7396
77.709720 101.775 -102.4717
78.272837 101.828 -103.2065
78.840034 101.878 -103.9437
79.411342 101.923 -104.6834
79.986789 101.965 -105.4256
80.566406 102.002 -106.1702
81.150224 102.035 -106.9172
81.738272 102.064 -107.6661
82.330581 102.089 -108.4168
82.927182 102.112 -109.1687
83.528107 102.135 -109.9217
84.133386 102.158 -110.6756
84.743051 102.185 -111.4303
85.357134 102.217 -112.1858
85.975667 102.259 -112.9421
86.598682 102.314 -113.6988
87.226212 102.384 -114.4557
87.858289 102.473 -115.2122
88.494946 102.583 -115.9675
89.136217 102.715 -116.7211
89.782135 102.870 -117.4723
90.432733 103.046 -118.2205
91.088046 103.240 -118.9651
91.748108 103.449 -119.7056
92.412952 103.668 -120.4412
93.082615 103.892 -121.1714
93.757130 104.116 -121.8957
94.436533 104.335 -122.6139
95.120859 104.544 -123.3260
95.810144 104.740 -124.0319
96.504423 104.919 -124.7317
97.203734 105.081 -125.4250
97.908112 105.224 -126.1117
98.617595 105.350 -126.7914
99.332219 105.459 -127.4638
100.052021 105.553 -128.1284
100.777039 105.635 -128.7854
101.507311 105.707 -129.4350
102.242875 105.770 -130.0777
102.983769 105.827 -130.7145
103.730032 105.878 -131.3464
104.481702 105.925 -131.9745
105.238820 105.967 -132.5999
106.001424 106.004 -133.2235
106.769554 106.034 -133.8457
107.543250 106.055 -134.4671
108.322553 106.067 -135.0878
109.107503 106.067 -135.7077
109.898141 106.053 -136.3269
110.694508 106.027 -136.9453
111.496646 105.986 -137.5629
112.304596 105.932 -138.1798
113.118402 105.866 -138.7960
113.938104 105.789 -139.4113
114.763747 105.704 -140.0255
115.595372 105.612 -140.6384
116.433024 105.517 -141.2492
117.276746 105.420 -141.8577
118.126581 105.323 -142.4633
118.982575 105.227 -143.0656
119.844772 105.134 -143.6645
120.713217 105.043 -144.2597
121.587954 104.954 -144.8512
122.469031 104.866 -145.4389
123.356492 104.779 -146.0230
124.250384 104.691 -146.6036
125.150753 104.600 -147.1808
126.057647 104.506 -147.7548
126.971113 104.406 -148.3258
127.891198 104.300 -148.8938
128.817950 104.186 -149.4590
129.751418 104.066 -150.0215
130.691651 103.939 -150.5813
131.638696 103.806 -151.1383
132.592604 103.668 -151.6924
133.553425 103.528 -152.2433
134.521208 103.388 -152.7904
135.496004 103.252 -153.3332
136.477864 103.122 -153.8712
137.466839 103.003 -154.4039
138.462981 102.897 -154.9306
139.466340 102.806 -155.4512
140.476971 102.733 -155.9653
141.494925 102.678 -156.4729
142.520256 102.641 -156.9737
143.553016 102.620 -157.4678
144.593260 102.611 -157.9550
145.641043 102.612 -158.4353
146.696418 102.618 -158.9085
147.759441 102.626 -159.3745
148.830166 102.632 -159.8331
149.908651 102.633 -160.2841
150.994951 102.628 -160.7273
152.089123 102.615 -161.1625
153.191223 102.595 -161.5892
154.301310 102.567 -162.0073
155.419441 102.533 -162.4164
156.545674 102.496 -162.8163
157.680069 102.455 -163.2068
158.822683 102.414 -163.5877
159.973578 102.374 -163.9590
161.132813 102.335 -164.3206
162.300447 102.300 -164.6727
163.476543 102.268 -165.0155
164.661162 102.241 -165.3491
165.854364 102.218 -165.6741
167.056213 102.201 -165.9910
168.266772 102.188 -166.3005
169.486102 102.182 -166.6035
170.714268 102.181 -166.9014
171.951334 102.187 -167.1958
173.197364 102.199 -167.4888
174.452424 102.218 -167.7828
175.716578 102.242 -168.0803
176.989893 102.272 -168.3842
178.272434 102.306 -168.6971
179.564270 102.343 -169.0217
180.865467 102.381 -169.3602
182.176092 102.418 -169.7144
183.496216 102.453 -170.0853
184.825905 102.485 -170.4733
186.165229 102.513 -170.8782
187.514259 102.535 -171.2986
188.873065 102.552 -171.7331
190.241717 102.564 -172.1792
191.620287 102.571 -172.6342
193.008847 102.573 -173.0953
194.407468 102.572 -173.5595
195.816225 102.568 -174.0237
197.235190 102.560 -174.4851
198.664438 102.549 -174.9412
200.104042 102.536 -175.3895
201.554078 102.519 -175.8279
203.014622 102.499 -176.2547
204.485750 102.476 -176.6684
205.967538 102.448 -177.0678
207.460064 102.417 -177.4521
208.963405 102.382 -177.8211
210.477640 102.344 -178.1746
212.002848 102.302 -178.5128
213.539108 102.257 -178.8361
215.086500 102.210 -179.1451
216.645105 102.161 -179.4404
218.215005 102.110 -179.7230
219.796281 102.058 -179.9937
221.389015 102.004 179.7463
222.993292 101.949 179.4960
224.609193 101.891 179.2545
226.236804 101.829 179.0209
227.876209 101.764 178.7944
229.527494 101.695 178.5743
231.190745 101.621 178.3600
232.866048 101.543 178.1510
234.553491 101.459 177.9468
236.253163 101.372 177.7471
237.965150 101.280 177.5517
239.689544 101.187 177.3606
241.426433 101.091 177.1738
243.175909 100.994 176.9912
244.938062 100.897 176.8127
246.712984 100.802 176.6384
248.500768 100.708 176.4681
250.301507 100.617 176.3019
252.115295 100.530 176.1399
253.942226 100.446 175.9818
255.782396 100.367 175.8277
257.635901 100.294 175.6774
259.502837 100.227 175.5308
261.383301 100.165 175.3876
263.277392 100.111 175.2476
265.185209 100.063 175.1109
267.106850 100.022 174.9774
269.042417 99.987 174.8472
270.992009 99.959 174.7201
272.955729 99.936 174.5961
274.933678 99.918 174.4749
276.925961 99.905 174.3565
278.932681 99.896 174.2406
280.953942 99.889 174.1271
282.989850 99.886 174.0160
285.040511 99.885 173.9072
287.106032 99.887 173.8006
289.186521 99.894 173.6964
291.282086 99.904 173.5942
293.392836 99.920 173.4942
295.518881 99.942 173.3960
297.660333 99.969 173.2995
299.817302 100.002 173.2046
301.989902 100.041 173.1111
304.178245 100.083 173.0191
306.382446 100.127 172.9285
308.602620 100.172 172.8391
310.838882 100.215 172.7512
313.091348 100.256 172.6645
315.360137 100.292 172.5792
317.645367 100.322 172.4952
319.947156 100.344 172.4128
322.265625 100.359 172.3320
324.600895 100.364 172.2529
326.953086 100.360 172.1758
329.322323 100.346 172.1009
331.708729 100.321 172.0283
334.112427 100.286 171.9579
336.533543 100.241 171.8900
338.972204 100.186 171.8244
341.428536 100.122 171.7610
343.902668 100.049 171.6998
346.394729 99.969 171.6406
