* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 9, 2025 9:24:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KSC75 R2
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 86.714 3.0090
20.287556 86.736 2.7809
20.434568 86.763 2.4765
20.582645 86.792 2.1055
20.731796 86.819 1.6785
20.882027 86.840 1.2065
21.033346 86.853 0.6997
21.185763 86.857 0.1676
21.339284 86.850 -0.3817
21.493917 86.835 -0.9416
21.649671 86.811 -1.5070
21.806553 86.781 -2.0745
21.964572 86.747 -2.6418
22.123737 86.711 -3.2079
22.284054 86.676 -3.7727
22.445534 86.645 -4.3368
22.608183 86.619 -4.9008
22.772012 86.601 -5.4655
22.937027 86.592 -6.0316
23.103238 86.593 -6.5989
23.270654 86.605 -7.1671
23.439282 86.629 -7.7349
23.609133 86.664 -8.3005
23.780215 86.711 -8.8619
23.952536 86.770 -9.4167
24.126106 86.841 -9.9623
24.300934 86.923 -10.4968
24.477028 87.015 -11.0188
24.654399 87.118 -11.5280
24.833055 87.228 -12.0250
25.013005 87.346 -12.5118
25.194260 87.470 -12.9916
25.376828 87.598 -13.4687
25.560719 87.729 -13.9478
25.745942 87.860 -14.4340
25.932508 87.990 -14.9320
26.120426 88.117 -15.4457
26.309705 88.241 -15.9775
26.500356 88.359 -16.5285
26.692388 88.471 -17.0982
26.885812 88.576 -17.6845
27.080638 88.675 -18.2844
27.276876 88.768 -18.8940
27.474535 88.857 -19.5095
27.673627 88.942 -20.1273
27.874161 89.027 -20.7444
28.076149 89.113 -21.3590
28.279600 89.204 -21.9698
28.484526 89.302 -22.5768
28.690937 89.410 -23.1800
28.898843 89.530 -23.7798
29.108256 89.663 -24.3767
29.319186 89.812 -24.9707
29.531645 89.975 -25.5616
29.745644 90.151 -26.1490
29.961193 90.339 -26.7324
30.178304 90.535 -27.3115
30.396989 90.735 -27.8866
30.617258 90.936 -28.4582
30.839123 91.132 -29.0272
31.062596 91.319 -29.5950
31.287688 91.492 -30.1628
31.514412 91.648 -30.7318
31.742778 91.782 -31.3027
31.972800 91.892 -31.8757
32.204488 91.975 -32.4504
32.437855 92.031 -33.0260
32.672913 92.058 -33.6013
32.909674 92.058 -34.1750
33.148151 92.031 -34.7455
33.388356 91.981 -35.3114
33.630302 91.910 -35.8714
33.874001 91.821 -36.4243
34.119466 91.719 -36.9699
34.366710 91.609 -37.5084
34.615745 91.495 -38.0413
34.866585 91.382 -38.5710
35.119243 91.275 -39.1011
35.373731 91.179 -39.6357
35.630064 91.098 -40.1790
35.888254 91.034 -40.7341
36.148315 90.992 -41.3028
36.410261 90.971 -41.8847
36.674104 90.973 -42.4774
36.939860 90.999 -43.0766
37.207542 91.049 -43.6768
37.477163 91.123 -44.2729
37.748738 91.219 -44.8601
38.022281 91.338 -45.4355
38.297806 91.478 -45.9980
38.575327 91.639 -46.5481
38.854860 91.819 -47.0881
39.136419 92.017 -47.6210
39.420017 92.231 -48.1507
39.705671 92.461 -48.6807
39.993395 92.706 -49.2147
40.283203 92.964 -49.7561
40.575112 93.233 -50.3074
40.869136 93.514 -50.8705
41.165290 93.803 -51.4465
41.463591 94.100 -52.0350
41.764053 94.402 -52.6348
42.066693 94.707 -53.2437
42.371525 95.014 -53.8589
42.678567 95.318 -54.4774
42.987834 95.620 -55.0964
43.299341 95.915 -55.7133
43.613106 96.202 -56.3261
43.929145 96.479 -56.9330
44.247473 96.743 -57.5328
44.568109 96.994 -58.1242
44.891068 97.230 -58.7064
45.216367 97.450 -59.2790
45.544023 97.652 -59.8426
45.874054 97.837 -60.3986
46.206476 98.005 -60.9491
46.541307 98.154 -61.4972
46.878565 98.286 -62.0461
47.218266 98.401 -62.5983
47.560429 98.500 -63.1555
47.905072 98.584 -63.7178
48.252212 98.654 -64.2842
48.601867 98.713 -64.8528
48.954056 98.761 -65.4215
49.308798 98.802 -65.9881
49.666109 98.836 -66.5513
50.026010 98.866 -67.1100
50.388520 98.894 -67.6642
50.753656 98.920 -68.2144
51.121437 98.947 -68.7616
51.491884 98.975 -69.3073
51.865016 99.004 -69.8534
52.240851 99.037 -70.4016
52.619410 99.073 -70.9533
53.000712 99.113 -71.5093
53.384777 99.155 -72.0699
53.771625 99.201 -72.6347
54.161276 99.249 -73.2034
54.553751 99.298 -73.7755
54.949070 99.347 -74.3507
55.347254 99.395 -74.9289
55.748323 99.441 -75.5103
56.152298 99.484 -76.0949
56.559201 99.523 -76.6829
56.969052 99.559 -77.2744
57.381873 99.591 -77.8693
57.797686 99.619 -78.4672
58.216512 99.645 -79.0677
58.638373 99.667 -79.6703
59.063291 99.688 -80.2749
59.491288 99.707 -80.8817
59.922386 99.727 -81.4915
60.356608 99.746 -82.1056
60.793977 99.767 -82.7251
61.234515 99.789 -83.3505
61.678246 99.811 -83.9819
62.125192 99.834 -84.6186
62.575377 99.859 -85.2596
63.028824 99.884 -85.9041
63.485557 99.911 -86.5510
63.945599 99.939 -87.1999
64.408975 99.969 -87.8504
64.875709 100.001 -88.5023
65.345825 100.034 -89.1554
65.819348 100.070 -89.8096
66.296302 100.108 -90.4648
66.776713 100.148 -91.1210
67.260604 100.191 -91.7780
67.748002 100.237 -92.4360
68.238932 100.285 -93.0950
68.733420 100.336 -93.7552
69.231490 100.389 -94.4167
69.733170 100.443 -95.0797
70.238485 100.499 -95.7442
70.747463 100.556 -96.4106
71.260128 100.615 -97.0793
71.776508 100.674 -97.7506
72.296630 100.735 -98.4250
72.820521 100.796 -99.1026
73.348209 100.858 -99.7838
73.879720 100.920 -100.4686
74.415083 100.982 -101.1571
74.954326 101.043 -101.8495
75.497475 101.104 -102.5458
76.044561 101.165 -103.2458
76.595612 101.223 -103.9492
77.150655 101.280 -104.6557
77.709720 101.334 -105.3647
78.272837 101.386 -106.0756
78.840034 101.434 -106.7882
79.411342 101.478 -107.5022
79.986789 101.518 -108.2176
80.566406 101.554 -108.9346
81.150224 101.586 -109.6532
81.738272 101.614 -110.3735
82.330581 101.640 -111.0955
82.927182 101.663 -111.8191
83.528107 101.687 -112.5442
84.133386 101.712 -113.2705
84.743051 101.740 -113.9979
85.357134 101.775 -114.7261
85.975667 101.820 -115.4549
86.598682 101.878 -116.1842
87.226212 101.952 -116.9137
87.858289 102.045 -117.6434
88.494946 102.160 -118.3731
89.136217 102.297 -119.1029
89.782135 102.457 -119.8329
90.432733 102.638 -120.5634
91.088046 102.839 -121.2946
91.748108 103.054 -122.0265
92.412952 103.280 -122.7589
93.082615 103.512 -123.4913
93.757130 103.743 -124.2232
94.436533 103.968 -124.9543
95.120859 104.184 -125.6841
95.810144 104.386 -126.4126
96.504423 104.571 -127.1397
97.203734 104.739 -127.8655
97.908112 104.887 -128.5899
98.617595 105.018 -129.3131
99.332219 105.131 -130.0348
100.052021 105.230 -130.7550
100.777039 105.314 -131.4733
101.507311 105.388 -132.1894
102.242875 105.453 -132.9031
102.983769 105.510 -133.6140
103.730032 105.561 -134.3218
104.481702 105.607 -135.0263
105.238820 105.647 -135.7273
106.001424 105.680 -136.4246
106.769554 105.706 -137.1183
107.543250 105.723 -137.8083
108.322553 105.729 -138.4946
109.107503 105.722 -139.1772
109.898141 105.702 -139.8559
110.694508 105.668 -140.5304
111.496646 105.619 -141.2005
112.304596 105.556 -141.8655
113.118402 105.481 -142.5251
113.938104 105.395 -143.1786
114.763747 105.300 -143.8260
115.595372 105.199 -144.4671
116.433024 105.094 -145.1020
117.276746 104.987 -145.7308
118.126581 104.880 -146.3534
118.982575 104.774 -146.9696
119.844772 104.670 -147.5793
120.713217 104.569 -148.1824
121.587954 104.471 -148.7787
122.469031 104.374 -149.3683
123.356492 104.277 -149.9514
124.250384 104.181 -150.5282
125.150753 104.082 -151.0988
126.057647 103.979 -151.6634
126.971113 103.872 -152.2221
127.891198 103.759 -152.7753
128.817950 103.639 -153.3231
129.751418 103.513 -153.8658
130.691651 103.380 -154.4038
131.638696 103.241 -154.9372
132.592604 103.099 -155.4665
133.553425 102.955 -155.9917
134.521208 102.811 -156.5132
135.496004 102.671 -157.0311
136.477864 102.539 -157.5452
137.466839 102.417 -158.0555
138.462981 102.309 -158.5619
139.466340 102.217 -159.0641
140.476971 102.143 -159.5621
141.494925 102.088 -160.0559
142.520256 102.051 -160.5455
143.553016 102.031 -161.0311
144.593260 102.023 -161.5126
145.641043 102.025 -161.9902
146.696418 102.033 -162.4640
147.759441 102.043 -162.9343
148.830166 102.051 -163.4013
149.908651 102.055 -163.8653
150.994951 102.052 -164.3265
152.089123 102.043 -164.7853
153.191223 102.025 -165.2419
154.301310 102.001 -165.6965
155.419441 101.971 -166.1491
156.545674 101.937 -166.5999
157.680069 101.901 -167.0490
158.822683 101.863 -167.4963
159.973578 101.827 -167.9419
161.132813 101.792 -168.3861
162.300447 101.760 -168.8291
163.476543 101.731 -169.2711
164.661162 101.705 -169.7122
165.854364 101.683 -170.1528
167.056213 101.664 -170.5927
168.266772 101.649 -171.0322
169.486102 101.638 -171.4713
170.714268 101.631 -171.9102
171.951334 101.628 -172.3489
173.197364 101.628 -172.7876
174.452424 101.633 -173.2262
175.716578 101.640 -173.6647
176.989893 101.650 -174.1028
178.272434 101.662 -174.5399
179.564270 101.674 -174.9754
180.865467 101.685 -175.4083
182.176092 101.694 -175.8375
183.496216 101.700 -176.2618
184.825905 101.702 -176.6801
186.165229 101.700 -177.0912
187.514259 101.693 -177.4941
188.873065 101.682 -177.8878
190.241717 101.667 -178.2717
191.620287 101.649 -178.6453
193.008847 101.629 -179.0081
194.407468 101.607 -179.3601
195.816225 101.583 -179.7010
197.235190 101.559 179.9688
198.664438 101.535 179.6494
200.104042 101.510 179.3403
201.554078 101.484 179.0411
203.014622 101.457 178.7513
204.485750 101.428 178.4707
205.967538 101.397 178.1990
207.460064 101.363 177.9362
208.963405 101.327 177.6823
210.477640 101.287 177.4371
212.002848 101.245 177.2005
213.539108 101.201 176.9719
215.086500 101.154 176.7507
216.645105 101.106 176.5359
218.215005 101.056 176.3269
219.796281 101.005 176.1228
221.389015 100.953 175.9232
222.993292 100.898 175.7274
224.609193 100.842 175.5352
226.236804 100.782 175.3463
227.876209 100.718 175.1608
229.527494 100.650 174.9783
231.190745 100.577 174.7989
232.866048 100.500 174.6224
234.553491 100.418 174.4486
236.253163 100.331 174.2775
237.965150 100.241 174.1087
239.689544 100.149 173.9422
241.426433 100.054 173.7777
243.175909 99.959 173.6151
244.938062 99.864 173.4545
246.712984 99.769 173.2956
248.500768 99.677 173.1384
250.301507 99.587 172.9831
252.115295 99.501 172.8295
253.942226 99.419 172.6776
255.782396 99.341 172.5275
257.635901 99.269 172.3792
259.502837 99.203 172.2327
261.383301 99.142 172.0881
263.277392 99.088 171.9453
265.185209 99.041 171.8044
267.106850 99.000 171.6653
269.042417 98.966 171.5280
270.992009 98.938 171.3924
272.955729 98.914 171.2586
274.933678 98.896 171.1266
276.925961 98.882 170.9963
278.932681 98.871 170.8677
280.953942 98.862 170.7411
282.989850 98.857 170.6163
285.040511 98.853 170.4935
287.106032 98.853 170.3727
289.186521 98.856 170.2541
291.282086 98.863 170.1376
293.392836 98.875 170.0232
295.518881 98.893 169.9110
297.660333 98.917 169.8010
299.817302 98.946 169.6934
301.989902 98.981 169.5880
304.178245 99.019 169.4851
306.382446 99.060 169.3847
308.602620 99.101 169.2869
310.838882 99.141 169.1916
313.091348 99.178 169.0989
315.360137 99.210 169.0088
317.645367 99.236 168.9211
319.947156 99.255 168.8358
322.265625 99.266 168.7528
324.600895 99.268 168.6720
326.953086 99.260 168.5933
329.322323 99.243 168.5167
331.708729 99.215 168.4420
334.112427 99.177 168.3691
336.533543 99.128 168.2980
338.972204 99.070 168.2287
341.428536 99.002 168.1612
343.902668 98.926 168.0956
346.394729 98.842 168.0323
